propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108424959,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/a2/28/1351456300.webp,IEM-GRANA-ENMA,28,5,116000.0,flat,sale,46.0,False,2,1,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,40.4014796,-3.6770403,False,https://www.idealista.com/inmueble/108424959/,"VENTA DE LA NUDA PROPIEDAD SOLO INVERSIONISTAS. Desde la Inmobiliaria Eduardo Molet se pone a la venta la nuda propiedad de esta acogedora vivienda ubicada en el prestigioso distrito de Retiro, barrio de Pacífico. Los actuales propietarios, de 64 y 65 años, conservarán el usufructo vitalicio, lo que representa una excelente oportunidad de inversión a largo plazo. El piso se sitúa en una quinta planta interior dentro de una típica corrala madrileña, lo que le confiere un encanto singular. A pesar de su ubicación interior, al tratarse de una quinta planta de seis, goza de buena luminosidad, especialmente por su orientación suroeste. Tiene una superficie catastral de 46 m², distribuidos en 39 m² de vivienda y 7 m² de elementos comunes. La vivienda está bien distribuida, con un diseño muy funcional. Al entrar, se accede directamente al salón-comedor con cocina americana, un espacio cuadrado y bien aprovechado. Dispone de dos dormitorios, uno con ventana a la corrala y otro con ventilación a patio de luces, además de un baño completo también con ventana. La cocina también se beneficia de ventilación natural. El piso cuenta con calefacción eléctrica mediante bomba de frío/calor, agua caliente por termo eléctrico, suelo de tarima y ventanas climalit, lo que garantiza confort y eficiencia energética. La finca, construida en 1931, mantiene la arquitectura tradicional de las corralas madrileñas, con fachada de ladrillo, ascensor y portero físico. Los gastos de comunidad son de 67 € mensuales, y el IBI anual asciende a 200 €. El piso se encuentra en una de las zonas más deseadas de Madrid, en pleno barrio de Pacífico, dentro del distrito de Retiro. Se trata de una zona consolidada, con todos los servicios al alcance: supermercados, colegios, centros de salud, y una gran oferta de comercios y restauración. Además, está muy cerca del Parque del Retiro, el pulmón verde de la ciudad. En cuanto a transporte, la ubicación es inmejorable. La vivienda está muy bien comunicada gracias a la cercanía de varias estaciones de metro (Pacífico, Menéndez Pelayo), líneas de autobús y acceso directo a grandes vías como la M-30, lo que facilita la movilidad tanto en transporte público como privado. Una oportunidad única de inversión en una de las zonas con mayor proyección de Madrid. Para más información, contacta con Inmobiliaria Eduardo Molet. En el precio de la vivienda no están incluidos los siguientes gastos: Impuesto de transmisiones patrimoniales ( 6%) Notaria ( entre 0,2 y 0,5%) Registro de la propiedad ( entre 0,1% y 0,3%) Estos costes se pagan aparte y deben tener en cuenta al calcular el gasto total de la compra.",False,good,False,True,2522.0,False,False,False,False,[],False,False,116000.0,€,126000.0,10000.0,8.0,flat,"Pacífico, Madrid",Piso,,,,,
108373948,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/71/1e/1342188254.webp,,64,,680000.0,chalet,sale,347.0,,7,4,calle del Castaño,Madrid,Móstoles,Coimbra - Guadarrama,es,,40.3099557,-3.9279524,False,https://www.idealista.com/inmueble/108373948/,"IMPRESIONANTE CHALET señorial INDEPENDIENTE con parcela y árboles frutales, piscina para adultos e infantil, ubicado en la inmejorable zona de Parque Coimbra (Móstoles); distribuido en planta baja: por hall de entrada, armario empotrado, aseo, gran salón independiente con comedor de estancia diáfana y acceso a balcón lateral, ideal para disfrutar del aire puro durante todo el año, cocina espaciosa de madera, zona de despensa, cuarto de lavado además en el lateral del chalet una gran estancia con acceso independiente (actualmente utilizado como zona de arte y pintura); segunda planta: una enorme habitación abuhardillada con armario empotrado, baño completo, 3 amplios dormitorios con armarios empotrados, el principal con baño en suite y bañera spa. Planta sótano: con acceso independiente en el que perfectamente se puede dejar acondicionado como un piso entero ya que dispone de todo lo necesario para su funcionamiento cocina, horno al carbón, enorme salón-comedor estancia diáfana con zona de bodega para los vinos, enorme habitación, baño completo con plato de ducha, 2 habitaciones (actualmente en uso de almacenamiento), garaje eléctrico con espacio para 2 vehículos (actualmente utilizado como zona de yoga) ya que en la parcela tiene un cenador con espacio para 3 vehículos.  Calidades de la vivienda: todas las orientaciones habitaciones (sur), suelos de baldosa porcelánico, madera en todas las estancias y bastantes diáfanas esto genera sensación de refrigeración en verano, calor en invierno, paredes lisas, ventanas climalit oscilobatientes, deposito de la caldera de 1000 lts y termo eléctrico. Ubicado en un entorno residencial, familiar con excelentes comunicaciones, enfrente del centro comercial Xanadú con acceso inmediato a la A-5 autovía que conecta directo a Madrid. Te ofrecemos asesoría financiera gratuita. Estamos a tu disposición de realizar visitas de lunes a domingo, llámanos te aseguramos que no te arrepentirás. ¡Contacta con nosotros para más información! Los honorarios de intermediación inmobiliaria no están incluidos en el precio.",True,good,False,,1960.0,True,False,False,False,[],False,False,680000.0,€,,,,chalet,"Coimbra - Guadarrama, Móstoles",Casa independiente en calle del Castaño,True,True,independantHouse,,
108702205,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/f7/70/1352584343.webp,,19,bj,229900.0,flat,sale,118.0,True,4,2,Noreste,Madrid,Torrejón de Ardoz,Noreste,es,,40.4627478,-3.4530807,False,https://www.idealista.com/inmueble/108702205/,Agencia inmobiliaria de Torrejón De Ardoz zona Zarzuela Tecnocasa Estudio Barrio Zarzuela Slu VENDE BAJO en la zona del Juncal Este espacioso bajo de 118m² construidos distribuido en: -Salón independiente con chimenea. -4 amplias habitaciones. -2 baños con ducha. -Cocina con gran espacio. ¡VIVIENDA PARA REFORMAR! El inmueble está situado en una zona ya consolidada con multitud de servicios alrededor y bien comunicada por la red de transportes del municipio. Parques y zonas infantiles cercanas. No dude en llamarnos para concertar su cita para visitar el inmueble en la que además recibirá el asesoramiento gratuito de nuestro departamento financiero KÌRON. FINANCIACION 100%.,False,renew,False,True,1948.0,False,False,False,False,[],False,False,229900.0,€,257500.0,27600.0,11.0,flat,"Noreste, Torrejón de Ardoz",Piso,,,,,
108798105,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/2f/fe/1355444510.webp,,19,4,260000.0,flat,sale,30.0,True,1,1,"calle de Ventura de la Vega, 15",Madrid,Madrid,Centro,es,Huertas-Cortes,40.4152931,-3.6986835,True,https://www.idealista.com/inmueble/108798105/,"¡Encanto histórico junto a Sol! Piso de 1 dormitorio en Ventura de la Vega, ideal para inversión o primera vivienda Descubre este coqueto piso situado en una de las calles con más historia del centro de Madrid: Ventura de la Vega 15, a tan solo unos pasos de la Puerta del Sol y del Barrio de las Letras. Ubicado en una cuarta planta sin ascensor de un edificio de 1910, esta vivienda ofrece un ambiente tranquilo y acogedor en pleno corazón de la ciudad. Con aproximadamente 25 m², se distribuye en un dormitorio independiente, zona de estar y cocina integrada. Es una excelente oportunidad tanto como vivienda habitual, como inversión para alquiler turístico o de media estancia, gracias a su localización privilegiada y su potencial rentabilidad. La zona cuenta con todo tipo de servicios, comercios, cultura y una excelente conexión con transporte público (metro, tren, bus). No pierdas la oportunidad de tener tu rincón propio en una de las zonas más vibrantes y demandadas de Madrid. Llámanos y agenda tu visita.",True,good,False,False,8667.0,False,False,False,False,[],False,False,260000.0,€,,,,flat,"Huertas-Cortes, Madrid","Piso en calle de Ventura de la Vega, 15",,,,,
108873378,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2d/6f/cf/1357600500.webp,,36,3,519000.0,flat,sale,84.0,True,2,1,CL SANTA MARIA,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4116729,-3.6967903,False,https://www.idealista.com/inmueble/108873378/,"Vivienda luminosa con potencial de reforma en edificio clásico en el Barrio de Las Letras Desde NOVARA BOUTIQUE presentamos esta vivienda de 84 m² construidos, situada en la tercera planta exterior de un edificio de 1907 sin ascensor, ubicado en Calle de Santa María, en pleno centro de Madrid. Una propiedad con excelente ubicación y múltiples posibilidades de redistribución, ideal para quienes buscan reformar a medida en una de las zonas más cotizadas del distrito Centro. Distribución y características interiores La vivienda cuenta con dos dormitorios, un baño y una distribución funcional, con estancias bien proporcionadas y gran luminosidad gracias a su orientación y altura. Al tratarse de una tercera planta exterior, recibe luz natural en todas las estancias principales. Se encuentra en estado para actualizar, con potencial para adaptarse a distintos estilos de vida. NOVARA BOUTIQUE pone a disposición de los interesados un anteproyecto de reforma actualmente en desarrollo, y ofrece asesoramiento completo a través de su estudio de arquitectura. Ubicación Calle de Santa María se encuentra en el corazón del Barrio de Las Letras, una de las zonas más emblemáticas y vivas de Madrid, a escasa distancia del Paseo del Prado, Museo Reina Sofía, CaixaForum, estación de Atocha y el Parque del Retiro. El entorno cuenta con una amplia oferta cultural, gastronómica, comercial y está perfectamente comunicado por metro, cercanías y múltiples líneas de autobús. Una oportunidad real para diseñar tu vivienda a medida en una de las ubicaciones más demandadas de Madrid. Visitas sin compromiso.",False,good,False,False,6179.0,False,False,False,False,[],False,False,519000.0,€,,,,flat,"Huertas-Cortes, Madrid",Piso en Cl Santa Maria,,,,,
108518387,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/f2/94/1347300285.webp,,24,3,568000.0,flat,sale,97.0,True,3,2,"calle Garmur, 8",Madrid,Madrid,Ciudad Lineal,es,Quintana,40.4369331,-3.6417355,True,https://www.idealista.com/inmueble/108518387/,"Desde Lasabia Living, te presentamos nuestra nueva promoción residencial situada en el barrio de Quintana, junto a la parada de metro de Pueblo Nuevo y a escasos metros de la calle Arturo Soria y la calle Alcalá. Una excelente ubicación que te permitirá conectar con el centro de la ciudad por coche o transporte público en escasos minutos. ¿Qué te espera en tu nueva vivienda? Cocina completamente equipada con electrodomésticos nuevos. Vivienda sin amueblar, ideal para decorarla a tu estilo. Espacios llenos de luz natural, gracias a su amplia terraza y balcón. Piscina comunitaria, perfecta para relajarte. Sistema de climatización de última generación mediante aerotermia para la producción de agua caliente sanitaria y tecnología VRV para calefacción y refrigeración, garantizando el máximo confort en todo momento. Certificación EDGE, que garantiza una vivienda sostenible y eficiente. City Lockers, para que recibas tus paquetes con total comodidad. Horario de atención: Estamos disponibles de lunes a viernes, de 10:00 a 20:00 horas, para resolver todas tus dudas.",False,good,False,True,5856.0,True,False,False,False,[],False,False,568000.0,€,,,,flat,"Quintana, Madrid","Piso en calle Garmur, 8",,,,,
108212423,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/4d/61/1337272527.webp,,58,,1049700.0,chalet,sale,446.0,,9,9,carril Antiguo,Madrid,Sevilla la Nueva,,es,,40.3478766,-4.0599249,False,https://www.idealista.com/inmueble/108212423/,"Vive en el corazón de la naturaleza, a solo 30 minutos de Madrid Imagina despertar cada mañana rodeado de la serenidad de la naturaleza, dejando atrás el estrés de la ciudad, pero con la comodidad de tener Madrid a solo 30 minutos. Así es la vida en Los Cortijos, una de las urbanizaciones más exclusivas de Sevilla la Nueva. Un hogar diseñado para ti Al atravesar los extensos jardines de esta finca de 4.070 m², sentirás cómo la paz te envuelve. Cada rincón ha sido cuidadosamente diseñado para que disfrutes de la vida sin prisas, fusionando confort y elegancia en un ambiente cálido y acogedor. La casa principal, distribuida en tres plantas, es mucho más que un espacio: es el escenario ideal para crear recuerdos inolvidables. El luminoso salón, con grandes ventanales, ofrece vistas espectaculares a la sierra, invitándote a disfrutar de cada momento en familia. En la terraza, los desayunos se convierten en rituales al aire libre, acompañados por el canto de los pájaros. Un espacio para cada miembro de la familia Con siete dormitorios y siete baños, cada miembro de la familia podrá disfrutar de su propio espacio. En la planta superior, un estudio versátil te permitirá crear un despacho tranquilo o una habitación adicional para visitas. En la planta baja, la espaciosa sala polivalente, conocida como el ""choco"", es el lugar perfecto para reuniones y celebraciones, equipada con una barra y cocina industrial. Un refugio al aire libre Al caer la tarde, la impresionante piscina con zona chill-out te invita a relajarte y disfrutar de atardeceres mágicos, copa en mano, rodeado de naturaleza y tranquilidad. Más que una propiedad, un estilo de vida Esta finca también incluye una casa independiente para los guardeses, con dos dormitorios y dos baños, ideal para invitados o personal de confianza. Pero más allá de sus comodidades, representa un estilo de vida único en Sevilla la Nueva, un refugio perfecto para quienes buscan privacidad, confort y un contacto cercano con la naturaleza, sin renunciar a la cercanía de Madrid. Oportunidad de negocio Además, la finca ofrece un gran potencial como casa rural. Su amplia extensión y diseño funcional la convierten en el lugar perfecto para desarrollar un proyecto turístico, brindando a los huéspedes una experiencia única de desconexión en plena naturaleza. Haz tu sueño realidad No dejes pasar esta oportunidad única de vivir en un entorno exclusivo. Contáctanos hoy mismo y descubre cómo puedes hacer de este lugar tu futuro hogar.",True,good,False,,2354.0,True,False,False,False,[],False,False,1049700.0,€,,,,chalet,Sevilla la Nueva,Casa independiente en carril Antiguo,True,True,independantHouse,,
106115216,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/76/14/1272975533.webp,,52,1,1640000.0,flat,sale,217.0,True,4,5,calle del Arenal,Madrid,Madrid,Centro,es,Sol,40.4180263,-3.7063809,False,https://www.idealista.com/inmueble/106115216/,"En EXCLUSIVA. Piso muy coqueto y totalmente reformado situado en la prestigiosa calle Arenal, se encuentra en el corazón del centro de Madrid, a pocos pasos de algunos de los lugares más emblemáticos de la ciudad: la Puerta del Sol, la Ópera, la Plaza Mayor y el Palacio Real.  Idiomas de atención al cliente: - ENGLISH.  - FRANÇAIS.  - ESPAÑOL. Detalles del Inmueble  La vivienda ofrece una superficie de 217 m² distribuidos de manera funcional y elegante. Cuenta con cuatro habitaciones, cada una equipada con baño en suite y plato de ducha, proporcionando máxima comodidad y privacidad. Además, dispone de una cocina independiente totalmente equipada, un amplio salón con vistas hacia la calle Arenal, un aseo independiente, y un cuarto de lavadora. Características del Edificio El edificio cuenta con ascensor y todas las instalaciones están individualizadas, asegurando confort y eficiencia. Se ha rehabilitado integralmente en 2003.",True,good,False,True,7558.0,True,False,False,False,[],False,False,1640000.0,€,,,,flat,"Sol, Madrid",Piso en calle del Arenal,,,,,
108345849,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/75/7e/1345604599.webp,,30,1,1700000.0,flat,sale,250.0,True,4,5,calle de las Huertas,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4146477,-3.6990258,False,https://www.idealista.com/inmueble/108345849/,"Te presentamos una auténtica joya en el corazón de Madrid. Un piso exclusivo de 250 m² en el barrio de Huertas, a pasos de Sol, que combina diseño, historia y confort moderno con una distribución perfecta para vivir en familia. Ubicado en una finca clásica con ascensor, este piso ha sido completamente renovado con materiales nobles y acabados de alto nivel. El salón principal impresiona con sus techos altos, iluminación indirecta, suelos de roble en espiga y tres balcones exteriores que inundan el espacio de luz natural y carácter. La cocina abierta con isla central ha sido diseñada con madera natural, mármol veteado pulido y mobiliario a medida. Un espacio donde el estilo y la funcionalidad conviven a la perfección. La zona privada ofrece cuatro habitaciones en suite, todas con baño privado. La suite principal y la segunda habitación cuentan con vestidor independiente. Los baños, diseñados con porcelánico efecto ónix, grifería dorada de inspiración clásica y piezas sanitarias de diseño, son un auténtico spa privado dentro de casa. El sistema de climatización por conductos permite regular la temperatura de cada estancia individualmente. Como broche de oro, este piso cuenta con una terraza privada en la azotea, perfecta para barbacoas, cenas al atardecer o simplemente disfrutar de las vistas abiertas al skyline de Madrid, con total privacidad. Un hogar único para quienes valoran el diseño, la calidad y la vida urbana con espacio y privacidad. Ideal para familias que buscan vivir en el centro sin renunciar al lujo y la tranquilidad. ¡Contáctanos para más información y agenda tu visita!",True,good,False,True,6800.0,True,False,False,False,[],False,False,1700000.0,€,,,,flat,"Huertas-Cortes, Madrid",Piso en calle de las Huertas,,,,,
99446432,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/12/01/1044252427.webp,123,14,,1050000.0,chalet,sale,368.0,,5,4,Armada Española,Madrid,Boadilla del Monte,Cortijo Sur,es,,40.4291618,-3.9227412,False,https://www.idealista.com/inmueble/99446432/,"REMAX LEGEND Presenta este magnífico chalet adosado situado en la exclusiva urbanización Armada Española 13, en El Pastel, Boadilla del Monte. La vivienda, con vistas a la Sierra de Guadarrama, fue construida en 2020 y se encuentra en perfecto estado de conservación, prácticamente a estrenar.  Es muy eficiente energéticamente gracias a la Geotermia que proporciona luz, además de calor y frío en todas las estancias a través del suelo. La urbanización donde se ubica, con seguridad las 24 horas del día, es ideal por su ambiente familiar y perfecta para el descanso y el deporte, cuenta con servicios tales como una peluquería, bar-restaurante, sala de reuniones, sala de juegos y sala de estudio, un gimnasio, dos pistas de pádel, pista de tenis, campo de futbol sala y baloncesto y piscinas tanto de adultos como infantil.  Esta preciosa y actual vivienda es muy luminosa y está distribuida en tres plantas.  En planta principal encontramos una espaciosa habitación con baño completo, una cocina totalmente equipada con los electrodomésticos de última generación, un magnífico salón comedor y jardín. En planta superior apreciamos cuatro habitaciones de gran tamaño con tres baños, dos de ellos en suite, y dos terrazas con orientación este y oeste. En planta semisótano se ha creado una enorme sala de estar con un patio interior que le da luminosidad a la vez que amplitud. Aquí también nos encontramos el acceso al garaje que dispone de dos plazas.  Una vivienda idílica en un entorno único, El Pastel, muy tranquilo y en auge de comercios. Gracias a las empresas del GRUPO LEGEND, aportamos Asesoramiento Fiscal, Financiero y un Arquitecto a su disposición para cualquier consulta o servicio que necesite. Todos estos servicios son incluidos sin coste adicional a nuestros clientes.  Nos adaptamos a las necesidades y horarios de nuestros clientes. Contacta con nosotros para más información y organizar una visita.",False,good,False,,2853.0,True,False,True,False,[],False,False,1050000.0,€,,,,chalet,"Cortijo Sur, Boadilla del Monte",Chalet adosado en Armada Española,True,True,terracedHouse,,
