propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108857564,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/54/47/1357929964.webp,22,2,210000.0,flat,sale,56.0,True,1,1,calle de Carlos Dabán,Madrid,Madrid,Carabanchel,es,San Isidro,40.3989529,-3.7322111,False,https://www.idealista.com/inmueble/108857564/,"Inmobiliaria en Opañel, San Isidro - Tecnocasa Estudio Inm San Isidro S. L Agencia inmobiliaria de Madrid zona Carabanchel Tecnocasa ESTUDIO INM SAN ISIDRO SL EN VENTA Piso Segunda planta exterior CON ASCENSOR muy luminoso de 56 mts, para reformar. -Salón -Cocina -1 Dormitorio -1 Baño Piso muy luminoso con muchas posibilidades de adaptación para la reforma, amplio salón con mirador, un dormitorio doble, un baño con bañera, pasillo con armario empotrado y calefacción de gas individual, todo exterior muy luminoso, suelo de parquet y cocina independiente.  Finca muy tranquila seminueva, calle Carlos Daban muy cercano al parque de San Isidro, cuenta con todo tipo de comercios, farmacias y supermercados a su alrededor, comunicación excelente con autobuses y metro. Conseguimos la mejor hipoteca con nuestro departamento financiero KIRON hasta el 100%.",True,renew,False,True,3750.0,True,False,False,False,[],False,False,210000.0,€,flat,"San Isidro, Madrid",Piso en calle de Carlos Dabán,,,,,,,,
108821439,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/1e/87/1356814102.webp,52,,1395000.0,chalet,sale,505.0,,6,5,avenida Asturias,Madrid,Hoyo de Manzanares,,es,,40.610422,-3.9422187,False,https://www.idealista.com/inmueble/108821439/,"Hogares Torrelodones - Agencia inmobiliaria de Torrelodones y Hoyo de Manzanares; Pone a su disposición: Chalet independiente con piscina con reforma integral, en parcela de 1818m. Destaca por su cómoda distribución y sus espectaculares vistas. Ubicado en la urbanización privada, La Berzosa, junto a Torrelodones, con accesibilidad inmediata autovía A-6, cercano a pie de la Universidad Nebrija y transporte público.  El piso se distribuye en tres plantas: -Planta principal: Amplio hall entrada, cocina, zona de lavado, luminoso salón-comedor con acceso al jardín, aseo, cuatro dormitorios y dos baños completos.  -Planta superior: Dos amplios dormitorios con vestidor y dos baños completos. -Garaje: Espacio para varios vehículos y zonas de almacenaje. -Equipamiento: Reformada 2021, cuenta con 14 placas solares, ventanas climalit oscilobatientes, chimenea y A/C. ** Realiza la venta de tu vivienda con nuestro equipo y tendrás acceso anticipado a toda nuestra cartera de inmuebles. Si quieres cambiar cómodamente de hogar, ven a conocernos en calle Carlos Picabea Nº6, Torrelodones (Madrid) y te informaremos de todo. ** Gestión a medida: Compra / Venta / Alquiler / Promoción Obra Nueva. Aprovecha nuestros servicios FINANCIEROS exclusivos y realiza un estudio personalizado. Gracias a nuestros acuerdos con las principales entidades bancarias, ofrecemos a nuestros clientes las mejores soluciones hipotecarias. Gestión a medida: Compra / Venta / Alquiler / Promoción Obra Nueva.  -Hoyo de Manzanares-  Se remonta a la Edad Media, cuando se integró en el Real de Manzanares, un territorio cedido por Alfonso X a la familia Mendoza. La zona fue utilizada como coto de caza por los reyes y también como fuente de materias primas, como piedra para la construcción de Madrid.  El municipio experimentó un crecimiento demográfico significativo a mediados del siglo XX, especialmente con la llegada de la Academia de Ingenieros del Ejército y el aumento de veraneantes.  Hoyo de Manzanares y La Berzosa comparten un pasado ligado a la historia de la Sierra de Guadarrama, con Hoyo destacando por su relevancia como coto de caza, cantera, y centro administrativo, mientras que La Berzosa se desarrolló como una zona residencial de gran importancia en el municipio.",True,good,False,,2762.0,False,False,False,False,[],False,False,1395000.0,€,chalet,Hoyo de Manzanares,Casa independiente en avenida Asturias,True,True,independantHouse,,,,,
108168024,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/59/bc/39/1335888509.webp,15,1,195000.0,flat,sale,69.0,True,2,1,calle Fonsagrada,Madrid,Alcorcón,Valderas - Los Castillos,es,Valderas - Los Castillos,40.3554502,-3.8101839,False,https://www.idealista.com/inmueble/108168024/,"URBALOR TIMANFAYA gestiona en exclusiva la venta de una vivienda situada en una primera planta con ascensor y orientación este, a solo 5 minutos de la estación de renfe SAN JOSÉ DE VALDERAS. La vivienda se distribuye de la siguiente manera: recibidor, que da paso a un amplio salón con acceso a terraza (actualmente cerrada) y dos ambientes, siendo uno de ellos destinado para la instalación completa de la cocina, ideal para diseñarla y equiparla a tu gusto y necesidades. A través del salón, accedemos al distribuidor, por el que tenemos acceso a un cuarto de baño de grandes dimensiones en el que nos encontramos plato de ducha, mampara y ventana. Los dos dormitorios son dobles, teniendo uno de ellos dos ventanas. En cuanto a las características de la vivienda nos encontramos dobles ventana de aluminio en la ventana del salón y el dormitorio principal, mientras que en el resto de la vivienda, nos encontramos cerramientos de aluminio blanco con cristal climalit abatibles. La vivienda dispone de rejas en las ventanas de ambos dormitorios. Las puertas son de madera, mientras que el suelo de tarima se presenta en ambos dormitorios, distribuidor y cuarto de baño, mientras que encontraremos gres en el salón y terraza. El salón dispone de aparato de aire acondicionado. La finca dispone de ascensor y cuenta con la fachada rehabilitada. Ubicada en la zona de Los Castillos, el edificio es accesible para sillas de ruedas y está cerca de transporte público (bus, metro, cercanías), acceso a M40 y Crta. de Extremadura, además de servicios sanitarios, educativos, comerciales, deportivos y zonas verdes.",False,good,False,True,2826.0,False,False,False,False,[],False,False,195000.0,€,flat,"Valderas - Los Castillos, Alcorcón",Piso en calle Fonsagrada,,,,URBALOR/FONSAGRADA/MENESES,209000.0,14000.0,7.0,
107803279,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/7a/4b/1324222466.webp,12,2,3800000.0,flat,sale,243.0,True,3,4,"calle de Padilla, 40",Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4312084,-3.6803698,True,https://www.idealista.com/inmueble/107803279/,"Ubicada en una de las zonas más exclusivas de Madrid, en pleno barrio de Salamanca, HOMECOLLECTION presenta esta propiedad de 243 m² construidos ofrece una oportunidad única para aquellos que buscan una vivienda de lujo en una finca clásica con carácter. La vivienda dispone de cinco grandes ventanas a la calle, lo que asegura una excelente luminosidad y unas vistas privilegiadas a la ciudad. La propiedad se caracteriza por su impresionante salón exterior, con vistas a los tranquilos y bien cuidados jardines del Rosario, proporcionando un ambiente sereno y elegante. El espacioso comedor, junto a la moderna cocina americana, crean un espacio abierto y luminoso, ideal para disfrutar en familia o recibir invitados. Piso en venta en Madrid, con 243 m2, 3 habitaciones en suite y baño de cortesía, trastero, dos ascensores, aire acondicionado y calefacción individual. Cinco ventanas a la calle que hacen de este inmueble un hogar lleno de luz. Los techos de 3 metros de altura realzan la sensación de amplitud y luminosidad en todo el inmueble, preservando el encanto clásico de la finca mientras se adapta a las exigencias del diseño contemporáneo. El proyecto de reforma está previsto para comenzar en junio de 2025, con la finalización estimada en noviembre de 2025, lo que brindará la oportunidad de personalizar la vivienda al gusto de los futuros propietarios. Esta es una excelente oportunidad para adquirir una propiedad única en una de las ubicaciones más demandadas de Madrid, con el equilibrio perfecto entre elegancia, confort y modernidad.   IBI 2.012, 92. € Comunidad 568,27€ Para más información y concertar una visita, no dude en contactar con HOMECOLLECTION.",False,good,False,True,15638.0,True,False,False,False,[],False,False,3800000.0,€,flat,"Castellana, Madrid","Piso en calle de Padilla, 40",True,False,,1253,,,,60000.0
107678589,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3b/58/8b/1320276870.webp,24,3,850000.0,flat,sale,105.0,True,3,2,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4349017,-3.6780562,False,https://www.idealista.com/inmueble/107678589/,"¡LAVAMA URBAN presenta este estupendo hogar ubicado en el corazón de Madrid!  Este acogedor piso de 105 m² es perfecto para personas que buscan comodidad y ubicación privilegiada.  El inmueble ofrece tres habitaciones llenas de luz natural, ideales para crear un ambiente acogedor y personal. La cocina está totalmente equipada con electrodomésticos modernos. El piso cuenta con dos baños, garantizando funcionalidad y confort para todos los residentes. La vivienda se encuentra totalmente amueblada.  ¡Contacta para concertar una visita y comienza a imaginarte viviendo aquí! Visita el resto de nuestros inmuebles en nuestra web.",True,good,False,True,8095.0,True,True,False,False,[],False,False,850000.0,€,flat,"Lista, Madrid",Piso en calle del General Pardiñas,,,,,,,,
108899509,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/94/26/1358343699.webp,22,5,255000.0,flat,sale,61.0,True,2,1,calle de Fuente de Lima,Madrid,Madrid,Latina,es,Águilas,40.3813628,-3.7809347,False,https://www.idealista.com/inmueble/108899509/,"¡Gran Oportunidad! Piso en venta en la zona de Aviación Española Se vende estupenda vivienda de 61 m², ubicada en una quinta planta con ascensor. El piso cuenta con dos dormitorios, un amplio salón con acceso a una terraza ideal para disfrutar del aire libre, cocina espaciosa y un baño completo. Además, dispone de aire acondicionado para mayor confort durante todo el año. La vivienda está situada a solo 5 minutos a pie de la estación de metro Aviación Española (Línea 10) y a 10 minutos de la estación de Renfe Las Águilas. También cuenta con excelente comunicación por autobús (líneas 39, 560 y N19). La zona ofrece todos los servicios necesarios: centros de salud, supermercados, tiendas, bancos y mucho más. Una ubicación ideal para vivir con comodidad y buena conexión al resto de la ciudad. ¡No dejes pasar esta oportunidad y ven a visitarlo sin compromiso!",False,good,False,True,4180.0,False,False,False,False,[],False,False,255000.0,€,flat,"Águilas, Madrid",Piso en calle de Fuente de Lima,,,,V0002,,,,
107855358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/2f/3f/1326332377.webp,32,bj,195000.0,flat,sale,94.0,True,4,2,calle del Congosto,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3711137,-3.618281,False,https://www.idealista.com/inmueble/107855358/,"Agencia inmobiliaria de MADRID - zona VILLA DE VALLECAS - CONGOSTO - NUDA PROPIEDAD Consultoría Inmobiliaria Cortés SL ofrece en venta NUDA PROPIEDAD de vivienda en planta BAJA ubicada en el barrio de Villa de Vallecas. La distribución de este BAJO está compuesta de entrada, salón, 4 dormitorios, cocina independiente y dos cuartos de baño completos, el baño pequeño dispone de plato de ducha y el grande de bañera. En el precio se incluye trastero y posibilidad de plaza de garaje ya que la finca dispone de parking comunitario al aire libre. Con 94 m² construidos y 80 m² útiles, este piso es perfecto para aquellos que quieran una buena inversión dentro de una de las zonas más demandadas de la comunidad de Madrid. La ubicación de la vivienda te permite llegar en menos de 2 minutos andando a la estación de metro línea 1 de congosto y menos de 5 minuto con la parada de la EMT con bastante variedad de línea de autobuses 54, 58, 142. Ubicada cerca de todos los servicios que puedas necesitar, supermercados, farmacias, bancos, parques para disfrutar con los más pequeños, colegios, centros de salud, etc. ¡No pierdas la oportunidad de adquirir este maravilloso piso en una de las zonas más demandadas de Madrid! para facilitarte la compra de la vivienda contamos con un departamento financiero para ayudarte en todo el proceso de compra.",False,renew,False,True,2074.0,True,False,False,False,[],False,False,195000.0,€,flat,"Casco Histórico de Vallecas, Madrid",Piso en calle del Congosto,,,,,,,,
108891739,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b9/1c/ce/1358109377.webp,10,bj,109000.0,flat,sale,30.0,True,1,1,"calle de Pilar Rueda, 2",Madrid,Madrid,Puente de Vallecas,es,Numancia,40.402221,-3.6647827,True,https://www.idealista.com/inmueble/108891739/,"TECNOCASA - ESTUDIO NUEVA NUMANCIA S. L. - Pone a la venta un precioso estudio en uno de los barrios mejor comunicados de la zona centro: Nueva Numancia. Se trata de un piso situado en la planta baja de un edificio muy próximo a la avenida principal del barrio, Peña Prieta. Como puede apreciarse en las fotografías, la vivienda, así como la finca, es muy bonita y acogedora, y está lista para entrar a vivir. Según abrimos la puerta, damos con el salón, con cocina americana, tiene suelo de tarima, acorde con la viga del techo que en un origen separaba el salón de la que antiguamente era una habitación. La cocina es de vitrocerámica, Tiene la caldera que se sitúa en la misma, y que también calienta el agua. Y a juego con el mobiliario de la cocina. Por último, el anteriormente mencionado baño dispone de bañera, y los sanitarios nuevos, cambiados junto con la reforma que se hizo de toda la vivienda. Y la red eléctrica está actualizada. ¿A qué esperas para venir a verlo? ¡No pierdas la oportunidad y llámanos para concertar una cita! Si necesitas ayuda con la consecución de la hipoteca, disponemos de KÌRON, nuestro departamento financiero, que te ayudará a encontrar tu préstamo en las mejores condiciones. Concierta una cita gratuitamente con ellos para más información.",False,good,False,False,3633.0,False,False,False,False,[],False,False,109000.0,€,flat,"Numancia, Madrid","Piso en calle de Pilar Rueda, 2",,,,,,,,
108223467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/c8/b7/1337604442.webp,21,2,1400000.0,flat,sale,269.0,True,11,3,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4214812,-3.7081619,False,https://www.idealista.com/inmueble/108223467/,"GLOBALPISO MALASAÑA VENDE - Espectacular piso en calle Luna. Descubre esta joya en pleno corazón de Madrid. Ubicado en una segunda planta exterior, su luminosidad es incomparable gracias a sus tres balcones a la calle. Con 269 m² construidos, esta vivienda es perfecta para quienes buscan amplitud y posibilidades de reforma. Características destacadas:  11 habitaciones: Espacio ideal para familias grandes, inversión o proyectos personalizados.  3 baños completos, con opción de añadir más gracias a la conveniente distribución de las bajantes.  Cocina con comedor amplio, perfecto para reuniones y momentos especiales.  Ventanas Climalit, que garantizan aislamiento y confort.  Armarios de madera empotrados, maximizando el almacenamiento.  Calefacción individual por gas natural, para un hogar cálido y eficiente.  Suelos de tarima, elegancia y durabilidad en cada rincón.  Comunidad: solo 60€/mes. Ubicación inmejorable: Situado en el vibrante barrio de Malasaña, tendrás a tu disposición una amplia oferta de comercios, bares, restaurantes, tiendas exclusivas, centros culturales, bibliotecas y museos. Además, cuenta con excelentes conexiones de transporte: Metro Noviciado (L2) y Callao (L3 y L5) a pocos pasos. ¡Una vivienda con grandes posibilidades de reforma y una ubicación privilegiada! No dejes pasar esta oportunidad. Contáctanos para más información o visita sin compromiso. Para poder ver todos nuestros inmuebles puede visitar nuestra página web o si lo desea puede descargarse nuestra APP Globalpiso totalmente gratuita. *Globalpiso nunca solicitará documentación ni dinero sin haber realizado antes una visita a la vivienda. *Ofrecemos financiación del 100% a través de nuestro departamento financiero, H2b Hipotecas. La aprobación de la financiación está sujeta a las condiciones de la entidad financiera y se evaluará el perfil y solvencia del cliente. *De conformidad con el Artículo 6 del RD 515/1989, de 21 de abril, informamos a los clientes que los gastos notariales, registrales, Impuesto de Transmisiones Patrimoniales (I. T. P. ) gastos financieros e intermediación inmobiliaria y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda. ""Se cumplen todos los requisitos y derechos referidos en la Ley 12/2023 por el Derecho a la Vivienda"".",False,good,False,False,5204.0,True,False,False,False,[],False,False,1400000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,,,,UNI3654,,,,
108294743,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/9b/78/1339828920.webp,19,bj,485000.0,flat,sale,87.0,False,3,2,calle de Donoso Cortés,Madrid,Madrid,Chamberí,es,Arapiles,40.4371882,-3.7120247,False,https://www.idealista.com/inmueble/108294743/,"LAVAMA URBAN presenta esta excelente oportunidad en el barrio de Arapiles: vivienda reformada de 80 m² con patio privado. Se trata de un bajo completamente reformado con un diseño moderno y funcional que ha optimizado al máximo el espacio. Cuenta con tres habitaciones, lo que lo convierte en una opción ideal tanto para inversión —por su alta rentabilidad en alquiler— como para residencia habitual. La propiedad dispone de dos baños completos y un amplio patio de 27 m², dividido en dos zonas: una área de chill out perfecta para relajarse al aire libre, y una zona cerrada y acristalada, ideal como comedor de invierno o verano. Ubicada en una de las zonas más demandadas de Madrid, Arapiles, esta vivienda ofrece excelente comunicación con el resto de la ciudad y proximidad a colegios, universidades y todo tipo de servicios. No deje pasar esta oportunidad única de vivir o invertir en una de las mejores ubicaciones de Madrid.",True,good,False,True,5575.0,False,False,False,False,[],False,False,485000.0,€,flat,"Arapiles, Madrid",Piso en calle de Donoso Cortés,,,,,495000.0,10000.0,2.0,
