propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
107943214,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/c7/3c/1329030570.webp,20,3,198800.0,studio,sale,21.0,True,0,1,"de las Fuerzas Armadas, 328",Madrid,Madrid,Hortaleza,es,Valdebebas - Valdefuentes,40.4818068,-3.6205463,True,https://www.idealista.com/obra-nueva/107943214/,"HOTEL101 MADRID – Descubre forma inteligente de invertir a través de la propiedad inmobiliaria. Global, simple y con plena propiedad del inmueble. Hotel101-Madrid es una oportunidad única para invertir en el creciente sector turístico e inmobiliario de Madrid, bajo un modelo innovador que combina propiedad individual y gestión hotelera profesional. Ubicado en Valdebebas, una de las zonas de mayor proyección de la capital, el hotel se encuentra en la Avenida de las Fuerzas Armadas, a pocos minutos del aeropuerto de Madrid-Barajas, del centro de convenciones IFEMA y de la Ciudad Deportiva del Real Madrid. Además, estará frente al futuro circuito de Fórmula 1, lo que aumentará su atractivo turístico. ¿Qué significa ser dueño de una habitación con Hotel101? Hotel101 ofrece la posibilidad de comprar una habitación de hotel como unidad independiente con título de propiedad registral, generando ingresos pasivos mensuales sin preocuparse por la gestión operativa. •Rentabilidad Mensual Esperada: Rendimiento histórico con una rentabilidad superior al 7% •100 % sin complicaciones y sin costos ocultos: Deje que Hotel101 gestione completamente su unidad y asuma los gastos operativos, reparaciones y mantenimiento. •Sea propietario de una unidad hotelera y gane con los ingresos del hotel: Reciba una parte igual de los ingresos brutos por habitación generados por todo el hotel, independientemente de la ocupación de su unidad individual. •10 noches gratuitas al año para disfrutar en cualquier Hotel101 del mundo (5 en Madrid y 5 internacionales). ¿Cómo son las habitaciones? Las unidades tipo “HappyRoom” tienen un diseño moderno, funcional y totalmente estandarizado, lo que optimiza su eficiencia operativa. •21 m² totalmente equipados •1 cama Queen + 1 cama individual •Kitchenette con nevera y microondas •Aire acondicionado y calefacción con control individual •Baño privado con ducha de agua caliente •TV de 55”, wifi, caja fuerte, escritorio y enchufes universales •Construcción de alta eficiencia energética y sostenibilidad Instalaciones del hotel: •680 habitaciones en un edificio de 8 plantas •Restaurante 24h, piscina exterior y bar •Gimnasio, salas de reuniones y centro de negocios •Recepción y seguridad 24/7 •Lavandería, consigna y tienda de conveniencia 24h ¿Quién está detrás del proyecto? Hotel101 Global Pte. Ltd., registrada en Singapur, es la rama de expansión hotelera global de DoubleDragon Corporation, una destacada empresa inmobiliaria con sede en Filipinas que cotiza en la Bolsa de Valores de Filipinas, y que cuenta con más de 3.000 millones de dólares estadounidenses en activos totales. El modelo se basa en un enfoque “asset-light”, escalable y eficiente.",False,newdevelopment,True,True,False,9467.0,False,False,False,False,[],False,False,198800.0,€,flat,studio,"Valdebebas - Valdefuentes, Madrid","Estudio en de las Fuerzas Armadas, 328",Top,,,,,,,
108362067,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/88/c2/0d/1341834047.webp,65,8,13500000.0,penthouse,sale,944.0,True,4,6,calle de Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.43266,-3.692965,False,https://www.idealista.com/inmueble/108362067/,"Impresionante ático dúplex en Almagro Engel & Völkers tiene el placer de presentar este exclusivo e incomparable ático dúplex en esquina en una de las calles más emblemáticas del barrio de Almagro.  De esta vivienda situada en una finca con seguridad 24h, destacamos las amplias estancias y gran luminosidad en todos sus espacios pero principalmente sus terrazas, únicas en la zona.  El amplio hall de entrada da paso al grandioso salón dividido en varios ambientes que hacen las delicias del día a día, y el comedor es un espacio único decorado con un gusto exquisito. La gran cocina, dotada de todos los electrodomésticos, es un lugar práctico y cómodo y cuenta con zona de lavado y dormitorio de servicio.  El dormitorio principal es sin duda un lugar muy especial, cuenta con dos baños en suite, doble vestidor y zona de estar. Encontramos otro amplísimo dormitorio en suite con vestidor y zona de trabajo y un tercer gran dormitorio con baño en suite. En esta planta, la terraza perimetral, de unos 130m2 termina en un amplio esquinazo. En la planta alta, conectada con la planta principal por una cómoda escalera, encontramos la espectacular terraza que cuenta con piscina exterior climatizada, zona de bar completamente equipada, zona de sofás, comedor y zona cubierta con un comedor de verano, baño y una estupenda sala de cine. Esta es una zona principalmente destinada al ocio y disfrute. Completan la propiedad 3 plazas de garaje en la finca y 3 trasteros. Esta incomparable propiedad se encuentra en el exclusivo barrio de Almagro en una de las calles más demandadas de Chamberí, una de las zonas más elegantes de Madrid, muy cerca del emblemático Paseo de la Castellana o la calle Almagro, goza de una comunicación excelente gracias a la cercanía de varias estaciones de metro y autobuses. La zona dispone de amplia oferta educativa con colegios concertados y privados. Presenta una magnífica cercanía a puntos de interés turísticos y zonas comerciales y de negocio de la capital, todo ello unido a la gran oferta de espacios gastronómicos muy de moda en Madrid. En el barrio de Almagro encontramos varias embajadas (Alemania, Suecia, Finlandia, Hungría, Brasil…) y galerías o centros culturales tales como el Instituto Goethe, Centro Cultural Coreano, Fundación Norman Foster o el Instituto de cine. Este barrio es conocido también como el Triángulo de Oro de Madrid.",False,good,False,True,,14301.0,True,False,False,False,[],False,False,13500000.0,€,flat,penthouse,"Almagro, Madrid",Ático en calle de Almagro,Top,W-02QVFR,True,True,,,,
108248697,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/a0/67/1344462975.webp,26,3,365000.0,flat,sale,62.0,True,3,1,pasaje Santa Felicidad,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4259019,-3.6507647,False,https://www.idealista.com/inmueble/108248697/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Ventas, en Madrid. La vivienda está ubicada en la 3 planta exterior con ascensor. Dispone de una superficie total de 62 m², distribuidos en salón y comedor, cocina independiente, 3 dormitorios y 1 baño. Además, cuenta con ascensor, terraza, cocina amueblada, aire acondicionado y accesibilidad para personas con movilidad reducida. Situado en el barrio de Ventas, en la Pasaje Santa Felicidad, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Parque de la Elipa y a 8 minutos en coche del Centro Comercial Alcalá Norte. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro La Elipa (L2). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,,5887.0,True,False,False,False,[],False,False,365000.0,€,flat,,"Ventas, Madrid",Piso en pasaje Santa Felicidad,Top,CLK00/4968,,,,,,
108546295,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/f0/a2/1348104636.webp,29,5,729000.0,flat,sale,225.0,True,4,2,calle del Montón de Trigo,Madrid,Tres Cantos,Zona Industrial,es,,40.6142435,-3.7064074,False,https://www.idealista.com/inmueble/108546295/,"""Grupo Hogares"" vende en exclusiva magnífica vivienda, en una de las urbanizaciones más exclusivas de Tres Cantos. La vivienda se distribuye en cuatro dormitorios con armarios empotrados, dos baños completos con acabados de Porcelanosa, uno de ellos en suite, gran salón independiente con acceso directo a una fantástica terraza y amplia cocina independiente con lavadero. Este piso cuenta con una distribución lógica y equilibrada, con formas geométricas sobrias que facilitan su amueblado. Además, es una vivienda exterior, con doble orientación. Excelentes calidades: tabiquería interior de ladrillo con aislamiento termoacústico, puerta de entrada acorazada y suelos de tarima laminada. Dispone de aire acondicionado por conductos en todas las estancias, completamente instalado y en funcionamiento. Se completa el inmueble con DOS amplias plazas de GARAJE y un amplio TRASTERO. La finca cuenta con las mejores calidades, tanto en el interior de la vivienda y sus acabados, como la de las zonas comunes. De la comunidad, cabe destacar el área de juegos infantiles, piscina, sala polivalente climatizada, servicio de conserjería, gimnasio y sauna. La vivienda se encuentra en un entorno envidiable para formar su futuro hogar, en el que encontrará todos los servicios necesarios, como espacios comerciales, restauración y numerosos equipamientos públicos y privados sanitarios, docentes y deportivos. Además, Nuestro departamento financiero ""FinanHogar"" puede conseguir hasta el 100% de financiación. Pregunte para hacer un estudio financiero sin compromiso. ¡NO PIERDA LA OPORTUNIDAD DE VISITAR ESTA EXCLUSIVA VIVIENDA!",True,good,False,True,,3240.0,True,True,False,False,[],False,False,729000.0,€,flat,,"Zona Industrial, Tres Cantos",Piso en calle del Montón de Trigo,Top,,True,True,749000.0,20000.0,3.0,
108564817,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/12/fb/1348594992.webp,18,3,900000.0,flat,sale,145.0,True,3,3,calle de Luis Vélez de Guevara,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4120033,-3.703469,False,https://www.idealista.com/inmueble/108564817/,"Dúplex a reformar en Embajadores con garaje opcional Engel&Völkers comercializa este dúplex en el que su nuevo propietario podrá diseñar la casa de sus sueños. Se encuentra ubicada nuestra propiedad en la planta tercera de un edificio remodelado en su integridad en 1987, del actual barrio de Embajadores. Dispone de una superficie total de 145 metros cuadrados incluidos los elementos comunes, según Catastro. En la planta primera encontramos un salón comedor de buenas dimensiones con dos balcones a calle muy tranquila, cocina independiente y dos dormitorios con armarios empotrados, el principal con balcón y baño en suite. Otro cuarto de baño completo da servicio al dormitorio secundario y a las visitas. En la planta segunda, a la que se accede a través de una escalera desde el salón, encontramos un amplio espacio parcialmente abuhardillado pero con suficiente altura de techos, y con baño incorporado que puede ser utilizado a conveniencia como tercer dormitorio o lugar de trabajo. La vivienda está para reformar pudiendo ser rediseñada y actualizada a conveniencia según necesidades. Su estado permitirá a su nuevo propietario jugar con los espacios y así conseguir que la propiedad se convierta en un inmueble único en pleno centro de Madrid. La finca dispone de garaje subterráneo, pudiendo adquirirse una plaza si fuera necesario Vivir en el barrio de Embajadores es hacerlo rodeado del arte, la historia y la cultura del Madrid más castizo. Lo que comenzó siendo en los siglos XVII y XVIII una zona residencial aristocrática, de embajadores y diplomáticos de distintas naciones, pasó durante el siglo XIX a convertirse en un importante centro industrial y comercial, hasta lo que es hoy: un lugar de encuentro multicultural y artístico que ha sabido reinventarse y adaptarse a las nuevas corrientes sin perder la esencia que lo caracteriza, aunando su historia y su identidad multicultural, como referente de convivencia y diversidad en la capital española.",False,renew,False,True,,6207.0,True,False,False,False,[],False,False,900000.0,€,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de Luis Vélez de Guevara,Top,W-02ZV77,True,False,,,,60000.0
108422988,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/da/53/1357074398.webp,29,3,2000000.0,flat,sale,237.0,True,6,4,calle de Fernán González,Madrid,Madrid,Retiro,es,Ibiza,40.4191317,-3.6756719,False,https://www.idealista.com/inmueble/108422988/,"Oportunidad única piso alto exterior para actualizar o segregar a pasos del Retiro A escasos metros del Parque del Retiro y lindando con la calle O'Donnell, se ofrece esta excepcional vivienda de 240 m² construidos (200 m² útiles), reformada para uso de consultoría pero registrada como vivienda, uso residencial, ubicada en una planta alta de un edificio señorial. Destaca por su excelente distribución y sus opciones de separar ambiente de día y de noche: cuenta con estancias exteriores que ofrecen vistas a la calle, y otras que dan a un amplio patio de manzana interior, permitiendo una entrada generosa de luz natural durante todo el día. La amplitud del patio interior proporciona no solo luminosidad, sino también un entorno silencioso y agradable, ideal para el descanso. Su distribución actual permite múltiples opciones de diseño, desde una espectacular residencia familiar con amplios espacios abiertos, hasta la posibilidad de segregarlo en 4 apartamentos independientes, lo que lo convierte en una inversión de gran proyección. El edificio destaca por su elegante portal de lujo, con vidrieras artísticas, rampa de acceso y servicio de conserjería, aportando representatividad y comodidad desde el primer momento. Una oportunidad irrepetible para quienes buscan un piso con personalidad, en una ubicación insuperable y con infinitas posibilidades de redistribución, decoración y diseño. El barrio de Ibiza en el distrito de Retiro es un barrio residencial, con todas las comodidades de tenerlo todo a un paso, y sobre todo agradable para vivir, con una situación privilegiada muy cerca de la zona comercial de Goya, la Plaza Felipe II, la Puerta de Alcalá y el Museo del Prado. El barrio alterna edificios residenciales con agradables zonas verdes, entre las que destaca el Parque del Retiro (un pulmón vegetal con espacios para la recreación) a escasos metros de este piso. Cuenta también con una amplia dotación de comercios, restaurantes, cafeterías, lo que convierte a la zona en una de las más animadas de la capital, supermercados, colegios, instalaciones deportivas y centros de salud, así como el Hospital Universitario Gregorio Marañón. El Parque del Buen Retiro, pulmón verde de Madrid es el auténtico protagonista de este barrio. Las comunicaciones y medios de transporte son excelentes, tanto por líneas de metro como autobuses. Es una de las zonas de Madrid mejor comunicadas al disponer de varias estaciones de metro como las de Ibiza, Retiro y Sainz de Baranda y así misma salida directa a la M-30.",False,good,False,True,,8439.0,True,False,False,False,[],False,False,2000000.0,€,flat,,"Ibiza, Madrid",Piso en calle de Fernán González,Top,W-0303LD,,,,,,
108655012,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/50/83/1351224016.webp,45,3,5190000.0,flat,sale,307.0,True,4,6,calle de José Ortega y Gasset,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4298467,-3.6836012,False,https://www.idealista.com/inmueble/108655012/,"Exclusiva Propiedad Recién Renovada con Terraza en el Corazón del Barrio Salamanca. Engel & Völkers presenta este extraordinario apartamento de lujo ubicado en el corazón de Madrid. Este impresionante espacio cuidadosamente modernizado en 2025, ofrece un diseño impecable que combina la herencia arquitectónica de 1967 con las comodidades más modernas. Al entrar, descubrirá un ambiente lleno de luz y amplitud, donde cada una de las cuatro habitaciones está diseñada para proporcionar el máximo confort y estilo. Con seis baños perfectamente equipados, la comodidad está garantizada para todos los residentes y sus invitados. La amplia terraza de 37.78 metros cuadrados es el lugar perfecto para relajarse y disfrutar del vibrante entorno urbano que Madrid ofrece. Un elegante sistema de chimenea añade calidez y encanto, mientras que armarios empotrados y un aseo para invitados aseguran funcionalidad y sofisticación.  En resumen, este es un refugio urbano que encapsula lo mejor del lujo contemporáneo en una de las ciudades más vibrantes del mundo. Con cada detalle meticulosamente cuidado, este apartamento es una oportunidad única para aquellos que buscan una vida de lujo en el corazón de Madrid. Descubra un estilo de vida inigualable en el exclusivo barrio de Salamanca, en Madrid. Este enclave prestigioso es ideal para aquellos que buscan una combinación de lujo, cultura y comodidad en el corazón de la capital española. Salamanca es conocido por su ambiente sofisticado y su vibrante oferta comercial, donde se encuentran boutiques de alta gama y renombradas marcas internacionales, lo que lo convierte en un paraíso para los amantes de la moda. La infraestructura del área es excepcional, con acceso a una red de transporte público eficiente que incluye varias líneas de metro y autobuses, facilitando el desplazamiento por toda la ciudad. La estación de metro más cercana, Núñez de Balboa, se encuentra a solo cinco minutos a pie, conectándote rápidamente con el resto de Madrid. Además, el aeropuerto Adolfo Suárez Madrid-Barajas está a solo 20 minutos en coche, proporcionando conexiones internacionales con facilidad. Para el ocio, el Parque del Retiro, uno de los pulmones verdes más emblemáticos de Madrid, está a un corto paseo, ofreciendo un espacio perfecto para el relax y la recreación. La zona también alberga una rica oferta cultural, con museos y galerías de arte a poca distancia, como el Museo Nacional del Prado, que se encuentra a solo 15 minutos en transporte público. Salamanca es famoso por su arquitectura majestuosa, con edificios de estilo neoclásico y calles arboladas que ofrecen un entorno residencial tranquilo y seguro. Este barrio no solo es un lugar donde vivir, sino una declaración de estilo y exclusividad. Vivir aquí es experimentar lo mejor de Madrid, con una mezcla perfecta de tradición y modernidad. En Salamanca, cada día es una invitación a descubrir lo extraordinario, haciendo de este lugar un hogar verdaderamente único y deseado.",False,good,False,True,,16906.0,True,False,False,False,[],False,False,5190000.0,€,flat,,"Castellana, Madrid",Piso en calle de José Ortega y Gasset,Top,W-02YZY9,True,True,,,,
108440073,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/af/9d/1344925065.webp,26,2,410000.0,flat,sale,47.0,False,2,1,calle de Granada,Madrid,Madrid,Retiro,es,Pacífico,40.4061726,-3.679436,False,https://www.idealista.com/inmueble/108440073/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Pacífico, en Madrid. La vivienda está ubicada en la 2 planta interior con ascensor. Dispone de una superficie total de 47 m², distribuidos en salón y comedor, cocina independiente equipada, 2 dormitorios y 1 baño. Además, cuenta con ascensor, cocina amueblada, aire acondicionado y accesibilidad para personas con movilidad reducida. Situado en el barrio de Pacífico, en la Calle Granada, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Centro Deportivo Municipal Daoiz y Velarde 1, el Parque de El Retiro y a estación de tren Madrid Puerta de Atocha-Almudena Grandes. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro Menéndez Pelayo (L1). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,,8723.0,True,False,False,False,[],False,False,410000.0,€,flat,,"Pacífico, Madrid",Piso en calle de Granada,Top,CLK00/4982,,,,,,
108799333,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/8f/5d/1356390393.webp,15,bj,222000.0,flat,sale,45.0,True,1,1,calle Antonio Prieto,Madrid,Madrid,Usera,es,Zofío,40.3811862,-3.7149712,False,https://www.idealista.com/inmueble/108799333/,"TengoTuCasa presenta esta excelente oportunidad en el barrio de Zofío, en el distrito de Usera. Se trata de una vivienda luminosa y bien distribuida, perfecta tanto para residencia habitual como para inversión. Cuenta con dos estancias amplias y exteriores, ambas con grandes ventanales con sistema Climalit que permiten la entrada de abundante luz natural. La vivienda tiene una superficie de 45 m² y una reforma a estrenar, excepto en la cocina y el baño, que fueron renovados hace algunos años. Dispone de calefacción por acumuladores eléctricos, puerta de entrada blindada y acceso directo desde el portal. La finca, situada en esquina, se orienta a dos calles, lo que refuerza su luminosidad y ventilación. Está ubicada en una de las mejores zonas de Usera, a solo 220 metros de la avenida Rafaela Ybarra, con varias líneas de autobuses, a 300 metros del Centro Cultural, 500 metros del centro de salud, 600 metros del Ayuntamiento y 750 metros de la estación de metro Plaza Elíptica (línea 6). A tan solo 90 metros se encuentra el supermercado Día y a 150 metros un Covirán. Además, hay dos escuelas infantiles a 500 metros, el Colegio Rafaela Ybarra a 320 metros y otros centros escolares en un radio de 700 a 800 metros. La zona está en pleno proceso de transformación urbana gracias a un plan de remodelación municipal con una inversión de más de 9 millones de euros, que revalorizará toda el área. El proyecto renovará más de 63.000 m², incluyendo la creación de calles peatonales, jardines, nuevas zonas arboladas, fuentes y conexión directa con Madrid Río. Una oportunidad de vivir o invertir en una zona en crecimiento con todos los servicios y excelentes comunicaciones. TengoTuCasa, la inmobiliaria de las 3.000 reseñas.",False,good,False,False,,4933.0,True,False,False,False,[],False,False,222000.0,€,flat,,"Zofío, Madrid",Piso en calle Antonio Prieto,Top,82704,,,,,,
108117418,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/97/a7/1334360313.webp,26,4,250000.0,flat,sale,64.0,True,3,1,calle Cristóbal Colón,Madrid,Alcalá de Henares,Reyes Católicos,es,,40.4733257,-3.3745684,False,https://www.idealista.com/inmueble/108117418/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Reyes Católicos, en Alcalá de Henares. La vivienda está ubicada en la 4 planta exterior con ascensor. Dispone de una superficie total de 64 m², distribuidos en salón y comedor, cocina independiente amueblada, 3 dormitorios y 1 baño. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados y accesibilidad para personas con movilidad reducida. Situado en el barrio de Reyes Católicos, en la Calle Cristobal Colon, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como El Corte Inglés Alcalá de Henares, el Centro Comercial Alcalá Magna y del Hospital Universitario Príncipe de Asturias, todo a unos minutos en coche. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a 9 minutos en coche de la estación de tren Alcalá de Henares (C2 y C7). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,,3906.0,True,False,False,False,[],False,False,250000.0,€,flat,,"Reyes Católicos, Alcalá de Henares",Piso en calle Cristóbal Colón,Top,CLK00/4958,,,,,,
