propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108668217,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/48/7b/1351628986.webp,43,2,890000.0,flat,sale,147.0,True,4,2,"avenida del Santuario de Valverde, 86",Madrid,Madrid,Fuencarral,es,Montecarmelo,40.5099047,-3.6947535,True,https://www.idealista.com/inmueble/108668217/,"¡Descubre tu nuevo hogar en este espectacular piso recién reformado! Con una superficie de 147 m², este inmueble cuenta con 4 amplios dormitorios, ideal para familias que buscan comodidad y espacio. El dormitorio principal destaca por su baño en suite, ofreciendo privacidad y confort. Todos los dormitorios están equipados con armarios empotrados lacados en blanco, perfectos para mantener el orden. Además, disfrutarás de 2 baños completos que facilitan la rutina diaria. La vivienda incluye 2 plazas de garaje y un amplio trastero, brindando soluciones de almacenamiento y aparcamiento. Las zonas comunes son amplias y cuidadas, con una piscina refrescante, un parque infantil con arenero y zonas verdes, ideales para disfrutar del aire libre en familia. El edificio está adaptado para personas con movilidad reducida, garantizando accesibilidad total. La ubicación es inmejorable, a solo 10 minutos a pie de la estación de metro de la línea 10 y con varias líneas de autobuses cercanas. Además, tendrás todos los servicios necesarios para el día a día a tu alcance. No dejes pasar la oportunidad de vivir en este magnífico piso que combina modernidad, confort y funcionalidad. ¡Ven a verlo y enamórate de tu futuro hogar!",False,good,False,True,6054.0,False,False,False,False,[],False,False,890000.0,€,True,True,flat,"Montecarmelo, Madrid","Piso en avenida del Santuario de Valverde, 86",,,,,
108845228,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/27/19/1356797943.webp,11,2,220000.0,flat,sale,68.0,True,2,1,calle de Valdecanillas,Madrid,Madrid,San Blas,es,Simancas,40.4310934,-3.6266604,False,https://www.idealista.com/inmueble/108845228/,"TENOCASA SUANZES SALVADOR te presenta tu nuevo hogar en Simancas: luminoso, cómodo y con todo lo que necesitas para vivir bien Te presentamos este encantador piso de 68 m2 ubicado en una segunda planta con ascensor, en una zona tranquila y bien comunicada del barrio de Simancas. Una vivienda pensada para quienes buscan comodidad, funcionalidad y calidad de vida, ya sea para vivir o invertir. Distribución perfecta: El piso cuenta con dos habitaciones amplias, ideales para una pareja, una familia pequeña o incluso para quienes necesiten un despacho en casa. El salón comedor es espacioso y luminoso, con salida directa a una terraza perfecta para relajarte al final del día o disfrutar de tus mañanas con un café al sol. y baño bien aprovechados: La cocina está lista para acompañarte en tus mejores recetas, y el baño completo tiene un diseño funcional que te brinda confort diario. Extras que marcan la diferencia: Trastero incluido, ideal para almacenaje extra. Ascensor, para olvidarte de las escaleras. Bien orientado, con luz natural durante todo el día. Comunidad tranquila y cuidada. Ubicación ideal: Estás a solo minutos del metro, líneas de autobús, comercios, colegios, parques y todos los servicios que hacen la vida más fácil. Simancas combina tranquilidad residencial con la cercanía al centro de Madrid. Un piso con alma, perfecto para entrar a vivir o como inversión rentable. No dejes pasar esta oportunidad: ven a visitarlo y enamórate. ¡Contáctanos hoy mismo y agenda tu visita!",True,renew,False,True,3235.0,True,False,False,False,[],False,False,220000.0,€,,,flat,"Simancas, Madrid",Piso en calle de Valdecanillas,,,,,
108718774,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/71/2c/1353077733.webp,19,1,229900.0,flat,sale,79.0,True,3,1,Centro,Madrid,Fuenlabrada,Centro,es,,40.2849597,-3.7887534,False,https://www.idealista.com/inmueble/108718774/,"Agencia inmobiliaria de FUENLABRADA zona FUENLABRADA CENTRO - METRO PARQUE DE LOS ESTADOS - CHASA I - II, VENDE PISO para actualizar en finca con ascensor. Ideal tanto para primera vivienda como para inversión. Ubicado a escasos 200m de la parada de MetroSur Parque de los Estados. En la zona de ubicación, podemos encontrar comercios, colegios, institutos, guarderías, bancos, farmacia, paradas de Autobús, y a escasos minutos, la parada de Renfe. Para cualquier consulta o dudas respecto a financiación, contacte con nuestro departamento comercial y consiga la mejor hipoteca.",True,good,False,True,2910.0,True,False,False,False,[],False,False,229900.0,€,,,flat,"Centro, Fuenlabrada",Piso,CENTRO_20251,,,,
108305263,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/17/7f/1340146789.webp,37,3,450000.0,flat,sale,138.0,True,4,2,Norte - Universidad,Madrid,Móstoles,Norte - Universidad,es,,40.3234128,-3.8721941,False,https://www.idealista.com/inmueble/108305263/,"B-HOME ofrece magnifica oportunidad! asesoramiento gratuito! ¡descubre tu nuevo hogar en Móstoles! ***** hasta 100% financiación ***** en una inmejorable ubicación. - este magnifico piso consta de las siguientes características: 4 DORMITORIOS. 2 BAÑOS COMPLETOS. TERRAZA. TRASTERO PISCINA COMUNITARIA. ZONAS COMUNES. MEJOR VER EN PERSONA, MEJOR URBANIZACION DE MOSTOLES. SITIO INMEJORABLE. B-HOME ofrece magnifica oportunidad! asesoramiento gratuito! ¡descubre tu nuevo hogar en Móstoles! ***** hasta 100% financiación *****.",False,good,False,True,3261.0,True,False,False,False,[],False,False,450000.0,€,True,True,flat,"Norte - Universidad, Móstoles",Piso,GRANADA,,,,
108581151,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/86/39/1349063797.webp,20,bj,305000.0,flat,sale,55.0,True,1,1,Barrio Adelfas,Madrid,Madrid,Retiro,es,Adelfas,40.3997286,-3.6699004,False,https://www.idealista.com/inmueble/108581151/,"CLICKHAUS VENDE estupenda vivienda semi a estrenar, con reforma integra de 2021 y excelente iluminación en Adelfas, en la calle más tranquila de la zona. Se trata de una vivienda en planta baja, consta de un dormitorio muy amplio con posibilidad de hacer diáfano junto al resto de espacios optimizando así la comodidad y disfrute del hogar. Baño contiguo a dormitorio, con excelente plato de ducha muy amplio, Cocina americana, totalmente completa e incorporada a estupendo salón-comedor, que da acceso a la vivienda e ideal para disfrutar en tu hogar mientras tienes todos los accesos y comodidades accesible. La vivienda cuenta con: - Salón-comedor amplio y luminoso. - Habitación principal de grandes dimensiones con armario empotrado de cuatro cuerpos. - Cuarto de baño con amplio plato de ducha. - Cocina americana con excelente extracción. - Aire acondicionado por maquinaria, bomba de frío/calor. Vivienda ideal para particulares que destaca por la tranquilidad de una ubicación excelente. Perfecta para parejas y perfil idóneo como inversión, pues cuenta con licencia de alquiler turístico/Airbnb. El barrio de Adelfas se caracteriza por la reciente construcción de sus viviendas, se pueden encontrar modernas viviendas con garaje, piscina, etc. Es la zona mejor comunicada del distrito, teniendo salidas por carretera (A3 Valencia, M30…) y por calles principales (Doctor Esquerdo, Avenida de Mediterráneo…). Además cuenta con diversidad de comercios como supermercados, farmacias, hospitales, hoteles, etc. Las líneas de metro que dan servicio a este barrio son la 1 y la 6 con la estación de Pacífico (L1 y L6 circular). ¡GRAN OPORTUNIDAD, MEJOR VER! Contacto: Ramiro García 6-7-8. 5_6_3. 4-7-9.",False,good,False,False,5545.0,True,False,False,False,[],False,False,305000.0,€,,,flat,"Adelfas, Madrid",Piso,,,,,
108803494,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/9e/67/1355610594.webp,30,1,197000.0,flat,sale,79.0,True,2,2,Centro,Madrid,Villaviciosa de Odón,Centro,es,,40.3567975,-3.9018759,False,https://www.idealista.com/inmueble/108803494/,"Inmobiliaria Eduardo Molet pone a la venta EN EXCLUSIVAlaNUDA PROPIEDAD de esta fantástica vivienda  en pleno centro de Villaviciosa de Odón Los actuales propietarios de 68 y 70 años mantendrán el USUFRUCTO VITALICIO de la misma  Presentamos esta excepcional propiedad ubicada en el corazón de Villaviciosa de Odón, ideal para inversores. Zona inmejorable, con todos los servicios en las inmediaciones.  Se trata de un piso que destaca por su buena conservación tras una reforma integral realizada hace dos años. Con una superficie construida de 79 m² (69,81 m² útiles), la vivienda cuenta con dos habitaciones dobles y dos baños completos, uno de ellos situado en el dormitorio principal dando así mayor confort y privacidad.  Cuenta con un amplio salón independiente que además, dispone de una terraza exterior con acceso desde el salón y uno de los dormitorios. Desde la cocina independite, podemos acceder a un estupendo patio de uso y disfrute con suficiente tamaño como para poder colocar una mesita y disfrutar de moemtos relajados  La situación estrátegica de la vivienda ofrece la posibbilidad a futuro de darle un uso, tanto de vivienda habitual ya que cuenta con todos los servicios en las cercanías sin tener que de depender de transporte para desplazarte, como para poder alquilarla dado a la alta demanda de alquiler en la zona a causa de las universidades cercanas Varias lineas de autobuses en los alrededores que comunican tanto con Madrid como con los municipios de los alrededores  LOS GASTOS DE ESTE TIPO DE INVERSIONES SE REPARTEN DEL SIGUINETE MODO   - EL NUDO PROPIETARIO: Ibi anual, derramas extraordinarias si se producen y parte del seguro de la viviena que se refiere a el continente   - EL USUFRUCTUARIO: Comunidad, consumos, tasa de basuras y parte del seguro de la vivienda que se refiere a el contenido  Si buscas una propiedad en una zona tranquila, bien comunicada y con una excelente distribución, esta es la opción perfecta. ¡No dudes en contactarnos para más información! En el precio de la vivienda no están incluidos los siguientes gastos:   Impuesto de transmisiones patrimoniales ( 6%)  Notaria ( entre 0,2 y 0,5%)  Registro de la propiedad ( entre 0,1% y 0,3%) Estos costes se pagan aparte y deben tener en cuenta al calcular el gasto total de la compra.",False,good,False,False,2494.0,False,False,False,False,[],False,False,197000.0,€,,,flat,"Centro, Villaviciosa de Odón",Piso,IEM-CRRT.ROCIO,,,,
107525582,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/e9/9f/1315045665.webp,1,bj,75000.0,flat,sale,91.0,True,1,1,calle de la Parra,Madrid,Bustarviejo,,es,,40.8572421,-3.7103247,False,https://www.idealista.com/inmueble/107525582/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULO ESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITAS IDEAL PARA INVERSORES Vivienda de 56 m², según Catastro, con 3 m² de trastero, 10 m² de aparcamiento y 22 m² de elementos comunes, a la venta en Bustarviejo, Madrid. La vivienda está distribuida en salón-comedor, un dormitorio, un cuarto de baño y cocina. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Es una planta baja en un bloque en buen estado de conservación. Muy bien comunicado por carretera (M-610) y transporte público. Próximo a todo tipo de servicios e infraestructuras como comercios, supermercados, farmacias, zonas verdes.. . SIN COMISIÓN La localización del activo es aproximada.",False,good,False,True,824.0,False,False,False,False,[],False,False,75000.0,€,,,flat,Bustarviejo,Piso en calle de la Parra,,81000.0,6000.0,7.0,
108126816,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/c1/ed/1334654776.webp,27,,604900.0,chalet,sale,249.0,,4,3,Sector 3,Madrid,Getafe,Sector 3,es,,40.2818282,-3.75097,False,https://www.idealista.com/inmueble/108126816/,"MAYA Consulting vende este magnífico chalet de 4 plantas ubicado en ARROYO CULEBRO una de las zonas más demandadas de Getafe. Un espacio ideal para familias que buscan comodidad, amplitud y una excelente calidad de vida. La vivienda cuenta con 4 habitaciones muy espaciosas, 2 baños completos y un aseo, y una espectacular buhardilla diáfana, perfecta como sala de juegos, despacho o zona de relax. El salón es amplio y luminoso, ideal para disfrutar en familia, y la cocina independiente es grande y funcional, con espacio suficiente para una mesa de comedor donde disfrutar de tiempo con la familia y amigos. En el exterior, te sorprenderá su patio recién reformado, que incluye una acogedora zona de porche para comidas al aire libre y una piscina con clorador salino, perfecta para refrescarse en verano sin salir de casa. Además, la vivienda dispone de un garaje privado con capacidad para tres coches, una orientación este-oeste que garantiza luz natural durante todo el día, y una caldera de gas natural nueva, lo que garantiza eficiencia y confort en calefacción y agua caliente. Su ubicación es inmejorable, con rápido acceso a la M-50 y A-42, lo que facilita la conexión con Madrid y alrededores. No dejes pasar la oportunidad de vivir en un entorno tranquilo, moderno y bien comunicado. ¡Este chalet lo tiene todo! MAYA Consulting, creando hogares desde el año 2000!",False,good,False,,2429.0,True,False,False,False,[],False,False,604900.0,€,True,True,chalet,"Sector 3, Getafe",Chalet adosado,29227M,,,,terracedHouse
108528686,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/92/67/1347584281.webp,20,bj,225900.0,flat,sale,66.0,True,2,1,calle de Villaviciosa de Odón,Madrid,Fuenlabrada,Centro,es,,40.2861953,-3.7964615,False,https://www.idealista.com/inmueble/108528686/,"Grupo tizona vende en exclusiva excelente vivienda que se distribuye de la siguiente manera: Hall de entrada con cocina independiente con muebles altos y bajos con vitrocerámica, campana y horno salón independiente amplio y luminoso con excelente estado de conservación  2 habitaciones exteriores, y baño reformado con plato de ducha y ventilación natural Patio comunitario de uso privativo de la vivienda  TOTALMENTE REFORMADO EXCELENTE ESTADO DE CONSERVACIÓN no dude de concertar una cita con nosotros  honorarios de intermediación incluidos en el precio.",True,good,False,False,3423.0,False,False,False,False,[],False,False,225900.0,€,,,flat,"Centro, Fuenlabrada",Piso en calle de Villaviciosa de Odón,FUENLABRADA - VILLA - MARINA,229900.0,4000.0,2.0,
107831256,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/69/e2/1325640289.webp,23,2,433000.0,flat,sale,83.0,True,3,1,"calle Alcala, 438",Madrid,Madrid,Ciudad Lineal,es,Quintana,40.437908,-3.6380602,True,https://www.idealista.com/inmueble/107831256/,"TECNOCASA- Estudio Inmobiliario Ciudad Lineal-Ascao S. L vende piso en muy buen estado para entrar a vivir, distribuido en salón, cocina, tres habitaciones, 1 baño y terraza, también cuenta con trastero.  Cuenta con ascensor, buenas vistas, calles peatonales y una muy buena ubicación a menos de 1 min de línea de metro y menos de 2 min a intercambiador de buses. El piso es exterior y cuenta con orientación Noroeste La ubicación es uno de sus puntos más fuertes. Situado junto a la calle Alcalá, y a muy poca distancia de Las Ventas, este inmueble disfruta de una excelente conexión con toda la ciudad. A pocos minutos a pie se encuentran varias paradas de metro y autobús, lo que facilita los desplazamientos tanto al centro como a otras zonas de Madrid. Además, la salida rápida a la A-2 y M-30 lo convierte en una excelente opción para quienes necesiten moverse en coche. El barrio es tranquilo pero con todos los servicios: supermercados, farmacias, colegios, zonas deportivas, parques, bares de barrio y restaurantes. Una zona consolidada, familiar y segura, con ambiente de barrio tradicional y, a la vez, con proyección y demanda creciente. Una vivienda completa, con muchísimas posibilidades y en una zona con gran calidad de vida. Ideal para quienes buscan una casa definitiva o un proyecto de reforma en una ubicación con alta rentabilidad futura. No dejes pasar la oportunidad, y haz de este tu nuevo hogar!",False,good,False,True,5217.0,False,False,False,False,[],False,False,433000.0,€,,,flat,"Quintana, Madrid","Piso en calle Alcala, 438",,444000.0,11000.0,2.0,
