propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
106942353,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/0f/51/1298301374.webp,NP2101251254,30,1295000.0,chalet,sale,197.0,4,5,calle de la Azalea,Madrid,La Moraleja,El Soto de la Moraleja,es,40.5207079,-3.6497269,False,https://www.idealista.com/inmueble/106942353/,"NEO Patrimonial vende chalet en el Soto de la Moraleja, Alcobendas Dispone de 197m² de superficie construida según catastro, 194m² pertenecen a la vivienda y el resto a las zonas comunes. Se distribuye en 4 plantas, en la primera encontramos un amplio salón-comedor muy luminoso gracias al ventanal que da salida a un porche cerrado que a su vez da acceso al jardín, cocina amueblada con zona de office y 1 aseo. En la segunda planta se sitúa la zona de descanso con 3 dormitorios dobles y 2 baños completos, 1 de ellos en suite en el dormitorio principal. En la buhardilla encontramos un amplio dormitorio con almarios a medida, baño completo y salida a una terraza con vistas despejadas. Cuenta también con sótano con luz natural, en el que podemos encontrar 1 cuarto despensa, trastero, zona de lavandería, una amplia zona de estar y baño completo. Se encuentra en perfecto estado de conservación. Carpintería exterior de aluminio, carpintería interior de madera lacada en blanco y suelos de parquet en toda la vivienda excepto en la buhardilla que es moqueta y zonas de agua que son de gres. Calefacción y agua caliente independientes por caldera de Gas Natural, aire acondicionado con bomba de frio y calor, armarios empotrados, terraza, puerta blindada y plaza de garaje. La finca cuenta con zonas comunes y ajardinadas, vigilancia, piscina comunitaria, pista de pádel. Bien ubicado en zona consolidada, rodeado de todos los servicios de ocio y primera necesidad bancos, restauración, supermercados, centros de salud y hospitales además de parques, zonas infantiles y grandes superficies comerciales Bien comunicado a través de diferentes líneas de autobús y a pocos minutos de carreteras principales como M-30, M-40 y A-1. *Impuestos ITP o IVA y gastos, notaría, registro, gestoría etc. no incluidos. NEO Patrimonial le ofrece la posibilidad de hacer cualquier tipo de reforma de esta vivienda al mejor precio.",False,good,False,6574.0,False,False,False,False,[],False,False,1295000.0,€,True,True,chalet,terracedHouse,"El Soto de la Moraleja, La Moraleja",Chalet adosado en calle de la Azalea,,,,,,,,
108839121,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/b2/74/1356617216.webp,,42,800000.0,flat,sale,147.0,3,2,"CL DOCTOR ESQUERDO, 154",Madrid,Madrid,Retiro,es,40.4036408,-3.6729995,True,https://www.idealista.com/inmueble/108839121/,"¡Descubre tu nuevo hogar en el corazón de la ciudad! Este amplio piso de 147 m², situado en la segunda planta de un edificio con conserje, ofrece un sinfín de posibilidades. Con tres luminosos dormitorios y dos baños, cada rincón se puede transformar en el espacio de tus sueños. La cocina y el salón-comedor son perfectos para disfrutar de momentos inolvidables en familia o con amigos.  Los armarios empotrados en todas las habitaciones brindan un gran espacio de almacenamiento, mientras que la calefacción por gas natural garantizan tu comodidad durante todo el año. Además, el inmueble es apto para personas con movilidad reducida, lo que lo convierte en una opción ideal para todos. Ubicado a pocos pasos de la estación de metro de Pacífico y con varias líneas de autobuses cercanasSEN), tendrás acceso rápido y fácil a toda la ciudad. Aunque necesita reforma, este piso tiene un gran potencial para convertirse en tu refugio personal. ¡No pierdas la oportunidad de visitarlo y comenzar a imaginar tu futuro aquí!",True,renew,False,5442.0,False,False,False,False,[],False,False,800000.0,€,,,flat,,"Pacífico, Madrid","Piso en Cl Doctor Esquerdo, 154",2,True,Pacífico,True,,,,
107864731,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/29/23/1326618888.webp,3685,37,785000.0,flat,sale,124.0,3,3,calle de la Cabeza,Madrid,Madrid,Centro,es,40.4135738,-3.6998264,False,https://www.idealista.com/inmueble/107864731/,"¡Inversión perfecta en el corazón de Madrid! Se vende espectacular propiedad reformada integralmente, situada en Calle Cabeza de Madrid, en planta baja, ideal para inversores que buscan rentabilidad inmediata. Con una superficie total de 124m² construidos según catastro, esta vivienda ha sido transformada en 3 modernos apartamentos independientes, cada uno diseñado con estilo contemporáneo, funcionalidad y altos estándares de calidad. Cada unidad se encuentra actualmente alquilada por estancias cortas, generando una renta mensual total de 3.900€ (1.300€/mes por apartamento), lo que representa una excelente oportunidad de inversión con rentabilidad demostrada desde el primer día. Distribución de cada apartamento: • Salón-comedor con cocina americana totalmente equipada • 1 dormitorio • 1 baño completo • Equipamiento moderno y acabados de alta gama Características Básicas: Zona: Ciudad Centro / Madrid Conservación: Entrar a vivir Antigüedad 1890 - Reformados. Tipo Cocina Americana - Equipada Tipo Calefacción Gas natural Agua Caliente Gas Natural Tipo Suelo Gres Vistas A la calle e interior. Regimen Libre Muebles Aire Acondicionado TV. Autobuses Metro Ubicación inmejorable: A solo unos pasos de zonas icónicas como La Latina, Plaza Mayor y Atocha-Renfe, con acceso inmediato a zonas de ocio, metro, autobuses, supermercados, centro de salud y todo tipo de servicios. Una zona céntrica y vibrante, muy demandada tanto por residentes como por turistas. Otros datos de interés: • Ideal para alquiler tradicional o turístico (según normativa vigente) • Documentación al día y lista para escriturar No dejes pasar esta oportunidad de adquirir un activo inmobiliario sólido y altamente rentable en una de las mejores zonas de Madrid. Contacta con nosotros y agenda tu visita hoy mismo al teléfono o también por WhatsApp. ¡En PISOFÁCIL te lo ponemos muy fácil! Nota: El precio puede ser modificado o retirado sin previo aviso. Todos los datos son orientativos. El precio no incluye impuestos ni gastos asociados a la compra. SERVICIOS AL COMPRADOR - Estudio de solvencia totalmente gratuito. - Financiación hasta un 100%, sujeto a estudio. - Acuerdos con entidades bancarias para obtener las mejores condiciones en tu préstamo hipotecario. - Asistencia profesional durante todo el proceso de compra-venta, incluso después de la firma de escrituras. - Más de 15 años de experiencia en el sector inmobiliario a tu servicio. Referencia: 3685.",False,good,False,6331.0,False,False,False,False,[],False,False,785000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de la Cabeza,bj,True,Lavapiés-Embajadores,False,870000.0,85000.0,10.0,
96296030,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/ca/67/943076081.webp,f271,6,1020000.0,flat,sale,110.0,2,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,40.4328218,-3.6718531,False,https://www.idealista.com/inmueble/96296030/,"Excelente piso completamente reformado con exquisitas calidades. Sus estancias se caracterizan por la luminosidad y la tranquilidad, creando así un espacio armonioso. La vivienda consta de dormitorio principal con baño en suite, y otro dormitorio amplio, con armarios empotrados y un baño independiente. La zona social compuesta por cocina equipada y amueblada con electrodomésticos de primeras marcas, comedor y salón. Aire acondicionado y calefacción central.  La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,9273.0,False,False,False,False,[],False,False,1020000.0,€,True,False,flat,,"Lista, Madrid",Piso,3,True,Lista,True,,,,40000.0
107843457,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/4b/35/1326002023.webp,,25,450000.0,flat,sale,129.0,3,2,calle de la Magdalena,Madrid,Madrid,Centro,es,40.4133731,-3.7014474,False,https://www.idealista.com/inmueble/107843457/,"'Agencia inmobiliaria de MADRID zona TIRSO DE MOLINA - HUERTAS Oficina Tecnocasa VENDE! NUDA PROPIEDAD. ESPACIO, LUZ Y SILENCIO en el corazón de Madrid. Piso excepcionalmente luminoso, con cerramientos en ventanas y terraza que garantizan el silencio. Sistema de seguridad con cámaras de videovigilancia. Diseño actualizado para optimizar el espacio. Inmejorable ubicación, a metros de calle Atocha. Se distribuye en gran salón-comedor, cocina independiente, 3 habitaciones y 2 baños. Ventanas en todas las estancias. Amplio TRASTERO. Finca muy tranquila. ASCENSOR. No dudes visitarlo sin compromiso. Te va a encantar! Muy bien comunicado: metro Tirso de Molina (L1) a 3 min. , metro Sol (L1, 2,3 y cercanías) a 10 min, Atocha Renfe a 10 min. ¡Excelente zona! Situado entre Antón Martín y Huertas, el piso se encuentra en una de las zonas con mayor demanda inmobiliaria de Madrid. De orígenes medievales, el barrio goza hoy de un ambiente multicultural donde conviven centenares de negocios típicos y exóticos. Centros culturales, teatros y museos, así como mercados, restaurantes y bares, ofrecen a visitantes y locales una variada propuesta cultural, de ocio y gastronómica. Quiere conocer el valor real de su inmueble? Ofrecemos a nuestros vecinos VALORACIONES GRATUITAS y sin ningún compromiso de viviendas, locales y plazas de garaje. Nos avalan 20 años de experiencia en la zona, formando parte de esta gran empresa, líder en España y Europa en el sector de la intermediación inmobiliaria. Asesoramiento y gestión en: COMPRAVENTA, ARRENDAMIENTO, CAMBIO de VIVIENDA, HERENCIA, VENTA DE NUDA PROPIEDAD, VENTA DE PROINDIVISO, CAMBIO de USO, CERTIFICADO ENERGÉTICO. Nuestro departamento KIRON, expertos en intermediación financiera, le ayudarán a encontrar la solución hipotecaria que mejor se adapte a sus necesidades. Estamos a su disposición para cualquier consulta. "".",False,good,False,3488.0,False,False,False,False,[],False,False,450000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de la Magdalena,5,True,Lavapiés-Embajadores,True,510000.0,60000.0,12.0,
108107887,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/2d/91/1334061779.webp,,11,228000.0,flat,sale,43.0,2,1,calle de los Tres Peces,Madrid,Madrid,Centro,es,40.4103796,-3.6978879,False,https://www.idealista.com/inmueble/108107887/,"� ¡Oportunidad ÚNICA en Lavapiés! Apartamento 2 Dormitorios TOTALMENTE Reformado – Rentabilidad 5% Descubre este espectacular apartamento recién reformado en la mejor zona del dinámico barrio de Lavapiés, a solo 1 minuto de la Calle Santa Isabel y el emblemático Mercado de Antón Martín. Una vivienda perfecta tanto para vivir como para invertir con total tranquilidad. � Detalles que marcan la diferencia:  2 dormitorios confortables: •Principal con cama de 135 cm y amplio armario vestidor •Secundario con cama de 105 cm y armario vestidor  Cocina americana moderna equipada con todos los electrodomésticos.  Baño de diseño: •Plato de ducha 90x80 cm •Ducha termostática •Mampara de vidrio templado  Excelentes calidades: •Tarima laminada de roble natural talqueado (AC5 Plus) •Puertas y armarios lacados en blanco •Calefacción individual mediante radiadores eléctricos � ¡Inversores atentos! Rentabilidad garantizada del 5%. Listo para alquilar o entrar a vivir ¡YA! � Ubicación privilegiada: Metro y autobuses EMT a la puerta, rodeado de vida cultural, gastronómica y con todos los servicios al alcance. � ¡No pierdas esta oportunidad! Un piso con encanto, ubicación top y alta rentabilidad.",True,good,False,5302.0,True,False,False,False,[],False,False,228000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de los Tres Peces,bj,False,Lavapiés-Embajadores,False,244000.0,16000.0,7.0,
106313155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/b2/5a/1279082525.webp,FG2,7,2150000.0,penthouse,sale,240.0,2,3,calle de los Madrazo,Madrid,Madrid,Centro,es,40.4160328,-3.6981309,False,https://www.idealista.com/inmueble/106313155/,"Belton presenta magnífico ático completamente exterior con reforma de lujo situado en una maravillosa finca de principios de siglo situado en una de las zonas más emblematicas de Madrid, junto al congreso de los diputados. La vivienda exterior, de techos altos de madera y vistas despejadas, se distribuye de la siguiente manera: la zona de día cuenta con un salón-comedor muy luminoso, gracias a su gran ventanal, a través del cual accedemos a la magnífica terraza. Cocina independiente totalmente equipada y un baño completo con ducha e inodoro independientes. La zona de noche se divide en dos amplios dormitorios, el dormitorio principal cuenta con una gran cantidad de armarios empotrados y techos de madera de color natural con vigas vistas, el otro dormitorio también de gran tamaño dispone de vestidor.  Todas las estancias tienen ventilación y luz natural. La vivienda cuenta con ascensor, calefacción por gas natural y aire acondicionado. Se vende totalmente equipada, lista para entrar a vivir. Este fantástico ático con terraza es una oportunidad única en el centro histórico de Madrid, interesante tanto para inversiones como para particulares. Adentrarse en el Barrio de las Letras es sumergirse en la historia viva del Siglo de Oro Español. Muy cerca de las pinacotecas más importantes del mundo, el llamado Triángulo Del Arte, la zona de Las Cortes, famosa por la intensa actividad literaria que se desarrolló en los siglos XVI y XVII, ofrece una amplia oferta cultural, una completa gama de comercios y una exquisita gastronomía nacional e internacional. Es el barrio simbólico donde se funde tradición y vanguardia, teniendo una ubicación privilegiada, a escasos minutos del nuevo complejo de lujo Canalejas, cerca del Paseo del Prado, la plaza de Neptuno y el Real Jardín Botánico. El inmueble está rodeado de galerías de arte, filmotecas, anticuarios y una diversa oferta de cafeterías y restaurantes, que hacen de ""El Barrio de Las Letras"" sin duda uno de los barrios más especiales del centro de Madrid. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,8958.0,False,False,False,False,[],False,False,2150000.0,€,,,flat,penthouse,"Huertas-Cortes, Madrid",Ático en calle de los Madrazo,6,True,Huertas-Cortes,True,,,,
107713193,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/b2/f0/1320660004.webp,4790,7,2200000.0,flat,sale,135.0,3,3,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,40.4258131,-3.6853583,False,https://www.idealista.com/inmueble/107713193/,"Exclusiva vivienda reformada en edificio clásico en Recoletos Ubicada en una de las zonas más prestigiosas de Madrid, esta elegante propiedad se encuentra en una finca señorial clásica, con fachada representativa y portería. El piso ha sido completamente reformado con acabados de lujo que combinan diseño contemporáneo y respeto por los elementos originales del edificio. Con una superficie distribuida de forma funcional, la vivienda cuenta con dos balcones a la calle, que aportan luminosidad y carácter al amplio salón-comedor, donde se integra una moderna cocina americana equipada con electrodomésticos de alta gama. Dispone de tres habitaciones en suite, todas con baño privado y armarios empotrados de diseño, ofreciendo máxima privacidad y confort. Un piso elegante, de diseño con una espectacular reforma realizada por un prestigioso arquitecto. Una propiedad única para quienes buscan una combinación perfecta entre clásico y moderno, en pleno corazón del barrio de Recoletos. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,16296.0,False,False,False,False,[],False,False,2200000.0,€,True,False,flat,,"Recoletos, Madrid",Piso,5,True,Recoletos,True,,,,50000.0
108603054,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7d/26/14/1357885295.webp,,47,710000.0,flat,sale,135.0,3,2,calle de Juan Ramón Jiménez s/n,Madrid,Alcobendas,Norte,es,40.5463757,-3.6588613,True,https://www.idealista.com/inmueble/108603054/,"Inmobiliaria en Alcobendas NORTE- Tecnocasa Estudio Paseo Chopera S. L.  En VENTA Vivienda REFORMADA, en Cuarta planta alta con ascensor en una de las Urbanizaciones más demandadas del Barrio. Piscina, Pista de Tenis, Garaje y trastero. Totalmente exterior, cuenta con 135m2 Construidos, trastero y plaza de Garaje. La vivienda dispone de 3 Dormitorios grandes con Armarios empotrados y vestidos, 2 baños amplios del cual uno se reformó recientemente, con calentador toallero ambos. Salón de unos 30m2 con gran que nos da acceso a amplia terraza de casi 8 metros con excelentes vistas despejadas.  Cocina con encimera de Granito de 20mm, se entrega amoblada y equipada con Horno, Microondas, campana extractora, vitrocerámica, lavavajilla, lavadora y nevera Americana. Suelos de Parquet en buen estado. Paredes Lisas y techos aislados. Ventanas de Climalit y persianas eléctricas en salón.  Caldera de Gas Natural Vaillant. Aire Acondicionado en Salón Mitsubishi Nuevo. Puerta principal Blindada de seguridad. Puertas de Roble Entrada amplia con Armario. OFRECEMOS ESTUDIOS FINANCIERO CON HIPOTECAS AL 100% CON NUESTRO DEPARTAMENTO FINANCIERO KIRON.",False,good,False,5259.0,False,False,False,False,[],False,False,710000.0,€,True,True,flat,,"Norte, Alcobendas",Piso en calle de Juan Ramón Jiménez s/n,4,True,,True,,,,
108851291,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/1e/d3/1356975857.webp,H2802162,11,375000.0,flat,sale,68.0,3,1,calle de Ramón Gómez de la Serna,Madrid,Madrid,Fuencarral,es,40.4822538,-3.7267499,False,https://www.idealista.com/inmueble/108851291/,"Homes by Gestilar vende esta excelente vivienda totalmente exterior de 68 m2 construidos con terraza en Fuencarral-El Pardo, una de las zonas más tranquilas y residenciales de Madrid.   La vivienda se caracteriza por su excelente orientación sudoeste, lo que destaca su luminosidad, además cuenta con una distribución muy versátil que ofrece una gran cantidad de posibilidades. Dispone de un amplio salón comedor, en el que se integra una cocina abierta, que se entrega totalmente equipada con electrodomésticos de primeras marcas, 3 dormitorios y 1 baño y un balcón para disfrutar del exterior.   Toda la vivienda da al exterior, lo que garantiza que la entrada de luz natural y la ventilación sean excelentes. Respecto al diseño, una estética moderna y unos acabados y materiales de primera calidad garantizan el máximo confort desde el primer momento.   Ubicado en una de las mejores zonas residenciales de todo Madrid, muy cercana del barrio del Pilar y Mirasierra, cuenta con una enorme variedad de comercios y servicios, con unas excelentes comunicaciones, tanto en transporte público como privado, teniendo muy próximas las estaciones de metro de Lacoma y Avenida de la Ilustración.   ¡Homes by Gestilar somos propietarios de todos nuestras viviendas en venta en Madrid, no cobramos comisiones!",False,good,False,5515.0,True,False,False,False,[],False,False,375000.0,€,,,flat,,"Peñagrande, Madrid",Piso en calle de Ramón Gómez de la Serna,1,True,Peñagrande,True,,,,
