propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,detailedType.subTypology
108547153,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/b9/19/1348128367.webp,1061,18,2,279000.0,flat,sale,77.0,True,3,1,"calle de Reinosa, 4",Madrid,Fuenlabrada,La Serna,es,40.2960747,-3.8056767,True,https://www.idealista.com/inmueble/108547153/,"¡UNA AUTÉNTICA JOYA EN FUENLABRADA! TOTALMENTE REFORMADO Y LISTO PARA ENTRAR A VIVIR – Zona La serna En una 2ª planta con ascensor. Perfecto para quienes desean hacer una mudanza directa y sin preocupaciones, en una zona consolidada con todo al alcance: colegios, centros comerciales, parques y transporte. ¿Buscas un hogar que no solo esté listo para entrar a vivir, sino que te conquiste desde el primer minuto? Esta vivienda te ofrece justo eso: estilo, confort y una ubicación excelente. Situado en una zona tranquila y con todos los servicios al alcance, este piso de 64m² útiles es ideal para parejas o familias que valoran el diseño, la funcionalidad y la cercanía a zonas verdes y transporte público. Reforma integral reciente: electricidad, fontanería, puertas, ventanas, paredes lisas… absolutamente todo actualizado con muy buen gusto. Fachada completamente rehabilitada en Sate (Sistema de Aislamiento Térmico por el Exterior). Muy cerca del ""Parque Norte"" / ""Parque canino El Naranjo"", campo de futbol, etc. Ubicación inmejorable tanto para el día a día como para el disfrute familiar. La vivienda se compone de: - Recibidor precioso de 2,5m2, decorado con papel pintado de alta calidad. - Salón-comedor amplio y muy acogedor de 18m2, con zona de estar y comedor claramente diferenciadas, todo en un espacio que transmite calidez y modernidad. Aire acondicionado “inverter” para una climatización perfecta en verano y calefacción individual por gas natural para el invierno. - Terraza 5,5m2 contigua al salón amplia, ideal para poder desayunar o cenar y contar con una zona independiente a exterior. - 3 dormitorios, todos exteriores (10,5, 7,5 y 8m2), decorados con buen gusto y luz natural.  El principal dormitorio principal cuenta con un vestidor. Dicha estancia, podría volver a pasar de forma muy sencilla a un tercer dormitorio sin prácticamente obra.  - Cocina totalmente equipada de 10m2, reformada con muebles en blanco, encimera en color roble y electrodomésticos en blanco. Cuenta con una zona diferenciada para la colada con ventanas a exterior. - Baño reformado  de 4,2m2 con excelentes calidades, con plato de ducha blanco, mampara de cristal, mueble en madera natural y lavabo de 2 senos. Detalles que marcan la diferencia. Extras y puntos clave: - Suelos cerámicos imitación a madera de alta calidad, ventanas climalit, iluminación led empotrada y muy cuidada con una óptima distribución de lineas. - Aire acondicionado con split en salón. - Listo para disfrutar desde el primer día. Ven a visitarlo. Pisos así, reformados, bien situados y sin necesidad de hacer nada, no duran mucho. Tu nuevo hogar te espera. Delavera consultores Inmobiliarios expertos en la zona Sur y Oeste de Madrid.",True,good,False,True,3623.0,False,False,False,False,[],False,False,279000.0,€,290000.0,11000.0,4.0,flat,"La Serna, Fuenlabrada","Piso en calle de Reinosa, 4",,,,
108403684,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/ed/1b/1353496241.webp,36201,25,3,450000.0,flat,sale,186.0,True,4,2,calle Granada,Madrid,Móstoles,Norte - Universidad,es,40.3274785,-3.8752905,False,https://www.idealista.com/inmueble/108403684/,"Maravilloso piso de 4 habitaciones y 2 baños, en Móstoles.    186 m2 construidos. 141 m2 útiles. Orientación Sur - Oeste.    Salón independiente.    Terraza.    Cocina independiente equipada, con office y tendedero.    Calefacción eléctrica por suelo radiante y aire acondicionado.    Armarios empotrados, suelo de gres, ventanas dobles y puertas de madera.    Dispone de 2 plazas de garaje y trastero.    Piscina y zona ajardinada.    Ascensor y acceso adaptado a personas con capacidad de movilidad reducida.    NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.    Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no.    INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio.    Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",True,good,False,True,2419.0,False,False,False,False,[],False,False,450000.0,€,,,,flat,"Norte - Universidad, Móstoles",Piso en calle Granada,True,True,,
107141723,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/32/1f/1304246593.webp,bn2,3,5,2960000.0,flat,sale,240.0,True,4,2,calle de Fortuny,Madrid,Madrid,Chamberí,es,40.4302899,-3.6895833,False,https://www.idealista.com/inmueble/107141723/,"Belton Real Estate ofrece este estupendo piso situado en una de las zonas más emblemáticas de Almagro, situado en una maravillosa finca representativa de principios de siglo. Dispone de un amplio salón muy luminoso debido a sus cinco balcones a la calle. Actualmente tiene 4 dormitorios y dos baños. El inmueble se encuentra para reforma completa. Tiene muchas posibilidades ya que la vivienda no dispone apenas de muros de carga y se puede distribuir al gusto de cada uno. Dicen sus vecinos que Chamberí es uno de los barrios más castizos de Madrid. Y nos les falta razón, aunque también es unos de los más elegantes. Un paseo por sus calles nos hace disfrutar de hermosísimos arbolados, de plazas acogedoras como la de Olavide y de edificios emblemáticos como el Hospital de Maudes, la Casa de las Flores o los palacetes del conocido “Triángulo de Oro”: un área donde se instaló a finales del siglo XIX y principios del XX gran parte de la aristocracia madrileña y que va desde el paseo de la Castellana hasta a las calles Génova, Almagro y Miguel Ángel. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,renew,False,True,12333.0,False,False,False,False,[],False,False,2960000.0,€,,,,flat,"Almagro, Madrid",Piso en calle de Fortuny,,,Almagro,
108514654,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/36/6a/1347181402.webp,W-V-1971,8,ss,435000.0,flat,sale,64.0,True,2,1,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,40.4325373,-3.6747815,False,https://www.idealista.com/inmueble/108514654/,"� Vivienda con Encanto en Juan Bravo – Barrio de Salamanca Exclusivo piso de 64 m² en una de las calles más emblemáticas del Barrio de Salamanca. Ideal para vivir o invertir en una zona con alta demanda y excelente conexión (a solo 30 segundos del metro Diego de León). ✔ 2 dormitorios ✔ Salón-comedor amplio ✔ Cocina independiente ✔ Baño completo ✔ Reformas en curso (interior y fachada) ✔ Ventanas climalit, persianas eléctricas y armarios empotrados ✔ Suelos de tarima y puertas de madera barnizada Ubicación privilegiada, rodeado de tiendas de lujo, restaurantes gourmet y todos los servicios. Una vivienda con personalidad, lista para convertirla en tu hogar. � ¡Contáctanos para visitarla!",False,renew,False,True,6797.0,True,False,False,False,[],False,False,435000.0,€,,,,flat,"Lista, Madrid",Piso,,,Lista,
107925323,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/0a/aa/92/1328486986.webp,SOLVIA STORE ALCOBENDAS 6,60,1,150000.0,flat,sale,43.0,True,1,1,calle de Abastos,Madrid,Aranjuez,Centro,es,40.032585,-3.6004857,False,https://www.idealista.com/inmueble/107925323/,"¡Descubre tu nuevo hogar en el corazón de Aranjuez! Este encantador piso de 43 m², ubicado en una de las mejores zonas del centro, está listo para entrar a vivir. La vivienda, que se encuentra en un estado impecable, cuenta con un dormitorio independiente equipado con un práctico armario empotrado y un baño completo que ofrece toda la comodidad que necesitas. Disfruta de la luz natural que inunda cada rincón gracias a sus ventanas de PVC con rotura de puente térmico. La cocina está completamente equipada, ideal para preparar deliciosas comidas. Además, el aire acondicionado frío/calor por conductos garantiza un ambiente agradable durante todo el año.  No te preocupes por el espacio, ya que también incluye un trastero y una plaza de garaje, todo en el precio. Las zonas comunes son perfectas para disfrutar de momentos de relajación. La ubicación es inmejorable, a escasos metros del centro de salud y rodeado de todos los servicios esenciales. ¡No dejes pasar esta oportunidad y ven a visitarlo!",False,good,False,True,3488.0,False,False,False,False,[],False,False,150000.0,€,155000.0,5000.0,3.0,flat,"Centro, Aranjuez",Piso en calle de Abastos,True,True,,
108428210,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/18/ae/1344578792.webp,,13,2,495000.0,flat,sale,54.0,False,2,1,calle de Antonio Toledano,Madrid,Madrid,Barrio de Salamanca,es,40.4262591,-3.6677786,False,https://www.idealista.com/inmueble/108428210/,"LAVAMA URBAN presenta este encantador piso de 50 metros cuadrados, completamente reformado a estrenar, ubicado en la prestigiosa zona de Fuente del Berro, en Salamanca. Este inmueble ofrece un espacio moderno y funcional, ideal tanto para quienes buscan su hogar en una de las zonas más cotizadas de Madrid, como para inversores interesados en alquileres de alta demanda. El piso cuenta con una distribución práctica que incluye dos dormitorios, un salón con cocina integrada y un baño completo. Al ser interior, disfruta de una tranquilidad absoluta y ventanas que dan a un hermoso patio, permitiendo la entrada de abundante luz natural que ilumina todo el espacio, creando un ambiente cálido y acogedor. La reforma integral garantiza acabados de calidad y un diseño actual, listo para entrar a vivir. La ubicación en Fuente del Berro, una zona residencial de alto nivel, ofrece un excelente potencial para vivir en un entorno privilegiado y disfrutar de la tranquilidad a un paso de importantes centros de ocio, gastronómicos, y con excelente comunicación al resto de la ciudad.",True,good,False,False,9167.0,True,True,False,False,[],False,False,495000.0,€,515000.0,20000.0,4.0,flat,"Fuente del Berro, Madrid",Piso en calle de Antonio Toledano,,,Fuente del Berro,
107543874,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/eb/4d/1315605548.webp,GIN000061,49,bj,410000.0,flat,sale,140.0,True,3,2,Abantos - Carmelitas,Madrid,San Lorenzo de El Escorial,Abantos - Carmelitas,es,40.594265,-4.1476819,False,https://www.idealista.com/inmueble/107543874/,"BAJO CON JARDÍN EN EL CASCO URBANO DE SAN LORENZO de EL ESCORIAL SIN HONORARIOS AL COMPRADOR ¿Buscas un hogar único en un entorno histórico? Este exclusivo bajo con jardín en San Lorenzo de El Escorial te ofrece la combinación perfecta de confort, naturaleza y encanto arquitectónico. Con 140m2 construidos este piso, originalmente 3 dormitorios y 2 baños, es hoy un espacio diáfano completamente rehabilitado en 2017 (desde los cimientos, la fontanería, la electricidad y la restauración de las ventanas originales de madera por un maestro ebanista), totalmente exterior al jardín que lo rodea Un hogar con historia y modernidad Ubicado en la planta baja de una casa de piedra, este inmueble ha sido íntegramente reformado, ofreciendo un diseño contemporáneo sin perder su esencia original. La luminosidad y la conexión con el exterior hacen que cada rincón de esta vivienda sea especial. Un jardín privado para disfrutar La joya de esta propiedad es su amplio jardín, ideal para diseñar tu propio oasis al aire libre, disfrutar de momentos de relax o recibir invitados en un entorno natural y tranquilo, con unas vistas inigualables. Vida en San Lorenzo de El Escorial San Lorenzo de El Escorial ofrece un estilo de vida tranquilo y exclusivo, con un equilibrio perfecto entre historia, naturaleza y comodidades modernas. Sus calles empedradas, su arquitectura tradicional y el majestuoso Monasterio crean un ambiente único. La zona cuenta con una excelente oferta cultural, gastronómica y de ocio, con eventos durante todo el año. Es un lugar ideal tanto para familias como para quienes buscan escapar del bullicio de la ciudad sin renunciar a los servicios esenciales. Su cercanía a la sierra permite disfrutar de actividades al aire libre en un entorno natural privilegiado. Centros comerciales en la zona En San Lorenzo de El Escorial y la cercana localidad de El Escorial hay una variada oferta comercial con tiendas locales, boutiques y mercados tradicionales.  Y en las cercanías los Centros Comerciales; Los Valles, Planetocio, Espacio Torrelodones, Gran Plaza, etc Restauración y ocio en la zona La gastronomía en San Lorenzo de El Escorial es una de sus grandes fortalezas. Se pueden encontrar desde restaurantes de cocina tradicional castellana hasta opciones más modernas e internacionales. El ocio se complementa con teatros, salas de conciertos y actividades culturales organizadas en torno al Monasterio, el Real Coliseo de Carlos III y al Teatro Auditorio. Naturaleza en la zona La localidad está rodeada de un entorno natural privilegiado, con múltiples parques y rutas de senderismo. Destacan el Bosque de La Herrería, ideal para paseos relajantes, y el Parque Nacional de la Sierra de Guadarrama, con impresionantes rutas de montaña.  Supermercados en la zona La oferta de supermercados incluye cadenas como Supercor, Mercadona, Carrefour Market, Día, LIDL y Ahorramás, además de tiendas especializadas y mercados locales con productos frescos y de proximidad. También hay pequeñas tiendas gourmet y panaderías tradicionales que complementan la oferta de alimentación. Hospitales en la zona San Lorenzo de El Escorial dispone del Hospital El Escorial, un centro público con servicios de urgencias y especialidades médicas. Además, hay varias clínicas privadas y centros de salud en la zona. El Hospital General de Villalba, se encuentra a 20 minutos en coche y el Hospital privado HM Torrelodones a otros 25 minutos. Colegios en la zona La oferta educativa incluye centros públicos, privados y concertados de prestigio, como el IES Juan de Herrera, el Colegio San Ignacio de Loyola y el Colegio Gredos San Diego. También hay opciones bilingües y colegios con programas internacionales, garantizando una educación de calidad para todas las edades. No dejes pasar esta oportunidad única en San Lorenzo de El Escorial. ¡Contáctanos para más información o para visitarlo! El precio no incluye impuestos, ni gastos...",True,good,False,False,2929.0,True,False,True,False,[],False,False,410000.0,€,,,,flat,"Abantos - Carmelitas, San Lorenzo de El Escorial",Piso,,,,
108896483,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/63/e3/1358245190.webp,IDE1280725,16,1,160000.0,flat,sale,76.0,True,2,1,calle Inmaculada,Madrid,Collado Villalba,Villalba Estación,es,40.6261021,-4.0082502,False,https://www.idealista.com/inmueble/108896483/,"Inmobiliaria VOhome propiedades Collado Villalba vende: Piso de 2 dormitorios con ascensor en la zona de Villalba Estación. La vivienda se encuentra distribuida en hall recibidor, salón comedor, cocina americana, un baño completo y 2 dormitorios con armarios empotrados. Dispone de calefacción individual por gas natural, ventana de PVC con cristales climalit, suelo de tarima y paredes lisas. Este inmueble cuenta con mucha luz gracias a su orientación Sur-Oeste, destaca por su ubicación y comodidad por contar el edificio de ascensor, muy cerca de paradas de autobús y comercios. Inmejorable ubicación, muy cercana a colegios, centros comerciales y de ocio como C. C. El Zoco, C. C. El Canguro, C. C. Los Valles y C. C. Planetocio. Fácil acceso A-6, con un amplio abanico de transportes públicos como tren de cercanías, o autobuses urbanos e interurbanos que hacen de esta localidad de fácil y rápido acceso a Madrid. Por todo ello, Collado Villalba es la mejor de las opciones si buscas ubicación, tranquilidad, accesibilidad y todo tipo de servicios en la sierra de Madrid. En el precio de venta no están incluidos los gastos de compra ( Impuestos de transmisiones patrimoniales/ Notaría / Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Contamos con departamento financiero que puede asesorarte completamente gratis y sin compromiso. Te ayuda a conseguir la mejor hipoteca según condiciones. ¡Pregúntanos! ¡Te financiamos tu vivienda! Tipo de interés fijo: desde 2.29 % Tipo de interés variable: desde Er+0.50 % Además, en nuestra página web podrás conocer todos los servicios, propios y externalizados, que tenemos a disposición. En VOhome propiedades, te ayudamos a cumplir tu sueño. Te facilitamos todas las gestiones relacionadas con la compraventa. Pásate a conocernos por nuestra oficina en Collado Villalba (28400) C/ Real, nº48 en el horario de L–V de 09:30h a 14:00h / 17:00h a 20:00h o sábados de 10:00h a 14:00h.",True,renew,False,True,2105.0,False,False,False,False,[],False,False,160000.0,€,,,,flat,"Villalba Estación, Collado Villalba",Piso en calle Inmaculada,,,,
108782852,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/5f/2a/1354979801.webp,,24,1,1680000.0,flat,sale,127.0,True,3,2,paseo de la Castellana,Madrid,Madrid,Tetuán,es,40.4563542,-3.6902895,False,https://www.idealista.com/inmueble/108782852/,"Exclusiva vivienda reformada con vistas a La Castellana — totalmente amueblada con piezas de diseño ATR3SHOME, tiene el placer de presentar esta elegante y luminosa propiedad de 127 m², recientemente reformada con materiales de primera calidad y diseñada para ofrecer una experiencia residencial única en el corazón de Madrid. Situada en una de las arterias más emblemáticas de la capital, La Castellana, esta vivienda combina a la perfección ubicación, estilo y confort. Ubicada en una finca representativa con ascensor y un elevador lateral que mejora la accesibilidad desde el portal, la propiedad ofrece también servicio de portería en horario comercial, incluyendo fines de semana y festivos, garantizando atención y seguridad en todo momento. La vivienda, que se entrega completamente amueblada, incorpora mobiliario contemporáneo de diseño, cuidadosamente seleccionado para aportar distinción y funcionalidad. El amplio salón-comedor, bañado en luz natural gracias a sus grandes ventanales con cerramientos Cortizo, brinda unas vistas privilegiadas a La Castellana, creando un ambiente sofisticado y sereno. La cocina, de líneas modernas, cuenta con zona office y está equipada con electrodomésticos de alta gama. Es un espacio pensado tanto para el uso diario como para disfrutar de momentos gastronómicos con estilo. La distribución, cómoda y eficiente, incluye tres amplios dormitorios y dos baños completos, ofreciendo un entorno ideal tanto para familias como para profesionales que buscan una residencia representativa en una de las zonas más codiciadas de Madrid. Entre sus características destacan el sistema de aire acondicionado por conductos, abundantes armarios empotrados y un aislamiento térmico y acústico que asegura la máxima tranquilidad. Una oportunidad irrepetible para vivir rodeado de exclusividad, servicios, comercios selectos y excelentes conexiones de transporte. Un verdadero oasis urbano en una ubicación inmejorable.",True,good,False,True,13228.0,False,False,False,False,[],False,False,1680000.0,€,,,,flat,"Cuatro Caminos, Madrid",Piso en paseo de la Castellana,,,Cuatro Caminos,
107383372,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/6a/14/1359614791.webp,94,66,,660000.0,chalet,sale,248.0,,4,3,La Navata,Madrid,Galapagar,La Navata,es,40.5988549,-3.9847833,False,https://www.idealista.com/inmueble/107383372/,"Dicen que las casas con alma se sienten desde el primer paso. Esta no es la excepción. Construida con mimo por su propio propietario, cada rincón de este chalet respira calidad, confort y buen gusto. Amplia, luminosa y pensada para disfrutar, su mayor tesoro se esconde en la planta baja: una espectacular bodega bar, el lugar perfecto para reuniones inolvidables con amigos y familia. No es solo una casa, es el escenario de grandes momentos. ¿Te imaginas viviendo aquí? ✨ Características destacadas: ✔️ Espacios amplios y bien distribuidos ✔️ El hueco de la escalera, esta pensado para poner un ascensor. ✔️ Lleno de luz natural ✔️ Bodega bar en planta baja, ideal para disfrutar con amigos y familia ✔️ De origen 5 habitaciones. ✔️ Posibilidad de abrir la buhardilla. Comunicaciones: Transporte Público: Autobús: La línea 632 conecta La Navata con el intercambiador de Moncloa en Madrid en 30 minutos. Tren: La estación de Renfe Cercanías de La Navata es la única en el municipio de Galapagar, ofreciendo una conexión directa con las principales estaciones de Madrid.  Accesos Viales: La Navata cuenta con excelente acceso desde la carretera de La Coruña (A6), conectando rápidamente con municipios como Hoyo de Manzanares, Torrelodones y Las Rozas de Madrid. Otros Servicios: La urbanización dispone de parques y espacios verdes para el ocio y el esparcimiento. Servicios esenciales como estancos y clínicas veterinarias también están presentes en la zona, como el Estanco De La Navata en la Carretera de Galapagar a Navata, 150, y la Clínica Veterinaria La Navata en el Centro Comercial Mercadona. Si buscas una vivienda con personalidad, confort y un extra especial, esta es tu oportunidad. ¡Contáctanos y ven a descubrirlo!",True,good,False,,2661.0,True,False,False,False,[],False,False,660000.0,€,,,,chalet,"La Navata, Galapagar",Chalet pareado,True,True,,semidetachedHouse
