propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
104211586,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/68/f7/1213149789.webp,748-B,34,1550000.0,chalet,sale,700.0,5,6,las lomos,Madrid,Boadilla del Monte,Las Lomas,es,40.431119,-3.8995026,False,https://www.idealista.com/inmueble/104211586/,"INMOGES les ofrece en venta esta vivienda singular por su marcado estilo de construcción Cuenta con una parcela de 3.260 m2, sobre la cual hay edificados 700 m2 distribuidos de la siguiente manera; En planta baja, salón estudio, porche de invierno cubierto, salón de verano, aseo, 1 dormitorio con baño, sala de caldera, sala lavadero y dormitorio de servicio con baño En planta primera, hall recibidor, salón principal con chimenea varios ambientes con salidas a terraza galería acristalada, aseo, cocina-office, comedor, 1 dormitorio con baño, y terraza también cubierta con paso a la zona de cocina. Planta alta, dormitorio suite con 2 baños, vestidor y terraza, 1 dormitorio doble con baño En el exterior tenemos un garaje pérgola para 4 plazas, más otro garaje de obra cerrado, piscina, un agradable estanque sobre excepcional jardín paisaje. Si necesitan más información, calidades, orientación no dude en ponerse en contacto.",False,good,False,2214.0,False,False,False,False,[],False,False,1550000.0,€,True,True,chalet,independantHouse,"Las Lomas, Boadilla del Monte",Casa independiente en las lomos,,,,,,,
108899260,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/c0/5c/1358325913.webp,ER-CV-JMYB,28,380000.0,penthouse,sale,130.0,2,1,San Crispín - La Estación Consorcio,Madrid,Colmenar Viejo,San Crispín - La Estación Consorcio,es,40.6505279,-3.7915282,False,https://www.idealista.com/inmueble/108899260/,"¿Y si tu próximo hogar no fuera solo un ático, sino una forma de respirar distinto? En la parte alta de Colmenar Viejo, en la tranquila y conectada zona de San Crispín – Estación, este ático de 90m² no solo te ofrece vistas despejadas al skyline de Madrid, te da esa sensación de amplitud y serenidad que no se mide en metros, sino en respiros. Imagina esto: – despertar con el sol entrando por el sur, – trabajar desde casa con la vista del horizonte al norte, – cerrar el día bajo la pérgola con una copa de vino, sintiendo que no necesitas escapar de la ciudad, porque la ciudad está allá.. . a lo lejos. ✔️ Dos terrazas para desayunos lentos y noches de verano. ✔️ Zonas comunes que invitan a vivir afuera: piscina de adultos e infantil, zona infantil y áreas verdes para leer, descansar o ver jugar a tus hijos. ✔️ Dos dormitorios, un baño cuidado y funcional, cocina independiente y mucho almacenamiento (sí, también incluye trastero). ✔️ Dos plazas de garaje para que nunca tengas que dar vueltas. ✔️ Disponibilidad inmediata Un ático pensado no solo para vivir, sino para disfrutar cómo vives. Gamarra Iturregui – Propiedades que acompañan tu estilo de vida. Y si necesitas ayuda con la parte financiera, tienes a un equipo de profesionales a tu disposición. Da el primer paso y agenda tu visita!",False,good,False,2923.0,False,False,False,False,[],False,False,380000.0,€,True,True,flat,penthouse,"San Crispín - La Estación Consorcio, Colmenar Viejo",Ático,4,True,True,,,,
108780427,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/ec/33/1354918173.webp,YH101,23,534900.0,flat,sale,76.0,3,2,travesía de San Mateo,Madrid,Madrid,Centro,es,40.4245656,-3.6972298,False,https://www.idealista.com/inmueble/108780427/,"¡ Your Home servicios inmobiliarios ofrece una oportunidad única en el corazón de la ciudad! Este encantador piso de 80M2, construido en 1900, combina el encanto histórico con las comodidades modernas. Situado en un edificio emblemático y reformado, ofrece un ambiente acogedor y funcional para vivir o invertir.  La propiedad cuenta con tres dormitorios, dos baños completos y una cocina totalmente amueblada y equipada y un patio interior donde podrás disfrutar de momentos de relax en pleno centro de Madrid Dispone de calefacción de gas natural individual, ascensor y acceso para personas con movilidad reducida.  No pierdas la oportunidad de vivir en un espacio reformado, interior y lleno de historia, en una ubicación privilegiada. ¡Contáctanos y ven a visitarla! SERVICIO CERCANOS: ALONSO MARTINEZ A 5 MINUTOS ANDANDO METRO DE CHUECA, COLON Y TRIBUNAL A 5 MINUTOS A PIE PUERTA DE SOL A 15 MINUTOS A PIE PLAZA MAYOR A 18 MINUTOS A PIE GRAN VIA (CALLAO) A 12 MINUTOS A PIE PARQUE RETIRO A 20 MINUTOS A PIE COLEGIO SANTA ISABEL A 2 MINUTOS ANDANDO (CONCERTADO) INFANTIL, ESO COLEGIO SAN MATEO (PUBLICO, ESO, BACHILLERATO) 2 MINUTOS A PIE.",False,good,False,7038.0,False,False,False,False,[],False,False,534900.0,€,,,flat,,"Chueca-Justicia, Madrid",Piso en travesía de San Mateo,1,False,True,Chueca-Justicia,,,
107194757,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/ac/3e/1305825038.webp,GTRE-02006,3,214000.0,flat,sale,82.0,3,1,calle de Madrid,Madrid,Leganés,Centro,es,40.3299016,-3.7631688,False,https://www.idealista.com/inmueble/107194757/,"Inmueble alquilado y sin acceso al interior. Las fotografías del interior pueden no ajustarse al estado actual.  NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR INMUEBLE EN RENTABILIDAD ¡Tenemos en exclusiva un piso para ti! Disponemos de un piso en edificio residencial que puedes adquirir en propiedad, muy bien distribuido y con distintas dependencias, ofreciendo todo lo que necesitas para una vida cómoda y moderna. Desde el momento en que cruces la puerta de entrada, te sentirás acogido por su ambiente cálido, ubicado en la localidad de Leganés, provincia de Madrid. Este piso es ideal para quienes buscan un hogar confortable en un entorno natural y acogedor. Este espacioso piso cuenta con un luminoso salón-comedor, perfecto para disfrutar de momentos en familia y reuniones con amigos. A poca distancia, encontrarás supermercados, colegios, centros de salud y una variada oferta de tiendas y restaurantes. Además, la excelente conexión con las principales vías de acceso te permitirá llegar rápidamente a otras áreas de interés en Barcelona y sus alrededores. Hipoges es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Hipoges cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia.  Esta propiedad se encuentra alquilada. No se puede visitar. No apta para compradores que requieran financiación hipotecaria. El comprador se subrogará a las condiciones indicadas en el contrato de alquiler vigente. La información proporcionada referente a la distribución y estructura puede no ajustarse a la realidad, ya que su verificación no ha sido posible. La distribución indicada se ha tomado en referencia a la distribución de activos de la zona. ¿Necesitas financiación? Te ofrecemos la posibilidad de financiaciones de hasta el 100% para la compra de este inmueble. Entra en Finanwin. com, haz tu simulación y obtén la mejor oferta para tu Hipoteca de la manera más ágil y sencilla.",False,good,False,2610.0,False,False,False,False,[],False,False,214000.0,€,,,flat,,"Casco Antiguo, Leganés",Piso en calle de Madrid,3,,False,Casco Antiguo,,,
108539217,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/05/ab/1350017015.webp,,24,229000.0,flat,sale,101.0,3,1,CL RIO TIETAR,Madrid,Alcalá de Henares,Venecia - Nueva Alcalá,es,40.4705805,-3.3634727,False,https://www.idealista.com/inmueble/108539217/,"AGENCIA INMOBILIARIA TECNOCASA DE ALCALA DE HENARES ""BARRIO NUEVA ALCALÁ-RINCONADA VENDE: ¡Descubre tu nuevo hogar en este amplio y luminoso! Con 101 m² construidos y 91 m² útiles, esta vivienda cuenta con 3 amplios dormitorios equipados con armarios empotrados, ideales para maximizar el espacio y mantener todo en orden. El baño amplio con bañera y con posibilidad de sacar un segundo baño La cocina es amplia se ha incorporado la terraza tendedero para ampliar el espacio, mientras que el salón comedor se ilumina con luz natural gracias a sus ventanas exteriores. Además, disfrutarás de una encantadora terraza abierta, ideal para relajarte al final del día. Ubicado en la tercera planta de un edificio con ascensor y orientación oeste, este hogar es apto para personas con movilidad reducida. La calefacción de gas natural asegura un ambiente cálido en invierno. ¡No dejes pasar la oportunidad de vivir en este espectacular piso que combina comodidad y estilo! Además el edificio ha sido renovado por completo con ascensores nuevos, video porteros, llave magnética y se encuentra ya pagada la reforma del exterior del edificio que aportara una nueva imagen y un aislamiento térmico totalmente nuevo, con todas estas reformas ya pagadas¡ La vivienda se encuentra en una zona dotada de los servicios principales, y con fácil acceso a la red de carreteras principales. VENGA A VISITARLO SIN COMPROMISO, Y RECUERDE QUE LE PODEMOS CONSEGUIR HASTA EL 100% DE FINANCIACIÓN CON NUESTRO DEPARTAMENTO FINANCIERO KIRON.",False,good,False,2267.0,False,False,False,False,[],False,False,229000.0,€,,,flat,,"Venecia - Nueva Alcalá, Alcalá de Henares",Piso en Cl Rio Tietar,3,True,True,,235000.0,6000.0,3.0
108456204,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/de/12/1345445739.webp,BERCIAL-98,22,230000.0,flat,sale,56.0,2,1,El Bercial,Madrid,Getafe,El Bercial,es,40.3253614,-3.7341255,False,https://www.idealista.com/inmueble/108456204/,"Agencia inmobiliaria Tecnocasa - zona El Bercial - vende piso TOTALMENTE REFORMADO en el barrio de El Bercial, una de las mejores zonas de GETAFE. La vivienda se distribuye de la siguiente manera: SALÓN de paso ampliado de 16,5m2 (se redujo un dormitorio para ampliar esta estancia y el dormitorio anexo), COCINA equipada, DOS DORMITORIOS (antes 3) y BAÑO con plato de ducha. Suelos en tarima, ventanas oscilobatientes (correderas en cocina) y pintura en liso. Aire acondicionado en salón y en los dos dormitorios con bomba de frío y de calor. En la zona encontrarás todo tipo de servicios, colegios e institutos, transporte público (línea 12 de MetroSur, línea C-4 de Cercanías Renfe y líneas de autobús 446, 488 y L3 A y B), zonas comerciales, fácil acceso a carreteras A-42 y M-45.",False,good,False,4107.0,True,False,False,False,[],False,False,230000.0,€,,,flat,,"El Bercial, Getafe",Piso,2,True,False,,,,
108229137,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/01/8d/1337781127.webp,171670,22,199000.0,flat,sale,72.0,2,1,calle Sierra de Pineda,Madrid,Madrid,Puente de Vallecas,es,40.3932112,-3.6610865,False,https://www.idealista.com/inmueble/108229137/,"Inmobiliaria VOhome propiedades La Gavia vende piso en el barrio de palomeras bajas. La vivienda está compuesta de 2 dormitorios (antes 3) se quitó uno para agrandar los otros dos y hacer un vestidor, salón, cocina con tendedero cubierto y 1 baño. Situado en una cuarta planta sin ascensor, se encuentra en perfecto estado completamente reformada, dispone de suelos porcelánicos, calefacción individual de gas natural, aire acondicionado por split en salón y dormitorio principal y ventanas oscilobatientes climalit. Situado en zona inmejorable, justo al lado del Campo Estadio de Vallecas, zona muy comercial con todo tipo de tiendas a su alrededor. A 5 minutos andando del Centro Comercial Albufera Plaza y Alcampo, a 180 metros del Centro Deportivo Municipal Ángel Nieto, a la misma distancia de la piscina municipal, además de colegios e institutos, comisaría, Centro de Salud y tiendas del día a día. Muy bien comunicado, a pocos más de 100 metros de la estación de metro Portazgo (L1), paradas de autobús 54, 58, 103, 136 y N 25 a la misma distancia y acceso directo a M 30 y M 40 principales vías de la Comunidad de Madrid. Llame para concertar su cita y visite sin ningún compromiso. Disponemos de servicio de asesoramiento financiero gratuito. *En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría - gestoría / registro / intermediación inmobiliaria y/o financiera) Horario de oficina de Lunes a Viernes de 10:00 a 14:00 y de 16:30 a 20:30. Sábados de 10:00 a 14:00 horas. Avda. de las Suertes, 62 (local) 28051 Madrid. Telf. : 91_013_32_00.",False,good,False,2764.0,False,False,False,False,[],False,False,199000.0,€,,,flat,,"Palomeras Bajas, Madrid",Piso en calle Sierra de Pineda,4,True,False,Palomeras Bajas,,,
108154831,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/fc/eb/1335501031.webp,,7,485000.0,flat,sale,82.0,2,2,"calle Germán Pérez Carrasco, 64",Madrid,Madrid,Ciudad Lineal,es,40.4365918,-3.6426457,True,https://www.idealista.com/inmueble/108154831/,"**Piso en Venta en Ciudad Lineal - Exclusividad y Comodidad a un Paso de la Calle Alcalá** Descubre este espectacular piso de 82 m² construidos, ubicado a escasos metros de la emblemática calle Alcalá. Este residencial exclusivo cuenta con dos edificaciones que comparten una hermosa zona común central, ideal para disfrutar de momentos de esparcimiento. La propiedad, que se encuentra en planta 1 y cuenta con ascensor, ofrece un luminoso salón, una cocina moderna, dos acogedores dormitorios y dos baños completos, además de un práctico trastero. Imagina vivir rodeado de todas las comodidades: a pocos minutos del Centro Comercial Alcalá Norte y los Multicines, así como de centros docentes y de salud. Este piso es perfecto para quienes buscan un hogar accesible, ya que está adaptado para personas con movilidad reducida. Además, la calefacción individual por gas natural y su calificación energética clase B aseguran un consumo eficiente y responsable. No dejes pasar la oportunidad de adquirir una plaza de garaje por solo 26.000€, lo que añade aún más valor a esta propiedad. Con una orientación sur que garantiza luz natural durante todo el día y unas zonas comunes que incluyen piscina y jardín, este piso es el lugar ideal para crear recuerdos inolvidables.  Aunque se trata de un piso nuevo, pero de segunda mano, no está sujeto a IVA. ¡Contacta ahora y ven a visitarlo!",False,good,False,5915.0,True,False,False,False,[],False,False,485000.0,€,,,flat,,"Quintana, Madrid","Piso en calle Germán Pérez Carrasco, 64",1,True,True,Quintana,,,
108897448,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/a1/03/1358272038.webp,,2,405000.0,chalet,sale,147.0,4,3,calle de Velázquez,Madrid,Arroyomolinos,La Cárcaba - El Encinar - Montemolinos,es,40.260733,-3.9116725,False,https://www.idealista.com/inmueble/108897448/,"Nueva construcción de una vivienda adosada en una parcela de 220 m² en la zona de Arroyomolinos, en régimen de autopromoción.  Podrás diseñar la distribución de la vivienda totalmente a tu gusto sin sobrecoste. Incluye calefacción mediante sistema de aerotermia por suelo radiante refrescante. La carpintería exterior es de PVC con doble acristalamiento, y los solados y alicatados son porcelánicos. En el precio se incluyen la parcela, el proyecto y la construcción llave en mano. La vivienda, de 147,25 m² construidos, se distribuye en dos plantas: Planta principal: hall distribuidor de 3,80 m²; salón con cocina americana de 30,5 m² con amplios ventanales y acceso al porche exterior de 13,80 m² y al jardín; aseo de 2,5 m²; despacho/dormitorio de 9,10 m². Primera planta: distribuidor de 2,30 m²; dormitorio de 10,5 m²; dormitorio de 10,45 m²; baño completo con ducha o bañera de 3,4 m²; dormitorio principal con vestidor de 16,5 m² con baño (ducha o bañera) de 3,3 m² y salida a una amplia terraza de 12 m². Experiencia previa con estudio de arquitectura y empresa constructora con más de 20 años de experiencia. Arroyomolinos, al suroeste de la Comunidad de Madrid, dispone de un polígono industrial y un centro comercial que ofrece servicios públicos acorde a las necesidades de la población. Además, en el propio municipio se encuentra el centro comercial Intu Xanadú, ubicado junto a la autovía de Extremadura, referencia de ocio y compras para los vecinos. Para más información no dude en contactarnos dejándonos su número de teléfono.",False,good,False,2755.0,True,False,False,False,[],False,False,405000.0,€,True,True,chalet,terracedHouse,"La Cárcaba - El Encinar - Montemolinos, Arroyomolinos",Chalet adosado en calle de Velázquez,,,,,,,
103842130,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/52/b3/1201893190.webp,2024-601,22,530000.0,chalet,sale,546.0,3,1,Juan XXIII,Madrid,Arganda,Centro,es,40.2984369,-3.4392001,False,https://www.idealista.com/inmueble/103842130/,"CASA INDEPENDIENTE EN EL CENTRO DE ARGANDA  "" Posibilidad de edificar apartamentos en el terreno "". La propiedad de una sola planta, dispone de un gran garaje para 7 coches; jardín con piscina y porche. Se distribuye en; Gran salón comedor con chimenea con acceso a cuarto de estar, 3 amplios dormitorios, baño completo, amplia cocina con despensa y con salida a una gran terraza. Posibilidad de ampliar vivienda. Todo a tu alcance Supermercados, farmacia, colegios, autobuses urbanos e interurbanos y metro.  La vivienda necesita reforma. VIVIENDA MUY LUMINOSA VEN A VISITARLA TE GUSTARA SUS POSIBILIDADES **NO COBRAMOS HONORARIOS AL COMPRADOR** Te ayudamos con la financiación. * Gastos e impuestos no incluidos *.",False,renew,False,971.0,False,False,False,False,[],False,False,530000.0,€,True,True,chalet,independantHouse,"Centro, Arganda",Casa independiente en Juan Xxiii,,,,,,,
