propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice
106347748,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/50/87/1321199543.webp,VPIS_3701,12,1,1500000.0,flat,sale,165.0,True,2,2,paseo del Prado,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4098812,-3.6947439,False,https://www.idealista.com/inmueble/106347748/,"Home Select vende una propiedad única en una finca histórica de 1907, ubicada en una de las zonas más privilegiadas del centro de Madrid. Este piso ofrece una localización inmejorable, rodeado de algunos de los principales puntos de interés cultural de la ciudad, como el Museo del Prado y el Museo Reina Sofía, y a pocos pasos de las áreas verdes más emblemáticas como el Jardín Botánico y el Parque del Retiro. La vivienda se distingue por sus luminosos espacios sociales, gracias a un amplio balcón que inunda de luz el salón, comedor y cocina. Además, cuenta con dos dormitorios equipados con todas las comodidades, destacando el dormitorio principal con su baño en suite, diseñado para brindar el máximo confort y privacidad.  ref: VPIS_3701.",False,good,False,False,9091.0,False,False,False,False,[],False,False,1500000.0,€,flat,"Huertas-Cortes, Madrid",Piso en paseo del Prado,,,,,,,
108667824,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/ed/9c/1351635789.webp,APISR428,29,,225000.0,chalet,sale,140.0,,2,2,calle Romeral,Madrid,Corpa,,es,,40.4266988,-3.2603196,False,https://www.idealista.com/inmueble/108667824/,"Tu asesor personal inmobiliario, API San Román vende chalet en calle Romeral de Corpa. Te presentamos esta estupenda vivienda situada en la calle Romeral de Corpa, una localidad tranquila y rodeada de naturaleza, ideal para quienes buscan calidad de vida a tan solo unos minutos de municipios más grandes como Alcalá de Henares o Torrejón de Ardoz. La casa, con una superficie construida de 139 m², se distribuye en dos plantas bien aprovechadas y muy luminosas gracias a su doble orientación este-oeste, lo que permite disfrutar de luz natural durante todo el día. Al acceder a la vivienda nos encontramos con un agradable patio delantero, perfecto para colocar una mesa, unas plantas, unas barbacoa o simplemente disfrutar del aire libre. Desde aquí accedemos al interior, donde nos recibe un luminoso salón-comedor, muy cómodo y funcional, con aire acondicionado y bomba de calor para garantizar el confort en cualquier época del año. La cocina está completamente amueblada y equipada, lista para ser usada desde el primer día. La vivienda dispone de dos cuartos de baño completos, uno de ellos ubicado dentro del dormitorio principal en suite, ofreciendo así un espacio privado y cómodo. Los dos dormitorios son espaciosos, con ventanas abalconadas y con climatización por aire acondicionado con bomba de frío y calor, perfectos para garantizar el descanso en cualquier estación. Además, en la planta superior, encontramos una buhardilla muy versátil que puede adaptarse como tercer dormitorio, despacho, sala de juegos o zona de ocio. En esta misma planta cuenta también con un trastero, muy útil como zona de almacenamiento extra. En cuanto a las calidades, la vivienda cuenta con ventanas de aluminio con climalit y rotura de puente térmico, lo que mejora notablemente el aislamiento térmico y acústico. Los suelos de gres imitación tarima aportan calidez y resistencia, y las paredes lisas dan un acabado moderno y limpio al interior. La calefacción es eléctrica con bomba de frío y calor, lo que permite regular la temperatura de forma eficiente habitación por habitación. Esta casa es ideal tanto para familias que buscan un entorno tranquilo donde vivir, como para parejas o personas que desean una segunda residencia cerca de Madrid pero rodeados de naturaleza. Corpa cuenta con los servicios esenciales, como colegio, consultorio médico, farmacia, tiendas y transporte público, y está bien comunicada por carretera con otras localidades. No dejes pasar la oportunidad de vivir en un entorno natural, con privacidad y todas las comodidades. * financiación hasta el 100% Llámanos y agenda tu visita sin compromiso. ¡Te encantará! Puedes ver este y otros inmuebles en nuestras redes sociales @api.sanroman.",False,good,False,,1607.0,False,False,False,False,[],False,False,225000.0,€,chalet,Corpa,Chalet adosado en calle Romeral,227500.0,2500.0,1.0,terracedHouse,,,
108477413,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/d0/c7/1348284127.webp,,21,,616000.0,chalet,sale,190.0,,4,3,CL LIBERTAD,Madrid,Algete,,es,,40.6122742,-3.5389068,False,https://www.idealista.com/inmueble/108477413/,"Grupo Inmobiliario Milenium pone a su disposición en exclusiva esta estupenda vivienda ¡PROXIMAMENTE FOTOS! � ¡OPORTUNIDAD ÚNICA EN PRADO NORTE – ALGETE! Chalet pareado con jardín, piscina privada y sin gastos de comunidad Si buscas tranquilidad, amplitud y calidad de vida… ¡Este chalet lo tiene todo! ✨ Características principales: Chalet pareado con jardín privado y piscina Sin gastos de comunidad Amplia cocina con mirador, equipada y muy luminosa Rejas y mosquiteras instaladas en toda la vivienda � Primera planta: Gran salón comedor con chimenea y cassette incorporado, ideal para disfrutar en invierno Acceso directo al jardín con piscina privada Aseo de cortesía �️ Segunda planta: 3 habitaciones (posibilidad de adaptar a tus necesidades) Baño completo con excelente iluminación Y el otro baño en suite con la habitación principal � Última planta: Gran buhardilla, muy espaciosa y luminosa, ideal como sala de juegos, estudio, despacho o dormitorio adicional � Planta sótano: Garaje con capacidad para 3 coches Amplio espacio de almacenaje con 2 estancias polivalentes, perfectas para gimnasio, bodega, taller o cualquier uso que necesites � Ubicación: Zona tranquila y residencial en Prado Norte (Algete), rodeada de naturaleza y con buen acceso a servicios. � Contáctame para más información o concertar una visita. Disponemos de servicio de financiación de hasta el 100% con MHCREDIT, solicite un asesoramiento gratuito a su comercial. 3%+IVA de honorarios por gestión inmobiliaria no incluidos. Oferta no vinculante, puede contener errores de publicación. ¡No dejes pasar esta magnífica oportunidad de vivir en una casa con todo lo que necesitas! Rosa 6 2 1 3 7 8 2 6 1.",False,good,False,,3242.0,False,False,False,False,[],False,False,616000.0,€,chalet,Algete,Chalet pareado en Cl Libertad,,,,semidetachedHouse,True,True,
108363423,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/dd/07/1341881465.webp,AIC-2001,37,,625000.0,chalet,sale,432.0,,5,4,Fresno,Madrid,Algete,,es,,40.5958454,-3.4998729,False,https://www.idealista.com/inmueble/108363423/,"Chalet Adosado de 432 m² en venta situado en Algete, Madrid. Se trata de una Vivienda unifamiliar independiente de tres alturas sobre rasante, ubicado en la calle Fresno, en el municipio de Algete, en la provincia Madrid. La vivienda tiene una superficie de 432 m² distribuidos en salón-comedor, cocina, 5 dormitorios y 4 baños. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia. Con una mínima reforma construya un gran hogar!",False,good,False,,1447.0,False,False,False,False,[],False,False,625000.0,€,chalet,Algete,Chalet adosado en Fresno,,,,terracedHouse,True,True,
105845843,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/15/80/1264753509.webp,B4-2B,10,2,340450.0,flat,sale,52.0,True,1,1,"calle Eras de Móstoles, 13 -11",Madrid,Villanueva de la Cañada,Villanueva de la Cañada,es,,40.445549,-4.0023334,True,https://www.idealista.com/inmueble/105845843/,"MM Inmobiliaria comercializa este moderno proyecto de 39 viviendas.  Diseño y comodidad en uno de los ayuntamientos con mayor calidad de vida y renta per cápita de España. El proyecto inmobiliario del Edificio Eras 33, en Villanueva de la Cañada, representa una opción inmejorable para aquellas personas que buscan una vivienda de calidad o para los inversores que buscan alternativas rentables y de futuro en el mercado inmobiliario.  Porque si algo caracteriza al Edificio Eras 33 es su privilegiada localización en combinación con un proyecto constructivo moderno y funcional. Villanueva de la Cañada es hoy uno de los municipios de la Comunidad de Madrid más atractivos por su calidad de vida y la amplia oferta de servicios con la que cuenta.  La estética contemporánea del conjunto se apoya en el diseño sobrio y elegante de las fachadas. Los amplios ventanales de los pisos permiten además el paso de la luz natural a las distintas estancias, lo que refuerza la identidad de cada vivienda.  En el interior, el proyecto ha cuidado al extremo el aprovechamiento de los espacios para ofrecer a los futuros propietarios todo lo que esperan: 1 o 2 habitaciones, salón, cocina, baños, espacios de almacenamiento…  En esta misma línea, en la construcción de las viviendas se aplican altos estándares de calidad, con soluciones sostenibles y ecoeficientes, lo que dotará a cada piso de una calificación energética CLASE A.  Por último, el edificio cuenta con una planta para garajes, así como con 400 metros cuadrados de zonas ajardinadas comunitarias al servicio de los vecinos.  En definitiva, un proyecto inmobiliario de alto nivel en un ayuntamiento emergente.  PRODUCCION DE AGUA CALIENTE Y CALEFACCION  La producción de agua caliente sanitaria es mediante sistema de aerotermia de alta eficacia y bajo consumo energético. Distribución de calor por sistema e suelo radiante, con termostatos programables por zonas. Este sistema invisible y limpio facilita el aprovechamiento al máximo de los espacios, proporcionando mayor confort, eficiencia y ahorro energético.  También lleva instalado sistema de refrescamiento, de manera que en épocas de más calor, el suelo ayuda a refrescar y regular la temperatura de las estancias.  Se incluye la preinstalación para equipos de aire acondicionado para cada vivienda, con la previsión de la maquinaria bajo cubierta.  CALIFICACION ENERGETICA  La edificación tiene calificación energética CLASE A lo que supone una disminución de las emisiones de CO2 y una reducción significativa de la demanda energética de la edificación (calefacción y agua caliente sanitaria).  PERSONALIZA TU VIVIENDA  Eras 33 te ofrece la posibilidad de adaptar la vivienda a tus necesidades, mediante paquetes opcionales, totalmente personalizado para mejorar tu confort  • Equipamiento de electrodomésticos (placa de inducción, microondas con grill, combi y lavavajillas)  • Mampara de ducha  • Cerradura electrónica y con acceso remoto  • Motorización de persianas  • Armario con distribución versátil y personalizada en salón (espacio para ropa, bicicletas, cama supletoria, librería.)  • Iluminación  • Kit de lavandería en baño (mueble y lavadora-secadora)  • Mueble lavabo/espejo.",True,good,False,True,6547.0,True,False,False,False,[],False,False,340450.0,€,flat,"Villanueva de la Cañada, Villanueva de la Cañada","Piso en calle Eras de Móstoles, 13 -11",,,,,True,True,
108323525,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/80/c8/1346268421.webp,310 J. Pascual,17,1,310000.0,flat,sale,69.0,True,3,1,calle Juan Pascual,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4336129,-3.6419682,False,https://www.idealista.com/inmueble/108323525/,"1ª Planta, reformada a estrenar, estancias independientes, terraza amplia, armarios empotrados, ventanas térmicas, A/Acond con bomba de calor, cocina amueblada. Cerca a C/ Alcala. Nuestro departamento Kíron te consigue la mejor financiación personalizada del mercado. C/ Juan Pascual. El salón es de buen tamaño, es exterior e independiente con acceso directo a una agradable y amplia terraza cuya orientación es sureste.  La cocina es totalmente nueva a estrenar, moderna y funcional, está amueblada y equipada con placa de inducción, horno, campana extractora, lavavajillas y nevera. El dormitorio principal destaca por su amplitud, buena iluminación natural y un gran armario empotrado que optimiza el almacenamiento sin restar espacio.  Los dormitorios individuales son igualmente luminosos y cuentan con su armario empotrado correspondiente. El baño ha sido renovado totalmente con un diseño actual y funcional, dispone de plato de ducha con mampara, mueble bajo lavabo y espejo con iluminación. El baño también tiene espacio para lavadora y un gran termo de agua de 80 litros. Toda la vivienda cuenta con ventanas térmicas oscilobatientes, paredes lisas y suelo de tarima flotante. Cada estancia (dormitorios y salón) cuenta con un sistema de climatización que incluye aires acondicionados con bomba de calor y conectividad wifi, lo que permite su control remoto mediante aplicaciones móviles para mayor comodidad al regular la temperatura de cada estancia. El edificio tiene la fachada de ladrillo visto y está en excelente estado de conservación.  La ITE está pasada del año 2018. El inmueble está muy bien ubicado en zona tranquila y bien comunicada, cercano a supermercados (Mercadona, Ahorramas, Dia, etc. ) y hay varias líneas de autobús y de metro, las más cercanas son las de Quintana (L-5), Pueblo Nuevo (L-5 y L-7) Plaza de garaje opcional por 17.000 € Realizamos valoraciones gratuitas de viviendas, locales, garajes, etc. por si usted está interesado en vender o alquilar alguna propiedad. Consulte sin compromiso a los líderes del mercado. Nuestro departamento Kíron te consigue la mejor financiación personalizada del mercado. Si desea concertar una visita o ampliar información puede contactarnos y le responderemos lo antes posible, estaremos encantados de atenderle. Muchas gracias por su confianza. ** La información de este anuncio, se muestra a título informativo, no es contractual ni vinculante y puede contener errores**.",False,good,False,False,4493.0,False,False,False,False,[],False,False,310000.0,€,flat,"Pueblo Nuevo, Madrid",Piso en calle Juan Pascual,320000.0,10000.0,3.0,,True,False,17000.0
108604976,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/48/33/1349755018.webp,,39,,470000.0,chalet,sale,207.0,,5,3,Los Molinos,Madrid,Los Molinos,,es,,40.715676,-4.0825836,False,https://www.idealista.com/inmueble/108604976/,"PARQUECASA VENDE chalet adosado, amplio y muy luminoso. Si buscas una vivienda en un entorno tranquilo, esta propiedad es tu mejor elección. La vivienda se distribuye en tres plantas. A la planta principal se accede a través de una bonita y soleada terraza acristalada. Cuenta con un espacioso salón comedor con chimenea y salida a jardín trasero, cocina luminosa totalmente equipada, dormitorio con armario empotrado y baño con plato de ducha. En la primera planta se encuentran localizados 3 amplios dormitorios dobles con armarios empotrados de gran capacidad y 2 baños completos (uno en suite). Por último, en la planta baja encontramos un útil cuarto de lavado, otro dormitorio y garaje para dos coches. Toda la planta baja dispone de ventanas El jardín trasero se encuentra solado con piedra natural y tiene espacio para poder hacer una piscina. Tiene caseta nueva de madera para guardar todos los aperos del jardín. Características destacadas: La vivienda se encuentra en perfecto estado de conservación. Ventanas de aluminio climalit, suelos de gress de primera calidad, puertas macizas, pintura lisa, toma de televisión en todos los dormitorios. Esta es una oportunidad irrepetible en uno de los municipios más demandados de la sierra de Madrid, donde la oferta de viviendas es prácticamente inexistente ¡No dejes pasar la ocasión de vivir en un entorno natural con todas las comodidades! No dudes en llamarnos para visitarla o ampliar información. No cobramos honorarios al comprador. PARQUECASA, Asesores Inmobiliarios especializados en la Sierra de Madrid. ref. 358V.",False,good,False,,2271.0,True,False,False,False,[],False,False,470000.0,€,chalet,Los Molinos,Chalet adosado,,,,terracedHouse,True,True,
108422952,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/8f/ef/1344449971.webp,,21,en,180000.0,flat,sale,54.0,True,3,1,avenida de Pablo Neruda,Madrid,Madrid,Puente de Vallecas,es,Portazgo,40.3941861,-3.6426822,False,https://www.idealista.com/inmueble/108422952/,"INMOBILIARIA LÓPEZ & MORENO vende vivienda exterior de 54m2, se distribuye en 3 dormitorios, salón-comedor, cocina completa, un cuarto de baño completo con plato de ducha y una amplia y luminosa terraza. Calidades: ventanas de aluminio, paredes de gotelé, suelos de tarima, radiadores de carga nocturna y armarios empotrados. Excelente ubicación a tan solo 7 min de la estación de la estación de Metro Alto del Arenal (línea 1), cerca de autobuses (54, 142,144) además de una estupenda conexión con la carretera A-3 y E-5, la zona cuenta con colegios, una gran cantidad de parques infantiles y zonas verdes, centros de salud, comercios, lugares de ocio y supermercados. ¡MEJOR VER!",False,good,False,False,3333.0,False,False,False,False,[],False,False,180000.0,€,flat,"Portazgo, Madrid",Piso en avenida de Pablo Neruda,184000.0,4000.0,2.0,,,,
107455919,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/26/33/1313134934.webp,ATRAE260225,17,2,214000.0,flat,sale,68.0,True,2,1,calle Toledo,Madrid,Paracuellos de Jarama,Casco Urbano,es,,40.5051489,-3.5341297,False,https://www.idealista.com/inmueble/107455919/,"NO COBRAMOS HONORARIOS A LOS COMPRADORES. ATRAE INMOBILIARIA comercializa acogedor apartamento de dos dormitorios situado en el casco antiguo de Paracuellos de Jarama. Ubicado en una segunda planta sin ascensor dispone en propiedad de un salvaescaleras eléctrico lo que lo hace accesible a personas con movilidad reducida. La vivienda es muy luminosa y ha sido recientemente reformada, con ventanas de climalit, tarima y puertas de roble. El baño es muy actual con plato de ducha. Las tuberías y la instalación eléctrica completamente cambiadas. La terraza ha sido incluida en la cocina. Las habitaciones son amplias y luminosas.   Su ubicación en el casco antiguo le otorga un encanto especial, con calles empedradas y edificios históricos que contribuyen a crear un ambiente único. En resumen, este inmueble combina comodidad, funcionalidad y encanto en un entorno privilegiado como es el casco antiguo de Paracuellos de Jarama. NO COBRAMOS HONORARIOS AL COMPRADOR.",False,good,False,False,3147.0,False,False,False,False,[],False,False,214000.0,€,flat,"Casco Urbano, Paracuellos de Jarama",Piso en calle Toledo,219000.0,5000.0,2.0,,,,
108281717,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/57/eb/1339426888.webp,SRVN 558069,25,2,278000.0,flat,sale,134.0,True,4,2,Parque Europa - Los Pitufos,Madrid,Pinto,Parque Europa - Los Pitufos,es,,40.2484803,-3.6957759,False,https://www.idealista.com/inmueble/108281717/,"¡Gran piso con 4 dormitorios y 4 terrazas en el corazón de Pinto! Ubicado en una segunda planta con ascensor, este piso destaca por su extraordinaria amplitud y su luminosidad en todas las estancias. ¡Ideal para familias o quienes buscan espacio y confort en una ubicación inmejorable! Distribución y características principales: •Gran hall de entrada con un pequeño armario empotrado. •Cocina independiente, con acceso a su propia terraza. •Amplio salón con salida directa a una de las terrazas. •4 habitaciones dobles, todas con armarios empotrados. Dos de ellas disponen de terraza. •2 baños completos, ambos con plato de ducha. •4 terrazas en total, todas acristaladas: tres exteriores y una adicional en la cocina, ¡algo poco habitual! A reformar, pero con un enorme potencial: La vivienda necesita actualización, lo que te ofrece la oportunidad de personalizar cada rincón a tu gusto. Con una distribución muy funcional, abundante luz natural y espacios generosos, tiene todo lo necesario para transformarse en el hogar de tus sueños. Otros detalles a destacar: •Acceso al edificio desde dos calles diferentes, con doble puerta de entrada/salida: una ventaja en comodidad y seguridad. •Ventanas de madera con doble ventana exterior de aluminio. La cocina y una de las habitaciones con ventanales de acceso a las terrazas actualizado a PVC. •Puertas de sapelly. •Suelos de gres. •Aire acondicionado en uno de los dormitorios. •Caldera de gas natural para calefacción y agua caliente. •Radiadores en todas las estancias. •Puerta blindada. •Posibilidad de hacer trasteros en una zona actualmente comunitaria. Ubicación privilegiada – Centro de Pinto: •A pocos pasos del Centro Comercial Plaza Éboli (tiendas, cine, restaurantes). •Próximo al Parque Municipal, Parque del Egido y al Polideportivo Alberto Contador. •Zona dotada de todos los servicios: supermercados, colegios, guarderías, centros de salud y más. Excelente comunicación: •A solo 10 minutos andando de la estación de Renfe Cercanías (Pinto). •Varias líneas de autobuses urbanos e interurbanos (Madrid, Getafe, Valdemoro, Parla.. . ). •Fácil acceso a A-4, A-42, M-50 y M-506. No dejes pasar esta oportunidad de vivir en un piso muy grande, luminoso y con todo el potencial que buscas. ¡Llámanos y ven a visitarlo!",True,renew,False,True,2075.0,True,False,False,False,[],False,False,278000.0,€,flat,"Parque Europa - Los Pitufos, Pinto",Piso,,,,,,,
