propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
104873495,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/ec/c9/1353285420.webp,2302##2302_0301_PE0001,20,2,150000.0,flat,sale,106.0,True,4,2,"calle Luis Sauquillo, 85 -77",Madrid,Fuenlabrada,Centro,es,40.2804984,-3.7990162,True,https://www.idealista.com/inmueble/104873495/,"Oportunidad de inversión: inmueble actualmente ocupado. Fantástico apartamento de 106.0 m² en Fuenlabrada es ideal para quienes buscan comodidad y amplitud en una ubicación privilegiada. Con 106.0 m² útiles, esta vivienda ofrece un amplio espacio para personalizar a tu gusto. Ubicado en la PLANTA 2ª, disfrutarás de la tranquilidad y las vistas que ofrece la zona. La zona cuenta con excelentes servicios, incluyendo tiendas, restaurantes y colegios. No pierdas la oportunidad de visitar este inmueble y conocer todas sus posibilidades.",False,good,False,False,1415.0,False,False,False,False,[],False,False,150000.0,€,flat,"Centro, Fuenlabrada","Piso en calle Luis Sauquillo, 85 -77",,,,,,,,
108179940,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/a1/27/1b/1336259252.webp,RIVAS-15421,86,,710000.0,chalet,sale,327.0,,5,3,Rivas Futura,Madrid,Rivas-Vaciamadrid,Rivas Futura,es,40.3521294,-3.5334432,False,https://www.idealista.com/inmueble/108179940/,"Azzure, les ofrece esta exclusiva e inmejorable oportundad. Espectacular chalet pareado de 327m construidos en parcela de 360m la vivienda se distribuye en dos plantas mas bajocubierta. En su planta principal dispone de un amplio vestibulo distribuidor con accesos a una generosa cocina de 20m con acceso al garaje y salida directa al jardín; siguiendo en la planta principal disponemos de un gran dormitorio, un baño con plato de ducha de obra, una practica despensa en el hueco de la escalera y ya entrariamos en el increible salón comedor de 35m con acceso al precioso porche cubierto de 25m con salida directa al jardín posterior con unas vistas inmejorables. En la planta primera disponemos de un distribuidor con accesos a dos dormitorios y desde un de ellos se accede a una terraza cubierta acondicionada como sala de juegos o salón, continuando en la primera planta tenemos un balo completo y el dormitorio principal que dispone de su propio baño y un amplio y practico vestidor. Subiendo el ultimo tramo de escalera accederiamos a la buhardilla de 65m dividida en varias estancias, un despacho, un trastero y un amplio dormitorio totalmente acondicionado. La joya de la vivienda es un amplio jardín totalente acondicionado, solado y con zonas verdes y una gran piscina para disfrutrar de los dias caluroso que se avecinan este verano, y no podía faltar la barbacoa de obra para rizar el rizo. Sin lugar a dudas lo mejor que se puede adquirir hoy en día en rivas y con una memoria de calidades excepciona, puerta principal blindada, puertas de roble, suelos de gres y parquet, paredes y techos en liso, ventanas de aluminio con cristal climalit, calefacción individual por gas natural con radiadores de aluminio y caldera mixta nueva, aire acondicionado con bomba de calor, porche acristalamiento, esto es un pequeño resumen. Visitelo y compruebelo.  hoy como siempre las mejores ofertas con el mejor servico las encontrará en azzure, simplemente compruebelo y sin cobrarle ni un 3 ni 4% al comprador como acostumbran a hacer el resto de empresas. Azzure 27 años en la zona haciendo realidad el sueño de nuestros clientes. ¿quiere cumplir el suyo? llamenos.",False,good,False,,2171.0,True,False,False,False,[],False,False,710000.0,€,chalet,"Rivas Futura, Rivas-Vaciamadrid",Chalet pareado,True,True,semidetachedHouse,,,,,
107239168,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/99/0c/1307111655.webp,,20,bj,195000.0,flat,sale,27.0,False,1,1,calle del Calvario,Madrid,Madrid,Centro,es,40.4099415,-3.7020327,False,https://www.idealista.com/inmueble/107239168/,"OPORTUNIDAD UNICA EN EL CORAZÓN DE MADRID!  En el multicultural barrio de Lavapiés. A solo diez minutos de la icónica Puerta del Sol, este piso te ofrece acceso a la mejor oferta cultural, gastronómica y de ocio que Madrid tiene para ofrecer. Esta encantadora vivienda recientemente reformada. Se queda totalmente amueblada y equipada. Con una ubicación inmejorable, ofrece comodidad y estilo en un entorno vibrante. la vivienda es tipo duplex y consta de cocina americana y amplio salón, baño con ducha y en la parte de arriba una amplia habitación. Cada espacio ha sido diseñado para maximizar el confort y la funcionalidad, asegurando que cada rincón sea acogedor y práctico. Ideal tanto para tu primera vivienda como para una inversión, Si estás buscando un lugar para comenzar tu vida en el centro de la capital o una inversión segura en una de las zonas más demandadas de Madrid, esta vivienda es una opción que no puedes dejar pasar. Llámanos para programar una visita¡ HABITALIUM CLUB INMOBILIARIA.",False,good,False,False,7222.0,False,False,False,False,[],False,False,195000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Calvario,,,,Lavapiés-Embajadores,199500.0,4500.0,2.0,
108189234,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/4b/64/1336548937.webp,,26,2,399000.0,flat,sale,57.0,True,2,1,calle de Bravo Murillo,Madrid,Madrid,Tetuán,es,40.4659153,-3.6916732,False,https://www.idealista.com/inmueble/108189234/,"Oficina Pinos Alta del grupo Tecnocasa, VENDE en exclusiva apartamento en C/ Bravo Murillo. Cuenta con muy buena comunicación a través del transporte público, teniendo las paradas de Metro Valdeacederas, Ventilla y Plaza Castillas cerca. También está muy próximo Chamartín y Paseo de La Castellana, en plena zona financiera de Madrid. La vivienda se distribuye en 2 dormitorios, baño independiente, salón luminoso con cocina francesa, con ascensor La vivienda cuenta con bastantes posibilidades de modificación. Para más información no dude en contactarnos.",False,good,False,True,7000.0,False,False,False,False,[],False,False,399000.0,€,flat,"Cuzco-Castillejos, Madrid",Piso en calle de Bravo Murillo,,,,Cuzco-Castillejos,420000.0,21000.0,5.0,
108071861,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4f/e0/19/1332950541.webp,SAR1880,39,1,399000.0,flat,sale,89.0,True,3,1,Barrio Arcos,Madrid,Madrid,San Blas,es,40.4230927,-3.61616,False,https://www.idealista.com/inmueble/108071861/,"Piso de 3 dormitorios TOTALMENTE REFORMADO. Zona Arcos - Las Rosas.  **SIN COMISIÓN PARA EL COMPRADOR** Descubre este precioso y funcional piso de 3 dormitorios, totalmente reformado en 2017, que combina modernidad y confort en cada rincón.  Ubicado en un primer piso con ascensor, este inmueble de 89m² según Catastro, se distribuye de la siguiente manera: Acceso por hall-recibidor que da paso a la izquierda a una amplía cocina, ideal para los amantes de la gastronomía.  De frente nos encontramos un bonito salón comedor que se abre a una encantadora terraza, perfecta para disfrutar de momentos al aire libre.  Desde el salón se accede a un pasillo distribuidor que incluye un armario empotrado, ofreciendo un práctico almacenamiento. El baño es completo con un gran plato de ducha, y una ventana que brinda luz y ventilación natural. Los 3 dormitorios cuentan con armarios empotrados, y vistas a zonas arboladas, que dotan a estas estancias de privacidad y sensación de tranquilidad.  La calefacción por gas natural, y el aire acondicionado en el salón y el dormitorio principal, garantizan un ambiente agradable durante todo el año. Con su suelo laminado en color gris ceniza, y paredes lisas, este piso ofrece una estética moderna y acogedora. La carpintería interior lacada en blanco, y la exterior, también en blanco, aportan luminosidad y elegancia al espacio.  Excelente ubicación con salida casi directa a la autovía de circunvalación M-40 (1400m), y a tan solo 5 minutos de la M-30 (4km). Además existen numerosas opciones de transporte público: -Metro Av. Guadalajara a 230m (línea 2 conexión directa con Ventas, Manuel Becerra, Goya, Retiro, Sol, Ópera, San Bernardo, Cuatro Caminos…) -Parada Autobuses a 140m: Líneas N7 (Puerta de Alcalá-Cibeles), E2 (Goya), 106 (Manuel Becerra), 140 (Canillejas), 287 (Universidad Rey Juan Carlos I). No dejes pasar la oportunidad de vivir en este hogar lleno de estilo y comodidad. ¡Contáctanos para más información y para concertar una visita! *La información, incluidos planos, calidades, medidas y superficies, es orientativa y no vinculante. Se han obtenido de Catastro, Registro de la Propiedad, o ha sido facilitada por la propiedad.",False,good,False,True,4483.0,True,False,False,False,[],False,False,399000.0,€,flat,"Arcos, Madrid",Piso,,,,Arcos,,,,
102993532,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/2f/3d/1357240353.webp,MM3891,35,13,1900000.0,flat,sale,210.0,True,4,3,plaza Manolete,Madrid,Madrid,Tetuán,es,40.4525426,-3.6929682,False,https://www.idealista.com/inmueble/102993532/,"Extraordinario piso en muy buen estado, en finca representativa muy cerca del estadio Santiago Bernabéu.    Esta distribuido en amplio recibidor, cuatro dormitorios, tres cuartos de baño completos (uno de ellos en suite en el dormitorio principal) cocina independiente y precioso salon al que fue incorporado la terraza original proporcionando luminosidad y unas vistas espectaculares.    Derecho a dos plazas de garaje en superficie en recinto cerrado    Su ubicación única, esta rodeada de todo tipo de servicios, centros comerciales, restaurantes, y los mejores colegios. Magnífica oferta cultural y de ocio. Perfectamente comunicado con distintas líneas de autobús y metro.    Veri Corral, boutique inmobiliaria con nuevas oficinas en la calle Alberto Alcocer, 26, en Madrid, es una empresa familiar con más de 30 años de experiencia en venta/alquiler de residencial, locales, oficinas, y promociones de viviendas en Asturias y Madrid.    Veri Corral cuenta con una cartera de viviendas en venta, de pisos de segunda mano, pisos nuevos, chalets, villas, y también magníficos palacetes y “casonas” en primera línea de playa.    Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de profesionales del sector inmobiliario con dedicación personalizada al cliente.    Llámanos y te ayudaremos a encontrar un hogar o las mejores opciones de inversión para rentabilizar tu dinero.    Veri Corral, gestiona inmuebles en Madrid, Asturias y México.",True,good,False,True,9048.0,False,False,False,False,[],False,False,1900000.0,€,flat,"Cuatro Caminos, Madrid",Piso en plaza Manolete,True,True,,Cuatro Caminos,,,,
108834746,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/59/59/1357129630.webp,000233,18,bj,650000.0,flat,sale,95.0,True,3,2,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,40.4243875,-3.7074025,False,https://www.idealista.com/inmueble/108834746/,"MONTELI LUXURY REALTY comercializa espectacular piso en una calle tranquila del animado barrio de Malasaña de Madrid. Cuenta con una superficie de 95 m² construidos. La vivienda se ha reformado completamente hace 5 años y esta enfocada en el alquiler con una alta rentabilidad. Dispone de tres amplios dormitorios y dos baños completos. Cuenta con sistema de climatización por aire acondicionado y calefacción para máximo confort durante todo el año. La entrada a pie de calle ofrece un acceso independiente y cómodo, ideal tanto para residencia habitual como para inversión. El cambio de uso a residencial ya se ha realizado. Gracias a su ubicación privilegiada y características exclusivas, esta propiedad ofrece un gran potencial de rentabilidad en alquiler de corta o media estancia. Una oportunidad única para vivir o invertir en una de las zonas con más demanda y proyección de Madrid.",False,good,False,False,6842.0,True,False,False,False,[],False,False,650000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,,,,Malasaña-Universidad,,,,
108448949,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/19/f3/1345216376.webp,FEL001,9,bj,176000.0,flat,sale,25.0,False,1,1,"calle de Zurita, 45",Madrid,Madrid,Centro,es,40.4086464,-3.6999513,True,https://www.idealista.com/inmueble/108448949/,"En pleno corazón del barrio de Embajadores, se encuentra esta acogedora planta baja de 25 m² completamente reformada y lista para entrar a vivir. Con un diseño funcional y moderno, esta vivienda ofrece una habitación doble, un baño completo, y una cocina equipada con todos los electrodomésticos necesarios. Los techos altos aportan una agradable sensación de amplitud, mientras que los suelos de cerámica y los acabados actuales completan un ambiente cómodo y estiloso. La vivienda se entrega amueblada, con televisión incluida, y equipada con bomba de frío y calor y calefacción, garantizando confort durante todo el año. Perfectamente ubicada, rodeada de autobuses, metro y supermercados, esta propiedad es ideal tanto como inversión para alquiler turístico o residencial, como para quienes buscan su primera vivienda en el centro de Madrid.",False,good,False,False,7040.0,False,False,False,False,[],False,False,176000.0,€,flat,"Lavapiés-Embajadores, Madrid","Piso en calle de Zurita, 45",,,,Lavapiés-Embajadores,179000.0,3000.0,2.0,
108762814,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/21/5a/1354410987.webp,FAMVENDEVALDEMORO-00,30,bj,254691.0,flat,sale,92.0,True,2,2,"calle Luis Planelles, 11",Madrid,Valdemoro,Centro,es,40.1885968,-3.677499,True,https://www.idealista.com/inmueble/108762814/,"FAM INMOBILIARIA OFRECE EN EXCLUSIVA, una impresionante promoción de obra nueva ya finalizada en el corazón vibrante de Valdemoro. Este exclusivo conjunto residencial ofrece viviendas modernas y luminosas con opciones de 2 y 3 habitaciones, cada una equipada con terraza privada ideal para disfrutar del aire libre. Además, se contempla la posibilidad de adquirir plazas de parking disponibles. Situadas estratégicamente cerca del parque Enrique Tierno Galván y el Hospital Universitario Infanta Elena, estas propiedades están rodeadas por un entorno consolidado que cuenta con todos los servicios necesarios: tiendas, escuelas y centros sanitarios a pocos minutos a pie. Las conexiones viales son excelentes, facilitando así desplazamientos rápidos hacia Madrid capital u otras localidades cercanas. Cada vivienda ha sido diseñada prestando especial atención al ahorro energético gracias al sistema innovador de aerotermia instalado; esto no solo minimiza el consumo eléctrico sino que también garantiza comodidad durante todo el año. Los interiores cuentan además con armarios empotrados amplios para maximizar espacio útil; baños completos elegantes revestidos cuidadosamente e impecables suelos laminados tipo tarima aportan calidez a los ambientes. El edificio consta únicamente de dos alturas acogiendo tan solo siete vecinos lo cual promueve un ambiente tranquilo y familiar entre residentes. Con diversas tipologías disponibles desde bajos cómodos hasta modernos dúplex repartidos por las plantas superiores brindamos alternativas adaptándose perfectamente a tus necesidades familiares o personales. No pierdas esta oportunidad única: elegir tu hogar aquí es invertir no solo en calidad vida personal sino también contribuir activamente hacia prácticas sostenibles respetuosas medioambientalmente ¡Rellena nuestro formulario hoy mismo! Uno nuestros comerciales especializados te contactará rápidamente.",False,good,False,True,2768.0,False,False,False,False,[],False,False,254691.0,€,flat,"Centro, Valdemoro","Piso en calle Luis Planelles, 11",True,False,,,,,,14000.0
108664385,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/0c/98/1351509520.webp,AD188,77,,980000.0,chalet,sale,370.0,,6,4,Villafranca del Castillo,Madrid,Villanueva de la Cañada,Villafranca del Castillo,es,40.4777878,-3.9438817,False,https://www.idealista.com/inmueble/108664385/,"BAIRES GRUPO INMOBILIARIO gestiona EN EXCLUSIVA la venta de este Chalet en una sola planta en Villafranca del Castillo, con muy buena ubicación dentro de la urbanización, cercano a la pradera pero con la tranquilidad de las calles internas. El chalet esta en una parcela de 1545m2, totalmente llana, lo que hace que sea ideal para disfrutar el parque. Cuanta con gran zona verde, piscina con solárium, chiringuito cercano a piscina, y dos porches/ galerías de generosas dimensiones. Accedemos por un hall de entrada que nos lleva directo al salon comedor con chimenea de 55m2. La cocina de generosas dimensiones tiene salida directa a uno de los porches que dan al jardín. Desde el salón también se tiene acceso al porche de 18m2 La zona noche cuenta con cinco dormitorios, dos de ellos con baño en suite y los otros tres comparten un baño completo. Todos los dormitorios con armarios empotrados. También encontramos otro gran porche, que cumple la función de salón comedor en verano de unos 36m2. En la misma planta pero con entrada independiente, se encuentra un apartamento que consta de salón comedor con cocina integrada, baño completo y en la planta alta un dormitorio. Este apartamento independiente se puede utilizar como área de servicio, o para dar libertad a hijos adolescentes. La vivienda cuenta con una gran terraza que permitirá ganar más metros en caso de necesitarlos. En el jardín, la piscina de 51m2 de espejo de agua, con solárium, clorador salino, chiringuito para tener sombra y mesa, espacio para guardar enseres de jardín. La parcela cuenta con riego por aspersión, árboles frutales, leñero, zona de parking.",True,good,False,,2649.0,True,False,False,False,[],False,False,980000.0,€,chalet,"Villafranca del Castillo, Villanueva de la Cañada",Casa independiente,,,independantHouse,,,,,
