propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,newDevelopmentFinished
106975939,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/c9/e4/1299245588.webp,W-02Y5MD,38,4,1800000.0,penthouse,sale,168.0,True,3,2,calle de Fuencarral,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4222798,-3.6996847,False,https://www.idealista.com/inmueble/106975939/,"Espectacular ático dúplex con terraza en Justicia Engel & Völkers, inmobiliaria de lujo, tiene el placer de comercializar esta fabulosa propiedad de 168 m2 según catastro, un ático con gran terraza distribuido en dos plantas tipo dúplex con marcada personalidad contemporánea, en diáfanos espacios volcados al exterior, a su luz y sus vistas. Se sitúa en la 4ª planta de un edificio de estilo neoclásico de 1913 con ascensor y representativo del distrito de Justicia. Una pieza con una condición única en su zona que articula en sus dos alturas estancias amplias y versátiles. En la superior, más independiente del resto de la vivienda, se encuentra uno de los dormitorios con baño completo en suite. En la inferior, ubicamos el gran salón comedor, amplia cocina independiente totalmente equipada, 2 dormitorios, otro baño completo y la gran terraza con vistas al centro de Madrid. La conservación de elementos arquitectónicos originales como las vigas de madera dispuestas en el techo de la zona abuhardillada o como pilares marcando la distribución con caprichosas formas, le imprimen carácter. Entre los servicios más destacables, el aire acondicionado por split, la calefacción individual con radiadores o sus suelos de madera dispuestos en lamas. La luz natural que invade las estancias a través de ventanas tipo velux y verticales nos va guiando hasta al salón desde el que accedemos a la terraza exterior, sin duda, un elemento excepcional a destacar, para el ocio, el disfrute social, el descanso y desde donde contemplar el skyline de los tejados de la capital. Porque desde aquí no hay que imaginar el cielo de Madrid, sólo hay que asomarse y contemplarlo con la seguridad de haber hecho una apuesta de éxito tanto para inversión como para patrimonio. El distrito de Justicia es una de las zonas más atractivas e icónicas de la capital, se podría categorizar como un barrio castizo-chic en plena ebullición, donde se mezclan boutiques de moda, galerías de arte, cines y teatros, restaurantes de reputación, cafés bohemios, bistros, hoteles con encanto, mercados fusión, bares de tapas, locales nocturnos a la última y la vanguardia de la oferta comercial. Toma su nombre del Tribunal Supremo, una de las referencias de la zona junto al otro enclave de foco internacional, la plaza de Chueca. Adquirir en Justicia, tanto como apuesta personal como inversión, es marcarse un objetivo de éxito. Su excelente ubicación, entre la emblemática Gran Vía y el meeting point más contemporáneo que es Alonso Martínez, con el servicio de transporte público que la marca como una de las zonas mejor comunicadas, hacen de este emplazamiento el más demandado de madrileños y visitantes. Esa mezcla maravillosa que recuerda el charm de los barrios parisinos con fachadas que evocan siglos pasados, junto al estilo de vida cosmopolita que lo convierten en un pequeño Notting Hill, hacen de este cachito de la ciudad el must perfecto. Déjate llevar por sus calles y bulevares en paseos que te contagiarán de un estilo de vida que ya no quieres soltar. Porque es aquí donde te quieres quedar. Porque en ningún barrio más de moda que Justicia - Chueca todos sentimos y sabemos que somos de Madrid.",False,good,False,True,10714.0,False,False,False,True,[],False,False,1800000.0,€,flat,penthouse,"Chueca-Justicia, Madrid",Ático en calle de Fuencarral,Top,,,,,,,
107012807,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/96/e2/1300376599.webp,BFCA-V175,18,5,245000.0,flat,sale,47.0,True,1,1,calle de Belfast,Madrid,Madrid,San Blas,es,Rejas,40.4485472,-3.5780334,False,https://www.idealista.com/inmueble/107012807/,"CONTACTAR CON LA EXTENSIÓN Nº 4 ¡OPORTUNIDAD DE INVERSIÓN, PISO TURÍSTICO!  (Piso turístico implica que no puede empadronarse en el piso como su vivienda habitual) Piso turístico con licencia y gestión profesional en San Blas Descubre este acogedor piso de 47 m², ideal para inversión, con licencia de piso turístico y actualmente gestionado por una empresa privada especializada. Un activo listo para generar ingresos desde el primer día. Distribución funcional: 1 habitación independiente Cocina independiente completamente equipada Baño completo Salón luminoso Comodidad extra: Incluye una plaza de garaje, un valor añadido para ti o tus huéspedes. Ubicación inmejorable: Ubicado en la zona de San Blas, a pocos pasos del Centro Comercial Plenilunio y a muy poca distancia del aeropuerto. Una ubicación estratégica para viajeros y turistas, con todos los servicios y ocio a mano. No dejes pasar esta oportunidad. Contacta para más información o concertar una visita.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. )  Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",False,good,False,True,5213.0,True,False,False,False,[],False,False,245000.0,€,flat,,"Rejas, Madrid",Piso en calle de Belfast,Top,True,True,,,,,
108827733,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/74/a4/ac/1356297517.webp,LCM37732,49,1,339000.0,flat,sale,40.0,True,1,1,calle de Argumosa,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4056167,-3.6964882,False,https://www.idealista.com/inmueble/108827733/,"ESPECTACULAR OPORTUNIDAD FRENTE AL MUSEO REINA SOFÍA. ¡EDIFICIO CON ITE FAVORABLE! Hay pisos bonitos, pisos bien ubicados.. . y luego está este pisazo en pleno corazón de Lavapiés-Embajadores, que no es que cumpla con los requisitos, ¡es que directamente los reinventa! . Reformado con un gusto exquisito por interioristas que saben lo que hacen, esta vivienda de 40 m² es puro flechazo desde el primer segundo. Solo entrar y ya se te dibuja una sonrisa. ¿La razón? Un diseño que no escatima en detalles: una cristalera de hierro que parece sacada de una revista de decoración, luz natural que entra a raudales (sí, incluso en esos días nublados en los que necesitas un chute de vitamina D), y una distribución pensada para vivir a gusto: salón-cocina abierto, moderno, con flow; y un dormitorio en suite que es tan cómodo como elegante. Te lo digo en serio, aquí te despiertas feliz y te acuestas aún más contento. Pero eso no es todo. Porque si el interior es de 10, la ubicación es de matrícula de honor con mención especial. A menos de dos minutos andando del Museo Reina Sofía. Sí, has leído bien: puedes ir en zapatillas a ver arte contemporáneo y volver a casa antes de que se enfríe el café. Estás en el centro del centro, en una de las zonas más vivas, diversas y culturalmente explosivas de Madrid. Aquí se mezclan los sabores del mundo, los idiomas, los estilos de vida. Lavapiés es libertad, es arte urbano en cada esquina, es un vermut al sol, una exposición inesperada en una galería pequeña, una conversación espontánea en una terraza. Y claro, moverse desde aquí es facilísimo. Metro, trenes de Cercanías, buses.. . todo a mano. Pero sinceramente, con todo lo que tienes a tu alrededor, no te va a hacer falta irte muy lejos. ¿Y sabes qué es lo mejor de todo? Que este piso no solo es bonito y está bien ubicado. Es auténtico, tiene alma. No es uno más. Tiene esa mezcla perfecta entre el encanto de lo castizo y la modernidad bien entendida. No es postureo: es pura esencia madrileña y una vida propia que te enamora sin pedir permiso. Ideal para una persona independiente con buen gusto, una pareja moderna que quiere vivir sin renunciar a nada, o incluso como inversión que no va a conocer la palabra ""vacío"". Así que ya sabes, si quieres vivir (o invertir) en un sitio con historia, estilo y un rollazo que no se puede describir en fotos.. . este es tu sitio. Ven a verlo. Pero ya te aviso: te vas a enamorar.",False,good,False,True,8475.0,True,False,False,False,[],False,False,339000.0,€,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de Argumosa,Top,,,359000.0,20000.0,6.0,,
107750458,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/bf/88/1322210615.webp,BHHS-MAD-0362,26,3,2259000.0,flat,sale,197.0,False,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.434685,-3.6793168,False,https://www.idealista.com/inmueble/107750458/,"Comercializamos la venta de esta espectacular vivienda de lujo, de 197 metros cuadrados, reformado a estrenar y ubicado en la tercera planta de una finca representativa de 1.967 con fachada moderna y portal señorial. Situada en la zona más cotizada del barrio de Salamanca, en una de sus calles más representativas.  Ubicado en una tercera planta y orientado a un gran patio de manzana, su gran superficie cuenta con grandes ventajas que hacen de esta vivienda una opción muy atractiva, no solo por su excelente ubicación y características sino por su marcado carácter exterior con techos altos. suelos de tarima maciza y la maravillosa luz que tiene toda la vivienda, Este extraordinario piso se encuentra distribuido en una gran zona de recibo compuesta por un hall de entrada, salón comedor con dos ambientes diferenciados, con un amplio ventanal y salida a una agradable terraza orientada al gran patio de manzana soleado y tranquilo por los que entra una fantástica luz natural. En la zona de comedor se encuentra separada por una puerta corredera de cristal, una gran cocina dotada de isla, completamente amueblada con mucha zona de almacenaje y equipada con electrodomésticos de primera marca, la cocina tiene salida a la terraza, un aseo de cortesía y un cuarto de lavado completa esta zona. La vivienda cuenta con tres dormitorios todos ellos en suite con sus correspondientes baños incorporados. Todos los dormitorios disponen de amplios armarios empotrados. El dormitorio principal dispone también de un gran vestidor. Hay que destacar la gran calidad de la reforma efectuada con los mejores materiales, aire acondicionado con termostatos independientes en cada estancia, persianas motorizadas y calefacción por caldera de gas natural. La finca cuenta con servicio de portería y unas zonas comunes señoriales y perfectamente conservadas. La vivienda se entrega amueblada y decorada por un prestigioso estudio de arquitectura de interiores.  Cabe destacar la generosa entrada de luz con la que cuenta este piso de lujo, no solo por su orientación sur a un gran patio de manzana, la altura de sus techos y sus grandes ventanales. La vivienda está perfectamente comunicada por transporte público con toda la ciudad.",False,good,False,True,11467.0,True,False,False,False,[],False,False,2259000.0,€,flat,,"Lista, Madrid",Piso,Top,,,,,,,
108568489,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/18/3f/1348699130.webp,BHHS-MAD-0774,30,2,1359000.0,flat,sale,141.0,True,3,3,Barrio Trafalgar,Madrid,Madrid,Chamberí,es,Trafalgar,40.4350135,-3.7044608,False,https://www.idealista.com/inmueble/108568489/,"Les ofrecemos exclusiva vivienda de 141 metros cuadrados exterior con preciosa luz natural. Se encuentra situada en la segunda planta de una finca representativa construida en 1957, situada en una de las calles más representativas del barrio de Trafalgar con un amplio bulevar y a pocos metros de la glorieta de Bilbao. La zona de estar se compone de amplio salón doble con salida a amplia terraza con vistas despejadas y preciosa luz natural, seguido de zona de comedor independiente y con amplia cocina abierta dotada isla central completamente equipada con electrodomésticos de gama alta, armarios hechos a medida y pensada para ser funcional, cuanta con zona de lavandería independiente es sin duda el corazón de la casa.  La zona de descanso está compuesta por tres maravillosas habitaciones dos de ellas con baño en suite con amplios vestidores y ventanales. Dispone de un tercer baño completo que presta servicio a uno de los dormitorios y a su vez de cortesía. Es sin duda un inmueble ideal para vivir o invertir en una de las zonas con más demanda de Madrid. La reforma ha sido ejecutada por un importante estudio de arquitectura empleando los mejores materiales del mercado. Esta vivienda tiene una fantástica ubicación en una de las zonas más exclusivas y demandadas de Madrid. La zona se encuentra perfectamente comunicada por transporte público con toda la ciudad. Todo ello hace de este inmueble una excelente oportunidad vivir o invertir en este exclusivo enclave. Disponemos de varios inmuebles similares en esta zona que solo pueden estar anunciados en nuestra web por expreso deseo de sus propietarios. Si desean verlos pueden hacerlo pinchando en el enlace adicional ubicado al final del anuncio.",False,good,False,True,9638.0,True,False,False,False,[],False,False,1359000.0,€,flat,,"Trafalgar, Madrid",Piso,Top,,,,,,,
108735384,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/eb/8a/1353609478.webp,,24,1,340000.0,flat,sale,98.0,True,3,2,calle del Greco s/n,Madrid,Colmenar Viejo,Los Arcos - El Vivero,es,,40.6718432,-3.7716143,True,https://www.idealista.com/inmueble/108735384/,"VENTA EN EXCLUSIVA CON HOGARES COLMENAR VIEJO Presentamos esta estupenda vivienda en venta, ubicada en una de las zonas más exclusivas de Colmenar Viejo. Este piso de tres dormitorios y dos baños, reformado (incluidas las ventanas), es ideal para quienes buscan comodidad, calidad y una ubicación inmejorable dentro de la Comunidad de Madrid. Al acceder a la vivienda, se aprecian los detalles de la reforma, que, aunque no es reciente, se ha realizado con buen gusto, combinando un diseño funcional con acabados de calidad. La distribución aprovecha al máximo el espacio y la luz natural, creando estancias acogedoras y prácticas. El salón-comedor es amplio y cuenta con salida a una de las dos terrazas, ideal para relajarse o compartir momentos con familia y amigos. La segunda terraza, a la que se accede directamente desde la cocina, ofrece un espacio adicional perfecto para zona de tendedero, desayunos al aire libre o como rincón de descanso. Las grandes ventanas, reformadas, permiten una excelente entrada de luz natural durante todo el día. La cocina es espaciosa, con una distribución que facilita el almacenamiento y el trabajo diario. Los tres dormitorios son luminosos y bien distribuidos, adaptándose perfectamente a las necesidades de cualquier familia. Los dormitorios principales disponen de armarios empotrados y han sido diseñados para ofrecer confort y calidez. Los dos baños han sido reformados y están equipados con plato de ducha, lo que aporta practicidad y comodidad en el uso diario. La vivienda incluye una plaza de garaje privada, un valor añadido en esta zona que permite aparcar sin preocupaciones y tener siempre el vehículo a mano. El edificio cuenta con la instalación del ascensor y existe la posibilidad de que esta vivienda participe en el futuro uso del mismo, lo que representa una oportunidad de mejora a tener en cuenta. Ubicada en una de las mejores zonas de Colmenar Viejo, la vivienda forma parte de una urbanización consolidada y tranquila, ideal para familias que buscan un entorno seguro. Entre sus zonas comunes destacan una piscina comunitaria, perfecta para disfrutar en los días calurosos, y un parque infantil, pensado para el entretenimiento de los más pequeños. HIPOTECAS HASTA EL 100%.",True,good,False,False,3469.0,True,True,False,False,[],False,False,340000.0,€,flat,,"Los Arcos - El Vivero, Colmenar Viejo",Piso en calle del Greco s/n,Top,True,True,,,,,
99613044,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/d3/43/1220869547.webp,BHHS-005147,41,5,2898000.0,flat,sale,231.0,True,3,3,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4389694,-3.6879077,False,https://www.idealista.com/inmueble/99613044/,"Berkshire Hathaway HomeServices Madrid. Vende piso reformado en barrio de Salamanca zona Castellana de 231 m², 3 dormitorios uno de ellos con una gran master suite, 3 baños todos ellos con mármol de la India y aseo de cortesía, amplia cocina, zona de colada y zona de almacenaje. Portero en finca, trastero y posibilidad plaza de garaje en la zona. En esta finca de 1924 representativa en perfecto estado de conservación, rodeada de árboles en una calle tranquila de poco paso y a la vez muy bien comunicada a escasos minutos de las tiendas de firmas de la Milla de Oro. La entrada a la vivienda es a través de un hall de dimensiones amplias, armario gabanero y aseo de cortesía, un amplio pasillo que da paso al salón-comedor amplio y luminoso con sala de cine-televisión. Cocina con gran una isla abierta muy cómoda y funcional con office. La zona de descanso está formada por un dormitorio principal con master suite, vestidor y baño completo en suite. Completa la zona de descanso dos dormitorios más con sus respectivos baños. Un concepto de vivienda distinto, elegante, vanguardista, en el que se ha tenido exquisito cuidado en la selección de los materiales, la distribución de los espacios, de manera que se ha conseguido un espacio acogedor, moderno y confortable.  .",False,good,False,True,12545.0,True,False,True,False,[],False,False,2898000.0,€,flat,,"Castellana, Madrid",Piso,Top,,,,,,,
103483297,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/ab/b8/989171688.webp,2283,29,,4500000.0,chalet,sale,700.0,,6,9,calle peguerinos,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4678427,-3.7352698,False,https://www.idealista.com/inmueble/103483297/,"David Salcedo de GV | PUERTA DE HIERRO COMERCIALIZA LA SIGUIENTE PROPIEDAD: MODERNIDAD EN PUERTA DE HIERRO En la residencial colonia de Puerta de Hierro se levanta este moderno chalet de 700 metros cuadrados, construido en el 2004 sobre una parcela de 1.000 metros cuadrados. Un lugar tranquilo y exclusivo donde disfrutar de todas las comodidades deseadas. Es una vivienda de líneas rectas, con grandes estancias comunicadas entre sí, ventanales que dotan a los espacios de gran cantidad de luz y un contacto permanente con el exterior. DISTRIBUCIÓN: Planta baja: Hall de entrada con aseo de cortesía. Salón. Comedor. Despacho. Sala de juegos. Cocina con office. Planta primera: Cuarto de dormir principal con dos baños, dos vestidores, cuarto con jacuzzi y terraza. Tres cuartos de dormir con cada uno con baño incorporado, dos de ellos con terraza. Planta segunda: Estudio. Planta semisótano: Estudio. Baño a compartir. Sala de la plancha. Sala de lavadoras. Despensa. Dos dormitorios de servicio con baño a compartir. Dos trasteros. Garaje para tres coches. CONSTRUCCIONES EXTERIORES / CALIDADES Y SERVICIOS: Piscina. Grandes calidades en toda la casa. Paredes lisas. Suelos de parquet y mármol, cerámico en servicios. Carpintería de PVC con cristales Climalit en ventanas. Ascensor. Esta información no tiene Carácter contractual. Un porcentaje importante de nuestros inmuebles no aparecen publicados por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.",False,good,False,,6429.0,False,False,False,False,[],False,False,4500000.0,€,chalet,independantHouse,"Ciudad Universitaria, Madrid",Casa independiente en calle peguerinos,Top,True,True,,,,,
108693738,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/6e/e5/1352346842.webp,SIRIO 949,41,4,925000.0,flat,sale,160.0,True,4,2,CL SIRIO,Madrid,Madrid,Retiro,es,Estrella,40.4070526,-3.6655868,False,https://www.idealista.com/inmueble/108693738/,"Agencia inmobiliaria de MADRID – zona ESTRELLA – RETIRO – vende – piso – tecnocasa – hipoteca – alquiler – SIRIO  Tecnocasa Estrella VENDE espectacular piso MUY LUMINOSO en el centro de Madrid. Situado en el barrio de ESTRELLA, una de las mejores zonas de la capital y rodeado de todos los servicios básicos, así como una amplia oferta ocio cultural. Se trata de una cuarta planta, situada en una de las mejores fincas del barrio. Dispone de ascensor, montacargas, tiene portero fisico, piscina, trastero y garaje. El piso super luminoso. Se compone de: - 4 Dormitorios - Salón- comedor - Lavanderia  - 2 Baños - Cocina - Terraza En cuanto a movilidad, se encuentra en un punto muy bien comunicado de Madrid. Cercano a la Plaza de Conde de Casal, desde donde salen más de 20 líneas de autobús urbano e interurbano, el metro más cercano es Conde de Casal (línea 6). Destaca también su cercanía a la estación de Atocha (tren), así como al Parque del Buen Retiro.  Además esta zona se va a revalorizar por la ampliación de la línea 11 al aeropuerto. El barrio de Estrella, está muy cercano al centro y con todos los servicios disponibles (colegios, zonas comerciales, hospitales, farmacias, zonas verdes, supermercados, instalaciones deportivas.. . ). La ubicación de este piso permite disfrutar de una vida familiar plena en un barrio exclusivo, por ello hacen de este inmueble una gran oportunidad dentro del núcleo de la M30. No dude en contactar con nosotros si desea hacer una visita!",False,good,False,True,5781.0,True,True,False,False,[],False,False,925000.0,€,flat,,"Estrella, Madrid",Piso en Cl Sirio,Top,True,True,949000.0,24000.0,3.0,,
108790203,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/43/86/1355225657.webp,DS-P04021,29,1,2550000.0,flat,sale,228.0,True,3,4,Barrio Huertas-Cortes,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4116345,-3.6919736,False,https://www.idealista.com/inmueble/108790203/,"DIZA Consultores presenta espectacular vivienda en el emblemático barrio de Cortes, una de las zonas más exclusivas y con mayor valor histórico y cultural de Madrid.  Situada en la primera planta de un edificio señorial, la propiedad ofrece una distribución que ha sido cuidadosamente diseñada para proporcionar confort, amplitud y luminosidad en cada uno de sus espacios. El salón, amplio y diáfano, ofrece varias zonas de estar y se convierte en el corazón de la vivienda, con acceso directo a los 4 balcones exteriores. La cocina es moderna, espaciosa y funcional, con una elegante isla central que se integra con la zona de comedor, creando un ambiente ideal para compartir momentos en familia o con amigos. La casa cuenta con tres amplios dormitorios en suite, todos ellos con gran capacidad de almacenaje. El principal es exterior como un balcón. Además, cuenta con un aseo de cortesía para invitados y zona de lavandería.  Este piso representa una combinación perfecta entre elegancia clásica y funcionalidad contemporánea. Ideal para quienes buscan una vivienda única en una ubicación privilegiada, rodeada de museos, teatros, restaurantes y todos los encantos del centro de Madrid. Convertimos Sueños en Hogares.",True,good,False,True,11184.0,True,False,False,False,[],False,False,2550000.0,€,flat,,"Huertas-Cortes, Madrid",Piso,Top,,,,,,,
