propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,district,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108762862,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/d5/8f/1354412468.webp,LLAMA,32,2,210000.0,flat,sale,80.0,True,2,1,calle de la Llama,Madrid,Guadarrama,es,40.6790139,-4.0792558,False,https://www.idealista.com/inmueble/108762862/,"¡POSIBILIDAD DE FINANCIACIÓN AL 100% DE SU PRÉSTAMO HIPOTECARIO! Agencia inmobiliaria de GUADARRAMA- zona GUADARRAMA- vende: Piso de DOS dormitorios y UN baño, en Urbanización la Llama. Dispone de dos terrazas. Cocina, salón y dormitorios todos ellos con salida a terraza. Ventanas cambiadas y baño reformado. La vivienda se distribuye en: Hall de entrada, cocina amplia luminosa con salida a gran terraza, salón comedor luminoso con salida también a amplia terraza, dos dormitorios dobles con armarios empotrados ambos y salida a terraza desde ambos dormitorios, baño completo con ducha. La urbanización consta de dos piscinas, campo de futbol, pista de tenis, baloncesto, parque infantil, club social. Tiene parada de autobús en la puerta directo a Madrid. Y a cinco minutos andando al centro del pueblo.",False,good,False,False,2625.0,False,False,False,False,[],False,False,210000.0,€,flat,Guadarrama,Piso en calle de la Llama,,,,,,,,
108370790,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/ae/4e/1342098552.webp,,28,1,295000.0,flat,sale,72.0,True,3,1,calle de la Hacienda de Pavones,Madrid,Madrid,es,40.401899,-3.6458456,False,https://www.idealista.com/inmueble/108370790/,"TECNOCASA Estudio Moratalaz Fontarron S. L. VENDE, estupenda vivienda en el distrito de Moratalaz, cuenta con entrada, salón con terraza incorporada, cocina, baño con plato de ducha y extractor, 3 dormitorios. Zona muy tranquila, ajardinada y con parques infantiles. La vivienda es totalmente exterior y dispone de triple orientación. Estas son algunas de las características del inmueble: - Puerta principal blindada. - Salón con terraza incorporada. - Baño completo con plato de ducha. - Cocina. - Aire acondicionado en el salón. - Triple orientación. - Ventanas de Aluminio - Plaza de Garaje doble  - Calefacción de gas natural con radiadores de aluminio. Moratalaz se caracteriza por su buena comunicación y cercanía a Madrid Centro-Retiro. La vivienda esta ubicada en a cinco minutos de la zona comercial de Moratalaz y a la plaza del Encuentro (la zona comercial). Tiene todos los servicios, como supermercados 'Carrefour24', bancos, tiendas, colegios, biblioteca, parques y jardines. A 7 minutos del metro artilleros linea 9 de metro y a un minuto a las lineas de autobuses 8, 20, 30, 32, 100, N8.",False,good,False,False,4097.0,False,False,False,False,[],False,False,295000.0,€,flat,"Fontarrón, Madrid",Piso en calle de la Hacienda de Pavones,Moratalaz,Fontarrón,True,True,,,,
104964886,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/b3/a0/8a/1237552391.webp,,25,1,570000.0,duplex,sale,214.0,True,4,4,calle Anguita,Madrid,Madrid,es,40.4716119,-3.5789733,False,https://www.idealista.com/inmueble/104964886/,"Red House VENDE edificio ideal para inversión, actualmente alquilado. NO COBRAMOS HONORARIOS A LA PARTE COMPRADORA Edificio con dos viviendas dúplex. Primer dúplex de 58 m2 tiene dos dormitorios y dos baños, se distribuye en: Entreplanta con su cocina en pasillo, abierta a un luminoso salón, un baño con plato de ducha. El salón tiene un altillo con cama doble que sería el primer dormitorio. La entreplanta totalmente acristalada da acceso al jardín de cuarenta metros cuadrados aproximadamente. En el semisótano que tiene una antesala con espacio suficiente para sofá y televisor, un dormitorio con armario empotrado y baño en suite con ducha. Segundo dúplex de 77m2, se distribuye en:  Planta baja con un amplio salón, cocina con comedor, un baño con plato de ducha. Las escaleras abiertas que nos llevan a la planta superior, dónde encontraremos dos amplios dormitorios abuhardillados y un baño con ducha. Aire acondicionado por Split en salón y dormitorios. Esta finca está dotada de placas solares que le dan total independencia para el consumo de calefacción y luz. Muy bien comunicado metro Barajas L8 y autobuses 101 (aeropuerto T1, T2 y T3) 105, 115, 211, 212, N4, 166 Hospital Ramón y Cajal. Todos los servicios: Colegios, Biblioteca, Centro de Salud, polideportivo, comercios, restaurantes.. . Rodeados de grandes parques y espacios abiertos como el campo de golf El Olivar, Parque Juan Carlos I, Jardín el Capricho y el IFEMA.",False,good,False,False,2664.0,False,False,False,False,[],False,False,570000.0,€,flat,"Casco Histórico de Barajas, Madrid",Dúplex en calle Anguita,Barajas,Casco Histórico de Barajas,,,duplex,,,
105729877,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/62/ef/48/1261291372.webp,,41,,320000.0,chalet,sale,356.0,,4,2,"calle de la Península, 46",Madrid,Robledo de Chavela,es,40.5168411,-4.2666444,True,https://www.idealista.com/inmueble/105729877/,"Estupendo Chalet de OBRA NUEVA SIN TERMINAR, 284m2 de vivienda UNIFAMILIAR, en un Entorno Natural Junto al Río Cofío. Esta propiedad ofrece una oportunidad única de vivir en plena armonía con la naturaleza y disfrutar de un entorno tranquilo y sereno. La vivienda de TRES PLANTAS CADA UNA CON TERRAZA enclavada en una generosa parcela de 356 m2, con TERRENO de 1.160 m2 que desciende hasta el pintoresco Río Cofío, las terrazas con vistas impresionantes a las majestuosas montañas que rodean esta región. Cada planta cada una de 94 m2 aprox; con acceso independiente desde la entrada del portal. Porche de acceso y vestibulo de entrada que puedes diseñar a tu gusto y utilizar en gran parte como garaje. La planta principal con amplia TERRAZA lista para disfrutar alberga una acogedora sala comedor con una chimenea que se convierte en el corazón del hogar con vistas a la montaña. Además, encontrarás dos habitaciones, un baño y una cocina independiente completamente equipada. Desde el dormitorio principal con salida a la terraza disfrutarás de vistas panorámicas que te conectarán con la belleza natural de los alrededores. La segunda con la misma distribución aun sin terminar y tercera planta tendrás la oportunidad de diseñar y personalizar a tu gusto. Esta propiedad representa un oasis de tranquilidad en medio de la naturaleza, con el río Cofío como telón de fondo y un sinfín de posibilidades para crear el hogar de tus sueños. Si valoras la privacidad, la belleza natural y el potencial de diseño, esta casa es la elección perfecta. Robledo de Chavela y la urbanización Río Cofio son áreas encantadoras ubicadas en la Comunidad de Madrid, España, tienen su propio atractivo y ofrecen diversas actividades y lugares de interés para los visitantes. Algunos de los atractivos turísticos en la zona incluyen: 1. **Monasterio de Santa María de Valdeiglesias**: Este monasterio histórico, ubicado en Robledo de Chavela, es un ejemplo impresionante de la arquitectura religiosa medieval. Su iglesia es uno de los tesoros románicos de la región. 2. **Observatorio de Yebes**: A poca distancia de Robledo de Chavela, el Observatorio de Yebes es uno de los centros de investigación astronómica más importantes de España. Ofrecen visitas guiadas para los amantes de la astronomía. 3. **Parque Natural de la Cuenca Alta del Manzanares**: Esta área natural protegida se encuentra en las proximidades y es ideal para practicar senderismo, ciclismo y disfrutar de la belleza natural de la región. 4. **Embalse de San Juan**: Aunque no está directamente en Robledo de Chavela, el Embalse de San Juan es un lugar popular para actividades acuáticas, como natación, vela y pesca. Es un lugar estupendo para relajarse junto al agua. 5. **Iglesia Parroquial de San Andrés**: Esta iglesia en el centro de Robledo de Chavela es un punto de referencia local y cuenta con una arquitectura interesante. 6. **Rutas de Senderismo**: La zona está llena de rutas de senderismo que te llevarán a través de bosques, montañas y paisajes pintorescos. El Camino de Cofio es una ruta popular. 7. **Mercado Municipal de Robledo de Chavela**: Si visitas la ciudad, el mercado es un lugar agradable para probar productos locales y disfrutar del ambiente local. 8. **Fiestas Locales**: Robledo de Chavela organiza varias festividades y eventos a lo largo del año, que a menudo incluyen música en vivo, bailes tradicionales y celebraciones culturales. Ofrecen una experiencia auténtica y una escapada perfecta para aquellos que buscan disfrutar de la naturaleza y la cultura local. Para obtener más información o programar una visita, no dudes en ponerte en contacto con nosotros.",False,good,False,,899.0,False,False,False,False,[],False,False,320000.0,€,chalet,Robledo de Chavela,"Casa independiente en calle de la Península, 46",,,True,True,independantHouse,,,
108633936,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/84/51/1350560101.webp,,38,4,725000.0,penthouse,sale,127.0,True,3,2,Norte,Madrid,Alcobendas,es,40.5514714,-3.6594281,False,https://www.idealista.com/inmueble/108633936/,"ASESORA INMOBILIARIA: Miriam TELEFONO Y WHATS APP 6 2 2 6 6 3 3 7 1 NEW HOUSE INMOBILIARIA presenta en exclusiva fantástico ático en venta en Fuente Lucha, Alcobendas. Una de las zonas residenciales de reciente construcción de la zona norte de Madrid.  El inmueble se distribuye en recibidor, salón independiente con salida a una magnífica terraza con orientación oeste, donde disfrutar de horas de ocio, descanso y sol, cocina con zona de lavandería, 3 dormitorios, el principal con baño en suite con salida a una terraza acristalada. La vivienda cuenta con aire acondicionado por conductos y calefacción individual por gas natural.  Cabe destacar que la vivienda cuenta con 3 plazas de garaje incluidas en el precio y trastero.  Esta vivienda está diseñada para ofrecer el máximo confort y calidad de vida a sus residentes, podrás disfrutar de amplias zonas comunes, zonas ajardinadas, zonas infantiles, piscina, además de servicio de conserjería.  Se encuentra en un entorno tranquilo y familiar, cerca de todos los servicios como colegios, farmacias, restauración, supermercados, etc. No pierdas la oportunidad de adquirir esta vivienda de calidad en una ubicación privilegiada.",False,good,False,True,5709.0,False,False,False,False,[],False,False,725000.0,€,flat,"Norte, Alcobendas",Ático,Norte,,True,True,penthouse,745000.0,20000.0,3.0
108723554,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/b3/e6/1353220988.webp,,27,1,380000.0,flat,sale,107.0,True,3,2,"avenida Valdelasfuentes, 7",Madrid,San Sebastián de los Reyes,es,40.5513307,-3.6333837,True,https://www.idealista.com/inmueble/108723554/,"Disfruta de este piso de 98 m² útiles ubicado en una de las mejores zonas de San Sebastián de los Reyes, ideal para aquellos que buscan personalizar su hogar.  En la entrada el inmueble dispone de un amplio espacio para armarios, y un baño completo. Por otro lado, accedemos al salón con gran espacio para ofrecer una apropiada inmersión en el descanso, además un amplio ventanal y espacio suficiente para comedor. Siguiendo la distribución de la propiedad, encontramos una espaciosa cocina con acceso a una práctica terraza, perfecta para disfrutar del aire libre. en cuanto a los dormitorios, son tres, uno de ellos dispone de un baño completo en suite y una pequeña zona optimizada como vestidor.  Este piso se encuentra en una zona muy consolidada y tranquila, caracterizada por sus numerosos jardines y zonas verdes en los alrededores, ideales para pasear y disfrutar de la naturaleza. Además, la proximidad a todo tipo de comercios garantiza una vida cómoda y con todos los servicios al alcance de la mano. La comunicación es excelente, con paradas de autobús y estación de Renfe a pocos minutos, facilitando el acceso a Madrid y otros puntos de interés.",False,renew,False,True,3551.0,False,False,False,False,[],False,False,380000.0,€,flat,"Sta. Bárbara-La Zaporra, San Sebastián de los Reyes","Piso en avenida Valdelasfuentes, 7",Sta. Bárbara-La Zaporra,,,,,,,
108794772,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c7/d3/4e/1355882405.webp,C889,25,,609000.0,chalet,sale,240.0,,4,3,Cerro Alarcón,Madrid,Valdemorillo,es,40.4674997,-4.0884331,False,https://www.idealista.com/inmueble/108794772/,"Inmobiliaria Gopard ofrece este magnífico chalet Independiente reformado en Valdemorillo. ¡Un Hogar con Encanto! Te presentamos este chalet independiente de 239 m² construidos sobre una generosa parcela de 934 m², ideal para disfrutar de la tranquilidad, el espacio y la comodidad en un entorno natural sin renunciar a los servicios.  Distribuido en una sola planta principal, perfecta para una vida funcional y sin barreras: Acogedor salón-comedor con chimenea, Inmobiliaria Gopard presenta este magnífico chalet independiente reformado en Valdemorillo, un hogar con encanto que te enamorará desde el primer momento. Con 239 m² construidos sobre una amplia parcela de 934 m², esta vivienda ofrece el equilibrio perfecto entre naturaleza, confort y proximidad a todos los servicios. La casa se distribuye principalmente en una sola planta, lo que la hace muy cómoda y funcional para el día a día. Al entrar, encontramos un acogedor salón-comedor con chimenea, ideal para compartir momentos en familia o con amigos. La cocina es independiente y de diseño moderno, pensada para disfrutar cocinando con espacio y estilo. Dispone de tres habitaciones con armarios empotrados, todas ellas luminosas y con buenos acabados, y dos baños completos, uno de ellos en suite. Los suelos de tarima y las puertas y armarios lacados en blanco aportan un toque elegante y actual a toda la vivienda. Además, cuenta con dos terrazas equipadas con toldos motorizados, perfectas para relajarse al aire libre. En la planta semisótano, a la que se accede de forma independiente, encontramos un espacio muy versátil que ofrece múltiples posibilidades. Incluye un garaje cerrado con puerta motorizada para un coche, una segunda entrada también con puerta automática, un salón adicional, cocina tipo office, baño completo y una sala de instalaciones. La amplia parcela de 934 m² permite soñar en grande: desde un jardín exuberante hasta una zona de juegos, una piscina o cualquier proyecto que imagines para disfrutar del exterior. Ubicada en una zona residencial muy tranquila, esta propiedad se encuentra a tan solo cinco minutos del centro de Valdemorillo, con transporte público, supermercado y restaurante muy cerca. Una vivienda única, con detalles que cautivan. No dejes pasar la oportunidad de conocerla. Llámanos para más información o para concertar una visita. ¡Te esperamos!",False,good,False,,2538.0,False,False,False,False,[],False,False,609000.0,€,chalet,"Cerro Alarcón, Valdemorillo",Casa independiente,Cerro Alarcón,,True,True,independantHouse,630000.0,21000.0,3.0
108754909,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/eb/4e/1354160051.webp,,17,2,850000.0,flat,sale,126.0,True,3,2,calle de Moratín,Madrid,Madrid,es,40.4114681,-3.6962039,False,https://www.idealista.com/inmueble/108754909/,"""Agencia inmobiliaria de Madrid zona Huertas-Cortes Tecnocasa Estudio Huertas-Cortes Slu. ¡VENDE! Exclusiva propiedad señorial con tres balcones a la calle en el corazón del barrio de Las Letras. Con una superficie de 126 m², esta espectacular vivienda exterior ofrece un ambiente residencial único. Combina el encanto histórico con las comodidades modernas. La vivienda cuenta actualmente con un gran salón con increíbles vistas al barrio, cocina totalmente independiente con ventana, tres dormitorios bien distribuidos, uno de ellos con acceso a una pequeña terraza, un baño y un aseo, ideales para el confort diario. Cabe destacar, que este encantador inmueble, cuenta con ventanas en todas las estancias y aire acondicionado. Disfruta de la luz natural que inunda cada rincón gracias a sus balcones, perfectos para relajarse y disfrutar del entorno urbano, acompañados de su orientación reflejando el sol directamente dentro. El edificio dispone de ascensor, facilitando el acceso a la vivienda y añadiendo un toque de comodidad a tu día a día. Esta propiedad es una oportunidad única para quienes buscan un hogar con carácter y estilo en una ubicación privilegiada. No pierdas la posibilidad de vivir en un entorno exclusivo que combina historia y modernidad en pleno Madrid. ¡NO PIERDAS ESTA OPORTUNIDAD, AGENDA TU VISITA! Muy bien comunicado: Paseo del Prado a 2 minutos andando, El Jardín botánico a 5 minutos, El Retiro a 8 minutos andando, Sol a 10 minutos andando. ¡EXCELENTE ZONA! El barrio de Las Letras es una de las zonas más antiguas de Madrid, emblemática para la cultura de la ciudad ya que, además de haber sido cuna de grandes figuras del ámbito literario y teatral, acoge varios de sus teatros y museos más importantes. Además de una gran variedad de opciones de ocio y cultura, encontramos una amplia y peculiar oferta de tiendas, bares y restaurantes. ¡Gracias por confiar en nosotros! Nos avalan 15 años de experiencia en la zona, formando parte de esta gran empresa, líder en España y Europa en el sector de la intermediación inmobiliaria. ¿Quiere conocer el valor real de su inmueble? Ofrecemos a nuestros vecinos VALORACIONES GRATUITAS y sin ningún compromiso de viviendas, locales y plazas de garaje. Asesoramiento y gestión en: COMPRAVENTA, ARRENDAMIENTO, CAMBIO de VIVIENDA, HERENCIAS, CAMBIO de USO, CERTIFICADO ENERGÉTICO. Nuestro departamento KIRON, expertos en intermediación financiera, le ayudarán a encontrar la solución hipotecaria que mejor se adapte a sus necesidades. Estamos a su disposición para cualquier consulta"".",False,good,False,True,6746.0,False,False,False,False,[],False,False,850000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle de Moratín,Centro,Huertas-Cortes,True,True,,,,
102807867,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/90/8c/1167969511.webp,1723,48,,1450000.0,flat,sale,139.0,True,2,2,calle de Montalbán,Madrid,Madrid,es,40.4183791,-3.6891434,False,https://www.idealista.com/inmueble/102807867/,"Una sensación de paz nos sorprende y nos invade al entrar en esta vivienda que destaca por su minimalismo y elegancia. La combinación de las tonalidades neutras como el color blanco y el color arena nos transporta a otro lugar donde prevalece el bienestar y nos invita al mismo tiempo a relajarnos. Todo está cuidado hasta el mínimo detalle con materiales nobles, líneas rectas que contrastan con las formas ovaladas y un mobiliario confortable y elegante que se funden en la vivienda de doble altura con toda naturalidad. La entrada está presidida por una fuente con agua donde la luz y los diferentes volúmenes se reflejan provocando una sensación de que flotan en el espacio. El amplio salón- comedor, invita a la relajación y se conecta visualmente con una espectacular cocina de diseño equipada con materiales de primer nivel La zona de noche se compone de dos dormitorios dobles: El principal es un santuario de tranquilidad. Disfruta de un baño de diseño y un vestidor de ensueño. La vivienda cuenta con otra zona de aguas que da servicio a la segunda habitación y a los invitados. Gracias a sus extraordinario diseño, calidades y emplazamiento en la calle más elegante de Madrid, esta extraordinaria residencia supone una inversión altamente rentable y segura en el tiempo.",True,good,False,True,10432.0,False,False,False,False,[],False,False,1450000.0,€,flat,"Jerónimos, Madrid",Piso en calle de Montalbán,Retiro,Jerónimos,,,,,,
108851617,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/2b/b4/1356988350.webp,,1,3,142000.0,flat,sale,59.0,True,3,1,calle de Extremadura,Madrid,Fuenlabrada,es,40.2816191,-3.7904422,False,https://www.idealista.com/inmueble/108851617/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULO ESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITAS IDEAL PARA INVERSORES LA LOCALIZACIÓN DEL INMUEBLE ES APROXIMADA Vivienda de 55 m², según Catastro, y 4 m² de elementos comunes a la venta en el municipio de Fuenlabrada, Madrid. La vivienda está distribuida en salón-comedor, tres dormitorios, cocina, cuarto de baño, dos terrazas y recibidor. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Es una 3ª Planta en un bloque residencial con ascensor. Muy bien comunicado por carretera (M-506) y transporte público. A menos de cinco minutos andando de la parada de autobús de la calle Extremadura y cerca de la estación de tren de Fuenlabrada Central. Próximo a todo tipo de servicios e infraestructuras como centros educativos (I. E. S. Joaquín Araújo), comercios, supermercados, farmacias, zonas verdes (Parque del Olivar).. . SIN COMISIÓN La localización del activo es aproximada.",False,good,False,True,2407.0,False,False,False,False,[],False,False,142000.0,€,flat,"Centro, Fuenlabrada",Piso en calle de Extremadura,Centro,,,,,,,
