propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,externalReference,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
106524479,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/c7/00/1285462928.webp,13,3,1350000.0,flat,sale,223.0,True,4,4,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4442698,-3.7145698,False,https://www.idealista.com/inmueble/106524479/,"Belton Real Estate ofrece vivienda muy luminosa, en una tercera planta exterior con una superficie de 223 metros cuadrados. El inmueble amplio y reformado se distribuye en cuatro habitaciones, cuatro baños, cocina, salón, comedor y terraza. La finca dispone de ascensor, aire acondicionado y trastero. Se ubica en un barrio que se encuentra en el distrito de Chamberí, una de las áreas más tradicionales y céntricas de la capital española. Este barrio tiene un carácter residencial, con una mezcla de edificios antiguos y modernos, y es popular por su ambiente tranquilo y sus buenos servicios. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,True,6054.0,False,False,False,False,[],False,False,1350000.0,€,flat,"Vallehermoso, Madrid",Piso,,,,,,,
108628026,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/ae/60/1350386105.webp,26,3,1390000.0,flat,sale,117.0,True,2,2,calle de O'Donnell,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4208316,-3.6775253,False,https://www.idealista.com/inmueble/108628026/,"Exclusivo piso con terraza en calle O´Donnell. ¡Vive en una de las zonas más cotizadas de Madrid! Se vende espectacular piso en el prestigioso barrio de Salamanca, a escasos metros del parque del retiro y en una de las zonas mas demandadas de la capital. Características principales: Superficie construida: 117 m² Salón con cocina americana con reforma de diseño. Dormitorios: 2 amplios y luminosos, uno en suite. Baños: 2 completos. Terraza privada con zona chill out y comedor exterior. Estado impecable y listo para entrar a vivir. Plaza de garaje en la finca incluida. Destaca por su maravillosa terraza de más de 25 m², perfecta para disfrutar del aire libre en pleno centro de la ciudad. El interior combina diseño moderno, materiales de calidad y una distribución funcional.  Ideal tanto para vivir como para inversión, en una finca representativa con excelente ubicación y buena comunicación. Más información: Estudio Inmobiliario Goya (Tecnocasa) Calle Narváez, 21 Local Dcha, 28009 Madrid Teléfono: Móvil:  Correo:.",False,good,False,True,11880.0,False,False,False,False,[],False,False,1390000.0,€,flat,"Goya, Madrid",Piso en calle de O'Donnell,True,True,,,,,
108595864,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f5/60/dd/1349494466.webp,21,bj,310000.0,flat,sale,77.0,True,2,2,calle de Carnicer,Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4513427,-3.7058985,False,https://www.idealista.com/inmueble/108595864/,"Ref. MV-2946 EMBASSY PROPERTIES presenta una vivienda ESPECIAL INVERSIÓN El inmueble tiene una superficie total de 76M2 y se encuentra en la planta baja de un edificio, distribuido en dos plantas. Planta principal - Salón recibe luz natural desde sus ventanas al exterior. - Comedor, espacio diáfano en la zona salón. - Cocina, tiene isla y está esta completamente equipada con todos los electrodomésticos. - Una (1) habitación doble con armarios empotrados. - Un (1) baño completo. Planta -1 (15m2 aprox) - Un (1) dormitorio doble. - Un (1) baño. El inmueble fué renovado íntegramente y en la renovación se invirtieron más de 20.000€ en uun tratamiento antihumedades, facturas disponibles.",False,good,False,True,4026.0,False,False,False,False,[],False,False,310000.0,€,flat,"Bellas Vistas, Madrid",Piso en calle de Carnicer,,,MV-2946,,,,
108073210,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/61/c3/1346804801.webp,39,,1100000.0,chalet,sale,556.0,,7,6,calle del Torreón,Madrid,Galapagar,La Canaleja,es,,40.5676448,-4.0111099,False,https://www.idealista.com/inmueble/108073210/,"Este acogedor hogar sin duda trasmite su encanto.  Unifamiliar muy cerca del casco urbano pero con la tranquilidad que solo puede aportar su entorno natural. Jardín consolidado, cuidando cada detalle, césped natural con riego, piscina climatizada, amplias terrazas, caminitos que desembocan en paisajes con encantos. P. BAJA-Amplio recibidor, suelos de madera y escalera cómoda. Dispone de un amplio dormitorio en planta, diseñado de tal forma que es totalmente independiente, con baño en suite (ventana), amplia encimera y un maravilloso vestidor, dispone de puerta de seguridad. Salon comedor muy amplio con doble entrada, separada por dos peldaños que hacen de el un lugar de encuentro ideal. Ventanas de aluminio dobles con cristal climalit. Cocina con espacio para comer en ella, doble encimera, despensa y salida directa a un amplio porche. Aseo de cortesía. P. PRIMERA- Amplio recibidor, esta planta cuenta con 4 dormitorios, todos ellos con baño en suite, armarios empotrados vestidos y salida a amplias terrazas que deleitan sus vistas. Sala de encuentros. P. SEMISOTANO- Aquí encontraremos una sala de encuentros que dispone de barra, cocina con despensa y una pequeña bodega, ideal para compartir momentos inolvidables. También cuenta con dos dormitorios, uno de ellos con baño (plato de ducha). Aseo de cortesía. Zona de plancha y lavadero. Garaje para cuatro coches con puerta automática. En este hogar se resalta su comodidad, la distribución es ideal, dormitorios amplios con baño en suite, salones amplios, zona de encuentro con barra y cocina, jardín consolidado donde encontraras rinconcitos encantadores.",False,good,False,,1978.0,False,False,False,False,[],False,False,1100000.0,€,chalet,"La Canaleja, Galapagar",Casa independiente en calle del Torreón,True,True,236711,independantHouse,,,
108731351,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/b9/4e/1353689880.webp,38,4,380000.0,flat,sale,48.0,False,1,1,calle del General Álvarez de Castro,Madrid,Madrid,Chamberí,es,Trafalgar,40.4333936,-3.7023549,False,https://www.idealista.com/inmueble/108731351/,"¡OPORTUNIDAD EN EXCELENTE UBICACIÓN – GENERAL ÁLVAREZ DE CASTRO! GRUPO PROPS S. L. presenta este acogedor piso en venta en una de las zonas más demandadas de Chamberí, ubicado en la calle General Álvarez de Castro, a pocos pasos de la Plaza de Olavide y perfectamente situado entre las estaciones de metro Quevedo e Iglesia. El inmueble cuenta con una habitación, un baño completo, aire acondicionado y calefacción por bomba de calor y frío. Gracias a su orientación sur, disfruta de una excelente luminosidad durante todo el día. Todas las estancias dan a un patio interior, lo que proporciona tranquilidad y buen aislamiento acústico. Dispone de agua caliente mediante termo eléctrico. Los gastos de comunidad son de 90 €/mes (incluyen el consumo de agua), y el IBI es de 350 €/año. El edificio se encuentra en una finca bien conservada, en un entorno privilegiado y con todos los servicios al alcance: comercios, zonas verdes, restaurantes, y una excelente conexión mediante metro y autobuses. A tan solo unos minutos caminando de la emblemática Plaza de Olavide, ideal para disfrutar del ambiente del barrio y la vida al aire libre. Esta propiedad es ideal tanto para inversores como para quienes buscan una vivienda propia en una ubicación inmejorable de Madrid. ¡No dejes pasar esta oportunidad! Llámanos y agenda tu visita. (Este anuncio no es vinculante, puede contener errores y se muestra a título informativo y no contractual).",True,good,False,True,7917.0,False,False,False,False,[],False,False,380000.0,€,flat,"Trafalgar, Madrid",Piso en calle del General Álvarez de Castro,,,VTA.GADCRAM,,,,
108471856,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/83/24/54/1345922524.webp,41,bj,181000.0,flat,sale,118.0,True,5,2,CL CAMINO NUEVO,Madrid,Miraflores de la Sierra,,es,,40.8106036,-3.7687449,False,https://www.idealista.com/inmueble/108471856/,"¡Inversión con alma en Miraflores de la Sierra! En Molet, casas que enamoran, te presentamos una oportunidad única: la venta de la NUDA PROPIEDAD de esta encantadora vivienda en planta baja, ubicada en uno de los pueblos más bonitos de la Sierra de Madrid. � Importante: Los actuales propietarios, de 88 y 90 años, conservarán el uso y disfrute vitalicio del inmueble. Con 100 m² construidos, esta casa ofrece una excelente proyección a futuro gracias a su distribución y características únicas: ✨ Ideal para dividir en dos viviendas independientes: Cuenta con dos entradas diferenciadas y dos patios privados. Posibilidad de crear un apartamento de 1 o 2 dormitorios con patio y vistas, y una vivienda principal de 3 o 4 dormitorios con amplio patio, barbacoa de obra y una bodega tipo ""Txoko"". � Actualmente la casa se distribuye en: Recibidor Salón Cocina independiente 5 dormitorios 1 cuarto de baño completo 1 aseo Gran patio con vistas despejadas y orientación sur Bodega con encanto, perfecta para reuniones o almacén � Ubicada en el centro, a la vez en zona tranquila, con naturaleza, aire puro y todo el encanto de Miraflores de la Sierra. � Contáctanos para más información y para recibir la vídeo-visita.",False,good,False,False,1534.0,False,False,False,False,[],False,False,181000.0,€,flat,Miraflores de la Sierra,Piso en Cl Camino Nuevo,,,,,,,
108054255,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/8a/97/1340482395.webp,18,bj,180000.0,flat,sale,68.0,True,2,1,calle De Silvio Abad,Madrid,Madrid,Usera,es,Zofío,40.3792987,-3.71255,False,https://www.idealista.com/inmueble/108054255/,"POSIBILIDAD DE APARCAMIENTO EXTERIOR EN LA COMUNIDAD  Descubre tu nuevo hogar en este encantador piso exterior en venta! Con 68 m² de espacio bien distribuidos, este luminoso apartamento cuenta con dos acogedores dormitorios, perfectos para descansar y disfrutar de la tranquilidad. La cocina, completamente amueblada y equipada con electrodomésticos. El baño funcional, dispone de una práctica ducha que maximiza el espacio. Además, el cerramiento de aluminio blanco no solo aporta un toque estético, sino que también garantiza un buen aislamiento.  Este piso ofrece una excelente comunicación con el transporte público, facilitando el acceso a metro y autobuses. La zona es muy práctica, con comercios cercanos, un centro de salud y colegios en las proximidades, lo que lo convierte en un lugar ideal para familias o profesionales. No dejes pasar la oportunidad de visitar este atractivo inmueble en buen estado. ¡Ven a verlo y empieza a imaginar tu nueva vida aquí!",True,good,False,False,2647.0,False,False,False,False,[],False,False,180000.0,€,flat,"Zofío, Madrid",Piso en calle De Silvio Abad,,,,,,,
108102777,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/11/af/1333917563.webp,25,bj,240000.0,flat,sale,112.0,True,3,2,calle Linares,Madrid,Cercedilla,,es,,40.7398372,-4.0578345,False,https://www.idealista.com/inmueble/108102777/,"¡Descubre este magnífico piso en venta en Cercedilla!  El piso cuenta con 112 m² construidos y 107 m² útiles, se distribuye en hall de entrada con armario empotrado, que da paso a un amplio salón-comedor, ideal para disfrutar de momentos en familia o con amigos, fantástica cocina con terraza tendedero, tres dormitorios equipados con armarios empotrados, lo que garantiza un amplio espacio de almacenamiento. El dormitorio principal es un auténtico lujo, ya que incluye un vestidor y un baño en suite que proporciona total privacidad y comodidad.  Además, el inmueble dispone de un segundo baño, calefacción eléctrica con posibilidad de instalación de gas y ventanas de PVC con doble acristalamiento, lo que asegura un excelente aislamiento térmico y acústico. Los suelos de tarima aportan calidez y estilo a cada rincón.  Este piso, construido en 2006, se encuentra en muy buen estado de conservación y es ideal para quienes buscan un hogar listo para entrar a vivir. Incluye una plaza de garaje y un trastero, lo que añade aún más valor a la propiedad.  No pierdas la oportunidad de vivir en un entorno tranquilo, pero cercano a todos los servicios que necesitas. ¡Ven a verlo y enamórate de tu nuevo hogar! NO COBRAMOS HONORARIOS AL COMPRADOR.",False,good,False,False,2143.0,False,False,False,False,[],False,False,240000.0,€,flat,Cercedilla,Piso en calle Linares,True,True,CER716,,,,
108730382,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/d5/5f/1353444517.webp,19,1,1680000.0,flat,sale,127.0,True,3,2,Barrio Nueva España,Madrid,Madrid,Chamartín,es,Nueva España,40.460339,-3.6869976,False,https://www.idealista.com/inmueble/108730382/,"MO Inmobiliaria presenta este espacioso y luminoso piso reformado y totalmente AMUEBLADO, con vistas a la Castellana, situado dentro de un edificio dispone de ascensor y un elevador lateral en el portal para sortear las escaleras de acceso, mejorando la accesibilidad. Además, cuenta con portero en horario comercial, incluyendo fines de semana y festivos. Este piso de 127 m² destaca por su cómoda y funcional distribución, ideal para quienes valoran el confort en pleno centro de Madrid. Consta de tres amplios dormitorios y dos baños, ofreciendo el espacio perfecto tanto para familias como para quienes buscan una vivienda representativa en una de las zonas más dinámicas de la ciudad. La cocina, con office, está totalmente equipada con electrodomésticos de alta gama y acabados modernos, pensada para disfrutar del día a día con estilo y practicidad. El salón comedor, amplio y muy luminoso, ofrece unas vistas privilegiadas a la Castellana, aportando una gran sensación de amplitud. La vivienda se entrega completamente amueblada con muebles de diseño, lo que permite entrar a vivir de inmediato. Cuenta con aire acondicionado por conducto, numerosos armarios empotrados y una reforma reciente con materiales de alta calidad. Los amplios ventanales con cerramientos Cortizo garantizan un excelente aislamiento térmico y acústico, creando un ambiente tranquilo y confortable. Una oportunidad única para vivir con todas las comodidades en una ubicación inmejorable, rodeado de servicios, comercios y excelentes comunicaciones.",True,good,False,True,13228.0,False,False,False,False,[],False,False,1680000.0,€,flat,"Nueva España, Madrid",Piso,,,MAW65.0,,,,
107439149,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/5b/3c/1312682749.webp,28,,2500000.0,chalet,sale,800.0,,5,6,avenida del Guadalix,Madrid,Ciudalcampo,,es,,40.6205165,-3.6015357,False,https://www.idealista.com/inmueble/107439149/,"VISTA HOMES presenta un excepcional CHALET INDEPENDIENTE con INMEJORABLES VISTAS, que combina elegancia, comodidad y ubicación en una de las áreas más exclusivas de Ciudalcampo. Ubicada sobre una parcela plana de 2.500 m² en esquina, esta casa ofrece vistas despejadas de la Sierra, garantizando a su vez la más absoluta privacidad y tranquilidad. Sus 800 m² construidos se distribuye en tres niveles, diseñados para cumplir con los más altos estándares de confort y distinción a través de espacios amplios y versátiles. PLANTA BAJA Un elegante vestíbulo da paso a un imponente salón comedor, que conecta con un comedor independiente y una cocina actualizada. Además, en esta planta se encuentra un cómodo cuarto de estar o despacho, una amplia habitación de invitados con baño en suite y acceso directo al jardín, así como un acogedor porche acristalado.  PRIMERA PLANTA Se encuentran dos dormitorios principales, cada uno con salón privado, vestidor y cuarto de baño en suite, junto a otras dos habitaciones de gran tamaño a las que da servicio otro cuarto de baño completo. También en este nivel se encuentra una luminosa biblioteca, ideal para la lectura o el estudio. PLANTA -1 Espacioso garaje con capacidad para cinco vehículos, además de una práctica zona de lavandería. El exterior de la propiedad es un verdadero refugio natural. Un jardín exuberante, rodeado de árboles consolidados, enmarca una espectacular piscina, un espacio chill out y la zona de barbacoa, creando el ambiente ideal para disfrutar en familia.  Ciudalcampo un lugar para vivir en plena naturaleza sin renunciar a la seguridad y a los servicios de la ciudad. Es una de las mejores zonas residenciales de Madrid con un excepcional emplazamiento dentro del Parque Regional de la Cuenca Alta del Manzanares, ubicada en los municipios de San Sebastián de los Reyes y Colmenar Viejo y en un entorno privilegiado y con impresionantes vistas a la sierra norte de Madrid. Es un espacio que mantiene el equilibrio entre el desarrollo urbanístico y la conservación del medio natural. Dispone de un cómodo y rápido acceso en el Km 28 de la N-1 y se encuentra muy próxima al aeropuerto de Madrid Barajas, IFEMA y a grandes parques empresariales con múltiples empresas multinacionales. ¡TE INVITAMOS A CONOCERLO! , ¿HABLAMOS? En VISTA HOMES contactamos contigo en el horario que mejor te venga. Llámanos o déjanos tu teléfono, estaremos encantados de ayudarte.",False,good,False,,3125.0,False,False,False,False,[],False,False,2500000.0,€,chalet,Ciudalcampo,Casa independiente en avenida del Guadalix,True,True,VIS-381,independantHouse,,,
