propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,newDevelopmentFinished,detailedType.subTypology
108666804,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/3b/d7/1351581908.webp,W-0307EP,33,3,600000.0,flat,sale,97.0,True,2,2,Barrio Valdeacederas,Madrid,Madrid,Tetuán,es,Valdeacederas,40.4660903,-3.7013862,False,https://www.idealista.com/inmueble/108666804/,"Impecable ático en Valdeacederas Engel & Völkers presenta este hermoso ático en la zona de Valdeacederas, Madrid, donde la comodidad y la seguridad se encuentran en perfecta armonía. Con una superficie total de casi 100 metros cuadrados, esta oportunidad inmobiliaria ofrece un estilo de vida funcional con sus dos baños y un garaje privado que se puede adquirir por separado, garantizando la máxima comodidad en cada rincón. Al entrar, será recibido por un espacio que irradia modernidad y elegancia, acentuado por un impecable suelo de parquet que recorre todo el apartamento. Las ventanas inundan el interior de luz natural, creando una atmósfera acogedora y luminosa. El diseño contemporáneo se complementa con una terraza de 10 metros cuadrados, un rincón perfecto para relajarse y disfrutar de la tranquilidad urbana. Este apartamento se distingue por sus características únicas, como un ascensor que proporciona acceso directo y cómodo a su hogar. La disposición inteligente de los espacios maximiza la funcionalidad y el confort, mientras que el cuidado en cada detalle refleja un compromiso con la calidad y el buen gusto. Descubra un estilo de vida diferente en Madrid, donde este apartamento no solo es un hogar, sino un refugio de elegancia y tranquilidad. No pierda la oportunidad de hacer suyo este espacio que combina a la perfección la modernidad y la funcionalidad en una de las ciudades más emocionantes del mundo. Ubicada en una de las zonas más demandadas de Madrid, la propiedad en Calle del Capitán Blanco Argibay ofrece un estilo de vida inigualable, ideal para aquellos que valoran el confort en un entorno urbano vibrante. Esta área es perfecta para profesionales, familias y amantes de la cultura que buscan una ubicación privilegiada con acceso a todo lo que Madrid tiene para ofrecer. La infraestructura en esta zona es excepcional, con fácil acceso a una red de transporte público eficiente que incluye autobuses y el metro, lo que garantiza una conexión rápida con el centro de la ciudad en tan solo 15 minutos. La proximidad a la estación de tren de Chamartín, a solo 10 minutos en coche, facilita los viajes nacionales e internacionales. Para el ocio, el área ofrece una variedad de actividades que incluyen tiendas, restaurantes y cafés encantadores. El Parque de la Dehesa de la Villa, a menos de 10 minutos, es un refugio verde perfecto para paseos tranquilos o actividades al aire libre. Además, el famoso estadio Santiago Bernabéu está a solo 15 minutos, ideal para los aficionados al fútbol. Este enclave en Madrid destaca por su combinación de tranquilidad y proximidad a la vibrante vida cultural de la ciudad. La cercanía a colegios y hospitales añade un valor incalculable a la calidad de vida. Vivir en Calle del Capitán Blanco Argibay es experimentar un lado diferente de Madrid: una ciudad que combina a la perfección historia, modernidad y un estilo de vida cosmopolita. Esta ubicación ofrece un equilibrio perfecto entre la serenidad residencial y la emoción de la vida urbana, convirtiéndola en una opción irresistible para quienes buscan vivir en el corazón de España.",False,good,False,True,6186.0,False,False,False,False,[],False,False,600000.0,€,621500.0,21500.0,3.0,True,False,25000.0,flat,"Valdeacederas, Madrid",Piso,Top,,
108258626,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/87/44/1338722728.webp,LFG.V.006,34,1,1420000.0,flat,sale,130.0,True,2,3,"avenida de Luis García Cereceda, 7",Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,La Finca,40.4062857,-3.8008773,True,https://www.idealista.com/inmueble/108258626/,"Realizza La Finca, vende este fantástico piso en la urbanización de La Finca Graden, con orientación sur. Nada mas entrar a la vivienda nos encontramos con unos espacios muy diáfanos y con una cocina comunicada con el salón, la cocina goza de una fantástica isla con vistas al jardín, tanto desde el salón como de la cocina se accede a la terraza, en esta planta también hay un aseo de servicio y zona de lavandería. La vivienda tiene dos dormitorios y dos baños, el dormitorio principal con baño en suite y con terraza. La vivienda tiene trastero y 2 plazas de garaje, además de seguridad 24h. La urbanización tiene gimnasio y zona multiusos para los vecinos  La zona de La Finca tiene unas excelentes comunicaciones mediante transporte público, gracias al metro ligero y a los autobuses de línea que paran en los diferentes tramos de la urbanización La Finca. La zona también goza de un gran número de colegios privados como, Kesington Shool American School, British Council, Colegio Internacional, Los Rosales, y Retamar; centros comerciales como El Corte Inglés de Pozuelo, el centro comercial Zielo, El Zoco, y los multiciness de Kinepolis (con los cines más grandes de España); Centros deportivos como Rebook sport La Finca, y campos de golf como el Club de Golf Somosaguas.  Realizza La Finca, desde el año 2012 es la inmobiliaria de referencia en la urbanización de La Finca, ofrece una amplia selección de viviendas de lujo (adosados, bajos con jardín, áticos y chalets independientes) en compra y en alquiler, ubicadas en La Finca de Pozuelo, y se caracteriza por ofrecer exclusivamente viviendas ubicadas en esta privilegiada zona residencial de Madrid. Con experiencia de más de 12 años en La Finca y con conocimiento profundo de todas las urbanizaciones que la componen. Contamos para ello se con un equipo de gran experiencia en el mercado inmobiliario de lujo, y con una relación muy directa con La Finca desde sus inicios hasta hoy. Nuestra larga trayectoria profesional nos permite ofrecer una excelente gestión y encontrar soluciones a las necesidades de cada cliente con el objetivo de lograr su satisfacción y confianza.",False,good,False,True,10923.0,True,False,False,False,[],False,False,1420000.0,€,,,,True,True,,flat,"La Finca, Pozuelo de Alarcón","Piso en avenida de Luis García Cereceda, 7",Top,,
106267856,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/28/2e/1277714907.webp,Tipo 1,7,,665500.0,duplex,sale,124.0,True,2,3,"avenida Isabel Farnesio, 7",Madrid,Boadilla del Monte,Sector S,es,,40.4095859,-3.8856812,True,https://www.idealista.com/obra-nueva/106267856/,"¡Nueva promoción en Boadilla del Monte, Avenida Isabel de Farnesio! Descubre tu nuevo hogar en una de las zonas más exclusivas de Boadilla del Monte. Esta promoción cuenta con pisos de 2 y 3 habitaciones, diseñados para ofrecer el máximo confort y funcionalidad.  Cada vivienda dispone de 2 a 3 baños completos, ideales para familias o aquellos que buscan mayor espacio y comodidad. Las viviendas están pensadas para aprovechar al máximo la luz natural y cuentan con acabados de alta calidad, cocinas modernas y amplias terrazas donde disfrutar de momentos de tranquilidad. Ubicada en una zona privilegiada, la Avenida Isabel de Farnesio ofrece fácil acceso a servicios, colegios, zonas verdes y transporte público, sin renunciar a la tranquilidad y el bienestar que caracteriza a Boadilla del Monte. Características principales: •Pisos de 2 y 3 habitaciones. •2 o 3 baños completos. •Amplias terrazas. •Excelentes acabados. •Zona tranquila con todos los servicios a mano. No pierdas la oportunidad de vivir en uno de los mejores entornos residenciales de Madrid. ¡Llámanos y agenda tu visita!",False,newdevelopment,True,True,5367.0,False,False,False,False,[],False,False,665500.0,€,,,,True,True,,flat,"Sector S, Boadilla del Monte","Dúplex en avenida Isabel Farnesio, 7",Top,False,duplex
105345248,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/f9/17/1249308083.webp,VAL1893,46,,1395000.0,chalet,sale,495.0,,5,5,PRINCIPAL,Madrid,Valdelagua,,es,,40.6488864,-3.6161546,False,https://www.idealista.com/inmueble/105345248/,"HOUSE AND HOUSE VENDE.- Fantástica vivienda dentro de la exclusiva urbanización de Valdelagua. La casa tiene una excelente ubicación, cerca de la entrada y salida de la urbanización, pero en una zona muy tranquila y con parcela totalmente plana y con mucha privacidad. La construcción que tiene es de gran calidad destacando el aislamiento y los cerramientos exteriores (cristales blindados y persianas de seguridad automáticas). Su distribución cuenta con todos los espacios y estancias muy amplias y con mucha luz. La vivienda se distribuye: PLANTA PRINCIPAL: Amplio hall de entrada a doble altura, salón de gran tamaño con diferentes ambientes, chimenea y salida directa al bonito porche y zona de piscina, comunicado a su vez con la zona de comedor independiente y cocina muy amplia con zona de office. Desde la zona de cocina accedemos a dos amplias estancias, una es el dormitorio de servicio con su baño completo en suite ( perfectamente también para invitados), amplia zona de lavandería y despensa, desde la que accedemos directamente al garaje ( para 4 coches) también en esta planta. Completamos esta planta con un despacho y/o cuarto de estar y el aseo de invitados. PLANTA PRIMERA: Encontramos la zona de dormitorios. Tenemos tres grandes dormitorios y dos baños completos y tambien de gran tamaño. El dormitorio principal cuenta con sala de estar, dos vestidores y baño en suite con ducha y bañera hidromasaje. Los otros dos dormitorios de unos 20m2 cada uno comparten el segundo baño de esta planta también con bañera y ducha. PLANTA BAJA: Tenemos espectacular bodega, sala de cine, zona de gimnasio y sauna (preparado para instalar) y dos trasteros. En exterior encontramos una segunda casita auxiliar que cuenta con salón, cocina, 1 dormitorio y una baño completo. La estupenda piscina con zona de chillout y cascada. y precioso jardín totalmente consolidado. Mejor ver! La urbanización Valdelagua está ubicada en el km 30 de la carretera de Burgos. Esta urbanización es totalmente privada, estando restringido el acceso únicamente a los propietarios que tengan viviendas en la misma urbanización. Tiene una zona de club social donde se desarrolla gran parte de la vida social de Valdelagua. Valdelagua está rodeada de múltiples zonas comerciales que pueden abastecer cualquiera de tus necesidades, tales como bancos, supermercados, farmacia, centro médico tanto de la seguridad social como privado, diferentes sitios de restauración…además muy cerca cuenta con colegios tanto público como concertados y privados de gran prestigio. Hay diferentes conexiones de autobuses constantemente, tanto con Madrid como con Alcobendas o San Sebastián de los Reyes.",False,good,False,,2818.0,False,False,False,False,[],False,False,1395000.0,€,,,,True,True,,chalet,Valdelagua,Casa independiente en Principal,Top,,independantHouse
108667793,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/95/af/1353343629.webp,W-0303I4,46,,779000.0,chalet,sale,157.0,,6,4,Villalba Estación,Madrid,Collado Villalba,Villalba Estación,es,,40.6301795,-4.0064671,False,https://www.idealista.com/inmueble/108667793/,"Naturaleza y Confort en Collado Villalba Engel&Völkers presenta esta espectacular vivienda independiente situada en una exclusiva urbanización privada de Collado Villalba, una zona tranquila y rodeada de naturaleza, con excelentes comunicaciones tanto por carretera como en transporte público. La propiedad se asienta sobre una amplia parcela de 1.637 m², ideal para disfrutar de privacidad, espacio al aire libre y múltiples posibilidades de ocio o paisajismo. La vivienda cuenta con una superficie generosa distribuida en 6 dormitorios, perfectos para familias grandes o para quienes necesiten espacio para invitados, despacho o zona de teletrabajo. Dispone de 4 baños completos, lo que garantiza comodidad y funcionalidad para todos los miembros del hogar. El salón es amplio y luminoso, con acceso directo al exterior, y se convierte en el lugar perfecto para reuniones familiares o momentos de descanso. La cocina está completamente equipada, lista para ser disfrutada desde el primer día. Esta casa combina confort, amplitud y una ubicación privilegiada, en una urbanización segura y tranquila, pero muy bien conectada con todos los servicios y con el centro de Madrid. Ideal para quienes buscan un entorno natural sin renunciar a la comodidad y la accesibilidad. La vivienda se encuentra en una de las mejores zonas residenciales de Collado Villalba, dentro de una urbanización privada que combina tranquilidad, naturaleza y una excelente conectividad. La zona está muy bien comunicada tanto en transporte público como en carretera: A pocos minutos se encuentra la estación de Renfe de Villalba, que ofrece conexiones directas con Madrid (líneas C3a, C8 y C10), facilitando los desplazamientos diarios tanto por trabajo como por ocio. En cuanto al transporte por carretera, la vivienda tiene un acceso rápido a la A-6 (Autovía del Noroeste), lo que permite llegar al centro de Madrid en menos de 30 minutos en condiciones normales de tráfico. También cuenta con una amplia red de autobuses interurbanos, con varias líneas que conectan directamente con Moncloa y otros puntos clave de la capital, así como con municipios cercanos de la Sierra de Guadarrama. A pesar de estar rodeada de naturaleza y ofrecer un entorno muy tranquilo, la vivienda se sitúa a corta distancia de zonas comerciales, colegios, centros de salud y todo tipo de servicios.",False,good,False,,4962.0,False,False,False,False,[],False,False,779000.0,€,790000.0,11000.0,1.0,True,True,,chalet,"Villalba Estación, Collado Villalba",Casa independiente,Top,,independantHouse
108014494,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/dd/76/1340297035.webp,85861234,53,bj,2500000.0,flat,sale,188.0,True,2,3,calle de Juan de Mena,Madrid,Madrid,Retiro,es,Jerónimos,40.418961,-3.6904301,False,https://www.idealista.com/inmueble/108014494/,"Impresionante Apartamento Reformado a Estrenar en Jerónimos Ubicado en el corazón de Jerónimos, este exquisito apartamento de 188 m² se encuentra a tan solo 3 minutos a pie del icónico Parque del Retiro. Situado en un hermoso edificio clásico, la propiedad combina a la perfección el encanto histórico con el lujo contemporáneo. Recientemente renovado con los más altos estándares, la vivienda presenta acabados de primer nivel en todos sus espacios, ofreciendo una experiencia de vida sofisticada y tranquila en uno de los barrios más codiciados de Madrid. El apartamento cuenta con una distribución elegante: Un amplio salón con vistas exteriores a una calle tranquila Una cocina totalmente equipada con electrodomésticos de alta gama y mobiliario a medida Dos dormitorios acogedores, diseñados para brindar el máximo confort y privacidad Un baño refinado, con acabados y grifería de alta calidad Una sala de cine o juegos adicional, ideal para el ocio o para recibir invitados Con una ubicación inmejorable, proporciones elegantes y una renovación impecable, esta propiedad representa una oportunidad única de adquirir una vivienda de lujo en el epicentro cultural y arquitectónico de Madrid.",True,good,False,True,13298.0,True,False,False,False,[],False,False,2500000.0,€,,,,,,,flat,"Jerónimos, Madrid",Piso en calle de Juan de Mena,Top,,
108717633,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/53/bc/1353039908.webp,,32,2,629900.0,flat,sale,131.0,True,4,2,calle Secundino Zuazo,Madrid,Boadilla del Monte,Sector B,es,,40.4033126,-3.8929595,False,https://www.idealista.com/inmueble/108717633/,"AGENCIA INMOBILIARIA HOGARES BOADILLA DEL MONTE presenta este FABULOSO PISO de 130 m² construidos en el corazón del SECTOR B.  Ubicado en una urbanización privada con conserje, piscina, zonas comunes y todos los servicios a un paso, este piso destaca por su excelente distribución, gran luminosidad y una orientación privilegiada que garantiza luz natural durante todo el día. La vivienda, originalmente de cuatro dormitorios, ha sido reformada para ofrecer espacios más amplios y funcionales, distribuyéndose en una sola planta de forma cómoda y práctica: Nada más acceder, encontramos un hall recibidor que nos da la bienvenida y conecta con una amplia y luminosa cocina independiente, con gran capacidad de almacenaje y acceso a una práctica zona de tendedero cubierto. Desde el hall también accedemos a un amplio y luminoso salón comedor, lleno de luz gracias a sus amplios ventanales y con salida directa a una generosa terraza de aproximadamente 10 m², perfecta para disfrutar del aire libre. La zona de descanso se encuentra perfectamente separada mediante un pasillo que nos conduce a tres habitaciones. Dos de ellas, de buen tamaño, comparten un baño completo, y la habitación principal cuenta con baño en suite. Además, la cuarta habitación original se ha reconvertido en una práctica zona de vestidor y despacho, ideal como espacio de trabajo o almacenamiento adicional. La vivienda cuenta con aire acondicionado por conductos, reformas en baños, paredes en liso, doble ventana con mosquitera y carpinterías lacadas en blanco, además de una cómoda plaza de garaje y trastero incluidos en el precio. La urbanización dispone de piscina comunitaria, zonas ajardinadas y espacios comunes para el disfrute de toda la familia, en un entorno tranquilo, seguro y familiar. Situado en una de las zonas mejor comunicadas de Boadilla del Monte, con fácil acceso a la M-50, M-40, A-6, A-5 y M-501, muy cerca de transporte público, supermercados, restaurantes y una amplia oferta educativa, con centros como Mirabal International School, St. Michael’s, Virgen de Europa, EuroCasvi y Endaze School, entre otros. ¡Una oportunidad única para vivir en uno de los mejores entornos residenciales de Boadilla! ¡No dudes en visitar tu nuevo hogar, te encantará!",True,good,False,True,4808.0,False,True,False,False,[],False,False,629900.0,€,,,,True,True,,flat,"Sector B, Boadilla del Monte",Piso en calle Secundino Zuazo,Top,,
96188353,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/54/f6/939760504.webp,CDC1319,56,,1690000.0,chalet,sale,700.0,,8,6,calle embajador,Madrid,Ciudalcampo,,es,,40.6144831,-3.6023285,False,https://www.idealista.com/inmueble/96188353/,"HOUSE AND HOUSE VENDE Espectacular chalet en Ciudalcampo con altísimo nivel de equipamiento y facilidades, En una de las mejores ubicaciones dentro de Ciudalcampo.  Se distribuye: PLANTA BAJA: Moderna cocina muy amplia con electrodomésticos de última generación, zona de office y un cuarto para lavandería espectacularmente diseñado. Cuarto de estar o dormitorio y Baño con Baño turco, Cuarto para zona infantil o zona de cine, Baño. Se accede al jardín y piscina con zona de barbacoa y vestuarios y baño en ella. PLANTA PRIMERA: Dormitorio principal en suite con ducha y gran jacuzzi y amplio vestidor. Otro dormitorio también en suite con armarios empotrados y un tercer dormitorio o despacho con baño exterior. De las habitaciones de la segunda planta se accede a una impresionante terraza con acabados en madera de Teca en perfecto estado pudiendo también acceder a la piscina por ella.  PLANTA SEGUNDA: consta de 4 dormitorios con armarios empotrados y 2 baños. Calefacción de gas y aire acondicionado en toda la casa y persianas eléctricas en toda la casa. Amplio garaje cubierto con capacidad para 3 o 4 vehículos y almacenaje, además de una zona exterior de aparcamiento para invitados en el interior de la finca. Cualquier necesidad específica del inquilino se puede discutir. La vivienda está ubicada dentro de una urbanización, situada en el kilometro 28 de la N-I, dispone de seguridad privada las 24h del día, como servicios comunes dentro de la urbanización cabe destacar: El club social del RACE, con un campo de golf de 18 hoyos, hípica, piscina, tenis, padel, futbol, gimnasio etc.. . Además de dos edificios sociales uno de adultos y uno de niños, con zona de ocio, piscina de bolas y unos grandes jardines con columpios y mesas de picnic ideales para celebrar fiestas infantiles. Colegio privado bilingüe SEK, en la urbanización de enfrente (Santo Domingo) hay un colegio público bilingüe con primaria y secundaria y a 5 min por la vía de servicio en dirección Madrid se encuentra también el Trinity College colegio concertado bilingüe. La urbanización tiene una línea de autobús que van a Plaza de Castilla y hacen paradas intermedias en el metro de San Sebastián de los Reyes, junto al Hospital Público Infanta Sofía. Ciudalcampo dispone además de una línea de minibuses internos que recorren toda la urbanización. A 10 min, encontramos el Hospital público de la Seguridad Social Infanta Sofía.",False,good,False,,2414.0,False,False,False,False,[],False,False,1690000.0,€,,,,True,True,,chalet,Ciudalcampo,Casa independiente en calle embajador,Top,,independantHouse
108795312,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/3d/e0/1355352889.webp,DEHESA350,31,3,350000.0,penthouse,sale,200.0,True,4,2,"AV DEHESA DE LA, 5",Madrid,Navalcarnero,La Dehesa - El Pinar,es,,40.3036798,-4.0051726,True,https://www.idealista.com/inmueble/108795312/,"HOGARES NAVALCARNERO VENDE espectacular ático dúplex en urbanización privada con piscina comunitaria, portero físico, áreas infantiles y zonas ajardinadas. También dispone de DOS plaza de garaje y trastero, en uno de los barrios con más prestigio del municipio; La Dehesa. Una de las mejores zonas de Navalcarnero, próximo a todo tipo de servicios, a 500 metro del colegio SEI, comercios, paradas de autobús, instalaciones deportivas, etc. Combinado con naturaleza y tranquilidad en el barrio. La vivienda se distribuye en dos cómodas plantas y está compuesta por cuatro dormitorios y dos baños completos. El inmueble se encuentra en un perfecto estado de conservación, dadas las modificaciones pertinentes que se hicieron y se distribuye de la siguiente manera: Al entrar a la vivienda nos encontramos un amplio hall de entrada, cocina reformada con zona de office y gran espacio de tendedero y enorme salón – comedor de muy buen tamaño con amplios ventanales, lo que le da mucha luminosidad a la estancia. Dos dormitorios secundarios grandes con armarios empotrados y grandes ventanales. Un baño completo con bañera. Una habitación principal con armarios empotrados y con baño completo en suite con plato de ducha. Desde el salón accedemos por una cómoda y bonita escalera a la planta de arriba donde contamos con una buhardilla diáfana y completamente habilitada pudiendo usarse para múltiples actividades como habitación, ocio, despacho, etc. La vivienda tiene toda la pintura en liso, aire acondicionado por conducto con bomba frío/calor excepto en la buhardilla que contamos con split de aire acondicionado. Además de DOS plaza de garaje y trastero. ¡NO PIERDAS LA OPORTUNIDAD DE VIVIR EN UN PRECIOSO ÁTICO EN UNA DE LAS MEJORES ZONAS DEL MUNICIPIO! ¡FINANCIACION HASTA EL 100%!",False,good,False,True,1750.0,True,False,False,False,[],False,False,350000.0,€,,,,True,True,,flat,"La Dehesa - El Pinar, Navalcarnero","Ático en Av Dehesa De La, 5",Top,,penthouse
87474651,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/ae/ec/1248134992.webp,CDC1618,55,,1990000.0,chalet,sale,660.0,,5,5,cerro del toro,Madrid,Ciudalcampo,,es,,40.6150475,-3.6241885,False,https://www.idealista.com/inmueble/87474651/,"HOUSE AND HOUSE VENDE O ALQUILA (912779625) Fantástica vivienda de Vanguardia, diseñada por un importante estudio de arquitectura MBM y construida con los mejores materiales.  La casa esta situada en una preciosa parcela, con jardín muy bien diseñado y consolidado y unas impresionantes vistas. La casa se distribuye: Planta principal: hall, aseo de invitados, cocina totalmente equipada (electrodomésticos de alta gama), salón-comedor muy amplio dividido en dos ambientes con grandes ventanales, zona de estar con Chimenea suspendida de Dominique Imbert.  Entre los espacios que componen el salón se encuentra una espectacular terraza con suelos de teca birmana de 8x25 con increíbles vistas a la Sierra Norte.  En esta misma planta encontramos una habitación para invitados con baño en suite, otros dos dormitorios que comparten un baño completo y la habitación principal con gran vestidor y baño en suite todas muy amplias y con mucha luz. planta baja: Encontramos piscina climatizada, jacuzzi, baño turco y un área polivalente con vistas al jardín, dos habitaciones más, un cuarto de baño y cuarto de instalaciones. El jardín cuenta con un estanque y huerto. La casa tiene: alarma volumetrica, domótica, iluminación led, suelo radiante, aspiración centralizada ventanas eléctricas, persianas motorizadas de seguridad, las ventanas del salón tienen un sistema de calefacción para impedir que se empañen por la diferencia de temperatura equipo de sonido y DVD integrado y centralizado de la prestigiosa marca Bang&Olufsen, montacargas. La vivienda está ubicada dentro de una urbanización, situada en el kilometro 28 de la N-I, dispone de seguridad privada las 24h del día, como servicios comunes dentro de la urbanización cabe destacar: El club social del RACE, con un campo de golf de 18 hoyos, hípica, piscina, tenis, padel, futbol, gimnasio etc... Además de dos edificios sociales uno de adultos y uno de niños, con zona de ocio, piscina de bolas y unos grandes jardines con columpios y mesas de picnic ideales para celebrar fiestas infantiles. Colegio privado bilingüe SEK, en la urbanización de enfrente (Santo Domingo) hay un colegio público bilingüe con primaria y secundaria y a 5 min por la vía de servicio en dirección Madrid se encuentra también el Trinity College colegio concertado bilingüe. La urbanización tiene una línea de autobús que van a Plaza de Castilla y hacen paradas intermedias en el metro de San Sebastián de los Reyes, junto al Hospital Publico Infanta Sofía. Ciudalcampo dispone además de una línea de minibuses internos que recorren toda la urbanización. A 10 min, encontramos el Hospital público de la Seguridad Social Infanta Sofía, construido recientemente y con todas las especialidades.",False,good,False,,3015.0,False,False,False,False,[],False,False,1990000.0,€,,,,True,True,,chalet,Ciudalcampo,Casa independiente en cerro del toro,Top,,independantHouse
