propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108333453,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/c8/21/1341005043.webp,31,5,4450000.0,flat,sale,450.0,True,6,4,calle Velázquez,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4336322,-3.6820239,False,https://www.idealista.com/inmueble/108333453/,"EMISSARY presenta esta espectacular vivienda en inmejorable ubicación dentro de la zona residencial más exclusiva en la Calle Velázquez. Vivienda totalmente privada, ubicada en el corazón del barrio de Salamanca, en finca señorial con portero físico. Se desarrolla en una planta con una superficie total de 360 m² de vivienda, además, cuenta con plaza de garaje para coche pequeño y gran trastero en la misma finca. Destaca por su distribución cómoda y funcional adaptada a las exigencias de hoy en día. Gran hall de entrada desde al que se accede por un lado a la zona de salones, dividida en salón principal con grandes ventanales a la calle Velázquez, salón central con salida a un amplio balcón y seguido pasamos a la zona de comedor. Al comedor se accede también desde la cocina. Aseo de cortesía con gran armario empotrado. Desde el hall se accede también a la zona privada, que consta de dormitorio principal con baño en suite, zona de vestidor y un amplio despacho privado. Tres dormitorios secundarios y segundo baño completo. Zona adicional de almacenaje en pasillo y zona de servicio completa. Gran cocina con office y despensa a la que se accede directamente a través de la puerta de servicio. Zona de lavandería independiente y balcón a patio comunitario. La vivienda tiene muchísimas posibilidades gracias a una gran sólida y pensada construcción, con excelentes puntos constructivos como techos altos y estancias de gran tamaño, lo que le confiere una luminosidad excepcional. Situada en el cogollo del Barrio de Salamanca, cuenta con todos los servicios en las inmediaciones.",False,good,False,True,9889.0,False,False,False,False,[],False,False,4450000.0,€,True,True,flat,"Castellana, Madrid",Piso en calle Velázquez,,,,,
108730236,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/25/60/1353439370.webp,21,bj,250000.0,flat,sale,69.0,True,3,1,calle de la Rioja,Madrid,Leganés,Zarzaquemada,es,Zarzaquemada,40.335012,-3.7482646,False,https://www.idealista.com/inmueble/108730236/,"VIVIENDA EN BUEN ESTADO en una de las mejores zonas de Leganés y más demandadas. Ideal como vivienda propia o para el mercado de alquiler. Ubicada en la planta baja del edificio da a una calle peatonal lo que proporciona tranquilada y evita los ruidos propios del tráfico. Consta de amplia cocina con acceso al patio de uso privado. Salón, tres habitaciones y baño con plato de ducha. La vivienda se encuentra en buen estado y está lista para entrar a vivir.  El edificio se encuentra rodeado de zonas ajardinadas y peatonales con la tranquilidad que ello aporta. Situada a poco minutos del metro de Julian Besteiro y de autobuses que conectan fácilmente con Madrid, ciudades cercanas a Leganés como Fuenlabrada y Getafe, y con numerosas zonas de Leganés como ParqueSur. La zona se encuentra totalmente consolidada con todos los servicios que una familia pueda necesitar.",False,good,False,True,3623.0,False,False,False,False,[],False,False,250000.0,€,,,flat,"Zarzaquemada, Leganés",Piso en calle de la Rioja,,,,,
107354017,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/c9/f2/1310684641.webp,86,10,3475000.0,duplex,sale,469.0,True,5,5,Barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.4523778,-3.6866262,False,https://www.idealista.com/inmueble/107354017/,"SIN HONORARIOS COMPRADOR Precioso y lujoso dúplex en El Viso, todo exterior en un noveno y décimo con vistas despejadas y luz natural durante todo el día.  IMPORTANTE si no quiere subir y bajar escaleras las dos plantas disponen de entrada independiente y el ascensor llega hasta la misma puerta de entrada de las dos plantas. Superficie Catastral 469 m2. Posibilidad de segregar en dos pisos DISTRIBUCIÓN ACTUAL: Planta 9ª:  Hall de entrada con escalera, aseo de invitados, amplísimo salón de con varios ambientes, despacho, comedor con dos ambientes, office, cocina, cuarto de servicio con su cuarto de baño, terraza cubierta para tender y zona de lavado. Entrada principal y de servicio. Planta 10ª:  Vestíbulo (o Hall de entrada) de acceso al dormitorio principal en suite y de grandes dimensiones con su agradable terraza, actualmente cerrada pero que si quisiera podría convertirla fácilmente en terraza abierta con solo retirar las ventanas, salón y dos dormitorios en suite. Entrada principal, la entrada de servicio actualmente se encuentra cerrada. Muy bien conservado, la vivienda ha sido reformada íntegramente en 2019 con calidades de lujo: Pintura lisa, suelo de mármol blanco, tarima de madera, grandes ventanales en aluminio lacado en blanco con vidrio doble tipo “climalit”, carpintería interior madera lacada en blanco y cristal, armarios empotrados y revestidos en su interior. Persianas eléctricas en la zona principal, puertas de acceso a la vivienda blindadas.  Edificio residencial con dos viviendas por planta. Calefacción y agua caliente central, combustible electricidad y gas natural, aire acondicionado bomba de calor/frío. Portal representativo con dos ascensores principales y uno de servicio con su entrada independiente.  GRAN JARDÍN PRIVADO comunitario de USO EXCLUSIVO, ideal para niños o simplemente pasar un buen rato tranquilo tomando el aire. INCLUIDO en el precio: 2 PLAZAS DE GARAJE y TRASTERO en el mismo edificio, con ACCESO DIRECTO. Posibilidad de adquirir, si se quiere, 1 plaza de garaje más en parking de residentes aprecio de mercado (solo transmitible apersona física) Magnífica ubicación con todos los servicios y comodidades junto a la vivienda, distancias andando al Paseo de la Castellana, al metro de los Nuevos Ministerios, al Corte Inglés, a las oficinas de Azca (distrito financiero y de Negocios de Madrid), ocio, parques, centros médicos, hospitales, farmacias, colegios (British Council School, San Patricio, Estilo, etc), hoteles, restaurantes…. Es un piso que lo tiene todo, amplitud en los espacios, la luminosidad, la tranquilidad y en una de las mejores y más cotizadas zonas de Madrid………un sitio donde a todos nos encantaría vivir…. POSIBLE DISTRIBUCIÓN DE DOS PISOS INDEPENDIENTES: Podría tener la posibilidad de segregar la propiedad en DOS PISAZOS EXTERIORES de unos 189 m2 cada uno, con 4 habitaciones y 3 cuartos de baño, con su entrada principal y de servicio.  Adjunto alguna infografía y un render para que puedan visualizar como podría quedar uno de los pisos con una moderna distribución de cocina abierta al salón, aunque si prefiere se podría hacer, también, una distribución más clásica con cocina independiente.  SOLICITE el dossier informativo con fotos, planos.  Se atiende fines de semana y festivos, si prefiere contactar por WhatsApp puede en el:  -670 -881 -049.",True,good,False,True,7409.0,True,False,False,False,[],False,False,3475000.0,€,True,True,flat,"El Viso, Madrid",Dúplex,"Exclusivo, luminoso, vistas despejadas",duplex,,,
108789739,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/79/a2/1356789522.webp,16,1,225000.0,duplex,sale,98.0,True,2,2,Valdemorillo pueblo,Madrid,Valdemorillo,Valdemorillo pueblo,es,,40.5011191,-4.0665576,False,https://www.idealista.com/inmueble/108789739/,"FINANCIAMOS EL 100% DEL VALOR DE ESTE INMUEBLE. ¡Descubre tu nuevo hogar en el corazón de Valdemorillo! Te presentamos este fabuloso dúplex, una oportunidad única para vivir con estilo, comodidad y en una ubicación privilegiada. Situado en pleno centro de Valdemorillo, esta luminosa vivienda combina elegancia, funcionalidad y cercanía a todos los servicios que necesitas. Cuenta con dos amplios dormitorios y dos baños completos, ideal tanto para familias como para parejas que buscan un espacio versátil y acogedor. Su distribución en dos plantas ofrece una separación perfecta entre zona de descanso y área social, garantizando confort e intimidad. A pocos pasos encontrarás supermercados, colegios, farmacias, zonas verdes, restaurantes y transporte público, todo lo necesario para una vida cómoda sin necesidad de usar el coche. No dejes escapar esta magnífica oportunidad. ¡Ven a conocerlo y enamórate de tu próximo hogar!",False,good,False,False,2296.0,False,False,False,False,[],False,False,225000.0,€,,,flat,"Valdemorillo pueblo, Valdemorillo",Dúplex,,duplex,,,
108828640,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/ec/0e/1359276408.webp,35,6,245000.0,flat,sale,76.0,True,3,1,Juan de Austria,Madrid,Alcalá de Henares,Juan de Austria,es,,40.4886681,-3.3559696,False,https://www.idealista.com/inmueble/108828640/,"Exclusivas alcala pone a la venta este bonito piso a 5 minutos andando al centro de alcala de henares. El piso consta de salon comedor con terraza, cocina a patio interior. 3 habitaciones, 2 de ellas dobles y 1 sencilla, cuarto de baño totalmente reformado, con plato de ducha.  el piso se encuentra en una zona privilegiada de alcala de henares, todo tipo de servicios alrededor de la vivienda, sin necesidad de utilizar el coche para nada (colegios, farmacia, medico, colegios, guarderias, supermercados de todas las cadenas, gasolineras, cargadores electricos, bares, etc. ) buena salida a la autovia a2 la casa se reformo hace 5 años, cambiandose la instalacion electrica y la fontaneria.  exclusivas alcala, con una dilatada experiencia de mas de 30 años vendiendo casa, le acompañara en todo el proceso de compraventa. Disponemos de departamento jurido y financiero.  somos api (agentes de la propiedad inmobiliaria. Este anuncio no es vinculante y puede contener errores, se muestra a titulo informativo y no es contractual en los precios de venta no estan incluidos, impuestos legales ni gastos de escrituracion.",False,good,False,True,3224.0,False,False,False,False,[],False,False,245000.0,€,,,flat,"Juan de Austria, Alcalá de Henares",Piso,EX04199,,,,
108749060,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/b0/de/1353988290.webp,69,1,425000.0,penthouse,sale,117.0,True,2,2,Manzanares el Real,Madrid,Manzanares el Real,,es,,40.7328352,-3.8706869,False,https://www.idealista.com/inmueble/108749060/,"A. S. GESTIÓN INMOBILIARIA vende precioso y original ático de dos dormitorios con terraza de 80 m2 en la exclusiva urbanización ""Miralyelmo"" de Manzanares el Real, en la Sierra de Guadarrama, con impresionantes vistas de la montaña, el castillo y el embalse. La vivienda se entrega con 2 plazas de garaje amplias y un trastero de 16 m2. DISTRIBUCIÓN. - La vivienda (95 m2 aprox), cuenta con recibidor, amplio salón comedor con chimenea, (con techos a doble altura para tener gran luminosidad), cocina amueblada, dos dormitorios dobles con armarios empotrados vestidos y dos cuartos de baño completos, uno de ellos incorporado al dormitorio principal (los baños son muy amplios). La terraza es muy especial y amplia (80 m2) con toma de agua y espectaculares vistas panorámicas de la Pedriza, embalse y castillo (mejor visitar), igualmente en la terraza se encuentra un cuarto que es para la lavadora, tendedero y cuarto de caldera, cuarto trastero de 16 m2 y dos plazas de garaje incluidas en el precio, situadas ambas en zona de sótano. CALIDADES. - Calefacción y agua caliente por gas canalizado con depósito comunitario y contador individual, solado en mármol en salón y tarima en dormitorios, carpintería interior en madera de roble, carpintería exterior en aluminio con doble acristalamiento, persianas eléctricas en toda la casa, video portero, revestimiento de baños en mármol, toldos con mando a distancia en terrazas y cortinas especiales en las ventanas. ZONAS COMUNES. - Amplios espacios comunes ajardinados con preciosas vistas de la montaña y acceso acondicionado para personas con movilidad reducida, con parque infantil, piscina y pista de pádel. El inmueble se encuentra en la actualidad libre de cargas y se entregará a partir del mes de octubre de 2025. GASTOS DE COMUNIDAD. - 130 €/mes GASTOS DE I. B. I. - 758 €/año ¡ VISÍTELO SIN COMPROMISO! ¡ IDEAL COMO PRIMERA RESIDENCIA! ¡ En A. S. GESTIÓN INMOBILIARIA no cobramos honorarios al comprador!",False,good,False,False,3632.0,False,False,False,False,[],False,False,425000.0,€,True,True,flat,Manzanares el Real,Ático,AS-3703,penthouse,,,
107651485,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/41/2f/1328744264.webp,28,bj,210000.0,flat,sale,51.0,True,2,1,calle de Alicún,Madrid,Madrid,Hortaleza,es,Apóstol Santiago,40.4774409,-3.6596994,False,https://www.idealista.com/inmueble/107651485/,"Ponemos a la venta esta acogedora vivienda con entrada independiente desde la calle, ideal tanto como primera residencia como para inversión. La propiedad cuenta con una superficie construida de 43 m², perfectamente distribuida en: Luminoso salón con cocina americana 1 habitación doble 1 habitación individual 1 baño completo La vivienda fue reformada en 2018 y se encuentra en excelente estado. Dispone de calefacción y aire acondicionado por splits, lo que garantiza confort durante todo el año. Se vende junto con un trastero ubicado en el sótano del edificio, perfecto para almacenamiento adicional con un tamaño de 10 m². Ubicada en una zona consolidada, con todos los servicios a mano: supermercados, comercios, y transporte público. A tan solo 500 metros se encuentra la estación de metro de la Línea 4, y cuenta con fácil acceso a la M-30 y M-40, lo que la convierte en una opción muy cómoda para el día a día. ¡No dejes pasar esta oportunidad y solicita tu visita!",False,good,False,True,4118.0,False,False,False,False,[],False,False,210000.0,€,,,flat,"Apóstol Santiago, Madrid",Piso en calle de Alicún,GS060-B,,,,
108653505,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/66/29/1351175863.webp,32,1,950000.0,flat,sale,158.0,True,6,6,calle de la Ballesta,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4221073,-3.7046584,False,https://www.idealista.com/inmueble/108653505/,"AMPLIA VIVIENDA EXTERIOR – A UN PASO DEL CENTRO DE MADRID Inmobiliaria HAM presenta esta versátil y espaciosa vivienda exterior de 160 m² construidos ubicada en el corazón de Madrid. Situada en una primera planta, esta propiedad ofrece una excelente oportunidad para vivir, invertir o desarrollar un proyecto de reforma en una de las zonas con más proyección de la capital, a escasos minutos de Gran Vía, Plaza del Callao y Malasaña. La vivienda actualmente se distribuye en seis habitaciones, todas ellas equipadas con aire acondicionado y con aseo privado en cada una, lo que aporta comodidad y privacidad a cada estancia. Además, cuenta con tres baños completos, una cocina independiente y un comedor con buena entrada de luz natural. Su orientación Este y exterior le confiere luminosidad durante gran parte del día, y dispone de un balcón que da a la calle, ideal para ventilar y disfrutar del entorno urbano. El piso se encuentra en estado de segunda mano y ofrece un gran potencial de reforma. Su distribución flexible permite adaptarlo fácilmente tanto para uso residencial como para inversión en alquileres individuales, coliving o residencia temporal. Se sitúa en un edificio sin ascensor y cuenta con calefacción central, lo que garantiza una temperatura confortable durante todo el año. Entre sus puntos más destacados se encuentra su inmejorable ubicación: en pleno centro de Madrid, rodeado de vida cultural, tiendas, restaurantes, teatros y una excelente red de transporte público. A pocos pasos se encuentran la Gran Vía, la Plaza de España, el Mercado de San Ildefonso, y estaciones de metro como Callao, Tribunal o Noviciado. Una propiedad con un enorme potencial en una zona en constante revalorización, ideal para quienes buscan amplitud, localización privilegiada y la posibilidad de personalizar una vivienda a su medida. Honorarios a la parte compradora: 2,5% del precio. En Inmobiliaria HAM trabajamos con seriedad, compromiso y un enfoque 100% profesional. Nuestra prioridad es conectar propiedades únicas con personas que saben valorarlas. BIENVENIDOS A LA DIFERENCIA.",False,renew,False,False,6013.0,False,False,False,False,[],False,False,950000.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso en calle de la Ballesta,JAC0002,,,,
84053494,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/bc/bf/1357603946.webp,23,1,190000.0,flat,sale,65.0,True,3,1,avenida Constitución,Madrid,Móstoles,Centro,es,,40.3247517,-3.8630479,False,https://www.idealista.com/inmueble/84053494/,"¡Oportunidad única en el corazón de Móstoles!  Presentamos este bonito piso en pleno centro, a tan  solo 150 metros de la estación de cercanías Renfe (Móstoles-Central), ideal para quienes buscan  comodidad y conexión rápida con Madrid. Con 85 metros cuadrados, este hogar ofrece un hall de entrada que da paso a un amplio salón-comedor perfecto para reuniones familiares. Dispone de tres dormitorios, una cocina equipada con electrodomésticos y un baño completo con plato de ducha. Este piso en segunda mano se encuentra en buen estado y cuenta con suelos de tarima y puertas de roble, aportando un toque cálido y elegante a cada rincón. La orientación suroeste garantiza luminosidad natural durante gran parte del día. Además, el inmueble cuenta con aire acondicionado frío/calor, tuberías e instalaciones eléctricas renovadas, y una puerta blindada para mayor seguridad.  Ubicado en la primera planta de un edificio con ascensor, este piso exterior es una joya en una zona que ofrece todos los servicios necesarios: transportes públicos, centros sanitarios, escuelas, zonas de ocio y supermercados. Aunque no dispone de calefacción ni gas, todo es eléctrico, lo que facilita su mantenimiento. No dejes pasar esta oportunidad de vivir en una zona privilegiada con todas las comodidades al alcance de tu mano.  ¡Ven a visitarlo y enamórate de tu nuevo hogar! Ibi: 340€.",False,good,False,True,2923.0,False,False,False,False,[],False,False,190000.0,€,,,flat,"Centro, Móstoles",Piso en avenida Constitución,ID261,,,,
108808187,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/17/ce/1355748739.webp,33,1,330000.0,duplex,sale,140.0,True,3,2,fuente,Madrid,Valdemorillo,Valdemorillo pueblo,es,,40.4989796,-4.0666369,False,https://www.idealista.com/inmueble/108808187/,"INMOBILIARIA BRAVO VENDE exclusivo piso Dúplex de 140 m2. en pleno casco de Valdemorillo con increíbles vistas panorámicas y terraza-jardín solárium exclusiva de la vivienda. Ubicado en zona tranquila y cómoda de Valdemorillo, rodeado de los principales servicios, y servicio de bus a Madrid muy cercano. En planta principal cuenta con hall de entrada y armario, cocina completa, salón muy luminoso con estufa de pellet incorporada y dos dormitorios con armarios empotrados y un baño completo que da servicio a la planta,  en planta alta cuenta con otro dormitorio y baño, y acceso a impresionante terraza jardín de 50 m2 con zona de cenador veraniego, y resto dedicado a terraza exclusiva con inmejorables vistas panorámicas, Buenas calidades constructivas, cerramientos de pvc de alta calidad, bomba de calor aire acondicionado /calefacción en todas las estancias, césped artificial en terraza,  NO SE PAGA COMUNIDAD DE VECINOS.",False,good,False,False,2357.0,False,False,False,False,[],False,False,330000.0,€,,,flat,"Valdemorillo pueblo, Valdemorillo",Dúplex en fuente,PI366,duplex,,,
