propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,neighborhood
108695155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/f5/14/1352387122.webp,24,2,254990.0,duplex,sale,135.0,True,3,2,Calle Pinto-San Roque,Madrid,Parla,Calle Pinto-San Roque,es,40.2367702,-3.7637081,False,https://www.idealista.com/inmueble/108695155/,"¡INMOBILIARIA CONFORT OFRECE EXCLUSIVA- ¡Espectacular Dúplex en Venta de 135m²! Ubicado en una segunda planta con ascensor, este moderno y luminoso dúplex para entrar a vivir para ofrecer la máxima comodidad y estilo. Con 135m² de espacio perfectamente distribuidos, se presenta como una opción ideal para aquellos que buscan calidad y amplitud. Distribución: 3 Habitaciones muy amplias (antes 4), todas con armarios empotrados. Salón luminoso con 2 balcones que ofrecen vistas abiertas. Cocina totalmente equipada, con salida a la terraza.  2 Baños completos, uno con bañera y otro con plato de ducha. Lo mejor de todo: Gran terraza de 50m², perfecta para disfrutar de momentos al aire libre, equipada con barbacoa de obra. Plaza de garaje incluida en el precio. Un hogar único que combina elegancia, comodidad y espacio. ¡No dejes pasar esta oportunidad!",False,good,False,True,1889.0,False,False,False,False,[],False,False,254990.0,€,269990.0,15000.0,6.0,True,True,flat,duplex,"Calle Pinto-San Roque, Parla",Dúplex,,
108911953,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/f0/fe/1358720217.webp,15,bj,290000.0,flat,sale,88.0,True,3,2,El Olivar - La Magdalena,Madrid,Colmenar Viejo,El Olivar - La Magdalena,es,40.6565576,-3.7651544,False,https://www.idealista.com/inmueble/108911953/,"Agencia inmobiliaria de COLMENAR VIEJO | zona COLMENAR VIEJO | Oficina Tecnocasa vende piso reformado en planta baja. La vivienda cuenta con amplio salón, cocina, 3 habitaciones con armario empotrado, 2 cuartos de baño completos y una pequeña terraza La vivienda está ubicada en pleno centro de Colmenar Viejo. Todos los servicios necesarios están a pocos minutos andando. A tan solo 5 minutos en coche de la estación de Renfe de Colmenar Viejo, 20 minutos de Madrid. Si necesitas comprar con préstamo hipotecario, contamos con departamento FINANCIERO con posibilidad de financiación hasta el 100%. CONSULTE SIN COMPROMISO. Si necesitas vender un inmueble, ponemos a su disposición la VALORACION GRATUITA del inmueble en la que le explicaremos todas las fases de la 'compra y venta' para su mayor tranquilidad y seguridad a la hora de llevar a cabo el cambio de vivienda. Contamos con 2 oficinas en Colmenar Viejo, 350 en la Comunidad de Madrid y más de 870 oficinas en el territorio nacional.",False,good,False,False,3295.0,False,False,False,False,[],False,False,290000.0,€,,,,,,flat,,"El Olivar - La Magdalena, Colmenar Viejo",Piso,,
108656965,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/34/7a/1351296551.webp,5,3,169500.0,flat,sale,63.0,True,2,1,calle Orio,Madrid,Madrid,Villaverde,es,40.352648,-3.6968696,False,https://www.idealista.com/inmueble/108656965/,"ATENCIÓN! Venta piso ideal para inversores, SI buscas rentabilidad este inmueble es 1º opción. Distribución ideal para posibilidad de 4 habitaciones.  La vivienda cuanta actualmente con 2 dormitorios, salón, baño, cocina con tendedero y terraza. Amplia, luminosa y bien ubicado zona Los Ángeles con todos los servicios a su alcance.  ¿ Por que vivir o invertir en Villaverde? Hay muchas razones para vivir en Madrid – Villaverde ya sea por tu trabajo, estudios, un negocio, o simplemente llevas toda tu vida en la ciudad. Sin embargo, permanecer en la zona central, donde todo es más concurrido y las condiciones de vida son más caras, hace que empieces a pensar en mudarte a una zona más tranquila y económica como  VILLAVERDE.  Donde te permitirá estar cerca del centro, pero lo suficientemente alejado como para disfrutar de un ambiente tranquilo y sin tanto tráfico. Villaverde es uno de los distritos periféricos que ha experimentado un gran auge durante los últimos años, actualmente reúne todas las condiciones para que sea una excelente opción si estás buscando el sitio perfecto donde comprar para residir o invertir en una casa. Nota: Hay que actualizar baño y cocina. Añadimos infografías que corresponden a una posible reforma con diseño de interiorismo no incluidos en el precio. Consulte proyecto de rehabilitación al asesor inmobiliario.",False,good,False,False,2690.0,True,False,False,False,[],False,False,169500.0,€,,,,,,flat,,"Los Ángeles, Madrid",Piso en calle Orio,ESCO,Los Ángeles
108608846,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/2b/06/1350003689.webp,30,15,7000000.0,duplex,sale,630.0,True,4,3,"avenida de Concha Espina, 6",Madrid,Madrid,Chamartín,es,40.4517894,-3.688889,True,https://www.idealista.com/inmueble/108608846/,"**Dúplex de ensueño en el corazón de Madrid**  Descubre este espectacular ático dúplex, ubicado en la mejor zona de Madrid, justo enfrente del emblemático Estadio Santiago Bernabéu. Con una reforma reciente que supera el millón de euros, cada rincón de este inmueble ha sido diseñado con materiales de primerísima calidad, ofreciendo un estilo de vida exclusivo y sofisticado. La propiedad cuenta con impresionantes vistas 360 grados de la ciudad, que puedes disfrutar desde su increíble terraza de 170 m², ideal para relajarte o recibir a tus amigos. Este dúplex, que originalmente contaba con cuatro dormitorios, ha sido adaptado a tres amplias habitaciones, brindando espacios luminosos y confortables. La cocina de diseño, equipada con una isla de mármol Travertino hecha a medida, es perfecta para los amantes de la gastronomía. Además, los baños de diseño añaden un toque de elegancia y modernidad a cada espacio.  La amplia piscina climatizada con jacuzzi y techo retráctil es el lugar perfecto para disfrutar durante todo el año. Y si te gusta hacer asados, la parrillada argentina será tu aliada en las reuniones familiares. Con 630 m² construidos y 462 m² útiles, este dúplex ofrece todo lo que necesitas para vivir cómodamente. Incluye armarios empotrados, trastero y plaza de garaje, además de calefacción eléctrica y aire acondicionado para tu confort. No pierdas la oportunidad de vivir en un lugar donde el lujo y la comodidad se encuentran en cada detalle. ¡Contáctanos para más información y agenda tu visita!",False,good,False,True,11111.0,False,False,False,False,[],False,False,7000000.0,€,,,,True,True,flat,duplex,"El Viso, Madrid","Dúplex en avenida de Concha Espina, 6",,El Viso
108569052,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/33/70/1348717989.webp,5,,727000.0,chalet,sale,385.0,,5,4,"calle Fondo de la Loma, 2",Madrid,Torrelodones,Los Peñascales,es,40.5752404,-3.8907911,True,https://www.idealista.com/inmueble/108569052/,">>> Increíble Oportunidad en Peñascales: Unifamiliar independiente con tres dormitorios en planta principal además de habitación y baño de servicio. <<< Descubre con e-lares. es esta magnifica casa construida en 1978 según el diseño del propietario, donde la distribución es uno de los puntos fuertes. Consta de 3 plantas, dos de ellas conectadas por el interior mediante una robusta escalera de obra. Su increíble parcela de 3.000 metros, te permite vivir rodeado de naturaleza, con total independencia pero con todas las comodidades de vivir en una sola planta.  La planta principal tiene unos 300 metros construidos y se divide en dos partes (no conectadas por el interior): un garaje de más de 30 metros, donde caben perfectamente 2 coches, y la planta principal de la vivienda que cuenta con salón comedor de más de 55 metros con distintas salidas al porche que lo rodea, cocina independiente con office, despensa y salida al jardín, zona de servicio con dormitorio y baño, cuarto de calderas, dormitorio principal con vestidor y baño, y otros dos dormitorios dobles que comparten otro baño completo.  Las escaleras que encontramos en el vestíbulo de la planta principal, nos conducen a una segunda planta que alberga otro dormitorio doble, con baño completo, salida a dos terrazas y una sala de estar, o despacho. En la parte trasera de la casa, tenemos el acceso a la bodega: un espacio de unos 40 metros inicialmente destinado al ocio, que puedes convertir en una zona de deporte, de estudio, o acondicionarlo como apartamento independiente puesto que no se comunica con el resto de la edificación, a excepción del montaplatos del que dispone que conecta con la cocina de la planta superior. La piscina es otra de las joyas de esta casa: más de 90 metros de agua rodeando el porche, que te permitirán disfrutar de ella con toda comodidad. La entrada rodada de vehículos está perfectamente diseñada para que accedas con comodidad a tu casa y que puedas salir igualmente de forma ágil, puesto que a la zona de garaje le precede una pequeña glorieta para que puedas circular de manera fácil. Esta propiedad necesita reforma puesto que ha estado cerrada durante muchos años, pero seguro que con un poco de imaginación e ilusión, consigues que sea tu hogar soñado. Operación sujeta a honorarios por parte del comprador. Honorarios de Agencia NO incluidos en el precio publicado. Anuncio NO Vinculante, puede contener errores: Se muestra a título informativo y no es contractual.",False,renew,False,,1888.0,True,False,False,False,[],False,False,727000.0,€,,,,True,True,chalet,independantHouse,"El Monte, Torrelodones","Casa independiente en calle Fondo de la Loma, 2",Ch/004,El Monte
106062325,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/6a/e3/1343885775.webp,26,,499000.0,chalet,sale,296.0,,4,2,calle del Pozo,Madrid,Mataelpino,,es,40.7327067,-3.9542022,False,https://www.idealista.com/inmueble/106062325/,"Vivienda unifamiliar independiente de dos alturas sobre rasante, ubicado en el municipio de El Boalo, provincia Madrid. Construido en 2004, este chalet independiente se asienta sobre una parcela de 1085 m² y consta de planta sótano y planta baja. Cuenta con una superficie aproximada de 297 m² y se distribuye en salón-comedor, cocina independiente amueblada con armarios altos y bajos, 4 dormitorios con armarios empotrados, 2 baños y porche. La parcela no edificada se destina a jardin y piscina. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de las carreteras M-615 y M-617.",False,good,False,,1686.0,False,False,False,False,[],False,False,499000.0,€,,,,,,chalet,independantHouse,Mataelpino,Casa independiente en calle del Pozo,235,
108796413,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/90/64/1355391495.webp,25,bj,1100000.0,flat,sale,164.0,True,3,2,Barrio Zona Avenida Europa,Madrid,Pozuelo de Alarcón,Zona Avenida Europa,es,40.4421629,-3.7906261,False,https://www.idealista.com/inmueble/108796413/,"¡Bienvenido a tu nuevo hogar! Presentamos amplio y luminoso bajo de 164 m² con orientación sur ubicado en Avenida de Europa, una de las zonas residenciales más demandadas de Pozuelo de Alarcón por su exclusividad y excelente comunicación con gran variedad de servicios. Gracias a las empresas del GRUPO LEGEND, aportamos Asesoramiento Fiscal, Financiero y un Arquitecto a su disposición para cualquier consulta, cambios de distribución, presupuestos de reforma, asesoramiento de obra o servicio que necesite. Todo incluido sin coste adicional a nuestros clientes. NO COBRAMOS HONORARIOS AL COMPRADOR. La vivienda destaca por su distribución funcional y espacios bien diseñados.  Amplio y luminoso salón con orientación sur y grandes ventanales con salida a espectacular terraza de 50 m², ofreciendo luz natural y perfecta para disfrutar del aire libre durante todo el año. En la zona de descanso encontramos un dormitorio principal de grandes dimensiones con baño en suite, dos dormitorios y un baño. Cocina completamente equipada y amueblada con zona office y una cómoda lavandería - despensa independiente. Todas las estancias disponen de aire acondicionado y calefacción individual. Incluye una plaza de garaje y trastero. Urbanización privada con portero y vigilancia 24 horas, zonas ajardinadas y excelentes servicios comunes: piscina de grandes dimensiones, dos pistas de pádel y arenero infantil. Un entorno tranquilo y seguro, ideal para familias que valoran la vida en comunidad sin renunciar a la privacidad. La ubicación es inmejorable, en el corazón de la Avenida de Europa, con gran variedad de servicios, colegios de prestigio, supermercados, restaurantes, centros deportivos, zonas verdes y transporte público, además de un rápido acceso a Madrid a través de la M-40, A-6 y transporte ligero. ¡No pierdas la oportunidad de vivir en este maravilloso bajo con una ubicación inmejorable! Contáctanos para más información y para concertar una visita. ¡Te esperamos! ** La información que se detalla en este anuncio se muestra a título informativo y no es contractual ni vinculante **.",True,good,False,True,6707.0,False,False,False,False,[],False,False,1100000.0,€,,,,True,True,flat,,"Zona Avenida Europa, Pozuelo de Alarcón",Piso,4389,Zona Avenida Europa
108415704,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/34/d5/d5/1350634696.webp,24,3,215000.0,flat,sale,77.0,True,3,1,María Martínez Oviol,Madrid,Madrid,Villaverde,es,40.3500688,-3.6921199,False,https://www.idealista.com/inmueble/108415704/,"VENDEMOS PISO DE TRES DORMITORIOS EN ZONA AVENIDA DE ANDALUCÍA, CALLE JUAN JOSÉ MARTÍNEZ SECO. Excelente ubicación. Pegado al metro de Villaverde Bajo, cerca de Cercanías de Villaverde Bajo y de multitud de líneas de autobús. Rodeado de todos los servicios y comercios y de amplias zonas verdes. Muy luminoso, dadas sus dos orientaciones y sus dos terrazas. Se distribuye de la siguiente forma: - Terraza privativa de entrada orientada al sur. - Hall-recibidor. - Cocina independiente. - Salón-comedor con terraza privativa orientada al norte con vistas despejadas al parque. - Tres dormitorios. - Baño completo con plato de ducha. Además, cuenta con una terraza comunitaria en la azotea del edificio para uso de los vecinos para tender la ropa. Calefacción y agua caliente por gas natural y aire acondicionado. Disponibilidad inmediata. Visítelo ya sin ningún compromiso, tanto entre semana como en fin de semana.",False,good,False,False,2792.0,False,False,False,False,[],False,False,215000.0,€,,,,,,flat,,"Los Rosales, Madrid",Piso en María Martínez Oviol,,Los Rosales
108742489,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/9f/7b/1353795528.webp,39,5,633000.0,flat,sale,83.0,True,1,1,calle de César Cort Botí,Madrid,Madrid,Hortaleza,es,40.4998599,-3.6132989,False,https://www.idealista.com/inmueble/108742489/,"Precioso piso de un dormitorio de capricho (79m2 útiles), exterior con vistas en urbanización privada con piscina, pádel, gimnasio y servicio de portería. Ubicación privilegiada a 10 m de colegios, tiendas, cafeterías, supermercados y accesos a salida de zona. Hall de entrada + salón comedor rectangular + exterior + cocina luminosa con salida directa a galería semi cerrada + dormitorio amplio + exterior + armario + baño completo con plato de ducha + armario extra en vestíbulo. Extras: aire acondicionado por conductos frío/calor (recién puesta a punto) + calefacción suelo radiante + ventanas oscilobatientes + paredes lisas + carpintería blanca + City Box + 2 plazas de garaje + trastero.",False,good,False,True,7627.0,False,False,False,False,[],False,False,633000.0,€,,,,True,True,flat,,"Valdebebas - Valdefuentes, Madrid",Piso en calle de César Cort Botí,RP733,Valdebebas - Valdefuentes
108738937,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/dc/85/1353715531.webp,20,bj,200000.0,flat,sale,27.0,False,1,1,calle del Marqués de Leis,Madrid,Madrid,Tetuán,es,40.4590324,-3.7005495,False,https://www.idealista.com/inmueble/108738937/,"'Agencia inmobiliaria MADRID INFANTA MERCEDES - CUZCO Oficina TECNOCASA VENDE piso en calle MARQUES DE LEIS´ Con una superficie de 27 m2, este piso en planta baja ofrece un espacio acogedor y funcional. La vivienda cuenta con un dormitorio bien distribuido, ideal para el descanso y la privacidad. Además, dispone de un baño completo, proporcionando comodidad para el día a día. Construida en 1950, esta propiedad combina el encanto de la arquitectura clásica con las comodidades modernas. La distribución del espacio está pensada para aprovechar al máximo cada rincón, ofreciendo un ambiente cálido y acogedor. La ubicación es inmejorable, con fácil acceso a servicios, transporte y zonas de ocio, lo que hace de este piso una opción atractiva para quienes buscan vivir en una zona céntrica y bien conectada. No pierdas la oportunidad de hacer de este lugar tu nuevo hogar.",False,renew,False,True,7407.0,False,False,False,False,[],False,False,200000.0,€,,,,,,flat,,"Cuzco-Castillejos, Madrid",Piso en calle del Marqués de Leis,,Cuzco-Castillejos
