propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,neighborhood,detailedType.subTypology
108531482,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c7/5c/28/1347665947.webp,18,1,439900.0,flat,sale,126.0,True,3,2,avenida Pilar Miró,Madrid,Rivas-Vaciamadrid,Rivas Centro,es,40.3564035,-3.5163123,False,https://www.idealista.com/inmueble/108531482/,"¡Descubre tu nuevo hogar en Rivas Vaciamadrid! Esta magnífica vivienda en una urbanización privada te ofrece todo lo que necesitas para disfrutar de la vida en familia. Con 126 m² construidos y 100 m² útiles, el piso cuenta con tres amplias habitaciones, perfectas para descansar y reponer energías. Además, dispone de dos baños, uno de ellos en suite, que garantizan comodidad y privacidad. El amplio salón es ideal para compartir momentos inolvidables con tus seres queridos, mientras que la confortable cocina equipada se convierte en el corazón del hogar, donde preparar deliciosas comidas será un placer. La vivienda está en un estado excelente y lista para entrar a vivir, con armarios empotrados que optimizan el espacio. Ubicada en una zona en constante crecimiento, tendrás todos los servicios a tu disposición: supermercados, colegios y transporte público. La propiedad es apta para personas con movilidad reducida y cuenta con calefacción de gas natural, aire acondicionado y ascensor. Además, podrás disfrutar de las zonas comunes que incluyen una refrescante piscina y un jardín donde relajarte. No dejes pasar la oportunidad de adquirir este fantástico piso que incluye una plaza de garaje y un trastero. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,True,3491.0,False,False,False,False,[],False,False,439900.0,€,460000.0,20100.0,4.0,True,True,flat,"Rivas Centro, Rivas-Vaciamadrid",Piso en avenida Pilar Miró,,,
103860500,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/91/31/a2/1318811484.webp,14,1,1110000.0,flat,sale,84.0,True,2,2,Barrio Palacio,Madrid,Madrid,Centro,es,40.4167628,-3.7109132,False,https://www.idealista.com/inmueble/103860500/,"FANTÁSTICO PISO FRENTE AL PALACIO REAL. EXISTE LA POSIBILIDAD DE COMPRAR 2 VIVIENDAS EN EL MISMO EDIFICIO.   IBI EXENTO POR “RECINTO HISTÓRICO”. Esta maravillosa vivienda ubicada en la calle Factor, en un edificio histórico con un portal representativo, tiene salón con zona de comedor y una cocina integrada totalmente equipada con electrodomésticos de alta gama. Cuenta con 2 habitaciones dobles muy espaciosas, cada una con su cuarto de baño. El diseño de esta vivienda ha sido cuidadosamente pensado para ofrecer un ambiente contemporáneo y funcional. La calidad de los materiales empleados de primer nivel, y todos los muebles han sido pensados y diseñados específicamente para cada espacio. La vivienda está equipada con aire acondicionado por splits en todas las habitaciones, armarios empotrados y calefacción central por gas con contadores individuales.  DISTRITO: CENTRO - PALACIO Palacio es el nombre que recibe en la ciudad de Madrid el barrio número 11 de mayor extensión de los seis que componen el distrito Centro.  Dentro de él se encuentran el Palacio Real, el Teatro Real, la antigua morería y las cavas, la plaza de la Villa y parte del Madrid de los Austrias. Las viviendas de la zona Palacio gozan del encanto de barrio histórico, que tras el paso de los años sigue conservando la esencia de la época de los Austrias, es un barrio tranquilo y a la vez rodeado de todas las comodidades de una gran ciudad. También alberga la zona conocida como barrio de La Latina. Con la Gran Vía como eje, este barrio reúne la mayor oferta de ocio y compras de la ciudad y toda una intensa vida urbana sin necesidad de usar el coche.",False,good,False,True,13214.0,True,False,False,False,[],False,False,1110000.0,€,,,,,,flat,"Palacio, Madrid",Piso,AR02454,Palacio,
108541454,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/fd/33/1347963195.webp,30,bj,89000.0,flat,sale,85.0,True,3,1,CL PRINCIPE ESPAÑA,Madrid,Villamanrique de Tajo,,es,40.0680551,-3.2366471,False,https://www.idealista.com/inmueble/108541454/,"¡Sin COMISIÓN de AGENCIA! ¡Conseguimos tu FINANCIACIÓN!  (Vivienda DISPONIBLE a partir del 1 de JUNIO del 2026) JC SOLUCIONES INMOBILIARIAS vende fantástico bajo de 3 habitaciones ubicado en el tranquilo municipio de Villamanrique de Tajo (Madrid). La vivienda, reformada parcialmente, está lista para entrar a vivir. Dispone de 85m² distribuidos en hall de entrada, un amplio salón de 19m², cocina amueblada y equipada, tres estupendas habitaciones (la principal con armarios empotrados), baño completo con plato de ducha y dos prácticos patios de luces con acceso desde la cocina y una de las habitaciones.  La vivienda se entrega amueblada y dispone de las siguientes calidades: Suelos recientes de tarima flotante, ventanas de aluminio CLIMALIT con mosquiteras en toda la casa, calefacción por radiadores eléctricos de bajo consumo en todas las estancias, agua caliente por caldera de gas, puerta de acceso blindada, armarios empotrados en habitación principal, rejas en todas las ventanas, comunidad de sólo 20€ al mes.. .  ¿Te gustaría vivir cerca del campo y respirar aire puro? Villamanrique de Tajo es un tranquilo municipio ubicado en la Comarca de las Vegas en Madrid, junto al curso del río Tajo y a escasos 40 minutos de Madrid Capital por la A-3. Dispone de transporte público (autobuses líneas 350C y 353 con destinos a Madrid, Arganda del Rey, Santa Cruz, Belmonte…). Cuenta con guardería y colegio público, consultorio médico, farmacia, bares, tiendas de alimentación, pistas de pádel… El municipio cuenta con la amplia área recreativa denominada “La Isla”; un lugar donde la naturaleza, el ocio y el deporte se conjugan en un espacio único (campo de fútbol sala, 2 pistas de mini-baloncesto, pista de tenis, parque infantil, zonas deportivas, senderos, merenderos junto al río, ruta verde por el Tajo…).  ¿A qué estás esperando para iniciar tu nueva vida? Ponte en contacto para ampliar información o realizar una visita. Disponemos de facilidades para la FINANCIACIÓN de tu nueva propiedad. JC Soluciones Inmobiliarias. Cumplimos tus deseos. Hacemos realidad tus sueños.",True,good,False,False,1047.0,False,False,False,False,[],False,False,89000.0,€,,,,,,flat,Villamanrique de Tajo,Piso en Cl Principe España,JC146 - Príncipe España,,
107249774,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/7d/23/1345820221.webp,30,bj,129000.0,flat,sale,50.0,True,1,1,calle de la Cruz,Madrid,El Molar,,es,40.7305226,-3.5802232,False,https://www.idealista.com/inmueble/107249774/,"Este encantador apartamento en El Molar cuenta con una superficie de 50 m². Dispone de 1 habitación doble, baño, cocina independiente amueblada, amplio salón-comedor, suelos de tarima y gres, ventanas de aluminio con doble cristal Climalit y calefacción de gas natural. El apartamento se encuentra totalmente amueblado y cuenta con plaza de parking y trastero.   VIVIENDA ACTUALMENTE ALQUILADA A 468€/MES. IDEAL PARA INVERSORES. El municipio de El Molar se encuentra a menos de 30 minutos de Madrid y dispone de todos los servicios, transporte público, comercios, instituto, colegios públicos bilingües, polideportivo, centro de salud 24 horas.. . Visítalo sin compromiso llamando al ó al  NOCOBRAMOS COMISIÓN AL COMPRADOR ¡No pierdas la oportunidad de conocer este acogedor apartamento en El Molar!",False,good,False,False,2580.0,False,False,True,False,[],False,False,129000.0,€,,,,True,True,flat,El Molar,Piso en calle de la Cruz,6763,,
108613310,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/ab/c9/1349959845.webp,12,2,315000.0,flat,sale,93.0,True,3,2,"CL ORIENTE, 7",Madrid,Majadahonda,Casco Antiguo,es,40.4729745,-3.8750888,True,https://www.idealista.com/inmueble/108613310/,"SIN HONORARIOS DE AGENCIA¡  Descubre este amplio piso de 93 m² en una segunda planta, ideal para quienes buscan un hogar con potencial. Con 3 dormitorios, un luminoso salón comedor y una cocina independiente, este espacio ofrece la oportunidad perfecta para personalizarlo a tu gusto. Aunque necesita reforma, su distribución es excelente y permite múltiples posibilidades de diseño. Ubicado en una zona consolidada, tendrás a tu alcance todos los servicios necesarios: comercios, bancos, farmacias, guarderías y colegios, además de un centro de salud cercano. Para los amantes de la naturaleza, el Parque Cerro del Aire está a pocos pasos, con amplios jardines y zonas verdes donde disfrutar de momentos al aire libre. Buena comunicación con transporte público, con autobús en la puerta y situado a escasos metros de la gran Vía de Majadahonda dispondrás de todos los servicios y el ocio. No dejes pasar esta oportunidad de adquirir un piso con tanto potencial en una ubicación inmejorable. ¡Ven a verlo y empieza a imaginar tu nuevo hogar!",True,renew,False,False,3387.0,False,False,False,False,[],False,False,315000.0,€,,,,,,flat,"Casco Antiguo, Majadahonda","Piso en Cl Oriente, 7", 1755070,,
108403002,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/32/d1/1343316810.webp,14,2,344900.0,flat,sale,119.0,True,3,2,Centro,Madrid,Arganda,Centro,es,40.2999499,-3.4543399,False,https://www.idealista.com/inmueble/108403002/,"INMOAJALVIR VENDE PISO situada en una de las zonas más consolidadas y demandadas de Arganda del Rey, rodeada de todos los servicios indispensables: centros educativos, supermercados, centro de salud, zonas verdes, instalaciones deportivas, transporte público (Metro y autobuses), y una amplia oferta comercial y de ocio. Una ubicación perfecta para quienes buscan calidad de vida sin renunciar a la comodidad de tener todo al alcance. La vivienda se encuentra en una urbanización privada con zonas ajardinadas, piscina comunitaria, ascensor y una excelente conservación de las zonas comunes. La distribución interior es muy cómoda y funcional. Cuenta con tres dormitorios dobles, todos ellos con armarios empotrados y una estupenda entrada de luz natural que proporciona espacios cálidos y confortables. Dispone de dos baños completos, ambos con plato de ducha, con un diseño moderno y materiales de calidad. La cocina es independiente, se encuentra totalmente amueblada y tiene acceso directo a una práctica terraza-tendedero, ideal como zona de lavandería o almacenaje auxiliar. El amplio salón-comedor destaca por su luminosidad y amplitud, y tiene salida a una estupenda terraza exterior, perfecta para disfrutar de momentos en familia, desayunos al aire libre o veladas tranquilas. En el precio se incluye una plaza de garaje de cómodo acceso y un trastero, lo que aporta un plus de comodidad y espacio de almacenaje. La finca, además, ofrece un entorno residencial tranquilo y seguro, ideal para familias, con zonas comunes bien cuidadas, piscina, parque infantil, gimnasio, sala de bicicletas y jardines. Esta propiedad representa una excelente oportunidad tanto para quienes buscan una vivienda amplia y lista para entrar a vivir, como para aquellos que desean invertir en una zona con alta demanda, buenas comunicaciones y todos los servicios a mano. No dejes pasar esta oportunidad. Contacta con nosotros y ven a descubrir tu próxima vivienda en Arganda del Rey. ¡Te va a encantar!",False,good,False,True,2898.0,True,False,False,False,[],False,False,344900.0,€,349900.0,5000.0,1.0,True,True,flat,"Centro, Arganda",Piso,,,
108648643,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/67/c0/5c/1350997924.webp,35,3,1100000.0,flat,sale,207.0,True,5,3,"AV BRASILIA, 35",Madrid,Madrid,Barrio de Salamanca,es,40.4416697,-3.6613895,True,https://www.idealista.com/inmueble/108648643/,"¡Descubre el hogar de tus sueños en esta espectacular propiedad situada en una zona privilegiada! Este amplio piso de 207 m² construidos y 200 m² útiles cuenta con 5 habitaciones exteriores, lo que garantiza luz natural durante todo el día. Imagina disfrutar de un amplio salón donde crear momentos inolvidables con familia y amigos, y de estancias versátiles que se adaptan a tu estilo de vida. Con 3 cuartos de baño, nunca tendrás que preocuparte por las mañanas ajetreadas. Además, la comodidad está asegurada con calefacción central y agua incluida en la comunidad. El edificio cuenta con portero físico y ascensor, lo que añade un plus de seguridad y confort a tu día a día. Ubicado en una zona rodeada de servicios esenciales y cercano al transporte público, tendrás todo lo que necesitas al alcance de la mano. No dejes pasar la oportunidad de vivir en un espacio que combina confort, luminosidad y una ubicación inmejorable. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,True,5314.0,False,False,False,False,[],False,False,1100000.0,€,,,,,,flat,"Guindalera, Madrid","Piso en Av Brasilia, 35",,Guindalera,
107368364,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/ea/e7/1310875378.webp,52,,369990.0,chalet,sale,271.0,,5,3,calle Goya,Madrid,Torrejón de Velasco,,es,40.1928026,-3.7829885,False,https://www.idealista.com/inmueble/107368364/,"¡Descubre el hogar de tus sueños en esta impresionante casa adosada de esquina!  Con 271 m² construidos y una parcela de 250 m², esta vivienda ofrece amplitud y confort en cada rincón. Ubicada en una zona completamente desarrollada, tendrás a tu alcance todo tipo de servicios para tu comodidad diaria.  La casa cuenta con 5 dormitorios, incluyendo uno en la planta baja, ideal para mayor accesibilidad. Los 3 baños completos aseguran que cada miembro de la familia tenga su propio espacio. El salón comedor independiente es perfecto para reuniones familiares, y su chimenea añade un toque acogedor en los meses más fríos.  La cocina, completamente amueblada, está lista para que prepares tus platos favoritos. Disfruta del aire libre en el amplio patio trasero de 90 m², un espacio versátil para relajarse o entretener a tus invitados. Además, la buhardilla ofrece un espacio extra que puedes adaptar a tus necesidades. El garaje de 80 m² proporciona un amplio espacio para tus vehículos y almacenamiento adicional. Construida con materiales de primera calidad en 1996, esta casa se encuentra en buen estado y cuenta con calefacción de gas natural. Con orientación norte-sur, disfrutarás de una excelente iluminación natural durante todo el día. No pierdas la oportunidad de vivir en este magnífico chalet adosado que combina comodidad, estilo y una ubicación inmejorable. ¡Ven a visitarlo y enamórate!",False,good,False,,1365.0,False,False,False,False,[],False,False,369990.0,€,,,,True,True,chalet,Torrejón de Velasco,Chalet adosado en calle Goya,,,terracedHouse
108834598,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/49/97/1356505112.webp,21,2,160000.0,flat,sale,45.0,False,2,1,calle Espada,Madrid,Alcorcón,Centro,es,40.3483939,-3.8287076,False,https://www.idealista.com/inmueble/108834598/,"Agencia inmobiliaria de ALCORCÓN - zona ALCORCÓN CENTRO - AYUNTAMIENTO - Tecnocasa Estudio Ciudad De Alcorcon Sl, Piso en venta - Calle Espada, Alcorcón PISO PARA ACTUALIZAR Consta de salón de paso, baño con plato de ducha, cocina totalmente equipada. Suelo de gress, ventanas de alumino y puertas de madera. Ascensor. Este piso está rodeado de todos los servicios que necesitas para una vida cómoda y práctica: Transporte público a pocos minutos de las líneas de autobús urbanas e interurbanas, la estación de Metrosur y RENFE. Servicios cercanos: colegios, centro de salud, hospital, y una gran variedad de comercios y supermercados. No pierdas la oportunidad de vivir en una zona céntrica y bien conectada.",False,renew,False,True,3556.0,False,False,False,False,[],False,False,160000.0,€,,,,,,flat,"Casco Antiguo, Alcorcón",Piso en calle Espada,*33,Casco Antiguo,
108726240,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/f2/e2/40/1353280870.webp,47,4,450000.0,penthouse,sale,65.0,False,2,1,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,40.4350402,-3.6998704,False,https://www.idealista.com/inmueble/108726240/,"¡Descubre este ático excepcional en el corazón de Chamberí! Con 65 m² construidos y 60 m² útiles, este hogar ha sido reformado integralmente, maximizando cada rincón para ofrecerte un espacio acogedor y funcional. Disfruta de sus 2 dormitorios, donde el principal cuenta con un gran armario empotrado, y un segundo dormitorio luminoso ideal para invitados o como oficina. La cocina independiente está equipada con electrodomésticos, perfecta para los amantes de la gastronomía. La ubicación es inmejorable, con acceso a bus y metro (Iglesia en la puerta), lo que facilita tus desplazamientos por la ciudad. Además, la finca cuenta con portero físico y un excelente estado de mantenimiento en fachadas y elementos comunes. Este ático no solo es una oportunidad para vivir, sino también una inversión con alta rentabilidad de alquileres en la zona, que presenta una altísima demanda en el mercado inmobiliario. ¡No dejes pasar esta oportunidad única!",True,good,False,False,6923.0,False,False,False,False,[],False,False,450000.0,€,,,,,,flat,"Almagro, Madrid",Ático en calle de Santa Engracia,,Almagro,penthouse
