propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108446166,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/91/dc/1345116386.webp,32,1,1900000.0,flat,sale,146.0,True,2,3,"costanilla de los Ángeles, 2",Madrid,Madrid,Centro,es,Sol,40.4180336,-3.7085554,True,https://www.idealista.com/inmueble/108446166/,"Espectacular Piso de Lujo en la Zona de la Ópera Descubre la magnificencia de este espectacular piso de 146 m² ubicado en el corazón de Madrid, en la prestigiosa zona de la Ópera. A solo unos pasos del icónico Palacio Real y la majestuosa Catedral de la Almudena, esta propiedad te sumerge en la rica historia y cultura madrileña. Situado en un la primera planta, este oasis de lujo cuenta con 2 amplios dormitorios, de los cuales 2 disponen de baño en suite, sumando un total de 3 baños elegantemente diseñados. Cada rincón de esta residencia irradia confort y exclusividad. Disfruta de una temperatura ideal durante todo el año gracias a su sistema de aire acondicionado y los radiadores presentes en todas las habitaciones, garantizando un ambiente acogedor en cualquier estación. ¡No dejes pasar la oportunidad de vivir en una de las zonas más deseadas y emblemáticas de Madrid, rodeado de historia, arte y una vibrante vida cultura.",False,good,False,True,13014.0,False,False,False,False,[],False,False,1900000.0,€,flat,"Sol, Madrid","Piso en costanilla de los Ángeles, 2",,,,,,,
108656460,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/46/43/1351274312.webp,25,,395000.0,chalet,sale,162.0,,3,2,AV CONSTITUCION,Madrid,El Escorial,Centro,es,,40.5842664,-4.1237074,False,https://www.idealista.com/inmueble/108656460/,"Estudio Casa Del Príncipe, ofrece en exclusiva este magnífico chalet adosado en una de las zonas más residenciales y tranquilas del municipio. Una excelente oportunidad para quienes buscan espacio, calidad de vida y un entorno natural privilegiado. Distribución cómoda y funcional, pensada para vivir y disfrutar Planta baja 55m² – Espacio, comodidad y utilidad Garaje cerrado, con puerta automática, ideal para vehículo grande, motos, bicicletas y espacio de almacenamiento. Cuenta con un trastero independiente y una zona versátil perfecta como pequeño taller o bodega. Acceso directo desde la calle con total privacidad, dentro de una urbanización tranquila y cuidada. Primera planta 55m² – Zona de día que enamora Salón comedor amplio, muy luminoso, con grandes ventanales y salida directa a una terraza abierta. Chimenea de obra con casete cerrado, ideal para ambientar tus inviernos. Zona de comedor con espacio para mesa de 6-8 personas, perfecta para recibir familia y amigos. Cocina independiente completamente equipada con muebles altos y bajos, gran capacidad de almacenaje y todos los electrodomésticos integrados. Aseo con ventana, muy práctico para el día a día. Segunda planta 52m² – Zona de descanso y privacidad Dormitorio principal tipo suite con armario empotrado y gran capacidad. Acceso directo a una terraza cerrada acristalada de uso exclusivo, actualmente acondicionada como despacho. Ideal como teletrabajo, estudio o rincón de lectura. El baño en suite está actualmente reconvertido en vestidor independiente, aportando más espacio de organización, se puede revertir. Dos dormitorios juveniles exteriores, con armarios empotrados, perfectos para familia, invitados o espacio multifuncional. Baño completo con ducha de hidromasaje, mampara de cristal. Diseño funcional y moderno. Calidades y confort que marcan la diferencia Ventanas de PVC climalit oscilobatientes con doble cristal y apertura abatible. Suelos de gres en la primera planta y parquet en dormitorios y planta superior. Calefacción eléctrica por radiadores en todas las estancias. Toma de cometida de gas natural en la puerta principal. Temperatura interior por exposición y protegido por casas vecinas. Puerta de garaje automatizada. Aparcamiento en patio. La vivienda se encuentra para entrar a vivir sin necesidad de reformas. Zona de jardín abierta de 24mtrs para uso exclusivo y disfrute de la familia. Entorno residencial y ubicación estratégica A pocos minutos andando de supermercados, farmacia, colegios y transporte público. Muy bien comunicado con la estación de tren y acceso rápido a la A-6. Despertarte con luz natural, pasar las tardes de invierno frente a la chimenea y disfrutar del aire libre en tu terraza, son solo algunas de las sensaciones que te esperan aquí. Para más información o concertar una visita, contacta con nosotros: Estudio Casa del Príncipe El Escorial Calle Alfonso XII, nº14 – Local 5 ¡Estaremos encantados de ayudarte a encontrar tu próximo hogar!",False,good,False,,2438.0,False,False,False,False,[],False,False,395000.0,€,chalet,"Centro, El Escorial",Chalet adosado en Av Constitucion,True,True,terracedHouse,,,,
108764454,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/9c/b5/1354460837.webp,17,bj,485000.0,flat,sale,60.0,False,2,1,calle del General Díaz Porlier,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.42411,-3.6772867,False,https://www.idealista.com/inmueble/108764454/,"NUM te presenta esta atractiva vivienda interior ubicada en la calle General Díaz Porlier, en una finca clásica de 1930 con portero físico y ascensor, situada en el consolidado barrio de Goya, dentro del prestigioso distrito de Salamanca. Reformada con gusto y completamente amueblada, esta propiedad representa una excelente oportunidad tanto para residencia como para inversión. Con 60 metros, la vivienda se distribuye en dos dormitorios y un baño, con una cocina equipada, aire acondicionado, calefacción central y una planificación funcional que optimiza cada metro. Gracias a su terraza y grandes ventanales, cuenta con buena entrada de luz natural, lo que aporta una agradable sensación de amplitud. Una propuesta ideal para quienes buscan una propiedad reformada, bien comunicada y con todos los servicios a su alrededor, en una de las zonas con mayor proyección de Madrid y alta demanda de alquiler tanto residencial como temporal.",False,good,False,True,8083.0,False,False,False,False,[],False,False,485000.0,€,flat,"Goya, Madrid",Piso en calle del General Díaz Porlier,,,,,,,
108074965,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/ef/7b/1339124893.webp,33,,420000.0,chalet,sale,180.0,,3,3,calle Rio Sil,Madrid,Pedrezuela,,es,,40.7506144,-3.5987419,False,https://www.idealista.com/inmueble/108074965/,"VENDEMOS ESTE ESPECTACULAR CHALET PAREADO DE ESQUINA, ÚNICO EN LA ZONA CON PISCINA PRIVADA. Situado en una de las mejores zonas del municipio, junto a colegios, polideportivo, piscina municipal, centro cultural, policía local, amplias zonas verdes y con rápido acceso a carretera A-1. Distribuido en tres amplias plantas. La planta baja cuenta con:  - Hall-recibidor con aseo y despensa. - Amplia cocina independiente completamente amueblada. - Gran salón comedor con chimenea y con acceso directo al jardín. - Garaje reconvertido en otra estancia con varias posibilidades de uso, comunicada con el salón y el jardín. La planta primera cuenta con: - Distribuidor. - Dormitorio principal tipo suite con terraza y baño incorporado. - Dos dormitorios dobles. - Baño completo para dar servicio a los dos dormitorios dobles. La planta segunda cuenta con amplia buhardilla diáfana con maleteros laterales. En el exterior dispone de piscina con césped natural y zona solada con barbacoa de obra. Calefacción y agua caliente por gas natural. Aire acondicionado. Todas las ventanas con mosquiteras. Sin gastos de comunidad. Disponibilidad inmediata. ¡Visítelo ya sin ningún compromiso, tanto entre semana como en fin de semana!",False,good,False,,2333.0,False,False,False,False,[],False,False,420000.0,€,chalet,Pedrezuela,Chalet pareado en calle Rio Sil,True,True,semidetachedHouse,,,,
108605582,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/5a/b0/1349774223.webp,26,1,247260.0,duplex,sale,185.0,True,3,2,calle Extremadura,Madrid,San Martín de la Vega,,es,,40.2173295,-3.5823485,False,https://www.idealista.com/inmueble/108605582/,"Descubre este exclusivo piso de 185 m² según catastro, ubicado en una urbanización privada en una de las zonas más privilegiadas de la ciudad, donde la amplitud, la comodidad y la luz natural son los auténticos protagonistas. Al entrar, te recibe un amplio salón-comedor de concepto abierto, conectado con una cocina totalmente equipada, ideal para disfrutar de reuniones y momentos en familia sin renunciar al confort. La vivienda cuenta con dos habitaciones en planta baja, perfectas como dormitorios adicionales, despacho o zona de invitados, y un baño con plato de ducha de diseño actual que garantiza funcionalidad en el día a día. Además, dispone de una despensa independiente y armarios empotrados forrados en todas las habitaciones, aportando gran capacidad de almacenaje y orden. En la planta superior, la habitación matrimonial con baño en suite ofrece un espacio íntimo, cómodo y luminoso, diseñado para el descanso y el bienestar. Disfruta de una magnífica terraza de 20 m² con zona de lavandería, perfecta para relajarte al aire libre o disfrutar de tus desayunos al sol. Incluye plaza de garaje y trastero, añadiendo un plus de comodidad y seguridad a tu día a día. Ubicado en una urbanización privada y cuidada, con zonas comunes que aportan tranquilidad y exclusividad, este piso es ideal para quienes buscan espacio, calidad de vida y una excelente ubicación para su hogar. PARA LA REALIZACIÓN DE VISITAS, ES IMPRESCINDIBLE EL ESTUDIO DE VIABILIDAD POR PARTE DE KIRON, PARA EN CASO DE COMPRA, GARANTIZAR LA OPERACIÓN.",True,good,False,False,1337.0,False,False,False,False,[],False,False,247260.0,€,flat,San Martín de la Vega,Dúplex en calle Extremadura,True,True,duplex,San Martín de la vega,,,
108711579,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/88/61/2d/1352867350.webp,11,bj,217000.0,flat,sale,75.0,True,2,1,calle Hermanos Sanz,Madrid,San Sebastián de los Reyes,Centro Urbano,es,,40.5513073,-3.6299874,False,https://www.idealista.com/inmueble/108711579/,"VERALSA OFRECE EN EXCLUSIVA; Descubre este encantador INMUEBLE TIPO LOFT reformado, listo para entrar a vivir, con una superficie de 75 metros cuadrados. Situado a pie de calle y con acceso adaptado para personas con movilidad reducida, ofrece comodidad y funcionalidad en cada rincón.  La vivienda cuenta con dos dormitorios y un baño completo, ideal para parejas o pequeñas familias. La cocina americana, completamente amueblada y equipada, se integra perfectamente en el espacio, creando un ambiente moderno y acogedor.  El piso dispone de aire acondicionado y calefacción individual mediante bomba de frío y calor, garantizando el confort durante todo el año.  La propiedad se encuentra en buen estado, con acabados de calidad como suelo de tarima y pintura lisa, además de contar con puerta de seguridad y escaleras que facilitan el acceso a uno de los dormitorios. Una oportunidad perfecta para quienes buscan un hogar listo para disfrutar en una zona bien cuidada y con todas las comodidades. Trabajamos por y para tu tranquilidad.",False,good,False,False,2893.0,False,False,False,False,[],False,False,217000.0,€,flat,"Centro Urbano, San Sebastián de los Reyes",Piso en calle Hermanos Sanz,,,,LOFT SANZ,229000.0,12000.0,5.0
108856478,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/f2/52/1357135110.webp,24,bj,615000.0,flat,sale,153.0,True,2,2,CL EMBAJADORES,Madrid,Madrid,Arganzuela,es,Legazpi,40.3855663,-3.6906335,False,https://www.idealista.com/inmueble/108856478/,"¡FENIX REAL ESTATE presenta exclusiva vivienda en urbanización privada en Legazpi! Te presentamos esta fantástica planta baja ubicada en la calle Embajadores, en una de las zonas más dinámicas y en crecimiento de Madrid: Legazpi. A tan solo unos minutos de Madrid Río, Matadero y con excelente conexión con el centro de la ciudad, este piso es ideal para quienes buscan comodidad, servicios y calidad de vida. La vivienda cuenta con 109 m² útiles, distribuidos de forma muy funcional: ✔️ 2 dormitorios amplios, uno de ellos con baño en suite ✔️ 2 baños completos ✔️ Salón ✔️ Cocina independiente equipada ✔️ Terraza con cerramiento acristalado, perfecta como espacio adicional de relax o trabajo. Tiene acceso desde el salón y la cocina ✔️Trastero de 8 metros cuadrados ✔️Parking para coche grande  La vivienda dispone de calefacción individual de gas natural y aire acondicionado por conductos, lo que garantiza confort durante todo el año. Además, incluye plaza de garaje en el mismo edificio y se encuentra en una urbanización privada de alto nivel, que ofrece: � Piscina � Gimnasio � Jardines � 3 Porteros físico que están durante las 24h � Ascensor �Sala de juntas comunitaria En cuanto a comunicaciones, está muy bien conectada por transporte público: � Metro Legazpi (líneas 3 y 6) y Arganzuela-Planetario (línea 6) � Varias líneas de autobús � Fácil acceso a M-30 No dejes pasar la oportunidad de vivir o invertir en una de las zonas más cotizadas de Madrid, rodeado de servicios, zonas verdes y una vida urbana vibrante. No dudes en contactar con nosotros si necesitas más información o quieres programar una visita.",True,good,False,True,4020.0,False,False,False,False,[],False,False,615000.0,€,flat,"Legazpi, Madrid",Piso en Cl Embajadores,True,True,,,,,
108441844,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/96/85/1344981962.webp,33,,649000.0,chalet,sale,233.0,,4,3,calle del Bosque,Madrid,Alcorcón,Prado de Santo Domingo,es,Prado de Santo Domingo,40.3358268,-3.8412707,False,https://www.idealista.com/inmueble/108441844/,"Focus Viviendas vende bonito chalet en una de las zonas más demandadas de Alcorcón, Prado de Santo Domingo. Rodeado de parques, carril-bici, dotaciones, avenidas y acceso directo a varias carreteras, que facilitan la entrada y salida en los desplazamientos.  La vivienda de 233 m2, según catastro, dispone además, de piscina comunitaria y está dividida en cuatro plantas, con una orientación sudeste inmejorable, lo que la dota de una gran luminosidad y en buen estado general, para entrar a vivir.  En la planta principal dispone de amplio salón independiente, con acceso a la terraza y al jardín, cocina y un aseo de cortesía.  En la planta superior, cuenta con tres dormitorios, todos ellos con armarios empotrados y dos cuartos de baños, uno de ellos en suite, en el dormitorio principal. Además, cuenta con un cuarto dormitorio, adaptado en este caso como cuarto lavandería.  En la última planta el chalet cuenta con un amplio espacio, que se puede adaptar a diferentes necesidades y gustos (dos dormitorios, dormitorio más despacho, zona de juegos, etc. ).  La planta inferior tiene capacidad para dos automóviles grandes, incluso tres. Además de esto, el barrio cuenta con diferentes alternativas de aparcamiento por si fuera necesario.  Hablamos, por tanto, de una maravillosa vivienda para todos aquellos que busquen una vivienda amplia, para disfrutar en familia, en una de las mejores zonas de Alcorcón. Si este chalet entra dentro de sus parámetros de búsqueda, déjenos un teléfono y nos pondremos en contacto para resolver dudas y organizar una visita. FOCUS, en buenas manos.",False,good,False,,2785.0,False,False,False,False,[],False,False,649000.0,€,chalet,"Prado de Santo Domingo, Alcorcón",Chalet adosado en calle del Bosque,True,True,terracedHouse,,,,
108640254,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/9f/07/1350930869.webp,19,4,230000.0,flat,sale,40.0,False,1,1,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4109239,-3.701352,False,https://www.idealista.com/inmueble/108640254/,"Inmobiliarias Encuentro vende esta acogedora vivienda reformada en el vibrante barrio de Lavapiés-Embajadores.  El inmueble se encuentra situado en una cuarta planta de un edificio en buen estado de conservación, consta de 40 m² y destaca por su tranquilidad, luminosidad y excelente ubicación.  Aunque es interior, cuenta con ventanas que permiten la entrada de luz natural durante todo el día, lo que garantiza un ambiente cálido y agradable en cada rincón. La vivienda ha sido reformada recientemente y se encuentra lista para entrar a vivir.  Cuenta con una distribución bien aprovechada: un salón comedor con cocina americana integrada, una habitación independiente luminosa, y un cuarto de baño completo con plato de ducha.  Los suelos de tarima y las vigas de madera vistas en el techo aportan carácter y personalidad al espacio, resaltando el estilo único de este hogar. Ubicado a pocos pasos de La Casa Encendida y el Museo Reina Sofía, tendrás acceso a una amplia oferta cultural, gastronómica y de ocio en uno de los barrios con más personalidad de Madrid.  Además, cuenta con excelentes conexiones de transporte público que te permiten moverte fácilmente por toda la ciudad. Una excelente oportunidad para vivir o invertir en una de las zonas más dinámicas y auténticas de la capital. No dudes en solicitarnos más información y reservar una hora de visita para poder verlo en primera persona. ¡Financiación a tu medida! Con FINMOO tendrás los mejores tipos de interés y hasta el 100% de financiación.  ¡Consulta nuestras condiciones! Si necesita vender su inmueble para adquirir este u otro inmueble publicado, contacte con nosotros, disponemos del sistema: ""CAMBIA Y DESCANSA"". La solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble ¡Sin complicaciones, sin esperas! ¡Contáctenos y comience el camino hacia su nuevo hogar!",False,good,False,False,5750.0,False,False,False,False,[],False,False,230000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso,,,,IE02-LAVAP9,240000.0,10000.0,4.0
108936049,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9d/7f/4a/1359400775.webp,7,2,139000.0,flat,sale,32.0,False,2,1,calle del Sombrerete s/n,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4082877,-3.7028331,True,https://www.idealista.com/inmueble/108936049/,"**Piso en Venta en el Corazón de Madrid - Oportunidad Única por debajo del precio de mercado** SE ADMITEN VISITAS, FACILITAREMOS FOTOS BAJO PETICIÓN POR PETICIÓN DE LA PROPIEDAD. Descubre esta increíble oportunidad de inversión en pleno centro de Madrid, en el vibrante barrio de Lavapiés. Este acogedor piso de 32 m² construidos (27 m² útiles) es ideal para aquellos que buscan un retorno inmediato y seguro. Con un alquiler actual de 795 €/mes y unos inquilinos al corriente de pago, esta propiedad garantiza una rentabilidad superior a la media en la ciudad. La distribución del piso incluye 2 habitaciones y 1 baño completo, dos ventanas (una de 120 x 90 y otra de 60 x 40) además de una zona de estar con cocina integrada que maximiza el aprovechamiento del espacio. Situado en una segunda planta, este inmueble ofrece comodidad y accesibilidad, con excelente comunicación gracias a su cercanía al metro y a una amplia variedad de servicios, comercios y centros culturales. No dejes pasar esta oportunidad de adquirir un piso en una zona con alta demanda de alquiler. El precio de venta es de 139.000 €, y se admiten visitas coordinadas con antelación. ¡Contáctanos para más información y no te pierdas esta joya en el corazón de Madrid!",False,good,False,False,4344.0,False,False,False,False,[],False,False,139000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Sombrerete s/n,,,,,,,
