propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108214815,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/76/b5/1337345673.webp,32,415000.0,chalet,sale,228.0,5,3,paseo de los Olivos,Madrid,Móstoles,Coimbra - Guadarrama,es,40.3027047,-3.9255111,False,https://www.idealista.com/inmueble/108214815/,"GRUPO TECNOCASA VENDE EN EXCLUSIVA  **Chalet Adosado en Venta - ¡Tu Nuevo Hogar Te Espera!** Descubre este impresionante chalet adosado, ideal para disfrutar de la comodidad y el espacio que siempre has deseado. Con una distribución en tres alturas, este hogar cuenta con 228 m² construidos que se adaptan perfectamente a tus necesidades. La amplia cocina con office es perfecta para preparar deliciosas comidas, mientras que el gran salón-comedor, con acceso directo al patio trasero, se convierte en el lugar ideal para compartir momentos inolvidables con familia y amigos. En la planta principal, encontrarás un acogedor dormitorio doble y un aseo de cortesía, perfecto para las visitas. La planta alta alberga tres dormitorios dobles, todos equipados con armarios empotrados, y dos baños completos, uno de ellos en suite A. Además, la planta -1 ofrece un amplio garaje para dos coches y dos dormitorios adicionales, brindando un sinfín de posibilidades para adaptarlos a tus necesidades. GRUPO TECNOCASA VENDE EN EXCLUSIVA  **Chalet Adosado en Venta - ¡Tu Nuevo Hogar Te Espera!** Descubre este impresionante chalet adosado, ideal para disfrutar de la comodidad y el espacio que siempre has deseado. Con una distribución en tres alturas, este hogar cuenta con 228 m² construidos que se adaptan perfectamente a tus necesidades. La amplia cocina con office es perfecta para preparar deliciosas comidas, mientras que el gran salón-comedor, con acceso directo al patio trasero, se convierte en el lugar ideal para compartir momentos inolvidables con familia y amigos. En la planta principal, encontrarás un acogedor dormitorio doble y un aseo de cortesía, perfecto para las visitas. La planta alta alberga tres dormitorios dobles, todos equipados con armarios empotrados, y dos baños completos, uno de ellos en suite, ambos con ventana. Además, la planta -1 ofrece un amplio garaje para dos coches y dos dormitorios adicionales, brindando un sinfín de posibilidades para adaptarlos a tus necesidades. Este chalet ha sido reformado y está completamente listo para entrar a vivir. Las ventanas climalit herméticas/oscilobatientes garantizan un excelente aislamiento, mientras que las puertas lacadas en blanco aportan un toque moderno. Con calefacción por bomba de frío/calor y aire acondicionado en salón y dormitorios, el confort está asegurado durante todo el año. Ubicado en una zona privilegiada, tendrás fácil acceso a transporte público, parques, supermercados como Mercadona, centro de salud y el centro comercial Xanadú. Además, la vivienda es apta para personas con movilidad reducida, asegurando que todos puedan disfrutar de este maravilloso hogar. No dejes pasar esta oportunidad única y ven a visitarlo. ¡Tu nuevo hogar te está esperando! Ubicado en una zona privilegiada, tendrás fácil acceso a transporte público, parques, supermercados como Mercadona, centro de salud y el centro comercial Xanadú. Además, la vivienda es apta para personas con movilidad reducida, asegurando que todos puedan disfrutar de este maravilloso hogar. No dejes pasar esta oportunidad única y ven a visitarlo. ¡Tu nuevo hogar te está esperando!",False,good,False,1820.0,False,False,False,False,[],False,False,415000.0,€,True,True,chalet,terracedHouse,"Coimbra - Guadarrama, Móstoles",Chalet adosado en paseo de los Olivos,,,,,,,,
108849512,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/c9/19/1356922660.webp,8,849000.0,flat,sale,58.0,2,1,calle de Don Ramón de la Cruz,Madrid,Madrid,Barrio de Salamanca,es,40.4281444,-3.6713121,False,https://www.idealista.com/inmueble/108849512/,"EA Housing les presenta un piso reformado de lujo con dos dormitorios en una de las zonas más tranquilas del Barrio Salamanca. En la primera planta de un edificio construido a principios de los años XX, se encuentra este fantástico piso de diseño, de 58 metros cuadrados según catastro. Piso reformado con todo lujo de detalles, convirtiéndolo en una joya en la mejor zona de Madrid. El salón es la zona principal de la vivienda, una estancia diáfana, muy luminosa, con la cocina integrada con electrodomésticos de alta gama. El piso consta de dos dormitorios y un baño, con una distribución que le otorga una sensación de gran amplitud. La reforma se ha llevado a cabo por el prestigioso estudio de arquitectura Art Tempus, pensando en optimizar todos los espacios. Se han incorporado una gran cantidad de espacios para almacenamiento, con materiales de primer nivel, tanto en los materiales interiores como en carpintería exterior y baño. El piso cuenta con calefacción individual y aire acondicionado por conductos. El barrio Salamanca se trata de una de las zonas más lujosas y demandadas de Madrid, tanto para usuarios finales como para inversores.  No dude en contactar con nosotros y agendaremos una visita en cualquier momento que le venga bien. Tenemos una amplia cartera de viviendas en la zona.",False,good,False,14638.0,True,False,False,False,[],False,False,849000.0,€,,,flat,,"Lista, Madrid",Piso en calle de Don Ramón de la Cruz,S006,1,False,Lista,True,,,
108840689,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/97/d6/1356667953.webp,60,760000.0,flat,sale,162.0,3,2,avenida de los Ángeles,Madrid,Pozuelo de Alarcón,Somosaguas,es,40.4076236,-3.7825838,False,https://www.idealista.com/inmueble/108840689/,"Fantástico, luminoso y amplio piso de 3 habitaciones y 2 baños ubicado en una urbanización privada con excelentes zonas comunes: piscina exterior, piscina cubierta, pista de pádel, parque infantil, y amplias zonas ajardinadas. Cuenta también con servicio de seguridad y conserje 24 horas. Se encuentra en el prestigioso municipio de Pozuelo de Alarcón, una de las zonas residenciales más codiciadas del noroeste de Madrid. Con una superficie construida de 162 m² construidos. Con salón independiente, cocina equipada, y numerosos armarios empotrados distribuidos en los pasillos y las habitaciones, también cuenta con dos amplias terrazas.  Incluye plaza de garaje y trastero. Está equipada con calefacción individual de gas natural, aire acondicionado y ascensor.  Pozuelo de Alarcón es reconocido por su excelente calidad de vida, con una amplia oferta de servicios, zonas verdes y una ubicación estratégica a pocos minutos del centro de Madrid. Ofrece una variada selección de tiendas, restaurantes y servicios en todo su entorno. A pocos kilómetros encontramos el prestigioso colegio Retamar, entre otros.  Vivienda está excelentemente comunicada, La estación de Cercanías de Pozuelo (líneas C-7 y C-10) se encuentra a poca distancia, facilitando el acceso al centro de Madrid y a otras localidades. Las líneas de autobús cercanas incluyen la 656A y la 657, que conectan con el intercambiador de Moncloa. Además de su proximidad a importantes carreteras como la M-40 y la A-6. No dudes en realizar una visita, contáctanos!",False,good,False,4691.0,False,False,False,False,[],False,False,760000.0,€,True,True,flat,,"Somosaguas, Pozuelo de Alarcón",Piso en avenida de los Ángeles,Piso somosaguas,2,True,Somosaguas,True,,,
108656460,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/46/43/1351274312.webp,25,395000.0,chalet,sale,162.0,3,2,AV CONSTITUCION,Madrid,El Escorial,Centro,es,40.5842664,-4.1237074,False,https://www.idealista.com/inmueble/108656460/,"Estudio Casa Del Príncipe, ofrece en exclusiva este magnífico chalet adosado en una de las zonas más residenciales y tranquilas del municipio. Una excelente oportunidad para quienes buscan espacio, calidad de vida y un entorno natural privilegiado. Distribución cómoda y funcional, pensada para vivir y disfrutar Planta baja 55m² – Espacio, comodidad y utilidad Garaje cerrado, con puerta automática, ideal para vehículo grande, motos, bicicletas y espacio de almacenamiento. Cuenta con un trastero independiente y una zona versátil perfecta como pequeño taller o bodega. Acceso directo desde la calle con total privacidad, dentro de una urbanización tranquila y cuidada. Primera planta 55m² – Zona de día que enamora Salón comedor amplio, muy luminoso, con grandes ventanales y salida directa a una terraza abierta. Chimenea de obra con casete cerrado, ideal para ambientar tus inviernos. Zona de comedor con espacio para mesa de 6-8 personas, perfecta para recibir familia y amigos. Cocina independiente completamente equipada con muebles altos y bajos, gran capacidad de almacenaje y todos los electrodomésticos integrados. Aseo con ventana, muy práctico para el día a día. Segunda planta 52m² – Zona de descanso y privacidad Dormitorio principal tipo suite con armario empotrado y gran capacidad. Acceso directo a una terraza cerrada acristalada de uso exclusivo, actualmente acondicionada como despacho. Ideal como teletrabajo, estudio o rincón de lectura. El baño en suite está actualmente reconvertido en vestidor independiente, aportando más espacio de organización, se puede revertir. Dos dormitorios juveniles exteriores, con armarios empotrados, perfectos para familia, invitados o espacio multifuncional. Baño completo con ducha de hidromasaje, mampara de cristal. Diseño funcional y moderno. Calidades y confort que marcan la diferencia Ventanas de PVC climalit oscilobatientes con doble cristal y apertura abatible. Suelos de gres en la primera planta y parquet en dormitorios y planta superior. Calefacción eléctrica por radiadores en todas las estancias. Toma de cometida de gas natural en la puerta principal. Temperatura interior por exposición y protegido por casas vecinas. Puerta de garaje automatizada. Aparcamiento en patio. La vivienda se encuentra para entrar a vivir sin necesidad de reformas. Zona de jardín abierta de 24mtrs para uso exclusivo y disfrute de la familia. Entorno residencial y ubicación estratégica A pocos minutos andando de supermercados, farmacia, colegios y transporte público. Muy bien comunicado con la estación de tren y acceso rápido a la A-6. Despertarte con luz natural, pasar las tardes de invierno frente a la chimenea y disfrutar del aire libre en tu terraza, son solo algunas de las sensaciones que te esperan aquí. Para más información o concertar una visita, contacta con nosotros: Estudio Casa del Príncipe El Escorial Calle Alfonso XII, nº14 – Local 5 ¡Estaremos encantados de ayudarte a encontrar tu próximo hogar!",False,good,False,2438.0,False,False,False,False,[],False,False,395000.0,€,True,True,chalet,terracedHouse,"Centro, El Escorial",Chalet adosado en Av Constitucion,,,,,,,,
107374805,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/2c/03/1311368807.webp,21,250000.0,countryHouse,sale,130.0,2,1,calle Empedrada,Madrid,Villanueva de Perales,,es,40.3468891,-4.1001074,False,https://www.idealista.com/inmueble/107374805/,"TECNOCASA BRUNETE ofrece en EXCLUSIVA esta propiedad para que usted compre con seguridad, sin otros compradores y agencias de por medio. Confíe en la inmobiliaria líder en España con más de 800 puntos de venta. Maravillosa finca rústica se extiende sobre una generosa parcela de 7,000 metros cuadrados, ofreciendo un espacio ideal para disfrutar de la naturaleza y la tranquilidad. La casa, de obra sólida y bien cuidada, cuenta con 128 metros cuadrados de confort. Al entrar, se encontrará con un acogedor salón-comedor que incluye una chimenea de obra con acceso a una cocina amplia y luminosa. La propiedad dispone de dos amplias habitaciones dobles una de ellas con varios armarios empotrados. Además, cuenta con un baño completo. La vivienda se distribuye en una planta. La finca cuenta con piscina de obra y depuradora. También hay un garaje que proporciona espacio adicional para vehículos o almacenamiento. La finca está equipada con 13 placas solares, lo que la convierte en una opción sostenible y eficiente energéticamente. Además, cuenta con un depósito de agua pR proporcionar riego automático a toda la finca, un huerto y pozo de sondeo de 80 metros de profundidad.  Esta finca es el lugar perfecto para aquellos que buscan un estilo de vida tranquilo, rodeado de naturaleza y con todas las comodidades necesarias.",False,good,False,1923.0,False,False,False,False,[],False,False,250000.0,€,True,True,countryHouse,countryHouse,Villanueva de Perales,Finca rústica en calle Empedrada,,,,,,,,
108827358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/99/f4/1356423473.webp,26,249900.0,flat,sale,65.0,3,1,plaza armilla,Madrid,Madrid,Latina,es,40.3734677,-3.7626746,False,https://www.idealista.com/inmueble/108827358/,"TECNOCASA ESTUDIO SAN IGNACIO 4 VIENTOS & KIRÓN servicios financieros VENDEN PISO' TLFN: 9 1 5 0 9 5 3 8 0  Agencia inmobiliaria de MADRID zona SAN IGNACIO 4 VIENTOS vende piso en calle Plaza armilla, Planta Baja vivienda reformada, con una superficie aproximada de 65m2 y con excelente distribución. Hall de entrada, amplio salón-comedor, muy luminoso, cocina, tres dormitorios y cuarto de baño exterior con ventana. Plaza de parking en superficie incluida en el precio Suelos de tarima, gres en la cocina y baño, calefacción individual de gas natural. Para entrar a vivir, vivienda reformada. Se sitúa en una de zona privilegiada para vivir ya que es un área residencial muy consolidado con infinidad de comercios de todo tipo, áreas verdes, además cuenta con un parque infantil a pocos minutos, el polideportivo municipal Aluche, una gran biblioteca, el centro comercial del mercado Las Águilas. Muy cerca del centro neurálgico del barrio de Colonia Aviación, muy próximo a centros educativos, farmacias. A escasos minutos de la M-40, M-45, A-5. Bien comunicado con autobuses urbanos de la EMT, tales como, 34, 483,487, 155 y N19, Cercanías Renfe ´Aluche' y metro Alcuhe. De acuerdo con el real decreto 515/1989 del 21 de abril, se informa a los clientes que los gastos notariales, registrales, impuesto de trasmisiones patrimoniales o equivalente junto con los gastos financieros y otros gastos inherentes a la compra venta no están incluidos en el precio de venta de la vivienda.",False,good,False,3845.0,False,False,False,False,[],False,False,249900.0,€,True,True,flat,,"Águilas, Madrid",Piso en plaza armilla,,bj,True,Águilas,False,,,
108645081,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/8b/6b/1350896010.webp,18,290000.0,flat,sale,98.0,4,2,calle Pintor Velazquez,Madrid,Móstoles,Norte - Universidad,es,40.3294853,-3.8733447,False,https://www.idealista.com/inmueble/108645081/,"GRUPO TECNOCASA PARQUE COIMBRA vende en EXCLUSIVA, fantástica vivienda CON PISCINA situada en EL RECREO DE MÓSTOLES, con una superficie de 110m2. Este inmueble cuenta con un amplio hall de entrada que da acceso a un gran salón, ideal para recibir visitas y disfrutar en familia. La cocina, reformada hace 16 años, con un amplio office, es perfecta para los amantes de la gastronomía. Además, dispone de 1 baño completo y un aseo, ambos reformados hace 16 años, contamos con 4 dormitorios, el principal cuenta con armario empotrado, puertas de roble cambiadas hace 16 años. La vivienda se encuentra en una urbanización con la fachada rehabilitada, con piscina, ideal para refrescarse en los días de verano. Su excelente ubicación en Móstoles, cerca de la Universidad Rey Juan Carlos, la convierte en una opción perfecta para estudiantes o profesionales que buscan comodidad y cercanía. Además, está a muy poca distancia del metro y la estación de Renfe, lo que facilita el desplazamiento por la ciudad. En cuanto a servicios, la zona cuenta con supermercados como Mercadona y Carrefour, lo que facilita las compras diarias. Además, tiene fácil acceso a la autovía, lo que permite desplazarse rápidamente a otras localidades cercanas. No pierdas la oportunidad de adquirir este fantástico piso en Móstoles, con una superficie de 110m2, 4 dormitorios, 1 baño, 1 aseo, terraza, piscina y cancha de fútbol y baloncesto en la urbanización. ¡Contacta ahora para más información!",False,good,False,2959.0,False,False,False,False,[],False,False,290000.0,€,,,flat,,"Norte - Universidad, Móstoles",Piso en calle Pintor Velazquez,,2,True,,True,,,
107180845,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/1f/6e/1331014724.webp,32,642000.0,chalet,sale,498.0,8,5,"camino Viejo de Madrid a Torrelaguna, 190",Madrid,El Molar,,es,40.7034822,-3.5460613,True,https://www.idealista.com/inmueble/107180845/,"Disfruta del encanto de vivir en una casa de campo a 35 min de Madrid y 20 min del aeropuerto. Situada en un entorno natural junto al río Jarama, cerca de la salida 41 de la A1 junto al pueblo El Molar. Chalet recién reformado con 8 habitaciones y 5 baños, dotado de todas las comodidades y con chimenea de leña en el salón. Dispone de una vivienda de invitados con habitación en suite; de un amplio jardín con riego automático, con piscina rústica y una zona de barbacoa, con horno de leña y fregadero, junto al porche de la vivienda principal. Alquiler turístico de fin de semana y temporadas estivales con elevada facturación demostrable. Posibilidad de realizar todo tipo de eventos, fiestas, bodas, etc. Gran extensión de terreno con capacidad para zona deportiva y establo para caballos, etc.",False,good,False,1289.0,False,False,False,False,[],False,False,642000.0,€,True,True,chalet,independantHouse,El Molar,"Casa independiente en camino Viejo de Madrid a Torrelaguna, 190",,,,,,,,
108923079,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/0f/9f/1359052265.webp,19,165000.0,flat,sale,72.0,3,1,calle de Nuestra Señora de Guadalupe,Madrid,Leganés,Centro,es,40.3245262,-3.7716913,False,https://www.idealista.com/inmueble/108923079/,"RJ ESTUDIO INMOBILIARIO Vende piso exterior luminoso, 3 dormitorios, baño completo, cocina completa con electrodomésticos, ascensor, acceso patio comunitario (solo dos vecinos), aire acondicionado, calefacción, etc. buenas comunicaciones. Los honorarios de la Agencia no van incluidos en el precio.",False,good,False,2292.0,False,False,False,False,[],False,False,165000.0,€,,,flat,,"Vírgenes, Leganés",Piso en calle de Nuestra Señora de Guadalupe,LEGANES,bj,True,Vírgenes,True,,,
107018412,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/cb/b7/1300581486.webp,67,1350000.0,chalet,sale,430.0,6,8,Castillo - Campodón,Madrid,Villaviciosa de Odón,Castillo - Campodón,es,40.368543,-3.8831102,False,https://www.idealista.com/inmueble/107018412/,"ATENEA inmobiliaria vende chalet independiente de lujo a estrenar en Urbanización Campodón, Villaviciosa de Odón ¡Descubre tu nuevo hogar de ensueño en la exclusiva Urbanización Campodón de Villaviciosa de Odón! Este increíble chalet de lujo ha sido completamente reformado de punta a punta, ofreciendo un estilo de vida excepcional. Con una superficie construida de más de 400 m2, este impresionante chalet cuenta con: - 6 amplias habitaciones con baño propio - Un total de 8 modernos cuartos de baño - 2 espaciosos salones - 2 grandes porches con vistas al jardín - Garaje para varios coches - Piscina privada - Jardín de más de 1.100 m2 Equipado con aire acondicionado en el salón y preinstalación en todas las estancias, así como placas solares para una mayor eficiencia energética, este chalet de lujo ofrece un máximo confort y comodidad. Ubicado en la exclusiva Urbanización Campodón, disfrutarás de total privacidad y tranquilidad, sin renunciar a las mejores comunicaciones y servicios. ¡No dejes escapar esta oportunidad única de vivir en un hogar de lujo a estrenar en Villaviciosa de Odón! Contacta con nosotros para concertar una visita personalizada. [IW].",False,good,False,3140.0,True,False,False,False,[],False,False,1350000.0,€,,,chalet,independantHouse,"Castillo - Campodón, Villaviciosa de Odón",Casa independiente,CHA0005,,,,,,,
