propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
107981243,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/87/28/1355940948.webp,PD10,9,bj,179000.0,flat,sale,89.0,True,2,2,calle Perpetua Díaz,Madrid,Madrid,Usera,es,Pradolongo,40.3832006,-3.7079323,False,https://www.idealista.com/inmueble/107981243/,"¡Atención inversores y parejas! Oportunidad única de adquirir un pisos de 79 m², actualmente en proceso de reforma integral, ubicado en finca con encanto. Se venden 4 pisos de 79 m² cada uno, reforma integral – 2 dorm / 1 baños / techos altos Características principales:  - Superficie: 79 m² por piso  - 2 dormitorios amplios  - 1 baños completos (en suite)  - Techos altos: que aportan luz y sensación de amplitud  - Distribución funcional y moderna  - Reforma de diseño (en curso) Ideal para:  - Inversores: alta rentabilidad tras reforma  - Parejas que buscan confort y estilo  - Vivienda + alquiler, o doble inversión Ubicación bien comunicada, con todos los servicios cerca. Se entrega completamente reformado, listo para entrar a vivir o rentabilizar desde el primer día. Contáctanos para más información, planos y visitas.",False,good,False,False,2011.0,True,False,False,False,[],False,False,179000.0,€,flat,"Pradolongo, Madrid",Piso en calle Perpetua Díaz,,,,,,,
108365986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/01/ba/1342499367.webp,BRASIL ,55,,482000.0,chalet,sale,243.0,,6,3,Hispanoamérica - Comunidades,Madrid,Valdemoro,Hispanoamérica - Comunidades,es,,40.1837391,-3.6873518,False,https://www.idealista.com/inmueble/108365986/,"Agencia inmobiliaria de Valdemoro, Tecnocasa Estudio Las Tres Erres SL. FANTÁSTICO Chalet pareado en la zona HISPANOAMERICA Dispone de 4 plantas: Planta baja formada por patio delantero, entrada, salón- comedor con salida a un amplio patio trasero con barbacoa de obra, cocina amueblada muy luminosa, baño con plato de ducha, dormitorio en planta, desde la planta baja accedemos al garaje. Planta primera formada por tres dormitorios con armarios empotrados, una de las habitaciones da acceso a una terraza, dos baños ambos con plato de ducha (uno de ellos en suite. ) La buhardilla dispone de dos dormitorios con salida a la terraza. El acceso al garaje se puede hacer desde la calle, cuenta también con una bodega.  La vivienda es muy luminosa y dispone de muy buenas calidades, suelos de tarima, aire acondicionado en el salón y en dormitorios, además la vivienda está en una zona en expansión, pero ya consolidada con acceso a multitud de servicios, como la facilidad de entrada y salida a la población a través de la autovía, así como bien comunicada por la red de transportes del municipio y con zonas verdes alrededor. No dude en llamarnos para concertar su cita para visitar el inmueble en la que además recibirá el asesoramiento gratuito de nuestro departamento financiero KÌRON.",False,good,False,,1984.0,False,False,False,False,[],False,False,482000.0,€,chalet,"Hispanoamérica - Comunidades, Valdemoro",Chalet pareado,524200.0,42200.0,8.0,True,True,semidetachedHouse,
108923211,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/9f/cd/1359058147.webp,BUENA VISTA,20,bj,170000.0,flat,sale,60.0,True,3,1,calle Alzina,Madrid,Madrid,Carabanchel,es,Buena Vista,40.3696123,-3.7567658,False,https://www.idealista.com/inmueble/108923211/,"RJ ESTUDIO INMOBILIARIO Vende piso exterior luminoso, con patio comunitario para dos vecinos, tres dormitorios, baño completo, cocina amueblada con electrodomésticos, salón amplio, calefacción, aire acondicionado, se quedaría semi-amueblado y la cocina completa, a lado colegios, autobuses, Metro C. ALTO. MEJOR VER.",False,good,False,False,2833.0,False,False,False,False,[],False,False,170000.0,€,flat,"Buena Vista, Madrid",Piso en calle Alzina,,,,,,,
108078640,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/e2/3e/1356358334.webp,5018,14,6,1309000.0,flat,sale,105.0,False,2,2,calle de José Ortega y Gasset,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4314384,-3.6774454,False,https://www.idealista.com/inmueble/108078640/,"Domus Aurea Capital presenta esta excepcional vivienda situada en el prestigioso barrio de Lista. La propiedad ofrece una combinación ideal de ubicación y diseño funcional. Con 105 metros catastrales cuenta con dos habitaciones y dos baños, proporcionando un espacio cómodo y bien distribuido. La propiedad dispone de calefacción comunitaria, aire acondicionado, ascensor y portería, garantizando confort y servicios de calidad. Su ubicación en una de las zonas más exclusivas de Madrid la convierte en una excelente opción, con acceso a una amplia oferta de comercios, gastronomía y excelentes conexiones de transporte. Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores.",False,good,False,True,12467.0,False,False,False,False,[],False,False,1309000.0,€,flat,"Lista, Madrid",Piso en calle de José Ortega y Gasset,,,,,,,
105767675,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/b8/ab/1262405591.webp,,13,,88000.0,chalet,sale,121.0,,1,1,travesía Barrio Olmeda,Madrid,Pezuela de las Torres,,es,,40.4175188,-3.1730803,False,https://www.idealista.com/inmueble/105767675/,"¡Oportunidad única para diseñar la casa de tus sueños! Casa de 121 m² construidos en dos plantas, situada en un terreno de 218 m², Jardín: 97 m² de jardín con entrada independiente, ideal para disfrutar al aire libre.  El interior de la vivienda está por dividir y terminar, lo que representa una excelente oportunidad para personalizarla y que puedas adaptarlo a tus necesidades y aumentar su valor. La vivienda fue reformada íntegramente en 2014, incluyendo un tejado nuevo y una fachada en excelente estado, y se encuentra lista para ser dividida y terminada a tu gusto. La casa dispone de 2 entradas, ofreciendo mayor flexibilidad en su uso. Gran fachada: Con zona común del ayuntamiento, proporcionando un entorno agradable y bien cuidado. Propiedad con gran potencial de revalorización en un entorno tranquilo y bien comunicado. Servicios del pueblo: Guardería, colegio, tiendas, centro médico, policía local y farmacia Transporte: Excelente conexión de transporte público, facilitando los desplazamientos. ¡No dejes pasar esta oportunidad de crear tu hogar ideal! Contacta con nosotros para más información y para concertar una visita. ¡Aprovecha esta ocasión única para invertir en una propiedad con gran potencial!",False,renew,False,,727.0,True,False,False,False,[],False,False,88000.0,€,chalet,Pezuela de las Torres,Chalet adosado en travesía Barrio Olmeda,,,,,,terracedHouse,
107813905,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/81/42/1324597387.webp,,4,5,625000.0,flat,sale,88.0,False,1,2,calle del Doctor Esquerdo,Madrid,Madrid,Retiro,es,Niño Jesús,40.4078528,-3.6693018,False,https://www.idealista.com/inmueble/107813905/,"Exclusiva Oportunidad en Doctor Esquerdo – Vivienda Doble en Retiro, Madrid Presentamos una propiedad única en el barrio de Niño Jesús, dentro del prestigioso distrito de Retiro. Un inmueble reformado en 2018 que ha sido diseñado para ofrecer dos viviendas independientes en una sola propiedad, ideal tanto para inversión como para uso personal. � Precio: 625.000€ � Superficie: 88 m² construidos � División en dos alojamientos independientes Distribución y características: � Apartamento (54 m²) ✔ 1 dormitorio amplio y luminoso ✔ Baño de lujo con bañera independiente ✔ Salón espacioso con acceso a una acogedora terraza ✔ Cocina acristalada con puertas correderas ✔ Cuarto de colada/trastero � Estudio (28 m²) ✔ Espacio diáfano con múltiples posibilidades ✔ Cocina equipada con placa de inducción, microondas con grill, frigorífico y lavadora ✔ Baño completo independiente Detalles adicionales: ✔ Orientación Sur y Suroeste, garantizando una excelente iluminación natural ✔ Finca señorial con conserje ✔ Próxima instalación de nuevo ascensor sin derramas ✔ Posibilidad de alquiler del piso del portero en el futuro Ubicación inmejorable – Distrito Retiro, Madrid � Calle Doctor Esquerdo, Barrio Niño Jesús – a pocos pasos del icónico Parque del Retiro y rodeado de algunos de los principales centros culturales de Madrid, como el Museo del Prado y el Museo Thyssen-Bornemisza. Conexiones de transporte y accesibilidad � Metro cercano: Sáinz de Baranda (Líneas 6 y 9) Conde de Casal (Línea 6) � Múltiples líneas de autobús con conexión rápida al centro de Madrid. � Acceso inmediato a la M-30 y cercanía con futuras mejoras en transporte, como la ampliación del metro hacia el aeropuerto y el intercambiador de Plaza Conde de Casal, lo que aumentará la revalorización de la zona. Servicios y entorno: � A 5 minutos del Parque del Retiro, ideal para pasear y hacer deporte � Colegios, hospitales y supermercados en la zona � Amplia oferta de restaurantes, cafeterías y comercios de lujo � Una propiedad versátil con un alto potencial de rentabilidad: perfecta como inversión, para familias que deseen tener un espacio independiente o como vivienda con despacho profesional. � ¡Contáctanos para más información y concertar una visita!",False,good,False,True,7102.0,True,False,False,False,[],False,False,625000.0,€,flat,"Niño Jesús, Madrid",Piso en calle del Doctor Esquerdo,,,,,,,
107584478,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/94/c1/1316892215.webp,PAU2068,13,1,230000.0,flat,sale,65.0,True,4,1,calle de Polvoranca,Madrid,Madrid,Carabanchel,es,Buena Vista,40.3717977,-3.7535952,False,https://www.idealista.com/inmueble/107584478/,"¡Oportunidad para inversores! Vivienda con una rentabilidad del 9%, actualmente alquilada por 1.800€ mensuales. Desde GLOBALPISO PAU de Carabanchel te presentamos esta excelente propiedad en el barrio de Buena Vista (Carabanchel Alto), totalmente reformada y lista para alquiler por habitaciones. La vivienda se distribuye en 4 dormitorios: dos dobles y dos individuales, todos equipados con cama, escritorio, TV, nevera pequeña, armario y radiador eléctrico. La cocina está equipada con lavadora, secadora, termo eléctrico, dos vitrocerámicas y microondas. El baño ha sido reformado y cuenta con plato de ducha. Dispone de dos terrazas, una con acceso desde la cocina y otra desde dos de los dormitorios, ideales para disfrutar del aire libre. Además, cuenta con calefacción eléctrica, suelos de tarima flotante y ventanas de climalit, garantizando confort y eficiencia energética. Su excelente ubicación ofrece muy buena comunicación en transporte público: a solo 4 minutos del metro ""Carabanchel Alto"" (Línea 11), con varias paradas de autobús cercanas (Nº 35, 47, N17, 4 92, 493). La zona cuenta con todos los servicios necesarios, como centros de salud, supermercados, guarderías y colegios. También está a 8 minutos en coche del centro comercial ISLAZUL y a 9 minutos de Parquesur. Tiene fácil acceso a las principales vías: A-42, M-40 y M-45. ¡Una oportunidad que no puedes dejar pasar! Mejor verlo en persona. Globalpiso nunca solicitará documentación ni dinero sin haber realizado antes una visita a la vivienda. *Ofrecemos financiación del 100% a través de nuestro departamento financiero, H2b Hipotecas. La aprobación de la financiación está sujeta a las condiciones de la entidad financiera y se evaluará el perfil y solvencia del cliente. *De conformidad con el Artículo 6 del RD 515/1989, de 21 de abril, informamos a los clientes que los gastos notariales, registrales, Impuesto de Transmisiones Patrimoniales (I. T. P. ) gastos financieros e intermediación inmobiliaria y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda. ""Se cumplen todos los requisitos y derechos referidos en la Ley 12/2023 por el Derecho a la Vivienda"" ¡No dudes en contactarnos para más información o para agendar una visita!",False,good,False,False,3538.0,False,False,False,False,[],False,False,230000.0,€,flat,"Buena Vista, Madrid",Piso en calle de Polvoranca,,,,,,,
108705645,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/c7/3f/1352693964.webp,2209/50,21,2,225000.0,penthouse,sale,66.0,True,2,1,calle Guadarrama,Madrid,Paracuellos de Jarama,Casco Urbano,es,,40.5054759,-3.5344795,False,https://www.idealista.com/inmueble/108705645/,"REF. 2209/50. ALFA VENDE ATICO ¡OPORTUNIDAD UNICA PARA INVERSORES! Ático de 66 m2, en el casco urbano de Paracuellos de Jarama, la vivienda se encuentra actualmente alquilada, con una ubicación muy céntrica, con todos los servicios necesarios como colegios, centro de salud, comercios, farmacias a solo unos minutos andando. Construido con todo tipo de detalles, la vivienda consta de amplio y luminoso salón con techo alto abuhardillado, dispone de dos ventanas de techo VELUX con persianas motorizadas para mayor seguridad. La cocina completamente amueblada con un gran espacio de almacenamiento construido a medida por la propiedad. Esta estancia también dispone de ventana de techo VELUX con persiana motorizada. Tanto el salón como uno de los dormitorios disponen de aparatos de aire acondicionado por split. Destacamos los dos dormitorios que completan este precioso ático. El primero de ellos con un gran armario empotrado, aire acondicionado y salida a una terraza multiusos.  La terraza dispone de un cerramiento de aluminio blanco con cristales ahumados, que nos protegen del calor y nos dan mayor privacidad. Este espacio cerrado se aprovecha tanto para almacenaje como para tendedero. El segundo dormitorio esta amueblado a medida, aprovechando todos sus huecos de manera que nos deja disfrutar de dos armarios empotrados y un tercero sobre suelo. Completamos la vivienda con un baño completo de 4 piezas con bañera y mampara en aluminio blanco. Posibilidad de cuarto trastero en el mismo edificio ( opcional ). 7.000 € ! NO TE PIERDAS INVERTIR EN UNA DE LAS MEJORES ZONAS DE MADRID ES UNA APUESTA SEGURA ¡.",False,good,False,False,3409.0,False,False,True,False,[],False,False,225000.0,€,flat,"Casco Urbano, Paracuellos de Jarama",Ático en calle Guadarrama,,,,,,penthouse,
108511632,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/4b/27/1347094246.webp,70088,22,bj,219000.0,flat,sale,72.0,True,2,1,CL MACARIO BARJA,Madrid,Madrid,Puente de Vallecas,es,Portazgo,40.3892241,-3.6444267,False,https://www.idealista.com/inmueble/108511632/,"EXCELENTE ubicación, a 300 metros de la Avenida de la Albufera y el Metro Alto del Arenal. Edificio actual, con un portal vistoso y amplio, dotado de ascensor que baja hasta la zona de trasteros. Dispone también de zona de tendedero privativa para los pisos bajos. Totalmente exterior, de reciente construcción, con buenas calidades y ubicado en zona muy tranquila. Dispone de un espacioso salón comedor con la cocina integrada, armario gabanero, baño completo de buenas dimensiones y 2 amplios dormitorios doble con sus correspondientes armarios empotrados. Suelos de madera, paredes lisas, carpintería interior de madera lacada en blanco, armarios forrados y con maletero y carpintería exterior de aluminio con cristal térmico. Todas las ventanas están dotadas de rejas en mismo color. Dispone de un trastero muy amplio. El estado de conservación es bueno, listo para entrar a vivir.",False,good,False,True,3042.0,False,False,False,False,[],False,False,219000.0,€,flat,"Portazgo, Madrid",Piso en Cl Macario Barja,,,,,,,
108214815,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/76/b5/1337345673.webp,,32,,415000.0,chalet,sale,228.0,,5,3,paseo de los Olivos,Madrid,Móstoles,Coimbra - Guadarrama,es,,40.3027047,-3.9255111,False,https://www.idealista.com/inmueble/108214815/,"GRUPO TECNOCASA VENDE EN EXCLUSIVA  **Chalet Adosado en Venta - ¡Tu Nuevo Hogar Te Espera!** Descubre este impresionante chalet adosado, ideal para disfrutar de la comodidad y el espacio que siempre has deseado. Con una distribución en tres alturas, este hogar cuenta con 228 m² construidos que se adaptan perfectamente a tus necesidades. La amplia cocina con office es perfecta para preparar deliciosas comidas, mientras que el gran salón-comedor, con acceso directo al patio trasero, se convierte en el lugar ideal para compartir momentos inolvidables con familia y amigos. En la planta principal, encontrarás un acogedor dormitorio doble y un aseo de cortesía, perfecto para las visitas. La planta alta alberga tres dormitorios dobles, todos equipados con armarios empotrados, y dos baños completos, uno de ellos en suite A. Además, la planta -1 ofrece un amplio garaje para dos coches y dos dormitorios adicionales, brindando un sinfín de posibilidades para adaptarlos a tus necesidades. GRUPO TECNOCASA VENDE EN EXCLUSIVA  **Chalet Adosado en Venta - ¡Tu Nuevo Hogar Te Espera!** Descubre este impresionante chalet adosado, ideal para disfrutar de la comodidad y el espacio que siempre has deseado. Con una distribución en tres alturas, este hogar cuenta con 228 m² construidos que se adaptan perfectamente a tus necesidades. La amplia cocina con office es perfecta para preparar deliciosas comidas, mientras que el gran salón-comedor, con acceso directo al patio trasero, se convierte en el lugar ideal para compartir momentos inolvidables con familia y amigos. En la planta principal, encontrarás un acogedor dormitorio doble y un aseo de cortesía, perfecto para las visitas. La planta alta alberga tres dormitorios dobles, todos equipados con armarios empotrados, y dos baños completos, uno de ellos en suite, ambos con ventana. Además, la planta -1 ofrece un amplio garaje para dos coches y dos dormitorios adicionales, brindando un sinfín de posibilidades para adaptarlos a tus necesidades. Este chalet ha sido reformado y está completamente listo para entrar a vivir. Las ventanas climalit herméticas/oscilobatientes garantizan un excelente aislamiento, mientras que las puertas lacadas en blanco aportan un toque moderno. Con calefacción por bomba de frío/calor y aire acondicionado en salón y dormitorios, el confort está asegurado durante todo el año. Ubicado en una zona privilegiada, tendrás fácil acceso a transporte público, parques, supermercados como Mercadona, centro de salud y el centro comercial Xanadú. Además, la vivienda es apta para personas con movilidad reducida, asegurando que todos puedan disfrutar de este maravilloso hogar. No dejes pasar esta oportunidad única y ven a visitarlo. ¡Tu nuevo hogar te está esperando! Ubicado en una zona privilegiada, tendrás fácil acceso a transporte público, parques, supermercados como Mercadona, centro de salud y el centro comercial Xanadú. Además, la vivienda es apta para personas con movilidad reducida, asegurando que todos puedan disfrutar de este maravilloso hogar. No dejes pasar esta oportunidad única y ven a visitarlo. ¡Tu nuevo hogar te está esperando!",False,good,False,,1820.0,False,False,False,False,[],False,False,415000.0,€,chalet,"Coimbra - Guadarrama, Móstoles",Chalet adosado en paseo de los Olivos,,,,True,True,terracedHouse,
