propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
107299474,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/1c/7d/1308844001.webp,ASPV,4,2,1595000.0,flat,sale,180.0,True,2,3,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4218701,-3.6793225,False,https://www.idealista.com/inmueble/107299474/,"Belton Real Estate ofrece magnifica vivienda en una segunda planta exterior llena de iluminación gracias a sus balcones, en la exclusiva zona de Salamanca - Recoletos.  El inmueble reformado con acabados de alta gama, cuenta con una distribución funcional que incluye dos amplias habitaciones, cada una con baño en suite, una moderna cocina integrada al salón - comedor, y un aseo de cortesía.  La finca representativa dispone de servicio de portería y ascensor.  Su ubicación en una de las zonas más cotizadas de la ciudad, ofrece un ambiente de lujo con sus calle elegantes, arquitectura clásica y servicios de alta gama, boutiques, alta cocina y proximidad a zonas verdes. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,True,8861.0,False,False,False,False,[],False,False,1595000.0,€,flat,"Goya, Madrid",Piso,,,,,,
108050396,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/bb/e8/1332346153.webp,001370,20,1,142000.0,flat,sale,65.0,True,2,1,calle Montecillo,Madrid,Aranjuez,Centro,es,,40.0273596,-3.6040658,False,https://www.idealista.com/inmueble/108050396/,"� ¡Acogedor piso en venta con excelente luz natural! ✨ Características principales: �️ Salón amplio y soleado: Ideal para disfrutar de la luz natural durante todo el día. Cuenta con una ventana de aluminio de gran tamaño que proporciona excelente ventilación. � Terraza de 5 m² integrada en el salón: Perfecta para relajarse, poner plantas o disfrutar de un rincón exterior sin salir del confort del hogar. ❄️ Aire acondicionado en el salón: Para garantizar el confort en verano. �️ 2 dormitorios: Espacios acogedores y funcionales, ideales para pareja, familia o incluso para disponer de un despacho. � 1 baño con plato de ducha: Moderno y práctico, con buen aprovechamiento del espacio. �️ Pasillo funcional: Conecta eficazmente todas las estancias del piso. � Radiadores eléctricos: Distribuidos en el piso para ofrecer calor en los meses fríos. �️ Cocina luminosa y amueblada: Lista para entrar a vivir, equipada con muebles funcionales y buen espacio de almacenamiento. � Trastero dentro de la vivienda: Muy útil como espacio adicional para almacenaje, manteniendo todo ordenado y organizado. � Un hogar cómodo y muy bien distribuido, ideal para quienes buscan luminosidad, funcionalidad y una agradable zona exterior dentro del salón.",True,good,False,False,2185.0,False,False,False,False,[],False,False,142000.0,€,flat,"Centro, Aranjuez",Piso en calle Montecillo,,,,,,
108336680,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/2b/35/1341091741.webp,FHOG-3044,6,bj,289000.0,flat,sale,49.0,True,1,1,calle del Cardenal Cisneros,Madrid,Madrid,Chamberí,es,Trafalgar,40.4322576,-3.7041184,False,https://www.idealista.com/inmueble/108336680/,"Activo adjudicado en subasta sin posesión Actualmente, no es posible realizar visitas al interior del inmueble. Las fotografías pueden no reflejar el estado actual de la propiedad. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Descripción Cómodo piso en Madrid, idóneo para parejas. La vivienda consta de 49 m² construidos distribuidos en salón-comedor, cocina. Está ubicado en el corazón de Madrid, muy cerca de Calle de Alberto Aguilera en el barrio de Trafalgar. En sus alrededores encontramos el HM Hospital Universitario Madrid, la Facultad de Ciencias de la Documentacion, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús y la estación de metro Quevedo. Se encuentra a 25 minutos andando del centro de la localidad. Soluciones a su medida.",True,good,False,False,5898.0,False,False,False,False,[],False,False,289000.0,€,flat,"Trafalgar, Madrid",Piso en calle del Cardenal Cisneros,303500.0,14500.0,5.0,,,
105963679,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b6/56/05/1337448415.webp,Puenteareas,95,,550000.0,chalet,sale,336.0,,3,3,calle Puenteareas,Madrid,Soto del Real,,es,,40.7297676,-3.7490859,False,https://www.idealista.com/inmueble/105963679/,"Venta de chalet independiente en urbanización Peña Real, en el municipio de Soto del Real. La vivienda de 336 m2 construida sobre parcela de 1.042m2, situada en una excelente ubicación, que le confieren vistas despejadas de la montaña desde todas sus estancias. La propiedad se distribuye de la siguiente manera; en la planta principal se encuentran un amplio recibidor que da paso a todas las estancias de la casa. Frontalmente nos encontramos con un luminoso comedor y un salón comedor con chimenea y grandes ventanales, que nos da paso a una amplia terraza orientada a la sierra. Lateralmente tenemos acceso a la habitación principal la cual cuenta con vestidor, gran baño con hidromasaje y ducha anexa y estancia orientgada a las montañas. Al otro lado tenemos acceso a la cocina, totalmente equipada con espacio acristalado para cuarto de lavanderia y terraza de invierno. En la planta superior disponemos de sala de lectura, gran habitación, baño y terraza orientada a la sierra. Planta baja, garaje para dos automoviles, gimnasio, despensa, cuarto de caldera, cuarto de deposito y trastero.",False,good,False,,1637.0,False,False,False,False,[],False,False,550000.0,€,chalet,Soto del Real,Casa independiente en calle Puenteareas,,,,True,True,independantHouse
108608257,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/85/a0/1349842376.webp,,18,5,350000.0,flat,sale,85.0,True,3,1,calle Fernando Pessoa,Madrid,Madrid,Ciudad Lineal,es,San Pascual,40.4411977,-3.6522653,False,https://www.idealista.com/inmueble/108608257/,"Vivienda de tres dormitorios muy próxima a la Avenidad e Badajoz, en el distrito de Ciudad Lineal. La vivienda situada en quinta planta, tiene mucha luz natural al ser todo exterior. Consta de tres habitaciones, todas ellas exteriores con armario empotrado. El salón completamente cuadrado permite una distribución fácil, desde el, salimos a la terraza que actualmente se encuentra cerrada pero que es relativamente fácil quitar el cerramiento y dejarla abierta. Desde el hall de entrada accedemos al salón, ala cocina y al pasillo que da a las habitaciones y al baño. Este último se trata de un baño completo con bañera, inodoro y lavabo con mueble. La cocina también da a la terraza y equipada con todos los electrodomésticos necesarios, buena capacidad de almacenaje gracias a sus muebles altos y espacio suficiente en la encimera para cocinar a gusto. Toda la vivienda está completamente reformada, tanto suelos, ventanas, que son de aluminio con climalit, instalación eléctrica y de fontanería. Actualmente la vivienda se encuentra alquilada con un buen contrato de alquiler, quedando menos de dos años de contrato aun vigente. La finca cuenta con ascensor recientemente instalado, cuatro vecinos por planta. Zona muy comercial, con todo tipo de servicios, Farmacias, Peluquerías, Restaurantes, Cafeterías, Centro de Salud de Panamá y muy bien comunicada. A 1 minuto Supermercado Dia A 5 minutos Ahorramás A 5 minutos Mercado San Pascual A 5 minutos Gimnasio VivaGym La Concepción A 5 minutos Instalación Deportiva Municipal A 10 minutos Polideportivo La Concepción Colegio Montpellier a 6 minutos Colegio CEIP Nuestra Señora de la Concepción a 8 minutos Colegio CEIP Carlos V a 8 minutos Colegio Casa de la Virgen a 8 minutos Colegio Mater Inmaculata a 9 minutos Colegio Corazón de Maria a 13 minutos Acceso cerca a la M-30 en todas las direcciones, a la calle Arturo Soria y a la Avenida de Badajoz.",True,good,False,True,4118.0,False,False,False,False,[],False,False,350000.0,€,flat,"San Pascual, Madrid",Piso en calle Fernando Pessoa,,,,,,
107528831,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5c/56/ff/1315137105.webp,JGP,7,5,950000.0,flat,sale,90.0,True,2,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4322999,-3.6769337,False,https://www.idealista.com/inmueble/107528831/,"Belton Real Estate ofrece piso en una quinta planta exterior muy luminosa con terraza, y una superficie de 90 metros cuadrados.  Se trata de un inmueble para reformar, distribuido en dos habitaciones, dos baños, cocina, salón, comedor.  La finca cuenta con trastero y ascensor. Se encuentra ubicado en Salamanca - Lista, una zona distinguida por su ambiente y variedad de servicios, comercio, gastronomía, cultura, entretenimiento, y fácil acceso a cualquier punto de la ciudad.  Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,renew,False,True,10556.0,False,False,False,False,[],False,False,950000.0,€,flat,"Lista, Madrid",Piso,,,,,,
107999496,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/66/c9/1330916377.webp,Quijano 71,17,1,480000.0,flat,sale,75.0,True,2,2,"calle de Alonso Quijano, 71",Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.5019247,-3.6922056,True,https://www.idealista.com/inmueble/107999496/,"Piso de dos dormitorios situado en uno de los barrios más demandados de Madrid, ubicado en la zona norte y perfectamente comunicado con metro (estación Tres Olivos-linea 10), autobuses lineas 66 y 137 y rápido acceso a M-607 y M-30 La vivienda cuenta con dos dormitorios, dos baños, salón comedor y cocina equipada a través de la que se accede a un tendedero cubierto. El dormitorio principal tiene baño en suite. El suelo es parquet y la carpintería de aluminio en marrón oscuro. Las habitaciones cuentan con armarios empotrados El precio incluye plaza de garaje Actualmente la vivienda está alquilada hasta 2027 Las zonas comunes cuentan con piscina y zonas ajardinadas. Hay conserjería por el día y vigilante de seguridad nocturno El barrio es muy tranquilo y agradable, cuenta con cafeterías, restauración, panaderías, clínica veterinaria, supermercado, pescaderías, fruterías, gimnasio, centro de salud privado en el mismo edificio. Preferentemente se atiende por chat y las visitas se podrán concertar previo acuerdo con los actuales inquilinos. Honorarios de agencia no incluidos en el precio.",False,good,False,True,6400.0,False,False,False,False,[],False,False,480000.0,€,flat,"Tres Olivos - Valverde, Madrid","Piso en calle de Alonso Quijano, 71",,,,True,True,
108550825,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/43/af/1348211673.webp,,36,,210000.0,chalet,sale,150.0,,2,1,"Diseminado Viejo Madrid Cm, 72",Madrid,El Molar,,es,,40.6949828,-3.5540248,True,https://www.idealista.com/inmueble/108550825/,"Se vende preciosa parcela rústica de 715 m² en una exclusiva y tranquila zona natural, muy próxima al núcleo urbano, perfecta para quienes buscan vivir rodeados de naturaleza sin renunciar a la comodidad. La finca cuenta con una vivienda totalmente reformada de 140 m² entre casa principal y porche, lista para entrar a vivir y con calidades de primera. La casa dispone de 2 amplios dormitorios con posibilidad de un tercero, un gran salón luminoso con chimenea, baño completo con espectacular jacuzzi y una cocina moderna totalmente equipada con electrodomésticos de última generación. Toda la vivienda cuenta con suelo porcelánico de alta gama, aires acondicionados nuevos, calefacción eléctrica y grandes ventanales al exterior que inundan la casa de luz natural y permiten disfrutar de las vistas a la sierra. En el exterior, la propiedad ofrece una piscina privada con bomba recién instalada, un agradable porche junto a la vivienda con toldo automático, ideal para relajarse o protegerse del sol, y una segunda construcción independiente de 20 m², perfecta como almacén, taller o espacio polivalente. A la entrada de la finca se encuentra un amplio porche cubierto con capacidad para aparcar hasta 8 coches, y una puerta corredera automática que facilita y asegura el acceso. Además, la finca dispone de pozo propio, un recurso muy valorado para riego omantenimiento de zonas exteriores. Un entorno inmejorable, en plena naturaleza, con tranquilidad absoluta y a pocos minutos del pueblo, lo que hace de esta propiedad una oportunidad única tanto como vivienda habitual como residencia de fin de semana.",False,good,False,,1400.0,False,False,False,False,[],False,False,210000.0,€,chalet,El Molar,"Casa independiente en Diseminado Viejo Madrid Cm, 72",,,,True,True,independantHouse
108732210,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/0c/d8/1353501655.webp,76239,15,6,305000.0,flat,sale,93.0,True,3,1,calle de Ajofrín,Madrid,Madrid,San Blas,es,Amposta,40.4252795,-3.6239138,False,https://www.idealista.com/inmueble/108732210/,"Estupendo piso de 3 habitaciones y 1 baño, en Amposta.  93 m2 construidos. 80 m2 útiles. Orientación Sur - Oeste.  Salón independiente de 20 m2.  Cocina amueblada y equipada.  Calefacción.  Armarios empotrados, suelo de parquet, ventanas de aluminio y puertas de madera.  Ascensor y acceso adaptado a personas con capacidad de movilidad reducida.  NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.  Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no.  INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio.  Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",True,good,False,True,3280.0,False,False,False,False,[],False,False,305000.0,€,flat,"Amposta, Madrid",Piso en calle de Ajofrín,,,,,,
108844096,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/f9/05/1356764868.webp,86125156,6,3,5400000.0,flat,sale,398.0,True,4,1,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4358578,-3.6847255,False,https://www.idealista.com/inmueble/108844096/,"Polo Properties tiene el placer de presentar esta exclusiva vivienda ubicada en la codiciada calle Claudio Coello, en pleno barrio de Salamanca, una de las zonas más exclusivas y demandadas de Madrid. La propiedad se sitúa en la tercera planta de un elegante edificio de los años 60, con una fachada protegida destacada por su dintel coronado por un mosaico artístico. El edificio fue diseñado por un reconocido estudio de arquitectura, y cuenta con un cuidado portal con portero físico. La vivienda cuenta con una superficie construida de 398 m², distribuidos en estancias amplias, funcionales y luminosas. Al ingresar, nos recibe un amplio hall de entrada con suelos de mármol de diseño, que da paso al impresionante salón-comedor de más de 100 m², con acceso directo a una cómoda terraza exterior. La cocina, semi integrada al salón, está separada por elegantes puertas de madera natural y cristal, y ha sido diseñada por un prestigioso estudio especializado en cocinas de alta gama. Dispone de una gran isla central, frente de almacenaje con gran capacidad y electrodomésticos de primeras marcas internacionales. Desde la cocina se accede a una zona independiente de lavandería. La distribución incluye también un aseo de cortesía, una habitación de servicio con baño en suite, un despacho privado y cuatro amplios dormitorios dobles, todos ellos con baño en suite y vestidor integrado. La propiedad incluye dos plazas de garaje en la finca y un trastero. Ubicada en una de las calles más representativas del distrito, la vivienda está rodeada de los mejores restaurantes de Madrid, boutiques de lujo, museos, embajadas y teatros, lo que convierte a esta dirección en una de las más prime de la capital. Actualmente, la vivienda se encuentra en proceso de reforma integral, con finalización prevista en tres semanas, y está disponible para visitas privadas a clientes interesados.",False,good,False,True,13568.0,True,False,False,False,[],False,False,5400000.0,€,flat,"Castellana, Madrid",Piso,,,,,,
