propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,neighborhood,parkingSpace.parkingSpacePrice,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108655800,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/20/12/1351520270.webp,36,1,320000.0,flat,sale,162.0,True,4,2,Espartales,Madrid,Alcalá de Henares,Espartales,es,40.5044463,-3.3692189,False,https://www.idealista.com/inmueble/108655800/,"¡VIVE EN UNA DE LAS MEJORES ZONAS DE ALCALÁ DE HENARES! La oficina de Tecnocasa en Alcalá de Henares te ofrece en exclusiva este fantástico piso en Espartales, una vivienda amplia, luminosa y lista para entrar a vivir. Con 165 m² construidos y 90 m² útiles, este piso se encuentra en una primera planta con ascensor y está adaptado para personas con movilidad reducida, lo que lo convierte en una opción accesible y cómoda para todos. Al entrar, te recibirá un acogedor hall que da paso a un amplio salón con orientación oeste, ideal para disfrutar de tardes soleadas en familia o con amigos. La cocina independiente, completamente amueblada y equipada, cuenta con doble acceso, lo que facilita el día a día. La vivienda dispone de 4 dormitorios, todos con armarios empotrados, y 2 baños completos, uno de ellos en suite, para mayor confort y privacidad. Incluye una plaza de garaje amplia y un trastero, perfectos para ganar espacio y comodidad. Además, disfrutarás de unas zonas comunes privilegiadas, con piscina comunitaria y áreas ajardinadas donde relajarte al aire libre. Ubicada en una zona residencial tranquila, muy bien comunicada, con acceso directo a la autovía A2, y paradas de autobús cercanas que conectan fácilmente con el resto de Alcalá de Henares. Y si necesitas ayuda con la financiación, te ofrecemos la posibilidad de conseguir hasta el 100% del precio de compra a través de nuestro departamento financiero KIRON. ¡No dejes pasar esta oportunidad! Ven a visitar este gran piso en Espartales sin compromiso. ¡Tu nuevo hogar te está esperando!",False,good,False,True,1975.0,False,False,False,False,[],False,False,320000.0,€,True,True,flat,"Espartales, Alcalá de Henares",Piso,,,,,,,,
104699824,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/31/f2/1122483526.webp,17,3,185000.0,flat,sale,50.0,True,2,1,Casco Histórico,Madrid,Alcalá de Henares,Casco Histórico,es,40.4839956,-3.3663099,False,https://www.idealista.com/inmueble/104699824/,"EXCLUSIVAS ALCALA les presenta exclusivo Apartamento en Calle Mayor, pleno centro de Alcalá de Henares (Madrid). El Apartamento dispone de 50 metros construidos, salón con cocina integrada, 2 habitaciones y baño completo con ducha. Disfrute de vivir en el casco histórico de Alcalá de Henares, ciudad patrimonio de la humanidad, con todos los servicios a pie de calle, pero con toda la tranquilidad por la situación de la vivienda, da a la parte trasera del edificio. Sí estas interesado en conocer mas detalles de esta vivienda o concertar una visita, no dudes en contactar. Estaremos encantados de enseñarle el inmueble y/o resolver cualquier duda. EXCLUSIVAS ALCALA, con una dilatada experiencia de más de 30 años, le acompañara en todo el proceso de la Compraventa. disponemos de departamento Jurídico y Financiero. Somos API ( Agentes de la Propiedad Inmobiliaria). Este anuncio no es vinculante y puede contener errores. Se muestra a titulo informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",False,good,False,False,3700.0,False,False,False,False,[],False,False,185000.0,€,,,flat,"Casco Histórico, Alcalá de Henares",Piso,EX03793,,,,,,,
98062396,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/5a/c6/999684085.webp,35,,3400000.0,countryHouse,sale,770.0,,5,5,La Canaleja,Madrid,Galapagar,La Canaleja,es,40.5669427,-3.9856759,False,https://www.idealista.com/inmueble/98062396/,"Finca Los Cerrillos, Galapagar, Madrid. Magnífica propiedad situada en Galapagar, a tan solo 30 minutos del centro de Madrid. La casa principal se asienta sobre una parcela de 160.000 m² en lo alto del Puerto de Galapagar, paraíso natural con clima propio de la zona continental rodeado de abundante vegetación. Su espléndida ubicación, ofrece unas increíbles vistas a toda la sierra madrileña garantizando una calidad de vida insuperable. La vivienda principal fue construida en 1917, su estado es impecable, ya que se renueva constantemente para dotar de todo el confort necesario a todo el recinto. La propiedad está compuesta por las siguientes construcciones: Casa principal (770m²): Descripción: Al entrar en la finca, nos recibe un fabuloso porche que invita al descanso a la paz y al sosiego, sin duda uno de los sitios mas deseados de la vivienda por su orientación, su frescor y el sonido del agua cayendo en la fuente situada en el jardín. Accedemos al interior de la casa, mediante hall de bienvenida que da paso a salón (90m²) con chimenea distribuido en varios ambientes. Esta zona luminosa y entrañable esta dotada de amplios ventanales que inundan la estancia de luz y ofrecen unas vistas inmejorables. En la zona opuesta encontramos zona de comedor (20m²) que da paso a sala de estar (35m²) también con chimenea. La zona de noche está compuesta por cinco amplios dormitorios todos con cuarto de baño en suite. El dormitorio principal tiene vestidor independiente. El área de cocinas, esta distribuida en zona de office, cocina, sala técnica, y dormitorio de servicio con cuarto de baño. Desde esta zona podemos acceder a las zonas ajardinadas de la finca. La vivienda dispone de aseo de invitados. Casa Guardeses (85m²): Distribuida en 3 dormitorios, salón, cocina, cuarto de baño y zona de almacenaje. Además, la finca cuenta con una tercera vivienda hoy convertida en un estudio, con garaje para 2 coches. Amplias zonas ajardinadas rodean la vivienda, la zona destinada a piscina, cuenta con pista de pádel, casita independiente con cuartos de baños completos/vestuarios de señora y caballero, pequeño bar y zona de almacenaje para las tumbonas. Esta zona es especialmente agradable por la vegetación existente y su temperatura, sin olvidar las infinitas vistas a todo Madrid. La propiedad cuenta con Huerto propio para el cultivo ecológico, casita de aperos, bodega y zona destinada a las mascotas que cuidan la finca. Servicio de dos pozos de agua, 3 tomas de agua del Canal de Isabel II así como de un depósito de gas propano para las 2 casas. Increíble oportunidad de disfrutar a diario de un entorno natural privilegiado a tan solo 30 minutos del centro de la capital. Descripción de la ubicación: Galapagar es un municipio del noroeste de la Comunidad de Madrid (España), a 33 kilómetros de la capital de España. Se extiende sobre una superficie de 65 km². Limita con Collado Villalba, Colmenarejo, Torrelodones, Las Rozas de Madrid, El Escorial, San Lorenzo de El Escorial, Villanueva del Pardillo, Hoyo de Manzanares, Moralzarzal y Guadarrama. Está ubicado en las estribaciones de la sierra de Guadarrama. Dentro del municipio se halla parte del Parque Regional del curso medio del río Guadarrama y su entorno, caracterizado por el predominio del bosque mediterráneo y de ribera, así como por la existencia de amplias zonas de pastos. Encinas, enebros, fresnos, jaras, quejígos y pinos se cuentan entre las principales especies vegetales del municipio. Galapagar tiene un clima mediterráneo con estaciones más pronunciadas debido a la altitud y la lejanía del mar. Los inviernos son frescos, mientras que los veranos son muy cálidos.",True,good,False,,4416.0,False,False,False,False,[],False,False,3400000.0,€,True,True,countryHouse,"La Canaleja, Galapagar",Finca rústica,V1118MAC,countryHouse,,,,,,
108836363,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/3f/08/1357129710.webp,41,3,875000.0,flat,sale,75.0,False,2,2,calle del Doctor Juan Bravo,Madrid,Madrid,Fuencarral,es,40.4940974,-3.6889828,False,https://www.idealista.com/inmueble/108836363/,"MONTELI LUXURY REALTY comercializa vivienda de diseño a estrenar en la codiciada calle Juan Bravo En una de las calles más exclusivas del barrio Salamanca, se ubica este espectacular piso completamente reformado con un estilo Japandi-Nórdico, donde la elegancia minimalista se combina con la calidez de los materiales nobles. Con 75 m² útiles, esta vivienda ofrece una distribución moderna y funcional, pensada para aprovechar al máximo la luz natural y generar una sensación de amplitud y armonía. Características destacadas: Salón-comedor y cocina integrados en un espacio abierto y luminoso, con tres grandes ventanales que inundan el área social de luz natural. Cocina abierta de diseño, con mobiliario a medida y una elegante isla central, perfecta como barra de desayuno o zona para recibir invitados. Habitación principal con vestidor (walk-in closet) y baño en suite, diseñada para el máximo confort. Segundo dormitorio, ideal como habitación infantil, de invitados o zona de teletrabajo. Dos baños completos, con acabados modernos y funcionales. Planta alta en finca tranquila, con orientación ideal para disfrutar de luz natural durante todo el día. Esta vivienda es perfecta para quienes buscan una propiedad con personalidad, acabados de alta calidad y una ubicación privilegiada en el corazón de Madrid. Una oportunidad única para estrenar hogar en Juan Bravo, con diseño, estilo y calidad de vida.",False,good,False,True,11667.0,False,False,False,False,[],False,False,875000.0,€,,,flat,"Tres Olivos - Valverde, Madrid",Piso en calle del Doctor Juan Bravo,000234,,Tres Olivos - Valverde,,,,,
108313532,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/aa/f1/1341933613.webp,21,4,210000.0,flat,sale,60.0,True,2,1,Montserrat - Parque Empresarial,Madrid,San Fernando de Henares,Montserrat - Parque Empresarial,es,40.42719,-3.5323238,False,https://www.idealista.com/inmueble/108313532/,"¡TECNOCASA VENDE, tu nuevo hogar en San Fernando de Henares! Ubicado en un entorno privilegiado, este inmueble ofrece una excelente comunicación con las principales vías como M-50, M-21 y A-2, facilitando tus desplazamientos diarios. En los alrededores, encontrarás todo lo que necesitas: colegios, farmacias, restaurantes y hospitales, haciendo de este lugar una opción ideal para familias. ¡No dejes pasar la oportunidad de vivir en un lugar tan especial! Este encantador piso de 59 m² construidos es el lugar perfecto para disfrutar de la tranquilidad y comodidad que siempre has deseado. El amplio salón, bañado en luz natural, se convierte en el corazón del hogar, ideal para compartir momentos inolvidables. Desde aquí, accedes a una encantadora terraza donde podrás relajarte al aire libre. Además, cuenta con dos cómodos dormitorios luminosos, perfectos para descansar y recargar energías. El cuarto de baño, reformado y equipado con plato de ducha, añade un toque de confort a tu rutina diaria. La cocina, completamente amueblada y equipada, es un espacio funcional donde podrás dar rienda suelta a tu creatividad culinaria, conectado con el salón y una práctica terraza tendedero para mayor comodidad. Este piso, en TOTALMENTE REFORMADO y construido en 1965, se encuentra en la cuarta planta con ascensor, lo que garantiza un acceso fácil y cómodo. Recuerda que con nuestro departamento financiero Kiron podemos conseguir hasta el 100% de financiación! ¡No pierda la oportunidad y venga a visitarlo!",False,good,False,True,3500.0,False,False,False,False,[],False,False,210000.0,€,,,flat,"Montserrat - Parque Empresarial, San Fernando de Henares",Piso,,,,,,,,
104486130,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/61/a4/1222103807.webp,3,1,1290000.0,flat,sale,201.0,True,4,3,Barrio Palacio,Madrid,Madrid,Centro,es,40.4174657,-3.7111689,False,https://www.idealista.com/inmueble/104486130/,"Belton Real Estate ofrece en venta vivienda totalmente reformada. Se trata de un inmueble con una superficie amplia de 201 metros cuadrados, distribuidos en una terraza y patio que brindan luz y comodidad; cocina independiente, salón-comedor, cuatro habitaciones y tres baños.  La finca dispone de ascensor y conserje. Se localiza en una zona que cuenta con gran cantidad de edificios históricos, puntos turísticos, tiendas y lugares de ocio y entretenimiento, así como conexiones múltiples de medios de transporte. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,True,6418.0,False,False,False,False,[],False,False,1290000.0,€,,,flat,"Palacio, Madrid",Piso,,,Palacio,,,,,
108612865,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2e/58/87/1350837565.webp,7,3,245000.0,flat,sale,64.0,True,2,1,"CL MARQUESA DE SILVELA, 14",Madrid,Madrid,Usera,es,40.3859254,-3.7142513,True,https://www.idealista.com/inmueble/108612865/,"SIN HONORARIOS DE INTERMEDIACIÓN Descubre este espacioso piso de 84 m² construidos, ubicado junto a Plaza Elíptica. Con 2 amplios dormitorios y un baño, este inmueble es ideal para quienes buscan un hogar que puedan personalizar a su gusto.  Además, el edificio cuenta con ascensor y está muy bien comunicado por transporte público, lo que facilita el acceso a toda la ciudad.   ¡La oferta más alta se llevará este fantástico piso! Recuerda que, aunque el inmueble necesita reformas, su ubicación y potencial son inigualables. ¡Ven a verlo y empieza a imaginar tu nuevo hogar!",True,renew,False,True,3828.0,False,False,False,False,[],False,False,245000.0,€,,,flat,"Moscardó, Madrid","Piso en Cl Marquesa De Silvela, 14",1755099,,Moscardó,,,,,
107862833,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/2e/a6/1345277220.webp,38,bj,660000.0,flat,sale,210.0,True,3,2,calle Cacabelos,Madrid,Madrid,Hortaleza,es,40.4848207,-3.6324123,False,https://www.idealista.com/inmueble/107862833/,"Gestión de Intermediación Patrimonial ALMANZOR: Pone a la venta parcela de 300 m2 con chalet en división horizontal constando de planta baja, planta bajo rasante en total unos 170 M2 construidos; y parte proporcional de parcela (150m2). En planta calle esta distribuida en hall recibidor, cocina amueblada, baño completo auxiliar, 2 dormitorios dobles, 1 dormitorio de matrimonio con baño en suite, despacho, salón, pasillo de distribución. Planta bajo rasante muy amplia, se puede usar como garaje con bodega y zona de ocio. ( ESTA VIVIENDA ES UN CHALET QUE SE REALIZO DIVISION HORIZONTAL Y DECLARACION DE OBRA NUEVA). Vivienda con calefacción individual de gas natural con radiadores en las estancias, carpintería exterior de aluminio anodizado lacado en blanco y cristal climalit, rejas en ventanas, fachada en cotegran con china color crema, aire acondicionado, suelos cerámicos de gres, puerta de acceso a vivienda blindada de hierro, puertas de paso de roble, armarios empotrados, la vivienda se encuentra en un estado optimo y fantástica orientación. Al ser división horizontal el suelo pertenece al 50% a las 2 propiedades, el garaje pertenece a la planta baja al igual que la piscina y todo el terreno es exclusivo de la planta baja, quedando todo por escrito en las escrituras. Destacamos también su inmejorable ubicación en la zona norte de Madrid en auge donde esta programado el circuito de formula 1 de Madrid, líneas de autobuses 174, 171, BR1, 87, a 10 minutos de estaciones de Metro Madrid San Lorenzo y Mar de Cristal, parque Felipe VI, Parque Juan Carlos I, comercios cercanos en Valdebebas y barrio de Hortaleza. Fácil comunicación a carreteras como A-1, M-40, M-30, R-2, M-11, M-12, etc, a 10 minutos del aeropuerto de Barajas Adolfo Suarez. Ofrecemos a nuestros clientes asesoramiento financiero gratuito para realizarles un estudio económico acorde con sus necesidades y posibilidades. Para mas información póngase en contacto con nosotros para realizar una visita sin compromiso.",False,good,False,False,3143.0,False,False,False,False,[],False,False,660000.0,€,True,True,flat,"Valdebebas - Valdefuentes, Madrid",Piso en calle Cacabelos,,,Valdebebas - Valdefuentes,,,,,
106863586,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/af/b5/1296214906.webp,65,4,1500000.0,flat,sale,238.0,True,4,3,calle Mayor,Madrid,Madrid,Centro,es,40.4167697,-3.7121314,False,https://www.idealista.com/inmueble/106863586/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este espectacular piso de 238 m² te ofrece una experiencia única en la emblemática calle Mayor. Situado en un edificio representativo, ocupa toda la planta del edificio, garantizando tranquilidad y privacidad al no tener vecinos directos. La orientación sur proporciona una luminosidad inigualable, con vistas impresionantes hacia la Plaza de la Villa y el oeste de Madrid. El salón y el dormitorio principal disfrutan de una ubicación privilegiada con grandes ventanales que inundan el espacio de luz natural. Un segundo dormitorio con baño y un salón estudio ofrecen vistas al patio central, al que también se abren unas grandes cristaleras que dan más luz a la vivienda; mientras que la cocina y los demás dormitorios miran hacia un patio medianero, asegurando un ambiente sereno y acogedor. Ubicado en la zona histórica de la ciudad, estarás a un paso de la Plaza de Oriente, el Palacio Real, la Catedral de la Almudena, la Plaza Mayor y la Puerta del Sol. Esta propiedad combina historia y modernidad con calefacción porgas natural y balcones para disfrutar del aire libre. Además, cuenta con una plaza de garaje opcional por 15.000 € adicionales. No pierdas la oportunidad de vivir en el epicentro cultural de Madrid. ¡Ven a visitarlo!",False,good,False,True,6303.0,False,False,False,False,[],False,False,1500000.0,€,True,False,flat,"Palacio, Madrid",Piso en calle Mayor,,,Palacio,15000.0,,,,
108883679,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/c0/77/1357874182.webp,4,9,179900.0,flat,sale,79.0,True,3,2,"CL CALLAO, 55",Madrid,Fuenlabrada,La Avanzada - La Cueva,es,40.2938754,-3.7861791,True,https://www.idealista.com/inmueble/108883679/,"Inmueble de Subasta Judicial en Cesión de Remate. Fuenlabrada. Piso con una superficie de 79 m², esta vivienda cuenta con 3 dormitorios y 2 baños. Está situada en una zona residencial consolidada, rodeada de servicios, comercios y transporte público. La adquisición se realizará exclusivamente a través del proceso de Subasta Judicial. El precio publicado es una orientación del posible valor de adjudicación. Toda la información está disponible públicamente en el Boletín Oficial del Estado. Nota: •No es posible hipotecar el inmueble •Inmueble no visitable.",False,good,False,True,2277.0,False,False,False,False,[],False,False,179900.0,€,,,flat,"La Avanzada - La Cueva, Fuenlabrada","Piso en Cl Callao, 55",TR0254956,,,,,,,
