propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,highlight.groupDescription
108130796,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/66/03/1334778547.webp,NP0605251503,15,4,365000.0,flat,sale,124.0,True,4,2,calle Barberán y Collar,Madrid,Alcalá de Henares,El Pilar - Bripac,es,40.5002514,-3.3460762,False,https://www.idealista.com/inmueble/108130796/,"NEO Patrimonial ofrece piso en Alcalá de Henares. 4º exterior con ascensor. El inmueble consta de 124m² de superficie construida según catastro, de los cuales 104m² corresponden a la vivienda, 6 m² a la zona de almacén y 14m² a los elementos comunes. Dispone de salón-comedor muy amplio y luminoso con acceso a terraza, cocina independiente totalmente amueblada con terraza lavadero, 4 dormitorios con armarios empotrados y 2 baños. Carpintería exterior de aluminio con doble ventana climalit, carpintería interior de madera y suelos de cerámica. Agua caliente y calefacción por caldera de gas natural. Aire acondicionado y puerta blindada. Todos los servicios de primera necesidad al alcance: Colegios, Centros de Salud, Farmacias, Supermercados, Pequeño Comercio, etc. A pocos minutos de parada de tren. Autobús urbano en las inmediaciones. *Impuestos ITP o IVA y gastos, notaría, registro, gestoría etc. no incluidos. NEO Patrimonial le ofrece la posibilidad de hacer cualquier tipo de reforma de esta vivienda al mejor precio.",False,good,False,True,2944.0,False,False,False,False,[],False,False,365000.0,€,flat,"El Pilar - Bripac, Alcalá de Henares",Piso en calle Barberán y Collar,,,,,,
107267836,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/4b/bb/1324105829.webp,45600,48,bj,197400.0,flat,sale,52.0,True,1,1,calle de Santoña,Madrid,Madrid,Usera,es,40.3825542,-3.7144118,False,https://www.idealista.com/inmueble/107267836/,"¡Descubre tu nuevo hogar en Calle de Santoña! Si buscas un espacio acogedor, reformado y bien ubicado en Madrid, esta es tu oportunidad. Este magnífico inmueble de 80 m² en total combina confort y funcionalidad en una zona con excelente proyección. Ubicación: Calle de Santoña, 28026, Madrid Precio de venta: 198.000 € (2.475 €/m²) Superficie total: 80 m² Vivienda: 45 m² Sótano de uso privativo: 35 m² Dormitorios: 1 Baños: 1 Año de construcción: 1970 Gastos de comunidad: 30 €/mes Un hogar reformado y listo para entrar a vivir Este piso es ideal para quienes buscan comodidad y estilo en un espacio bien aprovechado. Dispone de: Salón luminoso, perfecto para relajarte tras un día ajetreado. Cocina americana equipada y amueblada, lista para que disfrutes desde el primer momento. Baño reformado con plato de ducha y mampara, moderno y funcional. Paredes lisas y suelos de tarima, que aportan un toque contemporáneo y acogedor. Calefacción eléctrica, eficiente y de bajo consumo. Además, cuenta con un sótano de 35 m², un espacio extra que puedes aprovechar como trastero, zona de trabajo, sala de juegos o lo que necesites. Ubicación privilegiada en Usera Situado en Usera, un barrio en constante crecimiento, con una excelente oferta de servicios y conexiones. Comercios y servicios: supermercados, tiendas locales, farmacias, colegios y centros de salud a pocos minutos. Zonas verdes: cerca del Parque de Príncipes y otros espacios al aire libre ideales para desconectar. Ocio y cultura: restaurantes, cafeterías, gimnasios, bibliotecas y actividades culturales a tu alcance. Excelentes comunicaciones Metro: Almendrales (Línea 6, circular) a pocos minutos. Autobuses: Líneas 6 (circular), 60, 81 y N15 (nocturno), que conectan con el centro de Madrid. No dejes pasar esta oportunidad. Un piso reformado, con espacio adicional y en una ubicación estratégica por menos de 2.500 €/m². Contacta ahora y agenda tu visita. ¡Este puede ser tu próximo hogar!",True,good,False,False,3796.0,False,False,False,False,[],False,False,197400.0,€,flat,"Zofío, Madrid",Piso en calle de Santoña,Zofío,,,,,
101749100,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/44/c3/1218879943.webp,VI-000-030-684-656,25,1,273000.0,flat,sale,106.0,,4,2,Loranca,Madrid,Fuenlabrada,Loranca,es,40.2969533,-3.8303651,False,https://www.idealista.com/inmueble/101749100/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 11/2029.  Amplio piso en Fuenlabrada, Madrid, perfecto para familias. La vivienda consta de 105 m² construidos distribuidos en cuatro habitaciones, salón-comedor, cocina y dos aseos. Localizado en el centro de Fuenlabrada, en sus alrededores encontramos la Escuela Infantil Gallipatos, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de metro Loranca. Cuenta con fácil acceso a M-407.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,2575.0,True,False,True,False,[],False,False,273000.0,€,flat,"Loranca, Fuenlabrada",Piso,,,,,,
107248489,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/5a/77/1307354075.webp,CH415,76,,310000.0,chalet,sale,135.0,,3,1,travesía San Sebastián,Madrid,Navalagamella,,es,40.470726,-4.1225525,False,https://www.idealista.com/inmueble/107248489/,"INMOBILIARIA BRAVO VENDE CHALET INDEPENDIENTE, en casco urbano de Navalagamella, en bonita zona muy tranquila y con bonitas vistas, y además muy cercano a zona de servicios y comercio de la localidad.  Chalet muy cómodo, todo en una planta, con trastero amplio en zona inferior. Amplia parcela (320m2) muy llanita y cómoda, prácticamente toda solada y ajardinada en su perímetro. Piscina de obra en perfecto funcionamiento, con lona de invernaje. En la vivienda, todo en planta, 3 dormitorios y un baño completo que da servicio, cocina y salón comedor.  Cabe la posibilidad de levantar una planta mas, por normativa municipal. Es una vivienda con muchas posibilidades y de muy fácil manejo. Aire acondicionado frio/calor por conductos en todas las estancias de la vivienda otorgando gran confortabilidad a la vivienda. En el exterior también se cuenta con una pérgola fija ideal para cenar en verano. El tejado ha sido renovado en 2021, asegurando la no existencia de goteras y humedades. La lona de invierno de la piscina también es nueva. Y cuanta con persianas de seguridad.",False,good,False,,2296.0,False,False,False,False,[],False,False,310000.0,€,chalet,Navalagamella,Casa independiente en travesía San Sebastián,,independantHouse,,,,
107862833,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/2e/a6/1345277220.webp,,38,bj,660000.0,flat,sale,210.0,True,3,2,calle Cacabelos,Madrid,Madrid,Hortaleza,es,40.4848207,-3.6324123,False,https://www.idealista.com/inmueble/107862833/,"Gestión de Intermediación Patrimonial ALMANZOR: Pone a la venta parcela de 300 m2 con chalet en división horizontal constando de planta baja, planta bajo rasante en total unos 170 M2 construidos; y parte proporcional de parcela (150m2). En planta calle esta distribuida en hall recibidor, cocina amueblada, baño completo auxiliar, 2 dormitorios dobles, 1 dormitorio de matrimonio con baño en suite, despacho, salón, pasillo de distribución. Planta bajo rasante muy amplia, se puede usar como garaje con bodega y zona de ocio. ( ESTA VIVIENDA ES UN CHALET QUE SE REALIZO DIVISION HORIZONTAL Y DECLARACION DE OBRA NUEVA). Vivienda con calefacción individual de gas natural con radiadores en las estancias, carpintería exterior de aluminio anodizado lacado en blanco y cristal climalit, rejas en ventanas, fachada en cotegran con china color crema, aire acondicionado, suelos cerámicos de gres, puerta de acceso a vivienda blindada de hierro, puertas de paso de roble, armarios empotrados, la vivienda se encuentra en un estado optimo y fantástica orientación. Al ser división horizontal el suelo pertenece al 50% a las 2 propiedades, el garaje pertenece a la planta baja al igual que la piscina y todo el terreno es exclusivo de la planta baja, quedando todo por escrito en las escrituras. Destacamos también su inmejorable ubicación en la zona norte de Madrid en auge donde esta programado el circuito de formula 1 de Madrid, líneas de autobuses 174, 171, BR1, 87, a 10 minutos de estaciones de Metro Madrid San Lorenzo y Mar de Cristal, parque Felipe VI, Parque Juan Carlos I, comercios cercanos en Valdebebas y barrio de Hortaleza. Fácil comunicación a carreteras como A-1, M-40, M-30, R-2, M-11, M-12, etc, a 10 minutos del aeropuerto de Barajas Adolfo Suarez. Ofrecemos a nuestros clientes asesoramiento financiero gratuito para realizarles un estudio económico acorde con sus necesidades y posibilidades. Para mas información póngase en contacto con nosotros para realizar una visita sin compromiso.",False,good,False,False,3143.0,False,False,False,False,[],False,False,660000.0,€,flat,"Valdebebas - Valdefuentes, Madrid",Piso en calle Cacabelos,Valdebebas - Valdefuentes,,True,True,,
108664900,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/b5/e0/1351525628.webp,,23,3,179000.0,flat,sale,70.0,True,3,1,calle Santander,Madrid,Alcorcón,Centro,es,40.3425287,-3.8300784,False,https://www.idealista.com/inmueble/108664900/,"GARANTÍA INMOBILIARIA VENDE vivienda ubicada en el centro de ALCORCÓN para reformar a tu gusto. La vivienda consta de salón-comedor, cocina, 1 baño, 3 dormitorios y terraza abierta. El inmueble tiene una superficie de 70m2 construidos, de los cuales 67m2 son de vivienda y 3m2 de elementos comunes.  Instalaciones:  - Suelo cerámico - Puertas sapelly - Paredes gotelé  - Cocina con tendedero - Baño completo con ventilación  - Ventanas correderas aluminio - Terraza abierta  Tiene una ubicación excepcional, situado en el núcleo urbano de Alcorcón donde podrás encontrar todo lo que necesites a un solo paso. Cuenta con bares y restaurantes, parques, todo tipo de comercios, centro de salud, colegios e institutos, farmacias y bancos. ¡FINANCIACIÓN HASTA UN 100%! No dude en ponerse en contacto con nosotros y venga a visitarla sin ningún compromiso. GARANTÍA INMOBILIARIA, PROTEGEMOS TU FUTURO.",False,renew,False,False,2557.0,False,False,False,False,[],False,False,179000.0,€,flat,"Casco Antiguo, Alcorcón",Piso en calle Santander,Casco Antiguo,,,,,
107888947,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/fa/5b/1328677200.webp,,34,1,389000.0,duplex,sale,183.0,True,4,3,Brunete,Madrid,Brunete,,es,40.4030266,-4.000579,False,https://www.idealista.com/inmueble/107888947/,"Dúplex de 180 m2 aproximadamente en venta en el centro urbano de Brunete, con la ventaja de estar situado en una zona residencial tranquila y contar con todos los servicios cercanos (parada de bus, colegio, supermercado.. . ) La vivienda actualmente cuenta con cuatro habitaciones pero existe la posibilidad de incluso ampliar hasta a seis dormitorios, dada su gran amplitud y su versatilidad. También hay que destacar la luz natural que tiene la vivienda y, sobre todo, su comodidad ya que, por su distribución, permite hacer vida en la planta baja de la casa. En la planta de entrada de la vivienda encontramos: el distribuidor; una amplia cocina con zona de office incorporada y con una terraza-tendedero acristalada donde se encuentra la caldera de gas natural; un gran salón-comedor con un balcón; un baño completo con bañera; un dormitorio individual con capacidad para dos camas; un amplio dormitorio principal en suite con baño completo con plato de ducha y vestidor incorporados; y una despensa o trastero aprovechando el hueco de la escalera de subida a la planta superior. En la planta superior (bajo cubierta): dos habitaciones; un gran salón y un baño completo. La vivienda incluye en el precio una plaza de garaje en el mismo edificio. ¡MEJOR VER! LLÁMENOS PARA VISITARLA SIN COMPROMISO. NO COBRAMOS HONORARIOS A LA PARTE COMPRADORA.",False,good,False,False,2126.0,False,False,False,False,[],False,False,389000.0,€,flat,Brunete,Dúplex,,duplex,True,True,,
108566830,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/c1/d5/1348656869.webp,3529-00317,12,bj,159272.0,flat,sale,45.0,True,1,1,calle de Zabalza,Madrid,Madrid,San Blas,es,40.4296494,-3.6262258,False,https://www.idealista.com/inmueble/108566830/,"Remax Hunter ofrece atractiva vivienda, ideal para comenzar la andadura de obtener la primera propiedad a un precio muy ajustado. Exterior, totalmente reformada y muy acogedora, con aprovechamiento del espacio excelente y muy buena distribución. Vivienda muy luminosa. Buenas calidades, zona muy bien comunicada con todos los servicios cotidianos necesarios a mano. Metro y Bus muy cercanos, Zonas verdes en la puerta, podemos disfrutar del excelente parque de el Paraíso nada más salir de la vivienda, un privilegio y calidad de vida en el centro de Madrid. Asesoramiento financiero gratuito, te podemos conseguir la mejor financiación. Esperamos tu visita!",False,good,False,True,3539.0,False,False,False,False,[],False,False,159272.0,€,flat,"Simancas, Madrid",Piso en calle de Zabalza,Simancas,,,,,
108667373,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/5c/3d/1351600686.webp,CERTOR25,27,2,264900.0,flat,sale,80.0,True,4,2,calle de Cervantes,Madrid,Torrejón de Ardoz,Noroeste,es,40.4562405,-3.4763708,False,https://www.idealista.com/inmueble/108667373/,"KasaDirect Servicios Inmobiliarios VENDE PISO en el centro de Torrejón de Ardoz.  Se trata de un piso exterior de 80m2 que se encuentra en una Segunda Planta CON ASCENSOR y que dispone de: - 4 Dormitorios, el principal con Aire Acondicionado y baño completo. - Salón Comedor con Aire Acondicionado. - Amplia cocina amueblada. - Baño completo para invitados. - Trastero. Ademas dispone de: - Calefacción Gas Natural Individual. - Puerta Blindada. - Suelos de Parquét. - Luz Natural. - Patio comunitario. La ZONA CENTRO de Torrejón de Ardoz cuenta con todos los servicios (Bancos, Centros de Salud, Colegios e Institutos, Supermercados, Transporte Publico,. ) Se encuentra a 2 minutos de la plaza mayor, a 3min de la Estación de Renfe y cuenta con un excelente enlace a la NII.  Llámanos para obtener mas información. Realiza tu oferta y la estudiaremos. KasaDirect Servicios Inmobiliarios realiza ESTUDIOS FINANCIEROS GRATUITOS.",False,good,False,True,3311.0,False,False,False,False,[],False,False,264900.0,€,flat,"Noroeste, Torrejón de Ardoz",Piso en calle de Cervantes,,,,,,
106518782,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/02/80/1310900818.webp,C-OLIVOS,58,,850000.0,chalet,sale,247.0,,4,6,Coimbra - Guadarrama,Madrid,Móstoles,Coimbra - Guadarrama,es,40.3018371,-3.9294579,False,https://www.idealista.com/inmueble/106518782/,"Venta Plus pone a tu disposición este espectacular, luminoso y amplio chalet. La vivienda está construida sobre una parcela de1.000 m2. Goza de ascensor y cómodas escaleras. Dispone de porche techado de 36 m2, y una zona de barbacoa con fregadero y piscina privada de 8x4 metros. Se puede llegar al porche y jardín con el ascensor particular para romper barreras arquitectónicas. Toda la planta baja es diáfana con 97 m2 en total, en el que poder aparcar hasta 4 coches. Accedemos a la planta principal de 84 m2 donde nos encontramos con un maravilloso salón con chimenea y acceso a la cocina. El garaje cuenta con puerta automática. En la misma estancia se encuentra el cuarto de lavandería. En la planta primera de 70 m2, encontramos 4 dormitorios, todos con cuarto de baño y dos de ellos con salida a la terraza.  La buhardilla de 40 m2 y forrada en madera y dos ventanas. La calefacción es de suelo radiante de agua caliente por caldera de Gasoil, barbacoa de obra, muros perimetrales de obra y celosía de madera.  Asesora de zona: Mª Ángeles López  ¡No lo dudes mas y ven a ver esta magnifica vivienda!",False,good,False,,3441.0,False,False,False,False,[],False,False,850000.0,€,chalet,"Coimbra - Guadarrama, Móstoles",Casa independiente,,independantHouse,True,True,,
