propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108453865,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/2e/eb/1345364268.webp,17,4,285000.0,flat,sale,75.0,True,3,1,calle de San Donato,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4238147,-3.6584313,False,https://www.idealista.com/inmueble/108453865/,"TECNOCASA MARQUÉS DE CORBERA VENDE; calle San Donato, 75m2, distribuidos en 3 dormitorios, salón, cocina, baño completo, 2 terrazas exteriores y trastero. El ascensor esta aprobado, se esta pagando la derrama desde principios de 2025. El edificio está situado a escasos metros de la calle Ricardo Ortiz, con todos los servicios a tu alcance: centro comercial, supermercados, colegios, centros médicos y transporte público (metro línea 2 y autobuses). Además, su proximidad a parques y zonas verdes añade un valor añadido para los amantes de la naturaleza. Si buscas un hogar cómodo y bien ubicado en Madrid, esta es tu oportunidad. ¡Contacta con nosotros para más información o para concertar una visita!",False,renew,False,False,3800.0,False,False,False,False,[],False,False,285000.0,€,flat,"Ventas, Madrid",Piso en calle de San Donato,,,,,,,,,
107793204,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/14/e6/1323913794.webp,18,2,259900.0,studio,sale,38.0,False,0,1,calle de Bravo Murillo,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4413696,-3.7045471,False,https://www.idealista.com/inmueble/107793204/,"Agencia inmobiliaria de Madrid zona Chamberi - Rios Rosas Tecnocasa GESTION INMOBILIARIA CHAMBERI SLU: EN VENTA: Calle BRAVO MURILLO. Estudio en 2ª planta interior, RECIEN REFORMADO, A ESTRENAR, con cuarto de baño completo con plato de ducha y cocina equipada. Disponibilidad del piso inmediata. Excelente zona en pleno barrio céntrico de Chamberí, muy bien comunicado, en una de las principales calles del emblemático barrio de Chamberí, muy próximo a calles principales como Ríos Rosas, Santa Engracia, José Abascal y Cea Bermúdez. Dispone de todos los servicios a tu alcance colegios, farmacias, restaurantes, ocio.. . además de zonas verdes como el Parque del Canal y Parque de Santander. Parada de metro de Cuatro Caminos, Rios Rosas y Canal a menos de 500 metros. Desde Tecnocasa contamos con departamento financiero propio. Podemos conseguir hasta el 100% de financiación para la compra de cualquier inmueble. No dudes en contactar con nosotros para solicitar más información, y, ¡ven a verlo! PARA CUALQUIER INFORMACIÓN PRESENCIAL ESTAMOS DISPONIBLES EN LAS OFICINA TECNOCASA UBICADA EN CALLE BRAVO MURILLO 71.",False,good,False,False,6839.0,False,False,True,False,[],False,False,259900.0,€,flat,"Vallehermoso, Madrid",Estudio en calle de Bravo Murillo,CH - 4,studio,,,,,,,
108584851,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/dc/c2/1349173589.webp,34,1,495000.0,flat,sale,147.0,True,4,2,calle de Ocaña,Madrid,Madrid,Latina,es,Aluche,40.3853503,-3.7553409,False,https://www.idealista.com/inmueble/108584851/,"INMOBILIARIA CASLAHOME te ofrece, tu nuevo hogar en este espectacular piso de 124 m² totalmente reformado! Situado en una zona tranquila y con todos los servicios a un paso, este piso es perfecto para quienes buscan comodidad y estilo. Al entrar, te recibe un hall con armario que da paso a un amplio salón dividido en dos ambientes: una acogedora zona de comedor y un elegante salón. La terraza, equipada con armarios trastero, es ideal para disfrutar del aire libre. La cocina office, también reformada, está completamente amueblada y lista para inspirar tus mejores recetas. El piso cuenta con cuatro dormitorios, destacando la impresionante suite con baño completo que incluye bañera y mampara. El segundo baño, con plato de ducha, garantiza la comodidad de toda la familia. Los suelos de tarima flotante y las puertas lacadas en blanco aportan un toque moderno y sofisticado. Además, el aire acondicionado por conductos asegura el confort durante todo el año. La propiedad incluye plaza de garaje y acceso adaptado para personas con movilidad reducida. Con una orientación este que garantiza luz natural y un jardín comunitario para disfrutar del entorno, este piso es una oportunidad única. A tan solo 400 metros encontrarás colegios, supermercados y la estación de metro Eugenio de Montijo. No dejes pasar esta oportunidad de vivir en un lugar donde el confort y la calidad de vida están asegurados. ¡Ven a verlo y enamórate de tu futuro hogar!",False,good,False,True,3367.0,False,False,True,False,[],False,False,495000.0,€,flat,"Aluche, Madrid",Piso en calle de Ocaña,,,True,True,,,,,
108421708,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/19/9f/1344400948.webp,25,3,249900.0,flat,sale,95.0,True,2,1,AV ENSANCHE DE VALLECAS,Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3660725,-3.6015516,False,https://www.idealista.com/inmueble/108421708/,"SOLO MENSAJES Este espectacular piso es el lugar ideal para disfrutar de la vida en un entorno cómodo y acogedor. Con una distribución perfecta, cada rincón está bañado en luz natural gracias a sus grandes ventanales.  Cuenta con dos dormitorios con armarios empotrados, ideales para descansar y relajarse, y un salón de paso que se integra con una cocina funcional, creando un espacio perfecto para compartir momentos inolvidables. El cuarto de baño está equipado con bañera, ofreciendo un espacio perfecto para desconectar después de un largo día. Además, el pequeño tendedero es ideal para mantener todo en orden.  Los suelos de tarima y las ventanas de climalit aseguran un excelente aislamiento y confort térmico durante todo el año. Ubicado en una zona consolidada, tendrás todos los servicios y transportes a tu alcance, así como amplias zonas verdes para disfrutar de la naturaleza. La calefacción por gas natural garantiza un ambiente cálido y acogedor en invierno. Este piso, en perfecto estado y listo para entrar a vivir, incluye una plaza de garaje en el precio, lo que añade aún más comodidad a tu día a día. ¡No dejes pasar esta oportunidad y ven a visitarlo!",False,good,False,True,2631.0,False,False,False,False,[],False,False,249900.0,€,flat,"Ensanche de Vallecas - La Gavia, Madrid",Piso en Av Ensanche De Vallecas,,,True,True,,,,,
108421556,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/c3/a6/1344389728.webp,19,1,350000.0,flat,sale,42.0,True,1,1,calle de Abel,Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4496767,-3.7069535,False,https://www.idealista.com/inmueble/108421556/,"PISO CON GARAJE.(no en el mismo edificio) amueblado. PRECIOSO PISO TOTALMENTE EQUIPADO, ELECTRODOMÉSTICOS A+, MOBILIARIO EE CALIDAD, MODERNO, BAÑO AMPLIO, ARMARIO EMPOTRADO, PARA ENTRAR Y COMENZAR A VIVIR UNA NUEVA ETAPA EN LA MEJOR UBICACIÓN... ANIMATE Y VEN A VISITAR... EDIFICIO SINGULAR. IDEAL por SU UBICACION, luminoso y bien distribuido aprovechando cada rincón con muy buen gusto. Comienza esa nueva etapa de tu vida en este precioso apartamento amueblado, totalmente reformado en pleno centro de Madrid. Tiene ventanas de climalit muy amplias, luminoso por lo que el piso es realmente muy alegre. Edificio muy bien conservado y cuidado. Dispone de cocina totalmente amueblada y equipada con todos los electrodomésticos, 1 baño completo también completamente nuevo. 1 habitación amplia con armario muy amplio y sala de estar, tranquilo y luminoso. ES IMPORTANTE SABER QUE: Está situado muy cercano a calles emblemáticas como Bravo Murillo, Reina Victoria o Raimundo Fernández Villaverde. en una de las mejores zonas de Madrid.  Bellas Vistas es uno de los barrios que componen el distrito de Tetuán, en el noroeste de Madrid. Sus límites son, por el norte, la calle de Francos Rodríguez; por el este, la calle de Bravo Murillo; por el sur, la avenida de la Reina Victoria; y, por el oeste, la avenida de Pablo Iglesias, la avenida del Doctor Federico Rubio y Galí, y la calle de Numancia. Hay una buna conexión de autobuses y de metro (Alvarado, Estrecho y Francos Rodríguez). "" COMUNICACIONES: Tiene numerosas posibilidades de transporte público debido a su cercanía a estaciones de metro como el Alvarado y Cuatro Caminos.  Contando además con numerosas líneas de buses: 3, 45, 64, 128, 149, N23, entre otras.  No obstante, si se desplaza en coche, llegará con facilidad a la A-II, a la carretera de circunvalación M-30 y por lo tanto al aeropuerto de la capital, Adolfo Suárez Madrid-Barajas.  Además podrá llegar en escasos minutos a puntos comerciales y turísticos de gran importancia como Sol, Goya, Manuel Becerra, entre otros gozando de infinidades de comercios y servicios. COMERCIO Y SERVICIOS: Posibilidad de pasear por zonas comerciales en cuatro caminos, a un paso de calle Orense y centro comerciales de prestigio. OCIO: A pocos minutos de cuatro caminos y al Norte zona Bernabeu, área de ocio que cuenta con cines y una variada oferta de hostelería y comercio al que podrás llegar andando. COLEGIOS Y UNIVERSIDADES: La oferta educativa es muy amplia en esta zona, contando con prestigiosos colegios públicos y privados de enseñanza primaria y media, asi como posibilidad de ir andando a ciudad Universitaria. HOSPITALES: A unos minutos de hospital de la Cruz Roja San Jose, y hospitales como san Francisco de Asis, hospital La Luz y Santa Elena. Honorarios no incluidos.",False,good,False,False,8333.0,False,False,False,False,[],False,False,350000.0,€,flat,"Bellas Vistas, Madrid",Piso en calle de Abel,,,True,True,,,,,
104486130,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/61/a4/1222103807.webp,3,1,1290000.0,flat,sale,201.0,True,4,3,Barrio Palacio,Madrid,Madrid,Centro,es,Palacio,40.4174657,-3.7111689,False,https://www.idealista.com/inmueble/104486130/,"Belton Real Estate ofrece en venta vivienda totalmente reformada. Se trata de un inmueble con una superficie amplia de 201 metros cuadrados, distribuidos en una terraza y patio que brindan luz y comodidad; cocina independiente, salón-comedor, cuatro habitaciones y tres baños.  La finca dispone de ascensor y conserje. Se localiza en una zona que cuenta con gran cantidad de edificios históricos, puntos turísticos, tiendas y lugares de ocio y entretenimiento, así como conexiones múltiples de medios de transporte. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,True,6418.0,False,False,False,False,[],False,False,1290000.0,€,flat,"Palacio, Madrid",Piso,,,,,,,,,
108878013,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/82/cf/1357710799.webp,18,4,220000.0,flat,sale,78.0,True,3,1,calle de Emilio Martín Encinas,Madrid,Coslada,Coslada Pueblo,es,,40.4235504,-3.56428,False,https://www.idealista.com/inmueble/108878013/,"Precio final piso de liquidación bancaria, sin comisiones, directo de banco, con financiación hasta el 90% de la compra, 4 PLANTA CON ASCENSOR  increíble inmueble con terraza en comunidad tranquila,  Es un inmueble ideal para invertir, al estar al lado del metro y cercanias de Coslada Central este tipo de inmuebles se alquila por mas de 1200 euros en nada de tiempo y por. No hay prácticamente nada para alquiler y lo poco que sale, se alquila rapidísimo También es ideal para gente cansada de pagar incomodos alquileres y que quiera tener su propio piso en una zona muy tranquila y al lado del metro y cercanías por mucho menos que pagarías por un alquiler.",False,good,False,True,2821.0,False,False,False,False,[],False,False,220000.0,€,flat,"Coslada Pueblo, Coslada",Piso en calle de Emilio Martín Encinas,,,,,,,,,
107398072,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/a7/91/1344981099.webp,48,3,830000.0,flat,sale,153.0,True,4,2,avenida de la Ciudad de Barcelona,Madrid,Madrid,Retiro,es,Pacífico,40.4024531,-3.6801915,False,https://www.idealista.com/inmueble/107398072/,"Magnífico piso en venta en Madrid Capital, exterior y situado en una urbanización privada con portero físico, dos ascensores, zonas comunes con piscina y jardín.   La vivienda se divide en cuatro espaciosos dormitorios, dos baños completos amplio salón /comedor y cocina con tendedero.  Dispone de plaza de garaje incluida en el Precio. Con suelos de parquet en buen estado, carpintería interior en roble, ventanas aluminio, armarios empotrados y calefacción central. Situado en una zona tranquila pero rodeado de todos los servicios, con cómodo y fácil acceso a la M30 y la A3, se encuentra ubicada al lado del metro Menéndez Pelayo ( Linea 1), con muy buena comunicación con autobuses y metro, cercano a la estación de Atocha y Méndez Alvaro, con diversas líneas de autobús. Muy próximo al parque El Retiro, centros de salud, polideportivos, parques infantiles, supermercados, gimnasios, farmacias y una amplia oferta hostelera. llamamos y te informáremos!",False,good,False,True,5425.0,False,False,False,False,[],False,False,830000.0,€,flat,"Pacífico, Madrid",Piso en avenida de la Ciudad de Barcelona,,,True,True,Destacado,,,,
106518844,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/6e/33/1285278797.webp,93,,659000.0,chalet,sale,576.0,,5,4,Eurovillas,Madrid,Eurovillas,,es,,40.3480122,-3.2489331,False,https://www.idealista.com/inmueble/106518844/,"Presentamos este exclusivo chalet de lujo, una propiedad única que reúne elegancia, comodidad y un sinfín de detalles pensados para tu bienestar. Situado en una ubicación privilegiada, este chalet es el hogar ideal para quienes buscan una vida de alto nivel, rodeados de espacios verdes. El jardín es un gran atractivo de esta propiedad. Una parcela de 2004 m2 perfectamente preparada para disfrutar de momentos al aire libre, ya sea para relajarte contemplando los magníficos ejemplares de arboles y arbustos o bien organizando eventos con tus amigos.  Disfrutareis de una piscina cubierta moderna y elegante, rodeada de cristales que permiten disfrutar de las vistas exteriores mientras se mantiene la temperatura ideal casi todo el año. Junto a ella, un aseo exterior y el cenador con barbacoa, perfecta para comer en el exterior.  Cuenta con zona de juegos para niños, para que los más pequeños puedan disfrutar de un entorno seguro y divertido y para los amantes del deporte, la propiedad dispone de una pista deportiva privada. Ya sea para jugar al futbol, tenis o baloncesto.  La vivienda, construida en 2006, cuenta con amplios espacios y acabados de alta gama. Al ingresar, te recibirá un ambiente lleno de luz natural, con grandes ventanales. El diseño interior es moderno y funcional.  El salón comedor principal es amplio y luminoso, con techos altos que amplifican la sensación de espacio. La chimenea abierta a dos lados, de diseño elegante, actúa como punto central y separador de ambientes, permitiendo que el fuego sea visible desde varias áreas. La cocina cuenta con mucho almacenaje. Dispone de un comedor luminoso con grandes ventanas que dan una abundante luz natural. Anexo al comedor, encontramos la confortable sala de estar, con techos altos y abuhardillados y con acceso a un porche exterior con vistas al jardín. Junto a la cocina, hay un lavadero y una despensa para una optima organización.  Cuenta con 5 habitaciones amplias y luminosas, con armarios empotrados forrados y con gran capacidad. El dormitorio principal es una espaciosa suitte, con uno de los 4 baños de la casa, un vestidor y una terraza con increíbles vistas.  En la planta superior se encuentra la buhardilla. Un espacio multifuncional abierto pero que diferencia tres ambientes: El salón principal que es un área abierto al salón de la planta baja y cuenta con chimenea de hierro, otra zona destinada a despacho y un tercer espacio pensado para descanso.  En la planta baja se encuentra el semisótano. Ideal para las reuniones familiares en los meses mas fríos, ya que ofrece una barra de bar para preparar y servir bebidas, mientras que el horno y la barbacoa permiten cocinar y disfrutar de comidas en interiores en tus reuniones mas informales.  Justo a ella encontramos una amplia estancia a modo de trastero o taller con acceso directo al exterior de la casa.   Esta increíble propiedad ofrece una combinación única de elegancia, confort y funcionalidad. Un chalet que es mucho más que una casa, es un estilo de vida, donde cada detalle ha sido pensado para vivir con la máxima calidad de vida para ti y tu familia. Contáctanos para mas información. NO COBRAMOS HONORARIOS AL COMPRADOR Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",False,good,False,,1144.0,False,False,False,False,[],False,False,659000.0,€,chalet,Eurovillas,Casa independiente,01123,independantHouse,True,True,,,,,
108684671,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/75/c3/1352074408.webp,33,,1395000.0,chalet,sale,429.0,,4,4,Barrio Zona Estación,Madrid,Pozuelo de Alarcón,Zona Estación,es,Zona Estación,40.4530978,-3.7982128,False,https://www.idealista.com/inmueble/108684671/,"MAYA Consulting vende, chalet adosado, ubicado en una de las zonas más tranquilas y demandadas de Pozuelo de Alarcón, una oportunidad única para crear la casa de tus sueños. Características Principales: Distribución en 4 plantas: Espacios amplios y versátiles que permiten una personalización total. 4 dormitorios y 4 baños: Ideal para familias que buscan comodidad y funcionalidad. Salón principal con ventanal panorámico: Disfruta de vistas inigualables al jardín privado, aportando luminosidad y conexión con la naturaleza. Sala de cine: Un espacio perfecto para el entretenimiento en casa. Posibilidad de zona de servicio independiente: Flexibilidad para adaptarse a tus necesidades. Garaje privado: Comodidad y seguridad para tu vehículo. Jardín tranquilo y muy cuidado: Un oasis de paz para disfrutar al aire libre. idealista. com Potencial de Reforma: Aunque la vivienda requiere una actualización, su sólida estructura y distribución ofrecen un lienzo perfecto para diseñar un hogar a medida. Las posibilidades son infinitas, desde modernizar los espacios existentes hasta crear nuevas áreas que se adapten a tu estilo de vida. Entorno y Ubicación: Situado en una zona residencial de prestigio, el chalet se encuentra rodeado de zonas verdes y ofrece una excelente conexión con Madrid capital. La tranquilidad del entorno, combinada con la proximidad a servicios, colegios y centros comerciales, hacen de esta propiedad una opción inmejorable para quienes buscan calidad de vida sin renunciar a la comodidad urbana. Este chalet adosado en Pozuelo de Alarcón representa una oportunidad excepcional para quienes desean invertir en una propiedad con gran potencial en una ubicación privilegiada. Con una reforma adecuada, puedes transformar esta vivienda en el hogar que siempre has soñado.",False,good,False,,3252.0,False,False,False,False,[],False,False,1395000.0,€,chalet,"Zona Estación, Pozuelo de Alarcón",Chalet adosado,29241,terracedHouse,True,True,,,,,
