propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,exterior,hasLift,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,highlight.groupDescription,parkingSpace.parkingSpacePrice
108545980,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/89/24/1348095651.webp,VI-000-030-677-462,37,1,154500.0,flat,sale,95.0,4,1,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,40.4762077,-3.3830366,False,https://www.idealista.com/inmueble/108545980/,"Inmueble alquilado. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Piso en Alcalá de Henares, Madrid. Dispone de una superficie de 94 m² distribuidos en 3 habitaciones, amplio salón-comedor con chimenea, cocina con lavadero y 1 baño. A su alrededor tiene un centro de salud, colegios, un supermercado y paradas de autobús. Fácil acceso a la M-300 y a la A-2. Este inmueble es una Vivienda de Protección Oficial. El comprador o inquilino ha de destinar la vivienda de VPO a residencia habitual y permanente, cumpliendo los requisitos que se establezcan para este tipo de viviendas.",False,good,False,1626.0,True,False,True,False,[],False,False,154500.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,,,,,,,,,,,
108520414,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/4a/6c/1347358576.webp,,20,2,223500.0,flat,sale,77.0,3,1,calle Mayor,Madrid,Mejorada del Campo,,es,40.398057,-3.4835967,False,https://www.idealista.com/inmueble/108520414/,"OPORTUNIDAD DE INVERSIÓN – VIVIENDA ALQUILADA CON ALTA RENTABILIDAD Tecnocasa presenta en exclusiva este estupendo piso situado en la prestigiosa Urbanización La Quinta, una de las zonas residenciales más demandadas por su tranquilidad, seguridad y completas zonas comunes. La propiedad se encuentra actualmente alquilada por 950€/mes, con un contrato de arrendamiento en vigor por 4 años y seguro de impago contratado, lo que garantiza una inversión segura y con rentabilidad desde el primer momento. La vivienda se distribuye en tres amplios dormitorios, destacando la habitación principal con toldo independiente y una excelente luminosidad. El salón dispone de toldo eléctrico y persianas motorizadas con control remoto, además de aire acondicionado, proporcionando confort durante todo el año. Cuenta con calefacción central y ventanas con rotura de puente térmico, lo que garantiza un alto nivel de eficiencia energética y confort térmico. La urbanización ofrece completas y cuidadas zonas comunes: piscina, jardines, pista de baloncesto y campo de fútbol, ideales para disfrutar en familia y fomentar el estilo de vida saludable al aire libre. Una excelente oportunidad para inversores que buscan un inmueble con inquilinos estables y en una zona con alta demanda. ¡Contáctanos para más información o para concertar una visita!",False,good,False,2903.0,False,False,False,False,[],False,False,223500.0,€,flat,Mejorada del Campo,Piso en calle Mayor,True,False,,,,,,,,,
108168087,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/c0/dc/1335906716.webp,MONTIEL-Y,5,,112000.0,chalet,sale,79.0,3,1,calle Montiel,Madrid,Madrid,Puente de Vallecas,es,40.3820797,-3.6743963,False,https://www.idealista.com/inmueble/108168087/,"VIVIENDA OCUPADA.  No se puede visitar el interior del inmueble. ACTIVO SIN POSESIÓN – OPERACIÓN NO HIPOTECABLE. Compra al contado, no se puede financiar. Desocupación incluida en el precio. LA AGENCIA DEL BARRIO VENDE CHALET ADOSADO en Puente de Vallecas, Entrevías, Madrid. Con una superficie construida de 79m2, divididas en dos plantas, comunicadas entre sí mediante escalera interior;  -La planta baja a pie de calle, consta de patio delantero de 30m2. Entrada a la vivienda, hall de entrada, salón- comedor, cocina, y cuarto de baño completo. -Planta superior pasillo distribuidor y tres dormitorios.  Construido en una parcela de 60m2. Se ubica en una zona residencial tranquila y consolidada, con todas las comodidades de los comercios de primera necesidad (supermercados, panadería, tiendas de alimentación, frutería y verdulería, etc. ) centros de educación infantil, escuela, instituto. Centro salud, farmacias, clínica dental. Entidades bancarias. Zonas verdes y parques. Gasolinera. Parada de autobuses. Llámenos e infórmese de cómo adquirir esta estupenda propiedad. ¡LE ESPERAMOS! HORARIO DE 10 A 14 Y DE 17 A 20H. DE LUNES A VIERNES. GRACIAS.",False,renew,False,1418.0,False,False,False,False,[],False,False,112000.0,€,chalet,"Entrevías, Madrid",Chalet adosado en calle Montiel,,,Entrevías,120000.0,8000.0,7.0,terracedHouse,,,,
106576388,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d3/75/4e/1287307969.webp,,54,,499000.0,chalet,sale,340.0,5,5,calle Esperanza,Madrid,Sevilla la Nueva,,es,40.3499177,-4.0271071,False,https://www.idealista.com/inmueble/106576388/,"SOBRE LA VIVIENDA Y EDIFICIO: Edificio de 3 plantas  Superficie construida: 340 m2  Año de construcción: 1994 La vivienda se distribuye de la siguiente manera:  Planta 0: hall distribuidor, aseo, salón a dos ambientes con grandes ventanales recibiendo una gran luminosidad y chimenea, cocina amueblada con office con acceso a terraza/comedor con cerramiento de aluminio acústico y térmico  Jardín: piscina de 8X4, varias estancias de almacenamiento, árboles frutales, sauna, cuarto de calderas. Planta 1: hall distribuidor, 3 habitaciones, dos baños completos (1en suite) en la habitación principal tiene un vestidor además de salida a una terraza con vistas a la parcela trasera. Planta -1: bodega de 50 m2, dos habitaciones, dos cuartos de baño, almacén. SOBRE LA CONSTRUCCION  Edificio de 3 plantas. Los muros son dobles, de ladrillo cerámico con aislamiento acústico a fin de obtener la máxima insonorización posible y revestimiento tirolés. SOBRE LAS CALIDADES  FACHADA:  -Sistema de fachada con cámara (aislamiento térmico por el exterior) acabado en revestimiento tirolés CARPINTERIA EXTERIOR: -Carpintería de madera y aluminio con rotura de puente térmico y varias estancias  -Capialzado monoblock roble barnizado persianas enrollables en toda la vivienda. -Acristalamiento con vidrio doble luna. CARPINTERIA INTERIOR: -Puerta de entrada de madera con anclajes de seguridad. -Puertas de paso tipo Roma con acabado en Roble barnizado. -Armarios empotrados tipo monoblock con acabado en Roble barnizado. SOLADOS: -Suelo laminado y gres porcelánico en diferentes estancias  PINTURA: -Paredes y techo pintura plástica  VARIOS: -Calefacción Gas-natural y Gas Oíl -Dos plazas de garaje. -Trastero. -Piscina 8X4 -Armarios empotrados en todas las habitaciones. -Sauna  EN DEFINITIVA ….  Una vivienda en un lugar privilegiado para el disfrute suyo y de su familia, en un complejo de lujo privado y discreto  ¡NO DEJE PASAR LA OPORTUNIDAD DE VISITAR ESTA MARAVILLOSA VIVIENDA SIN NINGUN COMPROMISO!.",False,good,False,1468.0,False,False,False,False,[],False,False,499000.0,€,chalet,Sevilla la Nueva,Casa independiente en calle Esperanza,,,,,,,independantHouse,True,True,,
107908574,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/a7/50/1328025994.webp,VI-000-030-683-825,17,bj,156500.0,flat,sale,72.0,2,1,Coslada Pueblo,Madrid,Coslada,Coslada Pueblo,es,40.4219075,-3.5636338,False,https://www.idealista.com/inmueble/107908574/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 05/2029.  Piso en Coslada, Madrid, idóneo para parejas. La vivienda dispone de una superficie de 72 m² construidos distribuidos en 2 habitaciones, salón-comedor, cocina además de 1 aseo. Localizado en el corazón de Coslada, en sus alrededores encontramos la Escuela Infantil Pegasito, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, la estación de metro Coslada Central y la estación de tren Coslada. Con fácil acceso a M-45.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,2174.0,True,False,True,False,[],False,False,156500.0,€,flat,"Coslada Pueblo, Coslada",Piso,,,,,,,,,,,
108783266,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/75/88/1355374534.webp,,17,bj,129900.0,flat,sale,76.0,3,1,Torres de la Alameda,Madrid,Torres de la Alameda,,es,40.4034988,-3.3640264,False,https://www.idealista.com/inmueble/108783266/,"Inmobiliaria TECNOCASA ESTUDIO LOECHES-TORRES DE LA ALAMEDA vente piso a reformar en Torres de la Alameda. Construido en 1972, de 64 metros cuadrados útiles, con una excelente ubicación y gran potencial para reforma. La vivienda cuenta con tres dormitorios, lo que la convierte en una opción ideal tanto para familias como para quienes buscan un espacio adicional para despacho o almacenamiento. Dispone de un baño completo y una acogedora terraza, perfecta para disfrutar de un espacio al aire libre en un entorno tranquilo. El inmueble se encuentra en estado a reformar, lo que brinda la oportunidad de adaptarlo completamente a las necesidades y gustos del comprador. Es una oportunidad interesante tanto para inversores como para particulares que deseen diseñar su propio hogar desde cero en una localidad bien comunicada y con todos los servicios cercanos. No pierdas esta oportunidad y benefíciate del asesoramiento financiero gratuito KIRON y la financiación al 100%. ¡Ven a verlo y no dejes escapar la oportunidad!",False,renew,False,1709.0,False,False,False,False,[],False,False,129900.0,€,flat,Torres de la Alameda,Piso,True,False,,,,,,,,,
108581984,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/60/f5/1349083004.webp,,40,1,680000.0,flat,sale,163.0,4,3,Barrio Alameda de Osuna,Madrid,Madrid,Barajas,es,40.4595157,-3.5878007,False,https://www.idealista.com/inmueble/108581984/,"Inmobiliaria en Alameda de Osuna Madrid - Tecnocasa Estudio Alameda De Osuna Sl ¡Descubre tu nuevo hogar en el encantador barrio de Alameda de Osuna! Este magnífico piso de 163 m² construidos es una oportunidad única que no querrás dejar escapar.  La vivienda cuenta con una amplia habitación principal que incluye armarios empotrados, una terraza privada y un cuarto de baño en suite con vistas a zonas verdes, ideal para disfrutar de la tranquilidad del entorno. Además, dispone de tres habitaciones adicionales, perfectas para adaptarse a tus necesidades, ya sea como dormitorios, oficina o sala de juegos. El salón comedor es un espacio luminoso y acogedor, equipado con aire acondicionado y acceso a una amplia terraza que se asoma a los jardines comunitarios.  La cocina, con ventana y acceso independiente, te permitirá disfrutar de la cocina en su máxima expresión. También hay un segundo baño amplio con plato de ducha y un cuarto de aseo con ventana, lo que añade comodidad a la vida diaria. Este piso se encuentra en una finca exclusiva con pocos vecinos, lo que garantiza la privacidad y tranquilidad que buscas. Además, podrás disfrutar de las zonas verdes ajardinadas y de la piscina comunitaria durante los días soleados. La propiedad cuenta con calefacción central, gas natural y una plaza de garaje subterránea incluida en el precio. No dejes pasar la oportunidad de vivir en este hogar lleno de posibilidades. ¡Contáctanos y ven a visitarlo!",False,renew,False,4172.0,False,False,False,False,[],False,False,680000.0,€,flat,"Alameda de Osuna, Madrid",Piso,True,True,Alameda de Osuna,700000.0,20000.0,3.0,,True,True,,
104486130,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/61/a4/1222103807.webp,,3,1,1290000.0,flat,sale,201.0,4,3,Barrio Palacio,Madrid,Madrid,Centro,es,40.4174657,-3.7111689,False,https://www.idealista.com/inmueble/104486130/,"Belton Real Estate ofrece en venta vivienda totalmente reformada. Se trata de un inmueble con una superficie amplia de 201 metros cuadrados, distribuidos en una terraza y patio que brindan luz y comodidad; cocina independiente, salón-comedor, cuatro habitaciones y tres baños.  La finca dispone de ascensor y conserje. Se localiza en una zona que cuenta con gran cantidad de edificios históricos, puntos turísticos, tiendas y lugares de ocio y entretenimiento, así como conexiones múltiples de medios de transporte. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,6418.0,False,False,False,False,[],False,False,1290000.0,€,flat,"Palacio, Madrid",Piso,True,True,Palacio,,,,,,,,
108293661,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3a/15/6e/1339780829.webp,1244,18,3,250000.0,flat,sale,80.0,2,1,LAS ROCAS,Madrid,Alpedrete,,es,40.6583623,-4.0436778,False,https://www.idealista.com/inmueble/108293661/,"INMOSEGUR vende bonito luminoso PISO CON TERRAZA EN URBANIZACIÓN CON PISCINAS, PADEL, TENIS, ZONAS VERDES, PARQUES INFANTILES Y PISTAS MULTIDEPORTE. Muy tranquilo y bien comunicado, andando a estación de tren y autobús. La vivienda consta de 80m2 distribuidos de la siguiente manera: - Amplio salón con zona de comedor. Cuenta con chimenea y terraza. - Cocina cuadrada con terraza-tendedero. - 2 dormitorios amplios, uno de ellos doble, con armarios empotrados. - 1 baño completo con ducha, el cual cuenta con ventana. OTRAS CARACTERÍSTICAS: - Trastero - Aparcamiento al aire libre dentro de la urbanización - Suelos de tarima - Calefacción gas natural - Orientación Este - Dobles ventanas de aluminio - Reformas: suelos, puertas, cocina, baño, calefacción.. . Para más información no dude en contactarnos.",False,good,False,3125.0,False,False,False,False,[],False,False,250000.0,€,flat,Alpedrete,Piso en Las Rocas,True,False,,,,,,,,,
108664900,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/b5/e0/1351525628.webp,,23,3,179000.0,flat,sale,70.0,3,1,calle Santander,Madrid,Alcorcón,Centro,es,40.3425287,-3.8300784,False,https://www.idealista.com/inmueble/108664900/,"GARANTÍA INMOBILIARIA VENDE vivienda ubicada en el centro de ALCORCÓN para reformar a tu gusto. La vivienda consta de salón-comedor, cocina, 1 baño, 3 dormitorios y terraza abierta. El inmueble tiene una superficie de 70m2 construidos, de los cuales 67m2 son de vivienda y 3m2 de elementos comunes.  Instalaciones:  - Suelo cerámico - Puertas sapelly - Paredes gotelé  - Cocina con tendedero - Baño completo con ventilación  - Ventanas correderas aluminio - Terraza abierta  Tiene una ubicación excepcional, situado en el núcleo urbano de Alcorcón donde podrás encontrar todo lo que necesites a un solo paso. Cuenta con bares y restaurantes, parques, todo tipo de comercios, centro de salud, colegios e institutos, farmacias y bancos. ¡FINANCIACIÓN HASTA UN 100%! No dude en ponerse en contacto con nosotros y venga a visitarla sin ningún compromiso. GARANTÍA INMOBILIARIA, PROTEGEMOS TU FUTURO.",False,renew,False,2557.0,False,False,False,False,[],False,False,179000.0,€,flat,"Casco Antiguo, Alcorcón",Piso en calle Santander,True,False,Casco Antiguo,,,,,,,,
