propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108453865,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/2e/eb/1345364268.webp,17,4,285000.0,flat,sale,75.0,True,3,1,calle de San Donato,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4238147,-3.6584313,False,https://www.idealista.com/inmueble/108453865/,"TECNOCASA MARQUÉS DE CORBERA VENDE; calle San Donato, 75m2, distribuidos en 3 dormitorios, salón, cocina, baño completo, 2 terrazas exteriores y trastero. El ascensor esta aprobado, se esta pagando la derrama desde principios de 2025. El edificio está situado a escasos metros de la calle Ricardo Ortiz, con todos los servicios a tu alcance: centro comercial, supermercados, colegios, centros médicos y transporte público (metro línea 2 y autobuses). Además, su proximidad a parques y zonas verdes añade un valor añadido para los amantes de la naturaleza. Si buscas un hogar cómodo y bien ubicado en Madrid, esta es tu oportunidad. ¡Contacta con nosotros para más información o para concertar una visita!",False,renew,False,False,3800.0,False,False,False,False,[],False,False,285000.0,€,flat,"Ventas, Madrid",Piso en calle de San Donato,,,,,,,,
108174303,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/ed/b6/1336081784.webp,18,,133500.0,flat,sale,83.0,True,3,1,calle San Antón,Madrid,Parla,Villayuventus-Renfe,es,,40.2435735,-3.7679452,False,https://www.idealista.com/inmueble/108174303/,"INMUEBLE ILEGALMENTE OKUPADO SITUADO EN LA CALLE SAN ANTÓN 79, ESC. 3,   4º A, PARLA, MADRID No se puede visitar, no se puede tasar ni se puede hipotecar. Se tiene que comprar pagando al contado y el comprador asume la tarea de la desocupación. Piso en Parla, Madrid. Dispone de una superficie de 83 m² distribuidos en salón-comedor, 3 habitaciones, la cocina y el baño con bañera. El piso se encuentra alrededor de escuelas, comercios y centro médico. También está El Parque de la Ballena. Se accede con facilidad en autobús, en tranvía parada La Ballena o en tren parada Parla. También queda cerca en coche la M-408.",False,good,False,False,1608.0,False,False,False,False,[],False,False,133500.0,€,flat,"Villayuventus-Renfe, Parla",Piso en calle San Antón,4901,,,,,,,
108778396,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/40/19/1354857634.webp,20,bj,1100000.0,flat,sale,163.0,True,3,2,Barrio Zona Avenida Europa,Madrid,Pozuelo de Alarcón,Zona Avenida Europa,es,Zona Avenida Europa,40.4428864,-3.7909435,False,https://www.idealista.com/inmueble/108778396/,"***Exclusivo bajo con jardin en la zona de Avenida de Europa que te enamorará! Si eres exigente y buscas tu casa ideal esta este bajo con jardín te enamorará. 164m2 distribuidos en amplio salón comedor con las dos zonas claramente diferenciadas con acceso a un jardín de 50m2 dando al interior de la urbanizacion, donde podrás disfrutar de momentos de ocio y esparcimiento así como disfrutar de la tranquilidad del entorno.  El piso tiene 3 dormirtorios ( originalmente 4 ) y dos baños, siendo el dormitorio principal en suite con su baño incorporado. A las otras dos habitaciones les daría servicio un segundo baño.  Reformada integramente en su totalidad. Baños nuevos, aire acondicionado, paredes lisas, suelos de parquet. TE ENAMORARÁ! Se vende con una plaza de garaje y trastero incluidos en el precio. Hay que destacar la gran urbanización a la que pertenece este extraordinario piso. Amplisimas zonas verdes con arbolado, ( donde se podrá disfrutar de paseos y gran esparcimiento para el juego de los niños. ); dos pistas de padel, piscina con amplia zona verde y zona de juego de niños así como con garita de conserjeria. EL entorno inmejorable. Tiendas, negocios varios como restauracion, gimnasios, centros de enseñanza y junto al centro comercial zielo. Hay que destacar la cercania a tren y parada de autobus en la puerta.",False,good,False,True,6748.0,False,False,False,False,[],False,False,1100000.0,€,flat,"Zona Avenida Europa, Pozuelo de Alarcón",Piso,,True,True,,,,,
107908433,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/b6/cc/1328025667.webp,40,4,192500.0,flat,sale,69.0,,3,1,Barrio Vista Alegre,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3889098,-3.7362124,False,https://www.idealista.com/inmueble/107908433/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 07/2029.  Piso en Madrid, perfecto para familias. El inmueble dispone de una superficie de 69 m² construidos distribuidos en 3 habitaciones, salón-comedor, cocina y 1 aseo y 1 balcón. La vivienda es muy luminosa y tiene suelos de parquet que dotan al piso de mayor calidez y confort. Situado en la 4a planta del edificio, sin ascensor. Cuenta con todos los servicios necesarios a su alrededor, como el Central Hospital Gómez Ulla Defense, el Colegio La Milagrosa, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de metro Vista Alegre.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,2790.0,True,False,True,False,[],False,False,192500.0,€,flat,"Vista Alegre, Madrid",Piso,VI-000-030-686-809,,,,,,,
108664900,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/b5/e0/1351525628.webp,23,3,179000.0,flat,sale,70.0,True,3,1,calle Santander,Madrid,Alcorcón,Centro,es,Casco Antiguo,40.3425287,-3.8300784,False,https://www.idealista.com/inmueble/108664900/,"GARANTÍA INMOBILIARIA VENDE vivienda ubicada en el centro de ALCORCÓN para reformar a tu gusto. La vivienda consta de salón-comedor, cocina, 1 baño, 3 dormitorios y terraza abierta. El inmueble tiene una superficie de 70m2 construidos, de los cuales 67m2 son de vivienda y 3m2 de elementos comunes.  Instalaciones:  - Suelo cerámico - Puertas sapelly - Paredes gotelé  - Cocina con tendedero - Baño completo con ventilación  - Ventanas correderas aluminio - Terraza abierta  Tiene una ubicación excepcional, situado en el núcleo urbano de Alcorcón donde podrás encontrar todo lo que necesites a un solo paso. Cuenta con bares y restaurantes, parques, todo tipo de comercios, centro de salud, colegios e institutos, farmacias y bancos. ¡FINANCIACIÓN HASTA UN 100%! No dude en ponerse en contacto con nosotros y venga a visitarla sin ningún compromiso. GARANTÍA INMOBILIARIA, PROTEGEMOS TU FUTURO.",False,renew,False,False,2557.0,False,False,False,False,[],False,False,179000.0,€,flat,"Casco Antiguo, Alcorcón",Piso en calle Santander,,,,,,,,
108316106,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/27/d7/1344826224.webp,34,4,335000.0,flat,sale,45.0,True,1,1,calle del Conde Duque,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4272467,-3.7128609,False,https://www.idealista.com/inmueble/108316106/,"OPORTUNIDAD INVERSORES – PISO MUY LUMINOSO EN ZONA CON ALTA DEMANDA. NO COBRAMOS COMISION AL COMPRADOR. Este maravilloso piso en la cuarta y última planta ofrece una luminosidad excepcional gracias a sus amplios ventanales. Con 43 m² construidos, cuenta con un acogedor salón-comedor y una cocina francesa. Cuarto de baño reformado con plato de ducha. La vivienda está equipada con aire acondicionado, garantizando un ambiente agradable durante todo el año. Además, la vivienda cuenta con portero físico y posibilidad de garaje, lo que añade un gran valor a esta propiedad. Descripción de la Ubicación: La vivienda goza de una inmejorable ubicación dentro del centro de Madrid, a escasos pasos de la Plaza de España. El entorno se caracteriza por comercios de alta calidad, así como gran oferta de ocio y restauración. Se emplaza junto a importantes arterias de tráfico rodado, lo que garantiza una excelente comunicación a través de vehículo propio, además de contar en sus proximidades con numerosas líneas de transporte público.",False,good,False,True,7444.0,False,False,False,False,[],False,False,335000.0,€,flat,"Malasaña-Universidad, Madrid",Piso en calle del Conde Duque,,True,False,120.0,,,,
101636954,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/0f/f0/1281436639.webp,49,,319900.0,chalet,sale,139.0,,3,1,Olmeda de las Fuentes,Madrid,Olmeda de las Fuentes,,es,,40.3715786,-3.2199272,False,https://www.idealista.com/inmueble/101636954/,"Desde luego una de las casas más ENCANTADORAS de Olmeda de las Fuentes, conocido como ""El Pueblo de pintores"". ubicada en su parte más alta,  Es una casa rústica, REFORMADA e independiente, de techos altos y vigas de madera vista, con galería de cuevas en su parte baja, dos patios, uno al norte y otro al sur, con porche y leñera. Otra característica de esta vivienda que es sin duda un valor añadido y que le confiere personalidad, es haber sido antigua propiedad del reconocido pintor internacional Eugenio Granell, destacado pintor, escritor y poeta del surrealismo español Desde luego una casa única, reformada y con una personalidad que enamora a todo el que la visita. Calefacción de gasoil, con radiadores en todas las estancias, ventanas sustituidas en su totalidad por de PVC y aluminio marrón con cristales climalit. En el Registro de la Propiedad figuran 59,70 m2 inscritos, como casa cueva y en el Catastro figuran los 135 m2 construidos en catastro. Esta vivienda disfruta además de dos patios, un porche, y una gran leñera. Por la ventana alta del salón, orientada al sur entra una luz que encandila, que muestra lo que es, sin sombras, del espacio creado de techos altos, y vigas de madera, espacio que conecta, sin necesidad de pasillos, a las dos habitaciones de la estancia, una de ellas con salida propia a uno de los porches y patio con orientación sureste. El otro patio, en su cara noroeste, desemboca en la recogidita cocina, perfectamente funcional, y reformada, al puro estilo rústico. Una casa preciosa, encantadora, y muy exclusiva sin duda, lista para entrar a vivir o cmo segunda residencia, y disfrutar de la vida tranquila que un pueblo ofrece, pero con los servicios cubiertos a una hora de Madrid y a poco menos de media hora tanto de Alcalá de Henares, como de Torrejón de Ardoz, de Arganda y de Guadalajara. [IW].",False,good,False,,2301.0,False,False,False,False,[],False,False,319900.0,€,chalet,Olmeda de las Fuentes,Casa independiente,olmpatio,,,,independantHouse,,,
107811648,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/09/2f/1324521970.webp,21,2,750000.0,flat,sale,141.0,True,4,2,Barrio Estrella,Madrid,Madrid,Retiro,es,Estrella,40.4107438,-3.6636375,False,https://www.idealista.com/inmueble/107811648/,"Inmobiliarias Encuentro vende en exclusiva impresionante vivienda exterior con espacios amplios y luminosos, justo en uno de los barrios más atrayentes del distrito de Retiro hacemos alusión al Barrio de Estrella en Madrid. Este acogedor hogar, de 141m2, cuenta con un amplio salón que abre a un balcón ofreciendo impresionantes vistas de la ciudad. Mas adentro de la vivienda encontrarás las cuatro habitaciones confortables y cada una con armarios empotrados, dos baños en buen estado de conservación y una cocina independiente y amueblada con salida a una terraza tendedero. Las calidades de la vivienda son inmejorables. Cuenta con suelos de parquet, amplias ventanas climalit y puerta blindada. Dispone de aire acondicionado por conductos, calefacción centralizada individual a gas con contadores. Certificación energética del inmueble (CEE). Calificación consumo: D. Calificación de emisiones: D La finca en la que se encuentra está en perfecto estado de conservación y cuenta con ascensor y servicio de conserjería. Su ubicación es inmejorable. Amplia oferta comercial, ocio, gastronómica y servicios. Dispone de todo lo necesario para el día a día al alcance de la mano. Se encuentra perfectamente conectada con las principales redes de transporte público, permitiendo una comunicación perfecta y accesible. Si necesita vender su inmueble para adquirir este u otro inmueble publicado, contacte con nosotros, disponemos del servicio: \\""CAMBIA Y DESCANSA\\"". La solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble ¡Financiación a tu medida! Con Finmoo tendrás los mejores tipos de interés y hasta el 100% de financiación. ¡Consulta nuestras condiciones! Entra en nuestra web y reserva este piso en tan sólo dos minutos con nuestro servicio iReserva.",False,good,False,True,5319.0,False,False,False,False,[],False,False,750000.0,€,flat,"Estrella, Madrid",Piso,IE03-KEVESTRE11,,,,,,,
106609598,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/5c/30/1356797236.webp,72,,415000.0,chalet,sale,217.0,,5,5,Eurovillas,Madrid,Eurovillas,,es,,40.3532884,-3.2582921,False,https://www.idealista.com/inmueble/106609598/,"¡Oportunidad única!  Servicasa Eurovillas vende esta propiedad con dos viviendas independientes ubicadas en una misma parcela de 939m². Ideal para familias que desean vivir cerca pero con total privacidad. Compartiendo el disfrute de la parcela. Destaca la impresionante piscina por su tamaño, y porque hace el tándem perfecto con la barbacoa y su cenador. Una zona ideal para disfrutar de los días de descanso junto a la familia o los amigos.  Las viviendas tienen entradas independientes.  Casa 1: Accedemos desde la sala de estar o comedor con chimenea, que está abierta a la cocina, totalmente amueblada y con encimera de granito. Cuenta también con 3 habitaciones, un vestidor, un salón con chimenea y acceso a la piscina y dos baños, estando uno de ellos dentro del dormitorio principal.  Calefacción por caldera eléctrica. Casa 2: Se trata de una casa de aire moderno tipo loft de 100m2 aproximados. Entramos desde una espectacular puerta de acceso al salón comedor y cocina integrados en el mismo espacio, dos habitaciones y dos baños. Anexo a la casa dispone de un cuarto trastero con aseo para uso exterior. Con calefacción por gasoil y bomba de aire en el salón.  Otra gran ventaja es su excelente ubicación, siendo una calle tranquila, pero muy próxima a la zona comercial y a parada de bus para moverte con transporte público. Si estás buscando un lugar versátil, esta propiedad puede ser la tuya. Con la idea de vivir en coliving con alguien de tu confianza o para alquilar y sacar rentabilidad.  Contáctanos para más información o para agendar una visita. La Urbanización Eurovillas, ubicada entre los municipios de Nuevo Baztán y Villar del Olmo (al Sureste de la Comunidad de Madrid), es una de las zonas residenciales más grandes de Europa, con alrededor de 3 600–4 000 parcelas distribuidas en 600 hectáreas y casi 80 km de viales Eurovillas está dotada de todos los servicios necesarios sin salir de la urbanización: Centro Comercial La Plaza y otras áreas comerciales con supermercado Eroski y Carrefour Market, farmacia, clínica, óptica, banco, bares, restaurantes, veterinario, peluquerías, gestorías, etc.  Educación: Escuela Infantil “La casita de los niños”, Escuela infantil privada ""Pocholines"", Colegio Público Juan de Goyeneche y Colegio Concertado Internacional Eurovillas  Ocio y deportes: Casa de la juventud, Centro Cultural Valmores, pabellón, polideportivo, piscina, pistas de pádel, tenis, baloncesto, petanca, hockey, zonas verdes, parques infantiles  Servicios municipales: Consultorio médico Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual.  En los precios de venta no están incluidos impuestos legales ni gastos de escrituración. NO COBRAMOS HONORARIOS AL COMPRADOR Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",False,good,False,,1912.0,False,False,False,False,[],False,False,415000.0,€,chalet,Eurovillas,Casa independiente,01132,True,True,,independantHouse,,,
885096,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0a/13/00/874152255.webp,68,,1250000.0,chalet,sale,460.0,,5,3,calle Zancara,Madrid,Villaviciosa de Odón,El Bosque,es,,40.3842616,-3.9359842,False,https://www.idealista.com/inmueble/885096/,"Bonito chalet, ubicado en una Urbanización residencial, con vigilancia 24 horas, la vivienda, dispone Gran Salón, Cocina amplia con office, 5, Dormitorio, 3, Baños, 3, Salones uno de ellos   Ático, 3-Plazas Garajes cerrados, Piscina, y parcela de 1.100 metros enclavada en plena dehesa del parque regional, del rio Guadarrama, muy cerca de la zona comercial, colegios, y un centro deportivo de alto nivel con proyectos para albergar estudiantes, nacionales y extranjeros, de alto rendimiento, y la Universidad Europea, y club de Golf y cerca del transporte público, rodeado de bosques y de zonas verdes.",False,good,False,,2717.0,False,False,False,False,[],False,False,1250000.0,€,chalet,"El Bosque, Villaviciosa de Odón",Casa independiente en calle Zancara,,True,True,,independantHouse,,,
