propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107799882,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/20/61/1324361258.webp,20,1,211900.0,flat,sale,66.0,True,3,1,calle Nuestra Señora de la Merced,Madrid,Leganés,Centro,es,Vírgenes,40.3247834,-3.7720358,False,https://www.idealista.com/inmueble/107799882/,"La casa de tus sueños pone a su disposicion este bonito piso en el centro de Leganés Este inmueble consta de tres dormitorios, uno principal con armario empotrado y dos individuales, uno de ellos con bomba de frio y calor, todos los dormitorios son exteriores a la calle Salòn comedor con terraza, cuenta también con bomba de frio y calor, cocina completa con terraza desde la que podrás acceder también al salón  El inmueble esta situado en el centro de Leganés rodeado de comercios y medios de transporte No dudes en contactarnos para hacer una visita.",False,good,False,False,3211.0,False,False,False,False,[],False,False,211900.0,€,True,False,6000.0,flat,"Vírgenes, Leganés",Piso en calle Nuestra Señora de la Merced,,,,,
108667355,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/6f/44/1351600588.webp,81,,550000.0,chalet,sale,296.0,,6,3,Pino Alto - Navarredonda,Madrid,Valdemorillo,Pino Alto - Navarredonda,es,,40.4943729,-4.0316569,False,https://www.idealista.com/inmueble/108667355/,"Idehogar presenta en venta este magnífico chalet independiente ubicado en la exclusiva Urbanización Jarabeltrán, en Valdemorillo. Esta hermosa vivienda cuenta con 296 m² distribuidos en dos plantas, ofreciendo comodidad y funcionalidad en un entorno privilegiado. Planta Principal (180 m²): Al ingresar, te recibe un hall con armario. La amplia cocina de 19,5 m² dispone de despensa y salida al jardín, perfecta para disfrutar de momentos al aire libre. El salón de 45m2 con grandes ventanales, se conecta a una terraza de 30 m² que ofrece vistas impresionantes a las cinco torres de Madrid. La distribución continúa con un pasillo que conecta los dormitorios y baños. El dormitorio principal, de 14,5 m², en suite, cuenta con un amplio baño con ducha, ventana y armario empotrado. Además, hay otros tres dormitorios de 9 m2, 10 m2 y 10m2, todos con armarios empotrados, más un baño completo con bañera y ventana. Características de la planta principal: Construida en 1975, la vivienda presenta suelos de tarima y gres, paredes con gotelé y techos altos que aportan amplitud. La calefacción funciona con gas natural y con hidroestufa de pellet con radiadores. Las ventanas de aluminio con doble acristalamiento (climalit) y persiana eléctrica en el salón completan sus detalles de confort. Planta Baja (116 m²): Aquí encontramos un apartamento independiente de 76 m², reformado en 2019, que incluye un salón con cocina americana, dos dormitorios, un baño con ducha y ventana, y aire acondicionado frío/calor en todas las estancias. Los acabados incluyen suelos de tarima, paredes lisas y ventanas de aluminio climalit. Además, en esta planta hay un garaje con capacidad para varios vehículos. Parcela de 1.481 m²: La parcela, situada en esquina en un callejón sin salida, ofrece privacidad y tranquilidad. Cuenta con una zona de juegos con tirolina y columpio, una piscina de 40 m², un aseo, un cenador y una zona de barbacoa. También dispone de una cabaña de madera de 25 m² con aire acondicionado, antena de TV, nevera y extractor, ideal para reuniones o descanso. Otra cabaña de 9 m² con litera, aire acondicionado y antena de TV, además de una caseta para herramientas, completan el espacio exterior. Urbanización: El conjunto cuenta con conserjería 24 horas, zona infantil y accesos para pasear por la montaña. Además, dispone de transporte público en la entrada, con conexiones a Valdemorillo, Villanueva del Pardillo, Las Rozas y Madrid-Moncloa. La ubicación es cercana a Villanueva de la Cañada, Majadahonda y El Escorial. Si buscas una vivienda funcional, con una distribución excelente en una sola planta, en un entorno privilegiado y con vistas impresionantes… ¡No dudes en visitarla! ¿No resides en Madrid? ¡Puedes realizar tu primera visita mediante videollamada! Este anuncio es informativo y puede contener errores; no tiene carácter contractual ni vinculante.",False,good,False,,1858.0,False,False,False,False,[],False,False,550000.0,€,True,True,,chalet,"Pino Alto - Navarredonda, Valdemorillo",Casa independiente,independantHouse,,,,
108746547,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/7b/2d/1353922726.webp,16,2,360000.0,flat,sale,100.0,True,4,2,avenida de Palomeras,Madrid,Madrid,Puente de Vallecas,es,Palomeras Bajas,40.3869759,-3.6513312,False,https://www.idealista.com/inmueble/108746547/,"Agencia inmobiliaria de MADRID - zona VALLECAS - PORTAZGO - BUENOS AIRES - Oficina Tecnocasa vende piso en Avenida de Palomeras distribuidos en: salón con acceso a terraza cerrada, cuatro dormitorios, dos baños y balcón.  El inmueble se encuentra para entrar a vivir. Se trata de una segunda planta, doble orientación, oeste y sur. Ubicada a escasos metros del metro Buenos Aires. Finca con garaje y Portero físico. Zona rodeada de todo tipo de comercios y dotada de todos los servicios públicos. Para más información contacte con nosotros sin ningún tipo de compromiso, en el teléfono o bien enviando un email a MDBW8 @ TECNOCASA. ES; y concierte una visita para conocer el inmueble en la que además podrá informarle de las condiciones de financiación actuales uno de nuestros asesores financieros KIRON.",False,good,False,False,3600.0,False,False,False,False,[],False,False,360000.0,€,True,True,,flat,"Palomeras Bajas, Madrid",Piso en avenida de Palomeras,,,,,
107168822,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/86/5c/1305035768.webp,64,2,330000.0,flat,sale,122.0,True,2,2,calle San Juan,Madrid,San Lorenzo de El Escorial,Centro - Casco Histórico,es,,40.5933424,-4.1437072,False,https://www.idealista.com/inmueble/107168822/,"Estupendo piso para entrar a vivir en San Lorenzo de El Escorial, Madrid. Cuenta con una superficie de 122 m2, distribuida en hall, amplio y luminoso salón, cocina, dos habitaciones, y dos baños (uno de ellos en suite) y ambos con hidromasaje. Todas las estancias tienen un balcón (con espacio para tender) y riego automático en las macetas. Tiene vistas desde varias de sus estancias, hilo musical en toda la vivienda, y dispone de aire acondicionado (frio y calor), calefacción eléctrica y trastero. Piso con calidades excepcionales en aislamiento, insonorización, pintura (paredes de texturglas decorativo, fibra de vidrio pintada), y suelos de madera IPE lacada al horno y biselada en perfecto estado. La casa se vende totalmente amueblada con estupendos sofás extensibles, muebles de madera de alta calidad, y electrodomésticos en perfecto estado. Armarios empotrados en el hall y las habitaciones con gran capacidad de almacenaje. El edificio está construido en 1964 y totalmente rehabilitado hace unos años, es un precioso edificio de solo 5 viviendas muy tranquilo. Se encuentra ubicado en una zona muy céntrica a todo tipo de servicios (colegios, supermercados, restaurantes, conservatorio de música, farmacias... ), frente al intercambiador de autobuses con conexión directa a Madrid y más poblaciones de la sierra, y a tan solo 5 minutos a pie del Monasterio. Se recomienda VISITAR la vivienda, no dudes en llamarnos!",False,good,False,False,2705.0,False,False,False,False,[],False,False,330000.0,€,,,,flat,"Centro - Casco Histórico, San Lorenzo de El Escorial",Piso en calle San Juan,,,,,
108892024,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/2b/1d/bc/1358118343.webp,15,3,145000.0,flat,sale,69.0,False,2,1,"CL ESMERALDA, 8",Madrid,Madrid,Usera,es,Moscardó,40.3862491,-3.7103051,True,https://www.idealista.com/inmueble/108892024/,"Zona Inmuebles, Vende piso para reformar integralmente a tu gusto, con posibilidad de diseñar una cocina americana, un baño con plato de ducha y un acogedor espacio tipo salón y dos dormitorio, con terraza, oportunidad única y rentable de inversión.  Ubicado en la tercera planta, este piso ofrece una excelente comunicación gracias a las líneas de autobuses y metro cercanas. No dejes pasar la oportunidad de vivir en este hogar que lo tiene todo. ¡Ven a verlo y saca una buena inversión.",False,renew,False,False,2101.0,False,False,False,False,[],False,False,145000.0,€,,,,flat,"Moscardó, Madrid","Piso en Cl Esmeralda, 8",,IZ-0266,,,
104167715,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ee/5a/33/1347974995.webp,21,,157000.0,chalet,sale,191.0,,3,1,calle de Santa María,Madrid,Pelayos de la Presa,,es,,40.3644358,-4.3174964,False,https://www.idealista.com/inmueble/104167715/,"***INMUEBLE OCUPADO*** ***SOLO PARA INVERSORES*** ***SIN COMISIONES DE AGENCIA INMOBILIARIA*** Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble. Este casa / chalet se encuentra en Calle de Santa María, 28696, Pelayos de la Presa, Madrid. Es un casa / chalet que tiene 191 m2 y dispone de 3 habitaciones y 1 baños. Está situada en el corazón de Pelayos de La Presa, en sus alrededores encontramos el Colegio Público Río Alberche y centros deportivos. Cuenta con fácil acceso a M-501. Soluciones a su medida.",True,good,False,,822.0,False,False,False,False,[],False,False,157000.0,€,,,,chalet,Pelayos de la Presa,Casa independiente en calle de Santa María,independantHouse,FHOG-2464,,,
108501855,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/54/89/1346788322.webp,11,1,275000.0,flat,sale,68.0,True,2,1,calle de Plus Ultra,Madrid,Madrid,Barajas,es,Timón,40.4726473,-3.5848354,False,https://www.idealista.com/inmueble/108501855/,"Piso luminoso de 2 habitaciones en Barajas – ¡Ideal para reformar a tu gusto! Se vende piso semi reformado en la zona de Barajas, bien comunicado y con todos los servicios cercanos. La vivienda cuenta con: 2 habitaciones Buena luz natural durante todo el día Cocina a reformar, lo que ofrece la oportunidad de personalizarla según tus preferencias Ubicado en una segunda planta sin ascensor Una excelente opción tanto para inversión como para quienes buscan adaptar una vivienda a su medida en una zona tranquila y bien conectada.",False,renew,False,False,4044.0,False,False,False,False,[],False,False,275000.0,€,,,,flat,"Timón, Madrid",Piso en calle de Plus Ultra,,LIRE-02313,,,
108894915,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/aa/68/1358199876.webp,8,1,569000.0,flat,sale,50.0,False,2,1,"CL NARVAEZ, 72",Madrid,Madrid,Retiro,es,Ibiza,40.4176552,-3.6767191,True,https://www.idealista.com/inmueble/108894915/,"Exclusiva urbanización en la calle Narvaez, vivienda de dos dormitorios, totalmente reformada, equipada y amueblada.",False,good,False,True,11380.0,False,False,False,False,[],False,False,569000.0,€,,,,flat,"Ibiza, Madrid","Piso en Cl Narvaez, 72",,,,,
107099142,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/7a/a9/1323194870.webp,44,en,950000.0,flat,sale,104.0,False,3,3,calle de Benito Gutiérrez,Madrid,Madrid,Moncloa,es,Argüelles,40.4303064,-3.7175103,False,https://www.idealista.com/inmueble/107099142/,"Descubre este magnífico piso reformado en la codiciada zona de Moncloa/Aravaca, un lugar donde la comodidad y el estilo se encuentran en perfecta armonía. Con una superficie de 104 m², esta propiedad cuenta con 3 amplios dormitorios y 3 baños, ideal para familias o para aquellos que buscan espacio y confort. El piso, construido en 1950, ha sido cuidadosamente renovado, manteniendo su esencia clásica mientras incorpora todas las comodidades modernas. Disfruta de un ambiente fresco y agradable gracias al aire acondicionado y la calefacción central, además de la calefacción individual por bomba de frío/calor. La cocina, completamente amueblada, es perfecta para los amantes de la gastronomía, y los armarios empotrados ofrecen un amplio espacio de almacenamiento. La propiedad también cuenta con un ascensor, portero y conserje, garantizando una experiencia de vida cómoda y segura. La pintura lisa y los acabados de calidad aportan un toque elegante, mientras que la puerta blindada y el videoportero aseguran tu tranquilidad. Además, podrás disfrutar de una terraza privada, un espacio ideal para relajarte al aire libre. No pierdas la oportunidad de vivir en este espectacular piso en Moncloa/Aravaca, donde cada rincón ha sido diseñado para ofrecerte el máximo confort y calidad de vida. ¡Contáctanos para más información y para concertar una visita! Tour Virtual: Disponemos de videollamada para enseñar el inmuebles con un tour virtual, ver los planos, enseñar la zona con street view y google maps. Pisos en Madrid |Chalet en Madrid| Creando Valor | BM Inversiones |Boutique Inmobiliaria.",True,good,False,True,9135.0,False,False,True,False,[],False,False,950000.0,€,,,,flat,"Argüelles, Madrid",Piso en calle de Benito Gutiérrez,,BMREI-571 ,,,
104697066,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/8a/09/1351351765.webp,38,3,220000.0,flat,sale,85.0,,2,2,calle de Santa Rosa,Madrid,El Escorial,Jardín de los Reyes - Parque Real,es,,40.5835428,-4.134501,False,https://www.idealista.com/inmueble/104697066/,"Pisos de Obra Nueva en Madrid. Promoción de viviendas con garaje y trastero en El Escorial, a 40 minutos del centro de Madrid. Ubicadas en el Complejo Residencial Los Lares del Escorial, equipado con piscina comunitaria y gimnasio. Cuentan con unas superficies desde 86 m² distribuidos en salón-comedor, 2 o 3 dormitorios, cocina y 2 baños completos. Está equipada con muebles de cocina, suelos de tarima, armarios empotrados y calefacción. Con nuestros servicios podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.t - El inmueble se transmite arrendado a tercero y con un posible derecho de éste a la adquisición preferente del mismo. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor.El Adquirente asumirá (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble.La Propiedad no responderá de/l (i) la solvencia del arrendatario ni de las condiciones del contrato de arrendamiento, (ii) estado de conservación (iii) los vicios vistos y aparentes (iv) la regularización registral o catastral (v) las discrepancias de cabida, que pudieran existir (vi) la responsabilidad en la obtención de la cedula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vii) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.Si a fecha de venta, la Propiedad hubiese demandado judicialmente al arrendatario, podría el adquirente subrogarse en dicha demanda, no pudiendo reclamar importe alguno a la Propiedad como consecuencia de ello, salvo por los honorarios de abogados y procuradores que hasta la fecha de la transmisión se hubiesen devengado que, en cualquier caso, serán por cuenta de éste. El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado. En consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.En el caso de que a la Propiedad no le consten depositadas las fianzas o garantías que se constituyeron en el contrato de arrendamiento por no haber sido el arrendador inicial del contrato, el adquirente exonerara a la Propiedad de la entrega de dichas fianzas y/o garantías.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,True,2588.0,False,False,False,False,[],False,False,220000.0,€,True,True,,flat,"Jardín de los Reyes - Parque Real, El Escorial",Piso en calle de Santa Rosa,,P1-00055-0009,,,
