propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107799882,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/20/61/1324361258.webp,20,1,211900.0,flat,sale,66.0,True,3,1,calle Nuestra Señora de la Merced,Madrid,Leganés,Centro,es,Vírgenes,40.3247834,-3.7720358,False,https://www.idealista.com/inmueble/107799882/,"La casa de tus sueños pone a su disposicion este bonito piso en el centro de Leganés Este inmueble consta de tres dormitorios, uno principal con armario empotrado y dos individuales, uno de ellos con bomba de frio y calor, todos los dormitorios son exteriores a la calle Salòn comedor con terraza, cuenta también con bomba de frio y calor, cocina completa con terraza desde la que podrás acceder también al salón  El inmueble esta situado en el centro de Leganés rodeado de comercios y medios de transporte No dudes en contactarnos para hacer una visita.",False,good,False,False,3211.0,False,False,False,False,[],False,False,211900.0,€,True,False,6000.0,flat,"Vírgenes, Leganés",Piso en calle Nuestra Señora de la Merced,,,,,
108878371,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/13/69/1357721450.webp,6,1,719000.0,flat,sale,65.0,False,2,1,"avenida de Menéndez Pelayo, 51",Madrid,Madrid,Retiro,es,Ibiza,40.4165094,-3.6777019,True,https://www.idealista.com/inmueble/108878371/,"Exclusiva urbanización en el Retiro, vivienda amueblada y equipada, dos dormitorios. Muy luminosa a amplio patio.",False,good,False,True,11062.0,False,False,False,False,[],False,False,719000.0,€,,,,flat,"Ibiza, Madrid","Piso en avenida de Menéndez Pelayo, 51",,,,,
102029524,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/61/88/1156490220.webp,20,,291427.0,chalet,sale,111.0,,3,2,calle Alcalá,Madrid,Valdepiélagos,,es,,40.760994,-3.4684346,False,https://www.idealista.com/inmueble/102029524/,"Parcela + construcción.  Localizado en una zona excelente del pueblo, en el casco urbano, a 1 minutos andando del Colegio Primaria y a 5 minutos del colegio infantil de Valdepiélagos. Valdepiélagos es ideal si buscas una zona tranquila para vivir, está a 30 minutos de Madrid y a 20 minutos de Guadalajara. Dispone de todo tipo de servicios. • Las viviendas serían tipo adosado y de dos plantas. -Con plaza de garaje privado de 13 M². -Jardín y acceso de 17,62 m². -Con 7 metros de fachada. Las 3 habitaciones se encontrarían en la primera planta. Una de ellas suite que dispone de baño completo. Además de otro baño completo para el resto de habitaciones. En la planta baja tenemos la cocina con pequeño cuarto de tendedero. Un aseo de cortesía para los invitados.  La vivienda destaca por su excelente distribución, aprovechando así toda la vivienda. Amplio salón - comedor luminoso haciendo así la vivienda acogedora y bonita.  - EN EL PRECIO SE INCLUYE: • Construcción  • Parcela • Gastos urbanización (acometidos, desagües, calles, accesos. )  • Hormigón fratasado. • Estudios geotécnico y topográfico. • Dirección de la obra: arquitecto y aparejador. • Proyecto. •Aerotermia: suelo radiante y refrescante. Un sistema de climatización más económico y ecológico. • Licencias. • Impuestos incluidos. Consúltanos sin compromiso. Te acompañaremos en todo el proceso. Ref. 612.",False,good,False,,2625.0,False,False,False,False,[],False,False,291427.0,€,True,True,,chalet,Valdepiélagos,Chalet adosado en calle Alcalá,612,terracedHouse,,,
107664481,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/a0/e3/1319144327.webp,21,1,835000.0,flat,sale,112.0,True,2,2,Barrio Argüelles,Madrid,Madrid,Moncloa,es,Argüelles,40.4244426,-3.7156192,False,https://www.idealista.com/inmueble/107664481/,"¡NO COBRAMOS HONORARIOS AL COMPRADOR! Asesores Inmobiliarios Las Rosas pone a la venta en pleno corazón de Argüelles, esta vivienda totalmente reformada hace pocos años, ideal para quienes buscan elegancia, estilo y una ubicación privilegiada en el centro de Madrid. La propiedad cuenta con dos dormitorios ( antes 3) y dos baños. la vivienda esta muy bien distribuida y se ha aprovechado al máximo cada rincón. prácticamente todas las estancias son exteriores, lo que garantiza luminosidad. Ubicada en una de las calles más céntricas de Argüelles, rodeada de una amplia oferta de servicios como comercios, restaurantes, colegios internacionales y una excelente red de transporte público. Además, su proximidad al Parque del Oeste y al Templo de Debod la convierte en una opción ideal para quienes disfrutan de los espacios verdes y el ocio al aire libre sin renunciar a la comodidad de vivir en el centro. Esta propiedad reformada y llena de luz es una oportunidad única para disfrutar de una calidad de vida excepcional en uno de los barrios con mayor encanto de Madrid.  No dude en solicitarnos más información o concertar una visita. "" Lo importante no es saber, sino confiar en quien sabe "".",False,good,False,True,7455.0,False,False,False,False,[],False,False,835000.0,€,,,,flat,"Argüelles, Madrid",Piso,1260-A,,,,
108474562,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/e9/60/1346012356.webp,15,bj,530000.0,flat,sale,120.0,True,3,2,avenida Nuevo Mundo,Madrid,Boadilla del Monte,Sector S,es,,40.4076276,-3.884588,False,https://www.idealista.com/inmueble/108474562/,"¡Descubre este estupendo piso en venta que combina comodidad y ubicación! Con 120 m², este acogedor hogar en planta baja cuenta con un hall de entrada que te da la bienvenida. El amplio salón-comedor se abre a una encantadora terraza, ideal para disfrutar de momentos al aire libre. La cocina, equipada con un práctico tendedero, ofrece todo lo necesario para tus aventuras culinarias. Dispone de 3 dormitorios, perfectos para adaptarse a tus necesidades, y 2 baños, uno de ellos incorporado en el dormitorio principal para mayor privacidad. Además, cuenta con armarios empotrados que optimizan el espacio. La vivienda incluye una plaza de garaje y un trastero, brindando soluciones de almacenamiento adicionales. Ubicada en una urbanización con piscina y jardín, este piso es perfecto para disfrutar de un estilo de vida relajado. La situación es inmejorable, cerca de comercios, colegios y con fácil acceso a transporte público como bus y metro ligero. Ideal para familias o aquellos que buscan un hogar accesible, ya que es apto para personas con movilidad reducida. No pierdas la oportunidad de visitar este inmueble disponible hasta febrero de 2026. ¡Ven y haz de este piso tu nuevo hogar!",False,renew,False,True,4417.0,False,False,False,False,[],False,False,530000.0,€,True,True,,flat,"Sector S, Boadilla del Monte",Piso en avenida Nuevo Mundo,2296,,,,
107665692,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/ce/10/9f/1329842711.webp,52,3,215000.0,flat,sale,59.0,True,3,1,calle Blandón,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3890027,-3.7381214,False,https://www.idealista.com/inmueble/107665692/,"Inmobiliaria en Carabanchel - Oca - Tecnocasa Consulting Espada Sl, vende vivienda ubicada en la Calle Blandón, compuesta de 3 dormitorios, salón, cocina y baño. La vivienda cuenta con trastero dentro de la misma finca. La vivienda se encuentra en calle Blandón, a escasos metros de la calle Oca, una de las calles con mayor actividad del distrito, además de encontrarnos también a pocos metros de la calle General Ricardos, arteria principal de Carabanchel y con todo tipo de servicios y transporte público. Cabe destacar la consolidación a nivel asistencial (Centro de Salud de la c/ General Ricardos, hospital Gómez Ulla), escolar (Colegios: Clarisas, Renacimiento, Perú, etc.) y escuelas de idiomas, el buen ambiente y tranquilidad que tiene el barrio y sobre todo, la comunicación de la zona debido a que nos podemos encontrar con las distintas líneas de la EMT que recorren el barrio (34, 35, 108, 118 y 119) y autobuses interurbanos (481, 484 y 485), además de encontrar, a un minuto de la vivienda, la parada de Vista Alegre (línea 5). Existe la posibilidad de conseguir el 100 % de financiación sobre la compra, se realiza estudio financiero gratuito por el departamento financiero Kiron del Grupo Tecnocasa. AVISO LEGAL: Recordamos a nuestros Señores clientes que la información facilitada no constituye una auténtica oferta vinculante ni contractual. Este anuncio publicitario es provisional, y las fotografías y datos en él incluidos están sujetos a posibles modificaciones, consecuencia de exigencias comerciales, jurídicas, técnicas o por mandato expreso de la propiedad. La información aquí contenida procura reflejar una orientación sobre los inmuebles a la fecha de su publicación. La totalidad del contenido que aparece tiene carácter meramente informativo y aproximado, no teniendo, en modo alguno, carácter contractual. Tanto los datos, como las imágenes y planos pueden estar sujetos a cambios, por lo que le invitamos a que, si precisa una información más exacta y detallada, contacte con nosotros y le atenderemos a la mayor brevedad posible. Los contenidos tienen únicamente finalidad informativa y en ninguna circunstancia deben usarse ni considerarse como oferta de venta o financiación, solicitud de una oferta de compra o financiación, ni recomendación para realizar cualquier otra transacción, salvo que así se indique expresamente. La información y documentación a ofrecer de acuerdo con lo dispuesto en el Real Decreto 515/1989 (de 21 de abril, relativa a la protección de los consumidores en cuanto a la información a suministrar en la compraventa y arrendamiento de viviendas), será puesta a disposición de los potenciales compradores en las respectivas delegaciones territoriales gestoras del inmueble.",True,good,False,False,3644.0,False,False,False,False,[],False,False,215000.0,€,,,,flat,"Vista Alegre, Madrid",Piso en calle Blandón,,,,,
108088366,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/8d/fe/1333461373.webp,68,,545600.0,chalet,sale,289.0,,6,4,Los Negrales,Madrid,Collado Villalba,Los Negrales,es,,40.6363558,-4.0204684,False,https://www.idealista.com/inmueble/108088366/,"¡Descubre la oportunidad que estabas esperando! Este impresionante edificio residencial en Los Negrales, situado en la mejor urbanización de Villalba, está disponible para la venta. Con un total de 289 m² construidos, el inmueble cuenta con tres viviendas, perfectas para familias o inversores que buscan un espacio acogedor y funcional.  La primera y segunda vivienda ofrecen 60 m² cada una, con 3 habitaciones, un baño y un salón que se integra con la cocina, ideal para disfrutar de momentos en familia. La tercera vivienda es un verdadero lujo: 4 habitaciones, incluida una suite con baño privado, otro baño adicional, y un amplio salón-comedor de 40 m² con vistas espectaculares a la Sierra de Guadarrama.  Además, el edificio dispone de un amplio garaje común de 118 m², con capacidad para cinco vehículos y calefacción, asegurando comodidad durante todo el año. La entrada al edificio se realiza a través de un jardín delantero privado, brindando un toque exclusivo.  Ubicado en una zona con servicios insuperables, tendrás colegios, comercios y opciones de ocio como Planetocio a pocos pasos. El transporte público también es excelente, con estaciones de tren y autobuses directos a Madrid. ¡No dejes pasar esta oportunidad única de adquirir un edificio entero en un entorno privilegiado!",False,good,False,,1888.0,False,False,False,False,[],False,False,545600.0,€,True,True,,chalet,"Los Negrales, Collado Villalba",Chalet adosado,,terracedHouse,,,
108711331,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b0/bf/5c/1352860401.webp,31,2,325000.0,flat,sale,111.0,True,3,2,calle Nuestra Señora de la Torre,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3813715,-3.6263365,False,https://www.idealista.com/inmueble/108711331/,"¡TOTALMENTE AMUEBLADO, LISTO PARA ENTRAR A VIVIR!  ¡Descubre este magnífico piso ubicado en el emblemático Casco Histórico de Vallecas, Madrid!   Perfectamente reformado y diseñado  para aquellos que buscan comodidad y estilo, este amplio inmueble promete convertirse en el hogar ideal para ti y tu familia.   Este piso ofrece una generosa superficie de 102 metros útiles y un total de 111 metros construidos. Su diseño funcional y espacioso aprovecha al máximo cada rincón, creando un ambiente acogedor y luminoso.  El inmueble cuenta con tres amplias habitaciones,  cada una ha sido diseñada pensando en la comodidad, con suficiente espacio para crear dormitorios personalizados según tus gustos y necesidades. El lujo del espacio se complementa con una distribución que facilita la vida cotidiana, haciendo de este lugar un refugio íntimo y atractivo.  El salón es amplio y lleno de luz natural, ideal para disfrutar de reuniones familiares o momentos de relajación. Su amplitud permite configurar diferentes ambientes, adaptándose a todos tus momentos del día. Las ventanas grandes y dobles  aportan  iluminación y aislamiento excelente y  que también cuenta con dos amplias terrazas  que ofrecen agradables vistas que conectan con la esencia del barrio.  La cocina, independiente y funcional, cuenta con zona de office y  está totalmente equipada para satisfacer todas tus necesidades, ofrece tanto comodidad como modernidad.  Y para mayor comodidad, el inmueble cuenta con dos baños completos, uno equipado con ducha y el segundo con bañera.  Este magnifico piso se entrega totalmente amueblado, tal y como se muestra en las fotografías. Entre sus calidades destacamos que cuenta con aire acondicionado en todas las estancias, alarma, puerta de entrada acorazada,  puertas lacadas en blanco, paredes en pitura lisa, practico armario empotrado con puertas correderas en el pasillo y suelos de tarima de alta calidad.  La localización es, sin duda, uno de los grandes atractivos de esta propiedad. Situado en una de las zonas más tradicionales y con encanto de Madrid, estarás rodeado de un entorno lleno de historia y tradición. La conveniencia está garantizada gracias a su proximidad a medios de transporte: contarás con la estacion de tren  y paradas de autobús a solo unos pasos, conectándote rápidamente con el resto de la ciudad.  El Casco Histórico de Vallecas se caracteriza por su vibrante vida comunitaria, brindando numerosas tiendas, cafeterías y restaurantes que enriquecen la vida local con un sinfín de opciones para tu tiempo libre.  No dejes pasar esta oportunidad única de adquirir una propiedad que combina historia y modernidad, amplitud y calidez. La ubicación privilegiada, junto con las características excepcionales del piso, hacen de esta oferta una opción irresistible para aquellos que buscan invertir en calidad de vida.  Agenda una visita y descubre por ti mismo este maravilloso piso. No esperes más, llámanos y te mostraremos cada detalle que este inmueble tiene para ofrecer.  Gastos ITP, Notaria, Registro y Honorarios de Agencia no incluidos en el precio.   .",False,good,False,False,2928.0,False,False,False,False,[],False,False,325000.0,€,,,,flat,"Casco Histórico de Vallecas, Madrid",Piso en calle Nuestra Señora de la Torre,1763776,,,,
107737770,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/f6/e9/1321407354.webp,36,bj,200000.0,flat,sale,94.0,True,3,1,calle Coslada,Madrid,San Fernando de Henares,Centro,es,,40.4240455,-3.5359987,False,https://www.idealista.com/inmueble/107737770/,"¡ TU PROPIEDAD por MENOS de un ALQUILER! ¡ FINANCIACIÓN 100 %! . ¡ SIN COMISIÓN de AGENCIA y SIN Aportar AVALES! ¡ SIN entrada, SÓLO con tu nomina y APORTANDO los gastos de ESCRITURACIÓN! San Fernando de Henares. Amplio piso de 94 m2, con ASCENSOR. Dispone de 3 dormitorios, 2 armarios empotrados, cocina amueblada + terraza tendedero, salón con acceso a terraza cerrada en aluminio, baño con ventana, suelo tarima, ventanas aluminio. En periodo de pujas hasta el 11/04/2025. ¡ NO te COBRAMOS COMISIÓN, NI por la VENTA de la VIVIENDA!",False,good,False,True,2128.0,False,False,True,False,[],False,False,200000.0,€,,,,flat,"Centro, San Fernando de Henares",Piso en calle Coslada,SANFERNANDO,,,,
108035853,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/5b/c7/1331883074.webp,30,2,549000.0,flat,sale,87.0,True,2,2,calle de Santa Casilda,Madrid,Madrid,Arganzuela,es,Imperial,40.40405,-3.7128842,False,https://www.idealista.com/inmueble/108035853/,"GRUPO MANOR presenta en exclusiva esta vivienda especial, ubicada en una tranquila calle del demandado barrio Imperial, dentro del distrito de Arganzuela. Se trata de un piso reformado, con muy buena distribución y lleno de luz natural, ideal para quienes buscan confort, funcionalidad y una energía positiva en su hogar. Originalmente de tres dormitorios, la vivienda ha sido rediseñada para ofrecer dos amplias habitaciones. La principal cuenta con vestidor y baño en suite, mientras que la segunda dispone de armario empotrado, ofreciendo así espacios cómodos y bien aprovechados. La propiedad cuenta además con un segundo baño completo, lo que aporta aún más comodidad para el día a día. La vivienda fue reformada en 2013, incluyendo las instalaciones de fontanería y electricidad, lo que garantiza seguridad y eficiencia. Además, cuenta con un agradable balcón que amplía el espacio del salón y permite disfrutar de luz natural durante todo el día. Se han incorporado persianas eléctricas de seguridad antirrobo, así como una puerta de entrada blindada de alta seguridad, ofreciendo máxima protección y tranquilidad. Pero lo que realmente hace especial a esta vivienda es su identidad como una auténtica “casa dragón” según el Feng Shui: su orientación, distribución armónica y energía hacen de este piso un lugar lleno de buenas vibraciones, estabilidad y prosperidad. Un hogar donde se respira equilibrio y bienestar desde el primer momento. Situada en una zona muy bien comunicada, con todo tipo de servicios, zonas verdes y comercios a pocos pasos, esta propiedad es una oportunidad única tanto para vivir como para invertir. ¡No dude en contactarnos para concertar una visita! Y si está interesado en vender su propiedad, le ofrecemos una valoración gratuita y sin compromiso.",True,good,False,True,6310.0,False,False,False,False,[],False,False,549000.0,€,,,,flat,"Imperial, Madrid",Piso en calle de Santa Casilda,GMM9,,,,
