propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,district,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107851349,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/98/8f/1326221014.webp,11,2,138000.0,flat,sale,97.0,True,3,1,"travesía Bellomonte, 13",Madrid,Chapineria,es,40.3814387,-4.2062284,True,https://www.idealista.com/inmueble/107851349/,"CHAPINERIA, URBANIZACIÓN BELLOMONTE, se vende piso en segunda planta para actualizar, 3 dormitorios, 1 baño, urbanización con piscinas, tenis y grandes zonas verdes, casco urbano con todos los servicios al alcance de la mano, autobuses a Madrid por Autovía M-501.",False,renew,False,False,1423.0,True,False,False,False,[],False,False,138000.0,€,flat,Chapineria,"Piso en travesía Bellomonte, 13",,,,,,,,,,
108880693,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/eb/c7/1357794425.webp,7,1,595000.0,flat,sale,105.0,True,2,1,Barrio Sol,Madrid,Madrid,es,40.4185586,-3.7034168,False,https://www.idealista.com/inmueble/108880693/,"Vivienda en pleno centro de Madrid, junto a la Gran Vía con terraza de 20 metros cuadrados en propiedad. La vivienda se distribuye en salón con balcón, cocina amueblada, baño con bañera, dos dormitorios con armarios empotrados, una terraza en propiedad de 20 metros cuadrados a la que se accede desde el dormitorio principal. El edificio es del 1997. Ascensor. La calefacción es individual por gas natural.  Vivienda ideal si quieres vivir en el centro de Madrid. También es una buena inversión para comprar y alquilar debido a la gran demanda de alquileres en la zona centro de Madrid.",False,good,False,True,5667.0,True,False,False,False,[],False,False,595000.0,€,flat,"Sol, Madrid",Piso,VE2807,Centro,Sol,,,,,,,
108796856,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/bd/6d/1355406358.webp,11,1,186000.0,flat,sale,65.0,True,2,1,calle de San Claudio,Madrid,Madrid,es,40.38884,-3.637201,False,https://www.idealista.com/inmueble/108796856/,"INMOBILIARIA BLUE HOUSE ofrece en exclusiva piso a la venta, exterior y luminoso, ubicado cerca de Avda. de la Albufera y rodeado de amplia variedad de servicios, tales como farmacias, centro de salud, comercios, colegios, parques, parada de varias líneas de autobuses ( 144, 54, 58, 142, 143) y parada de metro Miguel Hernández ( línea 1). Compuesto por recibidor, salón, cocina con tendedero, dos dormitorios ( uno de ellos con una pequeña terraza) y baño con plato de ducha.",False,renew,False,False,2862.0,False,False,False,False,[],False,False,186000.0,€,flat,"Palomeras sureste, Madrid",Piso en calle de San Claudio,BHSSC,Puente de Vallecas,Palomeras sureste,,,,,,,
108687780,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/f1/c0/1352178156.webp,6,1,195000.0,flat,sale,84.0,True,3,1,calle Abolengo,Madrid,Madrid,es,40.3880077,-3.7361189,False,https://www.idealista.com/inmueble/108687780/,"VIVIENDA OCUPADA. No se puede visitar el interior del inmueble. OPERACIÓN NO HIPOTECABLE. Compra al contado. DESOCUPACIÓN INCLUIDA EN EL PRECIO. LA AGENCIA DEL BARRIO vende piso de 84m2 construidos, ubicado en Vista Alegre, Carabanchel, Madrid. La vivienda se compone de hall de entrada, pasillo, salón-comedor, cocina, dormitorio principal, dos dormitorios, despensa y cuarto de baño. Zona residencial consolidada, con todas las comodidades de los comercios para hacer la compra (supermercados, panadería, tiendas de alimentación, frutería y verdulería, etc. ) centros de educación(guardería, escuela, instituto, biblioteca, escuela de idiomas.. . ) y salud (farmacias, centro de salud, clínica dental, veterinaria etc. ), parada de autobuses, parada de metro vista alegre y oporto, gasolineras, etc. Llamenos e informese de como adquirir esta propiedad. HORARIO DE 10 A 14 Y DE 17 A 20H. DE LUNES A VIERNES. GRACIAS.",False,renew,False,False,2321.0,False,False,False,False,[],False,False,195000.0,€,flat,"Vista Alegre, Madrid",Piso en calle Abolengo,ABOLENGO-Y,Carabanchel,Vista Alegre,,,,,,,
108821692,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fd/b0/b8/1356128123.webp,53,,350000.0,chalet,sale,164.0,,5,2,El Álamo,Madrid,El Álamo,es,40.228043,-3.9965804,False,https://www.idealista.com/inmueble/108821692/,"**Chalet Independiente en El Álamo - ¡Tu refugio ideal! ** Descubre este espectacular chalet independient en la localidad de El Álamo a 30 minutos de Madrid capital.  La parcela cuenta con un total de de terreno de 550m² de superficie, donde se encuentra el inmueble con un total construido de 164m² repartido en dos plantas, ademas de la piscina.  Dispone de un total de 5 dormitorios y 2 baños En la planta baja encontramos un acogedor salón comedor, cocina independiente con salida a terraza y por otro lado a garaje, baño completo con ducha y habitación adicional. En la planta superior encontramos 4 amplios dormitorios muy amplio baño con bañera, de uno de los dormitorios nos conduce a una gran terraza. La finca cuenta con piscina propia de gresite. La calefacción es por caldera de gasoil, aire acondicionado en las dos plantas, armarios empotrados, suelo de terrazo, ventanas de aluminio correderas. Toldos, alarma, puertas de acceso blindadas. Tiene buen acceso para vehiculos.  ¡No dejes pasar la oportunidad de vivir en este maravilloso hogar!",False,good,False,,2134.0,False,False,False,False,[],False,False,350000.0,€,chalet,El Álamo,Casa independiente,871VP,,,True,True,independantHouse,,,,
108895363,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/d1/3e/1358214249.webp,8,3,1590000.0,flat,sale,125.0,True,3,3,"calle de Alcántara, 33",Madrid,Madrid,es,40.4290831,-3.6740232,True,https://www.idealista.com/inmueble/108895363/,"¡Descubre tu nuevo hogar de lujo en el corazón de la ciudad! Este impresionante piso a estrenar, completamente reformado, cuenta con 125 m² construidos y ofrece un diseño moderno y elegante que te encantará. Con 3 amplias habitaciones, 2 de ellas con vestidor y baño en suite, tendrás todo el espacio que necesitas para disfrutar de la comodidad y privacidad.  El salón comedor, luminoso y acogedor, se integra perfectamente con una cocina moderna, creando un ambiente ideal para compartir momentos inolvidables. Además, podrás relajarte en la terraza, perfecta para disfrutar del sol gracias a su orientación sur. La vivienda, situada en una planta alta con vistas despejadas, cuenta con calefacción eléctrica y aire acondicionado, asegurando tu confort durante todo el año. No te preocupes por el espacio de almacenamiento, ya que incluye armarios empotrados y un trastero. La plaza de garaje está incluida en el precio, lo que añade comodidad a tu día a día. Con portero físico y un ascensor que te llevará directamente a tu hogar, vivir aquí es sinónimo de tranquilidad y seguridad. ¡No dejes pasar esta oportunidad única! Ven a visitarlo y enamórate de tu futuro hogar.",False,good,False,True,12720.0,False,False,False,False,[],False,False,1590000.0,€,flat,"Lista, Madrid","Piso en calle de Alcántara, 33",,Barrio de Salamanca,Lista,True,True,,,,,
108646479,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/1b/ba/1350937586.webp,23,9,230000.0,flat,sale,89.0,True,3,1,CL ZAMORA,Madrid,Fuenlabrada,es,40.2954854,-3.8039218,False,https://www.idealista.com/inmueble/108646479/,"La Serna! piso de 3 dormitorios, cocina amueblada con tendedero, salón ampliado con terraza, baño reformado ampliado con ventana, suelo de gres, puertas sapeli, exterior blindada, a/e. , calef. ind. g/n. , aire acondicionado, dobles ventanas, trastero, rehabilitada fachada, cubierta, totalmente exterior muy soleado y luminoso, excelente zona, al lado Centro Comercial Avda. de las Provincias, cerca de renfe, zona dotada de todos los servicios, infórmese!",False,good,False,True,2584.0,False,False,False,False,[],False,False,230000.0,€,flat,"La Serna, Fuenlabrada",Piso en Cl Zamora,1303,La Serna,,,,,,,,
108021998,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/0e/be/1344320642.webp,42,4,695000.0,penthouse,sale,108.0,True,2,1,calle de Tomás Bretón,Madrid,Madrid,es,40.396521,-3.6915497,False,https://www.idealista.com/inmueble/108021998/,"**Ático en Venta en el Corazón de Madrid - **LAVAMA URBAN PRESENTA EN EXLUSIVA** Descubra este espectacular ático que combina modernidad y comodidad en una ubicación privilegiada del barrio de los Metales. Situado en la cuarta planta de un edificio de reciente construcción, este hogar ofrece 58 m² construidos y 5Omts2 de terraza, ideales para disfrutar de la vida urbana sin renunciar a la tranquilidad. Con un luminoso salón -comedor exterior con salida a la terraza, una cocina independiente y un dormitorio y un despacho, cada rincón está diseñado para maximizar el confort. Adicional, se ofrece una plaza de garaje en finca por 35.000 Euros. La joya de esta propiedad es su impresionante terraza de 50 m², accesible desde el dormitorio y el salón, donde podrá hacer vida en el exterior, tener momentos de relax al aire libre o celebrar reuniones con familia y amigos en este espacio único. Además, cuenta con un amplio baño, armarios empotrados y todas las comodidades necesarias, como aire acondicionado y calefacción por bomba de frío/calor. La vivienda también incluye un trastero en la finca, lo que añade un valor extra a la inversión. Con ascensor y zonas comunes muy bien cuidadas, la seguridad y el acceso son inmejorables. A pocos minutos de Embajadores, Madrid Río y el centro, tendrá todo lo que necesita al alcance de la mano. No deje pasar esta oportunidad única de vivir en un entorno tranquilo y moderno en el centro de Madrid. Contáctenos para más información o agendar una visita.",True,good,False,True,6435.0,False,True,False,False,[],False,False,695000.0,€,flat,"Delicias, Madrid",Ático en calle de Tomás Bretón,,Arganzuela,Delicias,True,False,penthouse,35000.0,,,
107814905,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/17/29/1324625190.webp,7,3,119999.0,flat,sale,85.0,True,2,1,calle Dúrcal,Madrid,Madrid,es,40.368399,-3.7015382,False,https://www.idealista.com/inmueble/107814905/,"Merino vende vivienda en Orcasur, actualmente  se encuentra ocupada. La propiedad se encontraba en buen estado de conservación, pero por la ocupación no se pueden hacer visitas. Características de la propiedad - Superficie: 85m2 - Número de habitaciones: 2 - Número de baños: 1 - Estado de conservación: Desconocido  - Orientación: NOROESTE  Ocupación ilegal Ubicación inmejorable, muy cerca de la estación de Renfe de Orcasitas y de la estación del metro San Fermín. Muy buena comunicación con la M30, M-40, A42 y Avenida de los Poblados.   MERINO LE OFRECE ESTA FANTASTICA VIVIENDA.",False,good,False,False,1412.0,True,False,False,False,[],False,False,119999.0,€,flat,"12 de Octubre-Orcasur, Madrid",Piso en calle Dúrcal,2177,Usera,12 de Octubre-Orcasur,,,,,,,
108662938,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/3b/4f/1351462040.webp,26,5,545000.0,flat,sale,95.0,True,2,2,calle Tintín y Milú,Madrid,Madrid,es,40.4630324,-3.5828814,False,https://www.idealista.com/inmueble/108662938/,"QUINTA PLANTA - TODO EXTERIOR. MUY LUMINOSO. URBANIZACIÓN IDEAL FAMILIAS Esta espectacular vivienda de 95 metros, cuenta con TRASTERO incluido, y gran PLAZA DE GARAJE opcional.  Se encuentra en una URBANIZACIÓN de reconocido prestigio en la zona, ideal para familias, gracias a sus PISCINAS, cancha de BALONCESTO y FUTBOL, pista de PADEL, y diversos PARQUES INFANTILES con columpios, además de amplias salas de FIESTAS.  La urbanización cuenta con PORTERO FÍSICO y VIGILANCIA 24 HORAS. Servicio de recogida de PAQUETES, y servicio de recogida de BASURAS.  La vivienda se distribuye en: Amplio hall de entrada con armario empotrado, cocina con lavandería independiente y ventana exterior, gran salón con vistas a las zonas comunes, espacioso dormitorio doble con baño en suite, y una segunda habitación, también exterior, y, por útlimo, otro cuarto de baño completo en pasillo. La vivienda, además, dispone de AIRE ACONDICIONADO CENTRALIZADO POR CONDUCTOS, calefacción individual, y zona de tendedero en la azotea.  Los cuartos de baño han sido reformados recientemente.  ZULUETA CONSULTORES Trabajamos sábados y domingos.",False,good,False,True,5737.0,False,False,False,False,[],False,False,545000.0,€,flat,"Alameda de Osuna, Madrid",Piso en calle Tintín y Milú,MILUP5,Barajas,Alameda de Osuna,True,False,,23000.0,,,
