propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,district,externalReference,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108433394,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/52/fe/1344731367.webp,82,314900.0,chalet,sale,237.0,5,3,calle Doctor Vallejo Nájera,Madrid,Villalbilla,es,40.4312464,-3.3002332,False,https://www.idealista.com/inmueble/108433394/,"AS Fresnos vende vivienda unifamiliar, en Villalbilla Gran oportunidad de tener tu chalet pareado, con muy grandes posibilidades, la vivienda cuenta con una parcela de 274 m2, y una superficie construida de 237 m2 y esta distribuido en 2 plantas, primera planta con salida a un gran patio de casi 100 M2 aproximadamente y la planta sótano que se comunica con el garaje La vivienda tiene grandes estancias, actualmente tiene dos salones, una cocina, cuenta con 5 dormitorios, 3 baños, un porche delantero, y un patio con barbacoa de obra. El inmueble tiene un gran espacio de aparcamiento. Las vivienda está distribuidas de la siguiente manera: Planta baja, cuenta con salón comedor, cocina con vitroceramica, 3 dormitorios con armarios empotrados, pasillo con salida a un pequeño patio, 2 baños completos en suite con bañera y el segundo baño con ventana y bañera. Disfruta del patio un gran espacio exterior, con jardinería o barbacoa. Ideal para quienes aman la vida al aire libre. Planta sótano, se accede por escalera, tiene una sala de estar, 2 dormitorios, un espacio para acondicionar como cocina, 1 baño completo con plato de ducha y salida a su gran garaje para 2 coches. La casa se climatiza por gasoil, también tiene calentador de gas, la carpintería interior con puertas de madera, armarios empotrados y revestidos, suelos de gres, pergo y tarima flotante, paredes lisas y gotelé, la carpintería exterior con ventanas de aluminio blanco climalit, mosquiteras, toldos, con rejas de hierro macizo, aire acondicionado con bomba de calor. Próximo a todos los servicios de primera necesidad, parada de buses, supermercados. , bares, parques infantiles, etc. Aquí tienes la oportunidad de vivir en una zona tranquila, para disfrutar en familia. · A 10 minutos de Torrejón de Ardoz y Alcalá de Henares. · A tan solo 30 minutos del centro de Madrid. En AS Fresnos Inmobiliaria trabajamos para ofrecer a nuestros clientes los mejores inmuebles de la zona, para proporcionarles la mejor opción a su necesidad, y un servicio personalizado, en el que estamos atentos a todos los detalles. Te conseguimos la mejor Hipoteca del mercado, HASTA EL 100% DE LA COMPRAVENTA, HASTA EL 100% DE LA TASACIÓN (según perfil). Asesoramiento financiero gratuito. ( Financiera externa) NO DUDE EN LLAMARNOS PARA COORDINAR UNA VISITA. “Estamos contigo de principio a fin” Puede contactar con nosotros en nuestra oficina de: Avenida de los Fresnos 27, Local 2.",False,good,False,1329.0,False,False,False,False,[],False,False,314900.0,€,True,True,chalet,semidetachedHouse,Villalbilla,Chalet pareado en calle Doctor Vallejo Nájera,,,,,,,,,,
108903443,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/4d/8f/1358455247.webp,26,460000.0,chalet,sale,390.0,12,4,Cercedilla,Madrid,Cercedilla,es,40.7380342,-4.062341,False,https://www.idealista.com/inmueble/108903443/,"INMOBILIARIA LOS BERROCALES VENDE. NO COBRAMOS COMISIÓN AL COMPRADOR ¡Oportunidad única en Cercedilla! Chalet independiente de 1930 con mucha historia, ideal para familias numerosas o inversores. Este encantador inmueble cuenta con una parcela de 460 m² con un jardín perfecto para disfrutar de la naturaleza. La vivienda, de 390 m² construidos, se distribuye en 3 plantas y ofrece 12 habitaciones con armarios empotrados, 4 baños, 3 salones comedores y 3 cocinas independientes. Además, dispone de varios balcones que ofrecen maravillosas vistas a la montaña. Ubicado en una zona privilegiada, a tan solo 4 minutos andando de la Estación de Renfe y a 2 minutos de la parada de autobús, este chalet combina la tranquilidad del entorno natural con la comodidad de estar cerca del centro del pueblo, al que se llega en solo 8 minutos caminando. La casa está en buen estado y cuenta con calefacción de gasoil, orientada hacia el norte, sur, este y oeste, lo que garantiza una excelente iluminación y ventilación durante todo el año. No pierdas la oportunidad de vivir en un lugar con encanto histórico y todas las comodidades modernas. ¡Ven a conocer tu futuro hogar en Cercedilla!",False,good,False,1179.0,False,False,False,False,[],False,False,460000.0,€,,,chalet,independantHouse,Cercedilla,Casa independiente,,,,,,,,,,
107600491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/c9/99/1317248406.webp,35,2550000.0,chalet,sale,500.0,6,6,El Soto de la Moraleja,Madrid,La Moraleja,es,40.5208489,-3.637441,False,https://www.idealista.com/inmueble/107600491/,"Cocoa Real Estate, ofrece preciosa casa adosada en una de las mejores urbanizaciones de la Moraleja, por su ubicación, cercanía a los colegios, seguridad y entorno privilegiado. Este maravilloso chalet, se distribuye en cuatro amplias plantas de la siguiente manera: en la planta de entrada nos encontramos con un amplio hall, que da acceso a un gran salón comedor en dos ambientes, con chimenea y muy luminoso por su orientación sur y por sus grandes ventanales del suelo al techo que dan salida a un acogedor porche y agradable jardín. En esta misma planta hay un aseo de invitados y una fabulosa cocina moderna con office y entrada independiente desde la calle. En la planta primera está la zona de los dormitorios principales, son un total de cuatro y todos de gran magnitud, sobre todo el dormitorio principal que cuenta con un baño en suite y gran cantidad de armarios para almacenaje y vestidor independiente. Dos de los otros dormitorios comparten baño completo y el cuarto dormitorio también es en suite con salida a una terraza con vistas. La buhardilla, es un espacio versátil muy luminoso con una zona de estar con salida una terraza con espectaculares vistas panorámicas a la sierra de Madrid y desde la que se puede disfrutar de bonitos amaneceres y atardeceres. Además, la buhardilla tiene un gran dormitorio con baño completo en suite. La planta sótano, está perfectamente preparada para evitar humedades y dispone de espacios muy útiles, como zona de lavado y tendedero independiente, dormitorio de servicio muy grande con baño completo, despensa, y dos grandes salas diáfanas para darles cualquier tipo de uso, como sala de juegos, gimnasio. La casa dispone de:  garaje cerrado para dos coches. Aire acondicionado calefacción gasoil Urbanización cerrada con seguridad padel piscina.",False,good,False,5100.0,False,False,False,False,[],False,False,2550000.0,€,True,True,chalet,terracedHouse,"El Soto de la Moraleja, La Moraleja",Chalet adosado,El Soto de la Moraleja,,,,,,,,,
108377183,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/0a/1f/1342292113.webp,32,780000.0,chalet,sale,313.0,4,4,Segunda Fase,Madrid,Tres Cantos,es,40.591917,-3.7039505,False,https://www.idealista.com/inmueble/108377183/,"TENANI SERVICIOS INMOBILIARIOS, la inmobiliaria de Tres Cantos desde 1993, vende en exclusiva chalet adosado situado en urbanización con piscina, pista de tenis y jardín; con todos los servicios cercanos. Superficie: 230,10 m2. Distribución: planta baja (hall con armario empotrado; aseo exterior; cocina; salón con chimenea; comedor; jardín con porche), planta primera (distribuidor con armario empotrado; 3 dormitorios, 2 con armarios empotrados; 2 baños, 1 en suite y 1 exterior), planta alta (sala de estar; almacén; trastero), semisótano (sala de estar con chimenea; despensa; cuarto de lavado; garaje). Caldera individual de gas. NUESTROS HONORARIOS LOS PAGAN ÚNICA Y EXCLUSIVAMENTE LOS VENDEDORES.",False,renew,False,2492.0,False,False,False,False,[],False,False,780000.0,€,True,True,chalet,terracedHouse,"Segunda Fase, Tres Cantos",Chalet adosado,Segunda Fase,VC130,,,,,,,,
106864795,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/cd/02/1296249063.webp,13,1050000.0,flat,sale,110.0,2,2,Barrio Chueca-Justicia,Madrid,Madrid,es,40.4223227,-3.6992811,False,https://www.idealista.com/inmueble/106864795/,"La vivienda se encuentra en reforma, fotos de archivo. Impresionante piso totalmente reformado, situado en el emblemático Barrio de Universidad, en el corazón del Distrito Centro. Ubicado en una segunda planta exterior, ofrece una excelente iluminación natural y un diseño moderno que combina estilo y funcionalidad. Salón-comedor: Espacioso y acogedor, integrado con una cocina abierta completamente equipada con electrodomésticos de alta gama, con un balcón, perfecto para disfrutar del aire libre y vistas al encantador barrio. En la zona de noche con dos dormitorios amplios, ambos con armarios, ideales para descanso y dos baños completos, diseñados con acabados modernos y de calidad. Calefacción individual para mayor eficiencia energética, aire acondicionado que garantiza el máximo confort en los meses cálidos y una decoración y mobiliario incluidos, listos para entrar a vivir. Ubicado en una zona privilegiada con fácil acceso a servicios, transporte público, y rodeado de la mejor oferta cultural, gastronómica y comercial de Madrid. ¡Una oportunidad única para disfrutar de la vida urbana en un entorno exclusivo!.",False,good,False,9545.0,False,False,False,False,[],False,False,1050000.0,€,,,flat,,"Chueca-Justicia, Madrid",Piso,Centro,,2,True,Chueca-Justicia,True,,,,
108910759,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/98/47/1358671628.webp,3,250000.0,chalet,sale,106.0,3,1,calle Villacampo,Madrid,Nuevo Baztan,es,40.3728898,-3.2704211,False,https://www.idealista.com/inmueble/108910759/,"GRAN OPORTUNIDAD - Chalet independiente con parcela de 1.193 m² en Eurovillas – Nuevo Baztán Vivienda a reformar en una de las calles más tranquilas de la urbanización. Ideal tanto como residencia habitual como segunda vivienda, esta propiedad combina entorno natural, privacidad y buena conexión con Madrid.  La vivienda cuenta con tres dormitorios, baño, sala de estar con chimenea y en el exterior cuenta con zona de barbacoa y piscina. La vivienda se encuentra en una parcela con zona ajardinada, árboles maduros y espacio más que suficiente para piscina, huerto o ampliaciones. El chalet está listo para entrar a vivir, aunque ofrece muchas posibilidades de personalización.",False,renew,False,2358.0,False,False,False,False,[],False,False,250000.0,€,,,chalet,independantHouse,Nuevo Baztan,Casa independiente en calle Villacampo,,,,,,,,,,
107804675,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/cb/6b/1324276269.webp,2,118650.0,flat,sale,86.0,3,1,"calle Ponce de León, 15",Madrid,Alcalá de Henares,es,40.4762885,-3.3868032,True,https://www.idealista.com/inmueble/107804675/,"Actualmente, no es posible realizar visitas al interior del inmueble. Las fotografías pueden no reflejar el estado actual de la propiedad. Renta actual: 440,22 €/mes Fecha de fin de contrato: 08/2027.",False,good,False,1380.0,False,False,False,False,[],False,False,118650.0,€,,,flat,,"Reyes Católicos, Alcalá de Henares","Piso en calle Ponce de León, 15",Reyes Católicos,07026,bj,True,,False,,,,
108592005,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/1f/d8/1350230931.webp,27,180000.0,flat,sale,66.0,3,1,CL BILBAO,Madrid,Alcorcón,es,40.3452122,-3.8297269,False,https://www.idealista.com/inmueble/108592005/,"INMOBILIARIA LÓPEZ & MORENO, gestiona la venta en exclusiva de esta propiedad en céntrica e inmejorable zona en Alcorcón. Toda exterior, con mucha luz y con ventilación cruzada así como una cómoda y aprovechada distribución que comprende cocina y salón independientes este último con salida a un balcón con vistas a la calle Bilbao, 3 dormitorios y cuarto de baño con plato de ducha. Reformada hace pocos años, el estado constructivo es considerablemente bueno, entre las calidades encontramos suelo de tarima, ventanas de climalit batiente y oscilobatiente, aire acondicionado en el salón y calefacción de Gas Natural individual. Su céntrica ubicación facilita el acceso al transporte público, a menos de 10 minutos caminando de la estación de Alcorcón Central (Cercanías línea C5 y Línea 12 de Metro) así como a las principales arterias y avenidas con facilidad para la movilidad en coche.",False,good,False,2727.0,False,False,False,False,[],False,False,180000.0,€,,,flat,,"Casco Antiguo, Alcorcón",Piso en Cl Bilbao,Centro,Alcorcón ,4,True,Casco Antiguo,False,,,,
108321766,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9d/0a/80/1340639185.webp,6,76000.0,chalet,sale,146.0,2,1,calle Azucena,Madrid,Villarejo de Salvanés,es,40.1121313,-3.2586028,False,https://www.idealista.com/inmueble/108321766/,"El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros Chalet independiente de 1 dormitorio y de 1 baño en Villarejo de Salvanés. Cuenta con una superfície de 146 m2. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra. El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral.",True,good,False,521.0,False,False,False,False,[],False,False,76000.0,€,,,chalet,independantHouse,Villarejo de Salvanés,Casa independiente en calle Azucena,,FHOG-3037,,,,,,,,
108585022,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b6/ab/11/1351123486.webp,18,650000.0,flat,sale,45.0,2,1,Barrio Chueca-Justicia,Madrid,Madrid,es,40.4253896,-3.6944606,False,https://www.idealista.com/inmueble/108585022/,"SERVICIOS INMOBILIARIOS ALFA 3C PRESENTA.. . Ubicado en pleno corazón del barrio de Justicia, en Madrid, te presentamos este elegante apartamento completamente reformado, con materiales de alta calidad y una distribución pensada al detalle. Situado en la cuarta planta de una finca clásica de 1887, destaca por su extraordinaria luz natural durante todo el día. El apartamento consta de 45 m2 y cuenta con dos habitaciones: Una habitación doble con cama de matrimonio y un gran armario empotrado y un segundo espacio muy versátil, ideal como habitación de invitados, despacho o incluso como una extensión del salón, gracias a una gran puerta corredera que lo conecta con la zona social. El salón conserva una de las paredes originales del edificio, con vigas de madera vista y ladrillo. La cocina, con un diseño cuidado y muebles a medida en fresno teñido terracota, cuenta con encimeras de Silestone y zona de comedor tipo office junto a un espectacular ventanal de techo a suelo con vistas a los tejados del barrio de Salesas. En todo el apartamento se ha instalado tarima flotante en espiga, y se ha trabajado con una iluminación cálida y perfectamente distribuida. Un hogar con historia, diseño y funcionalidad, en una de las zonas más deseadas de Madrid. Esto es Justicia. Esto es vivir Madrid con carácter. Alfa Inmobiliaria 3C. Tu casa, nuestro compromiso. ¡ OFRECEMOS SERVICIO DE FINANCIACIÓN HASTA EL 100%!",False,good,False,14444.0,False,False,False,False,[],False,False,650000.0,€,,,flat,,"Chueca-Justicia, Madrid",Piso,Centro,1530/2701,4,True,Chueca-Justicia,True,,,,
