propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
107521810,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/bb/a3/1314931826.webp,1612-B,6,1,3150000.0,flat,sale,250.0,False,5,6,calle de Maldonado,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4331617,-3.6792838,False,https://www.idealista.com/inmueble/107521810/,"¡Descubre el hogar de tus sueños en este espectacular piso de 280 m², completamente reformado con materiales de alta calidad! Ubicado en una finca clásica de 1946, esta joya combina el encanto del pasado con las comodidades modernas. Disfruta de cinco dormitorios, cada uno con su baño en suite, y un aseo de cortesía para invitados. El amplio salón ofrece dos ambientes ideales para el entretenimiento, mientras que la cocina independiente es perfecta para los amantes de la gastronomía. Este piso cuenta con dos terrazas, una exterior para disfrutar del sol y otra interior para momentos más íntimos. Con calefacción radiante y aire acondicionado, la comodidad está garantizada durante todo el año. Además, dispone de una zona de lavandería, un gran vestidor. La vivienda es apta para personas con movilidad reducida y se encuentra en la primera planta de un edificio con ascensor. Con orientación este, aprovecha al máximo la luz natural. ¡No pierdas la oportunidad de vivir en este oasis urbano!",False,good,False,True,12600.0,False,False,False,False,[],False,False,3150000.0,€,flat,"Castellana, Madrid",Piso en calle de Maldonado,,,,,,,
105408030,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/ca/5a/1330012061.webp,,5,1,285000.0,flat,sale,38.0,False,1,1,calle de Isabel la Católica,Madrid,Madrid,Centro,es,Palacio,40.4209684,-3.7110101,False,https://www.idealista.com/inmueble/105408030/,"CONTACTAR POR FORMULARIO - PARA EMPRESAS Y/O AUTONOMOS ¡Magnífico Piso en Venta Junto a la Gran Vía de Madrid!  DFLAT Madrid pone a la venta este magnífico piso reformado, para EMRESAS y AUTÓNOMOS que buscan una inversión segura en una de las zonas más demandadas de la capital. La venta se realiza con renuncia a la exención del IVA, lo que lo convierte en una opción especialmente atractiva para aquellos que puedan beneficiarse de la deducción fiscal. El comprador deberá auto-liquidar el Impuesto de Transmisiones Patrimoniales (ITP) por inversión del sujeto pasivo. Descubre este espectacular piso, ubicado en una de las zonas más emblemáticas de Madrid. Situado en la primera planta de un edificio rehabilitado con ascensor, este luminoso apartamento de 38 m² ofrece una distribución ideal para aprovechar cada rincón. Con orientación sur y ventanas en todas las estancias, disfrutarás de luz natural durante todo el día. El inmueble cuenta con un amplio salón comedor, un dormitorio con armarios empotrados y un baño completo. La cocina está equipada con todos los electrodomésticos necesarios para tu comodidad. Además, dispone de suelos de tarima, paredes lisas y ventanas climalit. La calefacción y el aire acondicionado están garantizados gracias a una eficiente bomba de frío/calor. La ubicación es inmejorable: a solo un minuto de la Gran Vía y muy cerca de Plaza de España, Callao y Sol. Ideal tanto para vivir como para invertir, dada la alta demanda de alquileres en la zona. Los gastos de comunidad e IBI son bajos, lo que hace de esta propiedad una opción aún más atractiva. El edificio está en perfecto estado y cuenta con una ITE favorable.  No pierdas la oportunidad de vivir en el corazón de Madrid o de realizar una inversión con gran rentabilidad. Organiza tu visita llamando a nuestro equipo. ¡Te esperamos!",True,good,False,True,7500.0,False,False,False,False,[],False,False,285000.0,€,flat,"Palacio, Madrid",Piso en calle de Isabel la Católica,,,,,,,
108869085,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/c1/44/1357488995.webp,3MOSTOLESC1-19549-0001EMPECINADO,10,7,205400.0,flat,sale,90.0,True,3,1,CL EMPECINADO DEL,Madrid,Móstoles,Este,es,,40.3230763,-3.8540768,False,https://www.idealista.com/inmueble/108869085/,"El inmueble está actualmente en OFERTA FLAHS, hasta el próximo 5 de agosto a las 14 h por lo que todos los clientes interesados en su compra después de visitar la vivienda tendrán derecho a participar en la puja de la subasta que se realizará entre las personas que estén interesadas, siendo el precio de salida de la subasta el indicado. En todo momento le asistirá un comercial durante todo el proceso que además es muy sencillo. Piso de 87 m² ubicado en Móstoles, Madrid. Se trata de un piso de 87 m² distribuidos en salón-comedor, cocina, 3 dormitorios y 1 baño. La vivienda se encuentra en el núcleo urbano de Móstoles, concretamente en la calle Empecinado, una zona residencial consolidada que ofrece un entorno tranquilo y familiar, ideal tanto para familias como para quienes buscan comodidad y servicios a su alcance. El edificio presenta una estructura sólida y bien conservada, con zonas comunes cuidadas y acceso adaptado. La ubicación de este piso es especialmente atractiva por su excelente comunicación. Cuenta con acceso directo a la A-5 (Autovía del Suroeste), lo que facilita la conexión rápida con Madrid capital y otras localidades del sur de la Comunidad. Además, la estación de MetroSur “Pradillo” se encuentra a escasos minutos a pie, permitiendo un desplazamiento ágil por toda la zona sur de Madrid. La estación de Cercanías Renfe “Móstoles” también está próxima, ampliando las opciones de transporte público. En cuanto a autobuses, varias líneas urbanas e interurbanas conectan el barrio con el centro de Móstoles y municipios colindantes. En los alrededores se pueden encontrar todo tipo de servicios esenciales: supermercados, restaurantes, farmacias, centros deportivos y una amplia oferta educativa con colegios e institutos cercanos. Destacan el Hospital Universitario de Móstoles y el Hospital Rey Juan Carlos, ambos a pocos minutos en coche, así como el Centro de Salud Presentación Sabio. Para el ocio y el tiempo libre, el Parque Finca Liana, uno de los pulmones verdes más importantes de la ciudad, se sitúa a corta distancia, ofreciendo amplias zonas ajardinadas, áreas infantiles y espacios para la práctica deportiva. Además, el Centro Comercial La Fuensanta y el Centro Comercial Tres Aguas en Alcorcón se encuentran a pocos minutos en coche, ampliando la oferta comercial y de servicios. Con nuestros servicios podrá encontrar el piso que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.",False,good,False,True,2282.0,False,False,False,False,[],False,False,205400.0,€,flat,"Este, Móstoles",Piso en Cl Empecinado Del,,,,,,,
106507331,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/ab/e4/1284944327.webp,B-199,40,,350000.0,countryHouse,sale,228.0,,5,2,Moraleja de Enmedio,Madrid,Moraleja de Enmedio,,es,,40.2630711,-3.86215,False,https://www.idealista.com/inmueble/106507331/,"Inmobiliaria Burdecor comercializa en regimen de venta esta acogedora y amplia casa en la localidad de Moraleja de Enmedio. La vivienda esta reformada y rehabilitada desde el 2009, fachada electricidad, tuberías etc. Preciosa fachada de ladrillo de era. Ubicada en el centro del pueblo, consta de dos plantas y esta distribuida de la siguiente manera. Entrado por la puerta principal, a mano izquierda encontraremos una cocina de gran dimensión, con salida al patio y garaje de la casa. A mano derecha desde la entrada un salón comedor independiente muy acogedor, con vistas a la calle. De frente el baño completo y a derecha e izquierda del pasillo un dormitorio a cada lado. Esta primera planta tiene suelos de gres, carpintería interior de madera de Roble, y carpintería exterior de aluminio color chocolate. Dos amplios armarios empotrados en cada una de las habitaciones, forrados y puertas de madera de roble. Calefacción individual de gasoil. Agua caliente con caldera de gasoil. Saliendo al patio encontraremos una caseta de aperos donde se almacenaban las herramientas agrícolas, que se puede trasformar en una preciosa cocina campera con barbacoa y zona de verano para reuniones con familiares y amigos. Tiene un pequeño almacén de 31m2, y la zona donde esta ubicada la cadera y el deposito de Gasoil. Subiendo a la parte de arriba, que podría ser perfectamente un apartamento individual, nos encontraremos un salnos, tres ermitorios cocina con salida a una pequeña terraza y un baño completo. Esta parte de la casa tiene suelos de gres, carpintería interior de madera de sapely y carpintera exterior de aluminio color chocolate. Pago de la Contribución al año 774€/año I. B. I No dude en pedirnos información, estamos encantados en atenderles y enseñarles esta casa de pueblo reformada en el año 2009.",False,good,False,,1535.0,False,False,False,False,[],False,False,350000.0,€,countryHouse,Moraleja de Enmedio,Casa de pueblo,True,True,casaDePueblo,,,,
107908473,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/22/82/1328023053.webp,VI-000-030-686-800,15,1,146500.0,flat,sale,57.0,,3,1,Barrio Numancia,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4023984,-3.6636362,False,https://www.idealista.com/inmueble/107908473/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 09/2029.  Práctico piso en Madrid, idóneo para parejas. La vivienda dispone de una superficie de 57 m² construidos distribuidos en 2 habitaciones, salón-comedor, cocina además de 1 aseo. Se encuentra en el centro de Madrid, muy cerca de Autovía del Este en el barrio de Numancia. En sus alrededores encontramos el Colegio La Asunción, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, paradas de autobús y la estación de metro Puente de Vallecas.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,2570.0,True,False,True,False,[],False,False,146500.0,€,flat,"Numancia, Madrid",Piso,,,,153000.0,6500.0,4.0,
108878491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/7d/bb/1357724165.webp,HF-2898,21,6,239900.0,flat,sale,88.0,True,3,1,La Serna,Madrid,Fuenlabrada,La Serna,es,,40.2972712,-3.8038531,False,https://www.idealista.com/inmueble/108878491/,"Te presentamos este excepcional piso en el corazón de Fuenlabrada, específicamente en la tranquila zona de La Serna. Esta maravillosa vivienda cuenta con tres cómodas habitaciones y un baño completo que satisfará todas tus necesidades. El amplio salón-comedor te ofrece acceso a una hermosa terraza acristalada, perfecta para disfrutar del aire fresco durante todo el año. Además, su cocina independiente está diseñada para brindarte funcionalidad y confort al preparar tus platos favoritos. Ubicado estratégicamente en una sexta planta con ascensor, este inmueble está listo para entrar a vivir gracias a sus acabados de alta calidad y las numerosas mejoras realizadas; incluye tres aparatos de aire acondicionado que garantizan tu comodidad incluso durante los meses más calurosos. La ubicación es inmejorable: estarás rodeado por supermercados convenientes, colegios cercanos y todos los servicios esenciales que necesitas día a día. También podrás acceder fácilmente a carreteras principales así como paradas de autobús y Renfe muy próximas No pierdas esta oportunidad única; contacta con nosotros hoy mismo para agendar una visita sin compromiso! Este podría ser el hogar ideal donde comenzar nuevos recuerdos.",False,good,False,True,2726.0,False,False,False,False,[],False,False,239900.0,€,flat,"La Serna, Fuenlabrada",Piso,,,,,,,
108209332,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/f8/09/1337712642.webp,1530/2689,21,bj,849000.0,flat,sale,89.0,False,1,1,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4247289,-3.69258,False,https://www.idealista.com/inmueble/108209332/,"SERVICIOS INMOBILIARIOS ALFA 3C PRESENTA.. . Maravilloso piso ubicado en una de las mejores zonas de Madrid (Barrio Almagro/Chamberí), con una situación privilegiada pues se encuentra rodeado de excelentes servicios, zonas de ocio y buenas comunicaciones. La vivienda se ubica en la planta baja interior, consta de 89 m2 construidos y está completamente reformada con materiales de buena calidad: suelo de mármol Esta vivienda te va a encantar, por un lado goza del silencio y la paz de un piso interior y al mismo tiempo puedes disfrutar de la sensación de estar en un jardín pues cuenta con dos patios privativos muy agradables que aportan mucha luz y que son un espacio ideal para aislarte. La distribución es la siguiente: - Amplia cocina de diseño con salida a uno de los patios decorado como un jardín - Cuarto de baño con plato de ducha - Dormitorio doble con armarios empotrados y salida al patio tipo jardín - Gran salón decorado con mucho gusto con salida a otro de los patios, que te permitirá disfrutar de un espacio abierto. Observaciones: - La vivienda se vende completamente amueblada así como también se incluye la preciosa decoración de la misma. - Dispone de aire acondicionado por conductos ¡ Sólo tienes que traerte tus cosas porque está para entrar a vivir! ¿Estás buscando tu hogar en esta zona? Llámanos para concertar una cita. Estaremos encantados de atenderte. ¡ OFRECEMOS SERVICIO DE FINANCIACIÓN HASTA 100%!",False,good,False,True,9539.0,False,False,False,False,[],False,False,849000.0,€,flat,"Almagro, Madrid",Piso,,,,,,,
106491222,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/08/95/1284470405.webp,3ALQMPINTOP1-00049-0014NICOLASFUSTER,13,5,319500.0,penthouse,sale,148.0,True,4,2,calle de Nicolás Fuster,Madrid,Pinto,San José - Buenos Aires,es,,40.2384762,-3.706552,False,https://www.idealista.com/inmueble/106491222/,"Especial Inversores. Se vende ALQUILADO A TERCEROS renta mercado. No podemos dar acceso a la vivienda para visitarla. En consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra. Vivienda 4 dormitorios en Pinto, Madrid. Situadas en el Complejo Residencial Princesa de Éboli, estas viviendas ofrecen buena conexión por transporte público como el tren con una estación de la línea C3 a pocos metros o por transporte privado con fácil acceso a la M-506, A-4 y A-42 que comunican en solo 20 minutos con el centro de Madrid. Su cercanía a colegio, instituto, parque, supermercados, centro comercial y de salud la convierten en una propuesta inteligente a un precio accesible. Las viviendas pertenecen a un edificio construido en 2008 con amplias zonas comunes con piscina y juegos infantiles. Cuentan con una superficie de 104 m² y se compone de salón-comedor, cocina amueblada, 4 dormitorios con armarios empotrados y 2 baños completos, uno de ellos incorporado al dormitorio principal. La vivienda cuenta con 2 bonitas terraza en la misma planta planta con acceso directo, de uso y disfrute exclusivo de la vivienda con una superficie útil de 18 y 25 m2 respectivamente. Está equipada con calefacción y suelos de parquet. La vivienda tiene como anejo un cuarto trastero.  Se puede vender con plaza de garaje no incluida en el precio. Por todo ello, esta vivienda representa una oportunidad.",False,good,False,True,2159.0,False,False,False,False,[],False,False,319500.0,€,flat,"San José - Buenos Aires, Pinto",Ático en calle de Nicolás Fuster,True,True,penthouse,,,,
104961957,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/91/99/1329824137.webp,1530/2683,46,,590000.0,chalet,sale,490.0,,4,4,El Molar,Madrid,El Molar,,es,,40.7370921,-3.5894094,False,https://www.idealista.com/inmueble/104961957/,"SERVICIOS INMOBILIARIOS ALFA 3C OS PRESENTA.. . Descubre esta espectacular casa de estilo tradicional, ubicada en la exclusiva Urbanización Peña de la Pala, considerada una de las mejores del Molar. Con 450 m² construidos sobre un amplio terreno de 500 m², esta vivienda ofrece una vida cómoda y funcional en una sola planta. Al entrar, te recibe un espacioso recibidor que da paso a estancias luminosas y amplias, perfectas para disfrutar con familia y amigos. El corazón del hogar es su salón-comedor a dos alturas, que se conecta directamente con un encantador porche, ideal para relajarse al aire libre. La cocina, equipada con zona de office, es el lugar perfecto para preparar deliciosas comidas. La casa cuenta con tres dormitorios en la misma planta, incluyendo un dormitorio principal con vestidor y baño en suite, además de acceso a una gran terraza privativa. Los otros dos dormitorios comparten un cuarto de baño completo. En la buhardilla diáfana, con techos de madera, encontrarás un dormitorio adicional y un cuarto de baño, así como acceso a otra amplia terraza con vistas despejadas que invitan a disfrutar del entorno. La planta inferior alberga un garaje para dos coches, un aseo y una encantadora bodega rústica con barra de bar, chimenea y zona de estar-comedor, perfecta para celebraciones. El exterior no se queda atrás: un jardín bien cuidado con barbacoa y otro porche donde podrás disfrutar de momentos inolvidables. Esta propiedad es una oportunidad única para quienes buscan un hogar espacioso y acogedor en una de las mejores ubicaciones de Madrid. ¡No dejes pasar la oportunidad de visitarla! Si estás buscando una propiedad en la zona para vivir o segunda residencia, es una inversión perfecta. Además, a través de nuestra empresa Beta Hipotecas, te asistimos en la financiación de hasta el cien por ciento del importe de la vivienda en las condiciones más favorables del mercado. ¡ MUCHOS DE NUESTROS INMUEBLES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS!",False,good,False,,1204.0,False,False,False,False,[],False,False,590000.0,€,chalet,El Molar,Casa independiente,True,True,independantHouse,,,,
101747265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/e8/40/1218874126.webp,VI-000-020-716-277,13,6,202500.0,flat,sale,79.0,,3,1,Suroeste,Madrid,Móstoles,Suroeste,es,,40.3159651,-3.8666183,False,https://www.idealista.com/inmueble/101747265/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 04/2027.  Piso en Móstoles, Madrid. Dispone de una superficie de 79 m² distribuidos en 3 habitaciones con armarios empotrados, un luminoso salón-comedor, cocina amueblada y 1 baño completo con bañera. Situado en el centro de la localidad, cerca de comercios, restaurantes, supermercados, centros educativos, centros de salud, zonas verdes y paradas de autobús. Con acceso a la pradillo y la M-506.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,True,2563.0,True,False,True,False,[],False,False,202500.0,€,flat,"Suroeste, Móstoles",Piso,,,,212000.0,9500.0,4.0,
