propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108845187,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/1a/90/1356796345.webp,CDELMIZ0725,3,1800000.0,chalet,sale,545.0,4,3,calle Cabo Gata,Madrid,Las Rozas de Madrid,Club de Golf,es,Club de Golf,40.542364,-3.9135467,False,https://www.idealista.com/inmueble/108845187/,"Se vende casa unifamiliar con amplio terreno de 4500 m² en urbanización con seguridad en el Gold de Las Matas. La propiedad cuenta con una vivienda de 4/5 plantas (estilo inglés), una piscina grande y amplias áreas ajardinadas con abundante arbolado. Casa independiente con 550 m² construidos en parcela de 4 571 m² situada en la urbanización Club de Golf, en Las Rozas de Madrid. La vivienda se distribuye en tres plantas conectadas internamente. En la planta principal y superiores hay cuatro dormitorios y cuatro baños, despacho, cocina amplia con despensa, cuarto de plancha y varias zonas de estar. En el sótano se encuentra una bodega. Las zonas exteriores incluyen jardín organizado con cenador y zona de verano junto a piscina de agua salada. Garaje con capacidad para dos vehículos. El sistema de climatización se basa en suelo radiante con aerotermia y placas solares, tanto para calefacción como refrigeración. La vivienda se encuentra en buen estado y lista para entrar a vivir. La ubicación ofrece acceso a servicios y transporte cercano, dentro de una urbanización consolidada. Honorarios de intermediación del 3 % más IVA a cargo del comprador.",False,good,False,3303.0,False,False,False,False,[],False,False,1800000.0,€,True,True,chalet,independantHouse,"Club de Golf, Las Rozas de Madrid",Casa independiente en calle Cabo Gata,,,,,,
108760413,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/8a/80/1354342053.webp,,16,240000.0,flat,sale,70.0,3,1,calle Recesvinto,Madrid,Madrid,Carabanchel,es,San Isidro,40.3976647,-3.7315965,False,https://www.idealista.com/inmueble/108760413/,"¡Oportunidad única junto al Parque de San Isidro!  Donpiso pone a la venta una luminosa y acogedora vivienda en Madrid capital, ubicada en una zona tranquila y bien comunicada, a escasos metros del Parque de San Isidro. El piso cuenta con 3 dormitorios amplios, baño completo y una gran plaza de garaje incluida en el precio. La vivienda destaca por su buena distribución, luz natural y excelente ubicación en un barrio consolidado con todos los servicios: colegios, transporte público, supermercados, zonas verdes y comercios de proximidad. Ideal tanto para familias que buscan calidad de vida como para inversores que desean alta rentabilidad.   No dejes pasar esta oportunidad y contacta con nosotros para más información o concertar una visita.",False,good,False,3429.0,False,False,False,False,[],False,False,240000.0,€,True,True,flat,,"San Isidro, Madrid",Piso en calle Recesvinto,2,True,False,,,
106579380,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/55/71/1287394175.webp,GTRE-01419,3,149000.0,flat,sale,63.0,2,1,calle Colón,Madrid,Alcorcón,Centro,es,Casco Antiguo,40.3457309,-3.830029,False,https://www.idealista.com/inmueble/106579380/,"NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR INMUEBLE EN RENTABILIDAD ¡Tenemos en exclusiva un piso para ti! Disponemos de un piso en edificio residencial que puedes adquirir en propiedad, muy bien distribuido y con distintas dependencias, ofreciendo todo lo que necesitas para una vida cómoda y moderna. Desde el momento en que cruces la puerta de entrada, te sentirás acogido por su ambiente cálido, ubicado en la localidad de Alcorcón, provincia de Madrid. Este piso es ideal para quienes buscan un hogar confortable en un entorno natural y acogedor. Este espacioso piso cuenta con un luminoso salón-comedor, perfecto para disfrutar de momentos en familia y reuniones con amigos.  A poca distancia, encontrarás supermercados, colegios, centros de salud y una variada oferta de tiendas y restaurantes. Además, la excelente conexión con las principales vías de acceso te permitirá llegar rápidamente a otras áreas de interés en Madrid y sus alrededores. Hipoges es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Hipoges cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia.  Esta propiedad se encuentra alquilada. No se puede visitar. No apta para compradores que requieran financiación hipotecaria. El comprador se subrogará a las condiciones indicadas en el contrato de alquiler vigente. La información proporcionada referente a la distribución y estructura puede no ajustarse a la realidad, ya que su verificación no ha sido posible. La distribución indicada se ha tomado en referencia a la distribución de activos de la zona. ¿Necesitas financiación? Te ofrecemos la posibilidad de financiaciones de hasta el 100% para la compra de este inmueble. Entra en Finanwin. com, haz tu simulación y obtén la mejor oferta para tu Hipoteca de la manera más ágil y sencilla.",False,good,False,2365.0,False,False,False,False,[],False,False,149000.0,€,,,flat,,"Casco Antiguo, Alcorcón",Piso en calle Colón,2,True,False,,,
106218422,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/77/c7/1276197066.webp,GTRE-01172,3,131200.0,flat,sale,68.0,2,1,calle Peralejo,Madrid,Madrid,Usera,es,San Fermín,40.3741292,-3.689784,False,https://www.idealista.com/inmueble/106218422/,"Inmueble alquilado y sin acceso al interior. Las fotografías del interior pueden no ajustarse al estado actual.  NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR ¡Tenemos en exclusiva un piso para ti! Disponemos de un piso en edificio residencial que puedes adquirir en propiedad, muy bien distribuido y con distintas dependencias, ofreciendo todo lo que necesitas para una vida cómoda y moderna. Desde el momento en que cruces la puerta de entrada, te sentirás acogido por su ambiente cálido, ubicado en la localidad de Madrid.  Este piso es ideal para quienes buscan un hogar confortable en un entorno natural y acogedor. Este espacioso piso cuenta con un luminoso salón-comedor, perfecto para disfrutar de momentos en familia y reuniones con amigos.  A poca distancia, encontrarás supermercados, colegios, centros de salud y una variada oferta de tiendas y restaurantes. Además, la excelente conexión con las principales vías de acceso te permitirá llegar rápidamente a otras áreas de interés en Madrid y sus alrededores. Hipoges es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Hipoges cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia.  Esta propiedad se encuentra alquilada. No se puede visitar. No apta para compradores que requieran financiación hipotecaria. El comprador se subrogará a las condiciones indicadas en el contrato de alquiler vigente. La información proporcionada referente a la distribución y estructura puede no ajustarse a la realidad, ya que su verificación no ha sido posible. La distribución indicada se ha tomado en referencia a la distribución de activos de la zona. ¿Necesitas financiación? Te ofrecemos la posibilidad de financiaciones de hasta el 100% para la compra de este inmueble. Entra en Finanwin. com, haz tu simulación y obtén la mejor oferta para tu Hipoteca de la manera más ágil y sencilla.",False,good,False,1929.0,False,False,False,False,[],False,False,131200.0,€,,,flat,,"San Fermín, Madrid",Piso en calle Peralejo,,,False,,,
106053898,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/10/c5/1319762242.webp,A2407,4,4300000.0,flat,sale,319.0,4,3,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4317672,-3.6859936,False,https://www.idealista.com/inmueble/106053898/,"Espectacular piso en la Calle SERRANO con TERRAZA y PLAZA DE GARAJE. Este impresionante piso de 319 m², ubicado en un edificio representativo de la prestigiosa Calle Serrano, ofrece una distribución excepcional gracias a su planta cuadrada y sin muros de carga, lo que proporciona muchas posibilidades para redistribuir espacios y adaptarlos a las necesidades del comprador. La vivienda cuenta con una terraza actualmente cerrada tipo galería, que puede ser fácilmente reconvertida en una terraza exterior, ideal para disfrutar de las vistas y el aire libre. El piso dispone de un amplio hall de entrada, varias zonas de salón que pueden convertirse en espacios amplios y diáfanos. Cuenta con 3 dormitorios principales, un luminoso dormitorio de invitados situado en la esquina del edificio, y un dormitorio de servicio. Además, hay 3 cuartos de baño completamente actualizados y reformados. La zona de cocina es funcional y práctica, con áreas independientes para lavado y planchado. Aunque algunas zonas del inmueble requieren actualización, los baños ya han sido renovados. Dispone de calefacción central de gas natural, carpintería de PVC con ventanas Climalit, suelos de tarima de pino melis, portero y ascensor. Por petición de la propiedad, no se publican fotos. Se adjunta plano durante la visita.  Tenemos más pisos con características similares sin publicar. Para más información o concertar una cita, no dudes en contactarnos. ¡Aprovecha esta oportunidad de adquirir una propiedad con enormes posibilidades en una de las mejores zonas de Madrid!.",False,good,False,13480.0,False,False,False,False,[],False,False,4300000.0,€,True,True,flat,,"Castellana, Madrid",Piso,3,True,True,,,
108758184,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/4b/57/1354236476.webp,9186##9186_0517_PE0001,2,90371.0,flat,sale,56.0,2,1,"calle de Pobladura del Valle, 15",Madrid,Madrid,San Blas,es,Amposta,40.4270732,-3.6176597,True,https://www.idealista.com/inmueble/108758184/,"CESIÓN de REMATE- La adquisición del inmueble publicitado se llevará a cabo de forma exclusiva mediante cesión de remate, en el marco del proceso de Subasta Judicial en el que se encuentra actualmente, sin que exista la posibilidad de compraventa directa. Consecuencia de lo anterior: (i) el precio publicado se trata de una orientación al precio de puja mínimo por la cual puede ser adjudicado el inmueble y (ii) no se contará con la posesión del inmueble en el momento de la adquisición, no siendo posible visitarlo. El precio indicado en la publicación se trata de un valor de referencia y no supone en ningún caso la aceptación del mismo por parte del acreedor, teniendo que ser sometido a valoración del correspondiente comité para su sanción. Toda la información publicada en el presente anuncio se encuentra disponible de manera pública en el boletín oficial del estado: subastas. boe. es/detalleSubasta. php? idSub=SUB-JA-2025-248644 Vivienda situada en la localidad deMadrid. Tiene una superficie de 56 m2.",False,good,False,1614.0,False,False,False,False,[],False,False,90371.0,€,,,flat,,"Amposta, Madrid","Piso en calle de Pobladura del Valle, 15",,,,,,
108009753,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/42/48/1331056779.webp,,28,113900.0,chalet,sale,197.0,3,2,Cenicientos,Madrid,Cenicientos,,es,,40.2646872,-4.4649689,False,https://www.idealista.com/inmueble/108009753/,"En venta casa de pueblo de 4 alturas en el municipio de Cenicicientos, Comunidad de Madrid.  Se distrubuye de la siguiente manera: -sotano independiente. - garaje con entrada compartida. -planta baja con salón con chimenea, baño y cocina, patio de luces compartido de 18 m2. -primera planta, 3 dormitorios con baño y bañera hidromasaje. -última planta pequeño abuhardillado sin acabar. Cada planta tiene una superficie de unos 60 m2. El municipio es un pueblo con encanto, limítrofe de la Comunidad de Madrid, limita con Ávila y Toledo. Cuenta con linea de autobus de la empresa de autobuses el Gato, línea 545, realiza el recorrido Madrid - Cenicientos- Sotillo de la Adrada. El pueblo dispone de Centro de Salud, puesto de la Guardia Civil, Centro de Mayores, Colegio, supermercados, tiendas.",False,good,False,578.0,False,False,False,False,[],False,False,113900.0,€,True,True,chalet,independantHouse,Cenicientos,Casa independiente,,,,,,
108895157,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/dc/91/1358205444.webp,,3,65000.0,studio,sale,50.0,0,1,avenida de la Escuela Pública,Madrid,Parla,Reyes,es,,40.2312253,-3.7711052,False,https://www.idealista.com/inmueble/108895157/,"¡ATENCIÓN INVERSORES! APARTAMENTO TURÍSTICO EN PINTO CON RENTABILIDAD DEL 10% Y GARANTÍA � ¿Estás buscando una inversión inteligente, rentable y segura? Esta es tu oportunidad de formar parte de un grupo de inversores que ya está capitalizando el nuevo modelo de turismo inteligente en la Comunidad de Madrid. Te presentamos una unidad turística de 1 habitación completamente equipada en la localidad de Parla, a tan solo 20 minutos del centro de Madrid y con acceso directo a la A-4, cercanías Renfe y todos los servicios a mano. Un punto estratégico con creciente demanda turística, ideal para escapadas, eventos, ferias, negocios y turismo de proximidad. � Precio de entrada: 65.000 € � Rentabilidad proyectada: 10% anual real � Ingreso medio mensual estimado: 500 € netos � Modelo de explotación 100% delegada (sin dolores de cabeza) � Garantía de recompra o salida asegurada del 10% � Forma parte de un grupo privado de inversores con visión, respaldo y proyección nacional Esta no es solo una compra. Es tu entrada a una comunidad de inversión inmobiliaria inteligente, donde no solo adquieres un activo físico, sino que también te posicionas dentro de una estructura consolidada: ✔ Gestión hotelera centralizada ✔ Automatización total (acceso digital, limpieza, check-in remoto) ✔ Marca posicionada con estrategia digital activa ✔ Diversificación de activos bajo un paraguas corporativo NDHoteles ¿Y lo mejor? Puedes invertir sin hipotecarte, sin dedicarle tiempo y con una garantía sobre tu capital. � El apartamento forma parte de una unidad hotelera reconvertida en modelo mixto turístico-residencial, ofreciendo estabilidad y rotación constante de huéspedes, tanto locales como internacionales. � ¿PARA QUIÉN ES ESTA OPORTUNIDAD? Para ti, si buscas rentabilidad real y constante Si te atrae la idea de formar parte de algo más grande, con red de soporte Si deseas entrar al mundo inmobiliario con bajo riesgo y alta liquidez Si valoras el respaldo legal y operativo de una marca consolidada � Solicita ahora el dossier completo con cifras, proyección y plan de salida. Plazas limitadas — solo 10 inversores en esta ronda. No compres un piso, compra un ingreso seguro y un asiento en la mesa de los que sí hacen que el dinero trabaje por ellos.",False,good,False,1300.0,False,False,False,False,[],False,False,65000.0,€,,,flat,studio,"Reyes, Parla",Estudio en avenida de la Escuela Pública,bj,True,True,,,
106796838,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/2a/c4/1294284386.webp,2340/40,30,282000.0,chalet,sale,430.0,5,1,calle de San Nicolás,Madrid,Aranjuez,Nuevo Aranjuez-Ciudad de las Artes,es,,40.0289037,-3.593623,False,https://www.idealista.com/inmueble/106796838/,"REF. 2340/40. ALFA SESEÑA OFRECE una oportunidad en el centro de Aranjuez, que no puedes dejar escapar. Ideal para inversores. Casa para reformar! Tiene un potencial impresionante, ya que la vivienda recoge dos calles, abarcando una esquina, con un gran terreno a dos alturas.  Precio cerrado, no te dejes engañar por otros anuncios.  La oportunidad no es la casa, sino es el terreno, la zona, y lo que puede llegar a ser. La vivienda consta de 130 m2 y de 300m2 de terreno. El inmueble tiene 5 habitaciones, cocina, un baño, salón y garaje, todo ello, en la misma planta.",False,renew,False,656.0,False,False,True,False,[],False,False,282000.0,€,,,chalet,terracedHouse,"Nuevo Aranjuez-Ciudad de las Artes, Aranjuez",Chalet adosado en calle de San Nicolás,,,,,,
108613060,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/78/70/1349956485.webp,2710,25,240000.0,flat,sale,57.0,2,1,calle de Sor María de Ágreda,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4304575,-3.6504117,False,https://www.idealista.com/inmueble/108613060/,"URBE102, vende una excelente vivienda de dos dormitorios, salón, cocina y baño.  2 Terrazas, con acceso desde el salón y desde la cocina. Distribución independiente. Muchas posibilidades. Acometida de G/N Muy cerca de la calle Alcalá, y del transporte público, metro y autobuses. A parte de la zona comercial. 1ª planta, pero altura casi de un 2º Incluye plaza de garaje en el edifico colindante, a 1 min andando Mejor verlo. REF 2710.",False,renew,False,4211.0,False,False,False,False,[],False,False,240000.0,€,True,True,flat,,"Ventas, Madrid",Piso en calle de Sor María de Ágreda,1,True,False,,,
