propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108015188,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/43/bc/1336719089.webp,4949,6,4,1100000.0,penthouse,sale,98.0,True,2,2,calle de Morejón,Madrid,Madrid,Chamberí,es,Almagro,40.4376361,-3.7008019,False,https://www.idealista.com/inmueble/108015188/,"Homely One pone a la venta Ático en el lujoso y señorial Barrio de Almagro! La Finca se encuentra ubicada en el señorial y lujoso Barrio de Almagro, muy bien comunicado por Transporte y probablemente en uno de los Distritos mas importantes de Madrid.   Finca Moderna de Obra Nueva con Piscina, posibilidad de Plaza Garaje, portal señorial y Portero Físico. Consta de 98,00 m2 Salón-Comedor con Grandes Ventanales con mucha luz Natural que nos permite una optima entrada de Luz y Ventilación en todas las estancias de la Vivienda. Armarios empotrados y Vestidos. Cocina con acceso directo a Idílica Terraza Social la cual nos permite disfrutar en las estaciones cálidas del año de Momentos únicos y de calidad con nuestros Familiares y Amistades.  Zona de Descanso se compone de 2 Dormitorios, principal con buena amplitud, Ventanas con doble cortina y Baño en Suite. Segundo Dormitorio con cama doble y persianas motorizadas. Armarios Empotrados y Vestidos. Plano de proyecto sujeto a cambio.  Se entrega amueblado, decorado, con Domótica y acabados de calidad. Aire Acondicionado Split que es un sistema de climatización que se caracteriza por disponer de una unidad exterior y una unidad interior controlado por Bluetooth. Suelo Laminado y acabado en madera. Iluminación por domótica y Google Home sistema que permite configurar, gestionar y controlar tus dispositivos domésticos inteligentes desde una sola aplicación. Terraza con toldo practico y suelo en porcelánico. Actualmente en Ejecución de obra, Renders Orientativos y sujeto a cambio.   Le invitamos a Visitar con Nosotros esta magnífica propuesta que solo Homely One le puede ofrecer. Le encantará! suelo laminado acabado madera .",True,good,False,True,11224.0,False,False,False,False,[],False,False,1100000.0,€,flat,penthouse,"Almagro, Madrid",Ático en calle de Morejón,,
105670879,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/0f/4a/1259441860.webp,9205##9205_0013_PE0001,20,,240000.0,chalet,sale,169.0,,4,2,"calle de la Ribera, 187 -569",Madrid,Robledo de Chavela,,es,,40.5267324,-4.2628197,True,https://www.idealista.com/inmueble/105670879/,"En venta espléndido chalet en Robledo de la Chavela. El inmueble cuenta con 169 m2 construidos, distribuidos en dos plantas independientes y semisótano, y dispone de las siguientes dependencias: En la planta baja dispone de un amplio y luminoso salón-comedor con chimenea y cocina independiente amueblada. Ambas estancias con acceso al jardín. En la primera planta cuenta con 4 habitaciones y 2 cuartos de baño completos, uno de ellos en suite. Ubicado sobre una extensa parcela con jardín de 1.127 m2, que hará las delicias de la familia en cualquier época del año. Se sitúa en Robledo de la Chavela, localidad perteneciente a la Comunidad de Madrid, sita en la Sierra Oeste, goza de todo tipo de servicios básicos disponibles. Ubicado junto a la sierra de Guadarrama y la sierra de Gredos, cuenta con una población de 4.705 habitantes. Situada a tan solo 70 km de Madrid capital, goza de buenas comunicaciones gracias a su cercanía a la carretera M-521, entre otras. ¡No desaproveche esta maravillosa oportunidad y llámenos, estaremos encantados de atenderle!",False,good,False,,1420.0,False,False,False,False,[],False,False,240000.0,€,chalet,,Robledo de Chavela,"Chalet en calle de la Ribera, 187 -569",,
108724772,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/9d/22/1353253970.webp,,7,2,190000.0,flat,sale,60.0,True,2,1,carabanchel,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3774462,-3.7502416,False,https://www.idealista.com/inmueble/108724772/,"� Piso en Venta en Carabanchel – 2 Habitaciones, Terraza y Luz Natural ☀️ Precio: (añadir precio) Ubicación: Carabanchel, Madrid Superficie: 58 m² Planta: 2ª planta (sin ascensor) Habitaciones: 2 Baño: 1 Terraza: Sí ¡Ideal para parejas, pequeños inversores o quienes buscan su primer hogar! Este acogedor piso en la segunda planta sin ascensor se encuentra en una zona tranquila y bien comunicada de Carabanchel. Con 58m², cuenta con: 2 habitaciones luminosas 1 baño completo Salón-comedor con acceso a una terraza privada perfecta para disfrutar del aire libre Cocina independiente La vivienda está lista para entrar a vivir o para reformar a tu gusto. Muy bien conectada con transporte público (metro y autobuses cercanos), comercios, colegios y zonas verdes. IMAGENES TOTALMENTE ILUSTRATIVAS.",False,renew,False,False,3167.0,False,False,False,False,[],False,False,190000.0,€,flat,,"Vista Alegre, Madrid",Piso en carabanchel,,
108103577,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/03/cd/1333925395.webp,1241,33,,698000.0,chalet,sale,300.0,,4,3,Guadarrama,Madrid,Guadarrama,,es,,40.6516031,-4.0455471,False,https://www.idealista.com/inmueble/108103577/,"INMOSEGUR vende precioso chalet independiente CON PISCINA, EXCELENTE EFICIENCIA ENERGÉTICA y en zona MUY TRANQUILA Y BIEN COMUNICADA. Vivienda de 300m2 en parcela de 1050m2, la cual se distribuye de la siguiente manera: PLANTA BAJA: - Gran salón a dos alturas (sólo un escalón) con zona de estar y zona de comedor. Cuenta con bonita chimenea forrada en piedra y acceso directo al porche y jardín mediante grandes ventanales correderos. - Amplia y cómoda cocina con zona de office, despensa y acceso directo al jardín. - 1 gran dormitorio de unos 21m2 (sin armario empotrado). - Baño completo con bañera y ventana. - Sala de trabajo (actualmente se utiliza como taller). - Gran garaje con puerta automática para varios vehículos. PLANTA PRIMERA: - 3 grandes dormitorios dobles, todos ellos con armario empotrado (principal con terraza, vestidor y gran baño en suite). - 2 baños completos (uno de ellos con ducha y el principal en suite con bañera circular y ducha) JARDÍN: - Piscina con cloración salina, con una antigüedad de 3 años. - Gran porche - Zona de barbacoa y horno de leña OTRAS CARACTERÍSTICAS: - Aerotermia - Placas fotovoltaicas - Cargador para coche eléctrico - Suelos de tarima - Ventana PVC con climalit.",True,good,False,,2327.0,False,False,False,False,[],False,False,698000.0,€,chalet,independantHouse,Guadarrama,Casa independiente,True,True
106808086,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/34/d8/1294635505.webp,REMO-01282,3,,93500.0,flat,sale,107.0,,4,3,calle de las Monjas,Madrid,Tielmes,,es,,40.2458551,-3.3158068,False,https://www.idealista.com/inmueble/106808086/,"Inmueble sin posesión y sin acceso al interior. Las fotografías del interior y las características del activo, pueden no ajustarse al estado actual. NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR.  Disponemos de un piso en edificio residencial, muy bien distribuido y con distintas dependencias, ubicado en la localidad de Tielmes, provincia de Madrid.  Situado en una zona residencial tranquila. A poca distancia, encontrarás supermercados, colegios, centros de salud y una variada oferta de tiendas y restaurantes. Además, la excelente conexión con las principales vías de acceso te permitirá llegar rápidamente a otras áreas de interés. Tielmes es un municipio con una rica historia, rodeado de naturaleza, ideal para los amantes del senderismo y las actividades al aire libre. La zona ofrece una vida relajada, con pequeños comercios, restaurantes locales, y una comunidad amigable, lo que la convierte en un lugar ideal para familias, parejas o jubilados que busquen calidad de vida. Hipoges es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Hipoges cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia.  Esta propiedad está ocupada por terceros. No se puede visitar. No apta para compradores que requieran financiación hipotecaria. El comprador será responsable de los trámites y gastos relacionados con la desocupación del inmueble. La información proporcionada referente a la distribución y estructura puede no ajustarse a la realidad, ya que su verificación no ha sido posible. La distribución indicada se ha tomado en referencia a la distribución de activos de la zona. ¿Necesitas financiación? Te ofrecemos la posibilidad de financiaciones de hasta el 100% para la compra de este inmueble. Entra en Finanwin. com, haz tu simulación y obtén la mejor oferta para tu Hipoteca de la manera más ágil y sencilla.",False,good,False,False,874.0,False,False,False,False,[],False,False,93500.0,€,flat,,Tielmes,Piso en calle de las Monjas,,
107687205,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/c3/8a/1319800769.webp,,14,bj,185000.0,flat,sale,80.0,True,2,1,calle de la Virgen del Coro,Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4329042,-3.6596455,False,https://www.idealista.com/inmueble/107687205/,"¡Oportunidad para independizarte con una ubicación privilegiada en Madrid!  Local, adaptado a vivienda, listo para entrar a vivir y disfrutar de todas sus comodidades. Con una ubicación inmejorable, a tan solo 200 metros del metro El Carmen, tendrás acceso rápido a toda la ciudad. Además, estarás rodeado de supermercados y colegios, lo que lo convierte en una opción ideal para aquellos que buscan comodidad y accesibilidad. Este espacio independiente cuenta con 88 m² construidos y 70 m² útiles distribuidos en tres plantas. Con tres estancias y un baño, es perfecto para aquellos que buscan independizarse, dejar de pagar alquiler y vivir en un lugar ideal de la ciudad. Se encuentra a pie de calle. No dejes pasar esta oportunidad de adquirir un espacio versátil y bien ubicado en una zona en auge. Figura registrado como local, oficina, pero está adaptado a vivienda.",False,good,False,True,2313.0,False,False,False,False,[],False,False,185000.0,€,flat,,"Concepción, Madrid",Piso en calle de la Virgen del Coro,,
106902862,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/4f/e0/1304050643.webp,SA - MIRASIERRA,30,,2980000.0,chalet,sale,617.0,,6,6,Barrio Mirasierra,Madrid,Madrid,Fuencarral,es,Mirasierra,40.4932048,-3.7057445,False,https://www.idealista.com/inmueble/106902862/,"""Mirasierra. Chalet de seis habitaciones, seis baños, salón, comedor, cocina, bodega, gimnasio, trastero, garaje y piscina. Este chalet independiente, que destaca por la solidez de la construcción y por el uso de materiales de primera calidad, fue totalmente reformado en el año 2020. Ofrece la ventaja de vivir en un contexto rodeado de naturaleza y al mismo tiempo muy bien comunicado, encontrándose a tan solo pocos minutos con el resto de la ciudad gracias a su fácil acceso a M40, M30, M607 y a las paradas de metro Mirasierra y Paco de Lucia (línea 9) que cuenta también con el tren de cercanías.  Consta de cuatro plantas:  - La planta principal, rodeada de un cuidado jardín y porche, se compone de un amplio y elegante hall de entrada con ascensor hidráulico, salón, comedor con doble altura, aseo para invitados, un segundo salón actualmente acondicionado como despacho, cocina con zona office y dos tendederos (interior y exterior cubierto). Los dos salones cuentan con amplios ventanales y la casa se caracteriza por tener una gran luminosidad.  - La primera planta cuenta con cuatro grandes dormitorios, todos con baño en suite y con amplios armarios empotrados. Dos de ellos cuentan también con terrazas. Las habitaciones tienen una agradable vista al jardín y a los alrededores.  - La segunda planta cuenta con otra habitación cuyo destino actual es despacho/sala de juego.  - En el sótano se encuentra un amplio salón/bodega con cocina abierta totalmente equipada y montacargas, chimenea, otro dormitorio con armarios empotrados y un baño completo.  La vivienda cuenta con piscina, gimnasio, trastero, un amplio garaje, un moderno ascensor hidráulico y paneles solares.  La calefacción es por suelo radiante y todas las estancias cuentan con aire acondicionado por conductos cuya eficiencia está garantizada por la reciente instalación de PANELES SOLARES con alta capacidad de almacenamiento lo que garantiza una completa eficiencia energética (calificación A) a la vivienda.  Cabe también destacar el importante sistema de seguridad que se ha realizado, utilizando alta tecnología y con varios filtros anti-intrusión. La casa, lista para entrar a vivir, se encuentra en una de las zonas más reconocidas de la ciudad, cuya tranquilidad y zonas verdes contribuyen al bienestar y a una alta calidad de vida. Al mismo tiempo se encuentra rodeada de otros servicios tales como supermercados, bancos, estructuras deportivas y una gran oferta de colegios. "".",True,good,False,,4830.0,False,False,False,False,[],False,False,2980000.0,€,chalet,independantHouse,"Mirasierra, Madrid",Casa independiente,True,True
108766521,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/ff/c0/1354620076.webp,,66,,1195000.0,chalet,sale,331.0,,5,3,Barrio Ensanche de Vallecas - La Gavia,Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3750223,-3.6097066,False,https://www.idealista.com/inmueble/108766521/,"Fantástico chalé en la mejor zona del Ensanche de Vallecas. Junto a la Ciudad Deportiva del Rayo Vallecano encontramos esta magnífica vivienda que se compone de cuatro plantas. De abajo a arriba, empezamos por el garaje, donde pueden caber hasta 3 vehículos y que alberga también zonas de almacenamiento, acceso a la zona de piscina y toda la instalación del sistema de calefacción. En la primera planta, tenemos, entrada y pasillo, acceso a la cocina, equipada y con grandes ventanales, un baño completo y el gran salón, con puerta a la zona del jardín, patio y piscina. En la segunda planta se encuentran los cuatro dormitorios, uno de ellos con baño propio y un segundo baño, ambos completos y de buen tamaño. Y finalmente, en la tercera planta, tenemos una buhardilla totalmente diáfana, que tiene salida una terraza de muy buen tamaño y una zona añadida de almacenamiento. Todas las plantas se comunican mediante un ascensor de 4 plazas en perfecto orden de funcionamiento, lo que hace el traslado muy cómodo si no queremos usar la escalera. Este aspecto es una de las grandes singularidades de la casa, porque disponer de un ascensor es todo un lujo en una vivienda unifamiliar.  Por lo demás, la casa se encuentra en perfecto estado, tanto el interior de la vivienda, como la zona exterior, desde la valla, la rampa del garaje, la zona ajardinada, la zona del patio y, sobre todo, la piscina, que cuenta con una depuradora en funcionamiento y su lona para protegerla. Toda la estancia exterior es realmente cómoda para pasar largos días de verano, de la piscina a la barbacoa, pasando por la mesa y la zona de sillones de exterior. Estamos ante la posibilidad de disfrutar de una vivienda perfecta, en zona tranquila de un barrio nuevo de Madrid y muy bien comunicada.",True,good,False,,3610.0,False,False,True,False,[],False,False,1195000.0,€,chalet,terracedHouse,"Ensanche de Vallecas - La Gavia, Madrid",Chalet adosado,True,True
107618675,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5b/34/2d/1317779221.webp,,11,bj,295000.0,flat,sale,56.0,True,2,1,"calle del Carnero, 13",Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4081463,-3.7088027,True,https://www.idealista.com/inmueble/107618675/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. El comprador no tiene que pagar ningún gasto de intermediación inmobiliaria. Edificio residencial con una ubicación excelente en el céntrico barrio de la Puerta de Toledo y Latina. Este loft CON REFORMA INTEGRAL A ESTRENAR POR EL COMPRADOR, está ubicado en la planta baja exterior del edificio. Dispone de una superficie total de 56 m², distribuidos en una amplísima sala con cocina equipada integrada, 2 habitaciones, 1 amplio baño completamente equipado y un pequeño patio. Dispone de aire acondicionado con bomba de calor. Se encuentra en la zona céntrica de Madrid capital, tiene muy fácil acceso en coche desde la M-30 y está excelentemente comunicado por transporte público. A menos de 3 minutos caminando encontramos la estación de metro de Puerta de Toledo y La Latina (línea 5), multitud de líneas de autobuses y parada de taxis. Su entorno cuenta con todos los servicios básicos (sanitarios, educativos, supermercados, restaurantes, comercios y parques). Servicio de asesoramiento gratuito. LLAMENOS SIN COMPROMISO.",False,good,False,False,5268.0,False,False,False,False,[],False,False,295000.0,€,flat,,"Lavapiés-Embajadores, Madrid","Piso en calle del Carnero, 13",,
108645163,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/eb/d0/1358739131.webp,,32,,880000.0,chalet,sale,240.0,,4,3,Sector S,Madrid,Boadilla del Monte,Sector S,es,,40.4037585,-3.8850438,False,https://www.idealista.com/inmueble/108645163/,"Descubra esta EXCLUSIVA VIVIENDA UNIFAMILIAR ideal para familias que buscan espacio, comodidad y calidad de vida. Se trata de un chalé adosado en urbanización privada ubicado en Boadilla del Monte. La propiedad se distribuye en 4 plantas, con una orientación Este-Oeste, lo que dota a la vivienda de una gran luminosidad.  Un pequeño patio da acceso a la puerta principal de la propiedad y a la planta noble, compuesta de hall, aseo de cortesía, cocina grande perfectamente equipada y salón comedor con salida directa al porche trasero y a un bonito y cuidado JARDÍN. La zona más íntima se encuentra en la segunda planta de la vivienda y cuenta con 3 amplios dormitorios, el principal con baño en suite y los otros dos comparten un segundo baño completo. Todas las habitaciones cuentan con armario empotrado.  En la tercera planta se encuentra la BUHARDILLA, perfectamente acondicionada para diferentes usos. Dotada de armarios en su parte más baja, aire acondicionado y ventanas Velux para ventilar e iluminar toda la estancia. En la planta SÓTANO descubrimos un pequeño apartamento con ventanas al jardín, saloncito, armario empotrado y baño propio, suelo de tarima y calefacción. Un cuarto de plancha-lavado y el garaje. Desde el jardín de la propia casa se sale a las zonas comunes donde los 13 vecinos que conforman esta comunidad acceden a una cuidada pradera de césped natural y a la piscina, de agua salada. *Cabe destacar que esta fantástica vivienda dispone de instalación de calefacción basada en suelo radiante por agua, en todas sus plantas. Es un sistema altamente eficiente que reduce notablemente los consumos, ya que utiliza menos energía que un sistema de calefacción basado en radiadores convencionales y es mucho más confortable, al distribuirse el calor de manera uniforme a través de la superficie del pavimento. DESCRIPCIÓN DE LA ZONA: Ubicada en la prestigiosa localidad de Boadilla del Monte, en las afueras de Madrid, esta propiedad ofrece una experiencia de vida de lujo en un entorno sereno y exclusivo. Boadilla del Monte es conocida por su ambiente residencial de alta gama, rodeado de naturaleza y tranquilidad, lo que la convierte en un refugio ideal para quienes buscan escapar del bullicio de la ciudad sin sacrificar la comodidad y el acceso a servicios de primer nivel. Junto a todo tipo de servicios necesarios para el día a día, supermercados y grandes superficies comerciales, colegios, tanto públicos como privados, centros deportivos, médicos o transporte. Acceso rápido a la M-50, M-40 y a la M503 o M516.",False,good,False,,3667.0,False,False,False,False,[],False,False,880000.0,€,chalet,terracedHouse,"Sector S, Boadilla del Monte",Chalet adosado,True,True
