propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108497619,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/af/35/1346675274.webp,MR MARTÍN VARGAS,32,bj,650000.0,duplex,sale,143.0,True,3,2,Barrio Acacias,Madrid,Madrid,Arganzuela,es,Acacias,40.4005778,-3.7014762,False,https://www.idealista.com/inmueble/108497619/,"VIDEO COMPLETO DEL INMUEBLE DISPONIBLE En Templo Consulting ponemos a la venta magnifico dúplex de 143 m2, que se distribuye de la siguiente forma: en planta baja: hall de entrada, salón comedor, cocina independiente con acceso a terraza muy disfrutable de 17,28m, un amplio dormitorio con armarios empotrados y un baño completo con plato de ducha. Planta superior: Dos dormitorios, uno de ellos con baño en suite, con plato de ducha. El inmueble tiene una orientación  oeste y se encuentra reformado. Es exterior, los suelos son de tarima, las paredes son lisas y las ventanas de climalit. La calefacción es individual eléctrica, y con bomba de frío/calor. La finca tiene su entrada independiente. Los gastos de Comunidad son 60/mes, (cuando cobran el agua es 90€) y el IBI anual es de 700€. Excelente ubicación:  a solo 7 minutos andando de la estación de metro Embajadores (L3) y cercanías RENFE y con parada de autobús muy próximas a la vivienda. Respecto a los servicios del entorno, podemos destacar la estupenda oferta educativa con colegios privados y públicos, la diversidad de tiendas y comercios. También hay farmacias, entidades bancarias  y las mejores zonas verdes como Madrid Río.  ¡Hay dos fotos generadas con IA! (Estas fotos se señalan en la parte inferior derecha de las mismas). Con nuestro sistema de Virtual Home Staging, mejoramos la puesta en escena de la vivienda. Cambiamos muebles, cortinas y ciertos elementos de la decoración para ayudarte a tener una mejor idea de cómo quedaría el inmueble con un estilo diferente. Si necesitas financiación, y no sabes si tu banco te ofrece las mejores condiciones, en nuestra agencia inmobiliaria ofrecemos un servicio de intermediación gratuita, con respuesta en 48 horas. Consulta nuestra página web (temploconsulting. com), para agendar una visita al inmueble. Por otro lado, ¿Te interesa este piso y estás pensando en vender tu propiedad? ¡Estamos aquí para ayudarte! Nos encargamos de toda la gestión de venta por 2.950€ + IVA.",True,good,False,True,4545.0,False,False,False,False,[],False,False,650000.0,€,flat,duplex,"Acacias, Madrid",Dúplex,,,,,
108845799,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/10/dc/1356818063.webp,,13,2,255000.0,duplex,sale,65.0,True,2,1,Centro,Madrid,Colmenar Viejo,Centro,es,,40.6582988,-3.7710394,False,https://www.idealista.com/inmueble/108845799/,"Agencia inmobiliaria de COLMENAR VIEJO | zona COLMENAR VIEJO | Oficina Tecnocasa vende piso en segunda planta sin ascensor. ¡ESTRENA VIVIENDA! La vivienda acaba de ser REFORMADA con calidades PREMIUM (incluyendo fontanería, electricidad, ventanas.. . ). Se distribuye en salón con cocina americana con balcón, cuarto de baño y dos dormitorios. Además cuenta con una gran terraza de 18 m2 muy luminosa exterior con vistas privilegiadas Lista para entrar a vivir. La vivienda está ubicada en pleno centro de Colmenar Viejo. Todos los servicios necesarios están a pocos minutos andando. A tan solo 5 minutos en coche de la estación de Renfe de Colmenar Viejo, 20 minutos de Madrid. Si necesitas comprar con préstamo hipotecario, contamos con departamento FINANCIERO con posibilidad de financiación hasta el 100%. CONSULTE SIN COMPROMISO. Si necesitas vender un inmueble, ponemos a su disposición la VALORACION GRATUITA del inmueble en la que le explicaremos todas las fases de la ""compra y venta"" para su mayor tranquilidad y seguridad a la hora de llevar a cabo el cambio de vivienda. Contamos con 2 oficinas en Colmenar Viejo, 350 en la Comunidad de Madrid y más de 870 oficinas en el territorio nacional.",False,good,False,False,3923.0,False,False,False,False,[],False,False,255000.0,€,flat,duplex,"Centro, Colmenar Viejo",Dúplex,,,,,
108846667,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/ed/3b/1356841797.webp,,12,2,255000.0,duplex,sale,65.0,True,2,1,Centro,Madrid,Colmenar Viejo,Centro,es,,40.6595241,-3.7696801,False,https://www.idealista.com/inmueble/108846667/,"Agencia inmobiliaria de COLMENAR VIEJO | zona COLMENAR VIEJO | Oficina Tecnocasa vende piso en segunda planta sin ascensor. ¡ESTRENA VIVIENDA! La vivienda acaba de ser REFORMADA con calidades PREMIUM (incluyendo fontanería, electricidad, ventanas.. . ). Se distribuye en salón con cocina americana, cuarto de baño y dos dormitorios. Además cuenta con una gran terraza de 16 m2 muy luminosa exterior con vistas privilegiadas Lista para entrar a vivir. La vivienda está ubicada en pleno centro de Colmenar Viejo. Todos los servicios necesarios están a pocos minutos andando. A tan solo 5 minutos en coche de la estación de Renfe de Colmenar Viejo, 20 minutos de Madrid. Si necesitas comprar con préstamo hipotecario, contamos con departamento FINANCIERO con posibilidad de financiación hasta el 100%. CONSULTE SIN COMPROMISO. Si necesitas vender un inmueble, ponemos a su disposición la VALORACION GRATUITA del inmueble en la que le explicaremos todas las fases de la ""compra y venta"" para su mayor tranquilidad y seguridad a la hora de llevar a cabo el cambio de vivienda. Contamos con 2 oficinas en Colmenar Viejo, 350 en la Comunidad de Madrid y más de 870 oficinas en el territorio nacional.",False,good,False,False,3923.0,False,False,False,False,[],False,False,255000.0,€,flat,duplex,"Centro, Colmenar Viejo",Dúplex,,,,,
108643863,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/7e/35/1350858179.webp,,24,,545000.0,chalet,sale,270.0,,5,5,Barrio Salud y Alegría - El Lago,Madrid,Torrelodones,Los Peñascales,es,Salud y Alegría - El Lago,40.5698089,-3.904979,False,https://www.idealista.com/inmueble/108643863/,"Inmonoroeste vende en exclusiva este gran chalet adosado a reformar, con una superficie de 270 m² construidos, es el hogar perfecto para familias que buscan espacio, comodidad y un estilo de vida tranquilo. Ubicado en una de las zonas más exclusivas de Torrelodones, esta vivienda ofrece todo lo necesario para disfrutar de una vida cómoda y relajada. Distribución y Características: Primera Planta: La entrada te da acceso a una cocina moderna, un aseo de cortesía, un patio interior perfecto para relajarte, un salón con chimenea que invita a disfrutar de noches acogedoras, y una terraza ideal para disfrutar del aire libre. Segunda Planta: La zona de descanso cuenta con una habitación principal con vestidor y baño en suite, dos habitaciones adicionales y un baño completo. Todas las habitaciones están diseñadas para ofrecer privacidad y confort. Planta 0 (Semisótano): Incluye un garaje, almacén, baño completo, un salón con chimenea que conecta directamente con el jardín de dos alturas con 120 m², y acceso a la piscina comunitaria. Planta Sótano: Ofrece dos habitación adicionales, baño completo y acceso al jardín, ideal para uso como despacho o sala de juegos. Ubicación Privilegiada: Situado en una zona residencial tranquila de Torrelodones, rodeado de naturaleza y vistas privilegiadas. Gran Espacio: Esta vivienda ofrece amplios espacios para vivir cómodamente, incluyendo salones, habitaciones y áreas exteriores perfectas para relajarse. Espacios Exteriores: Terraza, patio interior y jardín con dos alturas ofrecen áreas perfectas para disfrutar el aire libre. Una de las grandes ventajas de esta propiedad es el ACCESO DIRECTO del jardín a la piscina. ¡No dude en ponerse en contacto con nosotros para más información!",False,renew,False,,2019.0,False,False,False,False,[],False,False,545000.0,€,chalet,terracedHouse,"Salud y Alegría - El Lago, Torrelodones",Chalet adosado,True,True,,,
103790848,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/b3/dc/1239795525.webp,Exclusivo - Reforma Integral,37,3,950000.0,flat,sale,62.0,True,1,1,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4322852,-3.6850695,False,https://www.idealista.com/inmueble/103790848/,"""Inmobiliaria Del Río le oferta exclusivo piso en rentabilidad"" Características del Inmueble:    - Tercera planta, - Totalmente exterior y con muchísima luz natural, - Reformado totalmente, - Un dormitorio, - Un cuarto de baño completo, - Cocina estilo americano, - Luminoso salón, - Armarios empotrados, - Calefacción - Aire acondicionado, - Plaza de garaje incluida en el precio de venta, - Ascensor y - Portero. Zona excelentemente comunicada y dotada de todo tipo de servicios y facilidades. No dude en ponerse en contacto con nosotros para visitar este inmueble o para solicitar más información. Estamos siempre gustosos de atenderle. Inmobiliaria del Río Madrid.",True,good,False,True,15323.0,False,False,False,False,[],False,False,950000.0,€,flat,,"Castellana, Madrid",Piso,True,True,,,
108592176,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/dd/6c/1349387170.webp,VMD051,33,1,259000.0,flat,sale,65.0,True,2,1,Barrio Villaverde Alto,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.342771,-3.7091129,False,https://www.idealista.com/inmueble/108592176/,"¡Descubre tu nuevo hogar en este encantador piso de 2 dormitorios, totalmente exterior y situado en la primera planta de un edificio de solo tres alturas! Con una amplia terraza privada de 54 m², ideal para disfrutar del sol y organizar reuniones al aire libre, este espacio se convierte en el refugio perfecto para relajarte después de un largo día, además cuenta con toldo. La cocina amueblada cuenta con salida directa a la terraza, haciendo que cocinar y compartir momentos con amigos sea aún más agradable. El salón comedor es luminoso y acogedor, con suelos de tarima que aportan calidez al ambiente. Además, la vivienda está equipada con aire acondicionado (frío/calor) en el salón y el dormitorio principal, garantizando tu confort en cualquier época del año. También cuenta con un gran armario en el dormitorio principal y un práctico trastero, perfectos para mantener todo en orden. Ubicado junto a la estación de Cercanías de Villaverde Alto y cerca de la Línea 3 de Metro, tendrás acceso rápido a toda la ciudad. Las paradas de autobuses urbanos e interurbanos están a pocos pasos, facilitando tus desplazamientos. Además, los accesos a las autovías A42 y A5 son rápidos y cómodos. Este piso es apto para personas con movilidad reducida y cuenta con un portal totalmente adaptado. ¡No dejes pasar esta oportunidad única de vivir en un lugar que combina comodidad, ubicación y estilo!",True,good,False,True,3985.0,False,False,False,False,[],False,False,259000.0,€,flat,,"Villaverde Alto, Madrid",Piso,,,,,
108666103,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/68/8a/1351562903.webp,040725-LRC-CABRE-MAN,57,,490000.0,chalet,sale,180.0,,3,2,La Cabrera,Madrid,La Cabrera,,es,,40.8717972,-3.6070227,False,https://www.idealista.com/inmueble/108666103/,"Portal 10 vende en exclusiva este espectacular chalet, donde el confort, la luz natural y la tranquilidad se combinan para ofrecerte un hogar único. Ubicado en una gran parcela arbolada, este chalet destaca por sus excelentes calidades y su cuidada distribución.  Consta de tres habitaciones, entre las cuales sobresale la habitación principal, que incluye baño en suite y un acogedor despacho privado, ideal para teletrabajar o disfrutar de un rincón de lectura con vistas. La vivienda cuenta con dos baños completos, decorados con gusto y funcionalidad.  El gran salón, presidido por una elegante chimenea, se fusiona con el comedor, rodeado de amplios ventanales que inundan el espacio de luz natural y ofrecen una conexión directa con el exterior. La cocina es amplia, luminosa y está completamente equipada, con espacio de almacenaje y una distribución cómoda para cocinar en familia o con amigos. Desde aquí se accede directamente al patio trasero, donde te espera un encantador cenador con sillones y pérgola, perfecto para largas sobremesas o cenas de verano. El jardín es una joya verde con una rica variedad de plantas y árboles, ideal para quienes valoran la naturaleza sin salir de casa. Además, cuenta con una piscina de superficie con escalera, ideal para refrescarse en los días más cálidos, y un porche completo, pensado para disfrutar del entorno en cualquier estación del año. La parcela también dispone de entrada para coches y calefacción de gasoil, lo que garantiza el confort durante todo el año. Todo esto enmarcado por unas impresionantes vistas al Pico de la Miel, un privilegio visual que acompaña cada rincón de esta propiedad. Este chalet no solo es una vivienda: es un estilo de vida.  Ideal para familias que buscan espacio, naturaleza y calidad, sin renunciar a la comodidad y a la calidez de un verdadero hogar. Una oportunidad exclusiva en Portal 10. Ven a visitarlo y déjate enamorar por cada detalle.",False,good,False,,2722.0,False,False,False,False,[],False,False,490000.0,€,chalet,independantHouse,La Cabrera,Casa independiente,True,True,,,
108072466,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/08/40/1332983623.webp,2025-15 CADALSO,18,,130000.0,chalet,sale,180.0,,3,2,calle Carretas,Madrid,Cadalso de los Vidrios,,es,,40.2999862,-4.4427693,False,https://www.idealista.com/inmueble/108072466/,"Vivienda pareada en el centro del municipio de Cadalso de los vidrios (Madrid) con 180 metros construidos en tres plantas sobre parcela de 68 metros, reformada en 2025 lista para entrar a vivir. Planta Baja Salón comedor con estufa de pellet, baño con plato de ducha, cocina y patio con parte techada. Primera Planta 2 Dormitorios, baño con plato de ducha y balcón. Segunda Planta Habitación diáfana abuhardillada con Split aire frío y calor. Información de interés Calefacción con radiadores conectada a hidroestufa de pellet. Split aire frío calor en todos los habitáculos. Termo de agua caliente. Carpintería de PVC con persianas totalmente nuevo. Escalera de diseño en madera para acceder a las diferentes plantas. Puertas de madera macizas. Electricidad y fontanería totalmente nuevas. Focos alógenos en todos los habitáculos. Puerta exterior de hierro. Canalones metálicos recién instalados.",False,good,False,,722.0,False,False,False,False,[],False,False,130000.0,€,chalet,terracedHouse,Cadalso de los Vidrios,Chalet adosado en calle Carretas,,,145000.0,15000.0,10.0
107601591,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/73/6e/0e/1317280979.webp,668425,19,1,319000.0,flat,sale,127.0,True,3,2,Colmenarejo,Madrid,Colmenarejo,,es,,40.5629829,-4.0197395,False,https://www.idealista.com/inmueble/107601591/,"REAL-ViV VENDE EN COLMENAREJO, bonito y amplio dúplex de tres dormitorios con armarios empotrados en cada uno de ellos, salón con ventanal muy luminoso, baño completo, aseo y cocina con terraza-tendedero. Calefacción individual de gas natural de suelo radiante y caldera seminueva Saunier Duval. Excelentes calidades, la vivienda se encuentra en un magnífico estado de conservación. Ubicado cerca de todos los servicios, paradas de autobús y fácil acceso a la carretera de El Escorial. *Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual*.",False,good,False,True,2512.0,False,False,False,False,[],False,False,319000.0,€,flat,,Colmenarejo,Piso,,,,,
108681443,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/75/db/1351984004.webp,K-250707-8F3Z1Q,7,,571750.0,chalet,sale,515.0,,5,4,calle Aragoneses s/n,Madrid,Las Rozas de Madrid,Marazuela- El Torreón,es,Marazuela- El Torreón,40.48466,-3.8587673,True,https://www.idealista.com/inmueble/108681443/,"Se vende Chalet en Las Rozas de Madrid de 514 m², con piscina y jardín. La vivienda se encuentra dentro de una de las urbanizaciones más prestigiosas de Madrid, destacando por su cercanía a los principales servicios de la zona.  La propiedad se oferta con un descuento superior al 30%, respecto a valores de mercado. Esto la convierte en una oportunidad destacada. Particularidades del Proceso de Cesión de Remate Acceso al Inmueble: dada la naturaleza del proceso judicial, no es posible realizar visitas previas al inmueble. El Juzgado no dispone de las llaves, pero gestionará la entrega de la posesión una vez completada la adjudicación. Pago y Financiación: esta modalidad de adquisición requiere el pago en efectivo del importe total, ya que las entidades bancarias no suelen conceder hipotecas hasta que el inmueble se registre formalmente a nombre del comprador. Por tanto, es necesario disponer del 100% de los fondos para proceder con la compra. Consulte a su entidad financiera.  Condiciones de Compra y Perfil del Comprador Este tipo de operación es una inversión inmobiliaria, dirigida tanto a inversores como a compradores finales que dispongan de liquidez suficiente y busquen beneficiarse de un descuento significativo en el precio. No es necesario tener experiencia previa en la adquisición de activos bancarios, ya que nuestro equipo se encarga de guiar todo el proceso, desde la adjudicación hasta la formalización, asegurando que el comprador comprenda las características y requisitos específicos de este tipo de operaciones. Contacto: Para más información sobre este activo o el proceso de cesión de remate, por favor, contacte con nosotros. Estaremos encantados de resolver cualquier consulta y proporcionarle la asesoría necesaria.",False,renew,False,,1110.0,False,False,False,False,[],False,False,571750.0,€,chalet,semidetachedHouse,"Marazuela- El Torreón, Las Rozas de Madrid",Chalet pareado en calle Aragoneses s/n,True,True,,,
