propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,district,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
106943059,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/9e/12/1333421262.webp,Roble 365999,81,365999.0,chalet,sale,209.0,4,4,Torrejón de la Calzada,Madrid,Torrejón de la Calzada,es,40.1998404,-3.8043068,False,https://www.idealista.com/inmueble/106943059/,"¡Descubre tu nuevo hogar en las afueras de Madrid! Este encantador chalet adosado es perfecto para quienes buscan espacio, comodidad y un toque de naturaleza. Con 209 m² construidos y 174 m² útiles, esta vivienda ofrece cuatro amplios dormitorios, dos baños completos y un aseo. Los armarios empotrados brindan un almacenamiento óptimo, mientras que la chimenea en el salón crea un ambiente acogedor para las noches de invierno. El aire acondicionado en el salón y el dormitorio principal garantiza confort durante todo el año, complementado con calefacción a gas natural. Disfruta de momentos al aire libre en la terraza del dormitorio principal o en el espacioso patio de 60 metros cuadrados, ideal para barbacoas con amigos y familiares. Además, la propiedad cuenta con una placa solar que contribuye al ahorro energético. Para los amantes del automóvil, el chalet ofrece dos plazas de garaje y un práctico enganche para coche eléctrico. La comunidad dispone de una piscina que, por solo 15€ mensuales, se convierte en el lugar perfecto para relajarse durante los meses de verano. Construido en 1995 y en buen estado, este chalet es una oportunidad única para vivir rodeado de tranquilidad sin renunciar a las comodidades modernas. ¡No dejes pasar esta oportunidad y ven a conocer tu futuro hogar! [IW].",False,good,False,1751.0,False,False,False,False,[],False,False,365999.0,€,True,True,chalet,terracedHouse,Torrejón de la Calzada,Chalet adosado,,,,,,,,
108886461,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/52/7e/1357954205.webp,,3,290000.0,flat,sale,70.0,4,1,"calle Villardondiego, 30",Madrid,Madrid,es,40.4063789,-3.6083431,True,https://www.idealista.com/inmueble/108886461/,"Se vende FANTÁSTICO piso para entrar a vivir! Muy luminoso y espacioso piso ideal para quienes buscan comodidad y una excelente ubicación. La vivienda está lista para entrar a vivir y dispone de tres habitaciones muy amplias y bien iluminadas, perfectas tanto para descansar como para estudiar o teletrabajar. Cuenta con un cuarto de baño completo, un salón acogedor con espacio suficiente para compartir momentos en familia o con amigos, y una cocina funcional, equipada para el día a día. Además, tiene una agradable terraza, ideal para disfrutar del aire libre sin salir de casa. El piso es completamente exterior, lo que garantiza mucha luz natural durante todo el día. Se encuentra en una zona universitaria tranquila y segura, a tan solo cinco minutos a pie del campus de la Universidad Rey Juan Carlos I. La ubicación es inmejorable: muy cerca de todos los servicios necesarios como supermercados, transporte público, zonas verdes, restaurantes y un centro comercial. Es una oportunidad perfecta para quienes buscan un entorno cómodo, bien comunicado y con todos los servicios a mano. Contacteme para mas información!",False,good,False,4143.0,False,False,False,False,[],False,False,290000.0,€,,,flat,,"Ambroz, Madrid","Piso en calle Villardondiego, 30",4,True,Vicálvaro,Ambroz,True,,,
108370065,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/39/1e/1342077891.webp,,10,339000.0,flat,sale,67.0,2,1,calle de Mayorga,Madrid,Madrid,es,40.461957,-3.6518841,False,https://www.idealista.com/inmueble/108370065/,"Piso exterior reformado a medida. Consta de dos dormitorios, baño y cocina completa. En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. La instalación eléctrica se compone de cuadro elevado y cambio de acometida para que esté libre de halógenos obteniendo un nuevo boletín eléctrico. La instalación de fontanería y gas se renueva totalmente. La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra mineral para asegurar el nuevo aislamiento tanto térmico como acústico. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,5060.0,False,False,False,False,[],False,False,339000.0,€,,,flat,,"Canillas, Madrid",Piso en calle de Mayorga,2,True,Hortaleza,Canillas,True,,,
108149111,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/31/47/1335322248.webp,,10,180000.0,flat,sale,45.0,1,1,avenida del Puente Cultural,Madrid,San Sebastián de los Reyes,es,40.5700901,-3.6064093,False,https://www.idealista.com/inmueble/108149111/,"¡OPORTUNIDAD! A la venta éstos magníficos loft a estrenar. (ÚLTIMAS UNIDADES) IDEAL COMO INVERSIÓN CON ALTA RENTABILIDAD Cuentan con salón y dormitorio independientes, baño completo con plato de ducha, cocina completamente amueblada y equipada con vitrocerámica, campana extractora, lavadora, y frigorífico.  Se entrega con sistema de climatización por bomba de calor y aire acondicionado, armario empotrado en dormitorio y recibidor. Existen dos opciones dsiponibles: 1- Loft sin terraza   Precio: 180.000€ + I. T. P. 6%  orientación sur, con vistas hacia Avenida Puente Cultural. 2- Loft con terraza   Precio: 200.000€ + I. T. P. 6%  orientados hacia la parte trasera del edificio, con salida directa a terraza de 35m2  Posibilidad de plaza de garaje si se requiere.",False,good,False,4000.0,False,False,False,False,[],False,False,180000.0,€,,,flat,,"Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes",Piso en avenida del Puente Cultural,bj,True,Dehesa Vieja-Puente Cultural,,True,,,
102947976,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a4/93/02/1216573354.webp,,48,2600000.0,chalet,sale,1386.0,9,13,Abantos - Carmelitas,Madrid,San Lorenzo de El Escorial,es,40.5862639,-4.1659754,False,https://www.idealista.com/inmueble/102947976/,"Dream-homes ofrece fantástico y especial chalet en Abantos con bonitas vistas al Monasterio, en una parcela de 3.122 m2 con piscina y con un jardín precioso y consolidado con arbolado variado. La casa tiene 3 plantas comunicadas con una bonita y amplia escalera además dispone de ascensor. En la planta principal encontramos un vestíbulo de entrada, que da acceso por un lado a una gran cocina con office y cuarto de baño de servicio; por otro lado se accede a un gran salón -comedor que cuenta con chimenea y salida a un bonito balcón. En esta planta hay 2 dormitorios: el principal con un gran vestidor y un gran cuarto de baño, y otro dormitorio con cuarto de baño grande también en suite. Además hay un despacho y un cuarto de baño de invitados, así como un aseo de cortesía.  En la 1 ª planta, encontramos una preciosa escalera que da un espacioso distribuidor por el que se accede a una gran biblioteca, y a 2 dormitorios con cuartos de baño en suite, otro gran cuarto de baño en el distribuidor y un gran vestidor. La planta baja tiene una moderna y bonita reciente reforma, con materiales de primera calidad, que podría ser un apartamento independiente. Cuenta con cinco dormitorios, todos con cuartos de baño en suite y vestidor. Cocina con isla integrada en un acogedor y bonito salón que tiene salida al jardín de la casa, además cuenta con habitación de lavado y plancha. Tiene grandes pasillos con armarios empotrados. Cuenta con otro cuarto de baño independiente en el pasillo. En esta planta se encuentra también una mesa de billar. El Garaje de 248m2 tiene acceso desde el exterior de la casa con capacidad para 7 vehículos. La piscina es de agua de sal con calentador y cubierta automatizada. La vivienda cuenta con sistema de alarmas exterior e interior con cámaras de seguridad.",False,good,False,1876.0,False,False,False,False,[],False,False,2600000.0,€,True,True,chalet,independantHouse,"Abantos - Carmelitas, San Lorenzo de El Escorial",Casa independiente,,,Abantos - Carmelitas,,,,,
108599334,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/f6/aa/1349596058.webp,GZ04,20,265000.0,duplex,sale,90.0,0,1,Barrio Campodón - Ventorro del Cano,Madrid,Alcorcón,es,40.3949243,-3.8362754,False,https://www.idealista.com/inmueble/108599334/,"GRUPO ZENÓN OFRECE: Moderno Loft Dúplex con Terraza y 2 Plazas de Garaje en Ventorro del Cano  Presentamos este exclusivo loft tipo dúplex ubicado en la codiciada zona de Ventorro del Cano, ideal tanto para vivienda como para uso profesional. Con 74 m² útiles distribuidos en dos niveles y una amplia terraza privada de 22 m², esta propiedad destaca por su diseño funcional, luminosidad y confort.  En la planta baja encontramos un espacio diáfano de 37 m², perfecto como salón, zona de trabajo o sala polivalente, acompañado de un office independiente ideal como cocina o área de preparación. Desde esta planta se accede directamente a la soleada terraza, perfecta para momentos de relax o reuniones al aire libre. La primera planta, también de 37 m², alberga un dormitorio abierto tipo suite con un baño completo con plato de ducha, ofreciendo privacidad y comodidad.  La propiedad incluye dos plazas de garaje en el precio, un trastero de 9 m² y cuenta con 3 unidades de aire acondicionado con bomba de frío/calor, garantizando el confort térmico durante todo el año. Una excelente oportunidad para quienes buscan un espacio versátil, con todas las comodidades y excelente comunicación, tanto para vivir como para combinar vida personal y profesional, nuestros honorarios no están incluidos en el precio.  Si esta vivienda encaja con tus necesidades, contacta con nosotros y te haremos un estudio de financiación totalmente gratuito y sin compromiso.",False,good,False,2944.0,False,False,False,False,[],False,False,265000.0,€,True,True,flat,duplex,"Campodón - Ventorro del Cano, Alcorcón",Dúplex,bj,True,Campodón - Ventorro del Cano,Campodón - Ventorro del Cano,False,,,
108705428,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/f6/d8/1352682645.webp,78946,1,1890000.0,chalet,sale,355.0,5,4,calle de Antonio Larrazábal,Madrid,Madrid,es,40.4617119,-3.6278291,False,https://www.idealista.com/inmueble/108705428/,"Súper oportunidad de vivir en el parque Conde Orgaz!  Esta estupenda vivienda destaca por su excelente ubicación en una de las zonas más exclusivas del Parque Conde de Orgaz. Se trata de un chalet adosado muy espacioso y con gran luminosidad, edificado sobre una amplia parcela con acceso directo a una zona comunitaria donde se encuentra la piscina. La casa ofrece estancias generosas y bien iluminadas, con un gran salón que conecta con el porche y el jardín privado. Dispone de varios dormitorios amplios, una buhardilla con techos altos y un semisótano que alberga el garaje y varias estancias multifuncionales. Distribución: •Planta principal: Recibidor, aseo de cortesía, salón con chimenea y salida al porche, jardín y piscina comunitaria, comedor independiente y cocina. •Primera planta: Cuatro dormitorios de buen tamaño y tres baños. Dos de los dormitorios cuentan con baño en suite y vestidor. •Ático: Espaciosa buhardilla con techos altos, ideal como zona de ocio, despacho o dormitorio adicional. •Semisótano: Garaje y diversas estancias auxiliares con múltiples posibilidades. Construida en 1996, esta propiedad es perfecta para quienes valoran el confort y la tranquilidad en un entorno privilegiado. No dudes en solicitar más información o concertar una visita.",False,good,False,5324.0,False,False,False,False,[],False,False,1890000.0,€,True,True,chalet,semidetachedHouse,"Conde Orgaz-Piovera, Madrid",Chalet pareado en calle de Antonio Larrazábal,,,Hortaleza,Conde Orgaz-Piovera,,,,
106989279,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/04/ab/1299681096.webp,,12,495000.0,flat,sale,68.0,2,1,calle de Pinilla del Valle,Madrid,Madrid,es,40.438969,-3.6761542,False,https://www.idealista.com/inmueble/106989279/,"Piso exterior reformado a medida. Consta de dos habitaciones, baño y cocina. En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. La instalación eléctrica se compone de cuadro elevado y cambio de acometida para que esté libre de halógenos obteniendo un nuevo boletín eléctrico. La instalación de fontanería y gas se renueva totalmente, con caldera de Saunier Duval Thelia Condens y nueva instalación de gas con nuevo boletín y contador. La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra mineral para asegurar el nuevo aislamiento tanto térmico como acústico. En muchos casos, se mejora también el aislamiento de fachadas, medianeras, suelos y techos por petición con materiales de especiales cualidades que ocupan el menor espacio posible. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,7279.0,False,False,False,False,[],False,False,495000.0,€,,,flat,,"Prosperidad, Madrid",Piso en calle de Pinilla del Valle,1,True,Chamartín,Prosperidad,True,,,
106571126,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/6c/92/1287144719.webp,1190,19,390000.0,flat,sale,120.0,3,2,Coslada Pueblo,Madrid,Coslada,es,40.4248166,-3.5662946,False,https://www.idealista.com/inmueble/106571126/,"� Piso en venta en Coslada, zona Parque Blanco Descubre esta vivienda semi-nueva de 120 m², ideal para familias, con garaje de acceso directo y trastero de 5 m² incluidos en el precio. ✨ Características principales:  3 dormitorios, dos de ellos dobles, con armarios empotrados  2 baños completos, uno en suite en el dormitorio principal  Amplio salón independiente de 22 m² con varios ambientes  Cocina equipada y amueblada con zona office y tendedero  Impresionante terraza-patio de 20 m² con acceso desde salón y cocina  Calefacción individual de Gas Natural y aire acondicionado por conductos  Suelos de parquet y gres, ventanas Climalit y puertas lacadas en blanco � Ubicado en urbanización privada con conserje 24h, piscina y zonas comunes, en una zona bien comunicada, a solo 500 metros de Renfe y con líneas de bus cercanas. � Entreplanta en un edificio moderno y exclusivo. ¡No dejes pasar esta oportunidad! ✨�.",False,good,False,3250.0,False,False,False,False,[],False,False,390000.0,€,True,True,flat,,"Coslada Pueblo, Coslada",Piso,en,True,Coslada Pueblo,,True,,,
104998698,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/85/ae/ee/1238616258.webp,,3,175000.0,flat,sale,72.0,3,1,"avenida del Oeste, 23",Madrid,Alcorcón,es,40.3399939,-3.8278191,True,https://www.idealista.com/inmueble/104998698/,"CESION DE REMATE NO SE PUEDE VISITAR. NO SE PUEDE HIPOTECAR ¡Oportunidad de inversión única en el corazón de la ciudad! Presentamos esta fabulosa vivienda de 72m² en cesión de remate, ideal para inversores con visión.  Ubicada en un edificio de 10 plantas construido en 1975, esta propiedad cuenta con 3 luminosas habitaciones y 1 baño, ofreciendo todo el potencial para ser transformada en un hogar moderno y confortable.  El edificio dispone de un jardín comunitario, ascensor y portero. Situado en la séptima planta y con una orientación exterior, el piso goza de buena iluminación natural. Aunque la vivienda necesita reformas, su estado ofrece una página en blanco perfecta para personalizar al gusto y maximizando su valor de reventa o alquiler. No dejes pasar esta excelente oportunidad de inversión en una ubicación privilegiada con todos los servicios esenciales al alcance. ¡Contacta ahora y programa tu visita! Nota importante: para cesiones de remate subastas  Celebrada la SUBASTA JUDICIAL, sólo la parte ejecutante o los acreedores posteriores pueden hacer postura reservándose la facultad de CEDER EL REMATE a un tercero.  La cesión se verificará mediante comparecencia ante la Letrada de la Administración de Justicia responsable de la ejecución, con asistencia del cesionario, quien deberá aceptarla, y todo ello previa o simultáneamente al pago o consignación del precio del remate, que deberá hacerse constar documentalmente.  Al no tratarse de una compraventa en escritura pública y ser una Cesión de Remate, la aprobación del remate y la cesión deberá de ser aprobada por el juzgado correspondiente.  El inmueble se transmite libre de cargas hipotecarias.  Todos los gastos de la venta pública y los derivados de la cancelación de cargas, y las deudas que, en su caso graven la finca, tales como, y sin carácter taxativo, gastos de comunidad y de IBI, serán de cuenta y cargo del adjudicatario.  El inmueble no es posible visitarlo, por no tener la posesión del mismo.  No es posible hipotecar ya que hasta que no se dicte la sentencia de adjudicación no se puede visitar y no se puede tasar.",False,renew,False,2431.0,False,False,False,False,[],False,False,175000.0,€,,,flat,,"Parque Mayor, Alcorcón","Piso en avenida del Oeste, 23",7,True,Centro,Parque Mayor,True,,,
