propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,district,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice
108423818,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/d2/fa/1344464690.webp,O2060,8,1,230000.0,flat,sale,114.0,True,3,2,Griñón,Madrid,Griñón,es,40.2135113,-3.8508638,False,https://www.idealista.com/inmueble/108423818/,"GRIÑÓN INMOBILIARIA vende: oportunidad única! Piso de 3 dormitorios listo para entrar a vivir Se vende amplio y luminoso piso de 3 dormitorios, ideal para familias o como inversión. La vivienda cuenta con: 3 habitaciones exteriores  Salón-comedor espacioso con acceso a balcón Cocina independiente totalmente equipada 1 baño completo reformado y 1 aseo Calefacción y aire acondicionado Ubicado en una zona tranquila, bien comunicada y con todos los servicios a mano: colegios, supermercados, transporte público y zonas verdes. Se admite PERMUTA en la zona de Torremlinos  ¡No dejes pasar esta oportunidad! Contacta para más información o concertar una visita.",False,good,False,False,2018.0,False,False,False,False,[],False,False,230000.0,€,flat,Griñón,Piso,,,,,,,,,
108565155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/df/cc/1348618268.webp,,16,,210000.0,chalet,sale,110.0,,3,1,plaza del Romano,Madrid,Valdemoro,es,40.1911862,-3.6792255,False,https://www.idealista.com/inmueble/108565155/,"Piso en venta en el centro de valdemoro 100mts, 3 dormitorios dobles (dormitorio principal con vestidor)1 baño de 9 mts completo con ducha y mampara, calefaccion, acumuladores y termo de gran capacidad para agua caliente, suelos gress, cocina amueblada, salon individual con terraza de 1x5, orientacion sur-este, muy luminoso. Esta vivienda esta ubicada en el corazon de valdemoro, perfecta para una vivienda familiar con todos los servicios ( supermercados, farmacias, centro de salud, parada de autobus y comercios). El inmueble tiene posibilidad de instalar un pequeño ascensor para el acceso a la vivienda desde la planta baja. Una vivienda en la mejor zona de valemoro ideal para su familia.",False,good,False,,1909.0,False,False,False,False,[],False,False,210000.0,€,chalet,"Centro, Valdemoro",Chalet pareado en plaza del Romano,Centro,semidetachedHouse,,,,,,,
108731813,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7d/21/f2/1353489909.webp,,9,bj,166000.0,flat,sale,59.0,True,1,1,Centro,Madrid,Valdemoro,es,40.1869326,-3.6789009,False,https://www.idealista.com/inmueble/108731813/,"Si estás buscando un piso en una ubicación tranquila pero bien comunicada, este es el lugar perfecto para ti. Esta propiedad te ofrece una excelente orientación, lo que garantiza una gran luminosidad durante todo el día. Con una distribución funcional, este hogar es ideal para aquellos que buscan comodidad y calidad de vida. Distribución Funcional y Acogedora Este piso de 1 habitación ofrece un espacio bien aprovechado, con estancias amplias y agradables. El salón-comedor se presenta como un lugar ideal para el descanso, mientras que la habitación ofrece un ambiente tranquilo y cómodo para toda la familia. La cocina es independiente, bien equipada y de fácil acceso desde el salón, permitiéndote disfrutar de la comodidad y practicidad de un hogar funcional. El baño completo está perfectamente distribuido y equipado con todo lo necesario para ofrecerte la mayor comodidad. Vivir en está zona te ofrece la ventaja de estar cerca de todos los servicios esenciales, como colegios, tiendas, parques y transportes públicos, lo que te permitirá disfrutar de una vida cómoda y conectada con el resto de Valdemoro.",False,good,False,False,2814.0,False,False,False,False,[],False,False,166000.0,€,flat,"Centro, Valdemoro",Piso,Centro,,176000.0,10000.0,6.0,,,,
108508426,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/e4/73/1346994215.webp,CS-00602-0001 SOLVIA STORE ALCOBENDAS,3,3,266300.0,flat,sale,101.0,True,1,1,calle Ontanilla,Madrid,Madrid,es,40.3750534,-3.7273382,False,https://www.idealista.com/inmueble/108508426/,"Se trata de una Vivienda situada en un edificio de diez alturas sobre rasante, ubicado en la calle Ontanilla, en la ciudad de Madrid. El edificio dispone de ascensor. La vivienda tiene la siguiente distribución un hall de entrada, que da acceso a una cocina independiente, y un pasillo que distribuye a un salón comedor, varias estancias que se considerarían dormitorios, y un cuarto de baño completo con bañera. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia.",False,renew,False,True,2637.0,False,False,False,False,[],False,False,266300.0,€,flat,"Abrantes, Madrid",Piso en calle Ontanilla,Carabanchel,,,,,Abrantes,,,
108302537,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/9f/dc/1340634984.webp,1387,1,ss,790000.0,flat,sale,91.0,True,2,3,calle de Castelló,Madrid,Madrid,es,40.4242203,-3.6812499,False,https://www.idealista.com/inmueble/108302537/,"Exclusivo Piso de Lujo Reformado en Castelló con Jorge Juan – The Selection Homes The Selection Homes presenta en exclusiva esta joya inmobiliaria situada en una de las zonas más codiciadas de Madrid, en la confluencia de las calles Castelló y Jorge Juan. Se trata de un elegante piso exterior completamente reformado con calidades premium, ideal para quienes buscan un hogar sofisticado y listo para entrar a vivir. La vivienda ha sido reformada íntegramente con acabados de alta gama de Porcelanosa, reflejando una estética contemporánea, funcional y atemporal. Con una distribución pensada para el máximo confort, cuenta con dos amplios dormitorio, uno de ellos en suite con baño privado, además de una zona de lavandería independiente, y un espacioso salón-comedor perfectamente diferenciado. La luz natural, la orientación exterior y los detalles de diseño convierten este piso en una propiedad única. Existe además la posibilidad de adquirirlo completamente amueblado, con piezas seleccionadas cuidadosamente para complementar el estilo moderno y elegante del espacio. Una oportunidad inmejorable para vivir o invertir en uno de los enclaves más prestigiosos del Barrio de Salamanca, rodeado de boutiques exclusivas, restaurantes de autor y todos los servicios. Características destacadas: * Reforma integral de lujo con materiales Porcelanosa * 2 dormitorios (1 en suite) * Zona de lavandería * Espacios amplios y luminosos * Posibilidad de venta con mobiliario de diseño * Ubicación privilegiada en Castelló con Jorge Juan Para más información o concertar una visita privada, no dude en ponerse en contacto con The Selection Homes.",False,good,False,False,8681.0,False,False,False,False,[],False,False,790000.0,€,flat,"Recoletos, Madrid",Piso en calle de Castelló,Barrio de Salamanca,,,,,Recoletos,,,
107391592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/8d/1c/1311530561.webp,,7,2,255000.0,penthouse,sale,48.0,False,1,1,calle de Mira el Río Baja,Madrid,Madrid,es,40.4068929,-3.7103012,False,https://www.idealista.com/inmueble/107391592/,Agradable y luminoso apartamento ubicado en la segunda y última planta de edificio clásico tipo corrala se distribuye de la siguiente manera: Accedemos a la vivienda y nos encontramos un amplio espacio donde contamos con salón comedor y cocina integrada equipada con todo tipo de electrodomésticos. La vivienda se caracteriza por su gran luminosidad debido a la altura de techos y dos claraboyas que hacen que entre muchisima luz natural. Cuenta con un dormitorio con cama doble y acceso desde el salón. También dispone de un cuarto de baño de muy buen tamaño. El apartamento se encuentra actualmente con un contrato de arrendamiento en vigor. Para más información o visitas estaremos encantados de poder enseñárselo.,False,good,False,False,5313.0,False,False,False,False,[],False,False,255000.0,€,flat,"Lavapiés-Embajadores, Madrid",Ático en calle de Mira el Río Baja,Centro,penthouse,,,,Lavapiés-Embajadores,,,
108315092,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/6d/36/1340446401.webp,Z2-00079-0004,10,,127000.0,flat,sale,46.0,,1,1,calle de Ramón Luján,Madrid,Madrid,es,40.3875128,-3.7033382,False,https://www.idealista.com/inmueble/108315092/,"Piso de 46 m² en venta situado en Madrid. Construido en 2009, este piso dispone de una superficie de 46 m² y se distribuye en salón-comedor, cocina amueblada con armarios altos y bajos, 1 dormitorio, 1 baño y terraza. Incluye un trastero de 6 m² situado en la planta cubierta. Buenas comunicaciones, con paradas de autobús próximas con las líneas 47, 247 y N15, próxima a la estación de metro Usera y mediante el acceso viario A-42. La zona dispone de equipamiento variado, restaurantes, farmacia, instituto, estadio, etc. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,False,2761.0,False,False,False,False,[],False,False,127000.0,€,flat,"Moscardó, Madrid",Piso en calle de Ramón Luján,Usera,,,,,Moscardó,,,
85846163,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/92/0f/676844325.webp,Mv746,24,bj,195000.0,flat,sale,70.0,True,2,1,PARQUE VOSA,Madrid,Móstoles,es,40.3312539,-3.8646231,False,https://www.idealista.com/inmueble/85846163/,"Piso en parque vosa, bajo con patio, 2 dormitorios, antes 3, suelos en gres, ventanas en climalit, puertas en roble. Todos los servicios, todos los transportes.",False,good,False,True,2786.0,False,False,False,False,[],False,False,195000.0,€,flat,"Norte - Universidad, Móstoles",Piso en Parque Vosa,Norte - Universidad,,,,,,,,
108601705,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/92/86/1349667021.webp,,11,,125000.0,chalet,sale,203.0,,0,0,calle de Fosant,Madrid,Colmenar de Oreja,es,40.1070693,-3.3881588,False,https://www.idealista.com/inmueble/108601705/,"Magnifica propiedad para reformar, una excelente oportunidad tanto para uso particular como para el uso de arrendamiento turístico o casa rural en un entorno privilegiado. La propiedad, situada en el centro de la localidad, consta de un fantástico patio con acceso a una habitación, soportal, baño y un amplio salón con una espectacular chimenea. La planta superior diáfana dispone de espacio suficiente para poder realizar dos o tres estancias.  Una propiedad ideal tanto para residir, como para usar como vivienda de fin de semana o negocio turístico. El precio NO es negociable.",False,renew,False,,616.0,False,False,False,False,[],False,False,125000.0,€,chalet,Colmenar de Oreja,Casa independiente en calle de Fosant,,independantHouse,,,,,,,
102474482,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b9/ca/e6/903122093.webp,C1723,30,2,155000.0,duplex,sale,50.0,True,1,2,calle Riazas,Madrid,Miraflores de la Sierra,es,40.8117402,-3.7637172,False,https://www.idealista.com/inmueble/102474482/,"Norte inmobiliaria les ofrece este apartamento de 50 m² aprox. , en dos plantas, salón comedor, cocina, aseo, una habitación, baño completo. Terraza con vistas a la sierra. Calf. propano canalizado. Semiamueblado. Cerca parada autobús.",False,good,False,False,3100.0,False,False,False,False,[],False,False,155000.0,€,flat,Miraflores de la Sierra,Dúplex en calle Riazas,,duplex,,,,,,,
