propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
107470501,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/2d/3d/1313721892.webp,85672724,22,1,620000.0,flat,sale,78.0,True,2,2,calle de Ilustración,Madrid,Madrid,Moncloa,es,Argüelles,40.4202793,-3.714903,False,https://www.idealista.com/inmueble/107470501/,"BARNES Madrid presenta esta luminosa y elegante vivienda en venta en el corazón de Madrid. Con una superficie de 78 m². Esta propiedad destaca por su diseño funcional, su excelente distribución y su encanto exterior gracias a sus balcones, que ofrecen vistas despejadas. Totalmente amueblado y equipado, este piso está listo para entrar a vivir, combinando comodidad y estilo en un ambiente moderno y acogedor. Dispone de dos amplios dormitorios, ambos diseñados para proporcionar el máximo confort. El salón-comedor es un espacio versátil y luminoso, perfecto tanto para el descanso como para recibir invitados, mientras que la cocina, completamente equipada con electrodomésticos de última generación, ofrece un entorno funcional y atractivo para los amantes de la cocina. El baño ha sido renovado con materiales de primera calidad, asegurando un ambiente moderno y elegante. Ubicado en una de las zonas más dinámicas y bien conectadas de Madrid, esta vivienda permite disfrutar de una amplia oferta de servicios, comercios, restaurantes y espacios culturales. La zona cuenta con excelentes conexiones de transporte público, lo que facilita la movilidad por toda la ciudad. Además, la proximidad a zonas verdes y enclaves históricos hace de esta propiedad una oportunidad única para vivir con todas las comodidades en una de las ciudades más vibrantes de Europa. Desde BARNES Madrid le invitamos a visitar nuestra web para conocer los inmuebles mas exclusivos de la captal.",False,good,False,True,7949.0,False,False,False,False,[],False,False,620000.0,€,flat,"Argüelles, Madrid",Piso en calle de Ilustración,Top,,,,,,,,
108027353,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/b6/26/1331611721.webp,4206,53,bj,340000.0,duplex,sale,116.0,False,1,1,calle de Ramón Calabuig,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3944316,-3.6665752,False,https://www.idealista.com/inmueble/108027353/,"Loft de diseño con doble altura, jardín con jacuzzi y patio privado – Puente de Vallecas (junto a Avda. de la Albufera) Descubre este espectacular loft de 3,90 m de altura en una de las zonas más bien comunicadas de Puente de Vallecas, a solo unos pasos de la Avenida de la Albufera y con todos los servicios cerca. Una vivienda única, completamente reformada hace 7 años con materiales de primeras calidades, pensada para disfrutar de la amplitud, la luz natural y la privacidad en pleno entorno urbano. Características principales: Superficie interior muy bien aprovechada con doble acceso: desde el portal del edificio y también desde la calle, ideal para guardar moto, bicicletas o incluso como entrada independiente si se desea combinar vivienda y actividad profesional. Gran patio privado de 20 m², repleto de plantas, con tumbonas y zona de comedor exterior, perfecto para disfrutar todo el año con total intimidad. Dormitorio principal tipo suite con acceso directo a un jardín de 12 m², donde encontrarás un jacuzzi privado rodeado de vegetación. 4 dormitorios en total, con excelente distribución, más 1 mini despacho independiente, ideal para trabajar desde casa. Cocina abierta al salón, totalmente equipada con electrodomésticos de calidad y mobiliario de diseño industrial, creando un espacio moderno y acogedor. Se entrega amueblado o, si se prefiere, vacío y recién pintado en blanco, según las preferencias del comprador. Comodidades y eficiencia energética: Calefacción mediante estufa de pellets, que ofrece un consumo eficiente y ecológico. 3 bombas de calor con aire acondicionado, para climatización completa durante todo el año. 5 placas solares instaladas, lo que permite un importante ahorro en la factura eléctrica. Ventanas climalit triples para mayor aislamiento térmico y acústico. Puerta blindada y cierres exteriores con rejas de seguridad. Trastero amplio de aproximadamente 20 m², ideal como almacén, taller o zona adicional de guardado. Nota importante: Al tratarse de un local habilitado como vivienda, no es posible solicitar una hipoteca por el 100% del valor. Es necesario contar con una parte del importe como entrada. Una oportunidad única para quienes buscan algo diferente, funcional, con espacios exteriores privados y excelente conexión con el centro de Madrid.",True,good,False,False,2931.0,True,False,True,False,[],False,False,340000.0,€,flat,"San Diego, Madrid",Dúplex en calle de Ramón Calabuig,Top,duplex,,,,,,,
108008067,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/01/11/1330995724.webp,VM2504057,16,bj,2900000.0,flat,sale,303.0,False,4,3,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4331965,-3.6941698,False,https://www.idealista.com/inmueble/108008067/,"BAJO LUMINOSO CON TERRAZA EN ALMAGRO Ubicado en la zona de Almagro, muy próxima al Paseo de la Castellana.  Cuenta con una superficie construida de 303 m² distribuidos en una sola planta, Al entrar a la propiedad, se accede a un amplio hall de entrada de aproximadamente 22 m² que ofrece una bienvenida espaciosa y luminosa. Actualmente, está dispuesta como oficina aunque se puede plantear el cambio de uso. Cuenta con una serie de comodidades, incluyendo dos aseos generales, un aseo adaptado para personas con movilidad reducida, y un vestuario. También dispone de un almacén de tamaño adecuado para almacenamiento adicional. En cuanto a las áreas de trabajo, la oficina se divide en varias salas de diferente tamaño, lo que permite adaptarlas a las necesidades de la empresa: una sala/despacho de 36 m², otra sala/despacho de 61 m², otra sala/despacho de 28 m², y una sala principal de 94 m², con acceso a un almacén de 8 m². Además, el inmueble ofrece un pequeño patio de 15 m² y una gran terraza de 112 m², que proporciona un espacio adicional perfecto y aporta muchísima luminosidad al inmueble. Este último se ve acentuado por los grandes ventanales que rodean la oficina, lo que permite que toda la oficina goce de una abundante luz natural durante todo el día, creando un ambiente de trabajo mucho más agradable y dinámico.   Cuenta con dos plazas de garaje en el mismo edificio con acceso directo y portero. Sin duda una ubicación privilegiada que hará la vida mucho más agradable. ¿Te imaginas vivir aqui?    Contacte con nosotros para ver más inmuebles similares.",False,good,False,True,9571.0,True,False,False,False,[],False,False,2900000.0,€,flat,"Almagro, Madrid",Piso,Top,,True,True,,,,,
104525205,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/73/b2/1337315790.webp,3869,45,3,950000.0,flat,sale,91.0,True,2,2,calle del Arenal,Madrid,Madrid,Centro,es,Sol,40.418954,-3.7055127,False,https://www.idealista.com/inmueble/104525205/,"EL INMUEBLE SE ENCUENTRA EN OBRAS  ALTOR ASESORES ofrece maravilloso piso exterior con GRANDES VENTANALES a la calle en el centro histórico de Madrid a escasos metros de la Puerta del Sol, la Gran Vía y la plaza del Callao. La propiedad consta de un vestíbulo de entrada, un amplio salón con VENTANAS GRANDES, 2 dormitorios, 1 baños 1 aseo. La cocina totalmente equipada patio de uso y disfrute. Gran altura de techos en toda la casa, suelo de madera, calefacción individual por gas natural e instalación eléctrica y fontanería actualizada. ¡Oportunidad única en el centro, mejor verlo! Inmejorable ubicación dentro de uno de los barrios más demandados de la capital, el centro histórico de Madrid, junto al Palacio Real, Los Jardines de Sabatini y El Teatro Real. La zona de Callao - Santo Domingo cuenta con grandes edificios históricos, a escasos pasos de la Puerta del Sol y de la emblemática Gran Vía. Es una de las zonas más agradables para pasear, por la plaza de Oriente, con sus distinguidas terrazas. Cercana a calle Mayor, Arenal y Bailén que cuentan con múltiples tiendas, bares y restaurantes.",True,good,False,True,10440.0,True,False,True,False,[],False,False,950000.0,€,flat,"Sol, Madrid",Piso en calle del Arenal,Top,,,,,,,,
107661973,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/92/7d/1319063656.webp,4168,57,3,1420000.0,flat,sale,280.0,True,4,3,calle de Donoso Cortés,Madrid,Madrid,Chamberí,es,Gaztambide,40.436187,-3.714954,False,https://www.idealista.com/inmueble/107661973/,"ALTOR ASESORES ofrece en exclusiva este impresionante piso señorial en una de las más exclusivas calles de todo Chamberí Se trata de una vivienda en tercera planta de casi 300 m² construidos con múltiples posibilidades de reforma. En 232 m² útiles Junto a sus cuatro dormitorios posee cuatro estancias con posible uso de salones, de tal modo que de unirlas todas ellas, quedaría un espacio diáfano de más de 60 m². En adición, cuenta con tres baños, una cocina y dos terrazas independientes. Cabe destacar de este piso la insuperable iluminación que le proporcionan sus ventanales, ubicados estratégicamente para bañar la vivienda, orientada al oeste, en luz natural A escasos minutos andando de las estaciones de metro Moncloa e Islas Filipinas.",True,renew,False,True,5071.0,True,False,True,False,[],False,False,1420000.0,€,flat,"Gaztambide, Madrid",Piso en calle de Donoso Cortés,Top,,,,,,,,
108291635,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/f5/e4/1339716587.webp,ARRO-18,19,5,225000.0,flat,sale,80.0,True,3,1,calle de Gazaperas,Madrid,Fuenlabrada,El Arroyo - La Fuente,es,,40.2762191,-3.7997955,False,https://www.idealista.com/inmueble/108291635/,"PISO SEMIREFORMADO Y CON FINANCIACIÓN HASTA EL 100%! La agencia inmobiliaria HOGARES FUENLABRADA VENDE EN EXCLUSIVA piso EXTERIOR de 80m compuesto por 3 amplios dormitorios, 1 baño completo con plato de ducha, salón de paso muy luminoso y cocina independiente. La vivienda dispone de suelos de gres y parqué, ventanas de climalit, puertas de roble, cocina totalmente equipada, 1 A/A ubicado en el salón, y 2 A/E y calefacción Individual de gas natural. Ubicado en edificio que dispone de ascensor y FACHADA REHABILITADA. ; próximo a todos los servicios: colegios, supermercados, zonas verdes y deportivas, centro de salud, a menos de 10 minutos de Renfe y Metro Fuenlabrada Central. VISÍTALO SIN COMPROMISO, TE CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN CON LAS MEJORES CONDICIONES!",True,good,False,True,2813.0,True,False,False,False,[],False,False,225000.0,€,flat,"El Arroyo - La Fuente, Fuenlabrada",Piso en calle de Gazaperas,Top,,,,,,,,
108669164,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/34/06/1352311952.webp,INM38092,40,2,180000.0,flat,sale,54.0,True,1,1,calle de la Chirimoya,Madrid,Madrid,Carabanchel,es,Buena Vista,40.3699567,-3.7507679,False,https://www.idealista.com/inmueble/108669164/,"Gran oportunidad para reformar y revalorizar Ponemos a la venta esta interesante vivienda situada en una de las zonas más tranquilas y consolidadas del distrito de Carabanchel, en la subzona de Buenavista. Una propiedad con múltiples posibilidades tanto para quienes buscan su hogar definitivo como para inversores que deseen una vivienda con alto potencial de rentabilidad. Características principales: Superficie de 54 m² construidos según Catastro Ubicada en una segunda planta con altura de primero, en finca de 1970. Distribución actual: 1 dormitorio (con posibilidad de dos), 1 baño, cocina independiente y salón. Cocina y salón conectados con la terraza. ¿Desayuno al sol o barbacoa improvisada? Tú decides. Vivienda completamente exterior, muy luminosa durante todo el día. Posibilidad de redistribución interna, ya que no existen muros de carga. Se trata de una vivienda que anteriormente contaba con dos dormitorios, lo cual facilita una redistribución para adaptarse a diferentes estilos de vida o estrategias de inversión. Para reformar a tu gusto: Este piso ofrece una excelente base para desarrollar un proyecto de reforma personalizado. La ausencia de muros estructurales permite redistribuir los espacios con gran libertad, adaptándolos a las necesidades actuales de funcionalidad y confort. Ubicación y entorno: La propiedad se encuentra en una calle muy tranquila del barrio de Buenavista, a escasos metros de la estación de metro Carabanchel Alto (Línea 11), conexión rápida con la circular (L6). Además, cuenta con numerosas líneas de autobús cercanas que conectan con el centro de Madrid en pocos minutos. El entorno dispone de todos los servicios necesarios para la vida diaria: supermercados, colegios, pequeños comercios, centros de salud y zonas verdes. Frente a la vivienda se ubica un cuartel militar con edificación baja, lo que garantiza vistas despejadas y un entorno silencioso. Una inversión inteligente: Gracias a sus bajos gastos de comunidad y a su excelente ubicación, esta propiedad resulta especialmente atractiva para quienes buscan un activo con buena rentabilidad en el mercado del alquiler, o una vivienda con gran capacidad de revalorización tras una reforma. Si desea más información o concertar una visita, no dude en ponerse en contacto con nosotros. Estaremos encantados de atenderle y mostrarle el potencial de esta interesante propiedad.",False,renew,False,False,3333.0,True,False,True,False,[],False,False,180000.0,€,flat,"Buena Vista, Madrid",Piso en calle de la Chirimoya,Top,,,,,,,,
108255660,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/62/5a/86/1338631190.webp,LCM35482,35,3,575000.0,flat,sale,75.0,True,2,1,calle de Almadén,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4118485,-3.6927163,False,https://www.idealista.com/inmueble/108255660/,"¡ EXTERIOR Y CON ENCANTO EN EL BARRIO MÁS DESEADO DE MADRID! ITE favorable en Finca histórica de 1890 Ubicado en el Barrio de las Letras, uno de los entornos con más carácter y proyección de Madrid, este inmueble exterior representa una oportunidad única de inversión o vivienda. Situado en una finca representativa de 1890, con la Inspección Técnica del Edificio (ITE) favorable en 2023, conserva el estilo arquitectónico clásico de la época, perfectamente integrado en el paisaje urbano del centro histórico. La vivienda ofrece grandes posibilidades de reforma, ideal para diseñarla a tu gusto y necesidades. Destacan sus techos altos y dos balcones exteriores, que llenan el espacio de luz natural y potencian su amplitud y calidez. Forma parte del área declarada Patrimonio Mundial por la UNESCO en 2018 bajo el nombre de Paisaje de la Luz, un enclave único con excelente oferta cultural, gastronómica y de servicios, además de una inmejorable conexión con el resto de la ciudad. ¿Necesitas financiación? Contamos con el apoyo de FINANZATE - Intermediación Financiera Eurocredit MAD S. L. , que ofrece asesoramiento personalizado, sin compromiso y sin coste, para ayudarte a encontrar la mejor opción financiera para tu compra. ¡No dejes pasar esta oportunidad única! Contáctanos hoy mismo y agenda tu visita.",True,renew,False,False,7667.0,True,False,False,False,[],False,False,575000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle de Almadén,Top,,,,,,,,
108728044,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/d2/53/1353372910.webp,Venta-Sanse2H,30,1,355000.0,flat,sale,72.0,True,2,2,avenida del Puente Cultural,Madrid,San Sebastián de los Reyes,Dehesa Vieja-Puente Cultural,es,,40.570312,-3.6033163,False,https://www.idealista.com/inmueble/108728044/,"Tu nuevo hogar en Dehesa Vieja: comodidad, estilo y proyección Te presentamos este encantador piso de 62 m² ubicado en la prestigiosa Avenida Puente Cultural, nº5, en pleno corazón de Dehesa Vieja, una de las zonas con mayor proyección y calidad de vida de San Sebastián de los Reyes. Una vivienda ideal para quienes buscan funcionalidad, confort y buenas vibraciones. Su distribución es perfecta: dispone de un luminoso salón comedor, cocina independiente, dos dormitorios (el principal con baño en suite), un baño de cortesía y una práctica terraza tipo balcón, con vistas despejadas hacia una futura piscina y pistas de pádel, actualmente en construcción dichas instalaciones pertenecerá a otra promoción, lo que asegura que no habrá ningún edificio frente a esta propiedad y se podrá seguir disfrutando de las vistas. La finca cuenta con ascensor, servicio de conserjería en el acceso principal y zonas comunes en expansión, lo que la convierte en una excelente oportunidad tanto para vivir como para invertir. Zona Dehesa Vieja: entorno tranquilo y bien conectado Vivir en Dehesa Vieja es apostar por la calidad de vida. Esta zona moderna y familiar está diseñada para el disfrute y la tranquilidad, con grandes avenidas, parques y un entorno urbano cuidado. Servicios y ocio cercanos: A pocos minutos del Centro Comercial Alegra y del The Style Outlets, donde encontrarás tiendas, restaurantes y opciones de entretenimiento para toda la familia. Rodeado de zonas verdes, como el Parque de la Dehesa Vieja y espacios deportivos. Gran variedad de colegios, guarderías, centros médicos y supermercados. A pocos pasos del Polideportivo Dehesa Boyal, ideal para los amantes del deporte. Excelente comunicación: Acceso inmediato a la A1 y cercanía con la M-607. Estación de tren Renfe Cercanías (Reyes Católicos) a pocos minutos. Paradas de autobús con conexión directa a Madrid capital. Próxima al futuro desarrollo del entorno urbano, lo que garantiza una revalorización progresiva de la zona. Ideal para quienes buscan una vida tranquila sin renunciar a nada Ya sea como primera vivienda, como inversión o para vivir en pareja o familia, este piso ofrece una combinación equilibrada de funcionalidad, ubicación y potencial de crecimiento. ¿Te imaginas vivir aquí? Ven a visitarlo y déjate conquistar por su entorno y su energía.",True,good,False,True,4931.0,True,False,True,False,[],False,False,355000.0,€,flat,"Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes",Piso en avenida del Puente Cultural,Top,,True,True,,,,,
107298292,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/17/ce/1308805830.webp,VM2502028,41,,2500000.0,chalet,sale,233.0,,4,2,Barrio Fuente del Berro,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.426363,-3.6627453,False,https://www.idealista.com/inmueble/107298292/,"CASA PARA REFORMAR CON GARAJE Y VIGILANCIA EN EL BARRIO DE SALAMANCA La casa está ubicada en una de las colonias más demandas y de moda del momento, a tan solo diez minutos del centro, una zona tranquila y única para vivir en familia, muy cerquita del parque de “La quinta de Fuente del Berro” uno de los parques más bonitos de Madrid. Tiene 233 m² construidos y consta de tres plantas distribuidas de la siguiente manera; En la primera planta un salón comedor muy amplio y luminoso que da acceso una agradable terraza. En la misma planta se encuentra la cocina independiente y un aseo de cortesía. En la segunda planta, la planta alta, cuatri dormitorios y un baño. Cada dormitorio dispone de aire acondicionado por conductos. La tercera y última planta, está distribuida por un cuarto, un pequeño trastero para “guardar” y un gran salón o cuarto de estar múltiples funcionalidades. La casa dispone también de un encantador patio que bordea la casa y un garaje de uso propio dentro de la misma.   Es una casa con mucho encanto y con grandes posibilidades de reforma. La colonia cuenta con vigilancia de seguridad 24 horas. Una gran oportunidad para vivir en un entorno único. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",False,good,False,,10730.0,False,False,False,False,[],False,False,2500000.0,€,chalet,"Fuente del Berro, Madrid",Chalet pareado,Top,semidetachedHouse,True,True,,,,,
