propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,externalReference,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108602977,https://img4.idealista.com/blur/480_360_mq/180/id.pro.es.image.master/a7/b4/3d/1349704928.webp,20,bj,210000.0,flat,sale,65.0,True,2,1,real,Madrid,Valdemorillo,Valdemorillo pueblo,es,40.5022441,-4.0667926,False,https://www.idealista.com/inmueble/108602977/,"Piso muy luminoso muy bien ubicado y con pequeño patio 2 habitaciones, 1 baño, 1 salon y 1 cocina con salida a un pequeño patio.",False,good,False,True,3231.0,False,False,False,False,[],False,False,210000.0,€,flat,"Valdemorillo pueblo, Valdemorillo",Piso en real,,,,,,,,
107969640,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/50/bd/1329806166.webp,21,1,248999.0,flat,sale,31.0,True,1,1,Barrio Cuatro Caminos,Madrid,Madrid,Tetuán,es,40.4460749,-3.7014125,False,https://www.idealista.com/inmueble/107969640/,"Excelente apartamento en 4 caminos a 200m del mismo metro, y a 10min de nuevos ministerior, 1° exterior muy luminoso con dos balcones a la calle, consta de 1 dormitorio, salón, cocina y baño, y trastero tiene puerta blindada, suelos cerámicos, armarios empotrados, ventanas doble cristal etc. ideal como 1° vivienda o como inversión por la alta demanda por la zona de viviendas en alquiler.",False,good,False,False,8032.0,False,False,False,False,[],False,False,248999.0,€,flat,"Cuatro Caminos, Madrid",Piso,Cuatro Caminos,251900.0,2901.0,1.0,,,,
97208367,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/21/6e/972269004.webp,2,4,113500.0,flat,sale,65.0,True,3,1,Sureste,Madrid,Torrejón de Ardoz,Sureste,es,40.4530797,-3.4708293,False,https://www.idealista.com/inmueble/97208367/,"INVERSORES: El Inmueble se transmite ocupado por tercero no pudiendo hacer visitas físicas al inmueble. El precio ha sido determinado teniendo en cuenta que el activo se transmite con ocupante/ocupantes. No cobramos comisión al comprador. - INMUEBLE OCUPADO. Piso en Cuarta Planta. Ubicado en el sureste de Torrejón de Ardoz, en Colonia Ciudad Jardín del Rosario.    La vivienda consta de 65 m2, distribuidos en: 3 habitaciones, 1 baño, cocina, salón-comedor y una Terraza de 4 m2.    Próximo a todo tipo de comercios, servicios, administraciones, supermercados, a varios colegios y paradas de autobús, que a su vez conectan con la cercanía de Torrejón de Ardoz.    A solo 2 km de la Autovía del Nordeste, A-2.    Llame ahora para conocer más información sobre la vivienda. - No cobramos comisión al comprador. - LA PROPIEDAD NO GARANTIZA LA DISPONIBILIDAD DE ACCESO A LA FINCA, PUDIENDO ESTAR OCUPADA POR TERCERO SIN TITULO.",False,good,False,False,1746.0,False,False,False,False,[],False,False,113500.0,€,flat,"Sureste, Torrejón de Ardoz",Piso,,,,,fo-11058-1,,,
108894726,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/0d/6f/1358195212.webp,12,2,395000.0,flat,sale,75.0,True,2,1,Barrio La Paz,Madrid,Madrid,Fuencarral,es,40.481818,-3.7031421,False,https://www.idealista.com/inmueble/108894726/,"Piso en finca en buen estado reformado a medida. Consta de dos dormitorios, baño y cocina. En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. La instalación eléctrica se compone de cuadro elevado y cambio de acometida para que esté libre de halógenos obteniendo un nuevo boletín eléctrico. La instalación de fontanería y gas se renueva totalmente, con caldera de Saunier Duval Thelia Condens y nueva instalación de gas con nuevo boletín y contador. La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra de vidrio para asegurar el nuevo aislamiento tanto térmico como acústico. En muchos casos, se mejora también el aislamiento de fachadas y medianeras y suelos y techos por petición, con materiales de especiales cualidades que ocupan el menor espacio posible. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,True,5267.0,False,False,False,False,[],False,False,395000.0,€,flat,"La Paz, Madrid",Piso,La Paz,,,,,,,
108716258,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/ce/d9/1352997547.webp,13,3,300000.0,flat,sale,80.0,True,3,1,Barrio Almendrales,Madrid,Madrid,Usera,es,40.3827898,-3.6998913,False,https://www.idealista.com/inmueble/108716258/,"Piso en finca en buen estado reformado a medida. Consta de dos dormitorios, baño y cocina. Reforma integral con renovación integral de instalaciones, tanto eléctrica como gas y fontanería. Tabiquería interior completamente nueva y distribución dirigida a la optimización del espacio y al máximo aprovechamiento de la luz natural, con cerramiento de terraza. Aislamiento de fachadas y medianeras opcional. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas, con gamas medias altas pensadas para una primera vivienda. Ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,True,3750.0,False,False,False,False,[],False,False,300000.0,€,flat,"Almendrales, Madrid",Piso,Almendrales,,,,,,,
108750855,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/92/18/1354038563.webp,13,3,285000.0,flat,sale,77.0,True,2,2,Barrio Abrantes,Madrid,Madrid,Carabanchel,es,40.3775619,-3.7312657,False,https://www.idealista.com/inmueble/108750855/,"Piso reformado a medida en finca en buen estado con ascensor. Consta de 2 dormitorios (1 suite con vestidor y baño), baño adicional y cocina. En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. La instalación eléctrica se compone de cuadro elevado y cambio de acometida para que esté libre de halógenos obteniendo un nuevo boletín eléctrico. La instalación de fontanería y gas se renueva totalmente, con caldera de Saunier Duval Thelia Condens y nueva instalación de gas con nuevo boletín y contador. La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra de vidrio para asegurar el nuevo aislamiento tanto térmico como acústico. En muchos casos, se mejora también el aislamiento de fachadas y medianeras y suelos y techos por petición, con materiales de especiales cualidades que ocupan el menor espacio posible. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,True,3701.0,False,False,False,False,[],False,False,285000.0,€,flat,"Abrantes, Madrid",Piso,Abrantes,,,,,,,
108570889,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/2c/54/1348763111.webp,9,3,143000.0,flat,sale,73.0,,3,1,calle Alberto Palacios,Madrid,Madrid,Villaverde,es,40.3418926,-3.7138269,False,https://www.idealista.com/inmueble/108570889/,"¡Tenemos en exclusiva el piso que estabas buscando! INMUEBLE SIN POSESION Ponemos a tu disposición una excelente oportunidad de inversión: una vivienda en un edificio residencial con una distribución funcional que incluye tres habitaciones, un baño, cocina, salón y una agradable terraza. Todo lo necesario para disfrutar de un espacio cómodo y completo. Importante: Actualmente, la propiedad se encuentra alquilada, por lo que no es posible realizar visitas. No apta para compradores que necesiten financiación hipotecaria. El comprador deberá subrogarse al contrato de arrendamiento vigente, respetando todas las condiciones establecidas en el mismo. Nota: La información relativa a la distribución del inmueble es orientativa y puede no reflejar fielmente la disposición actual, ya que no ha sido posible verificarla in situ. Se ha tomado como referencia la tipología de propiedades similares en la zona. ¿Te interesa? Cuéntanos tu mejor oferta. Estaremos encantados de escucharte y acompañarte paso a paso en el proceso de compra. Llámanos y te facilitaremos toda la información que precises.",False,renew,False,,1959.0,False,False,False,False,[],False,False,143000.0,€,flat,"Villaverde Alto, Madrid",Piso en calle Alberto Palacios,Villaverde Alto,,,,10435,,,
108658259,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/88/f7/4c/1351335276.webp,13,5,539999.0,flat,sale,51.0,True,1,1,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,40.4255576,-3.6767198,False,https://www.idealista.com/inmueble/108658259/,"** UNHOGAR VENDE Piso en Venta en la Calle Hermosilla, Barrio de Salamanca** ¡Descubre esta increíble oportunidad de inversión en uno de los barrios más exclusivos de Madrid! Este piso de 51 m², situado en una planta intermedia, ofrece un lienzo en blanco para crear el hogar de tus sueños. Con varias estancias que gozan de excelente luz natural y techos altos que aportan una sensación de amplitud, este espacio es perfecto para personalizar a tu gusto. El inmueble, completamente para reformar, permite la redistribución de espacios según tus necesidades. Imagina diseñar un acogedor dormitorio, un baño moderno y una terraza donde disfrutar del aire libre. Además, cuenta con armarios empotrados y la comodidad de un edificio con ascensor y portero físico. La ubicación es inmejorable. Rodeado de comercios, restaurantes y colegios, tendrás todo lo que necesitas a tu alcance. La excelente conexión con el transporte público y las principales vías de acceso al centro hacen que este piso sea ideal tanto para vivir como para invertir. ¡No dejes pasar esta oportunidad única en el corazón de Madrid!",False,renew,False,True,10588.0,False,False,False,False,[],False,False,539999.0,€,flat,"Goya, Madrid",Piso,Goya,549999.0,10000.0,2.0,,,,
107288336,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/50/ca/1328399297.webp,1,,369000.0,chalet,sale,266.0,,3,1,calle Prado del Valle,Madrid,San Lorenzo de El Escorial,Zaburdón - Monte Escorial,es,40.604395,-4.1338244,False,https://www.idealista.com/inmueble/107288336/,"VIVIENDA UNIFAMILIAR OCUPADA POR PERSONA SIN JUSTO TÍTULO ESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITAS IDEAL PARA INVERSORES Vivienda unifamiliar pareada de 266 m², según Catastro, a la venta en San Lorenzo de El Escorial, Madrid. La vivienda está distribuida en varias plantas y dispone de jardín y patio. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Muy bien comunicado por carretera (M-600) y transporte público. Próximo a la parada de autobús en calle Monte del Fraile y a la estación de Cercanías Renfe de 'El Escorial'. Próximo a todo tipo de servicios e infraestructuras como centros educativos (CEPA Pedro Martínez Gavito), comercios, supermercados, farmacias, zonas verdes.. . SIN COMISIÓN La localización del activo es aproximada.",False,good,False,,1387.0,False,False,False,False,[],False,False,369000.0,€,chalet,"Zaburdón - Monte Escorial, San Lorenzo de El Escorial",Chalet en calle Prado del Valle,,,,,TRCOK25071,,,
108698362,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/12/91/1352484465.webp,13,3,320000.0,flat,sale,90.0,True,3,2,Barrio Arcos,Madrid,Madrid,San Blas,es,40.4259968,-3.6134794,False,https://www.idealista.com/inmueble/108698362/,"Piso exterior reformado a medida. Consta de 3 dormitorios, 2 baños y cocina. En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra mineral para asegurar el nuevo aislamiento tanto térmico como acústico. En muchos casos, se mejora también el aislamiento de fachadas, medianeras, suelos y techos por petición con materiales de especiales cualidades que ocupan el menor espacio posible. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,True,3556.0,False,False,False,False,[],False,False,320000.0,€,flat,"Arcos, Madrid",Piso,Arcos,,,,,,,
