propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,district,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108832402,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/47/84/1356500865.webp,19,310000.0,chalet,sale,161.0,4,3,Griñón,Madrid,Griñón,es,40.2098004,-3.8503774,False,https://www.idealista.com/inmueble/108832402/,"ECNOCASA calle VILLALOBOS 3. Tlf Agencia inmobiliaria de ESTUDIO INMOBILIARIO GRIÑON SUR vende CHALET ADOSADO **¡Descubre tu nuevo hogar en Griñón! ** Este encantador chalet perfecto para disfrutar de la vida en familia. se distribuye dos plantas en la planta principal un luminoso salón te da la bienvenida, ideal para relajarte o recibir a tus amigos, una amplia cocina es perfecta para los amantes de la gastronomía, y un práctico aseo añade comodidad a tu día a día. Además, el patio privado ideal para disfrutar de momentos al aire libre. En la planta superior, encontrarás cuatro acogedores dormitorios que ofrecen el descanso que mereces. El dormitorio principal cuenta con baño en suite, brindando privacidad y confort. Un baño completo adicional asegura que todos tengan su espacio. Las ventanas dobles de aluminio climalit garantizan un ambiente tranquilo y eficiente energéticamente. Este chalet también está equipado con tres aires acondicionados con bomba de calor frío/caliente y calefacción individual por gas, asegurando un clima perfecto durante todo el año. Con un garaje cubierto de 20 m², tendrás espacio suficiente para tu vehículo y almacenamiento adicional. en buen estado, este hogar es una excelente opción para quienes buscan calidad y comodidad. ¡No dejes pasar la oportunidad de visitarlo!",False,good,False,1925.0,False,False,False,False,[],False,False,310000.0,€,True,True,chalet,terracedHouse,Griñón,Chalet adosado,,,,,,,,,,
108408265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/0c/20/1344032979.webp,10,109900.0,chalet,sale,113.0,1,0,"calle Remolino, 16 -34",Madrid,El Molar,es,40.7314544,-3.5805662,True,https://www.idealista.com/inmueble/108408265/,"Antiguo pajar de piedra con patio en El Molar cuenta con una superficie total de 113 m². Es una excelente oportunidad para inversores, ya que tiene edificabilidad de 80m2 por planta más buhardilla bajocubierta. Patio de 20m2 libre, para jardín, terraza, garaje o zona de ocio. Muchas posibilidades. Se encuentra en el centro del pueblo en zona tranquila pero cerca de todos los servicios. ¡No dejes pasar esta oportunidad de inversión en El Molar!",False,renew,False,973.0,False,False,False,False,[],False,False,109900.0,€,,,chalet,terracedHouse,El Molar,"Chalet adosado en calle Remolino, 16 -34",006123,,,,,,,,,
107849384,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/5b/76/1326157306.webp,9,200000.0,flat,sale,55.0,3,1,calle de Juan Navarro,Madrid,Madrid,es,40.3952462,-3.6683704,False,https://www.idealista.com/inmueble/107849384/,"Se vende piso de 55 m² construidos, situado en una segunda planta sin ascensor, ideal para inversión. La vivienda se encuentra en el barrio de Puente de Vallecas, con una excelente ubicación: - A solo 4 minutos andando del metro Puente de Vallecas - Y a 5 minutos de la estación de Nueva Numancia Consta de 3 habitaciones, 1 baño completo, salón comedor y cocina independiente. Se encuentra cerca de supermercados, paradas de autobuses y con muy buena conexión a la M-30, lo que la hace atractiva tanto para vivir como para alquilar. Honorario de agencia y gastos de compraventa no están incluidos en el precio! Para más información o concertar una visita, no dudes en contactarnos.",False,good,False,3636.0,False,False,False,False,[],False,False,200000.0,€,,,flat,,"San Diego, Madrid",Piso en calle de Juan Navarro,,2,True,Puente de Vallecas,San Diego,False,,,,
108163556,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/13/c9/1343946157.webp,7,174000.0,flat,sale,40.0,2,1,calle del Vizconde de Arlessón,Madrid,Madrid,es,40.3833551,-3.6683795,False,https://www.idealista.com/inmueble/108163556/,"Presentamos esta excelente oportunidad en Puente de Vallecas: un piso completamente reformado que combina funcionalidad, estilo y una ubicación estratégica en Madrid. Con una superficie de 40 m², la vivienda se distribuye en dos habitaciones, un baño con acabados modernos, un luminoso salón-comedor integrado a una cocina americana de diseño actual, y una pequeña terraza que se convierte en un auténtico privilegio en una ciudad como Madrid, ideal para disfrutar del exterior durante todo el año. Esta propiedad TIENE ASCENSOR y representa una magnífica opción tanto para quienes buscan su primera vivienda como para inversores que deseen alta rentabilidad en una zona en constante crecimiento. Su precio único en el mercado convierte esta oferta en una oportunidad difícil de igualar. Una inversión inteligente o el hogar perfecto para empezar una nueva etapa. No dejes pasar esta ocasión irrepetible. Contáctanos hoy mismo y descubre todo lo que este piso puede ofrecerte.",True,good,False,4350.0,False,False,False,False,[],False,False,174000.0,€,,,flat,,"San Diego, Madrid",Piso en calle del Vizconde de Arlessón,81,5,True,Puente de Vallecas,San Diego,True,,,,
108330389,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/df/90/8c/1340870669.webp,2,114500.0,flat,sale,41.0,2,1,Barrio San Diego,Madrid,Madrid,es,40.3849108,-3.6717313,False,https://www.idealista.com/inmueble/108330389/,"Oportunidad de inversión: inmueble sin posesión. Imposibilidad de visita interior, no se puede financiar la compra de este inmueble. Advertimos que la información contenida puede no estar actualizada, solicita más información sobre el activo sin compromiso. Investment opportunity: property without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation [IW]. [IW].",False,good,False,2793.0,False,False,False,False,[],False,False,114500.0,€,,,flat,,"San Diego, Madrid",Piso,OK1PMADRID61,bj,True,Puente de Vallecas,San Diego,False,,,,
108006072,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/30/47/1339083195.webp,18,1315000.0,chalet,sale,250.0,4,5,El Soto de la Moraleja,Madrid,La Moraleja,es,40.527858,-3.6332521,False,https://www.idealista.com/inmueble/108006072/,"Estupendo Chalet adosado, orientado al Sur.  Su ubicación es inmejorable, en el corazón del Soto de La Moraleja, junto a los colegios de La Moraleja. Se puede ir caminando en unos 5 minutos a los colegios de la calle Salvia, y también muy cerca de los de Camino Ancho o paseo de Alcobendas. También caminando al metro de La Moraleja. Estas características son fundamentales, luego cada uno la puede reformar o decorar a su gusto pero hacerla luminosa si no tiene la orientación que uno desea, es imposible. La distribución de la vivienda es como sigue: Planta principal: Hall de entrada elegante y luminoso con cristaleras, aseo para invitados. Salón comedor que ampliaron y tiene buen tamaño, con acceso al jardín principal, . La cocina con gran cristalera, la han reformado recientemente y tiene espacio para una mesa para los desayunos en familia.  Planta primera: Dormitorio que han ampliado, con baño en suite y otro dormitorio también con su baño incorporado. Esta planta se podría ampliar.  Buhardilla: Dormitorio principal con vestidor y cuarto de baño con ducha.  En la planta -1 encontramos el dormitorio de servicio con su baño y un cuarto de juegos enorme con multitud de armarios empotrados. Con acceso directo al garaje de la urbanización. Dispone de dos plazas, una detrás de otra (dependiendo del tamaño de los coches) en el garaje y hay algunas plazas sin adjudicar en el exterior.  Calefacción individual por gas natural y aire acondicionado por splits.  En el Soto residen miembros de embajadas, empresarios, altos directivos de grandes compañías multinacionales y personajes conocidos que buscan privacidad y discreción y donde disfrutar de exclusividad y confort.  El entorno natural es propicio para disfrutar de la paz, serenidad, del aire libre, mientras que la localización y las excelentes comunicaciones permiten el fácil y rápido acceso a centros comerciales, instalaciones deportivas, una extensa selección de magníficos restaurantes y algunos de los mejores colegios internacionales en España. Con sus abundantes parques y jardines, El Soto de La Moraleja ofrece multitud de servicios y actividades para desarrollar al aire.  Merece la pena que concierten una visita a la vivienda.",False,good,False,5260.0,False,False,False,False,[],False,False,1315000.0,€,True,True,chalet,terracedHouse,"El Soto de la Moraleja, La Moraleja",Chalet adosado,,,,El Soto de la Moraleja,,,,,,
108333295,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/25/26/1340994378.webp,2,111500.0,flat,sale,87.0,2,2,Calle Pinto-San Roque,Madrid,Parla,es,40.2390793,-3.7656094,False,https://www.idealista.com/inmueble/108333295/,"Oportunidad de inversión: inmueble sin posesión. Imposibilidad de visita interior, no se puede financiar la compra de este inmueble. Advertimos que la información contenida puede no estar actualizada, solicita más información sobre el activo sin compromiso. Investment opportunity: property without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation [IW]. [IW].",False,good,False,1282.0,False,False,False,False,[],False,False,111500.0,€,,,flat,,"Calle Pinto-San Roque, Parla",Piso,OK1PMADRID64,2,True,Calle Pinto-San Roque,,False,,,,
108721316,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/44/26/1353151637.webp,2,856000.0,penthouse,sale,115.0,2,2,Barrio Prosperidad,Madrid,Madrid,es,40.4433811,-3.6731039,False,https://www.idealista.com/inmueble/108721316/,"¡Descubre el hogar de tus sueños en este espectacular ático en venta! Con una superficie construida de 115 m², este luminoso espacio ofrece una distribución diáfana que combina un acogedor salón y una moderna cocina en un único ambiente, perfecto para disfrutar de momentos inolvidables.  La joya de la propiedad es su amplia terraza privada, ideal para relajarte al sol o organizar cenas al aire libre con amigos y familiares. El ático cuenta con dos dormitorios de generosas dimensiones, donde el dormitorio principal se convierte en un auténtico refugio gracias a su baño en suite y vestidor. Los dos baños completos están equipados con materiales de alta calidad y acabados modernos, asegurando comodidad y estilo en cada rincón. Situado en la séptima planta, este inmueble exterior ofrece vistas despejadas y una excelente orientación sur, lo que garantiza luz natural durante todo el día. Además, cuenta con calefacción mediante bomba de frío/calor y aire acondicionado, asegurando un ambiente agradable en cualquier época del año. La propiedad, en buen estado y construida en 1987, incluye armarios empotrados para maximizar el espacio de almacenamiento y una plaza de garaje, todo incluido en el precio. No pierdas la oportunidad de vivir en este maravilloso ático que combina confort, estilo y una ubicación privilegiada.  ¡Ven a visitarlo y déjate enamorar!",False,good,False,7443.0,False,False,False,False,[],False,False,856000.0,€,True,True,flat,penthouse,"Prosperidad, Madrid",Ático,,7,True,Chamartín,Prosperidad,True,870000.0,14000.0,2.0,
108330191,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5d/b7/1e/1340854694.webp,2,141000.0,flat,sale,102.0,3,2,Centro - Casco Histórico,Madrid,San Lorenzo de El Escorial,es,40.5941745,-4.1489838,False,https://www.idealista.com/inmueble/108330191/,"Oportunidad de inversión: inmueble sin posesión. Imposibilidad de visita interior, no se puede financiar la compra de este inmueble. Advertimos que la información contenida puede no estar actualizada, solicita más información sobre el activo sin compromiso. Investment opportunity: property without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation [IW].",False,good,False,1382.0,False,False,False,False,[],False,False,141000.0,€,,,flat,,"Centro - Casco Histórico, San Lorenzo de El Escorial",Piso,OK1PMADRID59,en,True,Centro - Casco Histórico,,False,,,,
107594358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/ac/8d/1317072729.webp,9,191000.0,flat,sale,63.0,2,1,calle Morenés Arteaga,Madrid,Madrid,es,40.3897026,-3.7211819,False,https://www.idealista.com/inmueble/107594358/,"Piso de 64 m² situado en Madrid. Construido en 1964, este piso cuenta con una superficie aproximada de 64 m² y se distribuye en salón-comedor, cocina independiente, 2 dormitorios y 1 baño. La vivienda está comunicada mediante la estación del tren a menos de 15 minutos y próxima a la autovía A-42. La zona dispone de equipamiento variado, farmacia, galerías de arte, gimnasio, restaurantes, etc. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. - Inscripción en el Registro de la Propiedad en trámite. La anterior situación del activo puede suponer dificultad/imposibilidad en la obtención de financiación hipotecaria por el comprador. Consultar su situación actual, así como, las condiciones de su transmisión. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,3032.0,False,False,False,False,[],False,False,191000.0,€,,,flat,,"Opañel, Madrid",Piso en calle Morenés Arteaga,C1-13258-0001,,,Carabanchel,Opañel,False,,,,
