propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108169396,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/64/6d/41/1335947376.webp,10,3,220000.0,flat,sale,80.0,True,3,1,La Serna,Madrid,Fuenlabrada,La Serna,es,40.2971452,-3.8006039,False,https://www.idealista.com/inmueble/108169396/,"Agencia inmobiliaria TECNOCASA de FUENLABRADA – LA SERNA, VENDE piso  de 80m2 construidos.  Compuesto por: entrada, salón, terraza, cocina, lavadero, 3 dormitorios y 1 baño completo con bañera. LA FINCA EN ESTOS MOMENTOS NO TIENE ASCENSOR, PERO TIENE EL PROYECTO PARA SU INSTALACION YA APROBADO. ¡Descubre tu nuevo hogar en la exclusiva zona de La Serna! Este encantador te ofrece todo lo que necesitas para vivir cómodamente. Al entrar, te recibe un luminoso salón que se conecta con un comedor espacioso y tiene una estupenda terraza ideal para disfrutar de momentos de relax. La cocina está totalmente equipada, cuenta con lavadero y con mucho almacenaje. La vivienda consta con tres amplios dormitorios y un baño completo con bañera. Las calidades de este piso son excepcionales: suelos de gres, paredes con pintura lisa, puertas de madera en perfecto estado y ventanas oscilobatientes. Además, la calefacción de gas natural asegura un ambiente cálido en invierno. FINCA EN ESTOS MOMENTOS NO TIENE ASCENSOR, PERO TIENE EL PROYECTO PARA SU INSTALACION YA APROVADO. El inmueble está situado en una zona ya consolidada con multitud de servicios alrededor, a escasos metros de colegios, supermercados, farmacias,  bien comunicada por la red de transportes del municipio. Además, te ofrecemos asesoramiento financiero gratuito con Kìron y la posibilidad de financiar hasta el 100% del valor del inmueble. ¡No pierdas la oportunidad de visitar este piso y hacer de él tu nuevo hogar! No dude en llamarnos para concertar su cita para visitar el inmueble en la que además recibirá el asesoramiento gratuito de nuestro departamento financiero KÌRON. FINANCIACION 100%.",False,good,False,False,2750.0,False,False,False,False,[],False,False,220000.0,€,flat,"La Serna, Fuenlabrada",Piso,,,,,,,,,
108094971,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/15/4e/1333658437.webp,2,6,198500.0,flat,sale,112.0,True,4,2,calle Hilados,Madrid,Torrejón de Ardoz,Sureste,es,40.4433289,-3.4612441,False,https://www.idealista.com/inmueble/108094971/,"¡Oportunidad única para INVERSORES en la codiciada Zona PARQUE CATALUÑA, en Torrejón de Ardoz! Este amplio piso de 112 metros cuadrados construidos ofrece un gran potencial. Con 4 DORMITORIOS y 2 BAÑOS completos, este inmueble es ideal para aquellos que buscan una inversión sólida en una ubicación privilegiada. Aunque actualmente está ocupado, su buena distribución y el estado general del piso lo convierten en un proyecto atractivo para transformar en un hogar acogedor o en una rentable propiedad de alquiler. Situado en la sexta planta de un edificio con ascensor, el piso cuenta con amplias estancias que permiten aprovechar al máximo cada rincón. La cercanía a parques, comercios y servicios hace que esta propiedad sea aún más deseable. No dejes pasar la oportunidad de adquirir este inmueble en una de las zonas más solicitadas de la ciudad. ¡Contáctanos para más información y descubre todo lo que este piso tiene para ofrecer!",False,good,False,True,1772.0,False,False,False,False,[],False,False,198500.0,€,flat,"Sureste, Torrejón de Ardoz",Piso en calle Hilados,,,,,,,,,
108746224,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d3/a8/ce/1355367601.webp,5,1,266099.0,flat,sale,93.0,True,3,2,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,40.4728171,-3.371193,False,https://www.idealista.com/inmueble/108746224/,"Descubre esta fantástica vivienda de 3 dormitorios y 2 baños en una de las zonas mejor comunicadas de Alcalá de Henares, Calle San Vidal, dentro de una urbanización privada con portero, jardines y seguridad.  CARECE DE REPORTAJE FOTOGRAFICO POR QUE SE ESTA RECOGIENDO TODA LA VIVIENDA ACTUALMENTE Distribución y características: •Superficie construida aproximada: 100 m² •Salón comedor muy amplio, con más de 22 m², ideal para reuniones familiares o dividir en dos ambientes (salón y comedor) •3 habitaciones exteriores, incluyendo dormitorio principal con baño en suite •2 baños completos, uno con bañera y otro con plato de ducha •Cocina independiente de buen tamaño con zona de despensa •Calefacción individual por gas natural •Carpintería exterior con mosquiteras •Vídeo portero instalado •Vistas despejadas, muy luminoso y completamente exterior Zonas comunes y entorno: •Urbanización privada con jardines •Portero físico •A escasos minutos de supermercados, colegios, paradas de autobús, centros de salud y todo tipo de servicios Una vivienda con muchísimas posibilidades de actualización, ideal para familias que buscan espacio, buena ubicación y zonas comunes seguras para niños o mascotas.",False,good,False,True,2861.0,False,False,False,False,[],False,False,266099.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,NM-00842,,,,,,,,
108832350,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/fd/a2/1356438162.webp,10,bj,148000.0,flat,sale,68.0,True,3,1,Parque Inlasa,Madrid,Parla,Parque Inlasa,es,40.2366202,-3.777149,False,https://www.idealista.com/inmueble/108832350/,"GREEN HOUSE INMOBILIARIA VENDE EN EXCLUSIVA, vivienda en Parla, planta baja en excelentes condiciones compuesta de entrada, amplio salón independiente gracias al doble acceso de la cocina la cual tiene un patio para poder tender la ropa o almacenar algunas cosas, baño con plato de ducha y tuberías cambiadas (no son las de origen ni las del baño ni las de la cocina) y tres dormitorios. La vivienda tiene suelos de tarima flotante de calidad, calefacción individual de gas natural con radiadores y caldera en pleno funcionamiento.",False,good,False,False,2176.0,False,False,False,False,[],False,False,148000.0,€,flat,"Parque Inlasa, Parla",Piso,,,,,,,,,
108089990,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/04/a7/1333508797.webp,14,bj,169900.0,flat,sale,64.0,True,2,1,Centro,Madrid,Fuenlabrada,Centro,es,40.2792646,-3.7910306,False,https://www.idealista.com/inmueble/108089990/,"Del sur propiedades vende vivienda planta baja de 64 m2 en buen estado y totalmente exterior. Está compuesta por 2 dormitorios, salón, cocina y baño reformado con plato de ducha. Suelos de ceramica, ventanas aluminio, armarios empotrados, calefacción electrica calor azul. Finca con fachada rehabilitada. Próximo a antiguo recinto ferial, renfe y metro fuenlabrada central, colegios y servicios, zonas verdes. Consulte financiación sin compromiso. “del sur propiedades, tu inmobiliaria de confianza”. Del sur propiedades empresa inscrita en rain (registro de agentes inmobiliarios).  los precios ofertados no comprenden los gastos por compraventa: tributos (itp), gastos notariales ni registrales relativos a la compraventa ni la intermediación que satisface el comprador.",False,good,False,False,2655.0,False,False,False,False,[],False,False,169900.0,€,flat,"Centro, Fuenlabrada",Piso,,,,,,,,,
107547489,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/eb/c6/1315939272.webp,10,2,132000.0,flat,sale,60.0,True,2,1,calle Serafín Gómez Bonilla s/n,Madrid,Collado Villalba,Carlos Ruiz,es,40.6283029,-4.0115549,True,https://www.idealista.com/inmueble/107547489/,"Piso en Collado Villalba, dispone de tres dormitorios, salón cocina, baño, terraza, armarios empotrados, ventanas de aluminio, agua caliente d por gas. La posibilidad de financiación hasta el 100%.",False,good,False,False,2200.0,False,False,False,False,[],False,False,132000.0,€,flat,"Carlos Ruiz, Collado Villalba",Piso en calle Serafín Gómez Bonilla s/n,Cid V149,,,,,,,,
108582043,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/dd/b8/1349084428.webp,7,bj,235000.0,flat,sale,33.0,True,1,1,Barrio Pilar,Madrid,Madrid,Fuencarral,es,40.4777195,-3.7107246,False,https://www.idealista.com/inmueble/108582043/,"Piso en La Vaguada, con 33 m² construidos, 1 dormitorios, 1 baños, buen estado, exterior, planta Baja, cocina amueblada, portero, zonas verdes, calefacción individual, combustible eléctrico, agua caliente individual, energía agua eléctrica, acepta animales, suelo de gres. ¡Oportunidad Exclusiva en La Vaguada! Descubra este encantador hogar, una verdadera joya ubicada a escasos metros del Parque de la Vaguada. Imagine vivir en una plaza serena y apacible, un oasis de tranquilidad que le aísla del bullicio de la ciudad, pero con la inmejorable ventaja de tener el emblemático centro comercial La Vaguada a su alcance. La excelente conexión no podría ser mejor: la parada de metro Barrio del Pilar se encuentra a muy poca distancia, facilitando sus desplazamientos por toda Madrid. Esta vivienda ha sido diseñada para ofrecer la máxima comodidad y funcionalidad. Dispone de un amplio dormitorio principal que invita al descanso, un luminoso salón integrado con una cocina, y un espacioso cuarto de baño. Además, se entrega con todos los electrodomésticos incluidos, lista para que pueda instalarse. La vivienda es de entrega inmediata. Facilidades Exclusivas para el Comprador En nuestra agencia, queremos que su camino hacia este nuevo hogar sea lo más sencillo y seguro posible. Por ello, le ofrecemos: Gestión de financiación sin coste adicional: Nos encargaremos de tramitar su hipoteca, asegurándole las mejores condiciones sin que ello suponga un gasto extra para usted. Proceso de compra simplificado y seguro: Le acompañaremos en cada paso, garantizando una transacción transparente y sin preocupaciones. ¡No deje pasar esta oportunidad única de adquirir un hogar en una de las zonas más demandadas y mejor comunicadas de Madrid! Su nuevo comienzo le espera.",True,good,False,False,7121.0,False,False,False,False,[],False,False,235000.0,€,flat,"Pilar, Madrid",Piso,174-10092,Pilar,,,,,,,
107322456,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/d9/35/1359770225.webp,7,,165000.0,chalet,sale,148.0,,3,3,Fresnedillas de la Oliva,Madrid,Fresnedillas de la Oliva,,es,40.4847102,-4.1698696,False,https://www.idealista.com/inmueble/107322456/,"Inmueble Sin Posesión. No Se Puede Visitar.  Vivienda unifamiliar adosada de dos planta y 148 m2 distribuidos en 3 dormitorios dobles, dos baños y un aseo, cocina independiente, salón-comedor con salida directa a patio trasero y zonas comunes. También dispone de garaje propio. La vivienda se encuentra en una urbanización privada que cuenta con piscina y zonas ajardinadas. Próxima a la Plaza del Jardín y de la Iglesia, cuenta con todos los servicios en la zona. En los alrededores podemos encontrar centros educativos, la Biblioteca Municipal, centro cultural, oficina de turismo, centro de salud, múltiples zonas de ocio y restauración.  Infórmese sin compromiso.",False,good,False,,1115.0,False,False,False,False,[],False,False,165000.0,€,chalet,Fresnedillas de la Oliva,Chalet adosado,02815,,True,True,terracedHouse,,,,
107447216,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/e1/06/1328399318.webp,1,bj,137000.0,flat,sale,150.0,True,4,1,El Olivar - La Magdalena,Madrid,Colmenar Viejo,El Olivar - La Magdalena,es,40.6574006,-3.7679069,False,https://www.idealista.com/inmueble/107447216/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULO ESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITAS IDEAL PARA INVERSORES Amplia vivienda tipo dúplex de 150 m², según Catastro e incluyendo elementos comunes. La vivienda está distribuida en dos plantas y cuenta con salón-comedor, cuatro dormitorios, cocina, un cuarto de baño y terraza. Cuenta con el uso exclusivo del patio de luces del bloque, al que se accede desde la planta baja de la vivienda. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Muy bien comunicado por carretera (M-607) y transporte público. A 5 minutos en coche de la estación Cercanías-Renfe de 'Colmenar Viejo'. Próximo a todo tipo de servicios e infraestructuras como centros educativos (Colegio Público Tirso de Molina), comercios, supermercados, farmacias, zonas verdes.. . SIN COMISIÓN La localización del activo es aproximada.",False,good,False,False,913.0,False,False,False,False,[],False,False,137000.0,€,flat,"El Olivar - La Magdalena, Colmenar Viejo",Piso,TRCOK25083,,,,,159000.0,22000.0,14.0,
103797317,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/54/01/1200429097.webp,1,1,52400.0,flat,sale,27.0,True,1,1,calle Emilio Raboso,Madrid,Madrid,Puente de Vallecas,es,40.393459,-3.6701059,False,https://www.idealista.com/inmueble/103797317/,"Piso en PUENTE VALLECAS, con 27 m² construidos, 1 dormitorios, 1 baños, para reformar, planta 1, acepta animales. Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de segunda mano en venta en Madrid. Se trata de un piso de 28 m² distribuidos en varias estancias. La vivienda se sitúa en el núcleo de la población, teniendo buenos accesos por carretera. También ofrece conexión por transporte público al estar cerca de varias paradas de autobús y de la estación de tren. En la población podemos encontrar servicios como supermercados, restaurantes, instalaciones deportivas, centros educativos, oficinas bancarias, otros negocios comerciales, etc.",False,renew,False,False,1941.0,False,False,False,False,[],False,False,52400.0,€,flat,"San Diego, Madrid",Piso en calle Emilio Raboso,8238-CH-91044-0001,San Diego,,,,,,,
