propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107686424,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7d/b9/ac/1320138247.webp,DPS-S-11563,11,4,2400000.0,flat,sale,306.0,True,4,4,paseo de la Castellana,Madrid,Madrid,Chamartín,es,Nueva España,40.462567,-3.6887247,False,https://www.idealista.com/inmueble/107686424/,"Situado en una finca exclusiva de pocos vecinos, este inmueble ofrece una combinación perfecta de elegancia y confort. Con una orientación suroeste, disfrutarás de una luminosidad inigualable en cada rincón. Al entrar, te recibirá un amplio hall que da paso a una sala de estar/biblioteca con chimenea francesa, ideal para momentos de relax. El comedor, de generosas dimensiones, y el salón con doble orientación aseguran espacios versátiles para cualquier ocasión. Los cuatro dormitorios, dos de ellos en suite, garantizan privacidad y comodidad. La cocina cuenta con un gran ventanal que da al patio abierto, llenando el espacio de luz natural. Además, dispone de un aseo de cortesía y un ascensor privado para mayor seguridad. Completa este magnífico piso con dos plazas de garaje. ¡No pierdas la oportunidad de vivir en este oasis urbano! Contacta con nosotros para ampliar información de esta vivienda.",False,good,False,False,7843.0,True,False,False,True,[],False,False,2400000.0,€,flat,"Nueva España, Madrid",Piso en paseo de la Castellana,Top,,,,,,
35611636,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/2e/a8/939970618.webp,875,30,3,490000.0,flat,sale,76.0,True,1,1,"costanilla de los Ángeles, 15",Madrid,Madrid,Centro,es,Palacio,40.4196471,-3.7081106,True,https://www.idealista.com/inmueble/35611636/,"EXCELENTE INMUEBLE TANTO PARA USO PROPIO COMO PARA INVERSORES, CON UN ALQUILER DE TEMPORADA QUE PROPORCIONA UNA RENTABILIDAD BRUTA ANUAL DEL 4% Piso de 76 metros cuadrados construidos distribuidos en gran salón al que se accede desde el hall de entrada a través de una elegante puerta de cristal, con balcón con vistas a la calle Preciados. En este hall hay también un espacio de comedor y la cocina a la derecha totalmente equipada y separada por unas puertas de cristal que permiten elegir el grado de integración o independencia de la misma. Un amplio dormitorio con balcón, un vestidor y un gran baño. Con cédula de habitabilidad para alquiler turístico y declaración responsable en la Consejería de Turismo de la Comunidad de Madrid Situado en la esquina de la Plaza de Santo Domingo, y la Calle Preciados, está a poca distancia tanto de la Plaza del Callao como de la Plaza de la Ópera. Hay numerosos garajes en los alrededores.",True,good,False,True,6447.0,True,False,False,False,[],False,False,490000.0,€,flat,"Palacio, Madrid","Piso en costanilla de los Ángeles, 15",Top,,,,,,
107229937,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/77/d8/1306829309.webp,CH-426363-A,36,6,1475000.0,flat,sale,230.0,True,4,3,Barrio Cuatro Caminos,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4456706,-3.6953075,False,https://www.idealista.com/inmueble/107229937/,"ÚNICA Inmobiliaria pone en venta este amplio piso de 230m2 en 6ª planta exterior orientado al sur, junto al centro comercial Corte Ingles de Castellana (Metro Nuevos Ministerios junto al portal). Con PLAZA DE GARAJE en la misma finca, y TRASTERO.  Este espacioso inmueble es una oportunidad única para aquellos que buscan personalizar su hogar a su gusto. Con un diseño que permite múltiples posibilidades de distribución, podrás crear el espacio de tus sueños, adaptándolo a tus necesidades y estilo de vida. La propiedad cuenta con una distribución que incluye varias habitaciones, un amplio salón y zonas que pueden transformarse en un acogedor comedor o un estudio, todo ello esperando tu toque personal. Además, la finca incluye una plaza de garaje, lo que es un gran valor añadido en una ciudad como Madrid, donde el aparcamiento puede ser un desafío. Y para mayor comodidad y seguridad, el edificio cuenta con portero 24 horas, brindándote tranquilidad y asistencia en todo momento. La ubicación es inmejorable: estarás rodeado de una variedad de servicios, como tiendas, restaurantes y transporte público, lo que te permitirá disfrutar de la vida urbana sin renunciar a la comodidad de tu hogar. No dejes pasar esta oportunidad de adquirir un piso con tanto potencial en una de las calles más deseadas de Madrid. ¡Contáctanos para más información y ven a visitarlo! Tu nuevo hogar te está esperando. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,renew,False,True,6413.0,False,False,False,False,[],False,False,1475000.0,€,flat,"Cuatro Caminos, Madrid",Piso,Top,True,True,,,,
102854629,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c1/13/0b/1177996545.webp,"SAN VICENTE FERRER 74, 4-B",15,4,250000.0,penthouse,sale,35.0,True,1,1,"San Vicente Ferrer, 74",Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4262611,-3.7079943,True,https://www.idealista.com/inmueble/102854629/,"Soñar Contigo presenta, en exclusiva, esta singular buhardilla situada en la calle San Vicente Ferrer, un rincón fascinante entre los dinámicos barrios de Malasaña y Sol, conocidos por su vibrante vida cultural y opciones de entretenimiento. La vivienda ha sido objeto de una renovación para ampliar espacios y aprovechar al máximo los mismos, asi como la luz natural, consiguiendo un espacio acogedor y contemporáneo en una de las zonas más deseadas de la ciudad. Al adentrarse, se aprecia la sensación de amplitud gracias a los techos mas elevados de lo que cabría esperar en una buhardilla y a la distribución inteligente del espacio. La cocina americana, totalmente equipada, se presenta como el núcleo central de la buhardilla, ofreciendo un entorno versátil que permite aprovecharlo no solo como cocina, sino como comedor o zona de estudio, gracias a la luz natural que baña la estancia. El dormitorio independiente, con su confortable disposición y luz natural, dispone de cama doble, armario completo y Smart Tv, creando un ambiente sereno y apacible para un descanso reparador tras un día animado en la bulliciosa ciudad, o para el ocio mas relajado. Además de sus atractivos interiores, la ubicación de esta buhardilla es incomparable. Rodeada de una variada gama de opciones gastronómicas, tiendas de moda y puntos de interés cultural, los residentes podrán sumergirse plenamente en el espíritu vibrante de la vida en el centro. Esta propiedad se presenta como una oportunidad interesante para inversores, con una rentabilidad bruta anual estimada por encima del 6%, lo que la convierte en una adquisición atractiva para aquellos que buscan una inversión sólida y rentable en el competitivo mercado inmobiliario de la zona. Para obtener más información y para programar una visita personal, no dude en contactarnos en cualquier momento. Estamos encantados de ayudarle en este emocionante viaje de descubrimiento de su nuevo hogar o inversión.",False,good,False,False,7143.0,True,False,False,False,[],False,False,250000.0,€,flat,"Malasaña-Universidad, Madrid","Ático en San Vicente Ferrer, 74",Top,,,penthouse,,,
106476894,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/a2/fa/1319078302.webp,65803,104,4,5500000.0,flat,sale,273.0,True,4,5,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4311843,-3.6846077,False,https://www.idealista.com/inmueble/106476894/,"Álvora Capital Properties, consultora inmobiliaria de alta calidad en la gestión de activos prime en Madrid, vende este imponente proyecto de obra nueva de un edificio emblemático de Madrid, que destaca por su bonita y representativa fachada de piedra y sus impresionantes zonas comunes.  El proyecto cuenta con vigilancia 24h y servicio concierge de lujo, para ayudarte en todo aquello que necesites, creando experiencias a medida. La belleza y la funcionalidad viven de la mano en este maravilloso proyecto. Amplitud y perspectiva han sido dos elementos esenciales a al hora de planificar las residencias, creando espacios diáfanos y luminosos. Unas configuraciones que crean conjuntos que exceden todas las expectativas.  Esta impresionante vivienda con magnífica localización, en planta alta, totalmente exterior, muy buenas vistas despejadas y mucha luz natural, distribuida en muy amplio vestíbulo de entrada, salón de 80 metros en 3 ambientes, comedor de invitados independiente, 4 dormitorios en suite con baño incorporado y vestidores en cada uno de ellos, elegantes y espaciosos, cocina de con 3 balcones interiores y lavadero independiente, dormitorio de servicio con baño incorporado, aseo de invitados y sala de estar en zona contigua a los dormitorios, acabados del más alto nivel, cuidando todos los detalles en su decoración y luminotecnia, techos altos, domótica, servicio de calefacción por aerotérmia y aire acondicionado. Con unos acabados del más alto nivel se ha cuidado cada detalle, lo que hace de este proyecto un lugar ideal para vivir.  Edificio recién rehabilitado con portal señorial y elegante fachada, dispone de dos plazas de garaje robotizadas en el mismo edificio y trastero, vigilancia las 24 horas y conserje, zonas comunes con gimnasio y spa, que consta de piscina interior cubierta, poza de agua fría y caliente, sauna, gimnasio y sala de tratamientos.  Inmejorable edificio y localización, lo que hace un lugar ideal para fijar su residencia.",False,good,False,True,20147.0,True,False,False,False,[],False,False,5500000.0,€,flat,"Castellana, Madrid",Piso,Top,True,True,,,,
108380990,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/15/bd/1342408207.webp,W-02R97M,29,,1250000.0,chalet,sale,480.0,,7,5,Ciudalcampo,Madrid,Ciudalcampo,,es,,40.6156144,-3.6128458,False,https://www.idealista.com/inmueble/108380990/,"Gran chalet con vistas en la exclusiva urbanización de Ciudalcampo Engel & Völkers les presenta esta gran vivienda en la exclusiva urbanización de Ciudalcampo, una de las zonas residenciales más prestigiosas y seguras de Madrid. Con un diseño elegante y atemporal, esta propiedad destaca por sus impresionantes vistas abiertas en altura, tanto desde el interior como desde su cuidado jardín privado, que cuenta con una magnífica piscina, una amplia pradera y un acogedor cenador. Todo ello orientado al sur, lo que garantiza una luminosidad inmejorable durante todo el día. La vivienda ofrece una distribución muy cómoda y funcional, diseñada para disfrutar al máximo de cada espacio. En la planta principal, el hall de entrada da paso a un amplio salón comedor con chimenea, ideal para crear ambientes cálidos y acogedores. La cocina office, de gran tamaño, conecta directamente con el jardín, al igual que el comedor independiente, perfecto para celebraciones y momentos especiales. En esta misma planta se encuentran también un aseo de cortesía, un despacho y un dormitorio en suite con baño completo, ideal para invitados o personas con movilidad reducida. En la planta superior se encuentran cinco amplios dormitorios y tres cuartos de baño. Destaca especialmente el dormitorio principal, que incluye baño completo en suite y una confortable zona de estar, creando un espacio privado de descanso y desconexión. La planta semisótano es un espacio versátil y lleno de posibilidades. Dispone de un segundo gran salón con barra de bar, ideal como sala de juegos, zona de ocio o cine en casa. Cuenta también con entrada independiente acristalada desde la zona de aparcamiento, cuarto de lavado y plancha, y una encantadora bodega. Esta propiedad es, sin duda, una oportunidad única para quienes desean vivir en un entorno natural privilegiado, con total privacidad, tranquilidad y todos los servicios de una urbanización de alto nivel a pocos minutos del centro de Madrid. Ciudalcampo ofrece una vida en plena naturaleza sin sacrificar la seguridad y los servicios de la ciudad. Situada en el excepcional Parque Regional de la Cuenca Alta del Manzanares, situada en los municipios de San Sebastián de los Reyes y Colmenar Viejo destaca por su entorno privilegiado con vistas impresionantes a la sierra norte de Madrid. Con un cómodo acceso en el Km 28 de la N-1 y cercanía al aeropuerto de Madrid Barajas, IFEMA y a un parque empresarial con múltiples empresas multinacionales, Ciudalcampo combina la comodidad de la vida urbana con la tranquilidad de la naturaleza. Las propiedades independientes en parcelas con una media de 3.200 m2 ofrecen total intimidad, mientras que las urbanizaciones de pisos, chalets adosados e independientes cuentan con amplias zonas verdes y servicios comunes. Destacan el prestigioso Colegio Internacional SEK y el Club Deportivo RACE, que ofrece una amplia gama de instalaciones deportivas y sociales. Además, los residentes pueden disfrutar de 6.5 km de circuito físico para la práctica de deportes al aire libre y 41 km de viales con tráfico limitado, ideales para paseos en plena naturaleza. La seguridad es primordial en Ciudalcampo, con un sistema de cámaras, vallado perimetral y servicio de seguridad 24 horas. Además, el servicio regular de autobuses que comunica con Plaza Castilla y Alcobendas/San Sebastián de los Reyes, junto con una línea de minibuses internos, garantizan una excelente movilidad dentro y fuera de la urbanización. En resumen, Ciudalcampo es una zona residencial en auge, similar a la Moraleja, donde se demanda cada vez más privacidad y seguridad, pero sin renunciar a los servicios y comodidades de la ciudad. Su equilibrio entre desarrollo urbanístico y conservación del medio natural la convierte en una opción muy atractiva para quienes buscan una vida tranquila en plena naturaleza.",False,renew,False,,2604.0,False,False,False,False,[],False,False,1250000.0,€,chalet,Ciudalcampo,Casa independiente,Top,True,True,independantHouse,,,
107868157,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/98/92/1326725488.webp,,86,,1375000.0,chalet,sale,390.0,,6,6,Barrio Peñagrande,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4790067,-3.7360372,False,https://www.idealista.com/inmueble/107868157/,"MAGNÍFICO CHALET ADOSADO DE ESQUINA CON MÁS DE 390 m², GRAN JARDÍN Y GARAJE, PUERTA HIERRO  Te presentamos esta espectacular vivienda, ideal para familias que buscan espacio, luz natural y tranquilidad, en una de las zonas residenciales más demandadas del norte de Madrid. Rodeada de zonas verdes, parques, prestigiosos colegios internacionales, centros deportivos, supermercados, y con excelente conexión mediante transporte público y acceso rápido a principales vías de comunicación como la M-30, M-40 y A-1.  Desde la entrada accedemos a un amplio y elegante vestíbulo que marca el carácter señorial de la vivienda. A continuación, encontramos un espacioso salón-comedor con chimenea, muy luminoso gracias a su orientación y con salida directa a una agradable terraza y al jardín privado. La cocina, en forma de L, es luminosa y práctica, con dos accesos que facilitan el día a día. Esta planta también cuenta con un dormitorio (actualmente habilitado como sala de estar) con armarios empotrados, ideal como despacho o cuarto de invitados, y un aseo de cortesía. La zona de descanso cuenta con cinco dormitorios: dos de ellos en suite, con baños completos y grandes ventanales, y tres dormitorios adicionales que comparten dos baños completos. Todas las habitaciones son exteriores y con armarios empotrados. Un espacio que ocupa toda la planta superior, con techos abuhardillados y múltiples usos posibles. Actualmente utilizado como biblioteca, dispone también de un baño completo, por lo que puede transformarse en zona de juegos, salón adicional, gimnasio o incluso nuevos dormitorios si se desea. La planta inferior ofrece aún más espacio habitable: un segundo salón ideal para reuniones familiares, un dormitorio adicional, un baño completo, una gran despensa, sala de lavado y garaje cerrado con capacidad para dos vehículos. La vivienda cuenta con un jardín consolidado que rodea la casa por tres de sus lados: la entrada principal, un lateral y una gran zona posterior, con espacio suficiente para instalar una piscina privada o crear un espectacular espacio chill-out. Ubicada en una de las zonas más tranquilas, seguras y exclusivas del norte de Madrid, perfecta para quienes buscan calidad de vida, entorno familiar y una excelente oferta de servicios y colegios a pocos minutos del centro. La zona combina la tranquilidad residencial con una excelente conectividad y cercanía a todo tipo de servicios. Ideal tanto como vivienda habitual como inversión a largo plazo. ^**^Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual^**^ ***NO COBRAMOS COMISIÓN AL COMPRADOR.",True,good,False,,3526.0,True,True,False,False,[],False,False,1375000.0,€,chalet,"Peñagrande, Madrid",Chalet pareado,Top,True,True,semidetachedHouse,,,
108222038,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/6c/e5/1337559699.webp,W-0301UP,17,bj,380000.0,flat,sale,160.0,True,2,2,Barrio Canillejas,Madrid,Madrid,San Blas,es,Canillejas,40.4421479,-3.6100846,False,https://www.idealista.com/inmueble/108222038/,"Apartamento en Canillejas Engel & Völkers comercializa esta increíble oportunidad de adquirir dos apartamentos completamente reformados, con una superficie total de 160m², ubicados en pleno corazón del barrio de Canillejas, en el distrito de San Blas-Canillejas, Madrid. Los apartamentos tienen entrada independiente han sido renovados con un diseño moderno y funcional. El primero tiene dos habitaciones, un baño completo y cocina totalmente equipada,   El segundo tiene dos habitaciones, una con baño en suite y un aseo además cuenta con zona de lavado, lo que lo convierte en una opción perfecta para familias o para compartir. Gran posibilidad de inversión. Se encuentra estratégicamente ubicado en una de las principales zonas de expansión/lujo/prime de Madrid capital. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc. ), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marqués Suanzes, El Capricho, etc. ), clubes deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc. ), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc. ), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc. ), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Alley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAÍS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc. ), hoteles (Melia, Hilton, Barceló, Confortel, IBIS) y recintos feriales-IFEMA.",False,good,False,False,2375.0,False,False,False,False,[],False,False,380000.0,€,flat,"Canillejas, Madrid",Piso,Top,,,,,,
108320370,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/fa/cc/1344364464.webp,W-030A8U,68,,2800000.0,chalet,sale,855.0,,6,8,Ciudalcampo,Madrid,Ciudalcampo,,es,,40.6287181,-3.5924146,False,https://www.idealista.com/inmueble/108320370/,"Maravilloso chalet al lado del campo de golf en Ciudalcampo Engel & Völkers les presenta este maravilloso chalet totalmente reformado con mucho gusto en el 2023. La vivienda tiene una buena ubicación al lado del campo de golf y acceso cómodo desde la entrada de la urbanización Ciudalcampo. La cuidadosa reforma de este chalet incluye una instalación de sistema de aerotermia (frio/calor) por suelo radiante y una instalación fotovoltaica para dar apoyo a un consumo energético eficiente. Construida sobre una parcela llana de 3622 m2, esta vivienda consta de dos plantas distribuidas de la siguiente manera: En la primera planta nos da la bienvenida una entrada abierta hacía un gran salón compuesto por diferentes ambientes con salida a uno de los varios porches que ofrece la casa. Seguimos hacía la cocina abierta de tamaño importante, el comedor, la lavandería con salida a una terraza al lado, un despacho, una sala TV/multiuso, un aseo de cortesía y una habitación de servicio con su baño. En esta primera planta también encontramos el dormitorio principal con su baño en suite, amplio vestidor y acceso directo al jardín. Subiendo por una escalera de madera estilo nórdico, llegamos a la segunda planta donde se encuentran cuatro dormitorios grandes, todos con sus respectivos baños en suite y vestidores, un salón, un aseo de cortesía y dos terrazas con fantásticas vistas al campo de golf, la sierra y el jardín. El cuarto de instalaciones y trastero están ubicados en un semisótano. Tiene un garaje grande para dos coches y trastero. El amplio y frondoso jardín tiene piscina, zona de barbacoa y varias zonas para disfrutar del mejor tiempo a lo largo del año. La urbanización de Ciudalcampo es una de las mejores zonas residenciales de Madrid. Excepcional emplazamiento dentro del Parque Regional de la Cuenca Alta del Manzanares, ubicada en los municipios de San Sebastián de los Reyes y Colmenar Viejo. Entorno privilegiado y con impresionantes vistas a la sierra norte de Madrid. Espacio que mantiene el equilibrio entre el desarrollo urbanístico y la conservación del medio natural. Cómodo y rápido acceso en el Km 28 de la N-1. Próxima al aeropuerto de Madrid Barajas, IFEMA y a parque empresarial con múltiples empresas multinacionales, y a tan solo 10 minutos de uno de los mejores hospitales de la zona Norte, el Hospital Infanta Sofía.",False,good,False,,3275.0,False,False,False,False,[],False,False,2800000.0,€,chalet,Ciudalcampo,Casa independiente,Top,True,True,independantHouse,,,
107125363,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/d0/48/1308642362.webp,SG197745,1,1,4950000.0,flat,sale,560.0,True,8,4,calle de Fernández de la Hoz,Madrid,Madrid,Chamberí,es,Almagro,40.4375177,-3.6939499,False,https://www.idealista.com/inmueble/107125363/,"PISO CON POSIBILIDAD DE SEGREGAR, CONTACTAR PARA MÁS INFORMACIÓN. El barrio de Almagro es conocido por ser uno de los más exclusivos de Madrid. Se caracteriza por sus calles tranquilas y arboladas, sus edificios señoriales y su ambiente residencial. En la zona se encuentran numerosos restaurantes de alta cocina, tiendas de lujo y galerías de arte, lo que lo convierte en un lugar ideal para aquellos que buscan disfrutar de la vida cosmopolita de la ciudad.  En cuanto a servicios educativos, el Colegio Santa María del Pilar se encuentra a menos de 10 kilómetros de distancia, proporcionando una excelente opción para la educación de los más pequeños. Además, el centro comercial ABC Serrano, con sus exclusivas tiendas y restaurantes, está a poca distancia, ofreciendo una amplia gama de opciones de ocio y compras.  En cuanto a transporte público, las líneas de metro más cercanas son las de Rubén Darío y Gregorio Marañón. Además, la estación de cercanías de Recoletos también se encuentra en las proximidades, lo que facilita los desplazamientos dentro y fuera de la ciudad.  Para aquellos que prefieren el transporte en autobús, la parada más cercana a la geolocalización de este inmueble es la de la calle de José Abascal, que cuenta con varias líneas que conectan con diferentes puntos de la ciudad.  Si estás interesado en más información sobre esta exclusiva propiedad, no dudes en contactarnos y facilitarnos la referencia 197745. En GILMAR llevamos desde 1983 ayudando a nuestros clientes a encontrar la casa de sus sueños. Nuestro equipo en Chamberí - Argüelles estará encantado de atenderte en nuestra oficina de la calle Carranza, 20. También puedes llamarnos al o escribirnos a. ¡Te esperamos!",False,good,False,True,8839.0,False,False,False,False,[],False,False,4950000.0,€,flat,"Almagro, Madrid",Piso en calle de Fernández de la Hoz,Top,,,,,,
