propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108464195,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/ab/ff/1345700756.webp,2,2,1200000.0,flat,sale,122.0,True,3,2,calle de Ventura Rodríguez,Madrid,Madrid,Moncloa,es,Argüelles,40.4240879,-3.7137127,False,https://www.idealista.com/inmueble/108464195/,"FENIX REAL ESTATE presenta esta preciosa vivienda completamente exterior en el centro de la capital Madrileña. Actualmente, en proceso de reforma integral con calidades premium – Entrega amueblada y completamente equipada con mobiliario de diseño y acabados de lujo, lista para entrar a vivir. (Se envían fotos por privado). Ubicada en una segunda planta de una finca representativa y muy bien conservada, cuenta con tres dormitorios, dos baños completos (uno de ellos en suite en el dormitorio principal), un amplio y luminoso salón-comedor con acceso a terraza y una cocina independiente acristalada completamente equipada. El edificio dispone de dos ascensores, servicio de limpieza, y cuarto trastero de uso compartido. Precio actual: 1.200. 000 € (Sin reformar, una vez reformado, el precio se incrementará). ⸻ Distribución interior de la vivienda: 3 dormitorios | 2 baños completos (Uno de ellos en suite con el dormitorio principal) | Salón-comedor con terraza | Cocina independiente acristalada completamente equipada. ⸻ Ubicación y entorno: Este piso de alto standing combina el encanto de un edificio clásico con una reforma integral de diseño y calidades premium. A escasos minutos caminando de Gran Vía, Plaza de España, Malasaña, Conde Duque y el centro histórico, con Sol y el Palacio Real a escasa distancia, disfrutarás de un entorno vibrante, cultural y lleno de vida. La zona cuenta con todos los servicios: comercios, supermercados, colegios, centros deportivos y una amplia oferta de ocio y restauración. Excelentes comunicaciones: varias líneas de autobús y metro (San Bernardo, Noviciado y Ventura Rodríguez) a menos de 5 minutos a pie, y acceso rápido a la M-30). Una oportunidad única para vivir con estilo y comodidad en pleno corazón de Madrid. ⸻ Finca: -Buen estado, bien conservada y cuenta con ascensor. ⸻ Al corriente de pagos con la comunidad, con tributos referentes a la vivienda, completamente libre de cargas, ITE favorable. Una propiedad exclusiva para quienes buscan calidad, amplitud y entorno privilegiado. No dudes en contactar con nosotros si necesitas más información o quieres programar una visita.",False,renew,False,True,9836.0,False,False,False,False,[],False,False,1200000.0,€,flat,"Argüelles, Madrid",Piso en calle de Ventura Rodríguez,,,,,,,,
108746224,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d3/a8/ce/1355367601.webp,5,1,266099.0,flat,sale,93.0,True,3,2,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,,40.4728171,-3.371193,False,https://www.idealista.com/inmueble/108746224/,"Descubre esta fantástica vivienda de 3 dormitorios y 2 baños en una de las zonas mejor comunicadas de Alcalá de Henares, Calle San Vidal, dentro de una urbanización privada con portero, jardines y seguridad.  CARECE DE REPORTAJE FOTOGRAFICO POR QUE SE ESTA RECOGIENDO TODA LA VIVIENDA ACTUALMENTE Distribución y características: •Superficie construida aproximada: 100 m² •Salón comedor muy amplio, con más de 22 m², ideal para reuniones familiares o dividir en dos ambientes (salón y comedor) •3 habitaciones exteriores, incluyendo dormitorio principal con baño en suite •2 baños completos, uno con bañera y otro con plato de ducha •Cocina independiente de buen tamaño con zona de despensa •Calefacción individual por gas natural •Carpintería exterior con mosquiteras •Vídeo portero instalado •Vistas despejadas, muy luminoso y completamente exterior Zonas comunes y entorno: •Urbanización privada con jardines •Portero físico •A escasos minutos de supermercados, colegios, paradas de autobús, centros de salud y todo tipo de servicios Una vivienda con muchísimas posibilidades de actualización, ideal para familias que buscan espacio, buena ubicación y zonas comunes seguras para niños o mascotas.",False,good,False,True,2861.0,False,False,False,False,[],False,False,266099.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,NM-00842,,,,,,,
108894302,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/a5/2d/1358186864.webp,4,1,1350000.0,flat,sale,200.0,True,5,2,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4206712,-3.7038195,False,https://www.idealista.com/inmueble/108894302/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este amplio piso exterior de casi 200 metros cuadrados te ofrece un sinfín de posibilidades. Con 5 luminosos dormitorios y 2 baños, es el espacio ideal para familias o para quienes buscan comodidad y amplitud. Los techos muy altos añaden un toque de elegancia y hacen que cada rincón se sienta aún más espacioso. Ubicado a un paso de la Gran Vía, la calle Fuencarral y Callao, disfrutarás de una oferta inigualable de ocio y gastronomía. La cocina equipada te permitirá preparar deliciosas comidas mientras compartes momentos inolvidables con tus seres queridos. Además, cuenta con armarios empotrados que optimizan el espacio y mantienen todo en orden. Este piso, de segunda mano y a reformar, te brinda la oportunidad de personalizarlo a tu gusto. La calefacción por bomba de frío/calor y el acceso a un ascensor añaden confort a tu día a día. No dejes pasar esta oportunidad única de vivir en una de las zonas más vibrantes de la ciudad. ¡Ven a visitarlo y déjate enamorar!",False,renew,False,True,6750.0,False,False,False,False,[],False,False,1350000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,,,,,,,,
102888554,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/5b/55/1314373047.webp,2,,132000.0,flat,sale,57.0,,2,1,calle del Doctor Tolosa Latour,Madrid,Madrid,Usera,es,12 de Octubre-Orcasur,40.372447,-3.702778,False,https://www.idealista.com/inmueble/102888554/,"Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.Piso de segunda mano en venta en la ciudad de Madrid. Tiene una superficie de 57 m² distribuidos en salón-comedor, cocina, 2 dormitorios y 1 baño. Se localiza en la zona de Orcasur con todos los servicios y buenas comunicaciones, paradas de autobús, tren y metro próximas, buen acceso rodado a las carretera M-40 y A-42 en pocos minutos. La zona dispone de centros médicos, colegios, supermercados, restaurantes, etc. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. - El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) la responsabilidad en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.Si a fecha de venta, la Propiedad hubiese demandado judicialmente la ocupación, podría el adquirente subrogarse en dicha demanda, no pudiendo reclamar importe alguno a la Propiedad como consecuencia de ello, salvo por los honorarios de abogados y procuradores que hasta la fecha de la transmisión se hubiesen devengado que, en cualquier caso, serán por cuenta de éste. Si en la fecha de venta, la Propiedad hubiese interpuesto una denuncia penal, que se encontrase en curso, se comunicará al Juzgado la venta, apartándose la Propiedad del procedimiento como acusación particular. El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,False,2316.0,False,False,False,False,[],False,False,132000.0,€,flat,"12 de Octubre-Orcasur, Madrid",Piso en calle del Doctor Tolosa Latour,CS-19384-0001,,,,,,,
108087168,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/5a/2e/1341567465.webp,40,,220000.0,flat,sale,127.0,True,3,2,San Martín de la Vega,Madrid,San Martín de la Vega,,es,,40.207157,-3.5674937,False,https://www.idealista.com/inmueble/108087168/,"¡PISO TOTALMENTE REFORMADO CON ASCENSOR! Se vende piso con ascensor distribuido en hall con armario empotrado, cocina equipada que cuenta con tendedero, salón amplio tres dormitorios amplios con armarios empotrados y dos baños. También cuenta con plaza de garaje. Calefacción eléctrica. Tres aires acondicionados con bomba de frio y calor. ¡ NO DUDES EN SOLICITAR INFORMACIÓN! ¡ FINANCIACIÓN GRATUITA! ¡ NO COBRAMOS COMISIÓN AL COMPRADOR! [IW].",False,good,False,False,1732.0,False,False,False,False,[],False,False,220000.0,€,flat,San Martín de la Vega,Piso,1822,True,True,,,,,
108857060,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/ed/d0/1357159143.webp,29,,200000.0,chalet,sale,200.0,,5,2,Villa del Prado,Madrid,Villa del Prado,,es,,40.2682333,-4.3425872,False,https://www.idealista.com/inmueble/108857060/,"Encinar del Alberche se vende chalet con 2 plantas en primera salon cocina 3dormitorios y baño, y en sotano 2 dormitorios cocina sala y baño jardin muy cuidado y garage independiente.",False,good,False,,1000.0,False,False,False,False,[],False,False,200000.0,€,chalet,Villa del Prado,Casa independiente,,True,True,independantHouse,,,,
107114129,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/e6/0d/1303405506.webp,7,6,135000.0,flat,sale,111.0,True,3,1,calle Puebla de Sanabria,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3531648,-3.7110393,False,https://www.idealista.com/inmueble/107114129/,"Oportunidad de inversión: inmueble sin posesión. Imposibilidad de visita interior, no se puede financiar la compra de este inmueble. Advertimos que la información contenida puede no estar actualizada, solicita más información sobre el activo sin compromiso.",False,renew,False,False,1216.0,False,False,False,False,[],False,False,135000.0,€,flat,"Villaverde Alto, Madrid",Piso en calle Puebla de Sanabria,MYRE-01246,,,,,,,
108057923,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/f8/f8/1354327232.webp,12,4,220000.0,flat,sale,65.0,False,3,1,"calle de Emilio Martín Encinas, 12",Madrid,Coslada,Coslada Pueblo,es,,40.424686,-3.5647229,True,https://www.idealista.com/inmueble/108057923/,"Piso en planta cuarta consta salón-comedor, 3 habitaciones, cocina, baño. Ubicado cerca de colegios como el Colegio Público Andrés Torrejón y parques como el Colegio Público Andrés Torrejón. Consulte sin compromiso.",False,renew,False,False,3385.0,False,False,False,False,[],False,False,220000.0,€,flat,"Coslada Pueblo, Coslada","Piso en calle de Emilio Martín Encinas, 12",60581600,,,,,,,
108396860,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f5/63/ed/1345941332.webp,15,,306000.0,chalet,sale,159.0,,3,1,Parque Europa - Los Pitufos,Madrid,Pinto,Parque Europa - Los Pitufos,es,,40.2442355,-3.6969826,False,https://www.idealista.com/inmueble/108396860/,"¡Oportunidad en el centro de Pinto! Casa baja con patio y excelente ubicación Se vende acogedora casa baja en plena zona centro de Pinto, ideal para quienes buscan comodidad, espacio exterior y todos los servicios al alcance. La vivienda cuenta con 3 dormitorios luminosos con salón independiente, perfecto para reuniones y descanso. Cocina funcional con buena distribución y amplia para múltiples opciones. Cuarto de baño completo. Amplio patio privado, ideal para disfrutar al aire libre, montar una zona de estar o incluso jardín Dispone de trasteros para mayor almacenaje.  Situada en una calle tranquila pero a un paso de comercios, colegios, transporte público y zonas de ocio. Muy bien comunicada y con todo lo que necesitas a tu alrededor. ¡No pierdas esta oportunidad de vivir en una casa con encanto y espacio exterior en una de las mejores zonas de Pinto!",True,renew,False,,1925.0,False,False,False,False,[],False,False,306000.0,€,chalet,"Parque Europa - Los Pitufos, Pinto",Casa independiente,,,,independantHouse,,,,
108742307,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/20/b5/1357664956.webp,16,3,217700.0,flat,sale,52.0,False,3,1,Barrio Aluche,Madrid,Madrid,Latina,es,Aluche,40.3916028,-3.7460473,False,https://www.idealista.com/inmueble/108742307/,"¡Descubre esta increíble oportunidad! Este piso de 52 m² construidos es ideal para inversores que buscan maximizar su rentabilidad. Con mucha luz natural y una orientación sur-este, este espacio ofrece un ambiente cálido y acogedor. Aunque necesita actualización sobre todo requiere unos muebles de cocina nuevos, pero tiene un gran potencial: puedes crear hasta tres habitaciones o dividirlo en dos unidades independientes, cada una con su propia cocina y baño. Ubicado en una zona consolidada, estarás a solo 5 minutos caminando del Hospital Gómez Ulla y a 2 minutos del hermoso parque forestal del Cerro Almodóvar. Además, el metro se encuentra a solo 5 minutos, facilitando el acceso a toda la ciudad. La posibilidad de crear 2 ambientes independientes con baño y cocina propia podría incrementar los ingresos por alquiler superior al promedio del mercado. Este piso en la tercera planta cuenta con terraza y aire acondicionado, lo que añade comodidad a tu día a día. No dejes pasar esta oportunidad de inversión que te permitirá adaptar el espacio a tus necesidades y disfrutar de un entorno privilegiado. ¡Contáctanos para más información y ven a verlo!",False,good,False,False,4187.0,False,False,False,False,[],False,False,217700.0,€,flat,"Aluche, Madrid",Piso,,,,,,,,
