propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108492026,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/d3/16/1346512955.webp,16,8,229000.0,flat,sale,112.0,False,3,2,Barrio Entrevías,Madrid,Madrid,Puente de Vallecas,es,Entrevías,40.3729876,-3.6585828,False,https://www.idealista.com/inmueble/108492026/,"¡Descubre tu nuevo hogar en este encantador piso en venta! Situado en una zona tranquila, este inmueble ofrece la paz que necesitas sin alejarte de la vida urbana. Con una distribución muy funcional, cuenta con 112 m² construidos que albergan 3 acogedoras habitaciones y 2 baños completos. La amplia terraza es el lugar perfecto para disfrutar de buenas vistas y relajarte al aire libre. Este piso, en buen estado y con armarios empotrados, te permitirá aprovechar al máximo cada rincón. La calefacción a gas natural y la bomba de frío/calor garantizan un ambiente confortable durante todo el año. Además, su ubicación en la planta 8, con ascensor, te ofrece una excelente perspectiva de la ciudad. La cercanía del transporte público facilita el acceso a cualquier punto de interés, haciendo de este piso una opción ideal para quienes buscan comodidad y conexión. No dejes pasar la oportunidad de visitarlo y enamorarte de su encanto. ¡Tu nuevo hogar te espera!",False,good,False,True,2045.0,False,False,False,False,[],False,False,229000.0,€,flat,"Entrevías, Madrid",Piso,,,,,,,
108843043,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/b4/c6/1356736508.webp,3,4,129000.0,flat,sale,100.0,True,3,1,"CL ESPAÑOLETO EL, 9",Madrid,Parla,Pintores-Ferial,es,,40.2421583,-3.7620844,True,https://www.idealista.com/inmueble/108843043/,"Atención inversores! Se vende piso ocupado sin posesión NO SE PUEDE VISITAR - PROCEDIMIENTO JUDICIAL AVANZADO. Con 100 metros construidos, esta propiedad es una oportunidad única para aquellos que buscan invertir en el mercado inmobiliario. Aunque no se puede visitar, podemos asegurar que esta vivienda cuenta con 3habitaciones y un servicios. ¡No dejes pasar esta oportunidad!",False,renew,False,False,1290.0,False,False,False,False,[],False,False,129000.0,€,flat,"Pintores-Ferial, Parla","Piso en Cl Españoleto El, 9",DW-BAT-001-018,,,,,,
81211043,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/37/91/572357506.webp,11,2,2700000.0,flat,sale,260.0,True,2,2,Barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.4498488,-3.686327,False,https://www.idealista.com/inmueble/81211043/,"Piso en venta con proyecto de reforma de interiorismo y decoración para maximizar el potencial de esta magnífica vivienda de 260 m² ubicada en una segunda planta exterior en el barrio del Viso en el sur del distrito de Chamartín. Un proyecto de lujo en una zona privilegiada de Madrid. Combinación perfecta de confort, tecnología y estilo. Acabados excepcionales que respetan el valor arquitectónico de la propiedad al tiempo que proporciona lujos modernos para un estilo de vida contemporáneo. Distribución de concepto abierto del salón, comedor, cocina. Dos habitaciones dobles y dos baños. Las imágenes mostradas son infografías, una simulación generada por ordenador, y son a título indicativo. Los acabados podrán sufrir modificaciones por necesidades expresas del comprador de la vivienda o por necesidades técnicas durante la ejecución de la reforma. En BARREIRO&REY creamos espacios para los sueños. Con nosotros no es necesario esperar a que termine un proyecto para ver su resultado final. Somos especialistas en Madrid en crear hogares realistas y representar exclusivos proyectos de interiorismo y decoración. Diseños atrevidos con nuevas ideas que crearan un espacio vital con estilo en tu nuevo hogar.",False,renew,False,True,10385.0,False,False,False,False,[],False,False,2700000.0,€,flat,"El Viso, Madrid",Piso,RE-20-0703,True,True,,,,
104195343,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/c0/7c/1212652198.webp,3,2,19000.0,flat,sale,45.0,True,2,1,carretera de Rozas de Puerto Real,Madrid,Cadalso de los Vidrios,,es,,40.3027845,-4.4493414,False,https://www.idealista.com/inmueble/104195343/,"Piso en CENTRO, con 45 m² construidos, 2 dormitorios, 1 baños, para reformar, planta 2, 3 plantas del edificio, última planta, acepta animales. Piso en RUINA ubicado en el municipio de Cadalso de los Vidrios de la provincia de Madrid, cuenta con una superficie construida de 45 m² aproximadamente. Se sitúa en planta alta, la zona es tranquila y esta bien comunicada, alcance de todos los servicios que dispone el municipio, equipamiento escolar, deportivo, centro de salud, entre otros, y dispone de fácil acceso a carreteras.",False,renew,False,False,422.0,False,False,False,False,[],False,False,19000.0,€,flat,Cadalso de los Vidrios,Piso en carretera de Rozas de Puerto Real,8468-CS-12538-0001,,,,,,
107521231,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/e3/fc/1320590251.webp,8,,4200000.0,chalet,sale,1000.0,,6,6,Barrio Ciudad Universitaria,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4680101,-3.7341634,False,https://www.idealista.com/inmueble/107521231/,"ROSE CAPITAL REAL ESTATE PRESENTA ESTA EXCLUSIVA VILLA DE LUJO EN PUERTA DE HIERRO Una joya arquitectónica contemporánea en el enclave más prestigioso de Madrid Descubra esta espectacular villa contemporánea, joya arquitectónica ubicada en el epicentro de la prestigiosa colonia Puerta de Hierro. Edificada en 2008, esta excepcional residencia forma parte de un exclusivo condominio privado que garantiza máxima seguridad, control de acceso y absoluta privacidad. Su diseño minimalista abraza con maestría las influencias del racionalismo arquitectónico, exhibiendo una composición de volúmenes geométricos perfectamente definidos, una elegante fachada de trazos lineales y angulares, y el predominio del hormigón en tonalidades claras que potencia su carácter vanguardista y sofisticado.  Con 900 m² magistralmente distribuidos sobre una parcela de 1.000 m² (828 m² de terreno privativo más la proporción correspondiente de la vía privada), esta excepcional propiedad representa la perfecta fusión entre arquitectura vanguardista, espacios generosos y máximo confort. Distribución que redefine el lujo contemporáneo Planta Principal: El alma social de la vivienda •Imponente salón-comedor de doble altura (6 metros) con amplias cristaleras que abrazan el jardín privado, inundando el espacio de luz natural •Elegantes porches perimetrales que amplían las zonas de estar y disfrute al aire libre •Espacio independiente acondicionado como gimnasio privado •Moderna y funcional cocina-comedor equipada con electrodomésticos de alta gama Primera Planta: Un oasis de inspiración y bienestar •Sofisticada sala de estar con biblioteca y chimenea •Despacho independiente con máxima privacidad •Elegante biblioteca que rodea la barandilla con vistas privilegiadas al salón de doble altura •Impresionante piscina climatizada interior con zona de vestuario y área de relajación •Espectacular cristalera que conecta con la terraza-solarium ubicada sobre el jardín Segunda Planta: Zona de descanso con máxima privacidad •Tres lujosas suites dispuestas alrededor de un extraordinario patio interior acristalado de 25 m² •Dormitorio principal de 72 m² con terraza privada, zona de estar, amplio vestidor y baño dividido en dos secciones •Dos dormitorios adicionales (40 m² y 30 m²) con baños en-suite Planta Semisótano: Funcionalidad y versatilidad •Apartamento de servicio independiente con dormitorio, baño y amplio salón •Dos dormitorios adicionales para invitados con baño completo compartido •Completa zona de servicios: cuarto de armarios de 10 m², sala para maquinaria de ascensor, cuarto de calderas y depuradora de piscina •Espacioso garaje con capacidad para 6 vehículos y abundante espacio de almacenamiento Instalaciones Energéticas y Sostenibilidad Energía Solar Fotovoltaica •Instalación de placas solares fotovoltaicas con vertido de excedentes a la red eléctrica, debidamente autorizado. •Optimización del autoconsumo energético mediante conexión a red. Sistema de Climatización Calefacción •Instalación de suelo radiante para calefacción, proporcionando una distribución uniforme y eficiente del calor. Refrigeración •Sistema de bomba de calor para refrigeración, garantizando un ambiente fresco y confortable durante los meses estivales. Proyecto de Mejora Energética •Próxima implementación de sistema de aerotermia para sustituir la caldera de gas actual. •Caldera de gas mantenida como sistema de apoyo y respaldo en caso de necesidad, asegurando un suministro energético continuo.",False,good,False,,4200.0,False,False,False,False,[],False,False,4200000.0,€,chalet,"Ciudad Universitaria, Madrid",Casa independiente,,True,True,independantHouse,,,
108711132,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/96/e6/1359782627.webp,10,bj,169000.0,flat,sale,58.0,True,3,1,Barrio Casco Antiguo,Madrid,Alcorcón,Centro,es,Casco Antiguo,40.3460238,-3.8247334,False,https://www.idealista.com/inmueble/108711132/,"Inmobiliaria Elite vende en exclusiva piso junto a la C/ Polvoranca y C/ Mayor En la actualidad se encuentra alquilado con contrato en vigor hasta 2028. Se vende con esta condición EL PRECIO QUE VES ES EL QUE PAGAS, SIN SORPRESAS! FINANCIACIÓN GRATUITA! La vivienda es toda exterior, consta de 58 m2 y esta situada en la planta baja del edificio.  Consta de 3 dormitorios, cocina amueblada, salón comedor y baño con ducha y ventana - Todo exterior - Calefacción individual de gas natural - Ventanas aluminio lacadas blancas - Puertas de roble se encuentra rodeada de todos los servicios, a 5 minutos del metro Parque Lisboa y a 10 minutos de Alcorcón central, con supermercados, centro de salud, farmacias, colegios.. . * ALCORCÓN CENTRAL: 500 MT * METRO PARQUE LISBOA: 700 MT * COLEGIO SANTIAGO RAMON Y CAJAL: 550 MT * CENTRO DE SALUD: 500 MT * C/ MAYOR: 200 MT * AUTOBUSES: 450 - 510 - 513 - 520 EL PRECIO QUE VES ES EL QUE PAGAS, SIN SORPRESAS! GESTIONAMOS TU CRÉDITO HIPOTECARIO TOTALMENTE GRATIS CON UNAS CONDICIONES INMEJORABLES! Infórmate sin compromiso La transparencia y la honestidad, son nuestros valores fundamentales y el respeto por ellos es lo que nos diferencia de los demás.",False,good,False,False,2914.0,False,False,False,False,[],False,False,169000.0,€,flat,"Casco Antiguo, Alcorcón",Piso,4450,,,,,,
107809874,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/05/b4/1324445993.webp,13,2,1299000.0,flat,sale,101.0,True,3,3,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4245968,-3.6706943,False,https://www.idealista.com/inmueble/107809874/,"AMA GRUPO INMOBILIARIO VENDE Esta preciosa vivienda de diseño moderno y funcional en pleno barrio Salamanca Cuenta con tres dormitorios y tres baños, proporcionando en espacio cómodo y bien distribuido Ubicada en una segunda planta de un edificio con ascensor. Se encuentra totalmente amueblada y equipada- lista para entrar a vivir- Esta propiedad es ideal para quienes buscan un hogar sofisticado o una inversión en una de la zonas mas demandadas de Madrid VEN A VERLA.",False,good,False,True,12861.0,False,False,False,False,[],False,False,1299000.0,€,flat,"Goya, Madrid",Piso,,,,,,,
103879280,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/3e/25/1313498697.webp,3,,174000.0,flat,sale,156.0,,3,2,calle San Juan,Madrid,Arganda,Centro,es,,40.3016852,-3.439526,False,https://www.idealista.com/inmueble/103879280/,"Se trata de una Vivienda situada en un edificio de dos alturas sobre rasante, ubicado en la calle San Juán, en el municipio de Arganda del Rey. El edificio dispone de una cierta antigüedad, por lo que carece de ascensor. La vivienda tiene la siguiente distribución un hall de entrada, que da acceso a una cocina independiente, y un pasillo que distribuye a un salón comedor, varias estancias que se considerarían dormitorios, y un cuarto de baño completo con bañera. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,False,1115.0,False,False,False,False,[],False,False,174000.0,€,flat,"Centro, Arganda",Piso en calle San Juan,CK-07004-0001,,,,,,
108555798,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/34/70/1348352280.webp,9,5,358000.0,flat,sale,85.0,True,1,1,"calle de Atocha, 45",Madrid,Madrid,Centro,es,Huertas-Cortes,40.4133446,-3.7008003,True,https://www.idealista.com/inmueble/108555798/,"Te gustaria vivir en el centro? Marotti House te presenta esta espectacular buhardilla, recien reformada, lista para entrar a vivir, simplemente hay que venir a verla, porque realmente lo merece. En tramite de instalacion de ascensor. Ven a verlo.",False,good,False,False,4212.0,False,False,False,False,[],False,False,358000.0,€,flat,"Huertas-Cortes, Madrid","Piso en calle de Atocha, 45",,,,,,,
108272372,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/d4/d3/1339158736.webp,21,2,196000.0,flat,sale,116.0,True,4,2,Torrelaguna,Madrid,Torrelaguna,,es,,40.8273517,-3.5385628,False,https://www.idealista.com/inmueble/108272372/,"Espacioso piso de 116 m2 y 96 m2 construidos, en la población de Torrelaguna (Madrid) con todos los servicios a su alcance. Zona muy tranquila.  La vivienda se distribuye en 4 amplios dormitorios, luminosos salón con chimenea y cocina independiente amueblada con espacio para mesa y sillas. Tanto salón y cocina tienen acceso a la terraza con vistas. Además, la vivienda cuenta con dos baños.  Posibilidad de visitar y entrega inmediata.",False,renew,False,False,1690.0,False,False,False,False,[],False,False,196000.0,€,flat,Torrelaguna,Piso,6771,,,,,,
