propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107977546,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/ca/c0/1343894359.webp,1483,31,330000.0,flat,sale,166.0,3,2,Centro,Madrid,Colmenar Viejo,Centro,es,40.6570605,-3.7671871,False,https://www.idealista.com/inmueble/107977546/,Excelente Vivienda- Plaza del Pueblo- Edificio Señorial- Colmenar Viejo- 166 m2- Salón Amplio con Vigas y Techo Madera- 3 Dormitorios Amplios- 2 Baños Completos- Terraza Amplia 15 m2- Cocina Rustica con Despensa-Calefacción Gas Natural- Zona Muy bien comunicada con Zona Comercial y de Ocio-. Transporte Público-Colegios -Institutos- Parques- 2ªPlanta sin Ascensor- Casa Rústica Abuhardillada con mucho Encanto -.,False,good,False,1988.0,False,False,False,False,[],False,False,330000.0,€,flat,"Centro, Colmenar Viejo",Piso,,,,,,,,,,
108625846,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/53/d0/1350323139.webp,2593,7,385000.0,flat,sale,55.0,1,1,Barrio Prosperidad,Madrid,Madrid,Chamartín,es,40.4449638,-3.6687731,False,https://www.idealista.com/inmueble/108625846/,"Ideal inversores, vendemos 4 pisos en un mismo edificio en rentabilidad, con cuenos arrendatarios, distribuidos en hall, salón-comedor, cocina, dormitorio y baño, de 47 m2 hasta 66 m2. Plantas altas con ascensor, cerca de comercios, colegios.. . Muy buena comunicación.",True,good,False,7000.0,False,False,False,False,[],False,False,385000.0,€,flat,"Prosperidad, Madrid",Piso,5,True,Prosperidad,True,,,,,,
108258363,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/43/5f/1338714749.webp,MADRID,15,168000.0,flat,sale,49.0,2,1,calle de la Marquesa de Silvela,Madrid,Madrid,Usera,es,40.3846556,-3.7142589,False,https://www.idealista.com/inmueble/108258363/,"Se vende piso en madrid tan solo a 100 metros del metro! ocupado ilegalmente. Consta de 2 dormitorios, salon, cocina, baño. No se puede visitar ni tasar el inmueble. Se vende con los ocupas ilegales.",False,renew,False,3429.0,False,False,False,False,[],False,False,168000.0,€,flat,"Moscardó, Madrid",Piso en calle de la Marquesa de Silvela,3,True,Moscardó,False,,,,,,
108606662,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/f8/b7/1349800981.webp,CHA0010,11,3300000.0,chalet,sale,790.0,6,6,Barrio Monteclaro,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,40.4371876,-3.8477602,False,https://www.idealista.com/inmueble/108606662/,"Extrena21 vende vivienda unifamiliar incomparable en Monteclaro de 790m2 según catastro en parcela de 4.140m2. La vivienda modelo Encinar en su origen, esta totalmente actualizada debido a su perfecto mantenimiento y varias reformas la ultima del año 2.024, en sus 2 plantas. La planta baja consta de un gran recibidor de entrada con acceso directo a un gran salón comedor con 3 zonas para diferentes ambientes y dos porches, uno en la parte delantera de la vivienda y otro en la parte trasera. En esta planta también se encuentra el dormitorio principal con baño en suite y vestidor con vistas al maravilloso jardín, la cocina de grandes dimensiones y la zona de servicio con baño completo y otros dos baños. En la panta superior encontramos 7 habitaciones y 4 baños. El jardín totalmente consolidado tiene zonas de césped natural, otras de césped artificial, rosaleda y vegetación variada con estupendo mantenimiento. Pista de tenis reglamentaria, piscina climatizada, cenador y caseta de jardinero. En cuanto a las instalaciones de la vivienda cuenta con calefacción mediante aerotermia, aire acondicionado, 14 placas termo solares e instalación fotovoltaica de 51 paneles, puertas de entrada y garaje automáticas POR EXPRESO DESEO DE LOS PROPIETARIOS, NO APARECEN EN IDEALISTA TODOS NUESTROS INMUEBLES. PARA MAS INFORMACION EN ESTA ZONA DE LOS MISMOS, VISITE NUESTRA PAGINA WEB [IW].",False,good,False,4177.0,False,False,False,False,[],False,False,3300000.0,€,chalet,"Monteclaro, Pozuelo de Alarcón",Casa independiente,,,Monteclaro,,True,True,independantHouse,,,
108829291,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/f9/fd/1356347898.webp,P000087,7,250000.0,flat,sale,60.0,3,1,Universidad,Madrid,Getafe,Universidad,es,40.3146104,-3.7254874,False,https://www.idealista.com/inmueble/108829291/,"Distrito82 presenta: Inversión en Getafe - Piso reformado con inquilino estable - Piso en venta en Calle Titulcia, Getafe - Completamente reformado en 2024 y actualmente alquilado desde noviembre de 2024 con contrato vigente de 5 años. - Precio de venta: 250.000€? - Renta mensual: 850€? (Rentabilidad bruta del 4,08%) - Características del inmueble: Vivienda totalmente reformada Aire acondicionado Cocina equipada con electrodomésticos Excelente estado de conservación Ideal para inversores: se vende con contrato de alquiler activo - Entorno y servicios destacados: A solo minutos de la Universidad Carlos III de Madrid, campus de Getafe Buena conexión con Cercanías Renfe (Getafe Centro y Las Margaritas) Paradas de autobuses urbanos e interurbanos a escasos metros Acceso directo a A-42 y M-406, perfecta conexión con Madrid capital Supermercados, farmacias, centros de salud y colegios en la zona Amplia oferta de restauración, comercios locales y zonas verdes Próximo a centros deportivos y a escasos minutos del Teatro Federico García Lorca DISPONEMOS DE DEPARTAMENTO FINANCIERO PROPIO, QUE DEPENDIENDO DEL PERFIL, PODRIA CONSEGUIR HASTA EL 100% DE FINANCIANCION. En el precio de venta no están incluidos los gastos de compra (ITP, Notaría, Registro, Gestoría, Intermediación Inmobiliaría y Financiera si se diera el caso. ) - Más información -    ¡Invierte con seguridad en una zona con alta demanda de alquiler!",False,renew,False,4167.0,False,False,False,False,[],False,False,250000.0,€,flat,"Universidad, Getafe",Piso,bj,,,True,,,,,,
108668466,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/3d/2d/1351664433.webp,,10,1200000.0,flat,sale,191.0,3,2,CL ORENSE,Madrid,Madrid,Tetuán,es,40.4514583,-3.6947867,False,https://www.idealista.com/inmueble/108668466/,"Magnifica vivienda, para entrar. Altura de segundo piso o tercero. Mejor ver!",False,good,False,6283.0,False,False,False,False,[],False,False,1200000.0,€,flat,"Cuatro Caminos, Madrid",Piso en Cl Orense,1,True,Cuatro Caminos,True,,,,,,
108087226,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/de/93/1333422261.webp,DW-BAT-001-015,5,140000.0,chalet,sale,94.0,3,1,calle Mudela,Madrid,Madrid,Puente de Vallecas,es,40.3795325,-3.676711,False,https://www.idealista.com/inmueble/108087226/,"¡Atención inversores! Se vende chalet adosado ocupado sin posesión NO SE PUEDE VISITAR - PROCEDIMIENTO JUDICIAL AVANZADO.  Con 96 metros construidos, esta propiedad es una oportunidad única para aquellos que buscan invertir en el mercado inmobiliario. Aunque no se puede visitar, podemos asegurar que esta vivienda cuenta con varias habitaciones y servicios. ¡No dejes pasar esta oportunidad!",False,renew,False,1489.0,False,False,False,False,[],False,False,140000.0,€,chalet,"Entrevías, Madrid",Chalet adosado en calle Mudela,,,Entrevías,,,,terracedHouse,,,
107711152,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/e8/3e/1320514295.webp,9165##9165_0031_PE0001,1,160000.0,flat,sale,61.0,2,1,"calle San Luis, 25",Madrid,Alcorcón,Centro,es,40.3466651,-3.825363,True,https://www.idealista.com/inmueble/107711152/,"Oportunidad de inversión: pendiente de Posesión. Piso de 61 m2 ubicado en Alcorcón, Madrid, Consta de 2 dormitorios y 1 baño.",False,good,False,2623.0,False,False,False,False,[],False,False,160000.0,€,flat,"Casco Antiguo, Alcorcón","Piso en calle San Luis, 25",,,Casco Antiguo,,,,,,,
108473080,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/2d/1b/1345979107.webp,,13,170000.0,flat,sale,20.0,1,1,calle del Olivar,Madrid,Madrid,Centro,es,40.4086205,-3.7004245,False,https://www.idealista.com/inmueble/108473080/,Loft en el centro de Madrid. Reformado y amuebldo. Aire acondicionado. Ideal para persona sola o pareja. Joya única a pasos del metro de Madrid y de las principales centros turísticos de la capital. Museos teatros restaurante y bares trending. Alta rentabilidad para inversores. Para entrar a vivir.,False,good,False,8500.0,False,False,False,False,[],False,False,170000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Olivar,bj,True,Lavapiés-Embajadores,False,,,,,,
108504770,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/44/4e/1346878506.webp,CS-17217-0001 SOLVIA STORE ALCOBENDAS,2,635000.0,chalet,sale,333.0,1,1,calle Arquitecto A. San Roman,Madrid,Torrelodones,Casco Antiguo,es,40.5749975,-3.9249315,False,https://www.idealista.com/inmueble/108504770/,Chalet adosado de 1 dormitorio y de 1 baño en Torrelodones. Cuenta con una superfície de 333.25 m2. Dispone de piscina.,False,renew,False,1907.0,False,False,False,False,[],False,False,635000.0,€,chalet,"Casco Antiguo, Torrelodones",Chalet adosado en calle Arquitecto A. San Roman,,,,,True,True,terracedHouse,,,
