propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,exterior,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
102290951,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/92/59/1218911878.webp,VI-000-020-717-624,2,2,133500.0,studio,sale,113.0,0,2,Barrio 12 de Octubre-Orcasur,Madrid,Madrid,Usera,es,12 de Octubre-Orcasur,40.3709069,-3.700472,False,https://www.idealista.com/inmueble/102290951/,"Ampli pis a Madrid, perfecte per a parelles. L´immoble disposa d´una superfície de 112 m² construïts distribuïts en saló-menjador, cuina. Compte amb tots els serveis necessaris al seu voltant, com l'Hospital Matern Infantil - 12 d'Octubre, l'escola CEIP Meseta d'Orcasitas, supermercats, bancs, biblioteques, farmàcies, oficines de correus, centres esportius, l'estació de metro San Fermín-Orcasur i l'estació de tren Estació de tren Orcasitas. Compte amb fàcil accés a M-40.  Oportunidad de inversión: inmueble ocupado. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1181.0,False,False,False,False,[],False,False,133500.0,€,flat,studio,"12 de Octubre-Orcasur, Madrid",Estudio,,,,,,,
107168925,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/7d/76/1305038217.webp,8992-CL-01543-0001,1,3,86300.0,flat,sale,80.0,3,2,calle de Beniferri,Madrid,Madrid,Villaverde,es,San Cristóbal,40.3424735,-3.6916257,False,https://www.idealista.com/inmueble/107168925/,"Piso en san cristobal de los angeles, con 80 m² construidos, 3 dormitorios, 2 baños, para reformar, planta 3, ascensor, portero, acepta animales. Inmueble ocupado ilegalmente no es posible visitar, se vende en su situacion actual. La compra se realiza al contado ya que la vivienda por su situacion actual no admite financion hipotecaria vivienda piso en la calle beniferri de madrid. Tiene una superficie aproximada de 80 m2.",False,renew,False,1079.0,False,False,False,False,[],False,False,86300.0,€,flat,,"San Cristóbal, Madrid",Piso en calle de Beniferri,True,True,,,,,
102822015,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/33/b2/1218920882.webp,VI-000-020-715-548,2,bj,109000.0,studio,sale,59.0,0,1,Barrio Hellín,Madrid,Madrid,San Blas,es,Hellín,40.4324494,-3.6158858,False,https://www.idealista.com/inmueble/102822015/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: Vencido.  Funcional piso en Madrid, ideal para parejas. La vivienda consta de 59 m² construidos distribuidos en salón-comedor, cocina. En sus alrededores encontramos la UCM Facultad de Óptica y Optometría, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de metro San Blas. A 20 minutos caminando encontramos el Hospital Viamed Fuensanta y varias paradas de autobús. El inmueble está situado a 24 minutos en coche del centro de Madrid. Cuenta con fácil acceso a M-40.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1847.0,False,False,False,False,[],False,False,109000.0,€,flat,studio,"Hellín, Madrid",Estudio,,,,,,,
102777791,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/08/8f/1218914807.webp,VI-000-047-720-343,2,2,106000.0,studio,sale,86.0,0,2,Calle Pinto-San Roque,Madrid,Parla,Calle Pinto-San Roque,es,,40.2362445,-3.7665187,False,https://www.idealista.com/inmueble/102777791/,"Piso en Parla, Madrid, perfecto para parejas. El inmueble dispone de una superficie de 86 m² construidos distribuidos en salón-comedor, cocina. Está ubicado en el corazón de Parla, en sus alrededores encontramos la Escuela Infantil Los Abetos, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús y la estación de tren Parla. Cuenta con fácil acceso a R-4.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1233.0,False,False,False,False,[],False,False,106000.0,€,flat,studio,"Calle Pinto-San Roque, Parla",Estudio,,False,,,,,
102291217,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/c4/cd/1218914261.webp,VI-000-035-706-714,2,bj,78000.0,flat,sale,51.0,1,1,Villamantilla,Madrid,Villamantilla,,es,,40.3368144,-4.1324594,False,https://www.idealista.com/inmueble/102291217/,"Pràctic pis a Villamantilla, Madrid, perfecte per a parelles. L´immoble consta de 50 m² construïts distribuïts en una habitació, saló-menjador, cuina i un lavabo. Està situat al centre de Villamantilla, als voltants trobem el Col·legi Públic San Miguel, supermercats i centres esportius. Compte amb fàcil accés a M-530.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1529.0,False,False,False,False,[],False,False,78000.0,€,flat,,Villamantilla,Piso,,False,,,,,
108619781,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3a/c0/43/1350148673.webp,,1,4,129900.0,flat,sale,72.0,3,1,calle de San Andrés,Madrid,Fuenlabrada,Centro,es,,40.2864373,-3.7972291,False,https://www.idealista.com/inmueble/108619781/,"A la venta vivienda ocupada ilegalmente sin posesión, una excelente oportunidad para inversores. Este inmueble se encuentra ocupado, por lo que se transmite en las condiciones actuales, sin acceso disponible para visitas. El inmueble no acepta financiación.",False,good,False,1804.0,False,False,False,False,[],False,False,129900.0,€,flat,,"Centro, Fuenlabrada",Piso en calle de San Andrés,True,False,,,,,
102821485,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/6c/d7/1218925886.webp,VI-000-030-687-107,2,4,206000.0,studio,sale,52.0,0,1,Barrio Moscardó,Madrid,Madrid,Usera,es,Moscardó,40.3895211,-3.7011141,False,https://www.idealista.com/inmueble/102821485/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: Vencido.  Práctico piso en Madrid, idóneo para parejas. La vivienda dispone de una superficie de 52 m² construidos distribuidos en salón-comedor, cocina. Localizado en el centro de Madrid, muy cerca de Autopista de Circunvalación M-30 en el barrio de Moscardó. En sus alrededores encontramos la Escuela de Educación Infantil la Jara, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús y la estación de metro Usera.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,3962.0,False,False,False,False,[],False,False,206000.0,€,flat,studio,"Moscardó, Madrid",Estudio,,False,,,,,
102291229,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/67/6f/1218914271.webp,VI-000-035-706-715,2,bj,73000.0,flat,sale,51.0,1,1,Villamantilla,Madrid,Villamantilla,,es,,40.3393706,-4.1308338,False,https://www.idealista.com/inmueble/102291229/,"Práctico piso en Villamantilla, Madrid, ideal para parejas. El inmueble dispone de una superficie de 50 m² construidos distribuidos en una habitación, salón-comedor, cocina y un aseo. Está ubicado en el corazón de Villamantilla, en sus alrededores encontramos el Colegio Público San Miguel, supermercados y centros deportivos. Cuenta con fácil acceso a M-530.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1431.0,False,False,False,False,[],False,False,73000.0,€,flat,,Villamantilla,Piso,,False,,,,,
103106244,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/f8/e0/1218936484.webp,VI-000-038-780-202,2,bj,160000.0,flat,sale,35.0,3,1,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4073263,-3.7045115,False,https://www.idealista.com/inmueble/103106244/,"Cómodo piso en Madrid, ideal para familias. El inmueble dispone de una superficie de 35 m² construidos distribuidos en tres habitaciones, salón-comedor, cocina y un aseo. Está situado en el centro de Madrid, muy cerca de P. º de Sta. María de la Cabeza en el barrio de Lavapiés, al lado de Plaza Mayor, Mercado de San Miguel y Museo Nacional Centro de Arte Reina Sofía. En sus alrededores encontramos el Hospital VOT Madrid, el Colegio La Salle La Paloma Lara Foundation, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús, la estación de metro Lavapiés y la estación de tren Embajadores. Se encuentra a 15 minutos a pie del centro de la localidad.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,4571.0,False,False,False,False,[],False,False,160000.0,€,flat,,"Lavapiés-Embajadores, Madrid",Piso,,,,,,,
108861113,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/9b/ce/1357275252.webp,CAN0000185619,1,1,250000.0,studio,sale,90.0,0,2,calle de Marcelo Usera,Madrid,Madrid,Usera,es,Moscardó,40.3870013,-3.7073622,False,https://www.idealista.com/inmueble/108861113/,"Gran oferta de Piso en MADRID. Situado en CALLE MARCELO USERA, dispone de una superficie de 86 m2.",False,good,False,2778.0,False,False,False,False,[],False,False,250000.0,€,flat,studio,"Moscardó, Madrid",Estudio en calle de Marcelo Usera,,,,,,,
