propertyCode,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
104857631,SG197596,0,bj,2350000.0,flat,sale,364.0,True,7,6,avenida de la Reina Victoria,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4450384,-3.7137116,False,https://www.idealista.com/inmueble/104857631/,"Este elegante conjunto de dos plantas se encuentra en Ciudad Universitaria, en el distrito de Moncloa - Aravaca en Madrid. Con una ubicación privilegiada en una de las zonas más prestigiosas de la ciudad, este inmueble es ideal para inversores que buscan una alta rentabilidad. Construido en 1972, este apartamento cuenta con 7 dormitorios y 6 baños, lo que lo convierte en una propiedad espaciosa y perfecta para familias numerosas o para aquellos que buscan espacio adicional para trabajar desde casa. Con una superficie construida de 364 metros cuadrados y dividido en 6 apartamentos turísticos, este apartamento ofrece amplios espacios interiores y una distribución inteligente. El conjunto de 6 apartamentos se encuentra en un edificio con ascensor y cuenta con características de seguridad como puerta blindada. Además, ofrece comodidades modernas como aire acondicionado y vistas muy luminosas. El edificio cuenta con servicio de conserjería, pero ofrece la privacidad y tranquilidad que muchos buscan. En cuanto a la ubicación, este apartamento se encuentra cerca de varios colegios de renombre, como el Colegio Nuestra Señora del Pilar. Además, hay un centro comercial cercano donde los residentes pueden disfrutar de una amplia variedad de tiendas, restaurantes y servicios. En cuanto al transporte público, las líneas de metro más cercanas son la línea 6 (Circular) y la línea 3 (Avenida de América - Moncloa), que ofrecen conexiones rápidas y convenientes con el resto de la ciudad. También hay líneas de cercanías cercanas, como la C-7 (Príncipe Pío - Alcobendas-San Sebastián de los Reyes) y la C-10 (Atocha - Chamartín). Además, hay varias líneas de autobuses que pasan cerca de la ubicación de este apartamento, lo que facilita el acceso a diferentes partes de la ciudad. Ciudad Universitaria es un barrio tranquilo y residencial, conocido por albergar importantes instituciones educativas como la Universidad Complutense de Madrid y la Universidad Politécnica de Madrid. También ofrece una gran cantidad de zonas verdes, como el Parque del Oeste, donde los residentes pueden disfrutar de actividades al aire libre y relajarse en un entorno natural. En resumen, este apartamento en Ciudad Universitaria es una oportunidad única para inversores que buscan una propiedad con alta rentabilidad. Con su amplio espacio, ubicación privilegiada y comodidades modernas, este inmueble es una opción atractiva para aquellos que desean invertir en el mercado inmobiliario de Madrid. GILMAR es una empresa con más de 35 años de experiencia en el mercado inmobiliario. Desde 1983, hemos estado ayudando a nuestros clientes a encontrar la casa de sus sueños. Nuestro equipo de profesionales altamente capacitados se dedica a brindar un servicio personalizado y de calidad, brindando asesoramiento experto en cada etapa del proceso de compra o venta de una propiedad. Si desea obtener más información sobre este apartamento en Ciudad Universitaria, no dude en ponerse en contacto con nuestro equipo en la oficina de Castellana-Orense. Estamos ubicados en C/ Orense, 28, esq. General Perón. También puede comunicarse con nosotros por teléfono al o por correo electrónico a. Por favor, proporcione la referencia del inmueble (197596) para que podamos brindarle toda la información que necesita. Estamos aquí para ayudarle a encontrar su hogar ideal.",False,good,False,True,6456.0,False,False,False,False,[],False,False,2350000.0,€,flat,"Ciudad Universitaria, Madrid",Piso en avenida de la Reina Victoria,,,,
108730321,SG210209,0,9,2100000.0,flat,sale,181.0,True,3,4,Barrio Cuatro Caminos,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4472506,-3.6950051,False,https://www.idealista.com/inmueble/108730321/,"Exclusiva vivienda de lujo con vistas espectaculares en Castellana-Orense, Tetuán  Descubre esta magnífica propiedad en altura ubicada en una de las zonas más codiciadas de Madrid. Este espectacular piso, construido con calidades de superlujo, cuenta con 181 m² de superficie construida y está diseñado para satisfacer los gustos más exquisitos. Desde su novena planta, disfrutarás de unas vistas inigualables de la ciudad, en un entorno de absoluta exclusividad.  La vivienda dispone de 3 amplios dormitorios principales y 4 baños (3 principales y 1 secundario), garantizando comodidad y privacidad para toda la familia. El salón independiente es un espacio luminoso y acogedor, ideal para reuniones o momentos de relax. La cocina, equipada con los mejores materiales, es funcional y moderna. Además, el inmueble cuenta con aire acondicionado, calefacción individual, suelos de mármol y servicios de seguridad 24 horas, todo ello pensado para ofrecerte la máxima comodidad y tranquilidad.  Entre las amenidades del edificio, destaca la piscina comunitaria, perfecta para los días calurosos, así como un garaje privado, una ventaja imprescindible en el corazón de Madrid.  Ubicación privilegiada en Castellana-Orense  Situado en el barrio de Castellana-Orense, en el distrito de Tetuán, este inmueble se encuentra en una zona que combina a la perfección la vida residencial de lujo con una amplia oferta de servicios. A pocos pasos encontrarás el emblemático Paseo de la Castellana y una excelente conexión con el resto de la ciudad.  En cuanto a educación, el prestigioso Colegio Patrocinio San Jose se encuentra a menos de 100 metros, ofreciendo una formación de alto nivel para tus hijos. Para tus compras y ocio, el Centro Comercial El Corte Ingles está enfrente, con una amplia variedad de tiendas, restaurantes y opciones de entretenimiento.  En términos de transporte, las líneas de metro más cercanas son Nuevos Ministerios (L6) y Cuzco (L10), ambas a corta distancia, además de contar con líneas de cercanías en Nuevos Ministerios (C1, C2, C3, C4, C7, C8 y C10). También hay varias líneas de autobuses que circulan por la zona, como las 5, 27, 40, 126 y 147, garantizando una conectividad inmejorable.  El barrio ofrece un ambiente vibrante y cosmopolita, con restaurantes de alta cocina, boutiques exclusivas y espacios culturales. Además, la cercanía a lugares emblemáticos como el estadio Santiago Bernabéu o el distrito financiero de Azca, convierten a esta ubicación en una de las más deseadas de Madrid.  Sobre GILMAR* Desde 1983, GILMAR ha sido líder en el sector inmobiliario, ayudando a miles de clientes a encontrar la casa de sus sueños. Nuestra experiencia y dedicación nos permiten ofrecer un servicio personalizado y de alta calidad, adaptado a las necesidades de cada cliente.  Si deseas más información sobre esta exclusiva propiedad, no dudes en contactar con nuestro equipo de la oficina de Castellana-Orense. Llámanos al o escríbenos a. Por favor, facilita la referencia 210209 para que podamos atenderte con mayor rapidez.",False,good,False,True,11602.0,False,False,False,False,[],False,False,2100000.0,€,flat,"Cuatro Caminos, Madrid",Piso,True,True,,
108002548,9c7dae62-f3bc-4f88-8c9b-b2b174a97d6f,0,,558000.0,flat,sale,136.0,True,2,1,calle Entre Arroyos,Madrid,Madrid,Moratalaz,es,Media Legua,40.4071482,-3.6563547,False,https://www.idealista.com/inmueble/108002548/,"Se ofrece en venta la nuda propiedad de una vivienda de 134 m² situada en la calle Entrearroyos, en el distrito de Moratalaz, Madrid. La persona usufructuaria, una señora de 94 años, continuará residiendo en el inmueble de forma vitalicia. El piso se encuentra en una planta alta de un edificio con ascensor, lo que le proporciona unas vistas despejadas y una luminosidad excepcional durante todo el día. Actualmente está distribuido en dos dormitorios de buen tamaño, un baño completo, un amplio salón-comedor y una cocina independiente. El estado de la vivienda es para reformar, lo que permite al futuro propietario adaptar los espacios a su gusto y necesidades. La zona es tranquila y residencial, rodeada de parques, zonas verdes y todos los servicios necesarios para el día a día, como supermercados, centros educativos y sanitarios. Además, cuenta con una buena conexión mediante transporte público, lo que facilita el acceso al centro de Madrid y otras zonas de la ciudad. Se trata de una oportunidad de inversión a medio-largo plazo, en un inmueble con gran proyección en uno de los barrios más cómodos y consolidados del este de Madrid. Para más información sobre condiciones económicas y detalles de la operación, contacta sin compromiso. Media Legua es una de las zonas más tranquilas y consolidadas del distrito de Moratalaz, en Madrid. Su ubicación estratégica, junto a la M-30 y con excelentes conexiones de transporte público, lo convierte en un lugar muy accesible tanto para quienes se desplazan al centro como para quienes buscan una vida de barrio más relajada. Se caracteriza por sus amplias avenidas arboladas, zonas verdes como el Parque de la Cuña Verde de O’Donnell, y una oferta completa de servicios: colegios, centros deportivos, supermercados y pequeños comercios. Es una zona residencial muy valorada por familias y profesionales que buscan calidad de vida sin renunciar a la cercanía con el corazón de la ciudad.",False,good,False,True,4103.0,False,False,False,False,[],False,False,558000.0,€,flat,"Media Legua, Madrid",Piso en calle Entre Arroyos,,,,
107411594,11237,0,,9000000.0,chalet,sale,1000.0,,6,6,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5153048,-3.6255544,False,https://www.idealista.com/inmueble/107411594/,"Leticia Monreal de GV | LA MORALEJA comercializa el siguiente inmueble: Espectacular casa con una máginfica distribución en una sola planta.  En pleno centro de La Moraleja, y en una de las mejores y más tranquilas calles de la zona, se encuentra esta acogedora vivienda ubicada en una parcela completamente plana de 10.000 metros, pozo, piscina y pista de pádel.  Distribución: La vivienda cuenta con cuatro dormitorios principales en suite, gran salón, comedor inpependiente y despacho. Cocina con office y despensa y dos dormitorios de servicio. Un porcentaje importante de nuestros inmuebles no aparecen publicados por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.",False,good,False,,9000.0,False,False,False,False,[],False,False,9000000.0,€,chalet,"La Moraleja urbanización, La Moraleja",Casa independiente,True,True,independantHouse,
106247039,11196,0,,7900000.0,chalet,sale,1200.0,,8,7,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5168548,-3.6330021,False,https://www.idealista.com/inmueble/106247039/,"Leticia Monreal de GV | LA MORALEJA comercializa el siguiente inmueble:  Vivienda de estilo clásico en buen estado de conservación. Cuenta con una cómoda y muy pensada distribución, espectacular jardín, pista de tenis y piscina.  La parcela, de 10.000 metros cuadrados, se encuentra en una de las calles más seguras y tranquilas de la zona. **Por expreso deseo de los propietarios no se muestran fotografías** Esta información no tiene carácter contractual. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para mas información sobre más propiedades en esta zona entre en nuestra página web.",False,good,False,,6583.0,False,False,False,False,[],False,False,7900000.0,€,chalet,"La Moraleja urbanización, La Moraleja",Casa independiente,True,True,independantHouse,
107411674,11171,0,,6500000.0,chalet,sale,1200.0,,9,13,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5096056,-3.6234307,False,https://www.idealista.com/inmueble/107411674/,"Leticia Monreal de GV | LA MORALEJA comercializa el siguiente inmueble: Esta vivienda con encanto está ubicada en un fondo de saco que le permite tener más privacidad y seguridad. Tiene muchísima luz gracias a su orientación sur, amplios espacios, inmejorable distribución, espectacular jardín con maravisollos rincones, dos pérgolas y baño exterior. Este incluye un paisajismo muy cuidado con gran variedad de árboles y vegetación, piscina, jacuzzi y pista de tenis.  Distribución:  Planta baja (440 metros): Hall de entrada, aseo de invitados, gran salón con chimenea, comedor de grandes dimensiones con salida a un agradable porche, cuarto de estar. Cocina con office, lavandería, dormitorio de servicio en suite. Esta planta alberga el dormitorio principal con dos vestidores y dos cuartos de baño completos.  Planta primera (330 metros): cuarto de estar y cuatro dormitorios en suite de gran tamaño.  Planta semisótano (410 metros): con luz natural y acceso al jardín, la planta inferior de la casa cuenta con una gran sala polivalente, un dormitorio con baño, un gimnasio, trastero y garaje cubierto para cuatro coches.  Un porcentaje importante de nuestros inmuebles no aparecen publicados por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.",False,good,False,,5417.0,False,False,False,False,[],False,False,6500000.0,€,chalet,"La Moraleja urbanización, La Moraleja",Casa independiente,True,True,independantHouse,
106296660,1118000,0,,5600000.0,chalet,sale,900.0,,5,7,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5130598,-3.6205747,False,https://www.idealista.com/inmueble/106296660/,"Leticia Monreal de GV | LA MORALEJA comercializa el siguiente inmueble: Vivienda en parcela de 2500 metros en una de las mejores calles de La Moraleja.  Con un diseño contemporáneo, esta vivienda ofrece una distribución perfecta, además de muchísima luminosidad y unas vistas privilegiadas.  Cuenta con cinco dormitorios en suite. Posibilidad de ampliar.  Esta información no tiene carácter contractual. Un porcentaje importante de nuestros inmuebles no aparecen publicados por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.",False,good,False,,6222.0,False,False,False,False,[],False,False,5600000.0,€,chalet,"La Moraleja urbanización, La Moraleja",Casa independiente,True,True,independantHouse,
108516884,AA210256,0,bj,250000.0,flat,sale,60.0,True,3,1,paseo de la Dirección,Madrid,Madrid,Tetuán,es,Berruguete,40.4579951,-3.7110369,False,https://www.idealista.com/inmueble/108516884/,"Gilmar vende en exclusiva esta interesante oportunidad en el distrito de Tetuán, zona Berruguete. La vivienda, con 92 m² construidos según Catastro, se distribuye en 56 m² correspondientes a la vivienda principal y 25 m² de sótano con acceso directo desde el interior, lo que amplía notablemente las posibilidades de uso y distribución. Ubicada en una zona consolidada con todos los servicios, se encuentra a tan solo 300 metros de la estación de metro Francos Rodríguez y cuenta con varias líneas de autobús en un radio de 150 metros, lo que garantiza una excelente comunicación con el resto de la ciudad. El inmueble está completamente para reformar, lo que lo convierte en una magnífica opción tanto para adaptarlo a las necesidades de residencia habitual como para obtener una alta rentabilidad como inversión. ¡Llámanos y descubre todo su potencial!",False,renew,False,True,4167.0,False,False,False,False,[],False,False,250000.0,€,flat,"Berruguete, Madrid",Piso en paseo de la Dirección,,,,
108789545,,0,5,480000.0,flat,sale,58.0,True,1,1,Barrio Nueva España,Madrid,Madrid,Chamartín,es,Nueva España,40.4623328,-3.6864388,False,https://www.idealista.com/inmueble/108789545/,"En el corazón del exclusivo barrio de Nueva España, en el distrito de Chamartín, se encuentra este inmueble exterior de 58 m², una verdadera joya para quienes buscan una excelente oportunidad. Con 1 dormitorio, 1 baño y una distribución que maximiza la luminosidad natural, este inmueble ofrece comodidad, funcionalidad y una ubicación privilegiada. Construido en 1967, cuenta con calefacción central con contador individual, portero automático y físico, y ascensor. Además de ser exterior y luminoso, se encuentra en una finca cuidada, lo que garantiza un entorno agradable y seguro. El barrio de Nueva España es conocido por su tranquilidad, exclusividad y excelentes conexiones. En sus alrededores se encuentran colegios de prestigio, lo que lo convierte en una opción muy atractiva para familias que valoran una educación de calidad. En cuanto a transporte público, las opciones son inmejorables. La estación de metro más cercana es Cuzco (Línea 10), que conecta rápidamente con el centro financiero de Azca, Nuevos Ministerios y el resto de la ciudad. También se encuentran próximas las estaciones de cercanías de Chamartín y Nuevos Ministerios, además de varias líneas de autobús como la 14, 150 y 16, que aseguran una movilidad excelente. Nueva España destaca por su ambiente residencial exclusivo, con calles arboladas y una amplia oferta de servicios. Es una zona que combina la paz de un entorno tranquilo con la cercanía a las principales arterias de Madrid, como el Paseo de la Castellana. Aquí encontrarás restaurantes de alta gastronomía, supermercados, gimnasios y zonas verdes como el Parque de Berlín, ideal para disfrutar del aire libre. Desde 1983, GILMAR ha sido líder en el sector inmobiliario, ayudando a miles de clientes a encontrar la casa de sus sueños. Nuestro compromiso con la excelencia y el servicio personalizado nos ha convertido en una referencia en el mercado, garantizando la satisfacción de cada cliente. Si deseas más información sobre este inmueble, no dudes en contactar con nuestro equipo de la oficina de Viso-Chamartín. Nos encontrarás en el Paseo de la Castellana, 164. Llámanos al o envíanos un correo electrónico a. Facilítanos la referencia 211961 para poder atenderte con mayor rapidez. ¡Estamos aquí para ayudarte a encontrar tu próxima inversión!",False,good,False,True,8276.0,False,False,False,False,[],False,False,480000.0,€,flat,"Nueva España, Madrid",Piso,,,,
107570236,DS-P77675B,0,3,3800000.0,flat,sale,290.0,True,4,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4273067,-3.68141,False,https://www.idealista.com/inmueble/107570236/,"DIZA Consultores presenta este exclusivo piso recién reformado con excelentes calidades en el Barrio Salamanca. En un edificio moderno construido a mediados del siglo XX, se encuentra esta elegante vivienda de 299 metros cuadrados con acabados de lujo y una reforma que combina diseño contemporáneo con máxima funcionalidad. La propiedad está situada en una quinta planta exterior con orientación oeste, lo que garantiza luminosidad durante todo el día y vistas privilegiadas desde su terraza de quince metros cuadrados.  La vivienda destaca por su amplia zona social, que incluye un salón comedor con acceso directo a la terraza, ideal para disfrutar de reuniones o momentos de ocio. La cocina, semi-integrada al salón, se convierte en el espacio perfecto para los amantes de la gastronomía. En la zona de descanso encontramos cuatro amplios dormitorios dobles, todos en suite. Dos de ellos son exteriores, lo que les proporciona abundante luz natural.  Los baños están alicatados con cerámica italiana de la marca MARAZZI, e incluyen sanitarios y grifería de alta gama de GROHE. Además, la vivienda cuenta con un aseo de cortesía que completa la distribución. La vivienda dispone de una zona de lavandería independiente, aportando mayor comodidad y funcionalidad al día a día. Entre las características técnicas destacan el sistema de calefacción y refrigeración mediante suelo radiante frío o calor por aerotermia, complementado con aire acondicionado por conductos en la zona social.  El edificio dispone de portero físico, ascensor, montacargas y dos plazas de garaje en la misma finca. Ubicado en el corazón del Barrio de Salamanca, rodeado de restaurantes de prestigio, boutiques de lujo y con excelentes conexiones de transporte, esta propiedad representa una oportunidad única para vivir o invertir en una de las zonas más codiciadas de Madrid. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",False,good,False,True,13103.0,False,False,False,False,[],False,False,3800000.0,€,flat,"Recoletos, Madrid",Piso,True,True,,
