propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,externalReference
108299151,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/0b/30/1339984985.webp,19,3,375000.0,flat,sale,68.0,True,2,1,calle de San Dimas,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4275473,-3.7082629,False,https://www.idealista.com/inmueble/108299151/,"¡Descubre este espectacular piso recién reformado con las mejores calidades y ubicado en el corazón de Madrid!  Con 68 m² construidos y 67 m² útiles, este inmueble combina modernidad y confort en una ubicación inmejorable, a solo 300 metros de la glorieta de San Bernardo y a un paso de la vibrante Gran Vía. Ideal tanto para inversión como para disfrutar de la vida en una de las zonas más codiciadas de la ciudad. El piso cuenta con 2 habitaciones y un luminoso salón con cocina americana. Además, dispone de armarios empotrados que optimizan el espacio y aire acondicionado para garantizar tu comodidad durante todo el año.  No te pierdas la oportunidad de disfrutar de un balcón que ofrecen vistas al exterior. Este inmueble, situado en la tercera planta, está diseñado para ofrecerte todo lo que necesitas. ¡Ven a visitarlo!",True,good,False,False,5515.0,False,False,False,False,[],False,False,375000.0,€,380000.0,5000.0,1.0,flat,"Malasaña-Universidad, Madrid",Piso en calle de San Dimas,Top,,,,
108746608,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/ac/8f/1355080630.webp,27,4,950000.0,flat,sale,91.0,True,3,2,calle de Joaquín María López,Madrid,Madrid,Chamberí,es,Arapiles,40.4364509,-3.7099916,False,https://www.idealista.com/inmueble/108746608/,"K&N ELITE le ofrece este magnífico piso que ha sido reformado, ofreciendo un espacio moderno y lleno de estilo. Con 3 habitaciones, entre las cuales se incluye una suite privada, este hogar es perfecto para familias o parejas que buscan comodidad y privacidad. Los 2 baños están diseñados con un toque contemporáneo, asegurando que todos los miembros de la familia tengan su propio espacio para relajarse y prepararse durante las rutinas diarias.  Este piso es exterior, lo que significa que disfrutarás de abundante luz natural y vistas agradables desde tus ventanas. La calefacción y el aire acondicionado te permitirán mantener un ambiente agradable durante todo el año, adaptándose a tus necesidades en cada estación. Además, el edificio cuenta con ascensor, lo que proporciona comodidad al acceder al hogar, especialmente si llevas compras o si tienes niños pequeños. Este piso es una excelente opción para quienes buscan un hogar confortable y bien distribuido en una ubicación conveniente. ¡No pierdas la oportunidad de visitarlo y descubrir todo lo que tiene para ofrecer!",True,good,False,True,10440.0,False,False,False,False,[],False,False,950000.0,€,,,,flat,"Arapiles, Madrid",Piso en calle de Joaquín María López,Top,,,,
38168877,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/3c/5f/231942401.webp,29,4,390000.0,duplex,sale,60.0,True,1,2,travesía de San Mateo,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4243191,-3.6975593,False,https://www.idealista.com/inmueble/38168877/,"Dúplex en venta amplio y con un estilo especial! Situado en la cuarta planta de un edificio clasico sin ascensor, este piso de 60 m² construidos te ofrece un diseño diáfano que maximiza cada rincón. En la planta principal, encontrarás un elegante salón con cocina integrada, y chimenea en funcionamiento. Además, cuenta con un práctico cuarto de baño de cortesía. En la segunda planta un dormitorio abierto al salón, creando una atmósfera luminosa. Este espacio incluye un armario empotrado para mantener todo en orden y un cuarto de baño completo. El piso se encuentra en buen estado, dispone de calefacción y aire acondicionado.",False,good,False,False,6500.0,False,False,False,False,[],False,False,390000.0,€,,,,flat,"Chueca-Justicia, Madrid",Dúplex en travesía de San Mateo,Top,duplex,,,
107305842,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/0a/0c/1315513341.webp,21,4,570000.0,flat,sale,58.0,False,2,1,calle de Argensola,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4237606,-3.6953712,False,https://www.idealista.com/inmueble/107305842/,"Piso reformado en venta en la calle Argensola, una de las mejores calles del barrio de Justicia Estudio Argensola te ofrece este encantador piso reformado, situado en la quinta planta de un edificio bien mantenido, que combina modernidad y confort en un solo lugar. Al entrar, serás recibido por un salón que se integra perfectamente con una cocina americana, creando un ambiente abierto y acogedor. La distribución del espacio realza la calidez del hogar. El piso cuenta con dos dormitorios, cada uno diseñado para ofrecer tranquilidad y comodidad. El cuarto de baño ha sido reformado, brindando funcionalidad y estilo. Una de las características más destacadas de este piso es la posibilidad de elevar el techo en la zona del salón más de 1,50 metros. Esta opción te permitirá crear un ambiente aún más amplio y luminoso, dándole un toque único y personalizado a tu hogar. Ubicado en una de las mejores calles del barrio de Justicia lo que te permitirá disfrutar de la vida urbana sin renunciar a la paz y la comodidad que buscas.",True,good,False,True,9828.0,False,False,False,False,[],False,False,570000.0,€,,,,flat,"Chueca-Justicia, Madrid",Piso en calle de Argensola,Top,,,,
108650945,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/10/6b/1351073866.webp,8,1,1700000.0,flat,sale,174.0,True,3,4,calle de Pelayo,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4245478,-3.6981218,False,https://www.idealista.com/inmueble/108650945/,"Piso exterior en Justicia, Centro – Proyecto de reforma iniciado Se vende piso de 174 m² en una de las zonas más demandadas de Madrid, en pleno barrio de Chueca-Justicia, distrito Centro. Se trata de una vivienda con mucha personalidad, con techos de más de 3 metros de altura, muy luminosa con tres balcones al exterior y un trastero. Ubicada en la primera planta con ascensor de un edificio clásico en perfecto estado de conservación, situado en la emblemática Calle Pelayo, a la altura del nuevo hotel en construcción, Sor Madrid, que contará con 5*, rodeado de todos los servicios, restaurantes, zonas comerciales y con perfecta comunicación en transporte público. La vivienda se encuentra con el proyecto de reforma iniciado, con la parte de tabiquería ya ejecutada, lo que permite al comprador adaptar y personalizar la reforma a su gusto. El proyecto de interiorismo diseñado por el Estudio de Arquitectura de Juan Bengoa plantea la siguiente distribución: •Salón-comedor  •Cocina con isla •Aseo de cortesía •3 dormitorios dobles, todos con baño en suite El precio incluye los trabajos realizados hasta la fecha (demoliciones y tabiquería), así como el proyecto de arquitectura e interiorismo desarrollado por Juan Bengoa. El resto de la ejecución de la obra será por cuenta del comprador quedando al margen del precio.  Si te imaginas viviendo en el corazón de Madrid, contáctanos y ven a verlo.",False,renew,False,True,9770.0,True,False,False,False,[],False,False,1700000.0,€,,,,flat,"Chueca-Justicia, Madrid",Piso en calle de Pelayo,Top,,,,
108766727,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/b9/c1/1354534619.webp,36,5,218000.0,flat,sale,70.0,False,3,1,calle Alfaro,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3916634,-3.7390495,False,https://www.idealista.com/inmueble/108766727/,"¡ESTUPENDO PISO EN VENTA EN VISTA ALEGRE – CARABANCHEL! Oca Servicios Inmobiliarios tiene el placer de ofrecer este magnífico piso en venta, ubicado en una de las zonas más consolidadas y con mayor proyección de Carabanchel: Vista Alegre. Ideal tanto para familias como para inversores, esta vivienda representa una excelente oportunidad por su precio, distribución y ubicación. Se encuentra en buen estado, lista para entrar a vivir con pequeñas actualizaciones que permitirán personalizarla al gusto del nuevo propietario. La vivienda se sitúa en la quinta planta de un edificio sin ascensor y cuenta con una superficie de 70 m², distribuidos de forma muy funcional: Amplio salón-comedor, muy luminoso, ideal para disfrutar en familia o con amigos. Tres dormitorios, todos exteriores y con excelente entrada de luz natural. Cocina independiente, equipada con muebles altos y bajos, con salida directa a una acogedora terraza. Baño completo con plato de ducha. UBICACIÓN INMEJORABLE: A tan solo 4 minutos andando de la estación de metro Vista Alegre, con múltiples líneas de autobuses y rodeado de todo tipo de servicios: comercios, supermercados, farmacias, colegios, hospitales y zonas verdes. SOBRE LA ZONA: El barrio de Vista Alegre pertenece al distrito de Carabanchel, al sur de Madrid. Limita con importantes vías como la Avenida de los Poblados, la calle de Eugenia de Montijo y la calle del General Ricardos. A pocos minutos se encuentra el histórico Palacio de Vista Alegre, hoy convertido en espacio multifuncional que alberga conciertos, eventos y cuenta con un centro comercial. La zona destaca por su ambiente familiar, buena oferta gastronómica y excelente comunicación mediante transporte público (líneas de metro: Oporto, Vista Alegre, Carabanchel, Eugenia de Montijo y Carpetana). ¡NO DEJES PASAR ESTA OPORTUNIDAD! Estaremos encantados de atenderte y ayudarte a encontrar tu nuevo hogar. ¿NECESITAS FINANCIACIÓN? ¡Llámanos! Te asesoramos y te acompañamos en todo el proceso.",True,renew,False,False,3114.0,False,False,True,False,[],False,False,218000.0,€,,,,flat,"Vista Alegre, Madrid",Piso en calle Alfaro,Top,,,,
108192330,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9d/dd/87/1336656075.webp,31,2,355000.0,flat,sale,130.0,True,4,2,avenida de la Alcarria,Madrid,Alcalá de Henares,Ensanche,es,,40.4908091,-3.3653022,False,https://www.idealista.com/inmueble/108192330/,"AGENCIA INMOBILIARIA DE ALCALÁ DE HENARES, OFICINA DE TECNOCASA, VENDE EXCELENTE VIVIENDA EN ENSANCHE. La zona cuenta con todos los servicios a su alcance, como centros de salud, colegios e institutos, además de todo tipo de comercios y el centro comercial Alcalá Magna, Estación de tren en Alcalá de Henares y muy bien comunicado con la nacional A-2, además de numerosas paradas de líneas urbanas e interurbanas. Tiene una superficie aproximada de 129 m2 y la vivienda está distribuida en: hall recibidor, cocina amueblada y equipada con electrodomésticos con acceso a terraza tendedero, salón comedor grande y muy luminoso con aire acondicionado, cuatro dormitorios amplios, todos cuentan con armarios empotrados y 2 baños completos, uno de ellos con plato de ducha y otro con bañera, la vivienda cuenta con aire acondicionado en salón y dos dormitorios, pintura en liso en la mayoría de la vivienda, suelo de parqué. Además, en el precio se incluye una plaza de garaje y un cuarto trastero. La finca cuenta con ascensor, zonas comunes con piscina y jardín No lo dude y venga a visitarlo sin compromiso. VENGA A VISITARLO SIN COMPROMISO, Y RECUERDE QUE LE PODEMOS CONSEGUIR HASTA EL 100% DE FINANCIACIÓN CON NUESTRO DEPARTAMENTO FINANCIERO KIRON.",False,good,False,True,2731.0,False,True,False,False,[],False,False,355000.0,€,,,,flat,"Ensanche, Alcalá de Henares",Piso en avenida de la Alcarria,Top,,True,True,
107882123,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/26/13/1327153553.webp,58,1,560000.0,flat,sale,104.0,True,3,2,calle de Puerto Serrano,Madrid,Madrid,Arganzuela,es,Legazpi,40.3856991,-3.6869733,False,https://www.idealista.com/inmueble/107882123/,"¡Nueva vivienda situada en la zona de Los Puertos! Se encuentra situada dentro de una urbanización privada con piscina, plaza de garaje, parque infantil y zonas ajardinadas. La vivien dispone de 104 m² construidos, una opción ideal para quienes buscan amplitud, comodidad y un entorno tranquilo, ha sido reformada y destaca por ser completamente exterior, lo que garantiza una excelente iluminación natural durante todo el día.  Su distribución incluye tres dormitorios, dos baños completos, un salón espacioso y una cocina funcional. La orientación este aporta luz por las mañanas, creando un ambiente cálido y acogedor. Ubicada en un edificio con ascensor, esta vivienda ofrece todas las comodidades de una urbanización moderna, con espacios diseñados para disfrutar del tiempo libre sin salir de casa. Además, la zona cuenta con una buena conexión con transporte público, así como con una amplia oferta de supermercados, colegios, centros de salud y otros servicios esenciales, haciendo que el día a día sea práctico y cómodo. Si buscas un hogar amplio, en una urbanización con todas las comodidades y en una zona bien conectada, contáctanos para más información o para concertar una visita.",True,good,False,True,5385.0,False,True,False,False,[],False,False,560000.0,€,,,,flat,"Legazpi, Madrid",Piso en calle de Puerto Serrano,Top,,True,True,LCM35830
108406399,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/ed/7e/1343722969.webp,47,3,330000.0,flat,sale,73.0,True,1,1,calle de Yécora,Madrid,Madrid,San Blas,es,Rejas,40.4446265,-3.5749789,False,https://www.idealista.com/inmueble/108406399/,"VOhome pone a la venta, acogedor piso de 1 habitación, situado en una 3ª planta, con terraza y vistas completamente despejadas. La vivienda consta de 58m2 útiles, muy bien distribuidos. El recibidor cuenta con un cómodo y práctico armario empotrado. Cocina independiente, con ventana abierta al salón, lo que aporta luz y conexión visual, sin renunciar a la comodidad de un espacio separado. Amplio salón de 19 m2 y un gran ventanal que lo hace muy luminoso. Desde el salón se accede a una terraza de 3m2 con espectaculares vistas, perfecta para desayunar o relajarse al atardecer. Cuenta con un amplio dormitorio de 10 m2 con armario empotrado y baño completo. Suelos de tarima, paredes lisas, carpintería de roble, ventanas climalit, calefacción y aire acondicionado por conducto. Plaza de garaje y trastero incluidos. La urbanización dispone de conserje 24 horas, piscina, gimnasio y zona infantil. Ubicación: El barrio de las Rejas - Plenilunio, se encuentra situado en el distrito de San Blas – Canillejas. En la actualidad, Plenilunio, en el barrio de Rejas, es el epicentro de un complejo comercial-empresarial-social, estando totalmente rodeado de grandes empresas (Centro Comercial Plenilunio, Bauhaus, Makro, Leroy Merlin, Vodafone, Altran, Carrefour, Bimbo, Pallex, Aldi, etc) Además de hoteles orientados a los negocios (Axor,New Boston,Hilton.) La ampliación del Estadio Metropolitano dará lugar a un espacio singular que supondrá el impulso definitivo a la zona Este de la capital, convirtiéndose, además, en uno de los proyectos de referencia de la transformación del Área Metropolitana de Madrid en los próximos años y en uno de los principales reclamos deportivos y de ocio de España. Zonas residenciales destinadas a alquiler vacacional, y a viviendas habituales y centros de ocio. Encontramos también en sus proximidades, el Parque Juan Carlos I, el Parque El Capricho, la Clínica Navarra o la Quinta de los Molinos. Todo ello por supuesto sin contar con su cercanía al aeropuerto Madrid-Barajas, el centro de negocios IFEMA, la terminal de carga de mercancías aeroportuarias, o el puerto seco CTC de Coslada. Se encuentra enmarcada entre algunas de las principales arterias de Madrid, como la M-40 y la NII. Asimismo, está bien comunicado con línea de autobús y búho. Próximo a Sede Vodafone España, Sede Santander, Clínica Navarra y Centro de negocios nudo de Eisenhower. Además de hoteles orientados a los negocios (Axor,New Boston,Hilton.) Tres líneas de autobuses e interurbanos. Contacta con VOhome propiedades para solicitar una visita o información sobre cualquiera de nuestros inmuebles y servicios. No dudes en llamarnos, puedes contactarnos si lo prefieres, en nuestro nuevo local de la calle Boltaña Nº 64, o al Te atenderemos con mucho gusto. VOhome propiedades, somos tu inmobiliaria en Madrid, Te ayudamos a encontrar la casa de tus sueños.",True,good,False,True,4521.0,False,False,False,False,[],False,False,330000.0,€,350000.0,20000.0,6.0,flat,"Rejas, Madrid",Piso en calle de Yécora,Top,,True,True,Carye04-06-2025
106829839,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/df/4a/1295316508.webp,12,2,1175000.0,flat,sale,115.0,True,2,2,calle de Alcalá,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4284402,-3.6686027,False,https://www.idealista.com/inmueble/106829839/,"Precioso piso recién reformado muy próximo a la Plaza de Manuel Becerra, lo que le confiere excelentes comunicaciones con Metro de lineas 2 y 6 en la puerta y numerosas paradas de autobuses urbanos.  La vivienda cuenta con materiales nobles, climatización por aerotermia, doble acristalamiento, cocina equipada con electrodomésticos, dos baños uno de ellos en suite y puerta acorazada. En la zona encontramos numerosos comercios de barrio (supermercados, bancos, comercio al por menor, bares, etc. ), el gimnasio O2 Center y el Parque Maria Eva Duarte de Perón. Muy próximo a El Corte Inglés de Goya, el WiZinc Center y La Plaza de Toros de las Ventas.",False,good,False,True,10217.0,True,False,False,False,[],False,False,1175000.0,€,,,,flat,"Goya, Madrid",Piso en calle de Alcalá,Top,,,,
