propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108600771,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/9a/cf/1349636507.webp,LO-148370 ,23,1795000.0,chalet,sale,358.0,6,5,calle de la Azalea,Madrid,La Moraleja,El Soto de la Moraleja,es,40.5251631,-3.6377317,False,https://www.idealista.com/inmueble/108600771/,"Gilmar Moraleja Consulting ofrece este precioso pareado en una de las arterias principales del Soto de la Moraleja. Distribuido en tres plantas siendo la principal donde se encuentra la zona social, un gran salón con techos de doble altura, escalera vista y claraboya y zona de comedor con acceso a una gran cocina que dispone de una bonita terraza. Es esta misma planta junto a la cocina encontramos habitación de servicio con baño. Esta planta dispone de aseo de cortesía y acceso al jardin con un bonito porche y entrada directa a la piscina comunitaria. En la planta superior encontramos dos bonitos dormitorios secundarios que comparten una terraza y un baño completo secundario, asi como el dormitorio principal con baño y vestidor en suite. El sota no de la vivienda ubicado en planta calle cuenta con una gran salón con cocina, dos dormitorios y un baño secundario y acceso al jardin. El garaje independiente para dos coches tiene acceso directo a la vivivienda. ¿A que estas esperando para ver esta propiedad y actualizarla a tu gusto? La Moraleja es el área residencial de lujo por excelencia de Madrid y la más conocida de España. Se sitúa en la zona Norte de la capital y está compuesta por La Moraleja, El Soto de la Moraleja y El Encinar de los Reyes. Según algunas publicaciones de prestigio mundial, La Moraleja es la mejor urbanización del mundo, teniendo en cuenta sus cualidades: situada a 10 minutos del centro de Madrid y a 5 minutos de la Terminal Internacional 4 del Aeropuerto Adolfo Suárez Barajas, en el término municipal de Alcobendas. Tiene una extensión de 950 hectáreas, con 1.050 viviendas independientes sobre parcelas de 1.500, 2.500 y 10.000 m2 y con 400 chalets adosados en nueve urbanizaciones diferentes. La Moraleja cuenta con el mayor número de colegios privados nacionales e internacionales de toda España, entre otros, el International College, King’s College, San Patricio, Runymede, Los Sauces, Brains, Saint George, Highlands, Aldovea, Liceo Europeo…. Acoge además uno de los dos campus que la Universidad Europea de Madrid tiene en la Comunidad de Madrid. Cuenta asimismo con varios centros comerciales y médicos, dos campos de golf de 18 hoyos, club de tenis, club de paddle, y una de las ofertas gastronómicas más atractivas de Madrid. Hay que destacar La Plaza de la Moraleja, donde se encuentran los principales y más prestigiosos restaurantes de Madrid (A’Kangas, La Máquina, Aurea, La Penela, Sushi99), cafeterías como Pino, o farmacia y bancos. La Moraleja es un área que goza de gran seguridad gracias al sistema de alarmas que está conectado con la Entidad de Conservación de La Moraleja y las garitas de seguridad ubicadas en las diferentes entradas de acceso a la zona. Vivir en la Moraleja significa calidad, exclusividad y comodidad en un entorno inigualable y con los mejores servicios.",False,renew,False,5014.0,True,True,False,True,[],False,True,1795000.0,€,True,True,chalet,semidetachedHouse,"El Soto de la Moraleja, La Moraleja",Chalet pareado en calle de la Azalea,Top+,,,,,,,
108686386,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/c8/a0/1352125611.webp,VM2506099,26,560000.0,flat,sale,50.0,1,1,calle de Ayala,Madrid,Madrid,Barrio de Salamanca,es,40.4274652,-3.6702354,False,https://www.idealista.com/inmueble/108686386/,"PISO CON MUCHAS POSIBILIDADES EN GOYA Aproperties presenta piso de 50m2 según catastro en pleno corazón del barrio de Goya – Salamanca, en la calle Ayala, a dos pasos de la Plaza de Manuel Becerra y del Corte Inglés.   La vivienda actualmente cuenta con 1 dormitorio, 1 cuarto de baño y un amplio salón con diferentes ambientes. Este original espacio, configurado en 2 alturas, se presta para ser convertido en zona de despacho, en un segundo dormitorio, en vestidor...   Tanto desde la cocina como desde el salón, se accede a dos patios de uso privativo de unos 8 m2 cada uno de ellos. El uso y disfrute de dichos patios regala a la vivienda una amplitud extra muy apreciable en el centro de la ciudad.   La vivienda está ubicada en una finca clásica de la primera mitad del siglo XX con servicio de portería.   Nos encontramos con una estupenda oportunidad en el demandado barrio de Goya – Salamanca, con todos los servicios y opciones de ocio al alcance de la mano.   ¿Te imaginas vivir aquí?    Contacte con nosotros para ver más inmuebles similares.",True,renew,False,11200.0,True,True,False,False,[],False,True,560000.0,€,,,flat,,"Goya, Madrid",Piso en calle de Ayala,Top+,bj,False,Goya,False,,,
108299885,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/fa/47/1339987644.webp,DS-88037,27,1800000.0,penthouse,sale,100.0,2,2,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,40.4253668,-3.6820584,False,https://www.idealista.com/inmueble/108299885/,"Ático de capricho en Recoletos DIZA Consultores les presenta este elegante y exclusivo ático de dos dormitorios en pleno Recoletos.  En la sexta planta de un edificio clásico de principios del siglo XX, encontramos esta vivienda reformada a estrenar con las mejores calidades. La zona de día goza de muchísima luz durante todo el día gracias a su altura, balcones y orientación, en uno de los tramos más residenciales y tranquilos. En esta zona encontramos un amplio salón con zona de televisión y lectura súper agradable, y la cocina integrada totalmente equipada. La zona de descanso se compone de dos dormitorios. El principal es de auténtico ensueño, con salida a la terraza y unas vistas envidiables de la mejor zona de Barrio Salamanca. Además cuenta con zona de trabajo y baño en suite.  El dormitorio secundario también es de buen tamaño, con gran cuerpo de armarios. Le da servicio el baño contiguo que también podría hacer las veces de aseo de cortesía.  El edificio cuenta con calefacción central y conserje.  La ubicación del inmueble es inmejorable, a un paso de El Retiro y de los mejores restaurantes y tiendas de la ciudad. El Barrio Salamanca, y en concreto Recoletos, se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,18000.0,True,True,False,False,[],False,True,1800000.0,€,,,flat,penthouse,"Recoletos, Madrid",Ático en calle de Hermosilla,Top+,6,True,Recoletos,True,,,
108088929,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/da/86/1333479068.webp,DS-P88030,20,1550000.0,flat,sale,85.0,2,2,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,40.4255737,-3.6831782,False,https://www.idealista.com/inmueble/108088929/,"DIZA Consultores les presenta este elegante piso de 2 dormitorios en pleno Recoletos. En la quinta planta de un edificio clásico de principios del siglo XX, encontramos esta vivienda reformada a estrenar con las mejores calidades.  La zona de día goza de muchísima luz durante todo el día gracias a su altura, balcones y orientación, dando a una de las mejores calles del Barrio Salamanca, en uno de los tramos más residenciales y tranquilos.  En este zona encontramos un amplio salón con sofás enfrentados, zona de lectura y chimenea, cocina integrada totalmente equipada, y zona de lavandería.  La zona de descanso se compone de dos dormitorios, ambos de buen tamaño, con baño en suite. El edificio cuenta con calefacción individual y portero. La ubicación del inmueble es inmejorable, a un paso de El Retiro y de los mejores restaurantes y tiendas de la ciudad. El Barrio Salamanca, y en concreto Recoletos, se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,18235.0,True,True,False,False,[],False,True,1550000.0,€,,,flat,,"Recoletos, Madrid",Piso en calle de Castelló,Top+,3,True,Recoletos,True,,,
107423464,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/88/78/1312290557.webp,MG203007,32,930000.0,flat,sale,110.0,4,2,calle del General Arrando,Madrid,Madrid,Chamberí,es,40.4309079,-3.6956009,False,https://www.idealista.com/inmueble/107423464/,"En el prestigioso barrio de Almagro, en el distrito de Chamberí, se encuentra esta vivienda de 110 m², ubicada en un edificio clásico construido en 1940. Con 4 dormitorios, 2 baños y una cocina independiente, este piso destaca por su distribución y sus posibilidades. Es un inmueble exterior, orientado al noreste, que cuenta con dos encantadores balcones a la calle y un patio de uso y disfrute de aproximadamente 15 m², convirtiéndolo en una oportunidad única para quienes buscan una propiedad con carácter y potencial. El piso necesita una reforma integral, lo que lo convierte en una excelente oportunidad tanto para quienes desean personalizar su hogar como para aquellos interesados en una inversión con alta rentabilidad. Su altura y luminosidad, junto con la presencia de ascensor y portero, son características que añaden valor a la propiedad. Además, el suelo de tarima y los armarios empotrados dan una idea del confort que se puede lograr tras una renovación. Ubicado en una de las mejores zonas de Chamberí, Almagro es conocido por su elegancia y tranquilidad. Este barrio alberga embajadas, edificios históricos y una oferta cultural destacada, como el Museo Sorolla. A menos de 10 kilómetros se encuentra el Colegio Chamberí Maristas, una institución educativa de prestigio. Para los amantes de las compras, el centro comercial ABC Serrano está a solo unos minutos en coche o transporte público. En cuanto a movilidad, las estaciones de metro más cercanas son Alonso Martínez (líneas 4, 5 y 10) y Rubén Darío (línea 5). Además, las líneas de autobuses, como la 7, 40 y 147, aseguran una excelente conexión con el resto de la ciudad. Gilmar, con más de 40 años de experiencia en el sector inmobiliario, se ha consolidado como una de las firmas líderes en la búsqueda de hogares de ensueño. Desde 1983, nuestra prioridad ha sido ofrecer un servicio personalizado y de calidad, ayudando a nuestros clientes a encontrar no solo una casa, sino un lugar para vivir. Si deseas más información sobre este inmueble, no dudes en contactar con nuestro equipo especializado de Chamberí-Argüelles. Estamos en C/ Carranza, 20, y puedes llamarnos al o enviarnos un correo a. Indícanos la referencia 203007 para poder atenderte de manera más eficiente.",False,good,False,8455.0,True,True,False,False,[],False,True,930000.0,€,,,flat,,"Almagro, Madrid",Piso en calle del General Arrando,Top+,en,True,Almagro,True,,,
108088921,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/61/07/1333479213.webp,DS-P88033,46,1550000.0,flat,sale,115.0,3,4,calle del Conde de Peñalver,Madrid,Madrid,Barrio de Salamanca,es,40.428196,-3.6752882,False,https://www.idealista.com/inmueble/108088921/,"DIZA Consultores presenta esta elegante propiedad de 115 metros cuadrados en una ubicación privilegiada, junto al Corte Inglés de Goya.  Este exclusivo inmueble, situado en un edificio clásico de principios del siglo XX, garantiza gran luminosidad a lo largo del día, debido a su orientación, creando un ambiente cálido y acogedor. El salón, con una biblioteca fantástica, se conecta con dos grandes ventanales a la calle, ofreciendo vistas despejadas. La cocina esta perfectamente integrada en la zona social, con electrodomésticos de alta gama y comedor. Respecto a la zona privada, la propiedad cuenta con tres dormitorios, todos en suite, ofreciendo máxima privacidad y confort. Además, su magnífica distribución tras un gran proyecto ha permitido disponer de un aseo de cortesía y espacio para lavandería para mayor comodidad.  La combinación de una excelente distribución, acabados de calidad y una ubicación inmejorable hace de esta propiedad una oportunidad única para quienes buscan un hogar exclusivo en la zona más cotizada de Madrid.  DIZA Consultores. Convertimos Sueños en Hogares.",True,good,False,13478.0,True,True,False,False,[],False,True,1550000.0,€,,,flat,,"Goya, Madrid",Piso en calle del Conde de Peñalver,Top+,1,True,Goya,True,,,
107308505,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/ae/a9/1328710486.webp,VM2506028,28,985000.0,flat,sale,129.0,2,2,calle del Divino Pastor,Madrid,Madrid,Centro,es,40.4284448,-3.7033004,False,https://www.idealista.com/inmueble/107308505/,"PISO A REFORMAR EN MALASAÑA  VIVIENDA CON ENCANTO EN EL CORAZON DE MALASAÑA. Nada más llegar nos encontramos un gran hall de entrada que divide la zona de noche y la zona de día, a la derecha encontramos el salón comedor con dos grandes ventanales a la calle, chimenea de época y mucha luz, a la izquierda encontramos la cocina, habitación con cuarto de baño separado y habitación principal con cuarto de baño incorporado. Sin duda alguna la zona mas agradable es el salón que cuenta dos ventanales y chimenea original. La vivienda incluye plaza de garaje. En caso de reforma, tiene muchas posibilidades. ¿TE IMAGINAS VIVIR AQUI?  Contacte con nosotros para ver más inmuebles similares.",True,good,False,7636.0,True,True,False,False,[],False,True,985000.0,€,True,True,flat,,"Malasaña-Universidad, Madrid",Piso en calle del Divino Pastor,Top+,1,True,Malasaña-Universidad,True,1060000.0,75000.0,7.0
107233356,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/10/6a/1333411234.webp,W-02YMV5,31,870000.0,flat,sale,103.0,2,2,calle de Bravo Murillo,Madrid,Madrid,Chamberí,es,40.4360583,-3.7064772,False,https://www.idealista.com/inmueble/107233356/,"Elegante apartamento reformado en el prestigioso Chamberí Bienvenido a un apartamento excepcional en el corazón de Madrid, un espacio de 103 metros cuadrados que define la elegancia contemporánea. Este apartamento, completamente renovado en 2025, ofrece un estilo de vida sofisticado y cómodo en un entorno urbano privilegiado. El apartamento irradia luminosidad y un ambiente de serenidad. Sus dos dormitorios y dos baños, incluyendo un baño principal, ofrecen privacidad y confort. Los suelos de madera noble aportan calidez, mientras que la integración de electrodomésticos empotrados y armarios cuidadosamente diseñados maximizan el espacio y la funcionalidad. Las vistas despejadas añaden un toque especial a la experiencia diaria. La presencia de dos balcones, promete momentos de relax y disfrute. El apartamento se encuentra en impecables condiciones, reflejando una atención meticulosa al detalle y la utilización de materiales de primera calidad. Experimente el lujo discreto y la comodidad inigualable de este apartamento madrileño. Su diseño inteligente, su ubicación privilegiada y sus acabados de alta gama lo convierten en una oportunidad excepcional para aquellos que buscan una vida urbana refinada y sin compromisos. Descubra un estilo de vida incomparable en el prestigioso barrio de Chamberí, Madrid. Esta excepcional propiedad le ofrece acceso a la rica historia, la vibrante cultura y el sofisticado estilo de vida madrileño, a la vez que proporciona un tranquilo refugio en el corazón de la ciudad. A poca distancia se encuentran los emblemáticos parques de Madrid, como el Parque del Oeste, alcanzable en un corto trayecto en taxi (aproximadamente 10 minutos) o en transporte público (metro y autobús, unos 15 minutos). Disfrute de la tranquilidad de estos espacios verdes, ideales para paseos relajantes o picnics al aire libre. La excelente infraestructura de la zona incluye un fácil acceso a una amplia gama de servicios. Supermercados gourmet, boutiques de lujo y restaurantes de renombre internacional se encuentran a poca distancia a pie. El transporte público es excepcional; la estación de metro más cercana está a solo 5 minutos caminando, proporcionando conexiones rápidas y eficientes a cualquier punto de Madrid. Llegar al centro histórico, incluyendo la Puerta del Sol y el Palacio Real, toma aproximadamente 15 minutos en metro. Para aquellos que prefieren conducir, el aeropuerto Adolfo Suárez Madrid-Barajas está a unos 30 minutos en coche, dependiendo del tráfico. Chamberí ofrece una amplia variedad de actividades de ocio. Desde museos de arte mundialmente reconocidos hasta teatros con programación de primer nivel, pasando por una vibrante escena cultural con galerías de arte independientes y cines boutique. La zona también alberga numerosos bares de tapas tradicionales y restaurantes de cocina internacional, garantizando una experiencia gastronómica inolvidable. Para los amantes del arte, el Museo Sorolla se encuentra a un corto paseo, ofreciendo un fascinante vistazo a la vida y obra de este reconocido pintor español. Una de las características especiales de esta ubicación es su ambiente tranquilo y residencial, a pesar de su proximidad al bullicio del centro de Madrid. Las calles arboladas, los edificios históricos y la atmósfera serena crean un oasis de paz en el corazón de la ciudad. El carácter exclusivo del barrio, con sus edificios señoriales y sus amplias plazas, refuerza la sensación de exclusividad y tranquilidad. En resumen, esta propiedad en Chamberí ofrece una oportunidad única de experimentar la vida madrileña en su máxima expresión. La combinación perfecta entre la tranquilidad de un barrio residencial de lujo y la cercanía a las atracciones culturales, gastronómicas y de ocio más importantes de Madrid, hace de esta ubicación una inversión excepcional para aquellos que buscan un estilo de vida sofisticado y cómodo.",False,good,False,8447.0,True,True,False,False,[],False,True,870000.0,€,,,flat,,"Arapiles, Madrid",Piso en calle de Bravo Murillo,Top+,3,True,Arapiles,True,,,
108309054,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/68/22/1340265143.webp,VMN2505007,67,1180000.0,chalet,sale,518.0,6,5,paseo del Rebeco,Madrid,Ciudalcampo,,es,40.6162134,-3.6163677,False,https://www.idealista.com/inmueble/108309054/,"CASA PARA REFORMAR CON GRAN POTENCIAL   aProperties Real Estate presenta bonita vivienda para reformar y con gran potencial, ideal para familias que quieran darle una segunda vida, o para cliente inversor.   Ubicada en una zona tranquila de la urbanización, consta de una buena distribución, buena calidad constructiva, vistas despejadas y un agradable jardín maduro.    La vivienda, de algo más de 500m2, distribuidos en dos plantas, se alza sobre una parcela de 2.600m2.   Sus espacios son amplios y luminosos, y en la planta principal, todas las estancias tienen grandes ventanales y salida directa a los diferentes rincones del jardín.   Su buena distribución hace que la casa sea muy cómoda y disfrutable.     Planta principal: desde un acogedor recibidor accedemos a un amplio salón comedor, con diferentes ambientes, bonita chimenea y ventanales que conectan el salón con el porche y frondoso jardín.   En la misma planta se ubica una cómoda cocina cuadrada con comedor de diario y salida al porche y jardín, despensa, aseo de cortesía, amplio dormitorio con baño en suite, zona de servicio,  garaje para dos coches, cuarto de instalaciones y cuarto de almacenaje.   Primera planta:   amplio distribuidor que puede ser utilizado como family room, cuatro amplios dormitorios abuhardillados y dos baños.   En el jardín, hay una zona de porche y piscina, muy agradable y conectada con las estancias de la vivienda, lo que hace que la casa sea muy disfrutable y vivible.   Al fondo del jardín hay una cochera abierta y una zona de almaceje.    Una vivienda de excelente calidad constructiva, una distribución cómoda, en un entorno idílico y con gran intimidad, ideal para disfrutar con familia y amigos.    aProperties les invita a visitar nuestra web donde podrán encontrar todos los inmuebles que comercializamos. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,renew,False,2278.0,True,True,False,False,[],False,True,1180000.0,€,True,True,chalet,independantHouse,Ciudalcampo,Casa independiente en paseo del Rebeco,Top+,,,,,1295000.0,115000.0,9.0
106770687,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/79/17/1298252610.webp,M30591V,89,1339000.0,penthouse,sale,161.0,3,2,calle de Alustante,Madrid,Madrid,Chamartín,es,40.4421826,-3.668665,False,https://www.idealista.com/inmueble/106770687/,"Walter Haus presenta este exclusivo ático reformado con terraza y piscina, una propiedad que destaca por su diseño contemporáneo y detalles de alta calidad. Con una superficie de 161 m², esta vivienda ofrece espacios amplios y funcionales que invitan al confort y al disfrute. Su distribución, cuidadosamente diseñada, combina estética y practicidad en cada rincón. El ático cuenta con un luminoso salón-comedor con acceso directo a una impresionante terraza equipada con zona chill out, comedor al aire libre, espacio de barbacoa y una piscina para aprovechar todo el año. La cocina, abierta al salón, está completamente equipada con electrodomésticos de última generación, y ofrece la posibilidad de cerrarse según las necesidades. La zona de descanso dispone de tres dormitorios, un baño completo y un aseo de cortesía. El tercer dormitorio, más compacto, se adapta perfectamente como despacho, sala de juegos o habitación de invitados. Ubicado en una finca señorial con portero, este ático está estratégicamente situado cerca de la Avenida de América, entre las emblemáticas calles Clara del Rey y Corazón de María. Su entorno combina tranquilidad con una excelente conexión a servicios y transporte público, ideal para un estilo de vida sofisticado en el corazón de Madrid. Esta propiedad ofrece el equilibrio perfecto entre comodidad y exclusividad, siendo una oportunidad única para quienes buscan un hogar excepcional en una ubicación privilegiada. En Walter Haus, estaremos encantados de asesorarle y ayudarle a convertir este ático en su nuevo hogar. Contáctenos para más información. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",True,good,False,8317.0,True,True,False,False,[],False,True,1339000.0,€,,,flat,penthouse,"Prosperidad, Madrid",Ático en calle de Alustante,Top+,7,True,Prosperidad,True,,,
