propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108814710,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/2b/54/1358743081.webp,FP179743,98,3000000.0,countryHouse,sale,892.0,9,8,carretera de Guadarrama,Madrid,San Lorenzo de El Escorial,La Pizarra,es,40.6210971,-4.1119757,False,https://www.idealista.com/inmueble/108814710/,"Villa Escorial Park: Exclusividad y naturaleza al alcance de tus manos Ubicada en un entorno natural privilegiado, **Villa Escorial Park** es una propiedad única que combina lujo, privacidad y una ubicación estratégica, a tan solo 4 kilómetros de San Lorenzo de El Escorial. Esta impresionante villa es el escenario perfecto para eventos memorables, reuniones con amigos o retiros familiares. Con una superficie total de la finca de 19.498 m², esta propiedad destaca no solo por su amplitud, sino también por su versatilidad y rentabilidad, generando un 8% de retorno gracias a su capacidad para desarrollar eventos singulares. La villa cuenta con nueve habitaciones con capacidad para albergar hasta 30 personas y ocho baños, diseñados con un estilo elegante y funcional. Entre sus características más destacadas, se encuentra un cine privado que garantiza entretenimiento de primer nivel, una espectacular piscina exterior rodeada de jardines que invitan al relax, y un pozo propio que asegura la sostenibilidad de la finca. Además, para los amantes de los caballos, la finca incluye un centro hípico con pupilaje para 20 caballos, convirtiéndola en un espacio único para disfrutar de la naturaleza y el deporte ecuestre.  GILMAR: 40 años liderando el sector inmobiliario Desde 1983, en **GILMAR** hemos ayudado a miles de clientes a encontrar la casa de sus sueños. Nuestra experiencia y compromiso nos convierten en líderes del sector inmobiliario, ofreciendo un servicio integral y personalizado en cada operación.  Si deseas más información sobre esta propiedad excepcional, por favor, contacta con nuestro equipo especializado en **Capital Markets**. Estamos en la **Calle Goya 47, Planta 5**, Madrid. Puedes llamarnos al ** ** o escribirnos a ****. No olvides facilitarnos la referencia **212656** para que podamos atenderte con mayor agilidad.",True,good,False,3363.0,True,True,False,False,[],False,False,3000000.0,€,True,True,countryHouse,countryHouse,"La Pizarra, San Lorenzo de El Escorial",Finca rústica en carretera de Guadarrama,Destacado,,,,,,,,
108489661,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/e7/e9/1347693541.webp,AR209472 - 2,34,350000.0,flat,sale,51.0,2,1,calle de Voluntarios Macabebes,Madrid,Madrid,Arganzuela,es,40.3942612,-3.6949245,False,https://www.idealista.com/inmueble/108489661/,"Esta exclusiva vivienda, ubicada en el corazón de Legazpi, distrito de Arganzuela, se presenta como una oportunidad única para quienes buscan un hogar moderno, luminoso y con una ubicación privilegiada en Madrid. Con una superficie construida de 51 m², esta vivienda, totalmente reformada a estrenar y con excelentes calidades, está diseñada para ofrecer el máximo confort y funcionalidad. Dispone de dos dormitorios principales, un baño completo y un salón-comedor integrado con cocina americana, ideal para disfrutar de cada rincón del espacio. Además, cuenta con aire acondicionado, garantizando comodidad en todo momento. La orientación de la vivienda y sus amplios ventanales permiten una entrada constante de luz natural, convirtiéndola en un espacio muy luminoso. El edificio, construido en 1930, está equipado con ascensor y portero automático, lo que añade comodidad y accesibilidad. El suelo porcelánico de alta calidad y los acabados modernos son solo algunos de los detalles que hacen de esta propiedad una joya en el mercado inmobiliario. Tiene derecho al uso de un tercio de un patio bastante amplio.  Entorno y conexiones El barrio de Legazpi es conocido por ser una de las zonas más vibrantes y en auge de Madrid. A pocos pasos de la vivienda se encuentran el emblemático Matadero Madrid, un centro cultural de referencia, y Madrid Río, un extenso parque urbano perfecto para paseos, actividades deportivas o simplemente disfrutar al aire libre. La oferta de ocio, gastronomía y cultura en la zona es inmejorable. En cuanto a conexiones, la vivienda está perfectamente comunicada. A menos de 10 minutos a pie encontrarás las estaciones de metro Legazpi (líneas 3 y 6) y Arganzuela-Planetario (línea 6), así como las líneas de autobuses 62, 148 y 156. Para quienes necesiten utilizar Cercanías, la estación de Méndez Álvaro (líneas C1, C5 y C10) está a solo unos minutos. Además, el Centro Comercial Plaza Río 2, con su variada oferta de tiendas, restaurantes y servicios, se encuentra a escasos metros de la propiedad, facilitando aún más el día a día. Para familias con niños, el Colegio Beata María Ana de Jesús, situado a menos de 10 minutos, es una excelente opción educativa. Desde 1983, GILMAR se ha dedicado a ayudar a sus clientes a encontrar la casa de sus sueños, ofreciendo un servicio profesional y personalizado que se adapta a las necesidades de cada persona. Con una trayectoria impecable en el sector inmobiliario, GILMAR destaca por su compromiso, experiencia y pasión por hacer realidad los sueños de miles de familias. Para más información sobre esta vivienda, no dudes en contactar con nuestro equipo en la oficina de Embajadores, ubicada en la Calle Embajadores, 80. Teléfono: Email:. Por favor, facilita la referencia 209472 al ponerte en contacto con nosotros. ¡Estaremos encantados de ayudarte!",True,good,False,6863.0,True,True,False,False,[],False,False,350000.0,€,,,flat,,"Chopera, Madrid",Piso en calle de Voluntarios Macabebes,Destacado,bj,True,Chopera,True,360000.0,10000.0,3.0,
106638110,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/d8/92/1290709291.webp,443-C,82,1190000.0,chalet,sale,336.0,4,3,calle de la Luna,Madrid,Santo Domingo,,es,40.6308765,-3.5753034,False,https://www.idealista.com/inmueble/106638110/,"ABETO COCHES Y CASAS - Estupenda vivienda de cómoda distribución, con amplios espacios y grandes ventanales que aportan mucha luz natural a toda la casa. Con bonita parcela completamente ajardinada y mucha privacidad. Garaje privado para dos coches. En planta principal dispone de un amplio salón comedor con techo a doble altura, amplios ventanales, chimenea y salida directa a una gran terraza con vistas al jardín y piscina, cocina office con ventana americana abierta al salón y con salida a la terraza del jardín. En esta misma planta cuenta con dos dormitorios y baño completo.  En planta superior tenemos una zona de estar con salida a la terraza superior, dos amplios dormitorios de los cuales el dormitorio principal con baño en suite y vestidor. Dispone además de un estupendo porche frente a la piscina con un aseo exterior que da servicio a la piscina y jardín, así como otro gran salón con barra bar ideal como txoco y sala de juegos. ABETO COCHES Y CASAS - VEN A VERNOS A NUESTRA OFICINA EN EL CENTRO COMERCIAL DE SANTO DOMINGO-  ref: 443-C.",True,good,False,3542.0,True,True,False,True,[],False,False,1190000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en calle de la Luna,Destacado,,,,,,,,
108544388,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/bc/f7/1349784146.webp,480-C,82,1560000.0,chalet,sale,407.0,6,5,calle del Parque,Madrid,Santo Domingo,,es,40.635296,-3.5847532,False,https://www.idealista.com/inmueble/108544388/,"ABETO COCHES Y CASAS - Magnífica vivienda con inmejorable ubicación, muy cercana al control de seguridad de Santo Domingo y a pocos minutos andando del centro comercial.  Completamente reformada, con espectaculares vistas y precioso jardín. Piscina privada de cloración salina y orientación sur, gran pradera de césped, campo de futbol y baloncesto. El salón y los dormitorios cuentan con aire acondicionado. En planta principal dispone de un amplio salón comedor en dos ambientes con chimenea y amplios ventanales que se abren al magnífico porche del jardín. Gran cocina office con isla central y salida directa al jardín, completa esta planta el aseo de cortesía. En planta superior cuenta con dos dormitorios que comparten un baño y otros dos dormitorios que comparten otro baño. En planta alta tenemos la suite principal, un amplio dormitorio con salida a una terraza privada con espectaculares vistas, vestidor y baño privado en suite. En planta baja cuenta con la habitación de servicio, baño y garaje privado para dos coches con punto de carga para coches eléctricos. ABETO COCHES Y CASAS - VEN A VERNOS A NUESTRA OFICINA EN EL CENTRO COMERCIAL DE SANTO DOMINGO -  ref: 480-C.",True,good,False,3833.0,True,True,False,False,[],False,False,1560000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en calle del Parque,Destacado,,,,,1625000.0,65000.0,4.0,
108352485,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/b8/08/1348421833.webp,RO207122,38,785000.0,chalet,sale,480.0,6,5,calle Halcón,Madrid,Villanueva de la Cañada,Raya del Palancar - Guadamonte,es,40.4227197,-3.9734604,False,https://www.idealista.com/inmueble/108352485/,"Gilmar presenta en exclusiva este magnífico chalet independiente, situado en la urbanización de La Raya del Palancar, en Villanueva de la Cañada. La vivienda ofrece una combinación inigualable de confort y un toque de modernidad, con espacios amplios y versátiles ideales para toda la familia. Cuenta con una superficie construida de 480 m², ubicada sobre una amplia parcela en esquina de 1.569 m² que garantiza gran privacidad, ya que solo colinda con dos viviendas. El jardín, totalmente consolidado, incluye árboles frutales y una gran piscina, creando un entorno perfecto para disfrutar de reuniones con familiares y amigos. Una vivienda con grandes posibilidades de reforma, muy familiar, acogedora y muy luminosa que se distribuye en dos plantas más buhardilla, con unas vistas espectaculares, ideal para poner una sala de juegos e incluso un gimnasio en el que disfrutar de sus espectaculares vistas mientras haces deporte. En la planta baja, encontramos dos amplios salones, una cocina independiente totalmente equipada con zona de lavado, un aseo y un dormitorio con baño en suite, ideal para invitados o como habitación principal en esta planta.  La primera planta se divide en dos alas, separadas por una acogedora zona de estar. En el ala principal, se sitúa una impresionante suite con gran terraza privada, un dormitorio individual y un dormitorio doble, todos ellos con grandes ventanales que ofrecen fantásticas vistas y una excelente iluminación natural. En el ala secundaria, se encuentran dos grandes dormitorios adicionales que comparten un baño completo. La buhardilla cuenta con dos estancias con gran ventanal y bonitas vistas al encinar; un espacio ideal para instalar una sala de juegos o gimnasio. El chalet cuenta con una solida construcción diseñada por el arquitecto Diego Moya, incluyendo carpintería interior de madera, carpintería exterior de aluminio, suelos de parquet, calefacción por gasoil, aire acondicionado y placas solares. Además, dispone de una piscina privada y un amplio jardín, perfectos para disfrutar de los días soleados, así como dos plazas de garaje. La ubicación es otro de los grandes atractivos de esta propiedad. En un radio de menos de 10 kilómetros, se encuentra el prestigioso Colegio Internacional Kolbe, conocido por su excelente nivel educativo. Para las compras y el ocio, el Centro Comercial Gran Plaza 2 está a poca distancia en coche, ofreciendo una amplia variedad de tiendas, restaurantes y servicios. En cuanto al transporte, la zona está bien comunicada por varias líneas de autobuses, como la línea 627, que conecta Villanueva de la Cañada con Madrid. Además, la proximidad a la A-6 facilita el acceso a la capital y otras áreas de interés. Raya del Palancar es una tranquila y exclusiva zona residencial, ideal para quienes buscan un entorno seguro y apacible sin renunciar a las comodidades de la vida urbana. La urbanización destaca por sus amplias áreas verdes y su ambiente familiar, ofreciendo una excelente calidad de vida a sus residentes. Desde 1983, GILMAR se ha dedicado a ayudar a sus clientes a encontrar la casa de sus sueños, brindando un servicio profesional y personalizado. Si deseas más información sobre este inmueble con referencia 207122, no dudes en ponerte en contacto con nuestro equipo en la oficina de Boadilla, ubicada en la Glorieta Virgen María, 7. Puedes llamarnos al o enviarnos un correo electrónico a. Estaremos encantados de asistirte en todo lo que necesites. y si además necesitas vender tu vivienda, estaremos encantados de poder asesorarte y proporcionarte una valoración, sin ningún compromiso. Vender tu vivienda con Gilmar es sinónimo de garantía. No pierdas la oportunidad de vivir en esta espectacular propiedad que combina lujo, confort y una excelente ubicación.",True,good,False,1635.0,True,True,False,True,[],False,False,785000.0,€,True,True,chalet,independantHouse,"Raya del Palancar - Guadamonte, Villanueva de la Cañada",Casa independiente en calle Halcón,Destacado,,,,,800000.0,15000.0,2.0,
106188793,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/2a/5a/1276694635.webp,CG202297 ,33,485000.0,chalet,sale,220.0,4,4,calle de Jorge Manrique,Madrid,Algete,,es,40.598407,-3.5050358,False,https://www.idealista.com/inmueble/106188793/,"GILMAR Zona Norte presenta, en exclusiva, un estupendo chalet adosado de 220 m2 situado al lado del Centro comercial Puerta de Algete por lo que el acceso a los servicios comerciales está a un solo paso. El chalet con una excelente calidad constructiva dispone de 4 plantas y cuenta con 4 dormitorios y 4 baños. Desde la entrada a la casa se accede a un precioso salón comedor con chimenea muy amplio. También en la planta principal se sitúa el aseo de cortesía, la cocina con office y la zona de lavado y plancha con acceso a la terraza de la casa. La zona privada se sitúa en la primera planta donde está el dormitorio principal con baño en suite así como dos dormitorios y dos cuartos de baño. Además hay una buhardilla diáfana con multitud de armarios y terraza que puede ser utilizada como playroom, biblioteca o despacho. El sótano de la casa dispone de una habitación y un cuarto de baño así como de espacio para almacenaje.  El garaje es cerrado para dos coches.  Algete es una localidad situada en el noreste de la Comunidad de Madrid, a escasos kilómetros de la capital. El municipio tiene unos excelentes servicios e infraestructuras, ofreciendo a sus habitantes todo lo necesario para no tener que desplazarse a otras áreas, como múltiples escuelas infantiles (2 públicas y 4 privadas), 7 colegios públicos de educación infantil y primaria y 2 institutos de educación secundaria, centros de ocio y deportivos, centros sanitarios, centros empresariales e industriales como Ciudad de Telefónica, BBVA La Vela, etc. La comunicación es inmejorable cuenta con accesos directos desde la A1 (Burgos), aunque también cuenta con la vía de circunvalación M-50 y la autopista de peaje R-1 en paralelo a la A-1, a nivel particular e igualmente perfectamente comunicada con Madrid a través de una amplia red de autobuses interurbanos, que salen desde Algete y otros municipios aledaños. No podemos olvidarnos del maravilloso clima mediterráneo continental, de inviernos no muy fríos y veranos cálidos y la avifauna típica de la región del Jarama. Su cercanía a Madrid capital y su entorno rodeado de naturaleza, hacen que Algete sea un lugar ideal para vivir. En Gilmar trabajamos para ofrecer a nuestros clientes las mejores propiedades, con equipos especializados en cada zona para proporcionarles la mejor alternativa a sus necesidades de vivienda, con todas las excelencias y cuidando al máximo los detalles.",True,good,False,2205.0,True,True,False,True,[],False,False,485000.0,€,True,True,chalet,terracedHouse,Algete,Chalet adosado en calle de Jorge Manrique,Destacado,,,,,,,,
103933173,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/01/e3/1204826026.webp,Lo194080,48,470000.0,studio,sale,64.0,0,1,calle de Dulce Chacón,Madrid,Madrid,Hortaleza,es,40.4877021,-3.670201,False,https://www.idealista.com/inmueble/103933173/,"Gilmar Moraleja Consulting ofrece este apartamento en venta en Torre Australis, un impresionante edificio de 77 metros de altura. Este luminoso y acogedor piso cuenta con un bonito salón y una cocina americana totalmente equipada. Además, dispone de una terraza orientada al sur, perfecta para disfrutar del sol y las vistas. La habitación principal cuenta con un armario forrado y vestido, y un baño en suite con plato de ducha y toallero eléctrico calefactable. El piso también cuenta con calefacción central mediante suelo radiante con contador independiente y control de calefacción por estancias, aire acondicionado, persianas motorizadas y cristales con control solar. Ubicado en la exclusiva Isla Chamartin, este inmueble ofrece más de 5.000 metros cuadrados de zonas verdes, ideal para disfrutar de la naturaleza en plena ciudad. Además, cuenta con una piscina desbordante con chorros de presión terapéutica, una piscina infantil desbordante y una piscina panorámica en la última planta del edificio. El edificio también cuenta con mobiliario de diseño en zonas comunes, dos pistas de pádel, zona de juegos infantiles, zona de CrossFit, coworking, gimnasio y sala deportiva, spa center con sauna y jacuzzi, club social con billar y futbolín, espacio de cine, gastroteca, zona chillout, seguridad 24h, servicio de paquetería y servicio de alquiler de vehículo. No pierdas la oportunidad de vivir en este exclusivo y completo edificio. ¡Contáctanos ahora para más información! Sanchinarro es un área residencial ubicada en el barrio de Valdefuentes, en el distrito de Hortaleza de Madrid. Se comenzó a construir a principios de los años 2000 y está situado al este de la Autovía del Norte (A-1), lindando al oeste con Las Tablas, al este con Valdebebas, al sur con Manoteras y con Virgen del Cortijo y al norte con la urbanización El Encinar de los Reyes, ya perteneciente a Alcobendas. La zona cuenta con comercios de referencia como El Corte Inglés, dos hospitales privados, el Hospital Sanitas - La Moraleja y el Hospital de Madrid Norte – Sanchinarro, así como con acceso cercano a colegios, parques y zonas de ocio y restauración. Está muy bien conectada, tanto por autobús, Metro, Cercanías y Metro ligero. Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visite nuestra web y encuentre la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario.",True,good,False,7344.0,True,True,False,False,[],False,False,470000.0,€,True,True,flat,studio,"Virgen del Cortijo - Manoteras, Madrid",Estudio en calle de Dulce Chacón,Destacado,3,True,Virgen del Cortijo - Manoteras,True,,,,
108601689,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/3b/c2/1357821094.webp,almaguer,28,334900.0,duplex,sale,139.0,3,2,calle de Andrés de Almaguer,Madrid,El Escorial,Centro,es,40.5871824,-4.1283587,False,https://www.idealista.com/inmueble/108601689/,"INMOBILIARIA ""HOGARES EL ESCORIAL"" VENDE ESTE ESPECTACULAR PISO EN CENTRO DE EL ESCORIAL - EL ESCORIAL. En pleno corazón de El Escorial, se presenta este espectacular piso dúplex totalmente reformado, una vivienda a estrenar que combina a la perfección el encanto del estilo rústico con la elegancia de lo moderno. Con una superficie de 139 m², esta propiedad ofrece espacios amplios y luminosos distribuidos en dos plantas cuidadosamente diseñadas. La vivienda cuenta con tres acogedoras habitaciones y dos baños completos equipados con modernos platos de ducha. El salón y la cocina se integran en un espacio abierto que favorece la convivencia y aporta una sensación de amplitud única. Los materiales de alta calidad utilizados en la reforma garantizan confort y durabilidad, destacando unas calidades inmejorables en cada detalle. Dispone de dos balcones que permiten disfrutar de la vida del centro del pueblo, aportando luz natural durante gran parte del día. La ubicación es inmejorable, se encuentra en pleno centro de El Escorial, muy cercano a todos los servicios, comercios y transporte a pocos pasos. Una propiedad singular que destaca no solo por su excelente ubicación, sino también por su diseño cuidado y su carácter único. *Este anuncio no es vinculante, puede contener errores. Se muestra a título informativo y no contractual. *.",True,good,False,2409.0,True,True,False,True,[],False,False,334900.0,€,,,flat,duplex,"Centro, El Escorial",Dúplex en calle de Andrés de Almaguer,Destacado,1,True,,False,345000.0,10100.0,3.0,
106536597,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/30/56/1291512365.webp,,82,1795000.0,chalet,sale,730.0,5,5,calle Alta,Madrid,Santo Domingo,,es,40.6365138,-3.5712793,False,https://www.idealista.com/inmueble/106536597/,"En una de las urbanizaciones mas cotizadas de la zona norte de Madrid sobre parcela de mas de 7000m2 y con unas vistas espectaculares hacia el Valle del Jarama sacamos al mercado esta singular propiedad.  Según entramos en la vivienda encontramos el hall recibidor con un armario gabanero y un aseo para invitados.  A mano derecha y subiendo unas escaleras encontramos la zona Wellnes, un espacio en el que el propietario montó un gimnasio completo con una piscina de nado infinito, un jacuzzi, una sauna, zona de pesas, etc... Este espacio es muy agradable debido a que el techo es retráctil y permite una magnifica luz natural.  En esta misma planta tenemos 2 cuartos de baños gigantes uno de ellos con una bañera inmensa tipo Jacuzzi con unas calidades de la época insuperables y que darían servicio a las cuatro habitaciones que hay en esta parte de la casa. Las habitaciones son enormes, con vistas hacia el Valle del Jarama, permitiendo prácticamente durante todo el día una luz natural sensacional. Desde esta misma planta suben unas escaleras hacia la parte mas alta de la casa y encontramos la Master Suite.  Si las otras estancias eran enormes esta habitación es literalmente gigante. Tiene un cuarto de baño con una gran Jacuzzi, ducha de gran tamaño, vestidor para dos personas y espacio para no molestarte con tu pareja nunca.  En esta misma planta sale un pasillo que comunica con uno de los salones de la casa en el que hay una chimenea, una línea de armarios para guardar lo que se te pase por la cabeza y en el que actualmente el propietario ha puesto su despacho.  En esta misma planta podemos acceder a la zona de garaje y a otra estancia que puede ser perfectamente otra habitación.  Bajamos a la zona principal por la que habíamos entrado inicialmente y damos a una zona de estar con un jardín vertical con una bonita fuente y con techo retráctil que hace que estancia se ideal para poder leer un libro o simplemente como elemento decorativo. Inmediatamente después de esta zona esta el gran salón con una zona de juegos compuesta por un billar, zona de lectura con chimena y un precioso bar con vistas a la mejor zona de la casa. La siguiente estancia es el salón de diario y justo encima de este un estudio o despacho. Pasamos a la zona de cocina y servicio, con un comedor para 12 comensales una cocina muy grande y zona de despensa. Ahora pasemos a la zona exterior. La propiedad tiene su propia pista de pádel, un merendero con zona de barbacoa, una piscina de 20m2 que se puede climatizar, unas cancha de baloncesto, zona de juegos de niños e incluso un a zona para hacer lanzamiento de disco. El garaje tiene dos entradas, y en el caben mas de 4 coches, con una zona de taller. En la parte sótano de la casa estaba el antiguo cine y la bodega.  Es la única urbanización que dispone de doble canalización de agua que procedente del Canal de Isabel Segunda y se optimiza con dos pozos propios que tiene para poder llenar la piscina y regar el magnifico jardín. La seguridad es impresionante, pues si salta la alarma de cualquier casa en tan solo 3 minutos tienes a una patrulla del condominio en la puerta.  En cuanto a transporte esta perfectamente conectada con la A1 y tiene una autobús que pasa por dentro de la urbanización y te lleva a Plaza de Castilla pasando por el metro de San Sebastián de los Reyes, además dentro de la urbanización hay farmacia, supermercado, club social, y un sin fin de comercios que hacen que la vida dentro de Santo Domingo sea muy cómoda.",True,good,False,2459.0,True,True,False,True,[],False,False,1795000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en calle Alta,Destacado,,,,,,,,
106157215,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/15/7c/1317836592.webp,W-02WY8L,43,799000.0,chalet,sale,715.0,8,6,calle Castillo de Torrelobatón,Madrid,Valdemorillo,Cerro Alarcón,es,40.4711306,-4.0889428,False,https://www.idealista.com/inmueble/106157215/,"Magnífico independiente en Cerro de Alarcón Engel&Völkers tiene el placer de poner a la venta este maravilloso y luminoso chalet en la prestigiosa urbanización de Cerro de Alarcón. Este independiente no te dejará indiferente, su majestuosidad, su luz, sus vistas al precioso embalse de cerro y a toda la sierra que lo rodea, hacen de este chalet una propiedad muy diferente al resto de las propiedades de Cerro de Alarcón. La propiedad cuenta con 3 plantas distribuidas muy cómodamente, lo cual permite hacer una vida muy confortable. En la planta baja contamos con una bonita y amplia cocina, un gran salón con ventanales, dispone de una habitación y un bonito baño. En la planta primera se encuentra la habitación principal con unas magníficas vistas y su baño completo en suite, además de cuatro habitaciones todas ellas con su baño completo también en suite. En el ático nos encontramos con 2 bonitas habitaciones de gran amplitud y muy luminosas, y una zona dedicada al cine tan importante en una vivienda para poder disfrutar en familia.  En la planta semisótano podemos encontrar una magnífica bodega, una gran sala donde se pueden realizar grandes fiestas o utilizar como gimnasio o amplio despacho. Dispone de un imponente garaje exterior e interior para 3 coches. Es una casa maravillosa para una gran familia, donde la comodidad, el equilibrio de la naturaleza con la luminosidad juegan un papel muy importante y no se puede dejar de visitar. En el exterior tenemos una maravillosa piscina con una gran zona de solarium, varias terrazas, zona chill out donde no puede faltar su estupenda barbacoa y un gimnasio donde poder ponerte en forma. Las calidades y la construcción de esta vivienda son excepcionales. Su bonita fachada exterior tipo castillo de piedra no resulta indiferente. Este chalet se encuentra en el término municipal de Valdemorillo, en una de las urbanizaciones con más prestigio de la zona, con un gran crecimiento dada su belleza, el embalse que la rodea y el descanso que supone para el cuerpo la belleza de la naturaleza. Se encuentra muy cerca de El Escorial a 15 minutos, a media hora de Madrid y rodeada de la belleza espectacular de la sierra de Madrid. Se encuentra en Cerro de Alarcón, lo cual le da más comodidades ya que hay restaurante, supermercado y autobuses muy próximos. La vivienda está situada cerca del centro comercial, cuenta con autobuses que llevan directamente a Moncloa, el 641 y 642. Se trata de una urbanización muy bien cuidada, con excepcionales vistas, en la que se respira tranquilidad y relajación. La urbanización dispone de un pequeño supermercado al cual se puede llegar dando un paseo, lo cual es de gran comodidad. Está muy próximo a Villafranca del Castillo, donde se encuentra el prestigioso colegio del SEK. A tan solo 20 minutos de Majadahonda y a 35 minutos de Moncloa. Un entorno inigualable a muy pocos minutos de Madrid.",True,good,False,1117.0,True,True,False,True,[],False,False,799000.0,€,True,True,chalet,independantHouse,"Cerro Alarcón, Valdemorillo",Casa independiente en calle Castillo de Torrelobatón,Destacado,,,,,,,,
