propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108601741,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/65/57/1349668811.webp,IL-05215,34,2,650000.0,flat,sale,115.0,True,3,2,CL PUERTO DE LA CRUZ VERDE,Madrid,Madrid,Arganzuela,es,Legazpi,40.3830471,-3.686864,False,https://www.idealista.com/inmueble/108601741/,"¡Descubre este maravilloso piso en esquina que te ofrece todo lo que necesitas para disfrutar de la vida en una de las zonas más tranquilas y seguras de la ciudad! Con una superficie de 115 m² construidos y 82 m² útiles, este hogar cuenta con tres dormitorios y dos baños, uno de ellos en suite, ideal para tu comodidad. La luminosidad es uno de sus grandes atractivos, ya que su orientación este y sur permite que el sol inunde el amplio salón-comedor durante las mañanas. Ubicado en una urbanización con piscina y amplias zonas verdes perfectamente cuidadas, podrás disfrutar de un entorno natural sin salir de casa. Además, la zona común cubierta es perfecta para reuniones familiares o con amigos. La vivienda, que se encuentra en muy buen estado y es apta para personas con movilidad reducida, está equipada con calefacción individual de gas natural y con aire acondicionado por conductos (bomba de calor/frío), asegurando tu confort durante todo el año. Además la vivienda cuenta con un trastero amplio. La ubicación es inmejorable: a tan solo 8 minutos a pie del metro Legazpi y Planetario, a y con un supermercado Mercadona a menos de 300 metros, tendrás todo lo que necesitas al alcance de la mano. El hermoso Parque Enrique Tierno Galván está a menos de 300 metros. No te preocupes por el aparcamiento, ya que la plaza de garaje está incluida en el precio. Este piso es ideal para quienes buscan un hogar acogedor y bien comunicado. ¡No pierdas la oportunidad de visitarlo! SIN COMISIONES A LA PARTE COMPRADORA. IBI Vivienda: 698.93€ IBI Garaje: 46.40€ Cuota de Comunidad: 212.05€ vivienda + 20.68€ plaza de garaje.",True,good,False,True,5652.0,True,False,True,False,[],False,False,650000.0,€,True,True,flat,"Legazpi, Madrid",Piso en Cl Puerto De La Cruz Verde,Destacado,,,,,
98269933,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/da/35/1006167237.webp,VM1903005,23,4,2621000.0,flat,sale,399.0,True,6,5,calle de Alberto Aguilera,Madrid,Madrid,Chamberí,es,Arapiles,40.4297361,-3.7101616,False,https://www.idealista.com/inmueble/98269933/,"Magnífico piso señorial situado en Arapiles, cerca del centro comercial de Princesa. Se encuentra en un edificio de siete plantas de fachada clásica. El piso consta de 399m² construidos y 350m² útiles. Se accede a la vivienda por un fantástico distribuidor que da paso a un amplio despacho comunicado con el salón-comedor por puertas correderas. El salón está dividido en dos ambientes de grandes dimensiones destacando las maderas nobles, bonitas molduras y grandes ventanales con persianas eléctricas que aportan a las estancias una gran luminosidad gracias a su orientación sureste. A continuación pasamos a una de las habitaciones también con un gran ventanal y armario empotrado. Coincidiendo con  el chaflán de la finca encontramos otra estupenda estancia y la más luminosa de la casa. Justo al lado se encuentra la habitación principal con vestidor y un baño  con bañera redonda en cabina e hidromasaje. Contiguo a este, otro amplio dormitorio con baño incorporado. La cocina tiene unas dimensiones estupendas, con un magnífico office que da a una galería situada en uno de los patios interiores de la finca. La zona de servicio está compuesta por dos habitaciones con armarios empotrados y baño completo. La finca tiene un gran hall de entrada muy cuidado, servicio de portería y vigilancia con cámaras. La vivienda incluye trastero y plaza de garaje en la misma finca al que se accede directamente por el ascensor montacargas.  Contacte con nosotros para ver más inmuebles similares.",False,good,False,True,6569.0,False,False,True,False,[],False,False,2621000.0,€,True,True,flat,"Arapiles, Madrid",Piso en calle de Alberto Aguilera,Destacado,,,,,
107593391,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/ed/91/1317056473.webp,,34,,449900.0,chalet,sale,200.0,,4,3,calle Encina s/n,Madrid,Sevilla la Nueva,,es,,40.3522013,-4.0240577,True,https://www.idealista.com/inmueble/107593391/,"¡Descubre el hogar de tus sueños en la mas exclusiva zona de Sevilla la Nueva! Este impresionante chalet independiente te ofrece una vida de comodidad y lujo en un entorno inmejorable. Con una parcela de 515 m², disfrutarás de un amplio patio con piscina, perfecto para los días soleados. La vivienda, de 200 m² construidos, cuenta con un luminoso salón en la primera planta, ideal para reuniones familiares, un aseo y una cocina espaciosa con acceso directo al jardín. En la planta superior, encontrarás cuatro habitaciones, incluyendo una suite principal con baño privado, y tres amplias habitaciones que comparten otro baño. Además, el chalet está equipado con placas solares, contribuyendo a la sostenibilidad y eficiencia energética. Con orientación en todas las direcciones, el hogar garantiza luz natural durante todo el día. No te preocupes por el aparcamiento, ya que dispone de garaje pareado. ¡No pierdas la oportunidad de vivir en este paraíso a solo un paso del centro del pueblo!",False,good,False,,2250.0,True,False,True,False,[],False,False,449900.0,€,True,True,chalet,Sevilla la Nueva,Casa independiente en calle Encina s/n,Destacado,independantHouse,,,,
108534032,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/24/8d/1347739833.webp,,32,,699900.0,chalet,sale,184.0,,4,3,CL MANUEL DE FALLA,Madrid,Brunete,,es,,40.4306575,-3.9821573,False,https://www.idealista.com/inmueble/108534032/,"CAPITAL HOME BRUNETE VENDE EN EXCLUSIVA MARAVILLOSO CHALET INDEPENDIENTE Presentamos una vivienda con un diseño único, moderno y con vistas buenas vistas. La vivienda está construida en el año 2019, en muy buen estado de conservación. La vivienda esta distribuida de la siguiente manera: Amplio hall distribuidor dando paso a amplio salón-comedor, cocina abierta con armarios de almacenaje altos y bajos. Todas estas estancias cuentan con ventanales que hacen que tenga luz natural durante todo el día.  Para mayor comodidad, contamos con 3 dormitorios en la planta baja con armarios empotrados. La habitación principal cuenta con baño en suite y otro baño independiente para dar servicio al resto de estancias. En la planta alta contamos con habitación suite con baño incorporado. También dispone de terraza con unas vistas espectaculares.  La urbanización cuenta con paradas de autobús y a solo 2km encontramos los mejores colegios de la zona, supermercados, farmacias.  Llámanos sin compromiso para más información. Departamento financiero propio.",True,good,False,,3804.0,True,False,True,False,[],False,False,699900.0,€,True,True,chalet,Brunete,Casa independiente en Cl Manuel De Falla,Destacado,independantHouse,719900.0,20000.0,3.0,
108748437,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/2d/18/1355913408.webp,,16,6,695000.0,flat,sale,68.0,True,2,1,CL ESCOSURA,Madrid,Madrid,Chamberí,es,Arapiles,40.4336418,-3.7087895,False,https://www.idealista.com/inmueble/108748437/,"EXCLUSIVAS ARAGON, su Agencia Inmobiliaria desde 1978 le ofrece un agradable piso en venta en uno de los barrios más tractivos de la ciudad de Madrid, Arapiles. La vivienda está situada en la planta 6ª del edificio, todo exterior, con ascensor, calefacción central y portero físico. Esta vivienda se distribuye en hall de entrada, amplio salón con dos ventanas, dos habitaciones, cocina y baño, dispone de espacio acondicionado como maletero sobre el techo del pasillo. Instalación de video portero y puerta de seguridad.  Originalmente se distribuía en tres habitaciones (hoy una de ellas incorporada al salón) y 2 baños (actualmente unidos), ambos con ventilación a un patinillo.  Aunque el estado de conservación puede considerarse correcto, sus acabados y calidades sugerirían una actualización de la vivienda. Como calidades constructivas podemos destacar, suelos de parquet y gres, paredes en gotelé, carpintería interior en sapeli, carpintería exterior en aluminio sencillo con persiana; agua caliente sanitaria por calentador de gas, y aire acondicionado en el salón.  El barrio de Arapiles, en el distrito de Chamberí, es una de las zonas privilegiadas de la ciudad, con comercio de barrio, grandes almacenes, centros universitarios, espacios verdes, bien comunicada por transporte público (varias estaciones de metro y numerosas líneas de autobuses).  La dotación sanitaria, asistencial, educativa, comercial o de servicios, en general está adecuadamente resuelta.  En el precio de venta indicado no se incluye impuestos, ni gastos de escrituración. Consúltenos a este respecto. EXCLUSIVAS ARAGÓN NO COBRA COMISIÓN AL COMPRADOR.",False,renew,False,True,10221.0,True,False,True,False,[],False,False,695000.0,€,,,flat,"Arapiles, Madrid",Piso en Cl Escosura,Destacado,,,,,
108734249,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b0/d0/63/1353574177.webp,,39,,540000.0,chalet,sale,272.0,,5,4,CL OSA MAYOR,Madrid,Moraleja de Enmedio,,es,,40.2594058,-3.8559414,False,https://www.idealista.com/inmueble/108734249/,"CAPITAL HOME ARROYOMOLINOS Te presenta en EXCLUSIVA esta magnífica vivienda unifamiliar, ideal para quienes buscan amplitud, comodidad y una excelente distribución. Ubicada en una zona más tranquila de Moraleja de Enmedio, esta casa de tres plantas ofrece todo lo que necesitas para disfrutar en familia. En la planta principal encontramos una cocina independiente muy espaciosa, perfecta para el día a día, que además cuenta con una práctica despensa. Desde el amplio pasillo se accede a una habitación en planta baja, ideal como dormitorio principal o de invitados, equipada con armario empotrado. También hay un baño completo con un cómodo plato de ducha de obra. El salón comedor es una de las joyas de la casa: amplio, luminoso, con chimenea funcional y salida directa al patio trasero, un espacio ideal para relajarse o disfrutar de comidas al aire libre. En la planta superior se ubican dos grandes dormitorios, ambos con armarios empotrados. Uno de ellos, además, cuenta con una gran terraza privada, perfecta para disfrutar del sol o crear una zona chill-out. Esta planta también dispone de un baño completo con ducha y bañera, ofreciendo el máximo confort. Alberga también un espacioso dormitorio tipo suite, con aseo privado y vestidor transformado en cocina que hace a la planta superior ser un rincón ideal para tener privacidad. (Posibilidad de rectificación) El garaje, con capacidad para dos vehículos, cuenta con puertas automáticas y acceso directo al patio trasero. También incluye una amplia habitación adicional con armario empotrado y aseo, lo que ofrece múltiples posibilidades: gimnasio, sala de juegos, estudio o incluso habitación extra. La casa está en perfecto estado y lista para entrar a vivir. Con estancias muy luminosas, armarios empotrados, chimenea funcional y espacios exteriores que marcan la diferencia, es una oportunidad única para quienes buscan una vivienda completa y versátil. No dudes en contactarnos y venir a visitarla. ¡Te encantará!",False,good,False,,1985.0,True,False,True,False,[],False,False,540000.0,€,True,True,chalet,Moraleja de Enmedio,Chalet adosado en Cl Osa Mayor,Destacado,terracedHouse,,,,
108909855,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/60/26/1358645096.webp,CLK01/5154,8,1,220000.0,flat,sale,174.0,True,2,2,calle de Bernaldo de Quirós,Madrid,Torrelaguna,,es,,40.8269075,-3.5344331,False,https://www.idealista.com/inmueble/108909855/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de undefined, en Torrelaguna. La vivienda está ubicada en la 1 planta exterior sin ascensor. Dispone de una superficie total de 174 m², distribuidos en salón y comedor, cocina independiente, 2 dormitorios y 1 baños. Además, cuenta con terraza. Situado en el barrio de undefined, en la Calle Bernaldo Quiros, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como escuelas, supermercados, restaurantes, farmacias y paradas de autobús.  Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",False,renew,False,False,1264.0,False,False,False,False,[],False,False,220000.0,€,,,flat,Torrelaguna,Piso en calle de Bernaldo de Quirós,Destacado,,,,,
108716029,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/8b/22/1355301758.webp,,46,bj,3100000.0,flat,sale,337.0,True,5,3,CL JORGE JUAN,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4229472,-3.6807919,False,https://www.idealista.com/inmueble/108716029/,"**Piso en Venta en Recoletos, Madrid - ¡Una Oportunidad Única! ** Descubre este impresionante piso de 255 m², más 70 m² de patio privado, ubicado en la prestigiosa zona de Recoletos, Madrid. Situado en la planta baja de un elegante edificio con portero físico, este espacio ofrece múltiples posibilidades de reforma, ideal para crear el hogar de tus sueños o una oficina moderna. Su amplia entrada con un espacio enorme con dos grandes ventanales a la calle Jorge Juan da la bienvenida con luz natural y estilo.  El inmueble cuenta con un pasillo distribuidor que conecta a dos salas, una de ellas con baño, y una terraza interior que se asoma al patio comunitario.  Con un aseo y un pequeño office en el pasillo, la distribución original incluía hall, salita, comedor, cocina, office, 7 dormitorios y 2 baños, lo que permite adaptar los espacios a tus necesidades.  Al final del pasillo, encontrarás dos enormes espacios diáfanos perfectos para cualquier proyecto. Además, el baño completo con ducha y el acceso directo al patio privado, que cuenta con parte techada y jardineras, añaden un toque especial a esta propiedad. se pueden poner armarios empotrados, asegurando funcionalidad y comodidad. En el portal hay escalones. La vivienda tiene dos puertas la principal y la de servicio. Los gastos de comunidad mensual con la calefacción y el agua son 584 euros.  El pago de IBI al año en el 2024 fue de 2.494 euros La ubicación es inmejorable, con excelente comunicación por autobuses, metro y cercanías. No dejes pasar la oportunidad de transformar este amplio espacio en el hogar que siempre has deseado. ¡Contáctanos para más información y ven a visitarlo!",False,renew,False,True,9199.0,True,False,True,True,[],False,False,3100000.0,€,,,flat,"Recoletos, Madrid",Piso en Cl Jorge Juan,Destacado,,,,,
108802881,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/5d/9e/1355617783.webp,VIS-403,76,,695000.0,chalet,sale,390.0,,7,5,calle de Valti,Madrid,Paracuellos de Jarama,Altos de Jarama,es,,40.5300198,-3.5458648,False,https://www.idealista.com/inmueble/108802881/,"VISTA HOMES presenta un estupendo CHALET PAREADO de 7 HABITACIONES, GRAN PISCINA PRIVADA Y PLACAS SOLARES de reciente instalación, en la urbanización Altos del Jarama, una de las mejores zonas de Paracuellos del Jarama. La vivienda cuenta con amplias estancias a las que se suma un agradable jardín privado. Construido en el año 1999, consta de una superficie de 390 m² en parcela de 430 m² distribuidos en cuatro plantas: PLANTA BAJA Un luminoso salón con chimenea que invita a relajarse y crear momentos cálidos en familia. Comedor independiente, perfecto para cenas especiales y reuniones con amigos. Cocina completamente amueblada y moderna, lista para inspirar tus mejores recetas. Aseo con zona de lavandería, funcional y bien pensado para tu día a día. PRIMERA PLANTA Dormitorio principal con vestidor y baño en suite, un refugio de tranquilidad y privacidad. Cuatro dormitorios adicionales, ideales para la familia o invitados, que comparten dos baños completos. SEGUNDA PLANTA Una buhardilla diáfana de 80 m², llena de luz natural gracias a los velux y a la terraza que la acompaña, y es perfecta para convertir en gimnasio, sala de juegos, estudio o incluso un spa con sauna. La versatilidad de este espacio te permite adaptarlo a tus necesidades y estilo de vida.  PLANTA -1 Un amplio salón de verano con comedor y cocina americana, ideal para disfrutar en cualquier estación del año desde el que se accede a un agradable porche techado con acceso directo a la zona de piscina. Habitación de servicio y un baño completo, pensados para mayor comodidad. Un trastero de 25 m², perfecto para almacenar todo lo que necesitas tener a mano. Un AMPLIO JARDÍN DE 430 M² que rodea toda la vivienda, con zonas verdes y espacio para el ocio, donde encontramos una PISCINA PRIVADA DE 37 M², perfecta para refrescarse en verano y disfrutar con amigos y familiares. La vivienda se climatiza mediante calefacción individual por gas natural y chimenea en el salón. 12 PLACAS SOLARES DE RECIENTE INSTALACIÓN. La vivienda está ubicada en la urbanización Altos del Jarama con servicio de autobús directo al centro de la localidad y un rápido acceso en coche a la R2. Paracuellos de Jarama es un municipio de España situado en la Comunidad de Madrid muy próximo al Aeropuerto Adolfo Suárez. La localidad está ubicada a unos 26 km al nordeste de la capital limitando con Madrid, Alcobendas y San Sebastián de los Reyes al oeste, con San Sebastián de los Reyes al norte, con Ajalvir y Cobeña al este y con Torrejón de Ardoz y San Fernando de Henares al sur. Dispone de ocho líneas de autobús interurbanas, de las cuales cinco conectan con Madrid en el intercambiador de Canillejas y una en Barajas, y tres líneas urbanas. ¡Contacta con nosotros y programa tu visita ahora! En VISTA HOMES, estamos comprometidos a convertir tus aspiraciones en una realidad extraordinaria. Disponemos de Viviendas en Venta Privada, ¡pregunta al responsable de la zona que buscas para visitarlas!",False,good,False,,1782.0,True,False,True,True,[],False,False,695000.0,€,True,True,chalet,"Altos de Jarama, Paracuellos de Jarama",Chalet pareado en calle de Valti,Destacado,semidetachedHouse,,,,
108238262,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/dd/df/1338080636.webp,10008515,38,7,1300000.0,flat,sale,176.0,True,4,2,Barrio Nueva España,Madrid,Madrid,Chamartín,es,Nueva España,40.4601339,-3.6698003,False,https://www.idealista.com/inmueble/108238262/,"Exclusivo ático en venta en calle Alfonso XIII: vistas de ensueño y un sinfín de posibilidades en una ubicación privilegiada Vivienda2 tiene el placer de presentar una oportunidad única para adquirir un espectacular ático en una de las zonas más codiciadas de Madrid: la calle Alfonso XIII. Situado en una finca cerrada de excelente conservación, con jardines comunitarios cuidados al detalle, esta vivienda reúne todos los ingredientes para convertirse en el hogar de tus sueños. Desde el momento en que accedes a la urbanización, se respira tranquilidad y calidad de vida. La finca ofrece seguridad, privacidad y un entorno verde que no es fácil encontrar en pleno centro urbano. Además, cuenta con una plaza de garaje incluida en el precio, lo cual añade un valor incalculable en una zona tan demandada. El ático destaca por sus impresionantes vistas panorámicas del skyline de Madrid. Desde sus terrazas podrás disfrutar de amaneceres y atardeceres únicos, contemplando la ciudad desde una perspectiva privilegiada. Es un espacio que invita tanto al descanso como a la inspiración. La vivienda cuenta con 4 dormitorios amplios y 2 baños, y ofrece un sinfín de posibilidades de redistribución para adaptarse a las necesidades de cualquier familia. Una de las grandes ventajas es el potencial que tiene para ganar espacio útil de vivienda integrando las terrazas en una reforma bien planteada, lo que permitiría ampliar notablemente la superficie habitable y transformar el ático en un piso todavía más espacioso y funcional. Además, la ubicación es inmejorable. A tan solo unos minutos andando encontrarás conexiones perfectas tanto de autobús como de metro, lo que permite moverse por Madrid de manera rápida y cómoda. Estás rodeado de servicios, con comercios de grandes superficies a escasos metros, colegios de prestigio internacional junto a la propiedad, comercios, zonas verdes y todo lo que necesitas para una vida urbana de calidad. En resumen, se trata de un ático con carácter, vistas espectaculares y una ubicación excelente. Una propiedad que no solo es ideal como vivienda habitual, sino también una inversión con un enorme potencial de revalorización. Si buscas un piso con alma, con posibilidades de crecer y que ofrezca calidad de vida en pleno Madrid, no dejes pasar esta oportunidad. Contáctanos para más información o para concertar una visita. Estaremos encantados de mostrarte todo lo que esta maravillosa vivienda tiene para ofrecer.",True,renew,False,True,7386.0,True,False,True,False,[],False,False,1300000.0,€,True,True,flat,"Nueva España, Madrid",Piso,Destacado,,,,,
