propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,hasLift,newDevelopmentFinished,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
106995492,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/b0/e0/1299887389.webp,2087,37,490000.0,chalet,sale,280.0,3,3,calle Anacleto López,Madrid,Collado Villalba,Villalba Pueblo,es,40.6447831,-3.9924663,False,https://www.idealista.com/inmueble/106995492/,"CHALET PAREADO sobre parcela de 166m² y con una superficie construida de 280 m² en cuatro alturas. 3 dormitorios dobles, 2 baños completos y un aseo, el dormitorio principal con baño en suite. Tres armarios empotrados. Amplio y luminoso salón comedor con chimenea. Espaciosa cocina amueblada. Buhardilla diáfana muy luminosa y acogedora. Bonito y agradable jardín y porche trasero con salida directa a zona comunitaria. Sótano totalmente habitable. Calefacción de gasóleo. Garaje para un coche. Cercano a colegios, centro de salud, zona comercial y medios de transporte.",False,good,False,1750.0,True,False,True,True,[],False,False,490000.0,€,True,True,chalet,semidetachedHouse,"Villalba Pueblo, Collado Villalba",Chalet pareado en calle Anacleto López,Destacado,,,,,,,,
107701213,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fe/07/91/1320243765.webp,,40,450000.0,flat,sale,181.0,3,2,calle Géminis,Madrid,Móstoles,Sur,es,40.3039322,-3.863078,False,https://www.idealista.com/inmueble/107701213/,"Agencia Inmobiliaria de Arroyomolinos INMOBILIARIA CAPITAL HOME ARROYOMOLINOS VENDE Exclusivo Piso Bajo con Amplia Terraza en Urbanización Privada con Excelentes Comodidades Presentamos este impecable y luminoso piso bajo, ubicado en una urbanización privada de alta calidad. La propiedad destaca por su espaciosa distribución y su impresionante terraza, ideal para disfrutar de momentos de relajación al aire libre. La vivienda se distribuye de la siguiente manera: 3 Dormitorios: El dormitorio principal con armario empotrado cuenta con un baño en suite equipado con bañera, proporcionando total privacidad y confort. Los otros dos dormitorios son amplios y luminosos, y cuentan con armarios empotrados. Baños: El baño secundario, con un moderno plato de ducha, está perfectamente ubicado para dar servicio a los otros dos dormitorios y a las áreas comunes. Cocina Reformada: La cocina ha sido completamente reformada con materiales de alta calidad y cuenta con acceso directo al patio cerrado climatizado, lo que aporta un extra de confort y funcionalidad. Salón-Comedor: Amplio y luminoso, el salón-comedor ofrece una gran versatilidad para disfrutar de un ambiente acogedor y relajado. Comodidades adicionales: Aire Acondicionado por Conducto: Toda la vivienda está equipada con un sistema de aire acondicionado por conducto, asegurando el máximo confort durante todo el año. Carpintería en Blanco y Paredes en Liso: Los acabados son de alta gama, destacando la carpintería en blanco y las paredes lisas que proporcionan un ambiente moderno y elegante en toda la vivienda. 2 Plazas de Garaje y Trastero: La propiedad incluye dos plazas de garaje y un trastero, brindando un amplio espacio de almacenamiento y comodidad para estacionar. Urbanización Completa: La urbanización cuenta con una completa infraestructura de ocio y deporte, incluyendo pista de pádel, piscina comunitaria y parque infantil, lo que hace de este lugar un entorno ideal para familias. Este inmueble combina una excelente distribución con acabados de calidad superior y una ubicación privilegiada, ofreciendo una experiencia de vida inmejorable. ¡No deje pasar la oportunidad de conocerlo! 100% FINANCIACION.",False,good,False,2486.0,True,False,True,False,[],False,False,450000.0,€,True,True,flat,,"Sur, Móstoles",Piso en calle Géminis,Destacado,bj,True,True,,,,,
101439211,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/03/50/1271170137.webp,LN25,18,760000.0,chalet,sale,267.0,3,3,Los Jarales - Las Minas,Madrid,Galapagar,Los Jarales - Las Minas,es,40.5844124,-3.9713078,False,https://www.idealista.com/obra-nueva/101439211/,"LIVING NATURA - RESPIRA LA NATURALEZA Esta nueva promoción de Exxacon Smart Living está ubicada en una zona protegida del Parque Regional del Curso Medio del Guadarrama. En concreto, se encuentra en la urbanización Los Jarales, junto a La Colonia de Torrelodones, en la zona noroeste de Madrid (a 4km del centro de Galapagar y a 1,5 kilómetros de La Colonia en Torrelodones). Esta zona está muy bien comunicada por autobús y tren a cualquier punto de interés: zonas comerciales, colegios, universidades y centro de Madrid. Living Natura está compuesta por 28 nuevas viviendas de 3, 4 y 6 dormitorios que se construirán sobre una parcela de 20.742 m2 consolidada con diversas especies de árboles. 26 viviendas serán pareadas y las otras dos serán villas independientes. El residencial Living Natura contará con viviendas luminosas rodeadas de un ambiente muy natural y dotadas de la máxima eficiencia energética y sostenibilidad. El complejo residencial ofrece zonas comunes para toda la familia, en un enclave inigualable por su vegetación, con amplias zonas ajardinadas naturales y piscina comunitaria. Estas viviendas disponen del sello de sostenibilidad de la promotora, en línea con el concepto Smart Living de Exxacon, y aquellos clientes que lo deseen podrán instalar también placas solares fotovoltaicas.",True,newdevelopment,True,2846.0,True,False,False,False,[],False,False,760000.0,€,True,True,chalet,semidetachedHouse,"Los Jarales - Las Minas, Galapagar",Chalet pareado,Destacado,,,,False,,,,
108179691,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/d9/33/1336251233.webp,,19,325000.0,flat,sale,75.0,2,1,calle de Santa Catalina de Labouré,Madrid,Madrid,Carabanchel,es,40.3861396,-3.7192616,False,https://www.idealista.com/inmueble/108179691/,"EXCLUSIVAS ARAGON, su Agencia Inmobiliaria desde 1978 le ofrece en el Barrio de Opañel, Carabanchel, Madrid, un agradable piso en venta PARA ENTRAR A VIVIR, en planta baja, de unos 75m2 según registro, disponiendo de un agradable patio de unos 18m2. La vivienda se distribuye en hall de entrada, cocina amueblada, salón-comedor y pasillo distribuidor que da acceso a dos habitaciones, y a un baño completo. Desde una de las habitaciones se accede al patio de la vivienda.  La vivienda se localiza en el barrio de Opañel (Distrito de Carabanchel) en un entorno de viviendas similares, tipo bloque residencial, que se ha ido configurando en los últimos años y que alterna la tranquilidad residencial con la accesibilidad a servicios básicos, opciones de ocio y espacios verdes. Próximos a centros educativos, administrativos y entornos comerciales.  Entre los medios de transporte públicos hay que destacar: la Línea 5 (estación Urgel) y la Línea 6 (estación Oporto), ambas a menos de 15 minutos a pie. Además, paradas próximas de las líneas de cercanías C5 y C4, que permiten el acceso a los diferentes barrios de la ciudad de Madrid. Destacar también las líneas de la EMT 34, 35 y 118. El ambiente en el entorno resulta familiar y acogedor, destacando parques y espacios verdes públicos, y la proximidad a Madrid Río, como zona de más reciente configuración con variada propuesta de ocio, cultura, gastronomía y esparcimiento.  En el precio de venta indicado no se incluye impuestos, ni gastos de escrituración. Consúltenos a este respecto. EXCLUSIVAS ARAGÓN NO COBRA COMISIÓN AL COMPRADOR.",False,good,False,4333.0,True,False,True,False,[],False,False,325000.0,€,True,True,flat,,"Opañel, Madrid",Piso en calle de Santa Catalina de Labouré,Destacado,bj,True,True,,Opañel,,,
108842232,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/f3/e3/1356715864.webp,SIERRA AITANA,19,375000.0,flat,sale,90.0,2,2,calle Sierra de Aitana,Madrid,Villanueva de la Cañada,Villanueva de la Cañada,es,40.4388935,-4.0066231,False,https://www.idealista.com/inmueble/108842232/,"Agencia inmobiliaria en Villanueva de la Cañada HOGARES VILLANUEVA DE LA CAÑADA VENDE EN EXCLUSIVA ¡Luminoso piso de 2 habitaciones con garaje, trastero y zonas comunes en zona privilegiada! Te presentamos esta magnífica vivienda situada en una zona privilegiada, ideal tanto para vivir como para invertir. El piso destaca por su fantástica luminosidad, su excelente distribución y las amplias estancias que lo hacen especialmente cómodo y funcional. Distribución y características principales: 2 amplias habitaciones con grandes ventanales y excelente aprovechamiento del espacio. 2 baños completos, de generosas dimensiones, ideales para el confort diario. Salón comedor espacioso y muy luminoso, con acceso fluido a las distintas zonas de la vivienda. Cocina independiente con zona de almacenamiento y buena ventilación. Incluye una gran plaza de garaje y un trastero de gran capacidad, ambos incluidos en el precio. Ascensor desde el garaje hasta la vivienda para mayor comodidad. Zonas comunes: Piscina comunitaria, perfecta para disfrutar en los meses de verano. Pista de pádel, ideal para mantenerse activo sin salir de casa. Entorno tranquilo y bien cuidado, con jardines y espacios comunes amplios. Ubicado en una zona muy valorada por su tranquilidad, cercanía a servicios, buena comunicación y calidad de vida. Una opción perfecta para quienes buscan comodidad, amplitud y buenas calidades. No dejes pasar esta oportunidad. Contacta con nosotros para más información o para agendar una visita. ¡Este piso te está esperando! ¡FINANCIACIÓN 100%!",False,good,False,4167.0,True,False,True,False,[],False,False,375000.0,€,True,True,flat,,"Villanueva de la Cañada, Villanueva de la Cañada",Piso en calle Sierra de Aitana,Destacado,1,True,True,,,,,
108841740,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/b2/bc/1356695231.webp,Asturias,38,699900.0,chalet,sale,320.0,5,4,calle Asturias,Madrid,Villanueva de la Cañada,Villanueva de la Cañada,es,40.4380525,-3.9959144,False,https://www.idealista.com/inmueble/108841740/,"Agencia inmobiliaria en Villanueva de la Cañada HOGARES VILLANUEVA DE LA CAÑADA VENDE EN EXCLUSIVA ¡Fantástico chalet pareado de esquina con la parcela más grande de la calle! Si estás buscando una vivienda que lo tenga todo, este espectacular chalet pareado de esquina te enamorará desde el primer momento. Su privilegiada ubicación le otorga la parcela más grande de toda la calle, ofreciendo amplitud, privacidad y luz natural durante todo el día. Características destacadas: 4 habitaciones, incluyendo una práctica e ideal habitación en planta baja con baño en suite, perfecta para invitados, personas mayores o despacho privado. 4 baños completos, diseñados con estilo y funcionalidad. Espacios amplios, diáfanos y llenos de luz natural, gracias a su orientación y grandes ventanales. Impresionante buhardilla con vistas despejadas, ideal como zona de ocio, estudio o sala de juegos. Aire acondicionado por conductos en toda la vivienda para tu máximo confort. Garaje privado con dos puertas automáticas y espacio para 2 coches grandes. Zona de lavandería independiente junto a la caldera, funcional y bien organizada. ¡Sin gastos de comunidad! Una ventaja adicional que marca la diferencia. Esta propiedad combina el diseño moderno con la comodidad del día a día. Perfecta para familias que buscan espacio, luz, tranquilidad y una ubicación privilegiada. Contáctanos en Inmobiliaria Hogares y agenda tu visita hoy mismo. ¡No dejes pasar esta oportunidad única! ¡Financiación al 100%!",False,good,False,2187.0,True,False,True,False,[],False,False,699900.0,€,True,True,chalet,semidetachedHouse,"Villanueva de la Cañada, Villanueva de la Cañada",Chalet pareado en calle Asturias,Destacado,,,,,,,,
107633425,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/84/90/1339323527.webp,limon verde,41,215000.0,flat,sale,100.0,3,1,calle Limón Verde,Madrid,Algete,,es,40.5998802,-3.4991652,False,https://www.idealista.com/inmueble/107633425/,"VENTA EN EXCLUSIVA CON HOUSELAND SERVICIOS INMOBILIARIOS ¡Oportunidad Única en el Corazón de Algete!  Amplio bajo para reformar con patio espectacular. Si buscas el proyecto ideal para crear la casa de tus sueños en una ubicación inmejorable, esta es tu oportunidad.  Este inmueble te ofrece tres dormitorios, un salón luminoso y espacioso, una cocina que podrás personalizar a tu gusto y un baño completo.  El verdadero encanto de esta propiedad está en su espectacular patio, un espacio exterior único de gran tamaño donde podrás disfrutar del aire libre, crear tu propio jardín, hacer reuniones con amigos y familia o simplemente relajarte en tu propio oasis.  Además, la ubicación no podría ser mejor: en pleno centro de Algete, cerca de todos los servicios como comercios, colegios, centros de salud y transportes públicos, con fácil acceso a la carretera.  Esta propiedad es una excelente opción tanto para vivir como para invertir, con muchas posibilidades de reforma para adaptarla a tus necesidades y estilo. ¡Haz de esta casa tu hogar y aprovecha la oportunidad de vivir en una zona de alta demanda que no para de crecer! Para más información o concertar una visita, no dudes en contactarnos.  ¡Estamos a tu disposición para mostrarte el enorme potencial de esta propiedad!",True,good,False,2150.0,True,False,True,False,[],False,False,215000.0,€,,,flat,,Algete,Piso en calle Limón Verde,Destacado,bj,True,False,,,239000.0,24000.0,10.0
108911765,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/94/0e/1358710069.webp,Dobla,63,590000.0,flat,sale,177.0,3,2,calle Dobla,Madrid,Madrid,Carabanchel,es,40.369919,-3.7407833,False,https://www.idealista.com/inmueble/108911765/,"VENTA EN EXCLUSIVA CON HOUSELAND SERVICIOS INMOBILIARIOS Magnifica vivienda a estrenar con jardín privado en el PAU de Carabanchel – 3 dormitorios, 177 m² construidos, excelentes zonas comunes y actualmente alquilada, lo que garantiza una rentabilidad inmediata. Presentamos esta espectacular vivienda de obra nueva, ubicada en una de las zonas de mayor proyección de Madrid: el PAU de Carabanchel. Con una superficie construida de 177 m² y doble orientación, esta propiedad destaca por su luminosidad, amplitud y diseño contemporáneo, perfecta para quienes buscan confort, calidad y estilo en un entorno residencial consolidado. La distribución ha sido cuidadosamente pensada para aprovechar al máximo cada rincón de la vivienda. Desde el hall-recibidor, equipado con armario empotrado, se accede a un amplio salón-comedor de concepto abierto, donde se integra una moderna cocina americana, completamente amueblada y equipada, que incluye tendedero cubierto. Tanto el salón como la cocina disponen de salida directa al magnífico jardín privado, ideal para disfrutar de momentos de ocio, reuniones familiares o simplemente relajarse al aire libre. La zona de descanso se compone de tres amplios dormitorios, todos con armarios empotrados. El dormitorio principal cuenta con baño en suite tipo ""open concept"", con un elegante plato de ducha visto desde la habitación. El segundo cuarto de baño, completo, dispone de bañera, ofreciendo funcionalidad para toda la familia. En cuanto a calidades, la vivienda no escatima en detalles: Suelo de gres porcelánico de alta gama (Porcelanosa). Ventanas de aluminio lacado con doble acristalamiento Climalit, rotura de puente térmico y cámara de aire estanca para un excelente aislamiento térmico y acústico. Carpintería interior en madera maciza lacada en blanco. Paredes lisas, aportando un acabado limpio y moderno. Sistema de calefacción por suelo radiante y agua caliente mediante caldera individual de gas natural estanca, con apoyo de placas solares para un consumo energético más eficiente. Preinstalación de aire acondicionado por conductos, preparada para su futura instalación. La vivienda se entrega con una amplia plaza de garaje y trastero incluidos en el precio. La finca, de reciente construcción, ofrece un amplio abanico de zonas comunes exclusivas que incluyen: Piscina Gastrobar comunitario Gimnasio interior completamente equipado Workout gym exterior Parque infantil Vestuarios y aseos Jardines perfectamente cuidados Portero físico y videovigilancia 24h para mayor seguridad Ubicación inmejorable, a escasos minutos a pie de la estación de metro San Francisco (Línea 11), que conecta rápidamente con la Línea 6 (Circular). Fácil y rápido acceso a principales vías como M-40, M-45 y A-42, así como excelentes conexiones con varias líneas de autobuses EMT (121, 131, 155, entre otras). En las inmediaciones encontrarás todo lo necesario para el día a día: el Centro Comercial Islazul, supermercados (Mercadona, Lidl), centros educativos, farmacias y una amplia oferta de restauración. Una oportunidad única de adquirir una vivienda nueva con jardín, excelentes calidades y actualmente alquilada, lo que garantiza una rentabilidad inmediata desde el primer día. Ideal para inversores.",False,good,False,3333.0,True,False,False,False,[],False,False,590000.0,€,True,True,flat,,"Pau de Carabanchel, Madrid",Piso en calle Dobla,Destacado,bj,True,True,,Pau de Carabanchel,,,
108572914,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fc/80/bc/1356822202.webp,,42,580000.0,flat,sale,109.0,4,1,RD SEGOVIA,Madrid,Madrid,Arganzuela,es,40.4078426,-3.7174156,False,https://www.idealista.com/inmueble/108572914/,"BLUE FUTURE REAL ESTATE presenta en EXCLUSIVA esta amplia propiedad en una de las zonas mas demandadas y exclusivas de Madrid. PRÓXIMAMENTE AMPLIACIÓN DEL REPORTAJE FOTOGRÁFICO. POSIBILIDADES DE FINANCIACIÓN POR ENCIMA DEL 80% DE COMPRAVENTA Y HASTA EL 100% DE INVERSIÓN SEGÚN PERFIL con inmejorables condiciones a través de nuestro departamento financiero. Piso en primera planta de edificio adaptado para personas con movilidad reducida, compuesta de hall recibidor que da acceso a terraza independiente de orientación noroeste (vistas hacia Paseo Imperial), pasillo distribuidor, cocina con dos entradas, CUATRO HABITACIONES y baño. Vivienda susceptible de actualización con infinidad de posibilidades dada su versatilidad y facilidad de cambio de distribución. Entre sus calidades destacamos: - Vivienda exterior. - Suelos de parquet. - Calefacción central (radiadores cambiados). - Ventilador de techo en habitaciones. - Ventanas de aluminio. - VIVIENDA EXTERIOR! Inmejorablemente ubicada cuenta en sus inmediaciones con pequeños comercios de barrio, grandes superficies, zonas verdes, colegios, centros de salud y administraciones. Extraordinaria oferta gastronómica en toda la zona. Muy próximo tanto a Madrid Rio como a Puerta de Toledo y zona centro de Madrid. Parada de metro mas cercana ""Puerta de Toledo"" y varias líneas de bus en la misma puerta. POSIBILIDADES DE FINANCIACIÓN POR ENCIMA DEL 80% DE COMPRAVENTA Y HASTA EL 100% DE INVERSIÓN SEGÚN PERFIL.",False,renew,False,5321.0,True,False,True,True,[],False,False,580000.0,€,,,flat,,"Imperial, Madrid",Piso en Rd Segovia,Destacado,1,True,True,,Imperial,,,
108614535,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/d1/a3/1349994850.webp,LP3161,28,189000.0,flat,sale,76.0,3,1,calle Alfonso X el Sabio,Madrid,Alcalá de Henares,Reyes Católicos,es,40.473619,-3.3779408,False,https://www.idealista.com/inmueble/108614535/,"Sabemos lo importante que es seguir en tu barrio, cerca de tus tiendas de confianza, tu centro de salud, tus vecinos de toda la vida…Pero también sabemos lo difícil que es subir escaleras cada día. Por eso este piso con ascensor entre plantas es la oportunidad perfecta para quienes no quieren dejar atrás su zona, pero sí ganar calidad de vida. Imagina llegar a casa después de un día largo y no tener que subir largos tramos de escaleras. Este piso a la venta tendrá la comodidad de estar cercano al centro histórico de la ciudad de Alcalá de Henares lo que te permitirá pasear por sus calles más emblemáticas para disfrutar de su rica historia y cultura. Ideal para familias o futuras familias, tendrás escuelas, colegios y centros educativos a poca distancia. Este piso a la venta te ofrece seguir en tu barrio o comenzar una vida cómoda y completa, ¡No pierdas esta oportunidad! Serás tu propio casero, deja de pagar costosos alquileres. Contacta hoy mismo y descubre por qué este piso en planta baja es el lugar perfecto para ti. El futuro se construye con decisiones inteligentes… ¡y está es una de ella! No tendrás que preocuparte por pagar los honorarios de gestión, pero recuerda que los gastos de la Compraventa (Impuestos legales, Notario, Registro) no están incluidos. Este inmueble se comercializa mediante un mandato de venta en exclusiva. Por favor se ruega no molestar a propietarios ni a vecinos. Si eres Agente inmobiliario puedes llamarnos para colaborar conjuntamente. Si necesitas consultar o ampliar información envía un e-mail con tu teléfono y nosotros te llamaremos, también puedes ponerte en contacto a través del (Horario comercial, de lunes a viernes: 10:00h-14:00h y 17:00h-20:30h. Sábados: 10:30h-13:30h). Consultar horario de verano.",False,good,False,2487.0,True,False,True,True,[],False,False,189000.0,€,,,flat,,"Reyes Católicos, Alcalá de Henares",Piso en calle Alfonso x el Sabio,Destacado,5,True,True,,,,,
