propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108334544,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/54/7e/1341032447.webp,45,2,639000.0,flat,sale,95.0,True,3,2,calle de Cartagena,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4379081,-3.6735747,False,https://www.idealista.com/inmueble/108334544/,"**Piso Reformado en el Corazón de la Ciudad** ¡Descubre este espectacular piso de 95 m² recién reformado, ideal para quienes buscan comodidad y estilo! Ubicado en la segunda planta de un edificio sin ascensor, este hogar destaca por su amplio salón-comedor, donde la luz natural inunda el espacio gracias a sus dos balcones y un gran ventanal. La cocina abierta, equipada con una moderna isla y mesa de comedor, es perfecta para disfrutar de momentos inolvidables con amigos y familia. Este piso cuenta con tres habitaciones, todas con armarios empotrados, y una habitación principal que incluye un vestidor privado. Además, dispone de dos baños, uno de ellos en suite, asegurando la privacidad y comodidad que necesitas. Los suelos de tarima flotante PARADOR son resistentes al agua, lo que garantiza durabilidad y fácil mantenimiento. La propiedad también ofrece un sistema de sonido integrado con bluetooth, calefacción individual y aire acondicionado por conductos, creando un ambiente agradable durante todo el año. Las ventanas de PVC KOMMERLING oscilobatientes y las persianas motorizadas en el salón y dormitorio principal añaden un toque de modernidad y funcionalidad. Ubicado en un entorno bien comunicado, tendrás acceso a varias líneas de autobuses, metro y cercanías. No pierdas la oportunidad de hacer de este piso tu nuevo hogar. ¡Ven a visitarlo y enamórate de cada rincón!",True,good,False,False,6726.0,True,False,True,False,[],False,False,639000.0,€,flat,"Guindalera, Madrid",Piso en calle de Cartagena,Destacado,,,,,,,,
108010251,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/3e/18/1335462868.webp,38,3,540000.0,penthouse,sale,72.0,True,3,2,calle de Daganzo,Madrid,Madrid,Chamartín,es,Prosperidad,40.4435181,-3.671292,False,https://www.idealista.com/inmueble/108010251/,"**Ático Exclusivo en el Corazón de Chamartín** Descubre este espectacular ático de 72 m² sin ascensor en Chamartín. Completamente reformado, este hogar ofrece un amplio salón-comedor bañado en luz natural y con vistas al exterior, ideal para disfrutar de momentos inolvidables. Desde aquí, accedes a una encantadora terraza amueblada con pérgola, perfecta para relajarte o compartir con amigos. La cocina abierta, equipada con una elegante isla, se convierte en el corazón del hogar, donde la funcionalidad se une al diseño moderno. Con tres acogedoras habitaciones, todas con armarios empotrados, y dos baños, uno de ellos en suite, este ático es perfecto para familias o para quienes trabajan desde casa. La calefacción individual de gas natural y el aire acondicionado por conductos garantizan un ambiente confortable durante todo el año. Los suelos de tarima flotante resistentes al agua y las ventanas de PVC KOMMERLING oscilobatientes añaden un toque de calidad y eficiencia energética. Además, cuenta con un sistema de sonido integrado con bluetooth para disfrutar de tu música favorita en cualquier rincón. Ubicado en una zona con excelente conexión a líneas de autobuses, metro y cercanías, este ático no solo ofrece una experiencia única de vida, sino también la comodidad de estar cerca de todo. No pierdas la oportunidad de hacer de este exclusivo ático tu nuevo hogar. ¡Ven a visitarlo y déjate enamorar!",True,good,False,False,7500.0,True,False,True,False,[],False,False,540000.0,€,flat,"Prosperidad, Madrid",Ático en calle de Daganzo,Destacado,penthouse,,,,,,,
105291816,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/95/f2/1341498858.webp,26,8,2150000.0,flat,sale,305.0,True,5,3,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4409911,-3.7178522,False,https://www.idealista.com/inmueble/105291816/,"¡Exclusivo piso completamente exterior con amplia terraza en edificio de prestigioso arquitecto! Descubre este magnífico piso totalmente exterior, caracterizado por sus grandes ventanales de suelo a techo que inundan de luz natural cada rincón. Las ventanas, de excelente calidad Climalit, garantizan un aislamiento térmico y acústico perfecto. El salón, amplio y luminoso, cuenta con una elegante chimenea que aporta calidez y estilo. Desde aquí, podrás acceder a una amplia terraza ideal para disfrutar del aire libre y momentos de relax. Además de unas vistas únicas de 180º desde un octavo piso. El suelo de mármol negro en todo el piso le añade un toque de sofisticación y modernidad. La cocina está completamente amueblada y equipada con electrodomésticos de alta gama, lista para satisfacer todas tus necesidades culinarias. El piso ofrece una distribución excelente con 4 dormitorios, además de una habitación de servicio, proporcionando espacio más que suficiente para una familia grande o para quienes necesitan un despacho en casa. Dispone de dos cuartos de baño completos y un baño de servicio, todos ellos diseñados con buen gusto y funcionalidad. Ubicado en un edificio diseñado por un arquitecto de prestigio, este piso ofrece no solo un hogar, sino una pieza de diseño arquitectónico. La calidad de la construcción y los detalles cuidadosamente seleccionados lo convierten en una opción incomparable en el mercado. Este inmueble tiene un sinfín de posibilidades para adaptarse a tus necesidades y gustos personales. ¡No pierdas la oportunidad de vivir en un espacio único y exclusivo! Para más información o para concertar una visita, no dudes en contactarnos. ¡Estamos a tu disposición para ayudarte a encontrar tu hogar ideal!",False,good,False,True,7049.0,True,False,True,False,[],False,False,2150000.0,€,flat,"Vallehermoso, Madrid",Piso,Destacado,,A2392,True,True,,,,
107853756,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/bd/33/1328128032.webp,53,bj,986000.0,duplex,sale,161.0,True,3,2,calle de Andrés Mellado,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4398784,-3.7138716,False,https://www.idealista.com/inmueble/107853756/,"MIREHOUSES pone a su disposición en EXCLUSIVA. **Dúplex en Venta en Madrid Capital - ¡Tu nuevo hogar te espera! ** Descubre este espectacular dúplex en una de las zonas más codiciadas de Madrid, a un paso del intercambiador de Moncloa. Con una ubicación inmejorable, estarás cerca del Hospital Fundación Jiménez Díaz y de prestigiosos colegios mayores como San Pablo, además de la Universidad Politécnica. En tan solo 10 minutos puedes llegar al vibrante centro de la capital. Este inmueble ha sido totalmente reformado, ofreciendo calidad y confort en cada rincón. Con 161 m² construidos y 133 m² útiles, cuenta con tres amplios dormitorios equipados con armarios empotrados, ideales para maximizar el espacio. La planta baja incluye una entrada diáfana que da paso a dos habitaciones, un baño completo con plato de ducha y un aseo independiente.  Sube a la primera planta por una cómoda escalera y disfruta de un amplio salón con gran capacidad de almacenamiento y buena iluminación gracias a su orientación oeste. Aquí también encontrarás el tercer dormitorio, que cuenta con baño en suite, perfecto para mayor privacidad. La cocina está completamente equipada y hay una zona de lavandería que añade funcionalidad al hogar. Además, el dúplex cuenta con climatización por gas central y aire acondicionado por bomba, asegurando un ambiente agradable durante todo el año. En la planta baja del edificio hay un trastero y espacio para bicicletas, facilitando aún más tu día a día. No dejes pasar la oportunidad de vivir en este magnífico dúplex en Madrid, donde calidad de vida y comodidad se unen. ¡Contáctanos para más información!",True,good,False,True,6124.0,True,False,True,False,[],False,False,986000.0,€,flat,"Vallehermoso, Madrid",Dúplex en calle de Andrés Mellado,Destacado,duplex,,,,,,,
107864090,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/d6/8f/1326611204.webp,41,1,560000.0,flat,sale,95.0,True,3,2,calle de la Batalla del Salado,Madrid,Madrid,Arganzuela,es,Delicias,40.4000744,-3.6978436,False,https://www.idealista.com/inmueble/107864090/,"DIRECTAMENTE PROPIEDAD, SIN COMISIONES. Descubre el hogar de tus sueños en este espectacular piso recién reformado de 95 m²! Ubicado en la primera planta de un edificio con ascensor, este moderno y acogedor espacio te ofrece todo lo que necesitas para vivir con comodidad. Disfruta de un amplio salón-comedor con vistas al exterior y una moderna cocina abierta, equipada con una elegante isla y totalmente amueblada. Las tres habitaciones cuentan con armarios empotrados, ofreciendo un espacio de almacenamiento óptimo, mientras que los dos baños, uno de ellos en suite, garantizan privacidad y confort. La calidad del piso se refleja en los suelos de tarima flotante PARADOR resistentes al agua y las ventanas de PVC KOMMERLING oscilobatientes y persianas motorizadas en salón y dormitorio principal, que aseguran aislamiento y eficiencia energética. La carpintería interior de madera lacada en blanco añade un toque de elegancia, y el sistema de sonido integrado con bluetooth eleva la experiencia de vivir aquí. Además, la calefacción individual y el aire acondicionado por conductos te permitirán disfrutar de la temperatura ideal durante todo el año. Este piso también cuenta con una excelente conexión a varias líneas de autobuses, metro y cercanías, estarás siempre bien comunicado. No pierdas la oportunidad de visitar este piso en un entorno bien comunicado y con una reforma integral. ¡Tu nuevo hogar te está esperando!",True,good,False,True,5895.0,True,False,True,False,[],False,False,560000.0,€,flat,"Delicias, Madrid",Piso en calle de la Batalla del Salado,Destacado,,,,,,,,
108790849,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/18/26/1355213338.webp,13,4,345000.0,flat,sale,59.0,True,1,1,"calle de Rafael Bergamín, 20",Madrid,Madrid,Ciudad Lineal,es,San Juan Bautista,40.4502049,-3.6615622,True,https://www.idealista.com/inmueble/108790849/,"inmoversion es la mejor opción para propietarios y compradores. No cobramos NADA al comprador y al propietario una tarifa fija. Somos la inmobiliaria sin comisión líder en la zona.  Vivienda situada en el DISTRITO DE CIUDAD LINEAL, en la mejor zona de SAN JUAN BAUTISTA.  Los dueños de esta vivienda han decidido ponerla a la venta. Es un estudio/apartamento con un gran salón, 1 baño y cocina independiente. Una acogedora vivienda con zonas comunes.  Es una vivienda ideal para inversión o como acceso a una primera vivienda. Si estás buscando una vivienda en la zona es una de las mejores opciones que actualmente hay en el mercado.  Características del edificio: Edificio construido en el año 1997. Promotor: PRYCONSA  Está ubicada en la planta CUARTA en una urbanización muy tranquila de tamaño Grande.   Características de la vivienda:  Superficie construida: 59m2. Superficie útil: 49m2  Lista para entrar a vivir. Totalmente exterior. Salón y cocina independientes. CLIMATIZACIÓN por conductos (A/A con bomba de calor).  La urbanización cuenta con PISCINA. Servicio de Conserjería 24 h. Opción recomendable como residencia. También es una buena elección para destinar al arrendamiento. La vivienda se vende sin amueblar. Gastos e impuestos: el precio indicado no incluye impuestos ni gastos de escrituración.  Las características de la vivienda son meramente informativas. No tienen valor contractual.  El mobiliario y enseres que puedan aparecer en las fotografías del anuncio no se encuentran incluidos en el precio de venta del inmueble.  GESTION DE VISITAS: Si consideras que esta vivienda te puede interesar y encaja con lo que buscas, te invitamos a conocerla. Para una mejor gestión te recomendamos RELLENAR EL FORMULARIO de contacto facilitando tu nombre, teléfono de contacto y disponibilidad para la visita.  ¿Necesitas vender tu vivienda para poder comprar? En inmoversion te podemos ayudar. Sin comisiones obtendrás mayor beneficio. Vendemos de media en 30-60 días, gracias a que ofrecemos el mejor precio garantizado y no cobramos nada al comprador.  Sobre nosotros:  inmoversion es una inmobiliaria que no cobra comisiones. El vendedor sólo paga una tarifa fija y no cobramos nada al comprador. El precio de la vivienda no soporta comisiones de agencia y esta ajustado al precio de mercado. Visita inmoversion. es y conoce como trabajamos.",False,good,False,True,5847.0,True,False,True,False,[],False,False,345000.0,€,flat,"San Juan Bautista, Madrid","Piso en calle de Rafael Bergamín, 20",Destacado,,NM00972,,,,,,
107542902,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/46/b1/1315578696.webp,52,bj,698000.0,flat,sale,109.0,False,1,1,calle de la Drácena,Madrid,Madrid,Chamartín,es,Nueva España,40.4629424,-3.6669874,False,https://www.idealista.com/inmueble/107542902/,"Presentamos un espectacular bajo de 1 dormitorio y 1 baño, completamente reformado y amueblado, ubicado en un prestigioso edificio con portero. Este encantador inmueble ofrece aproximadamente 109 m² construidos, destacando por su amplitud, reciente renovación y excelente distribución.  Características principales:  Dormitorio amplio y cómodo, con espacio de almacenamiento  Baño moderno, completamente renovado  Salón acogedor y luminoso  Cocina totalmente equipada con electrodomésticos de alta gama  Reforma reciente con materiales de primera calidad  Excelente distribución y generosos espacios  Servicio de portería para mayor seguridad y tranquilidad   Disfruta de un hogar listo para entrar a vivir desde el primer día, donde confort y funcionalidad se combinan en un entorno moderno y acogedor.   En SSH PROPERTY vamos más allá del simple concepto de inmobiliaria. Nos especializamos en compraventa, alquiler, relocations y servicios de Personal Shoppers Inmobiliarios (PSI). Contamos con una sólida presencia en el Barrio de Salamanca y otras zonas exclusivas de Madrid y de toda España.   ¿Quieres vender o alquilar tu propiedad? Visítanos en nuestra oficina en Calle José Ortega y Gasset, 25, o contáctanos por teléfono fijo o WhatsApp.",True,good,False,True,6404.0,True,False,True,False,[],False,False,698000.0,€,flat,"Nueva España, Madrid",Piso en calle de la Drácena,Destacado,,1224,,,,,,
95652811,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/be/15/1207498881.webp,66,,2600000.0,chalet,sale,1386.0,,9,13,calle los Cerezos,Madrid,San Lorenzo de El Escorial,Abantos - Carmelitas,es,,40.585115,-4.1653275,False,https://www.idealista.com/inmueble/95652811/,"SSH PROPERTY presenta una magnífica propiedad con una parcela de 3.122m2 y tres plantas ubicada en El Escorial.  LOCALIZACIÓN  La vivienda se encuentra en San Lorenzo de El Escorial. Una de las mejores zonas, en Abantos/Carmelitas, a 50 kilómetros del centro de Madrid. Un municipio lleno de historia con uno de sus monumentos más emblemáticos como el Monasterio de San Lorenzo El Real. De gran valor turístico, también cabe destacar el Valle de los Caídos, situado a 9 kilómetros de El Escorial, otro de los complejos más visitados.  La vivienda dispone de una localización privilegiada al estar en contacto con pura naturaleza gracias a la Sierra de Guadarrama. Sus cordilleras montañosas generan una corriente atmosférica idónea en todas las estaciones del año. Su entorno con la naturaleza permite tener uno de los aires más puros alejado del bullicio del centro de Madrid.  CARACTERÍSTICAS GENERALES  El chalet está ubicada en el Barrio de los Reyes de San Lorenzo de El Escorial, al pie del monte Abantos. Al ser la última parcela antes de acceder al monte de titularidad pública y, por tanto, protegido: no se puede construir en los laterales de la propiedad que miran hacia el monte.  La parcela tiene una superficie total de 3.122m2. Se entra a la propiedad por una amplia zona transitable con acabados de baldosas de terraza. Al pasar por su hermoso jardín, cultivado con especies autóctonas adaptadas a su entorno con riego automático, se llega a la vivienda que consta de tres plantas con más de 500m2 x en la planta Principal y Planta Baja y con un gran garaje de 248m2 con capacidad para 7 coches.  La distribución de la vivienda destaca por su magnífica entrada con vestíbulo y bellas escaleras señoriales, así como, un ascensor que llega a sus tres plantas.  En la Planta Principal se encuentra una cocina con gran amplitud totalmente equipada y con accesos para el personal de servicio, un gran salón/comedor de 95m2, dos habitaciones en suite, aseos de invitados y despacho, así como bellos balcones con vistas al Monasterio del Escorial y a la naturaleza que la invitan al interior de la vivienda.  En la última planta se encuentra una bella biblioteca de 122m2, 2 habitaciones en suite y un gran vestidor/taller de 40m2.  En la planta Bajocubierta con 412m2, recientemente reformada de lujo, de diseño arquitectónico, con materiales Premium y acabados elegantes, tiene un gran vestíbulo al bajar las escaleras. Actualmente se encuentra una gran mesa de pool, de ahí, unas bellas puertas correderas de madera maciza, nos llevan al 2do. salón/comedor de la casa con una bella cocina abierta, con isla fabricada a medida, creando un ambiente moderno para grandes reuniones, que se incorpora a la reciente zona exterior de esparcimiento con solárium y piscina climatizada con cobertura automatizada. Antes de llegar a sus habitaciones, los amplios pasillos han sido diseñados con armarios modernos y amplios. Las 5 habitaciones en suite, con sus baños modernos y atemporales de suelos porcelánicos, lavabo sobre encimera fabricada a medida y radiadores, duchas totalmente equipadas con mampara de puerta corredera. Además de una zona de lavado y planchado.",True,good,False,,1876.0,True,False,True,False,[],False,False,2600000.0,€,chalet,"Abantos - Carmelitas, San Lorenzo de El Escorial",Casa independiente en calle los Cerezos,Destacado,independantHouse,1033,,,,,,
104620934,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/74/c7/1227934021.webp,43,,489000.0,chalet,sale,400.0,,5,4,avenida Valdelacea,Madrid,Arroyomolinos,Zona el Caño,es,,40.2782945,-3.9244963,False,https://www.idealista.com/inmueble/104620934/,"REDPISO ARROYOMOLINOS VENDE ESPECTACULAR CHALET PAREADO CON DORMITORIO EN PLANTA. Este fabuloso chalet se encuentra cercano a todo tipo de comercios, colegios, institutos, parada de autobús, zonas verdes, etc. La vivienda se distribuye en cuatro plantas en las que encontramos: PLANTA PRINCIPAL: nos encontramos con un hall recibidor con armario empotrado, del cual pasamos a una amplia y luminosa cocina, donde cocinar será todo un placer para los sentidos además dispone de terraza. A continuación damos paso al gran salón que te proporcionará esos momentos de calidez familiar, con salida directa al jardín y su fantástica piscina en la que podrás pasar los calurosos días de verano en compañía de tu familia y amigos. En esta planta también contamos con un baño completo y un dormitorio con armario empotrado. PRIMERA PLANTA: disponemos de 4 confortables dormitorios con armarios empotrados excepto uno de ellos, además el dormitorio principal cuenta con vestidor, aire acondicionado y una coqueta terraza. SEGUNDA PLANTA: nos encontramos con una buhardilla diáfana con ventana y 2 velux. PLANTA SOTANO: Dotado de un fantástico salón con chimenea, una cocina sin amueblar, un aseo y el GARAJE con espacio para dos coches. ESTA EXCLUSIVA VIVIENDA TE ESTA ESPERANDO, NO DUDES EN VENIR A VISITARNOS, ¡ESTAREMOS ENCANTADOS DE ATENDERTE! Financiación ofrecida por nuestro departamento financiero DCREDIT. Según el Real Decreto de 218/2005 de 11 de octubre, los precios ofertados no comprenden los tributos (Impuestos de Transmisiones Patrimoniales), ni los gastos notariales y registrales relativos a la compra-venta, ni la comisión de intermediación que satisface el comprador.",True,good,False,,1223.0,True,False,True,False,[],False,False,489000.0,€,chalet,"Zona el Caño, Arroyomolinos",Chalet pareado en avenida Valdelacea,Destacado,semidetachedHouse,RP1712024125468,True,True,,,,
108914256,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/03/a1/1358787482.webp,32,bj,417000.0,flat,sale,82.0,True,2,2,calle de Mota del Cuervo,Madrid,Madrid,Hortaleza,es,Canillas,40.4653527,-3.6283296,False,https://www.idealista.com/inmueble/108914256/,"VOhome propiedades vende en exclusiva piso de obra nueva en Calle Mota del Cuervo ""Villarrosa.  Informamos que algunas de las imágenes del reportaje fotográfico se han realizado mediante un medio digital, pudiendo diferir del estado actual de la vivienda Vivienda a estrenar, recién reformada con materiales y acabados de las mejores calidades. Se encuentra en una planta baja muy luminosa gracias a su excelente orientación sur y a sus grandes ventanales, que además cuentan con vidrio espejado para garantizar total privacidad desde el exterior sin perder luz natural en el interior. La distribución es moderna y funcional. Cuenta con una cocina americana integrada en un amplio salón-comedor. Dispone de dos dormitorios, uno de ellos con vestidor y baño en suite equipado con plato de ducha. Además, hay un segundo baño completo, también con plato de ducha. La vivienda dispone de calefacción central y cuenta con la preinstalación de aire acondicionado por conducto. El acceso está adaptado para personas con movilidad reducida, lo que aporta comodidad y accesibilidad para todos los perfiles de usuario. Esta es una oportunidad ideal para quienes buscan un hogar moderno, luminoso y listo para entrar a vivir. Muy buena ubicación frente al complejo deportivo Luis Aragones. Situado a 500 m del metro Canillas y a 15 min del metro Mar de Cristal. Con buena salida a las carreteras M40, M30 Y M11. La zona cuenta con todo tipo de comercios, recalcando el centro comercial Carrefour y el centro comercial Palacio del Hielo, a menos de diez minutos del local. Próximo tanto a colegios como el Ramón Pérez de Ayala o el colegio Público Garcilaso de la Vega como a escuelas infantiles, también podemos encontrar supermercados como el Ahorramás. Además podemos señalar otros lugares de interés como el IFEMA, el Aeropuerto Adolfo Suarez, el Parque Rey Juan Carlos I y el parque Capricho. Informarle, que disponemos de un departamento financiero que asesora completamente gratis. ""Te financiamos tu vivienda hasta el 100% del valor de compraventa"" Tipo de interés fijo: desde 1,85 % Tipo de interés variable: desde Er+0.50 % Infórmese sin compromiso comunicándose con la oficina VOhome–  *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría-Gestoría / Registro / intermediación inmobiliaria y/o financiera)*.",False,good,False,False,5085.0,False,False,True,False,[],False,False,417000.0,€,flat,"Canillas, Madrid",Piso en calle de Mota del Cuervo,Destacado,,VO160469,,,,,,
