propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108778297,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/05/c8/1354851498.webp,17,2,675000.0,flat,sale,91.0,True,3,2,calle de Eugenio Salazar,Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.4444575,-3.6728684,False,https://www.idealista.com/inmueble/108778297/,"Descubre todas las ventajas de comprar directamente con URBANTEC REALTY.  Te presentamos un exclusivo piso reformado en el corazón de Ciudad Jardín, Madrid, ideal para quienes buscan ubicación, confort y estilo.  Ubicado en la Calle Eugenio Salazar, esta vivienda cuenta con 91 m² distribuidos en un amplio salón-comedor lleno de luz natural, cocina independiente totalmente equipada, 3 dormitorios con armarios empotrados, 2 baños completos y una terraza para disfrutar al aire libre.  Situado en una 2ª planta exterior con ascensor, el piso ha sido completamente reformado e incluye aire acondicionado y cocina amueblada, ofreciendo todo el confort que mereces.  Su ubicación es inmejorable, a pasos del Auditorio Nacional de Música, el Registro Civil y el Parque de Berlín, con conexión inmediata al Intercambiador de Avenida de América, rodeado de supermercados, colegios, restaurantes, gimnasios y con excelentes comunicaciones gracias a las estaciones de metro Prosperidad (L4) y Cruz del Rayo (L9). Las imágenes son reales tras la reforma.  El mobiliario no está incluido en el precio y es únicamente representativo para que puedas visualizar las dimensiones y el potencial decorativo, excepto la cocina y los baños que si están incluidos en el precio y en la vivienda. Agenda tu visita ahora mismo y descubre tu nuevo hogar. En URBANTEC REALTY te acompañamos durante todo el proceso para que comprar sea fácil, seguro y sin complicaciones y recuerda. NO COBRAMOS COMISION DE EN NUESTRA AGENCIA..",True,good,False,True,7418.0,True,False,False,False,[],False,False,675000.0,€,686000.0,11000.0,2.0,flat,"Ciudad Jardín, Madrid",Piso en calle de Eugenio Salazar,Destacado,,,,,,
101499618,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/97/d4/1280297054.webp,29,9,1200000.0,penthouse,sale,157.0,True,1,1,Barrio Fuente del Berro,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4305016,-3.6649322,False,https://www.idealista.com/inmueble/101499618/,"Olisson Club ofrece este maravilloso ático de autor con 2 terrazas y vistas impresionantes a la Plaza de Toros de Madrid. La vivienda destaca por su espectacular interiorismo realizado por un reconocido diseñador y por disponer de 2 terrazas con vistas panorámicas increíbles.  El piso se compone de 105 metros de vivienda y 52 metros de terraza repartidos entre dos ambientes diferentes.  Según accedemos a la casa, nos encontramos con un gran salón muy luminoso y con ventanales de suelo a techo que dan acceso directo a una de las espectaculares terrazas, ideal para disfrutar todo el año. El dormitorio principal cuenta con vestidor y baño en suite, destacando por su original diseño. Existe la posibilidad de sacar de forma sencilla una segunda habitación también con un baño en suite.  El espectacular comedor rodeado de cristaleras se encuentra junto a la cocina de diseño y dan acceso a la segunda terraza en la que nos encontramos una mesa de madera para comer.  La vivienda cuenta con calefacción central y aire acondicionado. La finca dispone también de ascensor y conserje. La propiedad se encuentra en la zona de Fuente del Berro, Barrio Salamanca. Rodeada de una amplia oferta de comercios locales, restauración y servicios. La localización es inmejorable debido su gran cercanía a una de las arterias principales de Madrid: la calle Alcalá. Además de la famosa Plaza de Manuel Becerra y el gran parque de Fuente del Berro. [IW].",False,good,False,True,7643.0,True,False,False,False,[],False,False,1200000.0,€,,,,flat,"Fuente del Berro, Madrid",Ático,Destacado,goy358IT,penthouse,,,,
106557348,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/1d/b2/1344426684.webp,94,,2800000.0,chalet,sale,974.0,,10,7,calle de Camarines,Madrid,Madrid,Moncloa,es,Aravaca,40.4606453,-3.7699704,False,https://www.idealista.com/inmueble/106557348/,"^**^IMPRESIONANTE SEÑORÍO EN LA EXCLUSIVA ZONA DE MONCLOA, 970M2 CONSTRUIDOS EN PARCELA DE MAS DE 3600M2^**^  Este impresionante señorío se encuentra en una exclusiva zona de Moncloa, una ubicación privilegiada donde propiedades de estas dimensiones y características son auténticas excepciones. Las edificaciones, con su diseño tradicional y toques de distinción, contrastan de manera única con el entorno urbano de Moncloa, ofreciendo una fusión de privacidad, amplitud y exclusividad difícil de encontrar en esta zona.  Con más de 970 m² de construcciones distribuidas en tres edificaciones y una impresionante parcela de 3,600 m², es el refugio perfecto para quienes buscan un espacio exclusivo y lleno de carácter. La posibilidad de edificar 100 m² adicionales brinda una oportunidad única de personalización, lo que convierte a este inmueble en una joya con infinitas posibilidades. La casa principal, que es el corazón del señorío, destaca por sus más de 460 m² de elegancia y estilo clásico. El salón comedor de doble altura es una auténtica obra maestra, con una majestuosa chimenea que se convierte en el centro de las reuniones familiares, acompañado de grandes ventanales con arcos que permiten vistas ininterrumpidas al espléndido jardín. Este espacio bañado por la luz natural es ideal para disfrutar de largas tardes de confort y calidez. El despacho, con dos accesos y paredes revestidas en madera, refleja el refinado estilo de la propiedad, aportando un aire de elegancia clásica que rememora tiempos pasados. La planta principal también cuenta con un aseo de cortesía y un cuarto de lavadoras que añade un toque práctico y funcional. En la zona de descanso, los cinco dormitorios con armarios empotrados están pensados para brindar comodidad y privacidad. El dormitorio principal en suite tiene un amplio baño, mientras que los demás dormitorios comparten otro baño completo, lo que ofrece un equilibrio perfecto entre intimidad y confort familiar. En la planta baja, esta vivienda no deja de sorprender, con un segundo salón comedor de dos alturas, una gran cocina equipada con una zona de desayuno, despensa y acceso a la zona de servicio, que incluye una bodega, perfecta para los amantes del buen vino, y una amplia sala multiusos que se puede adaptar a las necesidades del propietario. Además, la zona de descanso en esta planta ofrece un dormitorio adicional con su propio baño, ideal para huéspedes o personal de servicio. La casa de invitados, completamente independiente, es otro de los grandes atractivos del señorío. Con su propio acceso directo desde el jardín y el garaje, cuenta con un amplio salón comedor, una gran cocina con despensa, y en la planta superior, dos generosos dormitorios con baño en suite. El salón adicional con chimenea en esta casa de invitados es ideal para recibir amigos y familiares, brindando la privacidad y comodidad de una estancia independiente dentro de la misma propiedad. El tercer edificio, con más de 30 m², está diseñado como un choco para reuniones o eventos. En el exterior, la piscina, el frontón y el huerto se integran en este espacio al aire libre, ofreciendo un estilo de vida al aire libre lleno de actividades para toda la familia Sin duda, esta propiedad es una verdadera oportunidad para quienes buscan no solo una vivienda, sino un estilo de vida único en un entorno incomparable. ^**^Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual^**^ ***NO COBRAMOS COMISIÓN AL COMPRADOR.",True,good,False,,2875.0,True,False,True,False,[],False,False,2800000.0,€,,,,chalet,"Aravaca, Madrid",Casa independiente en calle de Camarines,Destacado,PR99559062,independantHouse,True,True,,
107863009,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/d3/96/1326561007.webp,26,2,2400000.0,flat,sale,192.0,True,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4330145,-3.6784262,False,https://www.idealista.com/inmueble/107863009/,"Olisson Club ofrece esta magnífica vivienda exterior a estrenar con balcón, en el barrio de Salamanca. Esta propiedad de 192 m2 se encuentra recién reformada con los mejores materiales, cuidando hasta el más mínimo detalle.  Se distribuye de la siguiente manera: desde el hall accedemos a una espaciosa zona social con un amplio salón-comedor y una zona de trabajo, desde ambas estancias tenemos acceso a un amplio balcón desde el que podemos disfrutar de una vistas despajadas y los grandes ventanales hacen que la entrada de luz sea maravillosa. Al otro lado del hall tenemos una espectacular cocina equipada con el más mínimo detalle, con una inmensa isla, ideal para convertirse en centro reuniones sociales con amigos y familiares. Siguiendo el recorrido de la casa entramos en la zona de descanso, totalmente independiente. Esta cuenta con tres dormitorios, dos de ellos con baño en suite. Todas ellas con amplios armarios de suelo a techo. El tercer dormitorios tiene un baño completo justo enfrente. La casa también cuenta con aseo de cortesía y lavandería. La reforma y el interiorismo de la vivienda se han cuidado hasta el último detalle. Los materiales empleados en cocina y baños, el sistema de calefacción, la carpintería exterior e interior, o todo el sistema de iluminación con luces directas e indirectas, son detalles pensados y cuidados por el arquitecto para que la vivienda cuente con todos los lujos y comodidades. Se ubica en una finca de 1946 y cuenta con servicio de portería y trastero La vivienda se ubica en el barrio de Salamanca, una de las zonas más privilegiadas de Madrid, a un paso de los restaurantes mas exclusivos de la zona. Esta ubicación tan céntrica, facilita la conexión con el resto de la ciudad y el poder disfrutar de los museos y diversas zonas de moda. Además, está a solo 20 minutos del aeropuerto. Es una zona residencial, con varias terrazas y ofertas de restauración, supermercados y tiendas, e inmejorable comunicación tanto con la exclusiva milla de oro de la calle Serrano y la zona de embajadas, con inmediato acceso al parque del Retiro y la zona de museos con el Prado y el jardín Botánico como idílicos enclaves, así como con la estación de Atocha y vías de circunvalación. [IW].",True,good,False,True,12500.0,True,False,False,False,[],False,False,2400000.0,€,,,,flat,"Lista, Madrid",Piso,Destacado,lis464MS,,,,,
108461545,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/95/85/1353513938.webp,54,,825000.0,chalet,sale,377.0,,5,4,calle Fresno,Madrid,Galapagar,Los Jarales - Las Minas,es,,40.5837192,-3.9711494,False,https://www.idealista.com/inmueble/108461545/,"***¡MAGNÍFICO CHALET INDEPENDIENTE EN UNA URBANIZACIÓN EXCLUSIVA CON PISCINA! ***  Junto a La Colonia de Torrelodones, en uno de los municipios más cotizados de la zona noroeste de Madrid y en un área protegida del parque regional del curso medio del Guadarrama. Esta preciosa casa en Los Jarales reúne la serenidad de un entorno natural privilegiado con la comodidad de tener muy cerca todos los servicios necesarios y de estar muy bien comunicada tanto en coche (A6) como en trasporte público (próxima a la estación de cercanías de Torrelodones y con parada en la puerta del autobús 631, directo a Moncloa). El chalet se levanta en una parcela verde de 522m² con un jardín consolidado y tiene una ubicación inmejorable en la urbanización privada Torrechalet, con solo 10 vecinos que disfrutan de una espectacular piscina. Le corresponden dos plazas en la zona de aparcamiento exterior techada de la urbanización. La calefacción es de gas natural. La vivienda se distribuye en cuatro plantas con dos accesos (principal y servicio). Cada planta mide entre 75m² y 121m². En la planta principal, el salón se abre a un agradable porche de más de 30m² en el que compartir los mejores ratos al aire libre. Junto al salón con chimenea está el comedor con muy buena luz natural y acceso a la amplia cocina a través de la zona de office. Un buen hall distribuidor y un aseo de cortesía completan esta planta con escalera cómoda para subir a la primera planta. Arriba, brilla una soleada terraza a la que se accede desde dos de los tres dormitorios que ofrece esta planta. Un baño completo da servicio a estos dos dormitorios dobles. El dormitorio principal cuenta con vestidor y baño en suite. La encantadora buhardilla alberga una salita de juegos, dos dormitorios y un gran baño completo. Está equipada con aire acondicionado. La planta sótano cuenta con diferentes estancias y un gran portón. No dude en llamarnos para visitar este estupendo hogar en un enclave privilegiado.   **NO COBRAMOS HONORARIOS AL COMPRADOR** **Este anuncio se muestra a título informativo, no es contractual ni vinculante y puede contener errores**.",True,good,False,,2188.0,True,False,True,False,[],False,False,825000.0,€,,,,chalet,"Los Jarales - Las Minas, Galapagar",Casa independiente en calle Fresno,Destacado,Mrvlls3,independantHouse,True,True,,
102108438,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/d4/48/1344107931.webp,50,3,435000.0,flat,sale,40.0,True,1,1,calle de la Cava Baja,Madrid,Madrid,Centro,es,Palacio,40.4110758,-3.707719,False,https://www.idealista.com/inmueble/102108438/,"^**^GLAMOUR EN EL CORAZON DE MADRID, EMBLEMATICO APARTAMENTO EN EL MADRID DE LOS AUSTRIAS^**^ Se vende un fabuloso apartamento de 40 metros cuadrados, una auténtica pieza única de colección, ubicada en la prestigiosa Cava Baja, donde se encuentran los restaurantes más famosos y la vida más glamurosa de la ciudad. Se encuentra en la tercera planta de un edificio emblemático, totalmente renovado y con ascensor. Este acogedor y moderno apartamento se presenta totalmente amueblado y equipado con lo último en tecnología y comodidades. Disfruta y prepara tus comidas favoritas en la cocina equipada con electrodomésticos de primera calidad, incluyendo un microondas, lavavajillas, frigorífico y lavadora… totalmente equipado Impresionante isla de cocina con encimera silestone y suelos cerámicos El confort no es un problema, ya que el estudio cuenta con calefacción eléctrica mediante radiadores cerámicos, proporcionándote un ambiente cálido y acogedor durante todo el año. No dejes pasar la oportunidad de vivir en el corazón de Madrid, rodeado de una vibrante oferta gastronómica y cultural, y a pocos pasos de la diversión y el glamour que solo esta ubicación puede ofrecer. Desde su balcón podrás disfrutar del mejor ambiente de Madrid Plaza Mayor, Puerta del Sol, Palacio Real son algunos de los sitios emblemáticos que se encuentran a menos de 10 minutos andando ¡Llama ahora para obtener más información y asegura tu lugar en este excepcional apartamento en Cava Baja! ¡No te pierdas esta única pieza de colección! ^**^Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual^**^ ***NO COBRAMOS COMISIÓN AL COMPRADOR.",True,good,False,True,10875.0,True,True,True,False,[],False,False,435000.0,€,,,,flat,"Palacio, Madrid",Piso en calle de la Cava Baja,Destacado,3373-7231,,,,,
108089636,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/93/5d/1353513626.webp,48,8,1150000.0,flat,sale,152.0,True,4,3,calle de las Normas,Madrid,Madrid,Ciudad Lineal,es,San Juan Bautista,40.4524682,-3.6631442,False,https://www.idealista.com/inmueble/108089636/,"**¡ESTUPENDO PISO CON TERRAZA PERIMETRAL, VISTAS HASTA LA SIERRA Y MAGNÍFICAS ZONAS COMUNES CERCA DE LA CALLE ARTURO SORIA! ** Disfrutar de un espléndido jardín muy cuidado, consolidado y verde junto a una magnífica piscina no es incompatible con tener el Metro literalmente en la puerta de casa. Así es la combinación perfecta que ofrece este inmueble y que lo hace una opción ideal para vivir y como inversión.  Es muy luminoso gracias a su altura en la octava planta, a que es totalmente exterior haciendo esquina, a su doble orientación norte y oeste, y a su terraza perimetral que rodea toda la vivienda. Actualmente se distribuye en cuatro habitaciones, la principal con baño en suite y todas con armarios empotrados, tres cuartos de baño, un amplio salón comedor con salida a la terraza, una buena cocina independiente con terraza tendedero y un hall recibidor. Además, cuenta con una plaza de garaje en el sótano del edificio con acceso directo a través del ascensor y con un trastero en la planta ático. La calefacción es central de gas con contadores individuales y tiene aire acondicionado en uno de las habitaciones. El piso tiene 153m² construidos según catastro, de los que 144m² son vivienda y 9m² son elementos comunes. En el Registro de la Propiedad consta una superficie aproximada de 142,72m².  Además de servicio de conserjería, cuenta con vigilancia 24 horas y ofrece unas agradables zonas comunes ajardinadas, una piscina estupenda recién arreglada, zona infantil con columpios y una cancha multideporte. La ubicación de esta casa en el distrito de San Juan Bautista es magnífica: muy cerca de Arturo Soria y del Parque Félix Rodríguez de la Fuente y rodeada de todos los comercios y servicios necesarios. Está muy bien comunicada gracias a que tiene en la puerta de la urbanización la estación de Metro de Avenida de la Paz (línea 4), cerca varias paradas de autobuses urbanos (9, 53, 72, 73, 120, N2) y un acceso inmediato a la M30. **NO COBRAMOS HONORARIOS AL COMPRADOR** *Este anuncio se muestra a título informativo, no es contractual ni vinculante y puede contener errores*.",True,good,False,True,7566.0,True,False,True,False,[],False,False,1150000.0,€,,,,flat,"San Juan Bautista, Madrid",Piso en calle de las Normas,Destacado,CRnrmsMM,,True,True,,
108566747,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/f3/4a/1348879535.webp,72,,1690000.0,chalet,sale,324.0,,4,4,calle de Antonio López Torres,Madrid,Madrid,Hortaleza,es,Valdebebas - Valdefuentes,40.4754826,-3.6299777,False,https://www.idealista.com/inmueble/108566747/,"^**^ADOSADO DE LUJO EN CARCAVAS, VALDEBEBAS CON TRES PLANTAS, DOMOTICA INTEGRAL Y AEROTERMIA^**^ Ponemos a la venta esta espectacular vivienda adosada de lujo situada en una de las zonas más tranquilas y exclusivas del distrito de Hortaleza, en Madrid. Se trata de un chalet adosado de tres plantas en perfecto estado, con una distribución inteligente, excelentes calidades y un diseño que prioriza la comodidad, la eficiencia energética y la luminosidad en todos sus espacios. En la planta baja encontramos un amplísimo salón comedor con un impresionante tragaluz que inunda la estancia de luz natural durante todo el día, aportando además una extraordinaria sensación de amplitud. Este espacio se conecta con la cocina a través de una gran puerta corredera que permite disfrutar de un ambiente abierto o mantener ambas estancias independientes, adaptándose al estilo de vida del momento. También se ubica en esta planta un elegante aseo de cortesía. La planta superior está dedicada íntegramente al descanso, con tres dormitorios. El principal, muy amplio, cuenta con vestidor y baño en suite, mientras que los otros dos comparten un baño completo, todo con acabados modernos y funcionales. La planta sótano alberga un espacioso garaje con capacidad para varios vehículos, una sala de lavandería, una sala técnica y un dormitorio en suite ideal para servicio, invitados o como despacho independiente. La vivienda ha sido construida con estructura mixta y losa de hormigón, lo que permite una planta baja totalmente diáfana, sin columnas, y con el forjado preparado para la futura instalación de ascensor. Está equipada con aislamiento térmico y acústico de primer nivel, carpintería exterior de aluminio Cortizo con cristales de alta eficiencia y persianas motorizadas domotizadas en todas las ventanas, incluido un ventanal de siete metros con acceso al jardín privado. La puerta principal es acorazada de gran formato, marca DIERRE, de suelo a techo, que combina diseño y seguridad. La planta principal dispone de un sistema de iluminación completamente domotizado, que permite controlar los ambientes desde cualquier dispositivo móvil. En cuanto a eficiencia energética, esta vivienda ofrece una instalación de placas solares en cubierta con 5 kW de potencia, así como un sistema de aerotermia Daikin Altherma 3 que alimenta el suelo radiante y refrescante en todas las estancias. El suelo porcelánico de gran formato marca Inalco refuerza la sensación de modernidad y elegancia, presente en toda la casa, y las paredes y techos están acabados con pintura mate lavable de máxima calidad Valentine Valon Clean. Situado en el corazón de Hortaleza, este chalet adosado de lujo ofrece un entorno residencial privilegiado, con todos los servicios necesarios al alcance: colegios, centros deportivos, supermercados, parques y zonas verdes, así como una excelente comunicación con el centro de Madrid mediante metro, autobús y accesos directos a M-40, A-1 y el aeropuerto. Hortaleza es sinónimo de calidad de vida, ideal para quienes desean vivir con tranquilidad, seguridad y todas las comodidades, sin salir de la capital. Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. NO COBRAMOS COMISIÓN AL COMPRADOR.",True,good,False,,5216.0,True,False,True,False,[],False,False,1690000.0,€,,,,chalet,"Valdebebas - Valdefuentes, Madrid",Chalet adosado en calle de Antonio López Torres,Destacado,PR99559441,terracedHouse,True,True,,
107573125,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/83/dd/a7/1353542536.webp,27,4,2409000.0,flat,sale,200.0,True,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.429376,-3.6781173,False,https://www.idealista.com/inmueble/107573125/,"Olisson Club ofrece fantástico piso de un diseño exquisito con acabados de lujo que crean una vivienda exclusiva, elegante y con mucho estilo en la mejor zona del barrio Salamanca. Este piso de 200m2 con terraza de 10 m2 completamente exterior, situado en una cuarta planta es verdaderamente espectacular y espacioso, reformado con los mejores materiales, cuidando hasta el más mínimo detalle, se distribuye de la siguiente manera: la puerta de entrada se abre a un espacio amplio a modo de hall, que distribuye la zona social y la zona privada de la vivienda. La zona social de la vivienda: amplia zona de estar de dos ambientes con comedor de planta abierta, que da aseso a una terraza, un espacio exterior privilegiado en el centro de la ciudad. Sus puertas y ventanas de suelo a techo permiten disfrutar de las vistas y ampliarlas, a la vez que proporcionan abundante luz natural. La cocina, totalmente equipada con electrodomésticos, con isla, muy cómoda y preparada para poder sentarte y disfrutar del desayuno o para que los invitados te acompañen mientras cocinas.  Desde el hall de entrada se accede a la zona más privada de la vivienda, donde se encuentran tres dormitorios dobles, todo con sus baños correspondientes en suite y vestidores con amplios armarios empotrados que van de suelo a techo. Todos los dormitorios son exteriores con vistas despejadas. El edificio en perfecto estado de conservación, con portal bien cuidado, ofrece servicio de conserjería y dos ascensores. La vivienda cuenta con trastero de unos 6m2.  El proyecto de reforma de esta vivienda ha sido obra de una prestigiosa firma de arquitectura de interiores y destaca por el buen uso y aprovechamiento de los espacios, así, como el empleo de materiales de primera calidad utilizados en la reforma, como por ejemplo: suelos de madera de roble natural, celosías de madera hechas a medida, revestimientos porcelánicos Porcelanosa, ventanas Cortizo con perfilería de diseño en zonas comunes y techos altos con elegantes molduras, etc... La vivienda se ubica en el barrio de Salamanca, una de las zonas más privilegiadas de Madrid, cerca de la calle José Ortega y Gasset y plaza Marques de Salamanca, a un paso de los restaurantes únicos de la zona. Esta ubicación tan céntrica, facilita la conexión con el resto de la ciudad y el poder disfrutar de los museos y diversas zonas de moda. Además, está a solo 20 minutos del aeropuerto. Es una zona residencial, con varias terrazas y ofertas de restauración, supermercados y tiendas, e inmejorable comunicación tanto con la exclusiva milla de oro de la calle Serrano y la zona de embajadas, cerca de parque del Retiro y la zona de museos con el Prado y el jardín Botánico como idílicos enclaves, así como con la estación de Atocha y vías de circunvalación. [IW].",True,good,False,True,12045.0,True,False,False,False,[],False,False,2409000.0,€,,,,flat,"Lista, Madrid",Piso,Destacado,lis460IV,,,,,
107949517,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/0b/e1/1348486277.webp,21,4,175000.0,penthouse,sale,35.0,True,1,1,calle de Pedro Tezano,Madrid,Madrid,Tetuán,es,Berruguete,40.461847,-3.7061281,False,https://www.idealista.com/inmueble/107949517/,"GALOTA INVERSIONES E INMOBILIARIA VENDE HERMOSO PISO TIPO ÁTICO    Comunícate con nosotros escribiendo al WhatsApp 604_89_3314    Distribución:  - 1 Dormitorio amueblado - 1 Baño - Salón luminoso - Cocina / Comedor equipada con electrodomésticos, vitro, mini frigorífico, campana extractora, lavadora, microondas, armario empotrado con mucha profundidad y muebles de cocina superior e inferior.    IBI 180EUROS  COMUNIDAD 25EUROS UBICACIÓN IDEAL: El piso se encuentra a menos de 10 minutos a pie de las estaciones de metro Tetúan (línea 1) y de la estacion Francos Rodriguez (línea 7). Barrio ideal con lo que necesites a tu alcance. Se encuentra a solo 6 minutos andando del parque Barón, a 7 min de un Mercadona y a menos de 5 minutos de un Madriz Fitness Club. Además, la zona dispone de varios restaurantes y cafés.  AVISO: Las primeras 2 imágenes han sido generadas con fines exclusivamente ilustrativos. Su objetivo es ayudar a visualizar cómo podría lucir la vivienda una vez amueblada y decorada. Estas representaciones no reflejan el estado actual del inmueble ni constituyen una oferta contractual. Somos una inmobiliaria comprometida con los intereses de nuestros clientes, brindamos un servicio personalizado donde nos encargamos de todo el proceso para conseguir la máxima rentabilidad en la adquisición de cada propiedad. Tenemos por misión proporcionarles a nuestros clientes un asesoramiento integral y personalizado, cumpliendo con sus expectativa y necesidades al adquirir una propiedad.  Nuestra visión, está en convertirnos en la empresa de referencia del sector inmobiliario de Madrid, donde cada persona integrada en este mercado piense en nosotros como primera opción al momento de comprar, vender o alquilar una propiedad.  Nos regimos mediante los valores:  Transparencia- Profesionalidad - Ética - Honestidad -Responsabilidad    Valores que nos permite brindarle un asesoramiento idóneo a nuestros clientes, ahorrándoles tiempo y garantizándoles el mejor precio del mercado.  Galota inversiones e inmobiliaria te esperando.",True,good,False,False,5000.0,True,False,False,True,[],False,False,175000.0,€,177000.0,2000.0,1.0,flat,"Berruguete, Madrid",Ático en calle de Pedro Tezano,Destacado,AG-PEDTEZ175K,penthouse,,,,
