propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
108589210,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/a1/b8/1349291556.webp,959c3438-0f99-4047-beee-a721211f1930,27,2,3350000.0,flat,sale,284.0,True,3,4,calle de López de Hoyos,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4379752,-3.6869795,False,https://www.idealista.com/inmueble/108589210/,"Esta exclusiva propiedad de 284 m², situada en una de las zonas más distinguidas de Madrid, ha sido completamente reformada con acabados de alta calidad, ofreciendo un equilibrio perfecto entre diseño contemporáneo y confort. Dispone de tres dormitorios de generosas dimensiones, cada uno pensado para brindar privacidad y comodidad. Cuenta además con cuatro baños completos, diseñados con un estilo moderno y funcional. La distribución del espacio ha sido cuidadosamente optimizada para crear ambientes amplios, luminosos y acogedores. Entre sus prestaciones, destaca el sistema de aire acondicionado, que garantiza una temperatura agradable en cualquier época del año. El acceso al inmueble se realiza a través de un edificio representativo que dispone de ascensor, aportando un plus de comodidad en el día a día. Características exteriores y zonas comunes Ubicada en una finca señorial, esta propiedad se integra en un entorno elegante y bien conservado, característico del barrio de Salamanca. El edificio ofrece zonas comunes cuidadas y acceso adaptado, ideal para un estilo de vida urbano y sofisticado. Ubicación La vivienda se encuentra en el corazón del barrio de Castellana, dentro del exclusivo distrito de Salamanca. Esta ubicación privilegiada ofrece cercanía a boutiques de lujo, restaurantes de alta cocina, centros empresariales y excelentes conexiones de transporte público. Vivir aquí es disfrutar de una de las zonas más codiciadas de la capital, combinando el dinamismo de la ciudad con el confort de una de las mejores áreas residenciales.",False,good,False,True,11796.0,False,False,False,False,[],False,True,3350000.0,€,flat,"Castellana, Madrid",Piso en calle de López de Hoyos,Top+,,,,,,,
108735319,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b6/57/b7/1353604741.webp,INM42006,43,1,1080000.0,flat,sale,122.0,True,3,3,calle de la Povedilla,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4234342,-3.667796,False,https://www.idealista.com/inmueble/108735319/,"¿Y si te dijera que existe un piso en Goya que lo tiene absolutamente TODO? No hablamos de uno más reformado ""con gusto"", no. Hablamos de una joya de 122 metros cuadrados según catastro, reformada en 2022 con un nivel de diseño que haría sonrojar a más de una revista de arquitectura. Ubicado en la primera planta exterior de una finca clásica de 1925 —esa elegancia castiza que solo el Barrio de Salamanca sabe ofrecer— este piso se baña en luz natural gracias a su orientación sur, convirtiendo cada rincón en un espacio luminoso, acogedor y francamente irresistible. Desde que cruzas la puerta de entrada (por cierto, de roble hasta el techo, como mandan los cánones del diseño más top), sabes que estás ante una vivienda especial. El salón te da la bienvenida con una amplitud envolvente, donde los panelados de roble juegan con la calidez y el carácter, y donde cada detalle ha sido medido al milímetro: desde los muebles de hierro hechos a medida en los baños, hasta los espejos colgantes diseñados ex profeso para este hogar. Y ya que hablamos de baños… aquí no hay uno ni dos, sino tres. Dos de ellos en suite (porque el lujo también es la comodidad de no compartir), y un tercero que da servicio al resto de la casa. Todos ellos, por supuesto, con materiales de primera, acabados impecables y ese toque industrial chic que está tan de moda... y tan bien hecho en este caso. Las tres habitaciones son un remanso de paz y estilo. Espaciosas, funcionales, pero con ese aire sofisticado que hace que cada noche parezca una escapada a un hotel boutique. La combinación de materiales nobles y modernos convierte esta casa en una mezcla equilibrada entre tradición y vanguardia. Y lo mejor de todo: no es una reforma cualquiera, es de esas pocas que se hacen pensando en vivir bien, sin escatimar ni un solo detalle. Porque aquí no se ha hecho una reforma “para vender”, se ha hecho para disfrutarla. Y eso se nota. Pero más allá de los muros de esta vivienda, está el privilegio de vivir en Goya, en pleno corazón del distrito de Salamanca. Una zona que combina a la perfección el aire señorial de siempre con la energía vibrante de lo moderno. Aquí tienes todo a mano: tiendas de autor, restaurantes que son tendencia, cafeterías donde el café se sirve con arte y cultura a cada paso. A solo unos minutos a pie tienes el WiZink Center, el Retiro a un paseo agradable, y las mejores comunicaciones por metro y bus para que moverte por Madrid sea pan comido (y si eres de los que se mueve en coche, aquí tener parking cerca no es misión imposible). Este piso no es solo una casa. Es una declaración de estilo, un oasis urbano y una inversión segura en una de las zonas más demandadas y cotizadas de la capital. Un hogar con historia, rediseñado para el futuro, esperando a su próximo propietario… alguien que no se conforme con lo típico y esté buscando algo realmente único. Así que si buscas un piso de revista, con alma, diseño y ubicación inmejorable... has llegado al sitio correcto. Eso sí, ¡date prisa! Que oportunidades como esta no se repiten todos los días (ni todas las semanas).",False,good,False,True,8852.0,True,False,True,False,[],False,True,1080000.0,€,flat,"Goya, Madrid",Piso en calle de la Povedilla,Top+,1199000.0,119000.0,10.0,,,,
108234451,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/57/76/1337942398.webp,VM2505068,21,2,600000.0,flat,sale,41.0,False,1,1,calle de Orellana,Madrid,Madrid,Centro,es,Chueca-Justicia,40.426093,-3.6966201,False,https://www.idealista.com/inmueble/108234451/,"PISO REFORMADO Y ELEGANTE EN JUSTICIA  Elegante piso reformado en Justicia Se trata de una 2ª planta interior en un edificio clásico con escaleras protegidas. Se accede por un hall de entrada que da paso a un amplio salón con cocina integrada. Cuenta con una habitación doble y un cuarto de baño con ducha. La reforma realizada y el elegante diseño de decoración hacen de este apartamento una estancia muy acogedora. El edificio está situado en la deseada calle Orellana en el barrio de Justicia.   Delimitada por las calles Sagasta, Génova, Castellana, Gran Vía y Fuencarral, encontamos una de las zonas más demandadas de Madrid, la zona de Justicia, en el distrito Centro. Destaca por su elegancia, sus edificios neoclásicos y su ambiente cosmopolita, acogiendo boutiques de lujo, locales nocturnos, restaurantes con estrella Michelin, galerías de arte, mercados típicos y el Tribunal Supremo de España. Se encuentra a un paso del histórico barrio de Cortes, la emblemática plaza de Sol y la conocida fuente de Cibeles. Justicia es un barrio fascinante y extraordinario para residir o recorrer, donde elegantes edificios de viviendas conviven con otros de gran valor histórico y cultural. Plaza de parking opcional por 70.000€ ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,good,False,True,14634.0,False,False,False,False,[],False,True,600000.0,€,flat,"Chueca-Justicia, Madrid",Piso en calle de Orellana,Top+,,,,,,,
108324046,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/51/0d/1344938460.webp,VM2505117,29,1,760000.0,flat,sale,108.0,True,4,2,calle de Ponzano,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4417385,-3.6975295,False,https://www.idealista.com/inmueble/108324046/,"PISO EXTERIOR A REFORMAR EN CALLE PONZANO Aproperties presenta precioso piso a reformar en calle Ponzano, casi esquina con Ríos Rosas. Se trata de una primera planta exterior con una superficie de 108 m2 construidos, según castastro.   Destaca su excelente ubicación, sus grandes ventanales que dotan de gran luminosidad y sus altos techos. En la actualidad cuenta con cuatro dormitorios y dos baños, una cocina cuadrada, que da a una terraza cubierta y un bonito hall de entrada. Cuenta con calefacción a gas central y caldera de agua caliente individual.   La vivienda, a reformar, es un lienzo en blanco para poder diseñarla a medida según las necesidades de cada uno. Se trata de una excelente oportunidad como vivienda habitual o inversión. ¡Mejor visitar! ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,renew,False,True,7037.0,False,False,False,False,[],False,True,760000.0,€,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Ponzano,Top+,,,,,,,
108683833,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/50/3a/51/1352047886.webp,VM2507014,28,en,895000.0,flat,sale,118.0,True,2,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4217302,-3.6742606,False,https://www.idealista.com/inmueble/108683833/,"PISO EXTERIOR Y MUY LUMINOSO EN EL BARRIO DE SALAMANCA EN RENTABILIDAD En el distinguido Barrio de Salamanca, junto a la Plaza Felipe II y a pocos metros caminando del emblemático Parque del Retiro y de las mejores zonas de ocio, comercios y restauración, APROPERTIES ofrece a la venta esta magnífica vivienda exterior de 94 m² construidos con acceso a patio de uso privativo de 24 m² que proporciona muchísima luz a todas las estancias. Se trata de una entreplanta con dos huecos exteriores a la calle orientados al este y que ha sido reformada íntegramente con excelentes calidades y acabados. Está distribuida en un gran salón comedor exterior con dios ventanales a la calle y cocina integrada. Con electrodomésticos de primeras marcas. La zona de noche está compuesta por dos habitaciones, la principal con amplio baño en suite además de un segundo baño completo. La finca en la que se ubica es un inmueble de fachada clásica y bonitos balcones de balastro, dispone de ascensor, acceso adaptado a personas con movilidad reducida y portero. La vivienda se vende en rentabilidad, asegurando unos altos ingresos mensuales. Su privilegiada ubicación y la fantástica conexión con las principales líneas de transporte público y fácil acceso a la M30, hacen que sea una formidable oportunidad de inversión así como también para vivir en una de las mejores zonas de la capital. La zona de Goya, dentro del exclusivo Barrio de Salamanca, es uno de los enclaves más privilegiados de la capital. Su excelente ubicación, cercano al emblemático Parque del Retiro y a pocos metros de la Milla de Oro, y la ventaja poder disfrutar a pie de los mejores restaurantes, comercios, zonas de ocio, colegios, hospitales, zonas verdes y todos los servicios necesarios, le convierten en una de las zonas más prestigiosas y demandadas de Madrid, tanto como zona de vivienda habitual como también para obtener una alta rentabilidad en una compra de inversión. A destacar las ventajas de esta zona por su red de conexiones a través de numerosas líneas de transporte público y fácil acceso a la M30. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",False,good,False,True,7585.0,False,False,False,False,[],False,True,895000.0,€,flat,"Goya, Madrid",Piso,Top+,,,,,,,
108684614,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/48/58/1352073672.webp,THE ONE,26,10,15000000.0,penthouse,sale,1500.0,True,5,6,Barrio Nuevos Ministerios-Ríos Rosas,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4457257,-3.6952293,False,https://www.idealista.com/inmueble/108684614/,"^**^THE ONE^**^ LUJO EXCLUSIVO -ÁTICO DÚPLEX ÚNICO EN MADRID CON MÁS DE 1.500 M² Y TERRAZAS PRIVADAS CON PISCINA ^**^ *** UNA PROPIEDAD COMPLETAMENTE A ESTRENAR! The One, un ático dúplex verdaderamente irrepetible en el corazón de Madrid. Ubicado en un edificio señorial junto al Paseo de la Castellana, esta joya arquitectónica eleva el concepto de exclusividad a su máxima expresión. Con más de 1.500 m² construidos entre vivienda y espacios exteriores, The One es actualmente el único ático de estas características en venta en todo Madrid. El ático cuenta con 600 m² construidos en dos plantas conectadas por escaleras interiores y exteriores: una planta principal de 400 m² y una planta superior de 150 m². Su exterior suma 750 m² de terrazas privadas, con vistas panorámicas que abrazan el skyline madrileño. La terraza principal está equipada con iluminación led perimetral, riego automático, zona de bar y barbacoa, porche cubierto, toldos motorizados, piscina infinity climatizada con nado contracorriente, escaleras romanas, iluminación integrada, vestuarios independientes y un elegante frente acristalado que potencia la sensación de amplitud. En la planta superior, una terraza de casi 300 m² se sitúa entre las más altas de Madrid, ofreciendo vistas despejadas únicas, absoluta privacidad y un entorno ideal tanto para la contemplación como para la celebración de eventos selectos. Todos los dormitorios son en suite, con baño privado y vestidor, bañados por luz natural y acabados con materiales de altísima gama. La cocina destaca por su isla central suspendida de diseño vanguardista, e incluye una completa zona de servicio con lavandería y dormitorio en suite. The One está diseñado para satisfacer los más altos estándares de sostenibilidad y eficiencia energética: aislamiento térmico y acústico, climatización por suelo radiante y refrescante mediante aerotermia y calidades compatibles con certificación Passivhaus. Dispone de dos amplias plazas de garaje contiguas, y acceso directo e independiente a la terraza principal mediante uno de los cinco ascensores del edificio, una rareza que refuerza su carácter excepcional. Situado a escasos metros del eje financiero y empresarial de Madrid, este ático se erige en una de las zonas más prestigiosas de la capital, rodeado de arquitectura clásica, boutiques de lujo, restaurantes de autor y una red de transporte privilegiada. A un paso del complejo AZCA, el Paseo de la Castellana y el Estadio Santiago Bernabéu, The One ofrece una experiencia de vida donde el lujo, la privacidad y el dinamismo urbano conviven en perfecta armonía. La vivienda ha sido concebida como una obra maestra del diseño contemporáneo, ejecutada con estándares técnicos y estéticos excepcionales por un equipo de arquitectos e interioristas de reconocido prestigio. Cada rincón de The One ha sido proyectado para ofrecer una experiencia residencial incomparable: luz natural, volúmenes amplios, acabados de lujo y una integración perfecta entre interior y exterior. The One no es solo una vivienda, es una declaración de intenciones. Para quienes buscan lo extraordinario, lo escaso, lo incomparable. Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. NO COBRAMOS COMISIÓN AL COMPRADOR.",True,good,False,True,10000.0,True,False,False,False,[],False,True,15000000.0,€,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Ático,Top+,,,,True,True,penthouse,
108760273,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/33/cb/1354336129.webp,W-030QNR,29,,1695000.0,chalet,sale,390.0,,5,4,Santo Domingo,Madrid,Santo Domingo,,es,,40.6369078,-3.5822754,False,https://www.idealista.com/inmueble/108760273/,"Chalet con diseño espectacular en Urbanización Santo Domingo Engel and Völkers les presenta esta maravillosa propiedad situada en la prestigiosa Urbanización Santo Domingo con un diseño único que les enamorará al instante. Rodeada de naturaleza lo que confiere una gran intimidad cuenta además con un gran jardín y piscina exterior. La vivienda construida con elementos de gran calidad ofrece todo lo que necesita para disfrutar en su vida diaria. Accedemos a la propiedad a través de unas cómodas escaleras bien directamente desde la zona de garaje o por las dos entradas peatonales. En el interior el diseño único de la construcción confiere una gran personalidad y magnetismo lo que la diferencia de otras viviendas de la zona. Disfrutaremos de un gran salón a dos niveles, con chimenea, enormes ventanales y salida directa al jardín, una gran cocina con office totalmente equipada, zona de invitados con dormitorio y salón que podría ser una habitación extra y zona de lavandería. Además tenemos diferenciadas dos zonas de dormitorios, una con dos dormitorios y baño y otra a diferente nivel, lo que ofrece gran privacidad donde se ubica la habitación principal con vestidor, baño en suite y otra estancia, actualmente despacho que podría ser también, si se necesita, otra habitación. Contamos además con parking para dos vehículos y zona de garaje cubierto que puede usarse como trastero o gimnasio igualmente. La zona exterior es magnífica. Un oasis de paz y tranquilidad con gran espacio para disfrutar de praderas de césped, árboles, arbustos, con una gran piscina exterior, zona de barbacoa y diferentes porches para disfrutar según la hora del día de todos los rincones que ofrece esta maravillosa vivienda. Santo Domingo es una lujosa urbanización situada al margen derecho de la autovía A-1, en el kilómetro 28. Esta urbanización privada se encuentra muy próxima al Aeropuerto de Madrid y a tan sólo 15 minutos de la capital. Cuenta con los mejores y más amplios servicios de las urbanizaciones de la zona al disponer centro comercial propio con servicios tales como, consultorio médico de la Seguridad Social y privado, oficina de Correos, bancos, farmacia restauración, veterinario, gimnasio, tiendas diversas además de Club Social, totalmente reformado, con campo de entrenamiento de golf, piscina, escuela de tenis, zona de ocio para niños y adultos. Dispone también de colegio público (CEIPS), privados e internacionales (SEK, Trinity College, etc.), residencia para la tercera edad e Iglesia. Su nivel de seguridad es excelente, pues está dotada con seguridad privada y policía local, así como sistema de cámaras perimetrales con control las 24 horas. Remarcar que es la única urbanización en la actualidad que dispone en su totalidad de servicios de gas natural y doble canalización de agua procedente del Canal de Isabel II y de los pozos propios para riego de jardines y piscinas. La urbanización cuenta con una línea regular de autobús (171) que va al intercambiador de Plaza de Castilla y efectúa paradas en lugares como el metro de San Sebastián de los Reyes y junto al Hospital Público Infanta Sofía, al cual también podemos llegar en 10 minutos en coche.",False,good,False,,4346.0,False,False,False,False,[],False,True,1695000.0,€,chalet,Santo Domingo,Casa independiente,Top+,,,,True,True,independantHouse,
108784047,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/0f/94/1355013011.webp,VMO2507008,50,,1220000.0,chalet,sale,204.0,,5,5,Barrio Aravaca,Madrid,Madrid,Moncloa,es,Aravaca,40.4493064,-3.7920608,False,https://www.idealista.com/inmueble/108784047/,"ADOSADO AMPLIO Y LUMINOSO EN ARAVACA Este magnífico chalet adosado está situado en una de las zonas más demandadas de Aravaca, a tan solo unos pasos del parque Arroyo Pozuelo y de la estación de Renfe Cercanías. Un entorno ideal en una ubicación inmejorable, con todos los servicios a tu alcance y junto a fantásticas  zonas verdes óptimas para paseos, actividades al aire libre y momentos en familia. La vivienda se distribuye en cuatro cómodas plantas: En la planta baja nos recibe un elegante hall de entrada que da paso a un amplio y luminoso salón-comedor con salida directa a terraza ajardinada de aproximadamente 25 m², ideal para disfrutar del exterior en familia. En esta misma planta se encuentra un aseo de cortesía y la cocina, muy luminosa y funcional. En la primera planta se ubican tres dormitorios, todos ellos con armarios empotrados. Uno de los dormitorios cuenta con baño en suite, mientras que los otros dos comparten un baño completo, ofreciendo así un espacio cómodo y bien organizado para toda la familia. La buhardilla acoge el dormitorio principal con baño en suite y otro espacio ideal como despacho o área de descanso adicional. Por último, en el semisótano, encontramos una práctica zona de lavandería y almacenamiento, dormitorio de servicio con cuarto de baño y un espacio multifuncional ideal como cuarto de juegos, así como la salida a un garaje privado con múltiples posibilidades de uso, más allá de su función de aparcamiento. Este chalet se encuentra en una urbanización privada y tranquila de 11 vecinos, que cuenta con piscina comunitaria, lo que la convierte en una excelente opción para familias que valoran la calidad de vida a las afueras de Madrid. Además, la vivienda goza de una ubicación privilegiada: a 7 minutos a pie de la estación de Renfe de Aravaca, a 15 minutos de la estación de Pozuelo, y con acceso rápido a las principales vías de comunicación como la Ctra de Castilla, M-503, A-6 y M-40. La zona está plenamente consolidada y ofrece una amplia oferta de colegios nacionales e internacionales, centros deportivos, comercios, restaurantes y parques infantiles. La vivienda destaca por su excelente distribución, luminosidad y entorno familiar, perfecta para quienes buscan un hogar amplio, acogedor y bien comunicado. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,good,False,,5980.0,False,False,False,False,[],False,True,1220000.0,€,chalet,"Aravaca, Madrid",Chalet adosado,Top+,,,,True,True,terracedHouse,
107682829,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/98/d9/1319672716.webp,LCM35699,36,5,970000.0,flat,sale,142.0,True,3,1,calle de Concepción Jerónima,Madrid,Madrid,Centro,es,Sol,40.4149859,-3.7038335,False,https://www.idealista.com/inmueble/107682829/,"Ubicada en la emblemática Calle de Concepción Jerónima, en pleno centro de Madrid, esta vivienda exterior en la penúltima planta de una elegante finca señorial destaca por su amplitud, luminosidad y gran potencial de reforma. Su distribución actual, compuesta gran parte por tabiques, permite diseñar los espacios según las necesidades y preferencias del futuro propietario, ofreciendo una flexibilidad única. La vivienda cuenta con una superficie generosa y una distribución que incluye un amplio recibidor, tres habitaciones espaciosas, dos grandes salones, una cocina independiente y un amplio baño con ventana, lo que garantiza una excelente ventilación y entrada de luz natural en todas las estancias.  Además, los techos de 3 metros de altura proporcionan una gran sensación de amplitud y elegancia. Uno de los puntos más destacados de esta vivienda es su orientación sur, que permite disfrutar de una iluminación natural excepcional a lo largo del día. Gracias a sus grandes ventanales en todas las estancias, la vivienda se llena de luz y ofrece unas espectaculares vistas sobre la ciudad. Esta luminosidad, combinada con la distribución diáfana, hace que la propiedad tenga un enorme potencial para convertirse en un hogar sofisticado y acogedor. El edificio en el que se encuentra es una finca señorial con ascensor, lo que añade un toque de distinción y comodidad. Además, la vivienda dispone de calefacción individual por gas natural, garantizando confort y eficiencia energética durante todo el año. Su ubicación es inmejorable, en una de las zonas más emblemáticas de Madrid. A pocos minutos se encuentran lugares icónicos como la Plaza Mayor, el Mercado de San Miguel, la Puerta del Sol y el Barrio de La Latina, donde se puede disfrutar de una amplia oferta gastronómica, cultural y de ocio.  Es una zona vibrante y con historia, perfecta para quienes buscan vivir en el corazón de la ciudad con acceso a todos los servicios y comodidades. En términos de transporte, la vivienda cuenta con excelentes conexiones que facilitan la movilidad por toda la ciudad. Se encuentra a escasos minutos de varias estaciones de metro, como La Latina (Línea 5), Tirso de Molina (Línea 1) y Sol (Líneas 1, 2 y 3, además de conexión con Cercanías Renfe).  Asimismo, dispone de múltiples líneas de autobuses EMT, como la 17, 31, 50 y 65, que conectan con distintos puntos de Madrid.  También cuenta con un fácil acceso a la M-30, lo que facilita el desplazamiento en vehículo privado.",True,renew,False,True,6831.0,True,False,True,False,[],False,True,970000.0,€,flat,"Sol, Madrid",Piso en calle de Concepción Jerónima,Top+,,,,,,,
108764212,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/9c/11/1354451757.webp,VMO2507007,34,bj,1100000.0,flat,sale,164.0,True,3,2,Barrio Aravaca,Madrid,Madrid,Moncloa,es,Aravaca,40.4441419,-3.7900275,False,https://www.idealista.com/inmueble/108764212/,"PISO BAJO EN URBANIZACION CON PISCINA Y PADEL EN ARAVACA Hay urbanizaciones en la Avenida de Europa que gozan de los amplios espacios y zonas comunes con las que se solía dotar a las construcciones en los años 90. Esta es una de ellas, y cuenta con zonas ajardinadas, paseos, 2 pistas de pádel y piscina. Dentro de esta urbanización se encuentra el piso bajo que comercializamos. En un principio de 4 habitaciones, se modificó en planos para darle más espacio al salón y al dormitorio principal resultando en 3 dormitorios, 2 baños, cocina, lavadero, salón comedor y una amplia terraza-jardín solada en gres de 50 m2 con orientación sur y salida directa a los jardines de la urbanización donde pasar muchos ratos al día. La vivienda está bien mantenida y se ha ido actualizando con pequeñas reformas, goza de buena iluminación natural y los espacios resultantes son agradables y muy disfrutables girando todo alrededor de la terraza.   La calefacción es de gas natural, cuenta con diversos aparatos de aire acondicionado, parquet de roble y puertas de paso lacadas. Los baños han sido reformados hace unos años.   La urbanización se encuentra situada al final de la Avenida de Europa, en término municipal de Aravaca, muy cerca de la estación de Renfe y cuenta con todos los servicios de ocio, cultura, educación, salud, deporte, comercio y restauración en la puerta de casa. La vivienda cuenta con una plaza de parking y un trastero. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,good,False,True,6707.0,False,False,False,False,[],False,True,1100000.0,€,flat,"Aravaca, Madrid",Piso,Top+,,,,True,True,,
