propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.subTypology
108722885,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/2e/70/1353201734.webp,RP922025139888,16,1,649900.0,flat,sale,71.0,False,2,2,calle de Alcántara,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4308815,-3.6743512,False,https://www.idealista.com/inmueble/108722885/,"REDPISO GOYA pone a la venta vivienda en Barrio de SALAMANCA. Oportunidad única en la Calle Alcantara, Salamanca, Madrid! Un inmueble muy luminoso espera ser el hogar de tus sueños. Vive en una ubicación privilegiada.  Equipada con cocina amueblada, baños modernos, habitaciones con aire acondicionado y armarios empotrados, ofrece comodidad y estilo. Este hogar es una opción ideal para quienes buscan la máxima comodidad en el corazón de la ciudad. No dejes pasar esta oportunidad única de vivir con todas las comodidades que deseas. Contacta a Redpiso para más información y concertar una visita. ¡Tu nuevo hogar en Salamanca te espera! La vivienda esta situada en la primera planta de la finca, se encuentra distribuida por un salón con cocina americana, 2 dormitorios, 2 cuarto de baños reformados. La finca esta en PERFECTO ESTADO y cuenta con portero. Se encuentra muy próximo a la plaza de Manuel Becerra, y a escasos metros paradas de metro y autobuses, rodeado de servicios, tiendas, cafeterías, hospitales y centros de salud, en pleno centro del barrio Salamanca pero muy silencioso. Desde Repiso Goya ofrecemos un servicio integral a nuestros clientes, desde la obtención de su inmueble, facilidades a la hora de buscar financiación para sus operaciones, asesoramientos personalizados para definir bien los parámetros de búsqueda, entrega de documentación ( Planos, presupuestos de reforma... ) ¡ No lo dude, venga a Visitarlo! No va a querer perderse esta GRAN OPORTUNIDAD.",True,good,False,True,9154.0,True,False,False,False,[],False,False,649900.0,€,679000.0,29100.0,4.0,flat,"Lista, Madrid",Piso en calle de Alcántara,Destacado,,,,
108803399,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/b6/58/1357038716.webp,,29,4,440000.0,flat,sale,95.0,True,3,1,calle del Valle de Bergantiños,Madrid,Madrid,Moncloa,es,Valdezarza,40.4696897,-3.7176721,False,https://www.idealista.com/inmueble/108803399/,"ESTUDIO ANTONIO MACHADO S. L. VENDE PISO EN VALDEZARZA, EN CALLE VALLE DE BERGANTIÑOS. Se vende esta excelente vivienda situada en el barrio de Antonio Machado, una de las zonas más tranquilas y consolidadas del distrito Moncloa - Aravaca. Ubicada en una finca del año 1985, en buen estado de conservación. La vivienda dispone de tres dormitorios, un cuarto de baño completo (con posibilidad de hacer dos), una cocina independiente y un salón comedor, estas dos últimas estancias con acceso a dos terrazas que aportan luz natural y un espacio exterior ideal para el descanso diario. La zona se caracteriza por su ambiente residencial y silencioso, ideal para quienes buscan paz, privacidad y calidad de vida.   Con todos los servicios; colegios, supermercados, bancos, farmacias, centro de salud y rodeado de zonas verdes a muy pocos metros. Muy bien ubicado, se accede a A6 y M30 en 1 minuto. Autobuses: 42, 126, 127, 132, 137, N20 y N2 que comunican la zona con toda la capital. Línea 7 de metro (PEÑAGRANDE, Antonio Machado y Valdezarza) ¡OPORTUNIDAD! Con KÌRON y sus agentes de intermediación financiera podrás encontrar la hipoteca que mejor se adapte a tus necesidades de financiación, para que puedas beneficiarte de los convenios que tiene el grupo Tecnocasa con diferentes entidades bancarias. Con la posibilidad de financiación hasta 100%, asesórate gratis y sin compromiso. Reserva tu visita.",False,renew,False,True,4632.0,True,False,False,False,[],False,False,440000.0,€,,,,flat,"Valdezarza, Madrid",Piso en calle del Valle de Bergantiños,Destacado,,,,
108693834,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/55/9d/1352345835.webp,1129,43,9,460000.0,flat,sale,92.0,False,3,2,avenida del Manzanares,Madrid,Madrid,Carabanchel,es,Comillas,40.3961635,-3.7087318,False,https://www.idealista.com/inmueble/108693834/,"Ari Home tiene el placer de presentar en exclusiva esta acogedora y luminosa vivienda totalmente reformada con materiales de alta gama. Situada en una novena planta de un edificio de diez alturas, disfruta de unas vistas despejadas, gran luminosidad y una sensación de amplitud, calma y tranquilidad inigualables.   Con 92 m² construidos (85 m² útiles), la vivienda se distribuye en:  •3 amplios dormitorios  •2 baños completos con modernos platos de ducha  •Cocina totalmente equipada con electrodomésticos de primeras marcas, encimera de resina con fregadero integrado y espacio para mesa de comedor  •Salón espacioso y luminoso, con una elegante pared de ladrillo visto y gran ventanal   Calidades excepcionales:  •Ventanas con doble acristalamiento, rotura de puente térmico, oscilobatientes y persianas térmicas  •Calefacción central y sistema de climatización por conductos (aire acondicionado y bomba de calor)  •Puerta blindada, puertas macizas, luces LED, múltiples tomas de luz y antena, marcos de pizarra  •Excelente ventilación cruzada gracias a la distribución de la vivienda  El edificio cuenta con portero físico, ascensor de gran capacidad y se encuentra en una ubicación privilegiada: en plena zona de Madrid Río, rodeado de zonas verdes y con todos los servicios al alcance (colegios, centros de salud, comercios, restaurantes, bancos y el centro comercial Plaza Río a escasos metros). Muy bien comunicado con transporte público y acceso rápido a M-30, A-42, así como conexión directa con Atocha, Retiro, Plaza Mayor, entre otros puntos clave del centro de Madrid.   OPCIONAL plaza de garaje privado con espacio para dos coches, moto, bicicletas y trastero, ubicado a pie de calle muy cerca de la vivienda.  Agenda tu visita personalizada y déjate enamorar por tu nuevo hogar. Solo con Ari Home.",False,good,False,True,5000.0,True,False,False,False,[],False,False,460000.0,€,519000.0,59000.0,11.0,flat,"Comillas, Madrid",Piso en avenida del Manzanares,Destacado,True,False,59000.0,
108736105,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/79/fa/1353634290.webp,2131/187,29,1,173250.0,duplex,sale,138.0,True,2,2,"calle General Yagüe, 5",Madrid,Villamantilla,,es,,40.3377882,-4.130169,True,https://www.idealista.com/inmueble/108736105/,"REF. 2131/187. DEJA de PAGAR ALQUILER¡ ALFA KEYWEST vende SIN HONORARIOS al COMPRADOR amplio DUPLEX de esquina, seminuevo (Año 2008), recientemente reformado, SIN HONORARIOS AL COMPRADOR, con garaje, trastero y piscina comunitaria, 2 amplios dormitorios, baño y aseo, y terraza con vistas a la piscina, en el centro de Villamantilla. Es un DUPLEX recientemente renovado, listo para entrar a vivir, con buenas calidades constructivas, pintura en gota, suelos de tarima y gres, ventanas de doble cristal en color burdeos, calefacción y ACS eléctrica, carpintería de madera de roble en puertas y armarios, gran capacidad de armario, muy luminoso, con ventilación cruzada con vistas a la piscina comunitaria y al campo. Comunidad €/mes, IBI €/año. Somos especialistas en GESTION de PATRIMONIOS. SI buscas invertir, gestionamos tu ALQUILER 100% SEGURO, nos ocupamos de todo   El duplex está ubicado en una comunidad en pleno centro, cerca de parques, servicios, colegios y comunicaciones, a solo 45 km de Madrid, cerca de la A-5, la Autovia M-501 y la M-600.  Consulta nuestra FINANCIACION hasta 100%. Llámanos te informamos sin compromiso, y si quieres visitamos el inmueble.",True,good,False,False,1255.0,True,False,False,False,[],False,False,173250.0,€,,,,flat,Villamantilla,"Dúplex en calle General Yagüe, 5",Destacado,True,True,,duplex
106700910,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/83/73/90/1291406635.webp,10074,56,1,750000.0,flat,sale,110.0,True,1,2,plaza de la Cruz Verde,Madrid,Madrid,Centro,es,Palacio,40.4135476,-3.7103777,False,https://www.idealista.com/inmueble/106700910/,"Única y excepcional, diferente y distinguida, moderna y acogedora, exclusiva, te enamorarás de ella nada más verla. Un capricho de vivienda en uno de los barrios más emblemáticos de Madrid, Palacio, al lado del Palacio de Oriente y de la Plaza Mayor. Sólo tú podrás disfrutar de un entorno tan privilegiado. Si estás buscando diferenciarte, si buscas algo que se salga de las distribuciones clásicas, ésta es la vivienda que conjugará mejor con tu estilo.  El juego de alturas y sus techos con vigas de madera es lo primero que te llama la atención. Hay espacios que tienen hasta 6 metros de altura, creando una atmósfera que te embarga y te anima a quedarte. La vivienda se encuentra en un edificio de 1850, confiriéndole por ello historia y carácter; la vivienda se ubica en la primera planta del edificio que tiene 3 alturas en total.  Nos recibe un pequeño hall y enseguida un gran arco nos adentra en el salón, luminoso y alegre con dos grandes balcones a la calle Segovia, protegidos por árboles siendo ésto, ya sólo, un regalo en Madrid; a continuación, encontramos el comedor, con techo más bajo como contraste y con un armario empotrado.  En esta misma planta tenemos una coqueta cocina, un baño completo y un pequeño trastero/despensa donde se encuentra también la caldera.  Unas escaleras de estructura metálica y peldaños de cristal, nos lleva a la entreplanta donde un pequeño pasillo con una librería de obra hace de división de las dos áreas que acoge esta planta: a mano izquierda se encuentra el dormitorio principal con su baño en suite, amplio con dos senos y a mano derecha tenemos una pequeña salita de lectura con armarios empotrados; esta ampliación no se refleja en la escritura. Se ha jugado con la altura para crear otro espacio adicional y darle a la vivienda mayor personalidad y amplitud.  La vivienda se encuentra en perfectas condiciones para entrar a vivir; suelo de tarima.  La propiedad tiene 110 m2 construidos y 90 m2 útiles  IBI: 400 euros  Gastos de Comunidad: 90 euros/mes  Calefacción con gas individual  Aire acondicionado   NO COBRAMOS AL COMPRADOR NINGÚN SERVICIO NI HONORARIOS.  La vivienda consta de:  1 hall  1 salón  1 comedor  2 baños completos  1 cocina  1 dormitorio en suite  1 salita de estar  1ª planta con ascensor  aire acondicionado  Portero automático  Orientación Sur Oeste  Edificio de 1850.",True,good,False,True,6818.0,True,False,False,False,[],False,False,750000.0,€,780000.0,30000.0,4.0,flat,"Palacio, Madrid",Piso en plaza de la Cruz Verde,Destacado,,,,
108510663,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/ab/08/ca/1347066260.webp,,18,2,165000.0,flat,sale,47.0,True,1,1,"carretera Villaverde a Vallecas, 293",Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.375058,-3.6337211,True,https://www.idealista.com/inmueble/108510663/,"¡SOLO PARA INVERSORES! Vivienda calificada como Apto. Turístico. Zonas comunes con obras ya iniciadas para rehabilitación y mejoras. M&M presenta en exclusiva Magnifico piso en venta ubicado en Vallecas, zona residencial frente al bonito parque Valdeperdices y cercano a supermercados, farmacias, centros médicos, restauración y comercio además de encontrarse a 5 minutos del centro comercial La Gavia. Cercano a la estación de tren Vallecas (Renfe) y al metro Sierra de Guadalupe, buena comunicación con el resto de Madrid. Completamente reformado hace 1 año y medio. El dormitorio cuenta con unas magníficas vistas y dispone de cama doble, una terraza que hace esquina con todo el dormitorio, un amplio baño completo con plato de ducha, espacioso y luminoso salón, cocina americana equipada con todos los electrodomésticos, etc.  Calefacción eléctrica y ascensor. Se vende con los muebles tal y como se ve en las fotos  El piso cuenta con una amplia terraza que aporta mucha luz al piso y unas bonitas vistas al parque Valdeperdices El piso se encuentra alquilado en larga estancia en rentabilidad de (815€). Posibilidad de obtención de licencia turística debido a la calificación del inmueble, aumento de la rentabilidad (+2000€). Piso perfecto para inversores, no dudes en contactar!",True,good,False,True,3511.0,True,False,False,False,[],False,False,165000.0,€,170000.0,5000.0,3.0,flat,"Ensanche de Vallecas - La Gavia, Madrid","Piso en carretera Villaverde a Vallecas, 293",Destacado,,,,
108172013,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/9f/e8/1345654166.webp,OM49 - PATRICIA,50,1,1809000.0,flat,sale,129.0,True,3,3,"calle de Juan Bravo, 66",Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4320927,-3.6730991,True,https://www.idealista.com/inmueble/108172013/,"No deje pasar esta extraordinaria oportunidad en el exclusivo Barrio de Salamanca. Este impresionante piso situado en la Calle Juan Bravo ha sido completamente renovado para ofrecer el máximo confort y estilo. La finca cuenta con un hermoso y elegante vestíbulo en la entrada, así como con servicio de portería. Ubicado en la primera planta exterior de un edificio con ascensor, destaca por su luminosidad, gracias a sus amplios ventanales y a su extensa terraza.  Con una superficie total de 129 m² y 108 m² útiles, este elegante apartamento dispone de tres amplias habitaciones y tres baños completos, lo que lo convierte en una opción ideal para familias o para aquellos que requieren un espacio adicional. La cocina está completamente equipada y el apartamento se vende amueblado con muebles de diseño, ¡listo para que te mudes de inmediato! Además, tiene aire acondicionado y calefacción de gas, así que estarás cómodo en cualquier temporada. También incluye una plaza de garaje cubierta en el mismo edificio, todo incluido en el precio. Vivir en el centro de la ciudad con todo el lujo que ofrece y con la total tranquilidad, es posible. Contamos con posibilidades de aparcamiento en la zona, tanto en renta como de compra. Puedes ponerte en contacto para consultar la disponibilidad de las visitas. Negociación flexible y con la propiedad. Utande Real Estate es una sociedad de inversión inmobiliaria nacional e internacional. Colaboramos con más de 1.500 agencias inmobiliarias en todo el mundo. Te asesoramos jurídicamente y te ofrecemos la mayor rentabilidad financiero-fiscal. Este anuncio es solo orientativo y no está sujeto a ningún compromiso establecido. Te ayudamos a conseguir tu HIPOTECA hasta un 100% de la financiación. Te ayudamos a REFORMAR tu vivienda y te enviamos presupuesto en 48h. Atendemos también vía WhatsApp.",False,good,False,True,14023.0,True,False,True,False,[],False,False,1809000.0,€,,,,flat,"Lista, Madrid","Piso en calle de Juan Bravo, 66",Destacado,True,True,,
108581018,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2e/1c/8c/1349057614.webp,18_25,30,1,260000.0,flat,sale,54.0,False,1,1,calle de Luis Vélez de Guevara,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4130334,-3.7031531,False,https://www.idealista.com/inmueble/108581018/,"Piso en venta en Luis Vélez de Guevara, junto a Sol Piso en primera planta de 54 m² en una finca con ascensor, listo para entrar a vivir. Situado en la calle Luis Vélez de Guevara, a pocos metros de la Puerta del Sol. El Inmueble en buen estado se distribuye en hall de Entrada, Salon comedor, 1 dormitorio, Cocina equipada y Baño completo con plato de ducha.  En cuanto a sus calidades el inmueble cuenta con paredes lisas, suelo de tarima y calefacción individual.  Ubicación céntrica con acceso a metro Sol, tiendas, restaurantes y servicios cercanos. Ideal para quienes buscan vivir o invertir en el corazón de Madrid.",False,good,False,True,4815.0,True,False,False,False,[],False,False,260000.0,€,280000.0,20000.0,7.0,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Luis Vélez de Guevara,Destacado,,,,
108694082,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/21/17/1352359947.webp,,84,,1395000.0,chalet,sale,367.0,,6,5,calle de Tampico,Madrid,Madrid,San Blas,es,Salvador,40.4438159,-3.6341262,False,https://www.idealista.com/inmueble/108694082/,"El chalet que todos quieren, pero solo uno podrá tener – Cuatro plantas de puro confort en una urbanización con piscina ¿Buscas un chalet con espacio, estilo, zonas verdes, piscina y ese “algo” que no se encuentra en cualquier vivienda? Pues atento, porque esto no es una casa más: es la casa. Ubicado en una de las urbanizaciones más bonitas y completas de la zona, este chalet es una combinación perfecta de amplitud, calidad y buen gusto. Tiene menos de 30 años y una presencia imponente, con su fachada de ladrillo visto y su distribución pensada para vivir a lo grande. ¿Te gusta tener opciones? Aquí tienes cuatro plantas para hacer lo que quieras con tu vida… y con tu espacio. ⸻ Planta de entrada: el alma de la casa Abres la puerta y te recibe un salón enorme, de esos donde se respira hogar pero también categoría. La cocina independiente, cómoda y práctica, conecta con el jardín privado, y desde ahí, accedes directamente a la zona comunitaria con piscina. Imagina bajar a darte un chapuzón sin salir de casa, literal. ⸻ Primera planta: zona de descanso con nivel Cuatro habitaciones, todas bien proporcionadas y luminosas, y dos baños completos para no pelear por la ducha. Privacidad, orden y comodidad para toda la familia. ⸻ Planta superior: la joya secreta Una buhardilla de 50 m² útiles, tipo estudio neoyorquino en el corazón de Madrid. Espacio abierto, con baño propio, ideal como suite privada, despacho de alto nivel, zona de inspiración o directamente para desconectar del mundo. Quien sube aquí, no quiere bajar. ⸻ Planta sótano: el club privado en casa ¿Tres coches? Caben. ¿Un gimnasio? Puedes. ¿Una sala de cine, juegos, hobby room o habitaciones auxiliares? También. Aquí tienes metros y posibilidades para hacer lo que te dé la gana, sin molestar a nadie. Es tu espacio, tú mandas. ⸻ Y por si te lo estás preguntando… •La urbanización es una maravilla: cuidada, con piscina y zonas comunes de 10. •La casa tiene luz por todos lados, metros donde hace falta y zonas donde te apetece quedarte. •El estilo está: ladrillo visto, detalles bien pensados y distribución que funciona. ⸻ Esta casa no es para cualquiera. Es para quien valora el espacio, la privacidad, el entorno y quiere un hogar que impresione por dentro y por fuera. Si eres de esos, ven a verla. Porque casas hay muchas. Pero como esta, solo hay una. ——— Por peticion del propietario abstenerse de visitas sin cita previa, solo contactar a traves de la agencia"" o algo asi.",False,good,False,,3801.0,True,False,False,False,[],False,False,1395000.0,€,,,,chalet,"Salvador, Madrid",Chalet adosado en calle de Tampico,Destacado,True,True,,terracedHouse
107670663,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/0d/9c/1319318443.webp,SAHARA,22,1,160000.0,flat,sale,60.0,True,2,1,calle de Sáhara s/n,Madrid,Madrid,Villaverde,es,Los Rosales,40.3547983,-3.6920269,True,https://www.idealista.com/inmueble/107670663/,"La empresa DG Real Estate, VENDE este MAGNIFICO y espectacular piso en la zona de VILLAVERDE, zona de Los Rosales. VIVIENDA ACTUALMENTE ALQUILADA HASTA SEPTIEMBRE 2025.  La vivienda dispone de 60 m2 distribuidos en: El SALÓN, cuenta con espacio para zona de estar y de comedor tal y como se ve en las fotografías, es muy luminoso gracias a la buena orientación que tiene y además dispone de salida directa a la TERRAZA. La COCINA está totalmente equipada con todos los electrodomésticos. Además tiene una gran capacidad de almacenaje en ella gracias a todos los muebles que tiene. DOS HABITACIONES, ambas de buen tamaño, la principal con capacidad para ubicar una cama doble, además cuenta con armario empotrado de tres cuerpos. La segunda habitación, con capacidad para una cama individual con mesilla y armario. El BAÑO de la vivienda está equipado con bañera, lo mejor seria cambiarlo a plato de ducha para poder tener mas espacio.  La vivienda cuenta con TODAS LAS FACILIDADADES, ya que no dispone de muros de carga, podemos adaptarla a nuestras necesidades completamente. Excelentemente comunicado con parada de Metro Villaverde Bajo y líneas de autobuses 18, 23 y 116. Ubicado en una zona muy tranquila con espacios ajardinados, colegios, zonas verdes, centros de salud, polideportivos, centros comerciales y de ocio en todo el entorno. Zona muy consolidada con todos los servicios. Si estás interesado en obtener más información sobre esta propiedad, no dudes en contactarnos. Nuestro equipo de expertos, estarán encantado de ayudarte. La compra de una casa siempre marca un momento especial en la vida de las personas.",True,good,False,False,2667.0,True,False,False,False,[],False,False,160000.0,€,,,,flat,"Los Rosales, Madrid",Piso en calle de Sáhara s/n,Destacado,,,,
