propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,district,neighborhood,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108889092,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/f8/c2/1358025864.webp,20,2,189900.0,flat,sale,80.0,True,3,1,calle Francisco de Goya,Madrid,Mejorada del Campo,es,40.3915971,-3.4866765,False,https://www.idealista.com/inmueble/108889092/,"SM HOMES Gestión Inmobiliaria, ofrece en exclusiva, estupenda vivienda exterior reformada en la Zona Residencial ""LOS OLIVOS"", Mejorada del Campo. Su distribución se compone de; entrada, cocina, salón, tres habitaciones, baño y despensa. Cuenta con las siguientes características: - Suelo laminado Ac4. - Paredes en liso. - Salón con salida a la terraza. - Bañó con plato de ducha. - Armarios empotrados en todos los dormitorios. Consulte financiación, estamos consiguiendo a nuestros clientes hasta el 95% o 100% de la hipoteca. ¡No pierda la oportunidad de venir a visitarlo, estaremos encantados de ayudarle!",True,good,False,False,2374.0,False,False,True,False,[],False,False,189900.0,€,flat,Mejorada del Campo,Piso en calle Francisco de Goya,Destacado,,,,,,,,,
107725179,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/f7/b7/1348093145.webp,70,,5200000.0,chalet,sale,1360.0,,6,8,calle Abedul,Madrid,Pozuelo de Alarcón,es,40.4259219,-3.8477718,False,https://www.idealista.com/inmueble/107725179/,"Villa Independiente de Lujo en Exclusiva Urbanización de Pozuelo de Alarcón Spacio4 Luxury Homes presenta esta extraordinaria villa independiente, ubicada en una de las urbanizaciones más exclusivas de Pozuelo de Alarcón. Un enclave privilegiado que combina privacidad, amplitud y elegancia para ofrecer un estilo de vida incomparable. Espacio, confort y privacidad en un entorno natural Con una impresionante parcela de 4.500 m² y una superficie construida de 1.360 m², esta propiedad redefine el concepto de residencia familiar de alta gama. Cada rincón ha sido concebido para ofrecer bienestar, funcionalidad y lujo en estado puro. Una villa pensada para disfrutar cada momento 6 dormitorios amplios, diseñados para brindar la máxima comodidad y privacidad. 8 baños completos, con acabados contemporáneos de primer nivel. Salón principal espacioso y luminoso, ideal para el día a día y eventos sociales. Gimnasio privado completamente equipado, perfecto para mantener un estilo de vida activo sin salir de casa. Piscina interior climatizada con jacuzzi, para relajarse en cualquier época del año. Buhardilla multifuncional, perfecta como oficina, sala de ocio o estudio. Zona de entretenimiento con barra de bar, ideal para disfrutar de reuniones con amigos y familia. Garaje con capacidad para 6 vehículos, con acceso cómodo y seguro. Vistas panorámicas al monte, que aportan serenidad y conexión con la naturaleza. Seguridad y entorno La propiedad cuenta con un sistema de seguridad integral, que incluye vigilancia 24 horas y circuito cerrado de cámaras perimetrales, garantizando la máxima tranquilidad para sus residentes. Un hogar para quienes lo quieren todo Esta villa es una oportunidad única para quienes buscan una propiedad de alto nivel en un entorno exclusivo, con todas las comodidades y espacios para vivir, trabajar y disfrutar sin concesiones. Contáctenos para recibir más información o concertar una visita privada. AVISO LEGAL: Este anuncio no incluye gastos de impuestos, notaría, registro ni otros costes adicionales. La información contenida tiene carácter informativo y no contractual. Fotografías y datos sujetos a posibles modificaciones por motivos técnicos, comerciales o legales.",True,good,False,,3824.0,True,False,False,False,[],False,False,5200000.0,€,chalet,"Prado Largo, Pozuelo de Alarcón",Casa independiente en calle Abedul,Destacado,A4,Urbanizaciones,Prado Largo,independantHouse,,,,,
104794551,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/1f/57/1231953040.webp,39,,980000.0,chalet,sale,444.0,,5,4,calle Alba de Tormes,Madrid,Colmenar Viejo,es,40.6688594,-3.7836699,False,https://www.idealista.com/inmueble/104794551/,"JJS HOMES vende en exclusiva espectacular chalet independiente en Colmenar Viejo Descubre esta luminosa vivienda de 4 dormitorios, situada en una de las mejores zonas de Colmenar Viejo. ¡Con posibilidad de financiación hasta el 100%! La casa destaca por su excelente distribución y amplitud, ofreciendo numerosas posibilidades para adaptarla a tu gusto y necesidades. - CARACTERÍSTICAS PRINCIPALES: 444 m² construidos según catastro, sobre parcela de 917 m². Distribuida en 3 plantas + sótano. Perfecto estado de conservación. - PLANTA BAJA:  Amplio salón-comedor con chimenea y salida directa al patio trasero.  Cocina independiente totalmente equipada.  Acceso a jardín delantero y trasero con piscina privada. - PRIMERA PLANTA: Espaciosa habitación diáfana de doble altura con baño en suite y salida a terraza. - SEGUNDA PLANTA:  4 dormitorios, dos de ellos con baño en suite.  Dormitorio principal con vestidor.  Baño completo para dar servicio al resto de la planta.  Todos los dormitorios cuentan con armarios empotrados. - SÓTANO:  Salón adicional con salida a patio inglés y acceso directo a la parcela.  Cuarto de caldera y lavadero.  Aseo de cortesía.  Garaje con capacidad para 2 vehículos. Se encuentra en perfecto estado de conservación. Cuenta con preinstalación de aire acondicionado, armarios empotrados, persianas motorizadas, chimenea, patio, jardín, piscina propia, terrazas y trastero. Zona tranquila, rodeada de espacios verdes, bien comunicada y con todos los servicios al alcance: colegios, farmacias, restaurantes, supermercados, talleres, gasolineras y pequeño comercio. Además, muy cerca de instalaciones deportivas como el AD Colmenar Viejo, CDM Lorenzo Rico, la Piscina Mistral Lorenzo Rico o el Polideportivo La Magdalena.",False,good,False,,2207.0,True,False,False,False,[],False,False,980000.0,€,chalet,"Santa Teresa, Colmenar Viejo",Casa independiente en calle Alba de Tormes,Destacado,ALBA DE TORMES,Santa Teresa,,independantHouse,True,True,,,
107680518,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/0f/db/1349393208.webp,33,1,530000.0,flat,sale,112.0,True,2,1,calle de Finisterre,Madrid,Madrid,es,40.476667,-3.7029401,False,https://www.idealista.com/inmueble/107680518/,"¡Gran oportunidad en la Urbanización Altamira! Piso con múltiples posibilidades en el Barrio del Pilar Se vende luminoso piso de 2 dormitorios y 1 baño, con una distribución versátil y muchas opciones de reforma. Actualmente dispone de: � Amplio salón con terraza integrada, aportando mayor espacio y luminosidad. �️ Cocina con office y terraza, ideal para mayor comodidad y almacenamiento. �️ Para reformar, con posibilidad de redistribución según tus necesidades: � 2 dormitorios y 2 baños o 3 dormitorios y 2 baños. ✨ Extras de la vivienda: � Trastero de aproximadamente 4 m², con gran altura para mayor capacidad de almacenaje. � Plazas de aparcamiento en superficie para residentes dentro de la urbanización. �️ Portero físico y calefacción central, brindando confort y seguridad. � Ubicación privilegiada en la Urbanización Altamira, situada en el Barrio del Pilar, a pocos metros de la calle Sinesio Delgado, con excelente comunicación: � Cerca del metro y líneas de autobús. � Fácil acceso a las principales vías de entrada y salida de Madrid. �️ Próxima al centro comercial La Vaguada y a todos los servicios. � ¡No dejes pasar esta oportunidad! Contáctanos para más información y concertar una visita.",False,renew,False,True,4732.0,True,False,False,False,[],False,False,530000.0,€,flat,"La Paz, Madrid",Piso en calle de Finisterre,Destacado,,Fuencarral,La Paz,,True,True,,,
108599183,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/25/f5/1353495214.webp,31,6,439000.0,flat,sale,63.0,True,1,1,calle de Irún,Madrid,Madrid,es,40.4211921,-3.7194901,False,https://www.idealista.com/inmueble/108599183/,"Estupendo último piso de 1 habitación y 1 baño, en Argüelles.    63 m2 construidos. 54 m2 útiles. Orientación Sur - Oeste.    Cocina independiente equipada.    Calefacción eléctrica y aire acondicionado.    Armarios empotrados, suelo de tarima, ventanas climalit de aluminio y puertas de roble.    Ascensor y acceso adaptado a personas con capacidad de movilidad reducida.    Portero físico en horario comercial.  NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.    Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no.    INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio.    Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",True,good,False,True,6968.0,True,False,False,False,[],False,False,439000.0,€,flat,"Argüelles, Madrid",Piso en calle de Irún,Destacado,26233,Moncloa,Argüelles,,,,,,
108724391,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/d4/3a/1353244008.webp,43,2,360000.0,flat,sale,72.0,True,1,2,calle de Porfirio,Madrid,Madrid,es,40.4609037,-3.7043513,False,https://www.idealista.com/inmueble/108724391/,"¡Descubre tu nuevo hogar en el corazón del barrio de Berruguete! Este encantador piso exterior, construido en 2002, ofrece una superficie de 72 m² construidos, con un diseño inteligente que maximiza la luz natural en cada rincón. Al entrar, te recibe un acogedor recibidor con armario empotrado, seguido de un amplio salón-comedor que se conecta a un balcón a través de una gran puerta corredera, ideal para disfrutar de las vistas y la brisa. La distribución separa perfectamente la zona social de la de descanso, brindando privacidad y confort. La cocina independiente es funcional y cuenta con una práctica despensa, perfecta para mantener todo en orden. El dormitorio principal destaca por su espacioso vestidor y un cuarto de baño completo, convirtiéndolo en un refugio personal.  Ubicado en la tranquila calle Porfirio, este piso no solo se beneficia de la cercanía a Marqués de Viana y Bravo Murillo, sino que también cuenta con una comunicación excepcional gracias a las líneas de autobús y el Metro de Tetuán (L1). Además, el Parque Agustín Rodríguez Sahagún está a solo 260 metros, ofreciendo un espacio perfecto para relajarse al aire libre.  Este inmueble se encuentra en buen estado de conservación y representa una base excelente para personalizar a tu gusto. Con calefacción individual a gas natural, este piso es una oportunidad única que no querrás dejar pasar. ¡Ven a visitarlo y enamórate de tu futuro hogar! Nuestra empresa joven y dinámica, especializada en el sector inmobiliario madrileño, te ofrece una atención personalizada y cercana. Con un equipo comprometido, garantizamos transparencia y empeño en cada operación. Aprovecha nuestras tasaciones inmobiliarias gratuitas y descubre cómo hacemos que la venta y alquiler sean rápidos y seguros. ¡No pierdas la oportunidad de vivir en uno de los lugares más exclusivos de Madrid!",True,good,False,True,5000.0,True,False,False,False,[],False,False,360000.0,€,flat,"Berruguete, Madrid",Piso en calle de Porfirio,Destacado,,Tetuán,Berruguete,,,,,,
108855819,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/36/19/1357145010.webp,23,bj,140000.0,studio,sale,30.0,True,0,1,calle Río Miño,Madrid,Leganés,es,40.3345593,-3.7710086,False,https://www.idealista.com/inmueble/108855819/,"Estudio - Vivienda Exterior completamente reformada de 30m2, sita en calle Rio Miño con acceso y salida directa e independiente.  La vivienda que es exterior dispone de una distribución completamente diáfana, cuenta con cocina americana totalmente equipada con lavavajillas, extractor, vitrocerámica, lavadora y nevera. El inmueble se ubica en la planta baja del edificio, y con sus cinco ventanas al exterior permite una muy buena ventilación e iluminación. La casa cuenta con puerta de acceso blindada, cerramientos exteriores de climalit blanco, suelo de tarima flotante, paredes lisas y un baño completo con plato de ducha con mampara.",False,good,False,False,4667.0,True,False,False,False,[],False,False,140000.0,€,flat,"San Nicasio, Leganés",Estudio en calle Río Miño,Destacado,27_25,San Nicasio - Campo de Tiro - Solagua,San Nicasio,studio,,,,,
108516404,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/ea/9c/1347237829.webp,22,bj,216000.0,flat,sale,80.0,True,3,1,"calle Marqués de la Valdavia, 18",Madrid,Collado Villalba,es,40.6307023,-4.0012954,True,https://www.idealista.com/inmueble/108516404/,"**Piso en Venta en Collado Villalba - ¡Tu nuevo hogar te espera! ** Descubre este encantador piso en el corazón de Collado Villalba, una ubicación privilegiada que combina la tranquilidad del casco urbano con la comodidad de tener todos los servicios a tu alcance. Situado en planta baja, este inmueble de 80 m² construidos, aprox, ofrece un ambiente acogedor y funcional ideal para familias o parejas.  El piso cuenta con un luminoso salón comedor, tres dormitorios y una cocina amueblada que invita a disfrutar de momentos culinarios. Además, dispone de un baño completo y aseo adicional para mayor comodidad. El espacio se complementa con un patio perfecto para relajarse al aire libre y un trastero que proporciona ese extra de almacenamiento que siempre se necesita. La calefacción a gas natural garantiza un ambiente cálido y confortable durante los meses más fríos. Con una orientación oeste, podrás disfrutar de la luz natural durante gran parte del día.  No dejes pasar la oportunidad de vivir en una zona con fácil acceso a la AP6, lo que te permitirá desplazarte rápidamente a otras localidades. ¡Ven a visitar este piso y enamórate de su potencial!",True,good,False,False,2700.0,False,False,False,True,[],False,False,216000.0,€,flat,"Villalba Estación, Collado Villalba","Piso en calle Marqués de la Valdavia, 18",Destacado,2256Sg,Villalba Estación,,,,,219500.0,3500.0,2.0
106457946,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/ff/39/1283470420.webp,46,6,2990000.0,flat,sale,244.0,True,3,4,calle de Diego de León,Madrid,Madrid,es,40.4363158,-3.6805944,False,https://www.idealista.com/inmueble/106457946/,"VENDE DIRECT OFRECE ESPECTACULAR propiedad, con reforma integral a ESTRENAR, con el mejor DISEÑO y las más ALTAS CALIDADES, que se entrega totalmente AMUEBLADA, para que el comprador/a pueda disfrutar de la vivienda desde el primer momento.  Dotada de una GRAN LUMINOSIDAD, al estar orientada al SUR, en una SEXTA planta EXTERIOR (de un edificio de 7 alturas con conserje) con una agradable, practica y amplia TERRAZA (11 m2), con VISTAS DESPEJADAS.    Dispone además de trastero, un ascensor exclusivo para esa letra, y de plaza de garaje para coche GRANDE en alquiler (180 €/mes) con acceso directo a la vivienda por un segundo ascensor (montacargas).  Ubicado en la calle de DIEGO DE LEÓN, entre las calles Castelló y Nuñez de Balboa (a escasos metros de la calle Velázquez), del barrio SALAMANCA, una de las zonas más exclusivas y cotizadas de la capital, con muy buenas comunicaciones, y todo tipo de servicios en el entorno.  La vivienda tiene 244 m2 construidos con zonas comunes medidos por nosotros(230 m2 con zonas comunes según catastro), contando actualmente con un gran espacio en el que se integran alrededor de la magnífica terraza, el salón, el comendor y una preciosa y practica cocina abierta con isla, 3 dormitorios en suite, 1 aseo de cortesía, lavandería independiente y otra terraza en la zona interior.  Cuenta con Aire acondicionado por conductos en todas las estancias, calefacción central incluida.  Sistema domótico para control de iluminación, persianas y climatización, con acceso remoto, puerta de acceso de máxima seguridad con control remoto y circuito de grabación preparado, etc, etc.  Las imágenes corresponden unas, a una simulación de reforma, y otras a fotos reales de una vivienda ya reformada y amueblada con similares calidades, e incluimos el plano de como se está distribuyendo la vivienda. VENDE DIRECT es un nuevo concepto de consultoría inmobiliaria que incorpora valor añadido en el proceso de compra. Vendemos en el menor tiempo posible mostrando todo el potencial de su vivienda. Puede visitar para conocer más sobre nuestro método de venta. Para más información no dude en contactar con nosotros en el móvil 7 4 7 8 5 2 5 8 9, también por WhatsApp. Juan Carlos Abril.",False,good,False,True,12254.0,True,False,False,False,[],False,False,2990000.0,€,flat,"Castellana, Madrid",Piso en calle de Diego de León,Destacado,01479,Barrio de Salamanca,Castellana,,True,True,,,
108589867,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ee/bd/81/1350141478.webp,38,2,250000.0,flat,sale,83.0,True,3,1,calle de Blas Cabrera,Madrid,Madrid,es,40.3787146,-3.7738462,False,https://www.idealista.com/inmueble/108589867/,"LINKCASA PASEO EXTREMADURA VENDE un piso de 3 dormitorios en la calle Blas Cabrera (barrio de Las Águilas), a escasos metros del Polideportivo de Aluche. La vivienda consta de 3 habitaciones (una de ellas doble), salón, cocina amueblada y equipada, baño completo con plato de ducha y terraza acristalada. El inmueble es exterior, muy luminoso y con vistas despejadas, se trata de una segunda planta, está para reformar pero cuenta con un gran abanico de posibilidades de distribución y dispone de videoportero. El piso se encuentra a 8 minutos del cercanías Las Águilas (C-5) y a 1 minuto de varias líneas de autobuses de la EMT (17 y 139). La finca dispone de ascensor, con acceso a personas de movilidad reducida y tiene la ITE favorable (año 2016). La vivienda se encuentra ubicado en una zona muy tranquila y bien comunicada, con todo tipo de servicios y comodidades a su alrededor (supermercados, restaurantes, entidades bancarias, farmacias, colegios, instalaciones deportivas, zonas verdes.. . etc), lo que hace de la compra del inmueble una muy buena opción. Para más información, visítanos en nuestra web: linkcasa. es. No dejes de visitarlo.",False,renew,False,True,3012.0,True,False,False,False,[],False,False,250000.0,€,flat,"Águilas, Madrid",Piso en calle de Blas Cabrera,Destacado,P-5046,Latina,Águilas,,,,,,
