propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,hasLift,district,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108454222,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/3e/98/1345376121.webp,CH202528,39,690000.0,chalet,sale,307.0,4,3,CL MALAGA,Madrid,Griñón,es,40.2200875,-3.8471388,False,https://www.idealista.com/inmueble/108454222/,"CAPITAL HOME el Álamo vende en EXCLUSIVA este espectacular chalet independiente en GRIÑÓN  GRIÑÓN es un municipio señorial con todos los servicios necesarios: como supermercados, centros deportivos municipales, zonas verdes, residencias, centros de salud, y colegios-institutos; y una muy buena comunicación de el centro de Madrid, pegado a la A-42, haciendo que estés a menos de 35 min. Esta magnifica casa tiene 307 m2 construidos los cuales se encuentras distribuidos en 3 plantas y una parcela de 502 m2, la casa esta REFORMADA íntegramente en 2024. La zona exterior se encuentra en su totalidad solada, pero contamos con zonas ajardinadas y deportivas. Una piscina de obra nueva con ducha-solar y con zona de solárium y césped artificial, cuenta con pérgola de hierro, y zona de barbacoa. El chalet se encuentra distribuido en dos plantas y un garaje: la zona de garaje tiene capacidad para 5 coches y una zona de gimnasio; en la planta baja tenemos un hall recibido de gran amplitud donde nos distribuye a varias zonas, la cocina completamente amueblada, baño de cortesía, zona de lavandería, habitación en planta de gran tamaño, salón comedor con chimenea con salida a porche.  La planta de arriba, que es zona de descanso, cuenta con 3 habitaciones, y posibilidad de hacer una cuarta habitación, todas ellas con terraza y armarios empotrados, además de dos baños completos con plato de ducha. La habitación en suite cuenta con zona de vestidor y baño en suite.  Contamos con departamento financiero propio que te ayudara a acceder a esta espectacular vivienda, no dudes en llamar y concertar tu visita!",True,good,False,2248.0,True,True,False,False,[],False,False,690000.0,€,True,True,chalet,independantHouse,Griñón,Casa independiente en Cl Malaga,Destacado,,,,,,,,
108555665,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/97/7b/1348348395.webp,061,75,159000.0,flat,sale,102.0,4,2,avenida del Galeón,Madrid,San Martín de Valdeiglesias,es,40.390736,-4.3732256,False,https://www.idealista.com/inmueble/108555665/,"¡Descubre tu nuevo hogar en la urbanización Costa de Madrid, en San Martín de Valdeiglesias! Este impresionante apartamento de 102 metros cuadrados ha sido reformado con esmero y cuenta con todo lo que necesitas para disfrutar de la vida al máximo. Con cuatro amplios dormitorios, incluyendo una habitación en suite, y dos baños completamente renovados, este espacio es perfecto para familias o quienes buscan comodidad y estilo. Imagina relajarte en el amplio salón con chimenea, ideal para los inviernos, o disfrutar de las vistas espectaculares al pantano desde las dos terrazas. La cocina es funcional y luminosa, y los armarios empotrados ofrecen un espacio extra para organizar tus pertenencias. Además, el aire acondicionado garantiza frescura en los calurosos días de verano. Este apartamento también cuenta con un trastero, esencial para almacenar lo que no usas a diario. La conexión de fibra óptica en la zona es perfecta para quienes trabajan desde casa. Y lo mejor de todo, ¡estás a menos de una hora de Madrid! Rodeado de un entorno natural impresionante, podrás disfrutar de calas magníficas y actividades acuáticas en el pantano con una playa con el distintivo de bandera azul. No dejes pasar esta oportunidad única de vivir en un lugar donde la naturaleza y la comodidad se encuentran. ¡Ven a verlo y enamórate!",False,good,False,1559.0,True,False,False,False,[],False,False,159000.0,€,,,flat,,San Martín de Valdeiglesias,Piso en avenida del Galeón,Destacado,2,True,False,,,,,
106637134,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/d1/fc/1324111478.webp,VIVEXROB003,16,90000.0,flat,sale,85.0,2,1,Robledo de Chavela,Madrid,Robledo de Chavela,es,40.4992647,-4.2377981,False,https://www.idealista.com/inmueble/106637134/,"¡VENDE CON NOSOTROS DESDE SOLO EL 1,9 %! ¡CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN! Inmobiliaria LOCATIVO presenta este piso de 85 m² en el centro de Robledo de Chavela, una ubicación inmejorable, justo frente a la parada de autobús, que te permitirá conectar fácilmente con Madrid y otros destinos de la región. Esta luminosa vivienda destaca por sus espacios amplios y bien distribuidos, contando con dos dormitorios amplios, ideales para descansar o diseñar a tu gusto, y un baño completo. La cocina es independiente y perfecta para quienes disfrutan de la privacidad al cocinar, mientras que el salón comedor, lleno de luz natural, se convierte en un espacio acogedor para el día a día o para recibir a amigos y familiares. Ubicada en un encantador pueblo serrano, esta propiedad te ofrece la combinación perfecta entre la tranquilidad de un entorno natural y la comodidad de vivir en el centro, con acceso a supermercados, centros de salud, restaurantes y más. CONSULTE NUESTRA PÁGINA WEB TENEMOS MÁS VIVIENDAS QUE NO ESTÁN EN LOS PORTALES. SÍGANOS EN NUESTRAS REDES SOCIALES PARA NO PERDERSE NADA: Instagram: TikTok:  AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA 28693 TELÉFONO:  PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO 28223 TELÉFONO: [IW].",False,good,False,1059.0,False,False,False,False,[],False,False,90000.0,€,,,flat,,Robledo de Chavela,Piso,Destacado,2,True,False,,,,,
108560681,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/d1/9d/1348487175.webp,LCM37326,28,330000.0,flat,sale,60.0,1,2,calle de Atocha,Madrid,Madrid,es,40.4143448,-3.7030972,False,https://www.idealista.com/inmueble/108560681/,"¡ OPORTUNIDAD ÚNICA JUNTO A LA PUERTA DEL SOL! Edificio con ascensor - ITE favorable. Te presentamos esta auténtica joya en pleno corazón de Madrid, a tan solo unos pasos de la emblemática Puerta del Sol y a la entrada del encantador barrio de Huertas-Cortes, una de las zonas con más historia, cultura y personalidad de la ciudad. Ubicada en una cuarta planta con ascensor, esta vivienda de 60 m² ofrece tranquilidad, luz natural y vistas despejadas. Su distribución funcional y acogedora la convierte en una opción ideal tanto para vivir como para invertir en una de las ubicaciones más demandadas de la capital. La propiedad cuenta con un amplio dormitorio, dos baños completos y techos altos que aportan una agradable sensación de amplitud. Gracias a su altura y orientación, la luz natural baña todos los espacios, creando un ambiente cálido y confortable durante todo el día. Además, dispone de bomba de aire frío/calor para garantizar tu bienestar en cualquier estación. La vivienda se encuentra en buen estado, lista para entrar a vivir, aunque también ofrece grandes posibilidades de reforma para adaptarla completamente a tu estilo y necesidades. Situada entre Sol y el Barrio de las Letras, estarás rodeado de teatros, galerías de arte, restaurantes con encanto y calles llenas de historia. El edificio ha superado favorablemente la ITE, lo que asegura tranquilidad y valor a largo plazo. ¡Una ocasión irrepetible para vivir o invertir en el Madrid más auténtico y vibrante!",True,good,False,5500.0,False,True,False,False,[],False,False,330000.0,€,,,flat,,"Huertas-Cortes, Madrid",Piso en calle de Atocha,Destacado,4,False,True,Centro,Huertas-Cortes,345000.0,15000.0,4.0
108392555,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b0/fe/79/1342806789.webp,9530 - PEDRO G,47,970000.0,flat,sale,90.0,2,2,calle del Conde de Peñalver,Madrid,Madrid,es,40.4292073,-3.6764337,False,https://www.idealista.com/inmueble/108392555/,"Os presentamos esta vivienda exclusiva en una 7ª planta muy luminosa. Es exterior, con grandes ventanales, totalmente equipado y una ubicación excelente. Diseño y calidad de vida en un entorno único.  Se distribuye en un amplio hall recibidor con armarios empotrados, un gran salón con comedor y una cocina integrada con electrodomésticos de bajo consumo triple A. Tiene 2 dormitorios y 2 baños completos, 1 de ellos en suite. Grandes armarios, techos altos, molduras, paredes lisas y puertas anchas.  Una gran oportunidad, con todos los servicios en la puerta. Listo para entrar a vivir.  La fachada del edificio está muy cuidada. El portal tiene ascensor y es una finca clásica en una de las calles más emblemáticas del Barrio de Salamanca. Comunidad: 121 €/mes. IBI: 1.379 €/año. Tiene posibilidad de plaza de garaje en la misma calle. Ubicación inmejorable. Supermercado en frente. Buena comunicación con transporte. Farmacia a escasos metros. Centro de salud y Hospital en la esquina. Todos los servicios en la puerta para ir andando.  Sin duda, es una oportunidad para vivir y disfrutar en un barrio residencial, familiar y muy tranquilo cerca del centro de Madrid.  Disponemos de las llaves de la propiedad. Puedes ponerte en contacto para consultar la disponibilidad de las visitas. Negociación flexible y con la propiedad.  Utande Real Estate es una sociedad de inversión inmobiliaria nacional e internacional. Colaboramos con más de 1.500 agencias inmobiliarias en todo el mundo. Te asesoramos jurídicamente y te ofrecemos la mayor rentabilidad financiero-fiscal. Este anuncio es solo orientativo y no está sujeto a ningún compromiso establecido. Te ayudamos a conseguir tu HIPOTECA hasta un 100% de la financiación. Te ayudamos a REFORMAR tu vivienda y te enviamos presupuesto en 48h.  Atendemos también vía WhatsApp.",True,good,False,10778.0,True,False,False,False,[],False,False,970000.0,€,,,flat,,"Goya, Madrid",Piso en calle del Conde de Peñalver,Destacado,7,True,True,Barrio de Salamanca,Goya,,,
108390711,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/df/93/6e/1342700956.webp,HBSG1041,34,790000.0,chalet,sale,155.0,4,3,calle del Gran Poder,Madrid,Madrid,es,40.4712767,-3.5836681,False,https://www.idealista.com/inmueble/108390711/,"Chalet Adosado en Venta Barajas, Timón 4 dormitorios, 155 m² HBSG1041 HOME BOUTIQUE, consultora especializada en viviendas de lujo, presenta, exclusivo chalet adosado de 155 m² construidos más 25 m² de jardín disfrutable. La casa, reformada integralmente en el 2020 con buen gusto, modernidad y funcionalidad se distribuye de la siguiente manera: En la planta principal nos encontramos con una excelente distribución de las estancias, porche de entrada acristalado, extraordinaria cocina y salón-comedor, esta zona de una espectacular luminosidad natural durante el día gracias a los ventanales. Completa la planta un precioso aseo de cortesía, armario y trastero en el hueco de escalera. Asimismo, esta planta tiene un jardín de 25 m², de acceso desde el salón; donde se podrá disfrutar de un desayuno, comida o cena al aire libre con absoluta intimidad. Dispone de pérgola. Posibilidad de hacer piscina. La planta primera se distribuye de una manera eficaz y funcional en tres dormitorios muy luminosos. El dormitorio principal con un baño completo en suite. También encontramos un baño completo. En la planta segunda nos encontramos con una buhardilla de 45 m² dividida en; sala juegos/despacho y otra sala de lavado. Lo completa amplía terraza de 12 m² con orientación este. Suelo es de parquet de madera. La vivienda se reformo de manera integral en el 2020: ventanales del salón, paredes, instalación eléctrica, puertas, armarios, AA/CC por conductos calor/frío, caldera Junkers, solado exterior, pérgola jardín, toldos en todas las ventanas, cocina y baños. Dispone de dos plazas de garaje. Sus excelentes comunicaciones por carretera, a través de la M-11 desde la cual se accede a la A-2, A-1, M-40 o M-30, su acceso al aeropuerto a tan sólo 5 minutos, así como la nueva estación de AVE de la que dispondrá en un futuro inmediato la terminal T4, a la Estación de Chamartín y Plaza de Castilla en 10 minutos, hacen de su accesibilidad un verdadero lujo. En transporte público cuenta con diversas líneas de autobús que conectan con el aeropuerto, Canillejas o el Hospital Ramón y Cajal. A tan solo 10 minutos a pie se encuentra la línea 8 de metro, que une la terminal T4 con Nuevos Ministerios y por tanto con el centro de negocios de nuestra capital en tan sólo 20 minutos. Escuelas infantiles, prestigiosos colegios, centros médicos, farmacias, supermercados, tiendas de proximidad y restaurantes forman parte de algunos de los servicios que podemos encontrar en la zona. A sólo 10 minutos se encuentran hospitales de referencia en la Comunidad de Madrid, centros comerciales y de ocio o cines, sin olvidar que la zona en expansión de Valdebebas, la Feria Internacional de Madrid IFEMA activa durante todo el año, el Campo de Golf de El Olivar de la Hinojosa y la zona residencial en continuo crecimiento de Coronales y Campo de las Naciones. Desde Home Boutique te invitamos a visitar tu Hogar.",False,good,False,5097.0,True,True,False,False,[],False,False,790000.0,€,True,True,chalet,terracedHouse,"Timón, Madrid",Chalet adosado en calle del Gran Poder,Destacado,,,,Barajas,Timón,,,
107701623,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/e6/65/1320258787.webp,PR01462,16,190000.0,flat,sale,247.0,1,2,Noroeste,Madrid,Torrejón de Ardoz,es,40.4557628,-3.4801257,False,https://www.idealista.com/inmueble/107701623/,"Excelente oportunidad de inversión en el centro de la ciudad, ideal para un proyecto residencial. Ubicado frente a la estación de autobús y renfe, este inmueble consta de dos locales comerciales con un total de 247 m², con gran potencial para convertirse en múltiples unidades habitacionales. Su ubicación estratégica y flexibilidad de distribución permiten desarrollar apartamentos o lofts, aprovechando la creciente demanda residencial en la zona. Características clave: Local 1: Con acceso directo desde la calle, tiene una planta baja y superior con opción de añadir paneles solares. Local 2: Espacioso, con área de garaje para dos coches, ideal para dividir en unidades con garaje privado. Es una excelente opción para inversores, ofreciendo alta rentabilidad mediante alquiler o venta de varias unidades en una ubicación privilegiada y con un enfoque en sostenibilidad y diseño moderno. ""Sin cargos de comisión para el comprador"".",False,renew,False,769.0,False,False,False,False,[],False,False,190000.0,€,True,True,flat,,"Noroeste, Torrejón de Ardoz",Piso,Destacado,bj,True,False,Noroeste,,215000.0,25000.0,12.0
107409371,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/6d/81/1311875099.webp,9411 - CLARA,42,750000.0,flat,sale,105.0,3,2,ronda de Atocha,Madrid,Madrid,es,40.4076892,-3.6946314,False,https://www.idealista.com/inmueble/107409371/,"Si estás pensando en invertir y quieres tener una rentabilidad inmediata o vivir en una de las zonas más espectaculares de Madrid, este es tu inmueble. Utande te presenta esta GRAN OPORTUNIDAD a pasos de la Estación de Puerta de Atocha. El inmueble es EXTERIOR, consta de 105 m2, divididos en 3 dormitorios, 2 baños completos, salón con cocina integrada, 4 BALCONES y TRASTERO. Se encuentra recién reformado a estrenar, está listo para entrar a vivir, con techos altos y muchísima luz, orientación suroeste. Se entrega amueblado. Listo para entrar a vivir. La fachada del edificio está muy cuidada. El portal tiene ascensor y está adaptado a personas con movilidad reducida. La calefacción es central con bomba de frío y calor. Comunidad: 60€/mes. IBI: 400 €/año. INVERSIÓN CON ALTA RENTABILIDAD. Ubicación inmejorable. A pasos de la Estación Puerta de Atocha, Palacio de Ministerio de Agricultura, Pesca y Alimentación, Real Jardín Botánico de Madrid multitud de restaurantes, cafeterías y supermercados. Próximo a Parque del Retiro, Museo del Prado, Puerta de Alcalá, Banco de España, gran Barrio de moda de SALAMANCA, Fuente de Cibeles. Colegios, farmacias, centros de salud, zonas verdes y todo lo que tu cuerpo y mente necesita. Principal foco de comunicación activa con transporte: Autobuses: 001, 27, 32, 86, C03. Tren: C10, C2, C3, C7, C1. Metro: M1, M3. Disponemos de las llaves de la propiedad. Puedes ponerte en contacto para consultar la disponibilidad de las visitas. Negociación flexible y con la propiedad. Utande Real Estate es una sociedad de inversión inmobiliaria nacional e internacional. Colaboramos con más de 1.500 agencias inmobiliarias en todo el mundo. Te asesoramos jurídicamente y te ofrecemos la mayor rentabilidad financiero-fiscal. Este anuncio es solo orientativo y no está sujeto a ningún compromiso establecido. Te ayudamos a conseguir tu HIPOTECA hasta un 100% de la financiación. Te ayudamos a REFORMAR tu vivienda y te enviamos presupuesto en 48h.  Atendemos también vía WhatsApp.",True,good,False,7143.0,True,False,False,False,[],False,False,750000.0,€,,,flat,,"Palos de la Frontera, Madrid",Piso en ronda de Atocha,Destacado,1,True,True,Arganzuela,Palos de la Frontera,,,
108163149,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/fd/1d/1335741846.webp,35000v,26,660000.0,chalet,sale,340.0,5,3,calle Nuestra Señora del Pilar,Madrid,Torrelodones,es,40.5753371,-3.9461045,False,https://www.idealista.com/inmueble/108163149/,"¡Descubre tu nuevo hogar en Torrelodones Colonia! Esta exclusiva parcela de 1.330 m² alberga un encantador castillete de 1937, que ofrece la oportunidad perfecta para rehabilitar y crear un espacio único. La vivienda independiente cuenta con 340 m² distribuidos en tres plantas, donde encontrarás cinco amplios dormitorios y cinco baños, ideales para disfrutar en familia. Imagina la posibilidad de ampliar la construcción y darle rienda suelta a tu creatividad.  Además, el amplio terreno permite la construcción de una piscina y un garaje exterior, todo en un entorno que garantiza gran privacidad.  La ubicación es inmejorable, con fácil acceso a la A6 y cercanía a una variada oferta educativa, centros comerciales y hospitales.  Disfruta de la tranquilidad del campo y el monte, mientras vives en una casa con tanto encanto. ¡No dejes pasar esta oportunidad única!",False,good,False,1941.0,True,False,False,False,[],False,False,660000.0,€,,,chalet,independantHouse,"Colonia, Torrelodones",Casa independiente en calle Nuestra Señora del Pilar,Destacado,,,,Colonia,,,,
108871408,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/4c/47/1357556721.webp,,36,350000.0,flat,sale,100.0,2,2,Parque de la Coruña - Las Suertes,Madrid,Collado Villalba,es,40.6229132,-4.0214516,False,https://www.idealista.com/inmueble/108871408/,"¡NO COBRAMOS HONORARIOS AL COMPRADOR! Grupo Avanza presenta este espectacular piso en la capital de la Sierra, ubicado en una de las zonas más tranquilas y familiares de Collado Villalba, en una moderna urbanización ajardinada y cuidada diariamente, con vigilancia 24 horas, ascensor, piscina comunitaria de agua salada, pista de pádel y zonas comunes. Cuenta con rampa de acceso para personas con movilidad reducida. Con una superficie de 100 m2 esta vivienda se encuentra en una primera planta y se distribuye en 2 amplias habitaciones con luz natural y armarios empotrados y 2 baños, uno de ellos en suite, amplio hall de entrada y un luminoso salón con salida a una preciosa y gran terraza privada, donde poder disfrutar con familia y amigos; cocina totalmente equipada con salida a un tendedero independiente, con amplios armarios de almacenaje. El precio de la vivienda incluye una plaza de garaje comunitario y trastero. Las calidades a destacar en la vivienda son las siguientes: suelos de tarima, gres en baños y cocina, ventanas climalit con rotura de puente térmico, oscilobatientes y mosquiteras en las habitaciones, puertas macizas lacadas en blanco, armarios con carpintería blanca reformados aprovechando todo el espacio y vestidos por dentro con cajoneras blancas, además de un amplio armario empotrado en pasillo, lavadero acristalado, toldos en la terraza, calefacción individual por gas natural etc.. . El inmueble se encuentra situado cerca de la laguna de Priconsa (Parque de la Coruña), cerca de colegios e instituto, parada de autobús urbano, supermercados y comercios. Es una zona muy tranquila y residencial, ideal para familias. ¡APROVECHA ESTA OPORTUNIDAD! No deje de llamarnos, estaremos encantados de ampliarle más información o concertar una visita.",False,good,False,3500.0,False,False,False,False,[],False,False,350000.0,€,True,True,flat,,"Parque de la Coruña - Las Suertes, Collado Villalba",Piso,Destacado,1,True,True,Parque de la Coruña - Las Suertes,,,,
