propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
108371069,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/05/c5/1342126098.webp,50,en,710000.0,flat,sale,96.0,True,3,2,calle de Vallehermoso,Madrid,Madrid,Chamberí,es,Arapiles,40.4341685,-3.7084465,False,https://www.idealista.com/inmueble/108371069/,"PRECIOSA VIVIENDA A ESTRENAR DE TRES DORMITORIOS Y DOS BAÑOS. En el corazón de Chamberí: piso recién reformado y amueblado de 3 dormitorios y 2 baños, cocina abierta de diseño totalmente equipada y un acogedor salón con una chimenea que te encantará. Todos los dormitorios tienen armarios empotrados y la vivienda cuenta con aire acondicionado por conducto. Es una vivienda con muchísima luz, con ventanas orientadas al suroeste. Da a una calle con muy poco tránsito, con lo que hay gran intimidad y tranquilidad. Las fotos de la vivienda son reales (no reproducción de IA). La reforma de la vivienda tiene una garantía de 3 años y la cocina tiene una garantía de 5 años. Edificio elegante y representativo; art decó. Portero físico y calefacción central. Gastos mensuales 130€ aproximadamente. Situado en la zona de Canal, en pleno Chamberí, rodeado de comercios, restaurantes y universidades. Muy bien comunicado con el resto de la ciudad. Y cuenta con hospitales a muy corta distancia. Zona premium con muy alta demanda! Super buena oportunidad para vivienda o como inversión, no dudes en venir a visitarlo! . Somos los propietarios, por lo que no hay comisión de agencia. Te esperamos!",True,good,False,True,7396.0,True,False,False,False,[],False,False,710000.0,€,flat,"Arapiles, Madrid",Piso en calle de Vallehermoso,Destacado,,,,,,,
109028539,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/a8/9d/1362124544.webp,22,8,299999.0,flat,sale,117.0,True,4,2,Barrio Hellín,Madrid,Madrid,San Blas,es,Hellín,40.4312082,-3.611136,False,https://www.idealista.com/inmueble/109028539/,"'TECNOCASA' Estudio HELLÍN-LAS MUSAS 2020 S. L. 'VENDE inmueble de 117 metros cuadrados construidos en la zona del polígono H (Hellín), San Blas, Madrid. Es una octava planta, totalmente exterior, con excelentes vistas. Compuesto de 4 dormitorios muy luminosos, un baño amplio con bañera y otro con plato de ducha. Cocina independiente completamente equipada. Salón-comedor amplio e independiente. Dispone de armarios empotrados en todas las habitaciones. Entrada al portal adaptado para personas con movilidad reducida. . Le buscamos la hipoteca. 'Con la ayuda de los profesionales de Kiron, podemos asesorarte en la búsqueda de una hipoteca que se ajuste a tus necesidades, con posibilidades de financiar hasta el 100. Muy buena ubicación y orientación. Orientación Noreste. Cerca de servicios públicos de transporte, zonas verdes, parques y áreas de juego, además de supermercados y comercios. El CEIP Alberto Alcocer, Colegio López Vicuña, IES Gómez Moreno, CEIP Ramón María del Valle Inclán, UCM faculta de óptica y optometría, IES San Blas, Colegio las Rosas. Centro Deportivo Municipal San Blas. Biblioteca pública Municipal José Hierro. El inmueble se encuentra situado entre metro de San Blas L7 y metro Las Musas L7. Líneas EMT: N5, N6, 38, 48, 65, 167. Es una zona muy bien comunicada.",False,renew,False,True,2564.0,False,False,False,False,[],False,False,299999.0,€,flat,"Hellín, Madrid",Piso,Destacado,320000.0,20001.0,6.0,,,,
109080005,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/d8/fb/1363792894.webp,28,2,265000.0,flat,sale,68.0,True,2,1,calle de San Sinesio,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3889087,-3.7421023,False,https://www.idealista.com/inmueble/109080005/,"Descubre este luminoso piso de 68m² con TERRAZA y amplio SALÓN en Carabanchel! NEGOHOME MADRID te presenta un acogedor y espacioso piso de 68 m², perfectamente diseñado para disfrutar del confort y la vida madrileña. ¡Luz natural y amplitud te esperan! Características destacadas: Terraza + Amplio Salón: Disfruta de tu propio espacio exterior y un salón-comedor muy espacioso para vivir con comodidad. Cocina INDIVIDUAL: Espacio funcional y separado, listo para preparar tus platos favoritos. Dos dormitorios + baño completo. Excelente luminosidad: Orientación que favorece la entrada de luz natural. Ubicación bien comunicada: Excelente conexión de Metro: Acceso inmediato a la Línea 5 desde las estaciones de Carabanchel y Vista Alegre, llevándote rápidamente al centro y otros puntos clave de Madrid. Entorno práctico: Supermercados, cafeterías y tiendas locales a tu alrededor para el día a día. Perfecto para: Parejas o profesionales: Buscando un hogar espacioso y bien conectado en un barrio con vida. Inversores: Propiedad en una zona residencial de constante demanda. Quienes valoran espacio y movilidad: Los 68m² y el metro a la puerta ofrecen gran calidad de vida. VENTAJAS CLAVE Amplios metros cuadrados (68m²): Más espacio para vivir, trabajar o relajarte. Conectividad privilegiada: Metro Línea 5 directo a tu disposición para moverte por Madrid con facilidad. Tranquilidad y conveniencia: Vive en un barrio residencial con todos los servicios esenciales cerca. ¡No pierdas la oportunidad de conocer tu nuevo hogar! Solicita tu visita hoy mismo. Contacta a nuestro equipo en NEGOHOME MADRID GESTIÓN INMOBILIARIA.",True,good,False,True,3897.0,False,False,False,False,[],False,False,265000.0,€,flat,"Vista Alegre, Madrid",Piso en calle de San Sinesio,Destacado,,,,,,,
108816173,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/77/b7/1355966690.webp,16,3,235000.0,flat,sale,40.0,False,2,1,calle de los Cabestreros,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4106141,-3.7034636,False,https://www.idealista.com/inmueble/108816173/,"Agencia inmobiliaria de Madrid zona Lavapies – Embajadores – Tirso De Molina Tecnocasa ESTUDIO REAL DE LAVAPIES SL VENDE ¿Buscas un piso en una de las zonas más vibrantes de Madrid? ¡Este es tu lugar! Tecnocasa te presenta este acogedor piso de 40 m2 en la tercera planta. La vivienda cuenta con salón, 2 DORMITORIOS, cocina independiente y baño completo. La ubicación es inmejorable, en pleno corazón de Lavapies - Embajadores - Tirso De Molina, con una excelente comunicación gracias a las estaciones de metro L5 La Latina, L3-Lavapies y Embajadores-L3-L5, así como la estación de Renfe Embajadores a solo 5 minutos a pie. La estación de Atocha también está a solo 10 minutos en metro desde la estación de Tirso de Molina, línea L1. Además, tendrás acceso a una amplia red de autobuses para moverte por la ciudad. ¿Te interesa conocer más detalles sobre la financiación? Uno de nuestros asesores financieros de Kiron estará encantado de informarte. No pierdas la oportunidad de vivir en una de las zonas más emblemáticas de Madrid. ¡Contáctanos sin compromiso y concertaremos una visita para que puedas verlo en persona!",True,renew,False,False,5875.0,False,False,False,False,[],False,False,235000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de los Cabestreros,Destacado,,,,,,,
108601249,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fc/a7/c4/1349651780.webp,16,4,2019000.0,flat,sale,215.0,False,3,3,calle de Padilla,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4313994,-3.6717657,False,https://www.idealista.com/inmueble/108601249/,"MOREHOUSE Real Estate vende espectacular vivienda ubicada en pleno barrio de Salamanca - Lista, una de las zonas más exclusivas y demandadas de Madrid. Con 158 m², esta propiedad ofrece una distribución funcional y equilibrada. Dispone de 3 dormitorios, 3 baños completos y 1 aseo adicional, ideal para familias o quienes valoran el confort y la amplitud. Situada en la cuarta planta de un edificio con ascensor, la vivienda garantiza tranquilidad, privacidad y buena luminosidad. El piso cuenta con calefacción individual de gas natural y aire acondicionado, asegurando un alto nivel de confort durante todo el año. La zona de Salamanca - Lista se caracteriza por su elegancia, excelente calidad de vida y una ubicación privilegiada. Está rodeada de tiendas exclusivas, restaurantes gourmet y cuenta con excelente comunicación por transporte público. A pocos minutos de enclaves como la calle Serrano, el parque de El Retiro o el centro financiero de la ciudad. Una oportunidad perfecta tanto para vivir como para invertir en una de las mejores áreas de la capital. Por petición de algunos clientes, no publicamos parte de nuestros inmuebles en portales inmobiliarios; si están interesados pueden ver toda nuestras viviendas, en nuestra página web También tenemos oportunidades de inversión off-market. En MOREHOUSE Real Estate estamos especializados en comprar, vender y alquilar pisos en todo Madrid. Para cualquier gestión, no dude en contactar con nosotros.",False,good,False,True,9391.0,True,False,False,False,[],False,False,2019000.0,€,flat,"Lista, Madrid",Piso en calle de Padilla,Destacado,,,,MH1123,,,
109188226,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/3c/6c/1366888802.webp,27,,199000.0,flat,sale,89.0,True,2,2,Cuevas - Ilustración,Madrid,Ciempozuelos,Cuevas - Ilustración,es,,40.1556879,-3.6243631,False,https://www.idealista.com/inmueble/109188226/,"¡Descubre tu nuevo hogar! Te presentamos este encantador piso en venta, situado en una tranquila calle cerca de la Ermita, al lado de la Plaza del Ayuntamiento. Con una superficie construida de 89 m², este acogedor inmueble cuenta con 2 grandes y luminosos dormitorios y 2 baños completos, uno en suite, perfectos para disfrutar de la comodidad y el espacio que necesitas. La cocina individual, amueblada, se complementa con un agradable salón, ideal para compartir momentos en familia. Además, el piso está amueblado y presenta un suelo de gres de fácil mantenimiento. El sistema de calefacción a gas asegura un ambiente cálido en los meses más fríos, y el calentador de agua también es individual. La vivienda dispone de aire acondicionado en el salón y dormitorio ppal. Para tu comodidad, el edificio, que cuenta con solo 3 plantas, está en buen estado y dispone de un parking privado con una plaza asignada. Las ventanas de aluminio garantizan el aislamiento y la tranquilidad que buscas. ¡No dejes pasar esta oportunidad de vivir en un lugar que lo tiene todo! Venga a visitarla sin ningún compromiso. En TGB contamos con un departamento financiero propio y convenios con numerosos bancos, lo que nos permite ofrecerle las mejores condiciones de financiación. Solicite ya su estudio financiero, completamente gratuito. Excelente oportunidad, consúltenos sin compromiso. Estaremos encantados de atenderle [IW].",False,good,False,True,2236.0,False,False,False,False,[],False,False,199000.0,€,flat,"Cuevas - Ilustración, Ciempozuelos",Piso,Destacado,,,,PIS0516,True,True,
107026505,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/38/80/1300775907.webp,52,5,1445000.0,flat,sale,207.0,True,5,3,calle de Magallanes,Madrid,Madrid,Chamberí,es,Arapiles,40.4367943,-3.7046547,False,https://www.idealista.com/inmueble/107026505/,"Gran piso en Arapiles ( Chamberí) de 207 m2 construidos, distribuidos en 5 habitaciones, 3 baños, salón, comedor independiente, terraza y amplia cocina con puerta de servicio. Así como un cuarto trastero incluido en el precio de venta y en el mismo edificio, el cual tiene 2 ascensores, amplio portal y conserje. ITE del edificio favorable hasta 2031. La vivienda está ubicada en una quinta planta, cuenta con grandes ventanales calefacción y agua caliente centrales, así como aire acondicionado en varias de sus estancias, suelos de madera, salvo cocina, terraza y baños que son de gres, pintura gotelé, carpintería exterior de hierro, carpintería interior en madera pintada en blanco, ventilación cruzada, orientación suroeste. Piso a actualizar o reformar según sus necesidades de vivienda. Producto ideal de inversión para reformar y vender o bien para el alquiler por habitaciones. Excelente ubicación a pocos minutos andando de zonas de interés comercial, cultural o deportiva. Aunque está ubicada en calle muy tranquila, a la vez es una zona consolidada de comercios, bares, tiendas.. . Muy bien conectada con transporte público con varias líneas de autobuses y metro. Posibilidad de poder adquirir a la propiedad una plaza de parking cerca del piso y precio aparte.",True,renew,False,True,6981.0,True,True,False,False,[],False,False,1445000.0,€,flat,"Arapiles, Madrid",Piso en calle de Magallanes,Destacado,,,,,,,
108087025,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/2a/27/1333418430.webp,23,,389000.0,chalet,sale,122.0,,3,2,calle Clavel,Madrid,Móstoles,Norte - Universidad,es,,40.3390341,-3.869955,False,https://www.idealista.com/inmueble/108087025/,"HOGARES MOSTOLES VENDE este excelente chalet adosado que ofrece un espacio ideal para disfrutar en familia. Con 122 m² construidos y distribuidos en dos cómodas plantas, cuenta con un amplio y luminoso salón en la planta baja, perfecto para relajarse o recibir visitas. La cocina independiente, cuenta con un tendedero el cual se puede integrar a la cocina, para preparar deliciosas comidas. En la planta baja encontrarás un práctico aseo de cortesía. La propiedad también cuenta con un patio delantero que incluye un trastero, así como un espacio de garaje al aire libre para mayor comodidad. El patio trasero es un auténtico oasis, ideal para comidas al aire libre y momentos de relax. En la planta superior, tres dormitorios bien distribuidos ofrecen el espacio necesario para toda la familia, junto a un baño completo que asegura funcionalidad y confort. Los suelos de tarima aportan calidez y estilo a cada rincón de la casa. Ubicado en una zona residencial muy demandada como es la zona de Los Rosales. Disfrutarás de la cercanía a colegios, hospitales, transporte público, comercios y zonas verdes. Esta es una oportunidad ideal para familias que buscan un hogar con espacio exterior y una excelente ubicación.  ¡No dejes pasar la oportunidad de visitar este chalet adosado que puede convertirse en tu nuevo hogar! ¡ F I N A N C I A C I O N 1 0 0 %!",False,renew,False,,3189.0,False,False,False,True,[],False,False,389000.0,€,chalet,"Norte - Universidad, Móstoles",Chalet adosado en calle Clavel,Destacado,,,,CLAVEL 389K,True,True,terracedHouse
108159530,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/55/12/1367297129.webp,32,3,550000.0,flat,sale,131.0,True,4,2,"calle Alcalá, 716",Madrid,Madrid,San Blas,es,Rejas,40.4496805,-3.5985263,True,https://www.idealista.com/inmueble/108159530/,"En Fives Real Estate, ponemos también a su disposición un asesoramiento financiero totalmente gratuito y la posibilidad de financiar el 100%, al igual que cualquier necesidad de reforma parcial o integral. Presentamos esta espectacular vivienda de 131 m² construidos, ubicada en una de las urbanizaciones más completas y mejor valoradas del distrito de San Blas-Canillejas: Las Nogueras. Se trata de una propiedad única por orientación y superficie, con una distribución impecable: cuatro dormitorios, dos baños completos, y una terraza perimetral que rodea toda la vivienda, aportando luz y ventilación natural durante todo el día. El inmueble cuenta además con: Una plaza de garaje muy amplia con capacidad para dos coches grandes. Piscina comunitaria rodeada de jardines cuidados. Gimnasio en la misma urbanización. Aire acondicionado. Acabados de calidad, gran luminosidad y un entorno tranquilo con vigilancia y mantenimiento diario. Conectividad excelente y servicios a tu alcance: Ubicación estratégica junto a la Avenida de Canillejas a Vicálvaro y con salida directa a M-40, M-30, M-21 y A-2, lo que permite estar en el aeropuerto o el centro de Madrid en menos de 15 minutos. Transporte público: Metro Suanzes (Línea 5) y Torre Arias (L5) a pocos minutos andando. Líneas de autobús EMT (77, 104, 105) en la misma calle. Acceso rápido a Estación de Cercanías Rejas o Coslada. Colegios, hospitales y todo tipo de servicios. La zona cuenta con una gran oferta de colegios públicos, concertados y privados, como el Colegio Brains International, Colegio Joyfe o el CEIP Padre Coloma. En cuanto a salud, destaca la cercanía al Hospital Universitario Ramón y Cajal, el Hospital de la Princesa, además de varios centros de salud municipales y clínicas privadas. Vivir en esta zona es disfrutar de: Supermercados (Mercadona, Ahorramás, Lidl, Carrefour), todos en un radio inferior a 500 metros. Proximidad a centros comerciales como Plenilunio o Las Rosas. Restaurantes tradicionales, cocina internacional, gastrobares y zonas verdes como El Parque Quinta de los Molinos o El Capricho, ideales para el día a día o el fin de semana. Esta propiedad es perfecta para familias que buscan espacio, comodidad y servicios sin salir de Madrid, en una comunidad que combina tranquilidad, accesos rápidos y equipamientos de primer nivel. [IW].",False,good,False,True,4198.0,False,False,False,False,[],False,False,550000.0,€,flat,"Rejas, Madrid","Piso en calle Alcalá, 716",Destacado,,,,PIS0292,True,True,
109131877,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/e9/0f/1365277811.webp,42,,440000.0,chalet,sale,242.0,,6,3,Torrejón de la Calzada,Madrid,Torrejón de la Calzada,,es,,40.1996823,-3.8015278,False,https://www.idealista.com/inmueble/109131877/,"SI! CASA INMOBILIARIA - 买房、卖房、找欧乘房产！ DESCRIPCIÓN DE LA PROPIEDAD: Chalet pareado en Torrejón de la Calzada con 242 m² construidos distribuidos en 4 plantas: -Planta sótano: Destaca por su gran amplitud, con una parte destinada a garaje y el resto con múltiples posibilidades según las necesidades del propietario. -Planta principal: Salón comedor muy luminoso, cocina amueblada y equipada con materiales de primeras calidades, baño completo y porche acristalado con acceso tanto desde el salón como desde la entrada principal, ideal para disfrutarlo en cualquier época del año. -Primera planta: Tres dormitorios, un baño con plato de ducha y acceso a una terraza exterior desde esta misma planta. -Segunda planta (buhardilla): Dos dormitorios adicionales y un baño completo, ofreciendo aún más espacio y versatilidad. CARACTERÍSTICAS DESTACADAS: Ventanas climalit cambiadas recientemente, aire acondicionado en todas las plantas, calefacción individual, armarios empotrados, pintura lisa, escalera más ancha de lo habitual que aporta mayor comodidad, todos los baños con ventana, y además cuenta con la preinstalación de chimenea, ya que anteriormente tuvo una y se conserva el tiro, lo que permite reinstalarla si se desea. UBICACIÓN: Situado en una de las calles más céntricas de Torrejón de la Calzada, en una zona residencial tranquila, cercana a supermercados, comercios, cafeterías, transporte público y todo tipo de servicios. Una ubicación cómoda y práctica, ideal para quienes buscan espacio y calidad de vida. SERVICIOS EXCLUSIVOS DE SI! CASA: En SI! CASA INMOBILIARIA, nos comprometemos a ofrecerte un servicio personalizado y completo: Buscamos las mejores opciones que se adapten a tus necesidades. Evaluamos tu situación financiera y te asesoramos en las mejores soluciones. Nos encargamos de todos los trámites relacionados con la financiación. Te guiamos y asistimos en cada paso del proceso de adquisición de tu futura casa. MÁS INFORMACIÓN Y CONTACTO: Visita nuestra oficina en Parla, Calle Real 2 o llámanos al  COMERCIAL ENCARGADA: Feiyan – TEL:.",False,good,False,,1818.0,True,False,False,False,[],False,False,440000.0,€,chalet,Torrejón de la Calzada,Chalet pareado,Destacado,,,,GPT470,True,True,semidetachedHouse
