propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108819492,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/ae/39/1356066088.webp,23,4,1200000.0,flat,sale,135.0,True,3,2,calle de Sánchez Bustillo,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4092715,-3.695173,False,https://www.idealista.com/inmueble/108819492/,"Ubicado en pleno barrio de Atocha, a pocos minutos de la estación y del Parque del Retiro, este piso de 135 m² construidos ofrece una oportunidad única para personalizar una vivienda amplia en el centro de Madrid. La propiedad se encuentra en estado original, ideal para reformar al gusto. Actualmente distribuido en 3 dormitorios, 2 baños, salón comedor independiente y cocina, con grandes posibilidades de redistribución gracias a su planta regular y sin muros de carga invasivos. Plaza de garaje y trastero incluidos en el precio. Luz natural. Altura cómoda. Finca con ascensor. Plaza de garaje + Trastero. Excelente conexión de transporte y servicios. Ideal como residencia, inversión o alquiler turístico. Una opción perfecta para quienes buscan crear su hogar a medida o invertir en una zona con alta demanda y revalorización. Contáctanos para más información o concertar una visita.",True,renew,False,True,8889.0,True,False,False,False,[],False,False,1200000.0,€,True,True,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Sánchez Bustillo,Destacado,,,,,
108573160,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/4f/5d/1348825300.webp,26,1,190000.0,flat,sale,61.0,True,2,1,Barrio Vista Alegre,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3797494,-3.747911,False,https://www.idealista.com/inmueble/108573160/,"CARABANCHEL, VISTA ALEGRE, REDPISO MUÑOZ GRANDES, VENDE: PISO DE 2 HABITACIONES EN ZONA TRANQUILA Y BIEN COMUNICADA. Vivienda ubicada en la calle Nuestra Señora de la Luz, colindante con la Avenida Nuestra Señora de Fátima y con la calle General Ricardos, muy cerca de la Plaza de las Palmeras y a pocos minutos de las estaciones del metro Carabanchel y Eugenia de Montijo, línea 5. Piso para actualizar, habitable, exterior, salón de paso, 2 habitaciones amplias con armarios hechos a la medida, cocina con salida a una terraza de 5m2, que confiere gran luminosidad a la vivienda, baño con plato de ducha, calefacción individual de gas natural, ventanas de climalit y PVC, suelos de gres, puerta exterior de seguridad. Primera planta. Finca sin ascensor, de 4 plantas con 8 viviendas.  Es una zona residencial tranquila, con buena comunicación con las líneas de autobuses 17, 34, 35, N17, N26 de la EMT, que conectan rápidamente con el Centro de Madrid y autobuses interurbanos 481: que cubre el trayecto de Oporto – Hospital Severo Ochoa de Leganés, y 486: sentido Madrid (Plaza Elíptica) - Leganés (Valdepelayo). El lugar dispone de colegios (CEIP VEDRUNA y Colegio la Milagrosa), centros deportivos (Complejo Deportivo Blanca Fernández Ochoa y Campo Municipal de La Mina), Centros Asistenciales (Centro de Salud de la avenida Nuestra Señora de Fátima y Hospital Central de la Defensa Gómez Ulla), Centro de Servicios Sociales, Iglesias, farmacias, oficinas bancarias, gimnasio y diferentes comercios como: Restaurantes, bares, supermercados, tiendas de alimentación, panaderías, cafeterías, tiendas de ropa, zapaterías, ópticas, etc. ¡OS INVITAMOS A VISITAR ESTE INMUEBLE! Con nuestro departamento financiero DCREDIT, tendrá la posibilidad de conseguir la financiación 100% para la compra de su vivienda.  REALIZAMOS VALORACIONES GRATUITAS DE VIVIENDAS y LOCALES.",False,good,False,False,3115.0,True,False,False,False,[],False,False,190000.0,€,,,flat,"Vista Alegre, Madrid",Piso,Destacado,RP2892025139297,195000.0,5000.0,3.0,
107247479,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/2d/0c/1307320540.webp,36,1,250000.0,flat,sale,94.0,True,3,2,calle de la Habana,Madrid,Fuenlabrada,La Avanzada - La Cueva,es,,40.2941482,-3.783771,False,https://www.idealista.com/inmueble/107247479/,"¡Descubre tu nuevo hogar en este encantador piso de 94 m² construidos! Ubicado en una zona privilegiada, este espacioso piso de 3 dormitorios y 2 baños te ofrece todo lo que necesitas para vivir cómodamente. El salón de 20 m², con su aire acondicionado y acceso a una amplia terraza, es perfecto para disfrutar de momentos inolvidables con familia y amigos. La cocina también conecta con la terraza, ideal para desayunos al aire libre. El dormitorio principal cuenta con un armario empotrado que puede convertirse en un vestidor. Los dos baños, uno de ellos en suite, están equipados con bañera para tu comodidad. Los suelos de madera en espiga y las puertas de roble añaden un toque de elegancia, mientras que las ventanas con climatizador aseguran un ambiente acogedor todo el año. Además, la calefacción de gas natural con caldera Junkers proporciona eficiencia energética. No te preocupes por el espacio de almacenamiento, ya que el trastero interior puede transformarse en un vestidor adicional. La ubicación es inmejorable: cerca de la estación de Renfe de La Serna y rodeado de servicios como una galería comercial, centros educativos y farmacia, finca con dos ascensores ¡No dejes pasar esta oportunidad y ven a visitarlo!",False,good,False,True,2660.0,False,False,False,False,[],False,False,250000.0,€,,,flat,"La Avanzada - La Cueva, Fuenlabrada",Piso en calle de la Habana,Destacado,Pis_215,,,,
108390435,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/aa/4d/1359667069.webp,49,,785000.0,chalet,sale,235.0,,4,4,Barrio Ensanche de Vallecas - La Gavia,Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3600441,-3.5991277,False,https://www.idealista.com/inmueble/108390435/,"Este exclusivo chalet adosado presentado por HOUX combina un diseño elegante con calidades premium en cada uno de sus detalles. Ubicado dentro de una urbanización privada con vigilancia 24 horas, ofrece un entorno seguro, tranquilo y rodeado de zonas verdes, ideal para familias que buscan confort y privacidad. La vivienda se distribuye en cuatro plantas. En la planta principal, nos recibe un cuidado patio de entrada y un hall con armario gabanero. Desde aquí accedemos a un aseo de cortesía, una cocina completamente equipada con salida directa a una terraza con zona de lavadero, y un amplio salón-comedor con chimenea de pellet y acceso directo al jardín privado, perfecto para relajarse o disfrutar en familia. En la segunda planta se encuentran tres dormitorios con armarios empotrados. El dormitorio principal cuenta con baño en suite, mientras que los otros dos dormitorios comparten un baño completo ubicado en el pasillo. La luz natural y la sensación de amplitud destacan en esta planta. La tercera planta alberga una espectacular habitación-estudio con acceso directo a una terraza privada. También dispone de un baño completo equipado con hidromasaje y sauna, así como un gran solárium con vistas despejadas, creando un espacio de bienestar único dentro de la vivienda. El sótano ofrece una versátil habitación ideal como despacho o dormitorio de invitados, y un garaje privado con capacidad para dos vehículos, aportando comodidad y funcionalidad al día a día. Entre sus calidades destacan: panel termo solar, chimenea de pellet, persianas domotizadas, grifería de Porcelanosa, suelos de parquet y gres de alta gama, y paredes lisas, reflejo de una construcción cuidada hasta el último detalle. La urbanización cuenta con completas zonas comunes: piscina, pistas de pádel, vestuarios y jardines para pasear o disfrutar del tiempo libre en familia. Situado en una tranquila zona residencial, este chalet se encuentra a solo 10 minutos a pie del Centro Comercial La Gavia y muy próximo a todo tipo de servicios: supermercados, restaurantes, cafeterías, farmacias y comercios de barrio. Además, dispone de colegios y escuelas infantiles a escasos minutos, lo que lo convierte en una opción ideal para familias.",False,good,False,,3340.0,True,False,False,False,[],False,False,785000.0,€,True,True,chalet,"Ensanche de Vallecas - La Gavia, Madrid",Chalet adosado,Destacado,,,,,terracedHouse
109080053,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/3d/a5/1363794348.webp,22,1,145000.0,duplex,sale,60.0,False,1,2,"calle Dulcinea, 20",Madrid,Camarma de Esteruelas,,es,,40.5482748,-3.3809004,True,https://www.idealista.com/inmueble/109080053/,"Tecnocasa Camarma - La Garena - El Olivar vende oportunidad única en la zona! Maravilloso piso dúplex con plaza de garaje. Construido en el año 2007, esta propiedad cuenta con cocina americana y dos aseos, además de garaje cubierto comunitario. Tiene una superficie construida aproximada de 60m2 distribuidos en dos plantas.  La primera planta está compuesta por la entrada, cocina americana totalmente equipada, salón luminoso con balcón, aseo y trastero. En la segunda planta nos encontramos el dormitorio principal con un amplio armario empotrado y un cuarto de Baño Completo con plato de ducha y ventana velux.  La vivienda dispone de calefacción eléctrica con radiadores de aluminio en las estancias y doble acristalamiento de ventanas climalit. Como anejo, se incluye en el precio una plaza de garaje con acceso directo al edificio. La ubicación de esta propiedad es ideal, ya que se encuentra en una zona tranquila y segura, pero cerca de todos los servicios y vías principales. Podrás encontrar colegios, institutos, supermercados, transporte público, centro de salud y farmacias, piscinas y polideportivos municipales a pocos minutos de distancia. Camarma de Esteruelas es un pueblo rodeado de naturaleza y zonas de paseo tranquilas. Con Acceso directo a la carretera M-119 y comunicado con Alcalá de Henares a solo 20 minutos en transporte público (ALSA, LINEA 255) y a 15 minutos en coche.   ""VENGA A VISITARLO SIN COMPROMISO, Y RECUERDE QUE LE PODEMOS CONSEGUIR HASTA EL 100% DE FINANCIACIÓN CON NUESTRO DEPARTAMENTO FINANCIERO KIRON Y CONDICIONES DE FINANCIACIÓN A TIPO FIJO Y VARIABLE"".",False,renew,False,False,2417.0,False,False,False,False,[],False,False,145000.0,€,True,True,flat,Camarma de Esteruelas,"Dúplex en calle Dulcinea, 20",Destacado,,,,,duplex
108463503,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/d8/c0/1345693655.webp,25,1,585000.0,flat,sale,122.0,True,3,2,"CL ISABEL COLBRAND, 20",Madrid,Madrid,Fuencarral,es,Las Tablas,40.5106264,-3.6784992,True,https://www.idealista.com/inmueble/108463503/,"MAYAC INMOBILIARIA PONE A LA VENTA PISO, ubicado en Las Tablas, al norte de Madrid, en la Calle Isabel Colbrand. Se trata de una primera planta en urbanización privada que cuenta con piscina comunitaria, plaza de garaje y trastero incluidos en el precio. Ideal para familias que valoran la calidad de vida y la excelente conexión con el centro de la ciudad. Distribución La vivienda presenta una distribución funcional y cómoda: - A la derecha: cocina independiente con espacio office y gran capacidad de almacenaje. - A la izquierda: amplio salón-comedor muy luminoso. - Desde el salón, un pasillo distribuidor conduce a la zona de descanso, que consta de tres dormitorios con armarios empotrados y dos baños completos, uno de ellos en suite en el dormitorio principal. La propiedad se caracteriza por su excelente iluminación natural, distribución equilibrada y ubicación estratégica en una de las zonas de mayor crecimiento residencial y empresarial de Madrid. Zona y servicios – Las Tablas Las Tablas es un barrio moderno y bien consolidado del distrito de Fuencarral-El Pardo, ideal para quienes buscan tranquilidad sin alejarse de los servicios urbanos. La zona cuenta con una amplia oferta educativa, comercial, sanitaria y de ocio, así como una destacada presencia de grandes empresas. - Educación: Brains International School, Colegio Estudiantes, CEIP Gabriela Mistral, entre otros. - Comercio y ocio: Supermercados (Mercadona, Aldi, Carrefour Express), farmacias, gimnasios, restauración y el Centro Comercial El Corte Inglés de Sanchinarro. - Sanidad: Diversos centros de salud y el Hospital HM Sanchinarro a pocos minutos. - Transporte público:  · Metro Línea 10 (estación Las Tablas)  · Metro Ligero ML1  · Autobuses EMT con conexión directa a Plaza de Castilla  · Accesos rápidos a la M-40, A-1 y M-11 En resumen, una vivienda que combina funcionalidad, confort y una ubicación privilegiada con todos los servicios a tu alcance. Una excelente oportunidad para vivir o invertir en una de las mejores zonas del norte de Madrid.",False,good,False,True,4795.0,False,False,True,False,[],False,False,585000.0,€,True,True,flat,"Las Tablas, Madrid","Piso en CL Isabel Colbrand, 20",Destacado,,,,,
109140111,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/e8/71/1365527123.webp,37,,475000.0,chalet,sale,305.0,,4,2,CL LOBO,Madrid,Serracines,,es,,40.6382795,-3.3989815,False,https://www.idealista.com/inmueble/109140111/,"*** POSIBILIDAD DE FINANCIAR HASTA EL 100% DE SU PRESTAMO HIPOTECARIO *** GRUPO HOGARES vende este Chalet pareado en Fresno de Torote – Eficiencia energética, diseño exclusivo y naturaleza Se vende espectacular vivienda unifamiliar de nueva construcción, totalmente equipada y amueblada, lista para entrar a vivir. Todo en una sola planta, combinando el encanto clásico castellano con la más avanzada tecnología. Características principales: 305 m² construidos en parcela con jardín, piscina y huerto. 4 habitaciones con armarios empotrados (incluido armario de 5 cuerpos en suite principal). 2 baños de diseño, uno de ellos con exclusivos azulejos de Ágatha Ruiz de la Prada. Amplio salón comedor con chimenea de leña con salida de calor por toda la casa. Cocina de gran tamaño totalmente equipada. Suelo porcelánico efecto terracota y gres de alta calidad. Techos de porches y cenador en vigas de madera originales. Pintura estuco en pasillos y comedor. Eficiencia y tecnología: Certificado energético A++. Placas solares de hasta 7.000W cubriendo todo el consumo de la vivienda. Aerotermia con termo de 150L para agua caliente. Radiadores eléctricos de calor azul con encendido por domótica. Iluminación LED interior de bajo consumo. Iluminación exterior por proyectores solares en jardín, terrazas y seguridad perimetral. Cámaras de seguridad solares (2) + una conectada a red eléctrica. Exteriores y zonas de ocio: Piscina reformada en 2024 con suelos porcelánicos antideslizantes efecto piedra y luces LED interiores y perimetrales. 2 porches con toldos manuales. Cenador de 60 m² con cocina, barbacoa y horno de leña de acero fundido. Jardín con riego automático programable (9 estaciones). Huerto de 150 m² con zona de herramientas, leñera y 16 árboles frutales. Olivo centenario decorativo en la entrada de la parcela. Comodidades y seguridad: Amplio garaje con puerta automática. Puertas de seguridad en vivienda, garaje y cenador. Ventanas Climalit con doble acristalamiento en aluminio color carpintería. Fachadas de ladrillo rústico con cenefa decorativa. Parcela totalmente vallada con muro chapado en piedra. Cuadros eléctricos independientes en vivienda, garaje y cenador. Una vivienda pensada para el confort, el ahorro energético y el disfrute familiar. De día o de noche, su iluminación LED y el equilibrio entre tradición y modernidad convierten este chalet en un auténtico espectáculo.",True,good,False,,1557.0,False,False,False,False,[],False,False,475000.0,€,True,True,chalet,Serracines,Casa independiente en CL Lobo,Destacado,,,,,independantHouse
109081061,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/84/02/1363824115.webp,36,1,289000.0,flat,sale,107.0,True,2,1,avenida de Carabanchel Alto,Madrid,Madrid,Carabanchel,es,Buena Vista,40.3634976,-3.7538702,False,https://www.idealista.com/inmueble/109081061/,"PISO EXTERIOR MUY LUMINOSO en una estupenda URBANIZACIÓN PRIVADA con PISCINA, TRASTERO, PARQUE INFANTIL, PISTA DE TENIS, CAMPO DE FUTBOL SALA, ZONAS AJARDINADAS y CONSERJE. En La Casa Agency te presentamos esta magnífica vivienda exterior ubicada en una de las zonas más demandadas del distrito de Carabanchel - Buenavista, ideal tanto para familias como para quienes buscan comodidad, buena comunicación y todos los servicios al alcance. Situada en primera planta con ascensor, esta propiedad de 107 m² construidos está diseñada para ofrecer confort, funcionalidad y luz natural en cada rincón. Distribuido de forma funcional y equilibrada, cuenta con: 2 dormitorios, con armarios empotrados, salón-comedor amplio, muy luminoso gracias a su orientación exterior, cocina independiente equipada con acceso a balcón y un baño completo con bañera. Esta vivienda se encuentra a actualizar. Además, dispone de: Calefacción individual por gas natural Aire acondicionado en el salón y en uno de los dormitorios Suelo de parquet y ventanas climalit, que garantizan aislamiento térmico y acústico Puerta blindada y videoportero para mayor seguridad y tranquilidad INCLUYE TRASTERO. A tan solo 5 minutos a pie del metro Carabanchel Alto (Línea 11) y con fácil acceso a múltiples líneas de autobús, esta vivienda se encuentra perfectamente conectada con el centro de Madrid y otros puntos clave de la ciudad. Está rodeado de todos los servicios necesarios para la vida diaria y el ocio: supermercados y tiendas de barrio, colegios, instalaciones deportivas y gimnasios, restaurantes y zonas de ocio, zonas verdes y parques, etc ¡Contáctanos para concertar una visita y descubrir tu nuevo hogar! ¡En La Casa Agency estaremos encantados de atenderte! HORARIO DE ATENCIÓN: De lunes a viernes: 10:00h-14:00h y 17:00h-20:30h. Sábados: 10:00h-14:00h. *Además, si quieres conocer el valor de tu vivienda, contáctanos y te haremos una valoración SIN COMPROMISO y SIN COSTE. **NOTA: este anuncio no es vinculante; puede contener errores y se muestra a título informativo, no contractual.",False,renew,False,True,2701.0,False,False,True,False,[],False,False,289000.0,€,,,flat,"Buena Vista, Madrid",Piso en avenida de Carabanchel Alto,Destacado,VRE-CARABANCHEL ALTO ,,,,
108071242,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/bc/c4/1333282709.webp,22,,250000.0,chalet,sale,65.0,,4,1,calle de las Islas Palaos,Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.4961547,-3.6854715,False,https://www.idealista.com/inmueble/108071242/,"Inmobiliaria en Fuencarral Pueblo y Tres Olivos – Tecnocasa Estudio Fuencarral Pueblo S. L. (Registro de Agentes Profesionales Inmobiliarios – RAIN Nº 1074/25). Vende casa adosada en la Calle Islas Palaos, compuesta por 4 dormitorios, 1 baño, salón y cocina.  Promotores que quieran ejecutar una promoción de 3 viviendas Autopromotores que quieran construir una casa unifamiliar de gran tamaño Inversores que busquen producto en zona de alta proyección urbana La vivienda se encuentra a escasos metros del ámbito de actuación del Proyecto Madrid Nuevo Norte, una de las mayores transformaciones urbanísticas de Europa. Este proyecto contempla nuevas zonas residenciales, empresariales y amplias áreas verdes, además de la modernización de infraestructuras y transporte. Vivir junto a este desarrollo no solo garantiza un entorno moderno y revitalizado en el futuro cercano, sino que representa una inversión estratégica con gran potencial de revalorización a medio y largo plazo. Está muy bien comunicada, con Metro Línea 10 – Estaciones Montecarmelo y Fuencarral a 7 minutos a pie. Autobuses EMT: Líneas: 66, 137, 154, SE704, SB830, T61, N24. Estaciones cercanas: Fuencarral (líneas C4A y C4B) y Ramón y Cajal (líneas C7 y C8). Cerca de centros comerciales como La Vaguada o Sanchinarro.",False,good,False,,3846.0,True,False,False,False,[],False,False,250000.0,€,,,chalet,"Tres Olivos - Valverde, Madrid",Chalet adosado en calle de las Islas Palaos,Destacado,FP-Z2IP,,,,terracedHouse
109131409,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/b3/ec/1365264596.webp,43,,549500.0,chalet,sale,255.0,,4,3,calle de Peña Colmena,Madrid,Becerril de la Sierra,,es,,40.7280593,-3.977398,False,https://www.idealista.com/inmueble/109131409/,"¡Descubre tu nuevo hogar en la encantadora urbanización privada de Becerril de la Sierra! Esta espectacular casa independiente de 255 m² es el lugar ideal para disfrutar de la tranquilidad y el confort. Con una parcela de 521 m², cuenta con amplias zonas ajardinadas, una zona de recreo y un acogedor espacio de barbacoa, perfecto para reuniones familiares y con amigos. Imagina pasar tus días en el amplio cenador central del jardín trasero, rodeado de naturaleza y buenas vibras. La vivienda se distribuye en dos plantas. En la planta baja, encontrarás cuatro dormitorios espaciosos, dos baños completos, un amplio salón y una cocina lista para dar rienda suelta a tu creatividad culinaria. Además, el sótano es una auténtica joya: incluye una increíble bodega, dos amplios salones de reuniones y un baño, ideal para disfrutar de momentos inolvidables o para crear un espacio de trabajo en casa. La calefacción eléctrica asegura un ambiente acogedor durante todo el año. Con armarios empotrados y trastero, tendrás todo el espacio que necesitas para organizarte. La orientación sur-este garantiza luz natural durante todo el día. Además, la cuota mensual del club privado con piscina es de solo 40 euros, brindándote acceso a un estilo de vida exclusivo. No dejes pasar esta oportunidad única de vivir en un entorno privilegiado. ¡Ven a conocer tu nuevo hogar en Becerril de la Sierra!",False,good,False,,2155.0,False,False,False,False,[],False,False,549500.0,€,True,True,chalet,Becerril de la Sierra,Casa independiente en calle de Peña Colmena,Destacado,,,,,independantHouse
