propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108799104,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/8a/f8/1355481100.webp,21705,8,bj,185000.0,flat,sale,42.0,True,1,1,calle de Sierra Elvira,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4064917,-3.6600233,False,https://www.idealista.com/inmueble/108799104/," Inmobiliaria Kronox vende en exclusiva: Apartamento  para entrar a vivir . No deje escapar la oportunidad de adquirir un apartamento con posibilidades tanto para su explotación como para su uso y disfrute.   REFORMADO, para entrar a vivir, con paredes lisas, luces led encastradas, suelos de tarima laminada,  Distribuido en dormitorio, salón en una amplia pieza, cocina con reforma a estrenar y electrodomésticos de primeras  marcas  y baño. la vivienda además cuenta con un altillo para almacenaje.   Excelentes comunicaciones, tanto por vía del transporte público como el metro (L1 Puente de Vallecas, Nueva Numancia) el bus (Líneas 8,113), así como por vía del transporte privado (M-30- A-3, M40). Junto a colegios e institutos, ambulatorios y centros de salud. Solicite una visita sin compromiso. Inmobiliaria Kronox, 30 años vendiendo pisos en su barrio En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría - gestoría / registro/ intermediación inmobiliaria y/o financiera).",False,good,False,False,4405.0,True,False,False,False,[],False,False,185000.0,€,flat,"Numancia, Madrid",Piso en calle de Sierra Elvira,Destacado,,,,,,
108227246,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/53/51/1337720602.webp,DOR-JUANELO,14,2,735000.0,flat,sale,149.0,True,5,1,"calle de Juanelo, 21",Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4110975,-3.7064305,True,https://www.idealista.com/inmueble/108227246/,"Arty consultores vende piso en Lavapiés 159m2, para reforma total, 4º planta, exterior Vivienda situada en la Calle Juanelo, en la localidad de Madrid, en la provincia de Madrid. La vivienda tiene una superficie construida de 159 m2 y está distribuida en un amplio hall de entrada, que da acceso a una cocina independiente muy luminosa, y un pasillo que distribuye a un gran salón comedor, dormitorios siendo una de ellas habitación doble, y cuarto de baño completo. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia.",False,renew,False,True,4933.0,False,False,False,False,[],False,False,735000.0,€,flat,"Lavapiés-Embajadores, Madrid","Piso en calle de Juanelo, 21",Destacado,,,,,,
103674717,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/11/ef/1203156804.webp,6707/737,37,7,1200000.0,penthouse,sale,102.0,True,2,2,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4394234,-3.700827,False,https://www.idealista.com/inmueble/103674717/,"REF. 6707/737. NO COBRAMOS HONORARIOS AL COMPRADOR. TRATO DIRECTO CON LA PROPIEDAD,  Maravilloso y exclusivo ático en la mejor zona de Madrid. Una terraza con vistas espectaculares y nada ni nadie que las interfiera. Amplia terraza en L con preciosas vistas. Consta de una amplio y luminoso salón/comedor con cocina abierta. Dormitorio principal con buen vestidor y baño completo. Dormitorio con baño en suite. Descansillo individualizado. Todo el ático es exterior y hecha una reforma de capricho completa. Aire acondicionado en toda la casa. La zona es exclusiva; bien comunicada, con hospitales cerca, zonas verdes y muchos lugares de ocio y restauración. No deje de visitarlo. ! PUEDE SER SU PRÓXIMA VIVIENDA!",False,good,False,True,11765.0,True,False,True,False,[],False,False,1200000.0,€,flat,"Almagro, Madrid",Ático,Destacado,penthouse,,,,,
106499289,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/09/6b/1284669029.webp,RP722024131395,21,bj,440000.0,flat,sale,80.0,True,4,1,Barrio Peñagrande,Madrid,Madrid,Fuencarral,es,Peñagrande,40.476701,-3.7341043,False,https://www.idealista.com/inmueble/106499289/,"REDPISO CONSULTING INMOBILIARIO ISLA DE AROSA S. L. comercializa en EXCLUSIVA esta vivienda a REFORMAR. Se trata de una planta baja en finca cerrada de 80 m2 construidos distribuidos en: salón, cocina, 4 dormitorios, 2 de ellos con armarios empotrados y un cuarto de baño completo con ventana.  Todas las estancias son exteriores sin patio interior.  Dispone de agua caliente por caldera de gas y calefacción eléctrica.  Se encuentra en una zona residencial y muy tranquila, rodeada de zonas verdes y a escasos metros del proyecto Vía Ágora. La vivienda se ubica cerca de la parada de autobús (64 y 42), a 100 metros de la Avenida del Cardenal Herrera Oria, a 2.100 metros de la Vaguada, 1.400 metros de Peñagrande (Metro Línea 7), además de la M-30 y M-40 con acceso directo. El precio de la vivienda NO comprende los gastos de compraventa, impuestos, ni los honorarios de intermediación inmobiliario que satisface el comprador (3%+IVA). Para más información no dude en ponerse en contacto con nosotros. Visite nuestra página web o visitando nuestra oficina sita en Avda. Cardenal Herrera Oria, 241 (entre oficina de Corros y Banco Santander). Dcredit Servicios Financieros, consulte condiciones de FINANCIACIÓN para esta vivienda.",False,renew,False,False,5500.0,True,False,False,False,[],False,False,440000.0,€,flat,"Peñagrande, Madrid",Piso,Destacado,,,,,,
108390192,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/17/6b/1342681608.webp,GLP1,96,,840000.0,chalet,sale,360.0,,7,6,calle del Pino,Madrid,Galapagar,Los Jarales - Las Minas,es,,40.5856141,-3.9678905,False,https://www.idealista.com/inmueble/108390192/,"Amplio, luminoso y comodo chalet en perfectas condiciones, listo para entrar a vivir en Las minas, Galapagar. A menos de 2km de Torrelodones colonia. Dispone de una superficie de 360 m² construidos en una parcela de 800 m², 7 habitaciones amplias y luminosas diseñadas para ofrecer el máximo confort (una en la planta 0 y seis en la planta 1), 6 baños completos, reformados con acabados de alta calidad, un espacioso garaje con capacidad para dos vehículos. Tambien dispone de un jardín exterior con un diseño ornamental y piscina climatizada. Placas solares ya instaladas. Completamente renovado en 2022 con los más altos estándares de calidad y diseño. Ubicación privilegiada en una zona tranquila, rodeada de naturaleza, ideal para disfrutar de privacidad y paz a tan solo 4 minutos de la colonia de Torrelodones. Para mas información o agendar una visita contáctenos.",True,good,False,,2333.0,True,False,False,False,[],False,False,840000.0,€,chalet,"Los Jarales - Las Minas, Galapagar",Casa independiente en calle del Pino,Destacado,independantHouse,True,True,,,
108254037,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/22/8b/1338580855.webp,8009,49,2,235000.0,duplex,sale,101.0,True,1,2,avenida de los Investigadores,Madrid,Arganda,La Poveda,es,,40.3084815,-3.4740135,False,https://www.idealista.com/inmueble/108254037/,"LOFT - DUPLEX - REFORMADO - de 95M2 en ARGANDA con PLAZA de GARAJE y ASCENSOR.    Un privilegio al alcance de muy pocos, este precioso loft decorado y reformado por profesionales, hará que te enamores a simple vista, Se trata de un dúplex con reforma integral. En la planta baja encontramos un distribuidor abierto con un gran armario empotrado, un baño completo con ducha y un precioso salón desde donde se divisa el horizonte. En la misma planta disponemos de una cocina completamente equipada con electrodomésticos integrados que divide el salón y el comedor, desde donde parten las escaleras de madera blanca que conducen a la planta alta donde se encuentra la habitación de gran tamaño donde hay otro baño completo de moderno diseño. Llama la atención la gran luminosidad de este loft, debido principalmente a sus enormes ventanales tanto por su altura como su anchura, con cristales efecto espejo desde el exterior que proporciona mucha privacidad.  Las vistas de este espacio son espectaculares. Está muy bien comunicado, en zona de expansión, con salida directa a la A-3, cerca de la estación de Metro de la Poveda y autobuses en la puerta que te acercan a Conde de Casal, Arganda, etc. CALIDADES: - REFORMA INTEGRAL HACE TAN SOLO UN AÑO - Paredes alisadas blancas con zonas decoradas con papel pintado de diseño - Puertas lacadas en blanco - Suelos de tarima en toda la vivienda - Escalera con pasamanos y peldaños de madera blanca - Ventanas industriales que componen toda la fachada del edificio - Caldera nueva para agua caliente - Aire Acondicionado estratégicamente instalados bomba F/C - Cocina a medida, completamente equipada - Posibilidad y espacio para poner más armarios empotrados arriba y abajo  - Plaza de garaje incluida en el precio - Buenísima orientación Norte con muchísima claridad sin sol directo. Nunca pensaste que vivir en un loft que fuera tan original, diferente, confortable y alegre. No pierdas la oportunidad y ven comprobarlo. Te vas a sorprender. ¡Pero aún hay más! Con VIVAHOME no solo te ofrecemos esta magnífica vivienda, sino también una excepcional variedad de servicios adicionales para compradores y propietarios. Con VIVAHOME estas en buenas manos. ¿Necesitas vender para comprar? ¿Estás vendiendo tú piso con hipoteca?, nosotros te ayudamos en todo. Desde la compra de tu casa hasta la coordinación con la venta de tu piso o la gestión de herencias y divorcios. Nuestro equipo profesional está aquí para asesorarte y hacer que todo sea más fácil. No pierdas esta oportunidad única de vivir donde más te gusta. Contáctanos hoy mismo para ampliar la información o para programar una visita. ¡Recibe un trato personal en nuestra oficina! (Atendemos en toda la Comunidad de Madrid) SACAMOS EL MEJOR PARTIDO A TU PRESUPUESTO. Pregúntanos por nuestro exclusivo Servicio Integral de Proyecto y Reformas, una solución profesional llave en mano.",True,good,False,True,2327.0,False,False,False,False,[],False,False,235000.0,€,flat,"La Poveda, Arganda",Dúplex en avenida de los Investigadores,Destacado,duplex,True,True,,,
108834053,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/b8/8a/1365271793.webp,R-100,31,bj,190000.0,flat,sale,89.0,True,3,1,Centro,Madrid,Valdemoro,Centro,es,,40.1901534,-3.679944,False,https://www.idealista.com/inmueble/108834053/,"Esta impresionante vivienda, ubicada en la zona más emblemática del pueblo y a pocos pasos de la hermosa plaza central, ofrece una combinación perfecta de comodidad y conveniencia.  Con tres amplias habitaciones dobles exteriores, cada espacio está diseñado para maximizar el confort y permitirte disfrutar plenamente de tu hogar. La cocina ha sido recientemente reformada e incluye muebles altos y bajos que brindan un ambiente funcional ideal para cocinar o socializar; además, cuenta con acceso directo al patio privado donde podrás crear tu propio oasis verde. El baño también se encuentra renovado con materiales de alta calidad que aseguran durabilidad; presenta un moderno plato de ducha perfecto para relajarse después de un largo día. El salón es luminoso gracias a grandes ventanales que permiten entrar luz natural durante todo el día; su amplitud te permitirá acomodar cómodamente tus muebles favoritos sin sentir agobios. Este inmueble está listo para vivir desde ahora mismo: no solo tendrás la oportunidad de adaptarlo poco a poco según tus gustos personales sino también accederás a condiciones financieras muy atractivas - incluso puedes beneficiarte hasta del 100% en financiación si cumples los requisitos necesarios.  No pierdas esta increíble oportunidad por menos dinero del alquiler habitual – contáctanos hoy mismo! Estamos aquí para guiarte en uno de los pasos más importantes hacia tu futuro.",False,good,False,True,2135.0,True,False,True,False,[],False,False,190000.0,€,flat,"Centro, Valdemoro",Piso,Destacado,,,,,,
108293453,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/b7/29/1339775343.webp,silva,26,en,229000.0,flat,sale,54.0,True,2,1,calle de Domingo de Silva,Madrid,Madrid,Latina,es,Puerta del Ángel,40.4065447,-3.7386675,False,https://www.idealista.com/inmueble/108293453/,"VIVIENDAXXI vende piso formado por 2 dormitorios, amplio lavadero junto a la cocina, salón y baño con ventana exterior. La vivienda cuenta con calefacción individual de gas natural, suelos de tarima. Rodeado de jardines y a tan solo 3 minutos del metro ALTO EXTREMEDURA (L6). Pidenos tu cita!",False,good,False,True,4241.0,False,False,False,False,[],False,False,229000.0,€,flat,"Puerta del Ángel, Madrid",Piso en calle de Domingo de Silva,Destacado,,,,234000.0,5000.0,2.0
108687137,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/b6/3f/1352149802.webp,,35,,699000.0,chalet,sale,270.0,,4,4,Universidad - Hospital,Madrid,Fuenlabrada,Universidad - Hospital,es,,40.2970844,-3.8277121,False,https://www.idealista.com/inmueble/108687137/,"***ESPECTACULAR VIVIENDA UNIFAMILIAR *** EXCLUSIVAS OYC te presenta una la oportunidad de adquirir un chalet adosado de lujo en una de las zonas más prestigiosas de Fuenlabrada. Imagina vivir en un hogar donde la luz natural recorre todos los rincones creando un ambiente que transmite sensación de bienestar y tranquilidad. Tres viviendas unifamiliares con jardín y piscina privada. LLAMANOS Y DESCUBRE TU NUEVO HOGAR! PLANTA PRINCIPAL Accederás por un atractivo porche al interior de la vivienda y donde descubrirás un impresionante espacio abierto de más de 45 m2 donde el comedor se fusiona elegantemente con la cocina totalmente equipada y amueblada, creando una estancia practica y funcional donde compartir momentos con la familia. La cocina te da paso al jardín y la piscina privada donde podrás disfrutar de los días de verano. En esta misma planta encontraras un acogedor dormitorio que te invita al descanso. Baño completo y ropero de entrada que satisface todas las necesidades de almacenamiento.  PLANTA PRIMERA Se sitúan los dormitorios, amplios, acogedores, todos ellos cuentan con armario empotrado revestido y su baño. El dormitorio principal incluye baño completo, un magnífico vestidor y terraza privada.  BUHARDILLA Esta planta invita a la desconexión y el relax ya que nos ofrece un espacio totalmente diáfano de más de 40 m2 con muchas posibilidades como zona de juegos, gimnasio, despacho o dormitorio para invitados. Este maravilloso espacio se ve completado con dos amplias terrazas a cada uno de los lados donde disfrutar del las vistas y del aire libre. PLANTA SEMISÓTANO El semisótano añade aún más el valor a la vivienda ya que consta de un garaje con capacidad para dos vehículos, zona de almacenaje y baño completo, asegurando que todas sus necesidades de almacenamiento y estacionamiento estén cubiertas. CARACTERÍSTICAS: - Ventanas de aluminio color negro con persianas motorizadas. - Sistema calor/frío por aerotermia. - Sótano ventilado. - Carpintería interior de color blanco. - Paredes con pintura lisa. - Piscina terminada y puesta en marcha. - Suelos en porcelánico imitación a madera. - Hueco para elevador. Esta espectacular propiedad se encuentra dentro de una zona privilegiada, garantizando seguridad y exclusividad. No pierdas la oportunidad de vivir en uno de los entornos más codiciados de Fuenlabrada por su proximidad al transporte público, hospital y universidad, cada detalle ha sido cuidadosamente diseñado para ofrecer una vida de lujo y confort. Financiamos! conseguimos las mejores condiciones del mercado estudio financiero totalmente gratuito sin compromiso. ""Atendiendo a la solicitud de muchos de nuestros propietarios, algunas de nuestras propiedades no se encuentran publicadas, por lo cual, si desean acceder a la totalidad de nuestra cartera, les invitamos a visitar nuestra oficina en Griñón, en la calle Francia, 11-Local 4 - Esq. calle Italia"" Exclusivas OYC Inmobiliaria Confianza-Seriedad-Transparencia.",False,good,False,,2589.0,True,False,False,False,[],False,False,699000.0,€,chalet,"Universidad - Hospital, Fuenlabrada",Chalet adosado,Destacado,terracedHouse,True,True,,,
108939669,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/2c/83/1359545016.webp,JO30,25,6,379000.0,flat,sale,60.0,False,2,1,calle de Sánchez Barcáiztegui s/n,Madrid,Madrid,Retiro,es,Pacífico,40.404508,-3.674227,True,https://www.idealista.com/inmueble/108939669/,"**Piso en Venta en Madrid - Zona Pacífico, Retiro** ¡Descubre tu nuevo hogar en el corazón de Madrid! Este espectacular piso de 60 m², ubicado en la sexta planta de un edificio señorial, ha sido reformado integralmente para ofrecerte un espacio moderno y acogedor. Con un salón tipo loft que se conecta perfectamente con una cocina americana equipada con todos los electrodomésticos necesarios, como lavadora, horno, microondas, vitrocerámica, campana y nevera, este hogar es ideal para disfrutar de la vida urbana. El piso cuenta con dos luminosos dormitorios, ambos con armarios empotrados que optimizan el espacio. El baño ha sido completamente reformado y dispone de un plato de ducha, radiador de toallero y mampara, aportando un toque de elegancia y funcionalidad. Además, las puertas correderas lacadas en blanco añaden un estilo contemporáneo a la vivienda. Ubicado a pocos minutos del Parque de El Retiro, este piso no solo ofrece un entorno tranquilo y lleno de zonas verdes, sino también una amplia variedad de opciones gastronómicas y comercios locales. La zona cuenta con servicios médicos y acceso a colegios públicos y concertados, lo que lo convierte en un lugar perfecto para familias.  La comunicación es excelente gracias a los diversos medios de transporte disponibles. Con aire acondicionado en el salón y dormitorio, así como calefacción independiente por bomba de frío y calor, este piso garantiza confort durante todo el año. ¡No dejes pasar la oportunidad de vivir en este maravilloso hogar!",True,good,False,True,6317.0,False,False,False,False,[],False,False,379000.0,€,flat,"Pacífico, Madrid",Piso en calle de Sánchez Barcáiztegui s/n,Destacado,,,,,,
