propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
108337660,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/c7/df/1341130079.webp,RP1292025138371,11,bj,199000.0,flat,sale,27.0,True,1,1,calle de las Minas,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4259135,-3.7044505,False,https://www.idealista.com/inmueble/108337660/,"Redpiso Malasaña te ofrece una excelente oportunidad de inversión en una de las mejores ubicaciones de Madrid.  Situado en una de las zonas más codiciadas de la ciudad, este LOCAL reformado en una acogedora vivienda es ideal para quienes buscan un espacio funcional, moderno y con ubicación inmejorable. Con 27 m² de superficie, la propiedad cuenta con un elegante dormitorio con baño en suite, un luminoso salón con sofá para relajarse y disfrutar del ambiente, y una cocina americana totalmente equipada, pensada para ofrecer la máxima comodidad.  La propiedad es exterior, lo que le permite disfrutar de una excelente luminosidad gracias a su orientación oeste, que llena de luz natural el espacio a lo largo del día. Además, está dotada de aire acondicionado frío/calor, lo que garantiza confort en cualquier época del año. El suelo porcelánico de alta calidad aporta un toque sofisticado y fácil de mantener, añadiendo elegancia y practicidad a la propiedad.  Este es un inmueble con gran potencial de inversión, ideal para quienes buscan una propiedad con una alta rentabilidad en una ubicación inmejorable. Completamente amueblado y listo para entrar a vivir, es perfecto tanto para vivir como para alquilar.  Comunidad: 32€ | IBI: 140€ ¡Contáctanos para más información y organiza tu visita!  Ponemos a tu disposición nuestro departamento financiero que obtendrá las mejores condiciones de financiación. ***GASTOS DE ITP 6% Y GESTIÓN NO INCLUIDOS*** Más inmuebles en nuestra página web.",False,good,False,False,7370.0,True,False,False,False,[],False,False,199000.0,€,flat,"Malasaña-Universidad, Madrid",Piso en calle de las Minas,Destacado,,,
108003517,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/ce/60/1330851839.webp,GPT438,45,,515000.0,chalet,sale,335.0,,5,4,Torrejón de la Calzada,Madrid,Torrejón de la Calzada,,es,,40.1986668,-3.8009028,False,https://www.idealista.com/inmueble/108003517/,"SI! CASA INMOBILIARIA - 买房，卖房，找欧乘房产! VENDEMOS: impresionante chalet de 4 plantas en Torrejón de la Calzada, ideal para familias que buscan amplitud, comodidad y zonas de ocio privadas. La vivienda, con 335 m² construidos, está ubicada en una de las mejores zonas residenciales, tranquila y cómoda. DISTRIBUCIÓN DE LA VIVIENDA: SÓTANO: Amplio garaje con capacidad para varios vehículos, gimnasio, trastero, cuarto de caldera, un aseo y acceso directo al patio trasero. PLANTA BAJA: Salón-comedor espacioso y luminoso con salida directa al patio, cocina independiente con acceso a un porche, desde el cual también se puede acceder al patio, un aseo y un dormitorio adicional, ideal como despacho o habitación de invitados. PRIMERA PLANTA: 4 dormitorios amplios y dos baños completos: uno con bañera y otro con plato de ducha. Perfecto para familias numerosas o quienes necesiten espacio adicional. BUHARDILLA: Gran estancia diáfana, muy luminosa y con múltiples posibilidades de uso (zona de ocio, estudio, dormitorio adicional, etc.). ZONA EXTERIOR: El patio trasero está muy bien acondicionado, con piscina de obra, zona de descanso y comedor exterior cubierto, ideal para disfrutar de comidas al aire libre. CALIDADES DE LA VIVIENDA: La casa está en excelente estado, con materiales de calidad, espacios generosos, múltiples zonas de almacenaje y buena iluminación natural. Ideal para entrar a vivir sin necesidad de reformas. UBICACIÓN: Situado en Torrejón de la Calzada, la vivienda está junto a zonas verdes, parques infantiles, centros educativos, supermercados y todos los servicios necesarios al alcance. EN SI! CASA OFRECEMOS LOS SIGUIENTES SERVICIOS AL COMPRADOR: Búsqueda de las mejores opciones adaptadas a cada cliente Estudio financiero gratuito Asesoramiento y gestión de la financiación Acompañamiento en todo el proceso de compra de tu futura casa Visítanos en nuestra oficina en Parla, calle Real 2 TEL:  COMERCIAL ENCARGADO: Maribel  我们出售：Torrejón de la Calzada 四层豪华别墅 这座令人印象深刻的四层别墅建筑面积达335平方米，位于Torrejón de la Calzada一处优质住宅区，环境宁静舒适，是追求宽敞空间、便利生活和私人休闲区域的家庭的理想选择。 房屋分布： 地下层： 设有大型车库，可停放多辆汽车，还包含一个健身房、储藏间、锅炉房、卫生间，并可直接通往后院。 底层： 配有一个宽敞明亮的客厅-餐厅，可直接通往后院；独立厨房连接一个带顶门廊，从门廊也可进入后院；此外还有一个卫生间及一个额外卧室，非常适合作为办公室或客房使用。 第一层： 拥有4间宽敞卧室和两个完整浴室（一个带浴缸，一个带淋浴），非常适合大家庭或需要额外空间的人士。 阁楼： 一个开放式大空间，光线充足，用途多样，可作为娱乐区、书房或额外卧室。 户外空间： 后院设施齐全，配有永久性游泳池、休闲区和户外餐区（带顶棚），非常适合享受户外时光和家庭聚餐。 房屋品质： 房屋保存状态极佳，采用高品质材料建造，空间充裕，设有多个储藏区域，自然采光良好，可直接入住，无需翻修。 地理位置： 位于Torrejón de la Calzada，周边有绿地、公园、学校、超市等配套设施，一应俱全，生活便利。 欢迎您预约看房，我们会竭诚为您服务。可加微信.",False,good,False,,1537.0,True,False,False,False,[],False,False,515000.0,€,chalet,Torrejón de la Calzada,Chalet adosado,Destacado,True,True,terracedHouse
108695812,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/ce/0d/1356409877.webp,,63,,315000.0,chalet,sale,359.0,,7,3,CL ALBERCHE,Madrid,Colmenar de Oreja,,es,,40.072802,-3.4889386,False,https://www.idealista.com/inmueble/108695812/,"**Casa Independiente en Venta en Urbanización Balcón del Tajo, Colmenar de Oreja** Descubre el hogar de tus sueños en la exclusiva Urbanización Balcón del Tajo. Esta impresionante casa independiente de 369 m² construidos se asienta sobre una amplia parcela de 1.077 m², ofreciendo un espacio ideal para disfrutar con familia y amigos. La vivienda, construida en 2004, se encuentra en un excelente estado de conservación, lista para entrar a vivir. En la primera planta, un luminoso salón te da la bienvenida, con acceso directo a una encantadora terraza donde podrás relajarte y disfrutar de las vistas. La planta cuenta con tres acogedores dormitorios y dos baños completos, perfectos para el confort diario. La cocina, funcional y bien equipada, es el lugar ideal para preparar deliciosas comidas. La planta sótano añade un valor excepcional a la propiedad, con 4 dormitorios adicionales y un baño, ideal para huéspedes o como espacio de trabajo. Además, cuenta con un trastero y un garaje con capacidad para dos vehículos, asegurando que nunca falte espacio de almacenamiento. Con calefacción mediante caldera de gasoil y bomba de frío y calor y una orientación que permite la entrada de luz natural en todas las estancias, esta casa es perfecta para disfrutar durante todo el año. No pierdas la oportunidad de visitar esta magnífica propiedad que combina comodidad, amplitud y una ubicación privilegiada. ¡Tu nuevo hogar te espera!",True,good,False,,877.0,False,False,False,False,[],False,False,315000.0,€,chalet,Colmenar de Oreja,Casa independiente en CL Alberche,Destacado,True,True,independantHouse
107686026,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/a8/4f/1320312026.webp,,3,2,550000.0,flat,sale,70.0,False,2,1,Diego de León,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4333299,-3.6756481,False,https://www.idealista.com/inmueble/107686026/,"Te presentamos un magnifico piso en el Barrio de Salamanca -Diego de Leon, perfecto para entrar a vivir o para hacer una reforma a tu gusto. Piso interior en 2ª planta con ascensor, muy luminoso con grandes ventanales a patio de manzana, tranquilo y con muy buena altura de techos, suelo de madera y buenos acabados, dos habitaciones y una cocina independiente de buen tamaño. No dejes pasar esta oportunidad a tan solo pocos metros del Metro Diego de Leon, excelente comunicacion en una zona con todos los requisitos que puedes desear.",False,good,False,True,7857.0,True,False,False,False,[],False,False,550000.0,€,flat,"Lista, Madrid",Piso en Diego de León,Destacado,,,
108010272,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/6c/1e/1331080363.webp,1620,29,2,485000.0,flat,sale,100.0,True,2,1,calle de la Sierpe,Madrid,Madrid,Centro,es,Palacio,40.4097638,-3.7083171,False,https://www.idealista.com/inmueble/108010272/,"Mágnifico piso exterior junto al mercado de la cebada, una de las mejores zonas de todo el centro de madrid, en una calle sin bares y sin ocio nocturno, extremadamente tranquila.  pso exterior con dos balcones a la calle, dos dormitorios, el principal con vestidor, amplia cocina equipada, salón comedor con balcon a la calle y despacho, que anteriormente era segunfo cuarto de baño, preparado para poenr baño con tuberias y bajantes si se quiere.  finca rehabilitada protegida, en perfectas condiciones, e tie satisfctoria.",False,good,False,False,4850.0,False,False,False,False,[],False,False,485000.0,€,flat,"Palacio, Madrid",Piso en calle de la Sierpe,Destacado,,,
108833660,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/7c/dd/1356478649.webp,PIS_296,21,4,185000.0,flat,sale,78.0,False,3,1,calle de Francia,Madrid,Fuenlabrada,Centro,es,,40.2859844,-3.8008906,False,https://www.idealista.com/inmueble/108833660/,"¡Descubre tu nuevo hogar en el corazón de Fuenlabrada! Este espectacular piso recién reformado, ubicado en una cuarta planta sin ascensor, ofrece un diseño moderno y funcional que se adapta a tus necesidades. Con 78 m² construidos y 73 m² útiles, cuenta con 3 luminosos dormitorios, perfectos para disfrutar de la tranquilidad y el confort. La cocina abierta al salón crea un ambiente acogedor ideal para compartir momentos inolvidables con familiares y amigos. Los suelos porcelánicos en el salón, cocina y baños, junto con la tarima flotante en el resto de la vivienda, aportan un toque elegante y cálido. Las ventanas de PVC abatibles y oscilobatientes garantizan una excelente iluminación natural. Además, el amplio dormitorio principal tiene acceso a una terraza exterior, perfecta para relajarse al aire libre. La ubicación es inmejorable, a pocos pasos de la estación de metro Parque Europa y Fuenlabrada Central, así como de centros educativos y zonas comerciales. No pierdas la oportunidad de vivir en un entorno que combina comodidad y accesibilidad. ¡Ven a visitarlo y siente la magia de este hogar!",False,good,False,False,2372.0,False,False,False,False,[],False,False,185000.0,€,flat,"Centro, Fuenlabrada",Piso en calle de Francia,Destacado,,,
106724825,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/f7/11/1354116031.webp,,33,,537000.0,chalet,sale,327.0,,4,2,Villalbilla,Madrid,Villalbilla,,es,,40.4497695,-3.3714457,False,https://www.idealista.com/inmueble/106724825/,"¡Descubre el hogar de tus sueños en la exclusiva urbanización Zulema! Esta impresionante casa independiente, situada en una parcela de 1.012 m², ofrece 327 m² de espacios cuidadosamente diseñados en tres plantas.  En la planta baja, un amplio salón comedor de 45 m² te da la bienvenida, junto a una cocina moderna de 14 m², una acogedora sala de estar, un dormitorio y un baño completo. Disfruta de la calidez del suelo de baldosa y la eficiencia de las ventanas climalit de PVC, oscilo batientes, doble cristal y sistema komerling. En la primera planta, encontrarás tres luminosos dormitorios, un baño completo y dos terrazas ideales para relajarte al aire libre. Además, una encantadora buhardilla te ofrece espacio adicional para personalizar a tu gusto. El suelo de parquet y las ventanas climalit aseguran confort y estilo.  El sótano alberga un garaje y una amplia sala con bodega para tus momentos más especiales. Con calefacción y agua caliente por gas natural, esta propiedad garantiza comodidad durante todo el año.  Ubicada cerca de servicios esenciales como centros de salud, colegios y supermercados, y con excelente conexión mediante las líneas de autobús 231 y 232, esta es una oportunidad única que no puedes dejar pasar.  Solicita más información sin compromiso y descubre tu nuevo hogar sin costos adicionales para el comprador. ¡No esperes más para hacer realidad tus sueños!",False,good,False,,1642.0,True,False,False,False,[],False,False,537000.0,€,chalet,Villalbilla,Casa independiente,Destacado,True,True,independantHouse
108646282,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/db/59/1354713461.webp,PIS0459,49,1,373000.0,flat,sale,141.0,True,4,2,plaza de Colon,Madrid,Arganda,El Mirador - Grillero,es,,40.2976697,-3.4343012,False,https://www.idealista.com/inmueble/108646282/,"Piso en venta en Plaza de Colón, Arganda del Rey 4 hab. · 2 baños · 141 m² construidos · Plaza de garaje incluida Se vende amplio y luminoso piso exterior en Plaza de Colón, Arganda del Rey, en buen estado y listo para entrar a vivir. Ideal para familias que buscan espacio, confort y buenas calidades. La vivienda cuenta con: -4 dormitorios con armarios empotrados. -2 baños completamente reformados. -Cocina independiente con salida a una terraza acristalada. -Salón comedor con balconeras. -Ventanas de PVC con doble acristalamiento y sistema abatible -Suelo de tarima y gres -Aire acondicionado y calefacción de gas natural -Puerta blindada -Semiamueblado El edificio dispone de ascensor, el piso incluye en el precio una plaza de garaje y trastero. Además, la urbanización cuenta con piscina comunitaria. Ubicado en una zona tranquila y bien comunicada, con todos los servicios cercanos: colegios, supermercados, transporte público y zonas verdes. Características básicas -141 m² construidos -4 dormitorios -2 baños -Terraza acristalada. -Segunda mano / buen estado -Armarios empotrados -Orientación exterior Equipamiento -Aire acondicionado -Calefacción individual: gas natural -Suelo de tarima flotante y gres -Ventanas PVC con doble acristalamiento -Puerta blindada -Semiamueblado Comunidad -Trastero -Plaza de garaje incluida -Piscina comunitaria -Ascensor ¿Quieres más información o concertar una visita? ¡Llama ahora y no pierdas esta oportunidad! [IW].",False,good,False,True,2645.0,False,False,False,False,[],False,False,373000.0,€,flat,"El Mirador - Grillero, Arganda",Piso en plaza de Colon,Destacado,True,True,
107250198,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/72/da/1307401683.webp,ACP1776.1,25,2,895000.0,flat,sale,126.0,True,1,1,calle de Amado Nervo,Madrid,Madrid,Retiro,es,Niño Jesús,40.4114944,-3.6772842,False,https://www.idealista.com/inmueble/107250198/,"“JOWNER VENDE EXCELENTE PISO EN NIÑO JESÚS” Presentamos una espectacular vivienda a la venta en la zona de Retiro, con 126 m2 y una estupenda luz natural con varias ventanas al exterior. Tiene un tamaño estupendo para redistribuir en varias configuraciones.  La vivienda está en un excelente estado de conservación pero para recuperar la distribución original habría que realizar una actualización. El inmueble cuenta con una excelente luz y calidez y está a un paso del Parque del buen Retiro.  Dispone de todos los servicios de calefacción y agua centrales, y la finca cuenta con portero físico. Adicionalmente a la vivienda se incluye un cómodo trastero en el mismo edificio  Características de la vivienda:   A un paso del Retiro 1 dormitorio 1 baño  Salón Cocina independiente Aire acondicionado Calefacción y agua central  Trastero Zona tranquila y muy bien comunicada Descripción del entorno: Esta vivienda se encuentra en el barrio de Retiro, un barrio histórico y residencial de Madrid, donde resulta imprescindible pasear entre sus calles y por el Parque del Buen Retiro. Esta zona goza de mucha tranquilidad, servicios y al mismo tiempo de mucha vida, tanto a nivel comercial como gastronómico, además de contar con todos los servicios esenciales. Este área ofrece una muy buena comunicación de transporte público, ya que a escasos metros se encuentra la parada de metro Ibiza (Línea 9) y Conde de Casal (Línea 6), además de múltiples líneas de autobuses que te comunicarán con toda la capital. ¡Contacta ya con nosotros para coordinar una visita! JOWNER es una plataforma digital que te ofrece todos los servicios necesarios para que puedas alquilar y vender tu inmueble en el menor tiempo posible, con nuestro método maximizamos tu tiempo y tu rentabilidad/ ""Más info en jowner. com o en el "".",True,good,False,True,7103.0,False,False,False,False,[],False,False,895000.0,€,flat,"Niño Jesús, Madrid",Piso en calle de Amado Nervo,Destacado,,,
102883511,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/d3/f8/1170571509.webp,huertas,34,1,839000.0,flat,sale,105.0,True,2,2,Barrio Huertas-Cortes,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4119103,-3.6960574,False,https://www.idealista.com/inmueble/102883511/,"Infocasa Consulting pone a la venta:  Inmueble totalmente reformado y equipado situado en la primera planta. Consta de 2 habitaciones y 2 baños, uno de ellos en suite. Se entrega totalmente amueblado con muebles de diseño hechos a medida, acabados en madera y una excelente iluminación mediante luces LED. Cortes es un barrio de la ciudad de Madrid, ubicado en el distrito Centro. Dentro de él se encuentra la zona conocida como barrio de las Letras (también llamado Huertas), considerado por muchos un barrio propio. Su nombre oficial se debe a que dentro de este barrio se encuentra el Congreso de los Diputados, cámara baja de las Cortes Generales de España. El sobrenombre, más popular entre la población, se debe a las ""huertas del prado"" que había en el siglo XVII en el actual paseo del Prado, que también dan nombre a la principal calle del barrio: la calle de las Huertas. El barrio está limitado por el Paseo del Prado, la calle de Atocha, la calle de la Cruz, la calle Sevilla, la calle de la Virgen de los peligros, la calle Gran Vía y la calle de Alcalá. No dude en llamarnos para concertar visita, estaremos encantados de atenderles. Les esperamos.",False,good,False,True,7990.0,True,False,False,False,[],False,False,839000.0,€,flat,"Huertas-Cortes, Madrid",Piso,Destacado,,,
