propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
105960522,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/e0/64/1277672203.webp,28,bj,329000.0,flat,sale,227.0,True,5,4,calle del Mesón de Paredes,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4089326,-3.7028508,False,https://www.idealista.com/inmueble/105960522/,"¡Oportunidad única en el corazón de la ciudad! Presentamos esta vivienda diáfana de 227 m² construidos, repartidos en dos plantas (bajo (135 metros) y sótano (90 metros)), al estar en bruto ofrece un sinfín de posibilidades para diseñar el hogar de tus sueños. Con una excelente ubicación, muy cerca de una de las plazas más importantes de Lavapiés. Tiene tres accesos independientes (desde la calle, el portal y el patio interior), esta propiedad se adapta a todas tus necesidades.  Construida en 1890, la vivienda es apta para personas con movilidad reducida y cuenta con acceso adaptado. Aunque necesita reformas, su orientación garantiza una buena iluminación natural. No dispone de calefacción, pero su clase energética E asegura un consumo moderado. Ideal para quienes buscan un proyecto de renovación con carácter histórico y múltiples opciones de distribución. Se entregaría con el cambio de uso presentado (cumpliendo todos los requisitos) y con posibilidad de empezar la obra de inmediato. ¡No dejes pasar esta oportunidad y ven a visitarla!",False,renew,False,True,1449.0,False,False,False,False,[],False,False,329000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Mesón de Paredes,Destacado,,,,,,,
108996218,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/18/9a/1361194215.webp,15,bj,315000.0,flat,sale,80.0,True,4,1,calle de la Santa Infancia,Madrid,Madrid,Latina,es,Puerta del Ángel,40.4078518,-3.7368717,False,https://www.idealista.com/inmueble/108996218/,"Si te gustaría vivir en el barrio, ¡tenemos una gran oportunidad para ti! Ubicada en la Calle Santa Infancia, esta vivienda exterior en planta baja cuenta con una superficie de 84 m² distribuidos en cuatro dormitorios, amplio salón, cocina independiente y un cuarto de baño; todas las estancias tienen ventana, lo que proporciona una excelente luminosidad natural durante todo el día; su ubicación es inmejorable, a tan sólo 3 minutos caminando del Metro Alto de Extremadura (L6), con conexión directa a Ciudad Universitaria en solo 15 minutos, además de varias líneas de autobús que te comunican rápidamente con el centro de Madrid; rodeada de todos los servicios: supermercados, centro de salud, farmacias, restauración y comercios de proximidad que cubren todas las necesidades del día a día, sin olvidar la cercanía al emblemático Parque de Casa de Campo, ideal para disfrutar del aire libre a escasos minutos a pie; una excelente opción para quienes buscan comodidad, buena comunicación y amplitud en una de las zonas más consolidadas de la capital; ven a visitarla sin compromiso y descubre tu próximo hogar; consulta más inmuebles en los precios ofertados no comprenden los tributos (Impuesto de Transmisiones Patrimoniales), ni los gastos notariales y registrales relativos a la compraventa, ni la comisión de intermediación que satisface el comprador. La información contenida en este anuncio tiene carácter meramente informativo y no constituye un compromiso contractual.",False,renew,False,True,3938.0,True,False,True,False,[],False,False,315000.0,€,flat,"Puerta del Ángel, Madrid",Piso en calle de la Santa Infancia,Destacado,RP1212025140762,,,,,,
107601422,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/29/94/1317659119.webp,18,bj,217865.0,flat,sale,65.0,True,2,1,Centro,Madrid,Fuenlabrada,Centro,es,,40.2826941,-3.7913523,False,https://www.idealista.com/inmueble/107601422/,"GESTION 3 te ofrece este piso de 65m² a estrenar, en una ubicación inmejorable, en pleno centro de Fuenlabrada, a tan solo 2 minutos de la Calle La Plaza. Esta vivienda es perfecta para aquellos que buscan comodidad, modernidad y una excelente ubicación. El piso consta de 2 habitaciones luminosas y espaciosas, 1 baño completo con acabados modernos. Cocina americana que integra el salón y optimiza el espacio, ideal para disfrutar de un ambiente abierto y acogedor. Patio particular para disfrutar del aire libre y trastero.  Características destacadas de la vivienda son calefacción por conductos con aire frío y calor, garantizando una temperatura ideal durante el año. Puertas lacadas en blanco, que aportan luminosidad y estilo a cada estancia. Suelos porcelánicos imitación a madera, que ofrecen una estética cálida y moderna. Ventanas abatibles y oscilobatientes, proporcionando una excelente ventilación y aislamiento. EXCELENTES CALIDADES. La vivienda se encuentra rodeada de todos los servicios esenciales: supermercados, Ayuntamiento, juzgados, centro comercial y una variada zona de ocio y restauración.  ¡No dejes pasar esta oportunidad de vivir en el corazón de Fuenlabrada, con todo a tu alcance! Contáctanos y ven a visitar tu nuevo hogar.",False,good,False,False,3352.0,False,False,False,True,[],False,False,217865.0,€,flat,"Centro, Fuenlabrada",Piso,Destacado,008473,,,,,,
108798098,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/2a/39/1355443413.webp,77,,830000.0,chalet,sale,306.0,,8,5,Zona Centro,Madrid,Moralzarzal,Zona Centro,es,,40.6777856,-3.9697788,False,https://www.idealista.com/inmueble/108798098/,"IMPRESIONANTE Y ACOGEDOR CHALET EN MORALZARZAL, CON ESPECTACULARES VISTAS.  Amplia vivienda de 300m2 construidos en parcela de 450m2, en zona céntrica y tranquila de Moralzarzal distribuidos en 3 plantas, con dos viviendas independientes.  En planta baja tenemos, amplio salón, tres habitaciones con armarios empotrados, cocina y dos baños completos, con garaje independiente. Planta principal, amplio hall de entrada y pasillo amplio distribuidor que nos lleva a un gran salón de 30m2 con chimenea y amplias y luminosas ventanas, con salida a una bonita y acogedora terraza con espectaculares vistas de 15m2, dos amplias habitaciones una de ellas tipo suite y armarios empotrados, gran cocina con despensa para aportar comodidad y dos baños completos.  Planta primera tenemos, amplio distribuidor con tres habitaciones con armarios empotrados y un baño completo, En la parcela tenemos una piscina tamaño ideal para disfrutar del verano en un ambiente tranquilo y relajado de toda la familia, con cómoda mesa de piedra y barbacoa de obra para que las veladas sean perfectas y no las falte detalle a las noches de verano. Cuenta con una parcela de 450m2, muy cuidada y diseño natural. Este bonito chale familiar cuenta con las mejores calidades y diseño con mucho estilo en toda la casa, así como ventanas tipo climalit en la planta principal, calefacción por gasóleo, suelos de gres natural que aportan un espacio más acogedor e incluso paredes de piedra natural que fomentan el confort y la elegancia con pequeños detalles que hacen que la vivienda sea tan distinguida.  Todo esto en un fantástico entorno natural con bonitas vistas de la sierra, situado en zona céntrica de Moralzarzal a tres minutos andando a la parada de Bus, y 800m de zona centro con todos los servicios a mano. No lo pienses más, ven a visitar este espectacular chale rodeado de magia y encanto en Guadarrama. EN ALFA INMOBILIARIA NO COBRAMOS HONORARIOS A LA PARTE COMPRADORA ….LLAMANOS Y ESTAREMOS ENCANTADOS DE DARTE LA INFORMACION QUE NECESITES Y PODER VISITARLO…. *El precio ofertado de este inmueble no incluye el mobiliario interno de la vivienda. La superficie del inmueble ha sido facilitada por el vendedor, consultada en la Sede Electrónica de Catastro o Registro de la Propiedad, pudiendo haber alguna variación con la superficie real. Les comunicamos que, en el precio ofertado de venta, no están incluidos los gastos de compraventa: notariales, registrales, gestoría, ITP (Impuesto de Transmisiones Patrimoniales) y/o gastos bancarios que pudieran generarse. ¡Si tienes cualquier duda o pregunta o quieres programar una visita, no dudes en ponerte en contacto con nosotros! Si necesitas financiación, nuestro departamento financiero de Alfa Credit te asesora en todo lo que necesites, gracias a nuestros únicos acuerdos de colaboración con las entidades bancarias.    CONSULTA CON ALFA CREDIT LA MEJOR FINANCIACION.",True,good,False,,2712.0,True,False,False,False,[],False,False,830000.0,€,chalet,"Zona Centro, Moralzarzal",Casa independiente,Destacado,1901-543,True,True,independantHouse,,,
107655995,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/4b/24/1318965479.webp,78,,935000.0,chalet,sale,270.0,,5,3,calle Luxemburgo,Madrid,Villaviciosa de Odón,Centro,es,,40.365613,-3.9117965,False,https://www.idealista.com/inmueble/107655995/,"Descubre el hogar de tus sueños en Villaviciosa de Odón A pocos minutos de la Ciudad Financiera del Santander. Este impresionante chalet pareado, con 270 m² construidos y una parcela de 300 m², te ofrece un estilo de vida inigualable.  En perfecto estado y listo para entrar a vivir, cuenta con 4 dormitorios (antes 5) y 3 baños, distribuidos en tres plantas llenas de luz natural. La planta baja te da la bienvenida con un elegante recibidor, un despacho versátil, un aseo de cortesía y una cocina-office moderna con zona de lavado. El amplio salón comedor se abre a un porche con jacuzzi privado y un jardín donde podrás relajarte. En la planta superior, disfruta de una suite espaciosa, dos dormitorios adicionales y un baño completo.  La planta semi-sótano alberga un gran garaje para tres coches y un trastero, con la posibilidad de transformarlo en un apartamento independiente.  Situado en una de las mejores áreas residenciales, este chalet combina tranquilidad y proximidad a todos los servicios necesarios, con acceso directo a la M-501 y cercanía a la Ciudad Financiera del Santander y la Universidad Europea de Madrid. Ideal tanto para familias como para inversores, este inmueble es una oportunidad única que no puedes dejar escapar.  980€/IBI 0€ GASTOS COMUNIDAD ¡Ven a visitarlo y enamórate!",False,good,False,,3463.0,False,False,False,False,[],False,False,935000.0,€,chalet,"Centro, Villaviciosa de Odón",Chalet pareado en calle Luxemburgo,Destacado,,True,True,semidetachedHouse,,,
108518618,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/d3/65/1347473862.webp,25,1,189000.0,duplex,sale,73.0,True,2,2,CL MEMBRILLOS,Madrid,El Molar,,es,,40.732337,-3.580304,False,https://www.idealista.com/inmueble/108518618/,"B2V InmobiliariA comercializa en Exclusiva.  Descubre este encantador dúplex!  de dos habitaciones en El Molar, un lugar ideal para disfrutar de la tranquilidad y la comodidad. Con 70 m² construidos, este hogar se distribuye en dos plantas con un DISEÑO ACTUAL que maximiza la luz natural.  En la planta principal, un luminoso salón-comedor te da la bienvenida, complementado por un balcón. La cocina, completamente amueblada y equipada con electrodomésticos, es el espacio ideal para dar rienda suelta a tu creatividad culinaria. En la segunda planta, encontrarás un amplio dormitorio principal y un acogedor dormitorio individual, ambos con ventanas Velux que aportan luminosidad y estilo. El cuarto de baño cuenta con bañera, y no olvides el aseo de cortesía en la planta principal, que añade comodidad a tu día a día.  Este dúplex dispone calefacción eléctrica, suelos en tarima, puertas blancas y ventana de pvc. Ubicado en una zona bien comunicada, con fácil acceso a Madrid por la A-1, disfrutarás de un entorno natural de una comunidad en crecimiento que ofrece una excelente calidad de vida. Servicios cercanos como colegios, centro de salud, supermercados y zonas deportivas hacen de este lugar un espacio ideal para familias y parejas. Además, la gran oferta gastronómica con bodegas y restaurantes tradicionales te permitirá disfrutar de la rica cultura local. No dejes pasar la oportunidad de vivir en este acogedor dúplex que incluye plaza de garaje en el precio. ¡Ven a visitarlo y enamórate de tu futuro hogar! Para más información o realizar una visita, póngase en contacto. Susana Montealegre. B2V InmobiliariA, tu inmobiliaria de referencia en la sierra de Madrid y alrededores.",False,good,False,False,2589.0,False,False,False,False,[],False,False,189000.0,€,flat,El Molar,Dúplex en CL Membrillos,Destacado,,True,True,duplex,194990.0,5990.0,3.0
108584934,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/1f/c3/1349324319.webp,36,,240000.0,chalet,sale,80.0,,3,1,calle de la Dehesa,Madrid,Serracines,,es,,40.6165116,-3.4001085,False,https://www.idealista.com/inmueble/108584934/,"¡Descubre tu nuevo hogar en plena naturaleza con JLC Inmobiliaria! ¿Buscas tranquilidad, espacio y múltiples posibilidades? Te presentamos esta fantástica parcela de 2.751 m² ubicada en Serracines (Fresno del Torote), con todo lo necesario para disfrutar del campo sin renunciar a la comodidad. � Precio: 240.000€ La propiedad incluye:  Vivienda principal de 80 m², lista para personalizar a tu gusto.  Garaje diáfano de otros 80 m², perfecto como zona de trabajo, almacenamiento o ampliación.  Nave de 130 m², ideal para uso agrícola, taller, almacén o cualquier proyecto que tengas en mente. ✨ Extras que marcan la diferencia: Agua del canal y pozo propio � Piscina privada (requiere actualización) para disfrutar los días de verano ☀️ Acogedora chimenea e hidrochimenea, que calienta toda la casa a través de radiadores � Agua caliente mediante termo eléctrico Amplio terreno para huerto, jardín, animales o nuevas construcciones � �️ La casa ha estado sin uso unos años, pero está estructuralmente en buen estado y lista para convertirse en el hogar de tus sueños con una pequeña inversión en mantenimiento. � Ubicación inmejorable: A solo 20 minutos de Torrejón de Ardoz y 25 del Aeropuerto Adolfo Suárez (Barajas). Serracines es una encantadora pedanía con un entorno natural único y todos los servicios: � Líneas de autobús (256 y 251) � Colegios � Supermercados � Farmacia � Estanco …y mucho más. � ¡Haz realidad tu proyecto de vida en el campo! Una propiedad con potencial para vivienda, negocio, segunda residencia o inversión. � Contáctanos hoy mismo al y agenda tu visita. ¡No dejes pasar esta oportunidad única!",False,renew,False,,3000.0,False,False,False,False,[],False,False,240000.0,€,chalet,Serracines,Casa independiente en calle de la Dehesa,Destacado,840,True,True,independantHouse,,,
109132291,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/87/a2/1365305079.webp,44,4,180000.0,flat,sale,80.0,True,3,1,avenida de la Constitución,Madrid,Torrejón de Ardoz,Noroeste,es,,40.4546239,-3.4808786,False,https://www.idealista.com/inmueble/109132291/,"Vivienda que necesita mejoras con buena ubicación cerca de Estación de Renfe y cerca de todos los servicios. (Barrio San Jose) Dispone de 3 dormitorios, baño, cocina amueblada y salón con salida a la terraza. La finca tiene ascensor. Para visitar la vivienda sin compromiso o amplia información no dude en contactar con nosotros y le atenderemos encantados. En el precio de venta no están incluidos los gastos de compra ( Impuestos de transmisiones patrimoniales/ Notaría / Gestoría / Registro / Intermediación inmobiliaria y/o Financiera).",False,renew,False,True,2250.0,False,False,False,False,[],False,False,180000.0,€,flat,"Noroeste, Torrejón de Ardoz",Piso en avenida de la Constitución,Destacado,V-1345,,,,,,
108832467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/f5/c5/1356441852.webp,25,bj,275000.0,flat,sale,78.0,True,2,1,calle Trones,Madrid,Madrid,Latina,es,Águilas,40.3860069,-3.7665191,False,https://www.idealista.com/inmueble/108832467/,"LINKCASA PASEO EXTREMADURA VENDE un piso de 2 dormitorios en urbanización en la calle Trones (barrio de Las Águilas). La vivienda consta de 2 habitaciones (una de ellas doble y con armario empotrado), salón, cocina equipada, baño completo con bañera y tendedero. El inmueble es exterior, luminoso, se trata de una planta baja, está para actualizar pero cuenta con bastantes posibilidades de distribución y dispone de calefacción individual de gas natural. En el precio del piso está incluido una amplia plaza de garaje ubicada en el mismo edificio. Se trata de una vivienda de protección oficial (hasta el 15 de noviembre del año 2026). El inmueble se encuentra a 8 minutos del metro y cercanías de Aluche (L-5 y C-5) y a 7 minutos de varias líneas de autobuses de la EMT (17, 131, 138, 139, 155, H y N18). La finca es del año 1998, dispone de ascensor, videoportero, acceso para personas con movilidad reducida y zona ajardinada y la primera ITE la pasará en el año 2029. El piso se encuentra ubicado en una zona muy tranquila, con todo tipo de servicios y comodidades a su alrededor (supermercados, restaurantes, entidades bancarias, farmacias, colegios, instalaciones deportivas, centro de salud, zonas verdes.. . etc), lo que hace de la compra de la vivienda una buena oportunidad. Para más información, visítanos en nuestra web: linkcasa. es. No dejes de visitarlo.",False,good,False,True,3526.0,False,False,False,False,[],False,False,275000.0,€,flat,"Águilas, Madrid",Piso en calle Trones,Destacado,P-5047,True,True,,,,
104840271,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/50/cc/1233201903.webp,25,1,1129000.0,flat,sale,115.0,True,3,3,"calle de Don Ramón de la Cruz, 98",Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4283713,-3.6704102,True,https://www.idealista.com/inmueble/104840271/,"Ponemos en venta: Espectacular vivienda totalmente reformada, A ESTRENAR, ubicada en una preciosa finca en Calle de Don Ramón de la Cruz, en el BARRIO SALAMANCA, zona Goya. Goya es un barrio señorial del distrito de Salamanca, en Madrid. En este barrio se encuentran edificios de gran importancia, como el Palacio de los Deportes de la Comunidad de Madrid o La Real Casa de La Moneda. El barrio se encuentra limitado por la calle Don Ramón de la Cruz por el norte, la calle Príncipe de Vergara por el oeste, la calle Doctor Esquerdo por el este y la calle O'Donnell por el sur. El inmueble tiene al lado el parque de Eva Duarte y a 8 minutos caminando el Parque del Retiro. Tiene un bonito portal con portero físico, garantizando seguridad y comodidad para ti y tu familia. Con 171 metros cuadrados de espacio habitable y una distribución inteligente y elegante, esta vivienda ofrece una amplia zona de día que incluye una cocina totalmente equipada, ideal para los amantes de la cocina gourmet. Esta vivienda ha sido reformada completamente por el prestigioso equipo de Diseño & Interiorismo ARCTEMPUS, garantizando los más altos estándares de calidad y estilo en cada detalle. El luminoso exterior ofrece dos habitaciones y dos baños, brindando comodidades excepcionales para toda la familia.  Dispone de TRES DORMITORIOS, TRES CUARTOS DE BAÑO, SALÓN, COCINA EQUIPADA, TERRAZA, PLAZA DE GARAJE. La vivienda se queda AMUEBLADA.",False,good,False,True,9817.0,False,False,False,False,[],False,False,1129000.0,€,flat,"Goya, Madrid","Piso en calle de Don Ramón de la Cruz, 98",Destacado,02492,True,True,,,,
