propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108385136,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/dc/b7/1342532674.webp,19,2,185000.0,flat,sale,60.0,True,3,1,calle del Pico de Almanzor,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4012768,-3.6609788,False,https://www.idealista.com/inmueble/108385136/,"*OPORTUNIDAD EN NUMANCIA* Vivienda para reformar en la segunda planta de un edificio sin ascensor. Zona muy bien comunicada! Actualmente se distribuye en Vestíbulo, 1 Baño (con media bañera y ventana), 2 dormitorios dobles (con vistas a calle), 1 dormitorio individual (con vistas a jardín interior de manzana), Cocina (con vistas a jardín interior de manzana) y pequeña despensa. Vivienda muy luminosa y acogedora. Por su configuración, es viable el cambio de distribución según tu necesidad, por ejemplo a una vivienda de dos dormitorios con una amplia cocina (uniendo a esta un dormitorio) o ampliar la superficie del salón. La calefacción actual es eléctrica (radiadores). Ubicada junto al Centro Educativo Salesiano Ciudad de los Muchachos, Mercado, Lidl, Centro de salud Numancia, Centro de Mayores,.. . Disponibilidad inmediata!  _____________________________________________________________________________ En Xplora Inmobiliaria nos esforzamos por ofrecer a nuestros clientes los mejores Inmuebles. Ponemos a tu disposición un Equipo Profesional con amplia Experiencia y Formación Inmobiliaria, para garantizar tu plena satisfacción. 30 años vendiendo en todo el territorio Nacional.",False,renew,False,False,3083.0,False,False,False,False,[],False,False,185000.0,€,flat,"Numancia, Madrid",Piso en calle del Pico de Almanzor,Destacado,,,,,,,,
108140251,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/d8/db/1335037727.webp,29,3,269900.0,flat,sale,110.0,True,3,2,plaza de Zafiro,Madrid,Navalcarnero,Centro,es,,40.2898135,-4.0114778,False,https://www.idealista.com/inmueble/108140251/,"¡Descubre tu nuevo hogar! Este espectacular piso de 110 m² te ofrece todo lo que necesitas para disfrutar de una vida cómoda y moderna. Con 3 amplios dormitorios y 2 baños, es ideal para familias o para quienes buscan espacio y confort. Ubicado en pleno centro de Navalcarnero con todos los servicios a su alcance a pocos metros para su comodidad, este piso destaca por su luminosidad y su diseño funcional. La cocina, completamente amueblada, es perfecta para los amantes de la gastronomía, mientras que el enorme salón se convierte en el lugar ideal para relajarse o recibir visitas.  Entre sus características, encontrarás armarios empotrados que optimizan el espacio, suelos de gres y parquet que aportan calidez, y ventanas de aluminio con cristal climalit que garantizan un excelente aislamiento. Además, cuenta con calefacción de gas natural individual, lo que te permitirá disfrutar de un ambiente cálido y acogedor en los meses más fríos. El acceso es apto para personas con movilidad reducida, y el edificio dispone de ascensor, facilitando así el día a día. La terraza es el lugar perfecto para disfrutar del aire libre y relajarte después de un largo día. Este piso se presenta en buen estado y sin amueblar, lo que te brinda la oportunidad de personalizarlo a tu gusto. No dejes pasar la oportunidad de visitarlo y convertirlo en tu nuevo hogar. ¡Te esperamos!",False,good,False,True,2454.0,False,False,False,False,[],False,False,269900.0,€,flat,"Centro, Navalcarnero",Piso en plaza de Zafiro,Destacado,NAV4756,,,,,,,
108615654,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/0d/af/1350054812.webp,8,bj,200000.0,flat,sale,45.0,True,1,1,calle de la Laguna,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3861213,-3.7422329,False,https://www.idealista.com/inmueble/108615654/,"Tu nuevo hogar en el corazón creativo de Carabanchel Descubre este acogedor piso de obra nueva en planta baja, ubicado en la zona más vibrante y emergente de Carabanchel. A solo 5 minutos a pie del metro y del Palacio de Vista Alegre, disfrutarás de una ubicación privilegiada, rodeada de arte urbano, comercios locales, gastronomía alternativa y una comunidad cultural en plena efervescencia. Esta vivienda de 1 dormitorio se sitúa en la planta baja de un edificio moderno de 5 plantas con ascensor y trastero, aprovechando al máximo cada metro cuadrado. Con orientación este, tendrás una magnífica entrada de luz natural que aporta calidez y vitalidad a cada estancia. El interior combina diseño y funcionalidad con materiales de calidad: suelos cerámicos, encimeras, cocina y baños en colores neutros, perfectos para adaptarse a cualquier estilo de decoración. La cocina se entrega equipada con electrodomésticos básicos (lavadora, lavavajillas y placa de inducción) y cuenta con armarios empotrados que optimizan el espacio de almacenaje. Dispone de aire acondicionado y calefacción eléctrica para garantizar tu confort durante todo el año. Una oportunidad única para estrenar hogar en uno de los barrios con mayor proyección cultural de Madrid.",False,good,False,True,4444.0,True,False,False,False,[],False,False,200000.0,€,flat,"Vista Alegre, Madrid",Piso en calle de la Laguna,Destacado,,,,,,,,
107373097,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/11/c3/1353988985.webp,43,,275000.0,flat,sale,86.0,True,2,1,calle San Antonio,Madrid,Ciempozuelos,Casco Antiguo norte,es,,40.1617751,-3.6184578,False,https://www.idealista.com/inmueble/107373097/,"¡OPORTUNIDAD UNICA PARA INVERSORES!  Venta de 3 viviendas, sólo las tres en conjunto. (No por separado). 1. PISO DE DOS DORMITORIOS  Presentamos este magnífico piso de 86 m², cuenta con dos dormitorios, dos baños (uno completo y un aseo), y una cocina individual. Los armarios empotrados ofrecen un almacenamiento eficiente. El piso se encuentra en buen estado y está situado en la primera planta de un edificio con ascensor. La calefacción electrica garantiza confort. 2. ESTUDIO A  Se trata de un estudio de 26 m2, está en buen estado y está situado en la tercera planta de un edificio con ascensor. La calefacción electrica bomba frio/calor garantiza confort durante todo el año. Tiene terraza de 19m2. 3. ESTUDIO B  Vivienda de 22 m2, excelente estado, situado en la tercera planta de un edificio con ascensor. La calefacción es electrica. Ademas tiene trastero y una terraza para disfrutar los dias soleados.  La 3 viviendas se encuantran muy bien ubicadas, en una zona de alta demanda. Con un contrato de alquiler vigente y en rentabilidad, estos inmuebles es una inversión segura.   No pierdas la oportunidad de adquirir estos inmuebles que combina comodidad, rentabilidad y una ubicación inmejorable.  SIN COMISION AL COMPRADOR  ¡Contáctanos para más información y asegura tu inversión! [IW].",False,good,False,True,3198.0,False,False,False,False,[],False,False,275000.0,€,flat,"Casco Antiguo norte, Ciempozuelos",Piso en calle San Antonio,Destacado,PIS0498,,,,,,,
108591902,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/9b/e5/1349455119.webp,57,,550000.0,chalet,sale,390.0,,5,3,AV ROMERO,Madrid,Villalbilla,,es,,40.4425295,-3.2764533,False,https://www.idealista.com/inmueble/108591902/,"Living La Moraleja ofrece en exclusiva precioso chalet individual en venta, en la Urbanización El Robledal, en Villalbilla, a 10 minutos de Alcalá de Henares y 30 minutos de Madrid. Situada junto al campo de golf y con parada de bus en la misma puerta.  La vivienda consta de 360 metros cuadrados construidos, que se reparten en tres plantas. Cuenta con 5 habitaciones, dos salones, dos cocinas y garaje. Precioso jardín con piscina y barbacoa.  En la planta principal, encontramos el hall, salón de muy buen tamaño, cocina con despensa y dos grandes dormitorios con dos cuartos de baño completos.  La planta superior 3 habitaciones y un cuarto de baño.  En la planta sótano se encuentra otro salón con chimenea, una cocina secundaria, cuarto de herramientas, bodega, trastero.  Magnificas vistas y gran jardín que ofrece la tranquilidad y bienestar necesario para el descanso, amplios dormitorios y espaciosa terraza que junto a su fantástico jardín te hará disfrutar de una vivienda con todas las comodidades. Además de una espaciosa barbacoa para disfrutar de vuestras experiencias culinarias y reuniones familiares. Fantástico entorno, rodeado de naturaleza. En cuanto a la zona, cuenta con todos los servicios a pocos minutos, supermercados, centro social, etc.  ven a visitarlo sin compromiso, te va a encantar.",False,good,False,,1410.0,False,False,False,False,[],False,False,550000.0,€,chalet,Villalbilla,Casa independiente en Av Romero,Destacado,,True,True,independantHouse,,,,
107736584,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/71/87/b5/1321337946.webp,34,2,164900.0,flat,sale,75.0,True,2,1,calle Salamanca,Madrid,Parla,Villayuventus-Renfe,es,,40.2405007,-3.764138,False,https://www.idealista.com/inmueble/107736584/,"Demecon Asesores Inmobiliarios vende Piso TOTALMENTE REFORMADO Y AMUEBLADO en Parla. Vivienda de 75 m2. construidos, 68 m2. útiles. + Inmueble muy luminoso. + Amueblado. + Cocina amueblada y totalmente equipada con electrodomésticos. + Tendedero-lavadero. + Baño con bañera y con ducha, muy amplio. + Dos Dormitorios con armarios empotrados revestidos totalmente. + Suelos de tarima flotante. + Paredes en gotelé, excepto dormitorio principal en liso, paredes en color blanco roto y techos en blanco, pintura plástica. + Ventanas dobles de PVC blanco con mosquiteras. + Puertas de interior en nogal oscuro. + Instalación de calefacción nueva, tubería, radiadores, caldera de gas. + Aire Acondicionado en Salón y dormitorio principal. + Instalación eléctrica renovada también completamente. Este inmueble se encuentra ubicado a solo 5 minutos andando de la estación de Renfe. El barrio dispone de una amplia variedad de comercios, supermercados, colegios, Institutos, centros médicos, entidades bancarias, farmacias, restauración y textil. En Demecon Asesores Inmobiliarios realizamos valoraciones de su hogar totalmente gratuitas; gestionamos el proceso de post-venta (tanto para comprador como para el vendedor); además, les daremos toda la información que necesiten sobre hipotecas, les ayudaremos a tramitar herencias, certificados, cambios de titularidad, plusvalías, permiso de venta, etc.",True,good,False,False,2199.0,False,False,False,False,[],False,False,164900.0,€,flat,"Villayuventus-Renfe, Parla",Piso en calle Salamanca,Destacado,,,,,167500.0,2600.0,2.0,
108779232,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/94/40/1354880634.webp,47,3,210000.0,flat,sale,59.0,True,3,1,calle San Basilio,Madrid,Madrid,Usera,es,Pradolongo,40.3811674,-3.7093152,False,https://www.idealista.com/inmueble/108779232/,"¡UNA GRAN OPORTUNIDAD PARA INVERSORES O PARA CREAR TU HOGAR IDEAL! Se pone a la venta esta vivienda situada en la calle San Basilio, en una zona tranquila y bien conectada de Madrid. La propiedad dispone de 59 m² construidos y actualmente se distribuye en tres dormitorios, un baño, salón, cocina independiente y una terraza que ofrece un agradable espacio exterior. Ubicada en una tercera planta exterior, la vivienda destaca por su excelente iluminación natural, gracias a su orientación y altura. El edificio no cuenta con ascensor. El piso necesita reforma integral, lo que representa una excelente ocasión para rediseñar su distribución y adaptarla completamente al gusto del comprador. Con un precio de 230.000 €, es una opción atractiva tanto para quienes buscan su primera vivienda con posibilidades de personalización, como para inversores interesados en renovar y aumentar el valor del inmueble para alquiler o venta. La zona está rodeada de todos los servicios necesarios: supermercados, colegios, transporte público, zonas verdes, centros médicos y con fácil acceso a las principales vías de la ciudad. No dejes pasar esta excelente oportunidad de adquirir una vivienda con gran proyección en una zona con alta demanda. ¡Contáctanos y agenda tu visita!",False,renew,False,False,3559.0,False,False,False,False,[],False,False,210000.0,€,flat,"Pradolongo, Madrid",Piso en calle San Basilio,Destacado,LCM37674,,,,230000.0,20000.0,9.0,
104755203,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/9a/a9/1231884848.webp,80,,950000.0,chalet,sale,924.0,,15,14,calle Álamo Blanco,Madrid,Cubas de la Sagra,,es,,40.1925966,-3.8378493,False,https://www.idealista.com/inmueble/104755203/,"""Agencia inmobiliaria de Torrejón de la Calzada - zona Torrejón de la Calzada, Cubas de la Sagra y Torrejón de Velasco vende HOTEL RURAL/COLIVING con todas las habitaciones ocupadas en pleno rendimiento. IDEAL PARA INVERSORES. El edificio está dividido en cuatro plantas. Planta calle: consta de hall-recibidor con recepción y oficina, una sala de estar con televisión, una cocina-comedor, unos aseos de señoras y caballeros; además hay una estancia para discapacitados que se compone de dos habitaciones y un baño completo adaptado. Planta primera: encontramos 10 habitaciones de las cuales nueve son dobles con baño y la décima es una suite. Todas las habitaciones son exteriores con balcón y están dotadas de calefacción, aire acondicionado y armarios empotrados. En la segunda planta o planta bajo cubierta existe una vivienda compuesta por tres dormitorios, dos baños un salón comedor, una cocina una zona de lavandería y terraza. Por último, en el sótano se encuentra la zona de lavandería, un trastero y una sala de máquinas. En el exterior hay un gran jardín y zona de aparcamiento. IMPORTANTE: - Posibilidad de ampliar en 5 estancias/habitaciones más - La ordenanza municipal permite la construcción de otro hotel con los mismos metros de construcción - Regido por la normativa de hospedaje o cesión temporal de uso, evitando así el riesgo de impago por parte de los ""colivers"" - Este inmueble ofrece la posibilidad de invertir en un negocio en auge, en una zona en expansión, con alta rentabilidad y evitando el riesgo de impagos. Cubas de La Sagra cuenta con todos los servicios de uso diario: bancos, farmacias, supermercados, restaurantes, etc. Además está a escasos 5km del Hospital Infanta Cristina y con acceso inmediato a carreteras de largo recorrido como la a-42. También dispone de servicio de taxi y autobús interurbano. "".",False,good,False,,1028.0,False,False,False,False,[],False,False,950000.0,€,chalet,Cubas de la Sagra,Casa independiente en calle Álamo Blanco,Destacado,,True,True,independantHouse,,,,
103924079,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/fd/41/1204382903.webp,54,,576000.0,chalet,sale,196.0,,4,2,calle Zorzales,Madrid,Serracines,,es,,40.6438785,-3.4146527,False,https://www.idealista.com/inmueble/103924079/,"Espectacular casa independiente en la urbanización Jardín de Serracines. Edificada en una sola planta con las mejores calidades como cimentación, construcción y estructuras, esta vivienda de 196m² construidos sobre solar de 5.280m². Cuenta con 4 dormitorios, 2 baños, piscina privada, zona de recreo infantil, barbacoa y garaje cerrado. La casa cuenta con la siguiente distribución: Porche techado de 21m² perfecto para disfrutar del paisaje, hall recibidor, gran salón comedor de 38m² dotado de chimenea con cassette y electroventilador para distribución de calor y extracción de humos. Amplia cocina amueblada y equipada con electrodmésticos básicos. A través del pasillo podemos acceder tanto al garaje de 57m², como a los 4 dormitorios dobles. El dormitorio principal es tipo suite, dotado de baño completo con plato de ducha. Encontramos otro baño completo que también dispone de plato de ducha con mampara. En la gran parcela de 4.570m² contamos con diversos espacios bien diferenciados como la zona de recreo infantil, jardín con rosales, arbustos, árboles ornamentales y frutales dotada de riego automático. Zona de barbacoa con toldo justo al lado de la piscina de 50m², un especio excelente para disfrutar de la familia o de eventos especiales. Zona de rodado de vehículos y peatonal solada. En la parte delantera de la vivienda disponemos de un bonito jardín con césped natural y vaya ornamental en blanco. Contamos con un techado para 2 vehículos. Caseta de madera de 15m² perfecta como trastero o cuarto de aperos. Puerta cochera automática. Excelentes calidades en toda la vivienda: Paredes dobles con cámara de aire de 15cm, ladrillo exterior macizo, calefacción en toda la vivienda. ventanas de aluminio oscilobatientes con rejas, riego por goteo en toda la parcela, agua de pozo comunitario apta para regadío. Situada en una zona idílica rodeada de naturaleza y tranquilidad, pero a tan solo 15 minutos de Alcalá de Henares y Torrejón. No busque mas y venga a ver esta fabulosa vivienda o llámenos para mas información. NO COBRAMOS HONORARIOS A LA PARTE COMPRADORA.",False,good,False,,2939.0,False,False,False,False,[],False,False,576000.0,€,chalet,Serracines,Casa independiente en calle Zorzales,Destacado,0833,True,True,independantHouse,,,,
99079182,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/35/1a/1032845427.webp,43,,498000.0,chalet,sale,378.0,,4,5,Belgica,Madrid,Valdetorres de Jarama,,es,,40.699916,-3.5086919,False,https://www.idealista.com/inmueble/99079182/,"SI QUIERES VIVIR LA (buena) VIDA, QUIZÁS SEA ESTA LA CASA QUE ESTABAS BUSCANDO. Es un amplio chalet independiente con 378m² construido en 2005/06 sobre una bonita parcela de 500m², bien soleada y en ella, una magnífica piscina (en fase de remodelación) con acceso y profundidad adecuada para la seguridad de todas las edades, masaje hidráulico y baño a contra-corriente ideales. Está enclavado en una tranquila urbanización, unida al núcleo urbano de VALDETORRES DE JARAMA con todos los servicios muy cercanos. Consta el edificio de tres plantas unidas por un moderno ascensor privado de cuatro plazas, no busquéis otros chalets con ascensor en toda la zona y alrededores, no los hay. Esta fue una decisión muy meditada para una vida muy larga.  En la primera planta encontraréis tres cómodas suites, una principal amplísima, con armarios empotrados y dos ambientes, el baño incluye jacuzzi de hidromasaje y cabina de ducha, todo con grifería Hans Gröhe.  También muy amplias las otras dos suites, dotadas de grandes armarios empotrados, vestidos muy bien compartimentados y cuartos de baño independientes cada una. Existe en el pasillo un altillo para refuerzo de los armarios y ropa de temporada. Cabe resaltar la gran luminosidad de todo el edificio, en un estilo de grandes ventanales de claro sabor mediterráneo, con persianas blindadas de alta seguridad, accionamiento eléctrico y varias ventanas de escape pensadas para emergencias. A la planta baja se puede acceder por una amplia escalinata a la entrada principal, cuenta con una puerta de alta seguridad, sistema de alarma y un hall distribuidor con acceso directo al ascensor, a la izquierda, aseo de cortesía y entrada a la amplísima cocina. A la derecha, entrada al gran salón principal, con dos ambientes diferenciados, comedor, salón de estar, chimenea, amplísimos ventanales y salida directa al gran porche trasero.  Un espacio orientado al mediodía, dotado de amplia zona cubierta para el buen tiempo y grandes toldos perimetrales que amplían la superficie hasta integrarla en la zona de piscina y jardín trasero  Como de vivir bien se trata, se ha cuidado la accesibilidad y desde la entrada de la calle se puede acceder por una rampa suave a esa zona trasera, donde existe una entrada directa a la cocina y al ascensor.  Continuaremos nuestra visita y os invitamos a entrar en un lugar privilegiado. Podemos hacerlo de varias formas, entremos por el garaje, 53m², un espacio diáfano donde caben holgadamente cuatro coches. Incluye sólidas estanterías perimetrales de gran capacidad y toma trifásica de carga para vehículos eléctricos. Desde su puerta de seguridad se accede directamente a la zona del ascensor, así no pesan las bolsas de la compra.  Si lo prefieres te invitamos a entrar en Hollywood…todo el Cine a tu alcance. Un amplísimo salón, una pantalla tan grande como desees y miles de películas en DVD, la mayoría sin desprecintar, un plus gratuito, tantas horas del mejor cine, que necesitarás muchos años para disfrutarlo.  Es un salón tan agradable que tiene “casi todo”, amplios sofás, cuarto de aseo, nuestro bar privado, una zona para conservar tus mejores vinos, un amplio despacho (convertible en el cuarto dormitorio si es de necesidad) y tu ascensor privado a un click para llevarte al descanso. CALIDADES: Sólidos muros de hormigón, 3metros de altura en toda la planta semisótano y 1,50 en el perímetro de la parcela. Muros en “Termo arcilla” aislante en planta baja y superior. Potente calefacción modulable. Ventanas oscilo-batientes en aluminio lacado blanco, aislante de la máxima calidad, Climalit con rotura de puente térmico y persianas acorazadas aislantes. Instalación de alarma. Carpintería de puertas lacada en blanco. Suelos de gres, mármol y tarima. Completísima instalación eléctrica con cuadros de maniobra reforzados.  Sería inacabable este anuncio si te contara con más detalle, si crees que merece la pena conocerlo, ll.",False,good,False,,1317.0,False,False,False,False,[],False,False,498000.0,€,chalet,Valdetorres de Jarama,Casa independiente en Belgica,Destacado,0717,True,True,independantHouse,,,,
