propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108543129,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fc/72/0e/1349470708.webp,MH1117,20,1,239000.0,flat,sale,61.0,True,3,1,calle de Barcelona,Madrid,Alcobendas,Alcobendas Centro,es,40.5422967,-3.6271493,False,https://www.idealista.com/inmueble/108543129/,"MOREHOUSE Real Estate presenta en exclusiva esta excelente oportunidad de inversión o vivienda habitual: un piso actualmente alquilado hasta septiembre de 2025, lo que permite obtener una alta rentabilidad desde el primer día. Ubicado en el municipio de Alcobendas, una de las zonas más consolidadas y demandadas del norte de Madrid, el inmueble cuenta con 61 m² construidos distribuidos en tres dormitorios, un baño completo, un salón luminoso, una cocina independiente y terraza. Ubicación privilegiada y excelente conectividad: * A pocos minutos de la estación de Cercanías RENFE (línea C4), que conecta con el centro de Madrid en menos de 25 minutos. * Varias líneas de autobuses urbanos e interurbanos que comunican con Plaza de Castilla y otros puntos clave. * Cercanía a varias estaciones de Metro (línea 10), lo que facilita el acceso a toda la red de transporte de Madrid. * Acceso rápido a las principales vías como la A-1 y M-607. Alcobendas también destaca por su amplia oferta de servicios, zonas verdes, centros educativos, centros médicos, comercios, y su cercanía a centros empresariales y parques tecnológicos, lo que la convierte en una ubicación estratégica tanto para vivir como para invertir. Por petición de algunos clientes, no publicamos parte de nuestros inmuebles en portales inmobiliarios; si están interesados pueden ver toda nuestras viviendas, en nuestra página web También tenemos oportunidades de inversión off-market. En MOREHOUSE Real Estate estamos especializados en comprar, vender y alquilar pisos en todo Madrid. Para cualquier gestión, no dude en contactar con nosotros.",True,good,False,False,3918.0,False,False,False,False,[],False,False,239000.0,€,flat,"Alcobendas Centro, Alcobendas",Piso en calle de Barcelona,Destacado,,,,,,,,
108665913,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/d4/98/1352026659.webp,MLH-346,5,6,1550000.0,flat,sale,125.0,True,3,3,calle de Padilla,Madrid,Madrid,Barrio de Salamanca,es,40.4318273,-3.6752195,False,https://www.idealista.com/inmueble/108665913/,"**Piso en Venta en el Barrio de Salamanca - Elegancia y Comodidad** Descubre este impresionante piso reformado de 125 m² situado en la sexta planta. Este hogar es una perfecta fusión de elegancia clásica y comodidades modernas, ideal para quienes buscan un espacio único y acogedor. Con orientación sur destacando la luz natural, el amplio salón comedor se divide en dos ambientes perfectos para disfrutar de momentos en familia o recibir amigos. La cocina de diseño semi integrada está completamente equipada y lista para inspirar al chef que llevas dentro. Además, cuenta con un práctico aseo para visitas y una zona de lavandería independiente que añade funcionalidad al día a día.  Los dos dormitorios son espaciosos, siendo la habitación principal un verdadero refugio con baño en suite y vestidor, mientras que la segunda habitación también ofrece su propio baño en suite, garantizando privacidad y confort. Además destacar una tercera habitación muy funcional, pudiendo usarse como family room, despacho, habitación. El piso orientado al sur es el lugar perfecto para relajarse y disfrutar de la luz natural. La calefacción central y el aire acondicionado aseguran un ambiente agradable durante todo el año. Este piso está rodeado de una variada oferta de restaurantes y tiendas, lo que lo convierte en una opción ideal para disfrutar de la vida urbana sin renunciar a la tranquilidad. Con portero y ascensor disponibles, este inmueble no solo ofrece seguridad, sino también comodidad en una de las zonas más lujosas de Europa. No pierdas la oportunidad de vivir en un lugar que combina historia, estilo y modernidad. ¡Ven a visitarlo y déjate enamorar!",False,good,False,True,12400.0,True,False,False,False,[],False,False,1550000.0,€,flat,"Lista, Madrid",Piso en calle de Padilla,Destacado,Lista,,,,,,,
108927935,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/60/c4/67/1359207075.webp,597-JC,28,4,318990.0,flat,sale,118.0,True,3,2,calle Jaime I el Conquistador,Madrid,Parla,Reyes,es,40.2348515,-3.7648868,False,https://www.idealista.com/inmueble/108927935/,"INMOBILIARIA JC TAMAYO, pone a la venta estupendo piso en zona REYES de PARLA! La vivienda cuenta con unos 118m2 aprox. construidos, y 108 útiles, los cuales se distribuyen de la siguiente manera: entrada a un amplio salón, con suficiente espacio para comedor y con salida a una gran de terraza acristalada; tres habitaciones, todas amplias y con armarios empotrados; dos baños completos, uno con plato de ducha y otro con bañera; y cocina amueblada. CUENTA CON DOS TRASTEROS, uno de unos 7m2 y otro de unos 4m2.  Y además goza de PLAZA DE GARAJE ** incluida en el precio de venta** CALIDADES: armarios empotrados en todos los cuartos, calefacción eléctrica, aire acondicionado, suelos de gres, ventanas de aluminio correderas, ASCENSOR, puertas de madera y paredes con gotelé. El piso se encuentra muy bien localizado, en una de las mejores zonas de Parla, cerca de mercados, centros educativos, centro de la salud, farmacias.. . Para cualquier consulta o duda contáctanos y te ayudamos!",True,good,False,True,2703.0,False,False,False,False,[],False,False,318990.0,€,flat,"Reyes, Parla",Piso en calle Jaime I el Conquistador,Destacado,,True,True,,,,,
106616569,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/88/d4/1288837684.webp,522-JC,21,4,169990.0,flat,sale,100.0,True,3,1,calle de Ciudad Real,Madrid,Parla,Villayuventus-Renfe,es,40.2415827,-3.7678215,False,https://www.idealista.com/inmueble/106616569/,"INMOBILIARIA JC TAMAYO, vende estupendo piso en Parla! La vivienda de 100m2 aprox. se distribuye amplia entrada que lleva hacia un grande y luminoso salón independiente con salida a una terraza, tres habitaciones (una de ellas cuenta con armario empotrado y aire acondicionado), una estupenda cocina amueblada con el suficiente espacio para obtener una comodidad perfecta y un baño completo con plato de ducha.  Todo el piso cuenta con suelos de tarima, aire acondicionado, ventanas de aluminio correderas y puertas de madera.  ¡LA VIVIENDA SE ENCUENTRA ALQUILADA!  Para cualquier consulta o duda ponte en contacto con nosotros y te ayudamos!",True,good,False,False,1700.0,False,False,False,False,[],False,False,169990.0,€,flat,"Villayuventus-Renfe, Parla",Piso en calle de Ciudad Real,Destacado,,,,,,,,
108707597,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/38/70/1364572679.webp,RP2372025139825,16,1,187500.0,flat,sale,51.0,False,2,1,Barrio Los Rosales,Madrid,Madrid,Villaverde,es,40.3523809,-3.6908589,False,https://www.idealista.com/inmueble/108707597/,"REDPISO VILLAVERDE BAJO - SAN CRISTOBAL inscrito en el RAIN Nº 000517/20.  Tu futuro empieza en este piso situado en una 1º planta y con 50M2 donde podrás crear momentos a recordar.  -2 Dormitorios -Salón  -Cocina  -Baño 3 piezas con plato de ducha y ventana -Ventanas climalit estilo oscilobatientes -Suelos de tarima -A/A en el salón  Se encuentra ubicado en una zona excepcional y cerca del metro, rodeado de todas las comodidades.  El distrito de Villaverde limita al oeste con el término municipal de Leganés, al sur con el de Getafe, al este con el distrito de Villa de Vallecas a través del límite del río Manzanares, y al norte con el distrito de Usera, separándose de este a través de la autovía de circunvalación de Madrid M-40. La avenida de Andalucía es la comunicación más directa con el centro de Madrid y con las autopistas de circunvalación M-30, M-40 y M-45. También cerca una salida a la M-40. La estación de referencia es Villaverde Bajo, en el este del barrio. Por ella pasan las líneas C-3 y C-4 con frecuencias en días laborables de unos 6 minutos. Unen el barrio con los municipios del sur de la CAM y con el centro de Madrid (Sol, Atocha-Cercanías,... ) además de con San Sebastián de los Reyes, Alcobendas, Tres Cantos y Colmenar Viejo. La estación de referencia en cuanto al metro es Villaverde Bajo Cruce, en la línea 3. Conecta todo el distrito de Villaverde con el centro y el eje Callao-Plaza España-Moncloa, además de unir el barrio con su hospital de referencia, el Hospital 12 de Octubre. En cuanto a autobuses, se encuentra el intercambiador de superficie de Villaverde Bajo, que está situado en la zona de ""El Cruce"" (intersección de la carretera de Villaverde a Vallecas), con ocho dársenas que se comunican mediante ascensores con la estación de Metro de la línea 3.  *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría - Gestoría / Registro / Intermediación inmobiliaria y / o Financiera). *.",False,good,False,False,3676.0,True,False,False,False,[],False,False,187500.0,€,flat,"Los Rosales, Madrid",Piso,Destacado,Los Rosales,,,,,,,
107991500,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/38/06/1362069907.webp,TUEST0002,28,2,239000.0,studio,sale,40.0,False,0,1,calle de Clara del Rey,Madrid,Madrid,Chamartín,es,40.4432443,-3.6710745,False,https://www.idealista.com/inmueble/107991500/,"Estudio reformado en Chamartín Se vende estudio interior de 40 construidos y 26 metros utiles, el inmueble se encuentra totalmente reformado, y esta ubicado en una segunda planta de una finca representativa en el distrito de Chamartín, Madrid. La vivienda no cuenta con habitaciones independientes, lo que permite aprovechar al máximo el espacio disponible y ofrece una distribución abierta y moderna. Dispone de una cocina americana, muy funcional y bien integrada en el ambiente. Los datos a destacar de la cocina, seria que la misma cuenta con el espacio ideal para los electrodomesticos tales como la nevera y el horno. En el caso de la lavadora tambien cuenta con espacio mas que suficiente en el baño debido al tamaño del mismo. Este inmueble no dispone de calefacción tal como radiadores o aire acondicionado. Al ser interior, es una vivienda tranquila, ideal para quienes buscan descanso sin ruidos del exterior. La finca en la que se encuentra destaca por su entrada señorial, lo que le aporta un toque de distinción.  Además, cuenta con portero físico las 24 horas los 365 dias del año. El edificio dipone de 6 ascensores y 4 montacargas pero el mismo en si carece de gas natural. La comunidad de propietarios se pasa al trimestre y el importe es de 183€  En lo que corresponde a la zona donde se encuentra este inmueble es una zona muy bien comunicada, con todos los servicios al alcance, tales como autobuses de la linea 72 en la misma puerta y a unos 100 metros de disitancia te encontraras con el metro cartagena y si prefieres mas lineas de metro para mejorar tu desplazamiento por madrid a menos de 10 minutos desde el inmueble encontraras el intercamniador de Avenida de America. Es Ideal como inversión o primera vivienda en una de las zonas más demandadas de la capital. No dejes escapar esta oportunidad. [IW].",False,good,False,True,5975.0,False,False,False,False,[],False,False,239000.0,€,flat,"Prosperidad, Madrid",Estudio en calle de Clara del Rey,Destacado,Prosperidad,,,studio,,,,
108906491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/e5/13/1358680591.webp,OM138 - SORAYA,25,1,1080000.0,flat,sale,106.0,True,2,1,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,40.4294206,-3.6764666,False,https://www.idealista.com/inmueble/108906491/,"Os presentamos una vivienda exclusiva, consta de 107m², en una 3aª planta. Con grandes ventanales, totalmente equipado, una ubicación excelente, con TRASTERO y una preciosa TERRAZA EXTERIOR. Se distribuye en un amplio hall recibidor con armarios empotrados, un gran salón con comedor, un baño, una cocina con electrodomésticos. Tiene 2 dormitorios con terraza y 1 baños completos. Todos los dormitorios tienen armarios. Una gran oportunidad, con todos los servicios en la puerta. Listo para entrar a vivir. La fachada del edificio está muy cuidada. El portal tiene ascensor y está reformado y tiene (elevador para personas con movilidad reducida). La calefacción es CENTRAL y cuenta con aire acondicionado. Comunidad: 90€ /mes (incluye portero). Ubicación inmejorable. Próximo a PLAZA DE MARQUÉS DE SALAMANCA. Esta propiedad actualmente esta alquilada, por el momento no se puede visitar. Es una casa preciosa y decorada con mucho gusto. Sin duda, es una oportunidad para vivir y disfrutar en un barrio residencial, familiar y muy tranquilo cerca del centro de Madrid. Disponemos de las llaves de la propiedad. Puedes ponerte en contacto para consultar la disponibilidad de las visitas. Negociación flexible y con la propiedad. Utande Real Estate es una sociedad de inversión inmobiliaria nacional e internacional. Colaboramos con más de 1.500 agencias inmobiliarias en todo el mundo. Te asesoramos jurídicamente y te ofrecemos la mayor rentabilidad financiero-fiscal. Este anuncio es solo orientativo y no está sujeto a ningún compromiso establecido. Te ayudamos a conseguir tu HIPOTECA hasta un 100% de la financiación. Te ayudamos a REFORMAR tu vivienda y te enviamos presupuesto en 48h. Atendemos también vía WhatsApp.",False,good,False,True,10189.0,False,False,False,False,[],False,False,1080000.0,€,flat,"Lista, Madrid",Piso en calle del General Pardiñas,Destacado,Lista,,,,,,,
108518567,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/d4/a4/1353972046.webp,,21,,2400000.0,chalet,sale,290.0,,4,4,Calleja Majalahita,Madrid,Miraflores de la Sierra,,es,40.7647262,-3.7608856,False,https://www.idealista.com/inmueble/108518567/,"Espectacular finca de recreo para caballos a 30 minutos de Madrid y a 5 minutos de Soto de Real En Sky Real Estate te presentamos una joya irrepetible para los amantes de la naturaleza, el confort y el mundo ecuestre. Esta espectacular finca de caballos se sitúa en un enclave privilegiado, a solo 2 km de Soto del Real, con acceso privado y rodeada de paisaje protegido. Aquí, cada rincón respira bienestar, cuidado y dedicación. La finca incluye una casa independiente de 290 m², perfectamente distribuida en una sola planta. Cuenta con 4 habitaciones amplias, dos de ellas en suite, 4 baños completos, salón comedor luminoso, cocina con office, cuarto de lavandería y garaje. Todo ello rodeado de un jardín, piscina privada y zonas verdes donde la tranquilidad es absoluta. Dispone de agua corriente, pozo propio, luz, ADSL y todos los servicios activos, lista para entrar a vivir sin preocuparse por nada. Centro ecuestre profesional con todas las instalaciones para alto rendimiento: pista exterior iluminada de 35x70, y pista cubierta 20x40 (ambas iluminadas y con riego) La finca, totalmente vallada de piedra, está orientada al uso profesional y recreativo del caballo, con instalaciones en perfecto estado: Club social con chimenea y gran ventanal a la pista cubierta 18 boxes, funcionales y espaciosos, 2 guardaneses con ducha y espacios para preparar caballos. Andador cubierto techado y 10 paddocks individuales Pajar de 6 metros de altura, cuarto de herramientas Finca arbolada con un fresnedal centenario, arroyo natural y un encantador puente de madera Microclima natural que proporciona 60% de sombra, ideal para la salud y el bienestar equino Ideal para amantes del caballo, la paz y la naturaleza Esta finca no es solo una propiedad: es un estilo de vida. Es perfecta para quien busca un espacio donde la calidad de vida, la naturaleza y la equitación se integran de forma armoniosa. En Sky Real Estate seleccionamos activos únicos como este, donde la excelencia no es una promesa, sino una realidad. Ven a descubrir una finca ecológica, eficiente, viva y acogedora, lista para continuar su historia con alguien que la valore y la disfrute como merece.",True,good,False,,8276.0,False,False,True,False,[],False,False,2400000.0,€,chalet,Miraflores de la Sierra,Casa independiente en Calleja Majalahita,Destacado,,True,True,independantHouse,,,,
108944072,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/87/fa/1359691564.webp,,52,,690000.0,chalet,sale,255.0,,3,3,calle de Contreras,Madrid,Mejorada del Campo,,es,40.3789561,-3.4974111,False,https://www.idealista.com/inmueble/108944072/,"Presentamos esta espectacular propiedad independiente en Mejorada del Campo, completamente reformada con excelentes calidades, sobre una impresionante parcela de 700 m². Con 255 m² construidos distribuidos en dos plantas, esta casa combina elegancia, funcionalidad y confort en un entorno natural privilegiado. En la planta principal, encontramos un amplio y luminoso salón comedor, ideal para reuniones familiares o sociales, y una cocina totalmente equipada con acceso directo al jardín, lo que permite disfrutar de una conexión fluida entre el interior y el exterior de la vivienda. La planta superior alberga tres generosos dormitorios, uno de ellos principal, todos con buena luz natural y excelente distribución. Un baño completo con bañera de hidromasaje da servicio a esta planta. El jardín, de 700 m², es una auténtica joya: con césped perfectamente cuidado, piscina y sistema de riego autosuficiente gracias a un pozo privado. Al fondo de la parcela se encuentra una construcción auxiliar de aproximadamente 55 m² que incluye un salón, un aseo y dos zonas de almacenamiento, ofreciendo múltiples posibilidades de uso como oficina, casa de invitados o zona de ocio independiente. Una propiedad lista para entrar a vivir, ideal para quienes buscan amplitud, privacidad y una alta calidad de vida a tan solo unos minutos de Madrid gracias a su cercanía con la R-3.  Mejorada del Campo es una localidad tranquila y bien comunicada, situada a tan solo 20 minutos del centro de Madrid. Ofrece un entorno residencial ideal para familias, con todos los servicios a mano: colegios, supermercados, centros deportivos, zonas verdes y una excelente oferta de ocio y restauración. Destaca por su ambiente acogedor, su cercanía al Parque Regional del Sureste y sus buenas conexiones tanto por carretera (A-3, M-45, M-50) como en transporte público. Una zona que combina la comodidad de vivir cerca de la capital con la tranquilidad de un entorno natural.",False,good,False,,2706.0,False,False,False,False,[],False,False,690000.0,€,chalet,Mejorada del Campo,Chalet pareado en calle de Contreras,Destacado,,True,True,semidetachedHouse,,,,
105346321,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/b0/1f/1249341611.webp,1512,33,,1650000.0,chalet,sale,886.0,,6,5,Fuente del Fresno,Madrid,Fuente del Fresno,,es,40.5856203,-3.5947091,False,https://www.idealista.com/inmueble/105346321/,"Factor Norte servicios inmobiliarios ofrece en venta esta exclusiva y magnífica vivienda independiente en la prestigiosa urbanización Fuente del Fresno, una lujosa urbanización en la zona norte de Madrid. Esta vivienda dispone de 886 m2 edificados y distribuidos sobre una parcela de 2.124 m2 y se sitúa en un enclave excepcional dentro de la urbanización. La vivienda se ubica en la zona alta de la parcela, con vistas a todo el magnífico jardín y zona de piscina. Se trata de una vivienda muy cómoda en su uso, con una planta principal donde se ubican las estancias principales de la vivienda y una planta baja destinada zona de estar y cocina. La vivienda disfruta de unas vistas espectaculares que integran su magnífico jardín con la vivienda gracias a sus grandes ventanales y la gran luz natural de la que dispone. La entrada a la vivienda dispone de un acceso exclusivo de vehículos que da acceso a la zona de garaje en planta sótano, con amplia capacidad de 6 vehículos. La vivienda principal se distribuye en dos plantas habitables: En la planta principal, entrando al chalet nos recibe un gran hall que da acceso una zona de estar y distribución. Desde esta zona accedemos al amplio salón y sala de estar con vistas a la piscina y excepcional jardín. También se accede desde el hall a la escalera de acceso a la zona de dormitorios. Cuenta con un gran salón con una amplia zona de estar, y una zona de comedor. La zona de dormitorios se distribuye con acceso desde el hall de entrada. Con acceso desde el hall principal también nos encontramos una cocina con zona de office, totalmente amueblada con magníficos muebles de cocina y acceso directo al comedor.  La vivienda cuenta con 6 dormitorios y 5 cuartos de baño y aire acondicionado en la vivienda, así como calefacción por suelo radiante. Se completa con una zona de trastero y almacén, y zonas multiusos. En la zona de jardín cuenta con diferentes ambientes, la zona de piscina con un magnifico porche anexo con una zona magnífica de barbacoa. Cuenta, además, con una pista de tenis. La vivienda dispone de un perfecto diseño de iluminación en toda la vivienda y un diseño de iluminación exterior y de diseño del jardín, con grandes espacios y agradable vegetación, con arbolado consolidado. La propiedad se encuentra dentro de la urbanización Fuente del Fresno, zona norte de Madrid, con una cómoda salida a la autovía A-1 y a la vez muy tranquila; con unas zonas zonas comunes deportivas y parque infantil, así como de seguridad 24 horas y control de acceso, y próxima a colegios.",False,good,False,,1862.0,False,False,False,False,[],False,False,1650000.0,€,chalet,Fuente del Fresno,Casa independiente,Destacado,,True,True,independantHouse,,,,
