propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
109181023,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/0f/8a/1366674580.webp,A-187,6,3,590000.0,flat,sale,48.0,False,1,1,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.425663,-3.6778933,False,https://www.idealista.com/inmueble/109181023/,"Se vente bonito apartamento totalmente reformado, todo exterior a patio de manzana, muy luminoso y con buena orientación, cocina independiente, amueblada y equipada con electrodomésticos, salón muy soleado con orientación sur, dormitorio amplio con armarios y cuarto de baño en suite con ventana, calefacción individual de gas natural y aire acondicionado por conductos, con acabados de altas calidades, el apartamento ubicado en una finca clásica y señorial, próximo al Corte Ingles de la calle Goya, a la calle Alcalá y a pocos minutos del Parque del Retiro.",False,good,False,True,12292.0,False,False,False,False,[],False,False,590000.0,€,flat,"Goya, Madrid",Piso,Destacado,,,,,,
109004213,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/69/6f/1361431028.webp,RP802025140785,32,3,419000.0,flat,sale,71.0,True,2,1,calle de la Ribera del Manzanares,Madrid,Madrid,Moncloa,es,Casa de Campo,40.4241064,-3.726841,False,https://www.idealista.com/inmueble/109004213/,"REDPISO PASEO DE LA FLORIDA VENDE EN EXCLUSIVA: ¡Increíble vivienda con doble orientación y vistas panorámicas a Casa de Campo, el Palacio Real y la Catedral de la Almudena! Situada en una tercera planta sin ascensor, esta propiedad ya cuenta con proyecto de obra aprobado para su instalación, lo que supone un gran valor añadido. Ubicada a tan solo 5 minutos a pie de Príncipe Pío y con acceso directo a la M30, su localización es estratégica, ideal para quienes desean vivir en el centro con excelente conexión y entorno privilegiado. La vivienda, de 72 m², ha sido totalmente reformada con las mejores calidades y está lista para entrar a vivir. Cada detalle ha sido cuidado para ofrecer un hogar moderno, confortable y funcional. Cuenta con dos amplias habitaciones dobles, un baño completo con plato de ducha, y una cocina funcional y luminosa, equipada con todo lo necesario para el día a día. Pero sin duda, el gran protagonista de este piso es su espectacular terraza. Un espacio al aire libre donde podrás relajarte, cenar o simplemente contemplar unas vistas totalmente despejadas —un privilegio poco común en Madrid—. Desde aquí disfrutarás de una panorámica única que incluye la Casa de Campo, el imponente Palacio Real y la majestuosa Catedral de Santa María la Real de la Almudena, sin ningún edificio que obstruya la vista. Un piso lleno de luz, amplitud y comodidades, ideal para quienes buscan un hogar listo para disfrutar en una de las zonas más emblemáticas de Madrid. ¡No dejes pasar esta oportunidad única! Contacta con nosotros y ven a visitarlo.",False,good,False,False,5901.0,False,False,False,False,[],False,False,419000.0,€,flat,"Casa de Campo, Madrid",Piso en calle de la Ribera del Manzanares,Destacado,,,,,,
109111101,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/7d/81/1364665654.webp,RP292025141122,35,3,295000.0,flat,sale,79.0,True,3,1,calle de Etruria,Madrid,Madrid,San Blas,es,Canillejas,40.4353162,-3.6107358,False,https://www.idealista.com/inmueble/109111101/,"INMOBILIARIA REDPISO CANILLEJAS VENDE EN EXCLUSIVA excelente vivienda en perfecto estado para entrar a vivir en la calle Etruria situada en una tercera planta sin ascensor. La vivienda se distribuye en tres dormitorios, cocina equipada con electrodomésticos, salón independiente, dos terrazas y un baño. Tiene suelo de gres, calefacción central, agua caliente por termo eléctrico, aire acondicionado con bomba de frío y calor y doble ventana en toda la vivienda. Dispone de parking comunitario con aparcamiento rotativo entre los vecinos. La vivienda se entregaría amueblada. Su ubicación es ideal porque cuenta con todos los servicios necesarios para el día a día, tales como centro de Salud, biblioteca municipal, comercios de todo tipo, instalaciones deportivas, zonas de ocio y de recreación infantil, guarderías, supermercados, farmacias y una excelente red de transporte público. A pocos minutos andando del metro Las Musas, el Estadio Wanda Metropolitano y varias líneas de autobuses que conectan este sector con otros puntos de la ciudad. Si desea visitar la vivienda no dude en llamarnos.",False,good,False,False,3734.0,False,False,False,False,[],False,False,295000.0,€,flat,"Canillejas, Madrid",Piso en calle de Etruria,Destacado,,,,,,
108665279,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/f3/ce/1351536654.webp,LCM37551,36,-1,245000.0,flat,sale,62.0,False,1,1,paseo de Santa María de la Cabeza,Madrid,Madrid,Arganzuela,es,Palos de la Frontera,40.4021849,-3.6952459,False,https://www.idealista.com/inmueble/108665279/,"La Casa Agency, piso bajo ubicado en el demandado barrio de Palos de la Frontera, una de las zonas más tranquilas y con mejor comunicación del centro de Madrid. La vivienda, situada en la planta baja de una finca en buen estado, cuenta con una distribución funcional que aprovecha al máximo cada metro cuadrado. Al entrar, nos encontramos con un salón que ofrece un ambiente cálido y confortable, ideal para el descanso o la vida diaria. Cocina independiente con acceso directo a un patio interior de uso y disfrute, perfecto como espacio de desahogo, para tender la ropa o incluso crear una zona chill-out con plantas y mobiliario exterior. Este patio aporta un valor añadido a la vivienda, ofreciendo un espacio al aire libre difícil de encontrar en pisos de esta tipología. Aprobado en junta la reforma y arreglo de las humedades de la vivienda por parte de la comunidad. El inmueble dispone de un dormitorio amplio, con espacio para cama doble y almacenamiento, lo que garantiza una estancia cómoda y tranquila. Ubicado en una calle tranquila, pero a escasos minutos de todo tipo de servicios -supermercados, comercios, farmacias, colegios y centros de salud- y muy bien comunicado por transporte público: a pocos pasos de la estación de metro Palos de la Frontera (Línea 3) y con varias líneas de autobús cercanas. Además, se encuentra a un corto paseo de la estación de Atocha, el Paseo del Prado y Madrid Río. ¡Contáctanos hoy mismo para programar una visita y descubre todo lo que tiene para ofrecer! LA CASA.",False,good,False,True,3952.0,False,False,False,False,[],False,False,245000.0,€,flat,"Palos de la Frontera, Madrid",Piso en paseo de Santa María de la Cabeza,Destacado,,,,,,
109046750,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/de/92/1362604569.webp,,17,4,375000.0,flat,sale,91.0,True,2,1,paseo de los Jesuitas,Madrid,Madrid,Latina,es,Puerta del Ángel,40.4063989,-3.7374676,False,https://www.idealista.com/inmueble/109046750/,"EMPRESA DE INTERMEDIACIÓN FINANCIERA BUSCA LA MEJOR HIPOTECA AL CLIENTE Y OFRECE HASTA EL 100% DE FINANCIACIÓN SOBRE EL PRECIO DE VENTA DEL INMUEBLE. Descubre este espectacular piso totalmente reformado en una de las zonas más tranquilas de Madrid. Con una superficie construida de 91 m² y una útil de 85 m², este hogar ofrece un espacio perfecto para disfrutar de la vida en la ciudad. Las terrazas de aproximadamente 5 m² es ideal para esos momentos de relax al aire libre, mientras que el Salón-comedor moderno con iluminación ambiental, aire acondicionado y salida directa a la terraza, con su suelo laminado tipo madera, aporta calidez y elegancia, perfecto para relajarse o recibir visitas. La cocina, equipada y amueblada con armarios de gran capacidad en melamina, es el sueño de cualquier amante de la gastronomía. Los electrodomésticos de alta gama aseguran que cada comida sea un placer. Además, el baño amplio, añade un toque de lujo a tu rutina diaria. Este piso cuenta con dos dormitorios amplios y luminosos, perfectos para descansar. Los armarios empotrados optimizan el espacio y ofrecen un almacenamiento eficiente. La excelente iluminación y ventilación natural, gracias a su orientación este-oeste, hacen que cada rincón sea acogedor. Con calefacción de gas natural, estarás cómodo durante todo el año. La ubicación es inmejorable, con varias líneas de transporte público cercanas, incluyendo autobuses y metro (línea 6 en Alto de Extremadura), facilitando tus desplazamientos por la ciudad. No pierdas la oportunidad de vivir en este maravilloso piso que combina confort, estilo y una ubicación estratégica. ¡Agenda tu visita hoy mismo!",False,good,False,False,4121.0,False,False,False,False,[],False,False,375000.0,€,flat,"Puerta del Ángel, Madrid",Piso en paseo de los Jesuitas,Destacado,True,True,,,,
109181061,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/3b/7f/1366674534.webp,A-188,6,4,595000.0,flat,sale,46.0,False,1,1,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4209916,-3.6825015,False,https://www.idealista.com/inmueble/109181061/,"Vendemos este magnifico Apartamento con reforma a estrenar, con estupendas calidades, el apartamento se distribuye en una cocina independiente y equipada con un ventanal que le proporciona mucha luminosidad, el salón igualmente muy soleado dada su orientación sur, el dormitorio con un bonito vestidor y cuarto de baño, con calefacción individual de gas natural y aire acondicionado por conductos, todo el apartamento da a un amplio y luminoso patio de manzana, ubicado en una finca clásica con portero, junto a la calle de Príncipe de Vergara y próximo al Parque del Retiro.",False,good,False,True,12935.0,False,False,False,False,[],False,False,595000.0,€,flat,"Recoletos, Madrid",Piso,Destacado,,,,,,
109025050,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/a7/16/1362021334.webp,RP1242025140864,20,bj,385000.0,flat,sale,65.0,True,2,1,calle del Maestro Alonso,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4300929,-3.6655383,False,https://www.idealista.com/inmueble/109025050/,"Redpiso Fuente del Berro ofrece: Magnifico piso exterior, totalmente reformado a un paso de la Plaza de Toros en la zona de ventas y la calle Alcalá, ideal para inversores o como primera vivienda. Distribuido en 65 metros cuadrados con techos altos, amplio salón con cocina americana completamente equipada, comedor, 2 dormitorios y 1 baño. Suelos de tarima flotante, ventanas climalit y aire acondicionado de bomba fría y caliente. Se encuentra ubicado en una zona que cuenta con todos los servicios necesarios, amplia variedad de colegios, zonas verdes (Parque de Fuente del Berro), ocio, restauración y todo tipo de comercio especializado. Muy bien comunicado por metro y autobús, fácil y rápida incorporación a la M-30. En Redpiso disponemos de financiera propia Dcredit, con asesoramientos gratuitos. Consúltenos sin compromiso.",False,good,False,False,5923.0,False,False,False,False,[],False,False,385000.0,€,flat,"Fuente del Berro, Madrid",Piso en calle del Maestro Alonso,Destacado,,,,,,
108700124,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/00/4a/1352537202.webp,,29,,535000.0,chalet,sale,231.0,,6,4,calle Antonio Palacios,Madrid,Alcalá de Henares,La Garena,es,,40.4870594,-3.3951834,False,https://www.idealista.com/inmueble/108700124/,"TECNOCASA DE LA GARENA - EL OLIVAR - CAMARMA DE ESTERUELAS Vende chalet adosado reformado de cuatro plantas en La Garena, Alcalá de Henares. Este impresionante chalet adosado dispone de radiadores de aluminio en todas las estancias, suelos cerámicos con efecto madera, doble ventana climalit, lo que garantiza un excelente aislamiento térmico y acústico y 10 placas solares, contribuyendo al ahorro energético.  Se encuentra ubicado en La GARENA, barrio tranquilo y residencial. Es una zona muy cómoda, próxima al centro y con todos los servicios a su alcance, como Colegios, Institutos, Supermercados tales como Mercadona, Centro Comercial La Garena Plaza, Autobús y cercanías Renfe a menos de 5 minutos andando, cerca del Hospital Príncipe de Asturias, Piscina y Polideportivos Municipales. Acceso directo a la A-2 a solo 1 minuto.  El inmueble se sitúa sobre una parcela plana de 154 m² y cuenta con una superficie construida de 231 m² distribuidos en cuatro plantas: En la planta baja, se despliega un encantador patio delantero que invita a la serenidad, adornado con un pozo y un cómodo asiento, creando una zona de descanso íntima y apacible. Este espacio ofrece además acceso directo al garaje subterráneo. Da paso a una entrada cerrada, cocina comedor muy amplio y luminoso con bomba de frío/calor y un aseo con ventana. El salón con chimenea y aire acondicionado, además de espacioso, tiene acceso directo a un porche acristalado con calefacción eléctrica que permite disfrutar del exterior en cualquier época del año. Como anejo, encontramos un patio de 40m con pérgola. En la primera planta, dos dormitorios individuales con armarios empotrados de gran capacidad de almacenamiento, un baño completo con bañera y un dormitorio principal con vestidor y baño completo en suite con plato de ducha. Los tres dormitorios disponen de aire acondicionado. En la segunda planta, encontramos dos dormitorios adicionales con armarios empotrados y bomba de frío/calor, un baño completo con ducha y una amplia terraza con vistas despejadas. Finalmente, en el nivel subterráneo, se dispone de un amplio aparcamiento con capacidad para dos vehículos, accesible mediante una puerta automática y con cargador para coche eléctrico. Este espacio está complementado con armarios empotrados, un trastero y un cuarto adicional que ofrece múltiples posibilidades de uso, permitiendo adaptarlo a diversas necesidades. Este chalet es ideal para disfrutar de la comodidad y la funcionalidad, tanto dentro como fuera de la vivienda, ofreciendo amplios espacios y una distribución perfecta para toda la familia. NO LO DUDE Y VENGA A VISITARLO SIN COMPROMISO. Y RECUERDE QUE PODEMOS CONSEGUIR HASTA EL 100% DE FINANCIACIÓN CON NUESTRO DEPARTAMENTO DE INTERMEDIACIÓN FINANCIERA KIRON CON LAS MEJORES CONDICIONES DEL MERCADO.",False,good,False,,2316.0,False,False,False,False,[],False,False,535000.0,€,chalet,"La Garena, Alcalá de Henares",Chalet adosado en calle Antonio Palacios,Destacado,True,True,terracedHouse,,,
98669434,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/d3/37/1351919499.webp,,18,1,398000.0,flat,sale,115.0,True,3,2,calle José María Pereda,Madrid,Alcalá de Henares,Ensanche,es,,40.4959166,-3.3620314,False,https://www.idealista.com/inmueble/98669434/,"Inmobiliaria Cervantes Queremos ser tu opción preferente. Venta de piso en Alcalá de Henares en una de las zonas mas demandadas por los compradores. Muy luminoso y excelente ubicación. Distribución de la vivienda: hall y cocina integrados en el salón, tendedero, salón-comedor con balcón, tres dormitorios y dos baños. Excelente estado, reforma reciente. Características de la vivienda - Calefacción individual por gas - Aire acondicionado. - Toldos  Características de la Finca. - Jardín comunitario - Ascensor  Trastero y Plaza de garaje incluidos en el precio. Zona tranquila con todos los servicios.",False,good,False,True,3461.0,False,False,False,False,[],False,False,398000.0,€,flat,"Ensanche, Alcalá de Henares",Piso en calle José María Pereda,Destacado,True,True,,,,
109201857,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/56/f0/1367327972.webp,,2,4,650000.0,flat,sale,60.0,False,1,1,calle de Sagasta,Madrid,Madrid,Chamberí,es,Trafalgar,40.4276692,-3.7025144,False,https://www.idealista.com/inmueble/109201857/,"¡Descubre esta exclusiva vivienda a estrenar en el corazón del barrio de Justicia! Situada en una elegante finca señorial de 1910, esta propiedad en la 5ª planta destaca por su luminosidad y encanto.  Con una superficie de 55 m², cuenta con un acogedor salón-comedor que se integra con una moderna cocina equipada con electrodomésticos de alta gama.  El dormitorio, amplio y con vestidor, ofrece una ventana que inunda de luz natural el espacio. (Posibilidad de sacar un segundo dormitorio) El baño, con suelo porcelánico de alta calidad, añade un toque de sofisticación a esta vivienda sin amueblar, lista para que la personalices a tu gusto.  Además, disfrutarás de suelos de cerámica, calefacción por bomba frío/calor y agua caliente por termo eléctrico que garantizan tu confort en todo momento.  La finca cuenta con portero físico y ascensor, asegurando comodidad y seguridad.  También incluye un trastero de 6 m², con la posibilidad de conexión directa a la vivienda, lo que maximiza el aprovechamiento del espacio.  La ubicación en una zona de alto prestigio y potencial de revalorización en Madrid la convierte en una inversión ideal. No pierdas la oportunidad de vivir en un entorno que combina historia y modernidad. ¡Ven a visitarla!",False,good,False,True,10833.0,False,False,False,False,[],False,False,650000.0,€,flat,"Trafalgar, Madrid",Piso en calle de Sagasta,Destacado,,,,,,
